model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,AMOCann,picntrl,1714.5,2050.5,0.8,15,5,5,13.585461917912355,-0.1628847868206816,399,"['5_lag_8_median_amo2', '5_lag_13_median_stratZ50ndj03', '7_lag_nhSICsep', '6_lag_naoPSLjfm', '5_lag_9_median_eurPSLjfm', '5_lag_amo1']","[2.1766713697598328, 2.176671122988257, 1.6325143878170458, 1.6325037745524216, 1.6325132876898025, 1.6420779291197687]","5_lag_8_median_amo2, 5_lag_13_median_stratZ50ndj03, 7_lag_nhSICsep, 6_lag_naoPSLjfm, 5_lag_9_median_eurPSLjfm, 5_lag_amo1_399_5"
LRforcedPSO,1,6,AMOCann,picntrl,1715.5,2050.5,0.8,16,6,6,14.798909003104788,-0.36864562212480295,399,"['12_lag_stratZ50ndj02', '7_lag_amo1', '6_lag_12_median_naoPSLjfm', '6_lag_amoSSTjfm', '15_lag_AMOCann', '6_lag_11_median_shSICsep']","[1.135579075029307, 1.3665031869708386, 2.9872521558893297, 0.4373666937707341, 0.33835930102066314, 5.482791907652958]","12_lag_stratZ50ndj02, 7_lag_amo1, 6_lag_12_median_naoPSLjfm, 6_lag_amoSSTjfm, 15_lag_AMOCann, 6_lag_11_median_shSICsep_399_6"
LRforcedPSO,2,6,AMOCann,picntrl,1716.5,2050.5,0.8,17,7,7,14.669102559640077,-0.16954306723488052,399,"['7_lag_13_median_stratZ50ndj02', '7_lag_15_median_naoPSLjfm', '8_lag_shSICsep', '9_lag_shSICmar', '12_lag_scpPSLjfm', '7_lag_9_median_atlSICsep']","[2.6794022754746116, 3.5467710460796846, 3.5662448880674127, 3.075141461688345, 2.798184158650297, 2.715709518673374]","7_lag_13_median_stratZ50ndj02, 7_lag_15_median_naoPSLjfm, 8_lag_shSICsep, 9_lag_shSICmar, 12_lag_scpPSLjfm, 7_lag_9_median_atlSICsep_399_7"
LRforcedPSO,3,6,AMOCann,picntrl,1717.5,2050.5,0.8,18,8,8,14.92946482999689,-0.17732177213292735,399,"['9_lag_nhSICsep', '8_lag_17_median_stratZ50ndj03', '8_lag_17_median_atlSICjfm', '9_lag_stratZ50ndj01', '8_lag_15_median_shSICmar', '12_lag_stratZ50ndj03']","[5.520006983644976, 3.0001582182298634, 3.076723403315105, 1.5263611273228364, 0.15815295825326103, 5.153349970946419]","9_lag_nhSICsep, 8_lag_17_median_stratZ50ndj03, 8_lag_17_median_atlSICjfm, 9_lag_stratZ50ndj01, 8_lag_15_median_shSICmar, 12_lag_stratZ50ndj03_399_8"
LRforcedPSO,4,6,AMOCann,picntrl,1718.5,2050.5,0.8,19,9,9,17.171586759873957,-0.30318927768680476,399,"['9_lag_18_median_shSICmar', '10_lag_naoPSLjfm', '13_lag_AMOCann', '9_lag_15_median_nppc2SSTjfm', '15_lag_stratZ50ndj04', '14_lag_shSICsep']","[2.3724443703143105, 0.3310694329613, 7.341207433134812, 6.182069891726698, 1.2775223826049817, 5.707009035977155]","9_lag_18_median_shSICmar, 10_lag_naoPSLjfm, 13_lag_AMOCann, 9_lag_15_median_nppc2SSTjfm, 15_lag_stratZ50ndj04, 14_lag_shSICsep_399_9"
LRforcedPSO,5,6,AMOCann,picntrl,1719.5,2050.5,0.8,20,10,10,14.149748017479038,0.048993758004012414,399,"['12_lag_amoSSTjfm', '10_lag_19_median_nhSICsep', '10_lag_17_median_eurPSLjfm', '14_lag_amo3', '16_lag_atlSICjfm', '16_lag_AMOCann']","[2.086117776752454, 5.154244606590858, 2.458700854712209, 3.3844089105101993, 0.9675291750149757, 5.007762042430887]","12_lag_amoSSTjfm, 10_lag_19_median_nhSICsep, 10_lag_17_median_eurPSLjfm, 14_lag_amo3, 16_lag_atlSICjfm, 16_lag_AMOCann_399_10"
LRforcedPSO,6,6,AMOCann,picntrl,1720.5,2050.5,0.8,21,11,11,15.486878142817428,-0.3717625173462666,399,"['20_lag_amo3', '13_lag_amoSSTmjjaso', '11_lag_14_median_atlSICsep', '15_lag_nhSICjfm', '11_lag_19_median_AMOCann', '17_lag_atlSICjfm']","[2.5986952102519485, 4.184099846537695, 0.8859637077924916, 0.1049202014935009, 4.502460397423745, 1.4315568486329777]","20_lag_amo3, 13_lag_amoSSTmjjaso, 11_lag_14_median_atlSICsep, 15_lag_nhSICjfm, 11_lag_19_median_AMOCann, 17_lag_atlSICjfm_399_11"
LRforcedPSO,7,6,AMOCann,picntrl,1721.5,2050.5,0.8,22,12,12,13.940065506331385,-0.011915129303252616,399,"['12_lag_20_median_stratZ50ndj01', '14_lag_amoSSTjfm', '15_lag_amoSSTjfm', '16_lag_eurPSLjfm', '12_lag_15_median_naoPSLjfm', '12_lag_18_median_stratZ50ndj02']","[4.037660009325032, 0.23442199008064435, 2.898311299403904, 0.0869831260510665, 1.2240701213908007, 4.1663213395735905]","12_lag_20_median_stratZ50ndj01, 14_lag_amoSSTjfm, 15_lag_amoSSTjfm, 16_lag_eurPSLjfm, 12_lag_15_median_naoPSLjfm, 12_lag_18_median_stratZ50ndj02_399_12"
LRforcedPSO,8,6,AMOCann,picntrl,1722.5,2050.5,0.8,23,13,13,15.38757412046585,-0.15686471688900955,399,"['13_lag_16_median_stratZ50ndj02', '19_lag_stratZ50ndj01', '13_lag_17_median_atlSICsep', '13_lag_20_median_nhSICsep', '17_lag_nhSICjfm', '13_lag_18_median_amo2']","[4.012519360888225, 0.45268164256526866, 1.6723940634889303, 5.574569678707906, 4.316881269837234, 6.843629218743757]","13_lag_16_median_stratZ50ndj02, 19_lag_stratZ50ndj01, 13_lag_17_median_atlSICsep, 13_lag_20_median_nhSICsep, 17_lag_nhSICjfm, 13_lag_18_median_amo2_399_13"
LRforcedPSO,9,6,AMOCann,picntrl,1723.5,2050.5,0.8,24,14,14,14.984778141027325,-0.21767114659320197,399,"['20_lag_amoSSTjfm', '14_lag_23_median_nhSICsep', '18_lag_atlSICjfm', '23_lag_eurPSLjfm', '20_lag_stratZ50ndj02', '14_lag_nhSICsep']","[2.4007548293613494, 2.2362508857195262, 2.317272589890214, 1.9749306063331744, 1.9748852400704573, 2.6324233238086725]","20_lag_amoSSTjfm, 14_lag_23_median_nhSICsep, 18_lag_atlSICjfm, 23_lag_eurPSLjfm, 20_lag_stratZ50ndj02, 14_lag_nhSICsep_399_14"
