model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,AMOCann,picntrl,1514.5,2050.5,0.8,15,5,5,12.051699971307114,0.12281676669326369,1216,"['5_lag_8_median_shSICmar', '7_lag_traDP', '5_lag_AMOCann', '5_lag_10_median_tripol1', '5_lag_6_median_seurTSjfm', '6_lag_seurTSjfm', '13_lag_traFSC', '5_lag_10_median_amoSSTmjjaso', '14_lag_wnorPRjfm', '5_lag_14_median_traTLS', '5_lag_10_median_mhfATL60', '9_lag_shSICsep', '5_lag_10_median_samPSLann', '5_lag_glomaSSTjfm', '7_lag_samPSLann', '5_lag_12_median_mhfIP30', '5_lag_12_median_ormenSSTjfm', '13_lag_traDP', '11_lag_traFB', '5_lag_tripol1', '5_lag_10_median_traMC', '11_lag_alpi', '10_lag_traEC', '5_lag_12_median_wnorPRjfm', '5_lag_14_median_glTSjfm', '12_lag_stratZ50ndj04', '14_lag_traBS', '9_lag_traMC', '5_lag_amo1', '5_lag_traWP']","[0.02467290999767555, 0.12789724929151805, 0.11524674532968002, 0.17998995361947895, 5858922409445.005, 5858922409444.933, 0.01570689960353154, 0.14005911720077938, 0.033526515372932324, 0.5570536476462191, 0.23944710849085116, 0.058999398759799516, 0.12935877514831762, 0.06684247356781581, 0.021077397172694006, 0.08178343594518142, 0.05911186725345478, 0.10324002899878303, 0.0271330057539649, 0.16537902962786113, 0.0690262297001899, 0.028611109943181043, 0.024043889657127886, 0.2582920406820264, 0.08678015658058687, 0.09502491439604535, 0.13020167096203134, 0.0570577110616613, 0.057550175378839295, 0.06396038019041958]","5_lag_8_median_shSICmar, 7_lag_traDP, 5_lag_AMOCann, 5_lag_10_median_tripol1, 5_lag_6_median_seurTSjfm, 6_lag_seurTSjfm, 13_lag_traFSC, 5_lag_10_median_amoSSTmjjaso, 14_lag_wnorPRjfm, 5_lag_14_median_traTLS, 5_lag_10_median_mhfATL60, 9_lag_shSICsep, 5_lag_10_median_samPSLann, 5_lag_glomaSSTjfm, 7_lag_samPSLann, 5_lag_12_median_mhfIP30, 5_lag_12_median_ormenSSTjfm, 13_lag_traDP, 11_lag_traFB, 5_lag_tripol1, 5_lag_10_median_traMC, 11_lag_alpi, 10_lag_traEC, 5_lag_12_median_wnorPRjfm, 5_lag_14_median_glTSjfm, 12_lag_stratZ50ndj04, 14_lag_traBS, 9_lag_traMC, 5_lag_amo1, 5_lag_traWP_1216_5"
LinearRegression,1,30,AMOCann,picntrl,1515.5,2050.5,0.8,16,6,6,13.313250567376754,0.052186623779826,1216,"['6_lag_9_median_traMC', '6_lag_traBO', '13_lag_yrvPRjja', '12_lag_amo1', '6_lag_tripol3', '6_lag_9_median_tripol1', '6_lag_11_median_ismPRjja', '13_lag_wnorPRjfm', '6_lag_11_median_nppc3SSTjfm', '15_lag_traEU', '11_lag_eurPSLjfm', '6_lag_traCA', '15_lag_traMC', '10_lag_scpPSLjfm', '6_lag_9_median_eapPSLjfm', '6_lag_9_median_amo3', '6_lag_seurTSjfm', '11_lag_alpi', '6_lag_15_median_traEC', '9_lag_traMC', '6_lag_9_median_AMOCann', '14_lag_stratZ50ndj03', '6_lag_nchinaPRjja', '9_lag_stratZ50ndj04', '6_lag_11_median_pdoSSTjfm', '6_lag_9_median_nchinaPRjja', '12_lag_mhfIP30', '10_lag_tripol1', '6_lag_9_median_mhfATL60', '11_lag_traFB']","[0.05216363396769149, 0.01963910948608305, 0.06508084177967131, 0.04635311504354334, 0.12217352061086238, 0.049342226134991396, 0.014510358660440113, 0.0328609548993431, 0.030111287940363916, 0.04948912439205596, 0.12431614965716903, 0.11102301386190272, 0.09787498653897161, 0.0953297870732709, 0.040430847148343295, 0.23074879903246526, 0.032240236351025776, 0.012923939590574779, 0.1633542296530676, 0.05955159278987614, 0.11629122963082537, 0.09580065220023788, 0.14546642952408925, 0.07332657054869735, 0.18279689255616646, 0.09938234460549132, 0.09999964032658373, 0.1928757573660708, 0.06568481054086696, 0.1324112000551791]","6_lag_9_median_traMC, 6_lag_traBO, 13_lag_yrvPRjja, 12_lag_amo1, 6_lag_tripol3, 6_lag_9_median_tripol1, 6_lag_11_median_ismPRjja, 13_lag_wnorPRjfm, 6_lag_11_median_nppc3SSTjfm, 15_lag_traEU, 11_lag_eurPSLjfm, 6_lag_traCA, 15_lag_traMC, 10_lag_scpPSLjfm, 6_lag_9_median_eapPSLjfm, 6_lag_9_median_amo3, 6_lag_seurTSjfm, 11_lag_alpi, 6_lag_15_median_traEC, 9_lag_traMC, 6_lag_9_median_AMOCann, 14_lag_stratZ50ndj03, 6_lag_nchinaPRjja, 9_lag_stratZ50ndj04, 6_lag_11_median_pdoSSTjfm, 6_lag_9_median_nchinaPRjja, 12_lag_mhfIP30, 10_lag_tripol1, 6_lag_9_median_mhfATL60, 11_lag_traFB_1216_6"
LinearRegression,2,30,AMOCann,picntrl,1516.5,2050.5,0.8,17,7,7,13.179552523803782,0.05435341199115179,1216,"['13_lag_ormenSSTjfm', '7_lag_10_median_mhfATL30', '10_lag_eurPSLjfm', '7_lag_14_median_traTLS', '7_lag_10_median_AMOCann', '15_lag_ismPRjja', '13_lag_nhTSjfm', '7_lag_10_median_traBS', '7_lag_10_median_gyreSSTjfm', '16_lag_traEC', '10_lag_mhfATL30', '7_lag_satlSSTjfm', '16_lag_labSSTjfm', '13_lag_tripol1', '10_lag_seurTSjfm', '7_lag_10_median_stratZ50ndj01', '14_lag_stratZ50ndj03', '7_lag_14_median_samPSLann', '10_lag_mhfATL60', '7_lag_10_median_pdoSSTjfm', '7_lag_10_median_traIT', '13_lag_yrvPRjja', '11_lag_traFB', '7_lag_mhfATL45', '15_lag_traMC', '11_lag_alpi', '10_lag_tripol1', '7_lag_10_median_ismPRjja', '7_lag_10_median_stratZ50ndj03', '7_lag_10_median_tripol3']","[0.036766972385074044, 0.17277218296093838, 0.14948857135678711, 0.5246238009800068, 0.13779805524417693, 0.06414716509178901, 0.00806077175605436, 0.023583984040620003, 0.22582451655449196, 0.10111106682520066, 0.021112317476143318, 0.030483181262157644, 0.02579067636627073, 0.04983418523098372, 0.04842683468150539, 0.05152642435125312, 0.08465073822739164, 0.3831239273025274, 0.03032172248223057, 0.07108796613819911, 0.10101650637820124, 0.037619574854261095, 0.10810444005248228, 0.3168637465131695, 0.11602536540740686, 0.026279237437326075, 0.1451975539020878, 0.07507700918448297, 0.13170777276934875, 0.14703925620173214]","13_lag_ormenSSTjfm, 7_lag_10_median_mhfATL30, 10_lag_eurPSLjfm, 7_lag_14_median_traTLS, 7_lag_10_median_AMOCann, 15_lag_ismPRjja, 13_lag_nhTSjfm, 7_lag_10_median_traBS, 7_lag_10_median_gyreSSTjfm, 16_lag_traEC, 10_lag_mhfATL30, 7_lag_satlSSTjfm, 16_lag_labSSTjfm, 13_lag_tripol1, 10_lag_seurTSjfm, 7_lag_10_median_stratZ50ndj01, 14_lag_stratZ50ndj03, 7_lag_14_median_samPSLann, 10_lag_mhfATL60, 7_lag_10_median_pdoSSTjfm, 7_lag_10_median_traIT, 13_lag_yrvPRjja, 11_lag_traFB, 7_lag_mhfATL45, 15_lag_traMC, 11_lag_alpi, 10_lag_tripol1, 7_lag_10_median_ismPRjja, 7_lag_10_median_stratZ50ndj03, 7_lag_10_median_tripol3_1216_7"
LinearRegression,3,30,AMOCann,picntrl,1517.5,2050.5,0.8,18,8,8,15.311130785702415,-0.15207508529553265,1216,"['15_lag_traCA', '8_lag_glomaSSTjfm', '8_lag_13_median_eapPSLjfm', '10_lag_mhfATL60', '8_lag_stratZ50ndj01', '8_lag_15_median_scpPSLjfm', '15_lag_mhfATL45', '14_lag_cetTSjfm', '16_lag_glomaSSTjfm', '15_lag_traBO', '11_lag_eurPSLjfm', '8_lag_seurTSjfm', '14_lag_traMC', '8_lag_eurPSLjfm', '16_lag_atlSICjfm', '8_lag_tripol3', '8_lag_9_median_amo1', '9_lag_amo1', '17_lag_gyreSSTjfm', '12_lag_naoPSLjfm', '8_lag_11_median_tripol1', '12_lag_glomaSSTjfm', '14_lag_wnorPRjfm', '8_lag_13_median_samPSLann', '15_lag_scpPSLjfm', '15_lag_seurTSjfm', '17_lag_amoSSTmjjaso', '8_lag_17_median_traEC', '10_lag_tripol1', '12_lag_stratZ50ndj04']","[0.07380775094142816, 0.01773843671165426, 0.131083746865016, 0.0771397424553779, 0.004791866854443265, 0.509928303647022, 0.177166918611289, 0.09596238379906194, 0.046941436145864456, 0.11779891494141825, 0.126742900855192, 0.11603169649729922, 0.055200351437562016, 0.10851602897651651, 0.028517449214971843, 0.06366238002639209, 3080352261290.0405, 3080352261290.047, 0.24025900976337672, 0.028052487680979208, 0.040721506245946934, 0.01185923613839125, 0.12240241231501907, 0.1532430619577605, 0.0883561998809583, 0.12934079398810766, 0.16471431649376472, 0.31326811041187014, 0.11468560920657396, 0.09772737162847939]","15_lag_traCA, 8_lag_glomaSSTjfm, 8_lag_13_median_eapPSLjfm, 10_lag_mhfATL60, 8_lag_stratZ50ndj01, 8_lag_15_median_scpPSLjfm, 15_lag_mhfATL45, 14_lag_cetTSjfm, 16_lag_glomaSSTjfm, 15_lag_traBO, 11_lag_eurPSLjfm, 8_lag_seurTSjfm, 14_lag_traMC, 8_lag_eurPSLjfm, 16_lag_atlSICjfm, 8_lag_tripol3, 8_lag_9_median_amo1, 9_lag_amo1, 17_lag_gyreSSTjfm, 12_lag_naoPSLjfm, 8_lag_11_median_tripol1, 12_lag_glomaSSTjfm, 14_lag_wnorPRjfm, 8_lag_13_median_samPSLann, 15_lag_scpPSLjfm, 15_lag_seurTSjfm, 17_lag_amoSSTmjjaso, 8_lag_17_median_traEC, 10_lag_tripol1, 12_lag_stratZ50ndj04_1216_8"
LinearRegression,4,30,AMOCann,picntrl,1518.5,2050.5,0.8,19,9,9,13.624048272059525,-0.016455134642662437,1216,"['9_lag_atlSICsep', '16_lag_ginwSSTjfm', '17_lag_mhfATL45', '15_lag_traFS', '15_lag_seurTSjfm', '9_lag_18_median_samPSLann', '13_lag_traEC', '9_lag_18_median_neurTSjfm', '17_lag_alpi', '11_lag_eurPSLjfm', '12_lag_glomaSSTjfm', '13_lag_tripol1', '18_lag_shTSjfm', '14_lag_wnorPRjfm', '14_lag_arcTSjfm', '16_lag_atlSICjfm', '15_lag_shSICmar', '10_lag_tripol1', '15_lag_traBO', '9_lag_10_median_tripol1', '16_lag_stratZ50ndj01', '16_lag_traEC', '18_lag_amoSSTmjjaso', '15_lag_traMC', '12_lag_shSICsep', '9_lag_amo1', '14_lag_traMC', '17_lag_gyreSSTjfm', '17_lag_amo1', '13_lag_traDP']","[0.028265532335191048, 0.09427740012636637, 0.1555197447390212, 0.20444084105567556, 0.03884871511877383, 0.15943151460044486, 0.06998208575257597, 0.04980679796880089, 0.042695389778294096, 0.1275133026231992, 0.010170349733002864, 0.02722225284953439, 0.0504726295646423, 0.07353618845091389, 0.0008150149982614107, 0.07339296967720886, 0.09305642264378018, 4265009531107.9014, 0.08198882755678642, 4265009531108.0317, 0.009649785282006149, 0.06662978621258496, 0.06689075774641942, 0.07821392574468143, 0.04301533789394061, 0.02655477010713415, 0.046946773556752974, 0.16158573737634474, 0.10506196135948226, 0.06317910394963745]","9_lag_atlSICsep, 16_lag_ginwSSTjfm, 17_lag_mhfATL45, 15_lag_traFS, 15_lag_seurTSjfm, 9_lag_18_median_samPSLann, 13_lag_traEC, 9_lag_18_median_neurTSjfm, 17_lag_alpi, 11_lag_eurPSLjfm, 12_lag_glomaSSTjfm, 13_lag_tripol1, 18_lag_shTSjfm, 14_lag_wnorPRjfm, 14_lag_arcTSjfm, 16_lag_atlSICjfm, 15_lag_shSICmar, 10_lag_tripol1, 15_lag_traBO, 9_lag_10_median_tripol1, 16_lag_stratZ50ndj01, 16_lag_traEC, 18_lag_amoSSTmjjaso, 15_lag_traMC, 12_lag_shSICsep, 9_lag_amo1, 14_lag_traMC, 17_lag_gyreSSTjfm, 17_lag_amo1, 13_lag_traDP_1216_9"
LinearRegression,5,30,AMOCann,picntrl,1519.5,2050.5,0.8,20,10,10,12.497778677802819,0.05335697936324367,1216,"['18_lag_shSICsep', '15_lag_mhfIP30', '12_lag_stratZ50ndj04', '10_lag_stratZ50ndj01', '10_lag_nhSICsep', '10_lag_13_median_traBS', '10_lag_19_median_samPSLann', '15_lag_traMC', '17_lag_atlSICjfm', '17_lag_eapPSLjfm', '17_lag_alpi', '13_lag_seurTSjfm', '10_lag_traFS', '10_lag_labSSTjfm', '13_lag_traFSC', '10_lag_13_median_traFB', '19_lag_samPSLann', '18_lag_amo2', '10_lag_13_median_shSICsep', '15_lag_traCA', '15_lag_seurTSjfm', '15_lag_shSICmar', '12_lag_traEU', '10_lag_tripol1', '16_lag_atlSICjfm', '14_lag_wnorPRjfm', '13_lag_traDP', '17_lag_traDP', '13_lag_traEC', '14_lag_nhSICsep']","[0.09292330457384684, 0.055152157640840305, 0.05439513363518642, 0.06663838970184813, 0.04574801442037169, 0.10551529986797752, 0.12920272716104308, 0.1104268599596968, 0.01512466147076111, 0.03028437494343778, 0.0458525239303666, 0.10305296043782902, 0.18895882348781395, 0.025146055014726675, 0.013994424574722119, 0.26116074216316393, 0.020915423168840527, 0.05944912997390353, 0.011650882466730718, 0.060068731184671216, 0.05963391090916335, 0.1012967319485447, 0.017148311351455132, 0.11189289111334974, 0.02964534526081627, 0.07806335608491066, 0.03389128509177939, 0.04353195443863021, 0.08472463426943497, 0.06180174446364544]","18_lag_shSICsep, 15_lag_mhfIP30, 12_lag_stratZ50ndj04, 10_lag_stratZ50ndj01, 10_lag_nhSICsep, 10_lag_13_median_traBS, 10_lag_19_median_samPSLann, 15_lag_traMC, 17_lag_atlSICjfm, 17_lag_eapPSLjfm, 17_lag_alpi, 13_lag_seurTSjfm, 10_lag_traFS, 10_lag_labSSTjfm, 13_lag_traFSC, 10_lag_13_median_traFB, 19_lag_samPSLann, 18_lag_amo2, 10_lag_13_median_shSICsep, 15_lag_traCA, 15_lag_seurTSjfm, 15_lag_shSICmar, 12_lag_traEU, 10_lag_tripol1, 16_lag_atlSICjfm, 14_lag_wnorPRjfm, 13_lag_traDP, 17_lag_traDP, 13_lag_traEC, 14_lag_nhSICsep_1216_10"
LinearRegression,6,30,AMOCann,picntrl,1520.5,2050.5,0.8,21,11,11,12.395718533455643,0.10825226800778316,1216,"['15_lag_ismPRjja', '18_lag_samPSLann', '18_lag_arcTSjfm', '17_lag_stratZ50ndj03', '14_lag_ormenSSTjfm', '11_lag_traMC', '15_lag_stratZ50ndj04', '11_lag_16_median_tripol2', '13_lag_traDP', '19_lag_amo2', '14_lag_nhSICsep', '15_lag_seurTSjfm', '11_lag_17_median_yrvPRjja', '13_lag_traEC', '15_lag_traCA', '11_lag_traFB', '19_lag_traDP', '16_lag_traTLS', '18_lag_stratZ50ndj04', '11_lag_16_median_amo1', '11_lag_seurTSjfm', '14_lag_amo2', '16_lag_amo3', '16_lag_stratZ50ndj01', '15_lag_mhfIP30', '11_lag_16_median_traDS', '11_lag_traEU', '17_lag_eapPSLjfm', '11_lag_18_median_yrvPRjja', '11_lag_shSICmar']","[0.08498276696716814, 0.028783737205869356, 0.08907648049957292, 0.021974778046486947, 0.038846722620070856, 0.02800144361611881, 0.12178103043601257, 0.0246175110783829, 0.007630293857608618, 0.016507793238518486, 0.0882622947612388, 0.03086382184568543, 0.30419595332188526, 0.006763258849989797, 0.046138137653564136, 0.13375273224819142, 0.07898247733617965, 0.07361286626847963, 0.06382073869365279, 0.18661338586105947, 0.029294519036845552, 0.046698055978853105, 0.00037359019957767473, 0.029053398516689657, 0.05144825634569098, 0.2802052201421116, 0.11991442566404058, 0.006449668665344639, 0.2545194342344142, 0.07025796212413643]","15_lag_ismPRjja, 18_lag_samPSLann, 18_lag_arcTSjfm, 17_lag_stratZ50ndj03, 14_lag_ormenSSTjfm, 11_lag_traMC, 15_lag_stratZ50ndj04, 11_lag_16_median_tripol2, 13_lag_traDP, 19_lag_amo2, 14_lag_nhSICsep, 15_lag_seurTSjfm, 11_lag_17_median_yrvPRjja, 13_lag_traEC, 15_lag_traCA, 11_lag_traFB, 19_lag_traDP, 16_lag_traTLS, 18_lag_stratZ50ndj04, 11_lag_16_median_amo1, 11_lag_seurTSjfm, 14_lag_amo2, 16_lag_amo3, 16_lag_stratZ50ndj01, 15_lag_mhfIP30, 11_lag_16_median_traDS, 11_lag_traEU, 17_lag_eapPSLjfm, 11_lag_18_median_yrvPRjja, 11_lag_shSICmar_1216_11"
LinearRegression,7,30,AMOCann,picntrl,1521.5,2050.5,0.8,22,12,12,13.759069739849409,-0.024121911989540425,1216,"['12_lag_ginwSSTjfm', '17_lag_cetTSjfm', '20_lag_stratZ50ndj01', '12_lag_16_median_traEU', '12_lag_17_median_traTLS', '12_lag_gyreSSTjfm', '12_lag_shSICmar', '15_lag_yrvPRjja', '12_lag_traEC', '14_lag_nhSICsep', '17_lag_stratZ50ndj03', '20_lag_ginwSSTjfm', '18_lag_amoSSTmjjaso', '12_lag_21_median_pdoSSTjfm', '12_lag_18_median_yrvPRjja', '12_lag_ormenSSTjfm', '21_lag_AMOCann', '21_lag_nppc2SSTjfm', '12_lag_shSICsep', '15_lag_ormenSSTjfm', '17_lag_atlSICjfm', '17_lag_nppc3SSTjfm', '12_lag_15_median_traDS', '15_lag_seurTSjfm', '14_lag_amo2', '16_lag_traTLS', '17_lag_eapPSLjfm', '17_lag_amoSSTmjjaso', '12_lag_17_median_wnorPRjfm', '12_lag_17_median_yrvPRjja']","[0.10200358256485682, 0.18726605953217831, 0.002348090595246962, 0.06035904631473172, 0.41571304964178263, 0.1616658165413564, 0.04082644548859215, 0.09290355736922364, 0.05097477728445535, 0.020243854374715247, 0.024370743871864223, 0.09494957729427148, 0.09447238437704501, 0.19756395333385862, 0.12042247225195239, 0.029759771815263784, 0.03688222702003685, 0.002896312846723528, 0.061503876573298144, 0.04175263196407163, 0.02596240169974522, 0.006958735927373989, 0.1649343171706187, 0.0627929801216375, 0.0893672427703136, 0.06875388611880151, 0.018310657296236016, 0.0872736192058379, 0.12028006983954509, 0.04009605960364609]","12_lag_ginwSSTjfm, 17_lag_cetTSjfm, 20_lag_stratZ50ndj01, 12_lag_16_median_traEU, 12_lag_17_median_traTLS, 12_lag_gyreSSTjfm, 12_lag_shSICmar, 15_lag_yrvPRjja, 12_lag_traEC, 14_lag_nhSICsep, 17_lag_stratZ50ndj03, 20_lag_ginwSSTjfm, 18_lag_amoSSTmjjaso, 12_lag_21_median_pdoSSTjfm, 12_lag_18_median_yrvPRjja, 12_lag_ormenSSTjfm, 21_lag_AMOCann, 21_lag_nppc2SSTjfm, 12_lag_shSICsep, 15_lag_ormenSSTjfm, 17_lag_atlSICjfm, 17_lag_nppc3SSTjfm, 12_lag_15_median_traDS, 15_lag_seurTSjfm, 14_lag_amo2, 16_lag_traTLS, 17_lag_eapPSLjfm, 17_lag_amoSSTmjjaso, 12_lag_17_median_wnorPRjfm, 12_lag_17_median_yrvPRjja_1216_12"
LinearRegression,8,30,AMOCann,picntrl,1522.5,2050.5,0.8,23,13,13,12.451532006113819,0.16291498335582566,1216,"['13_lag_18_median_stratZ50ndj01', '18_lag_shSICsep', '13_lag_satlSSTjfm', '21_lag_stratZ50ndj03', '13_lag_20_median_traWP', '21_lag_mhfATL30', '21_lag_traEU', '18_lag_atlSICjfm', '21_lag_shSICsep', '13_lag_16_median_nchinaPRjja', '20_lag_wnorPRjfm', '13_lag_20_median_nchinaPRjja', '18_lag_nchinaPRjja', '13_lag_nppc3SSTjfm', '17_lag_scpPSLjfm', '22_lag_nppc3SSTjfm', '15_lag_seurTSjfm', '17_lag_gyreSSTjfm', '13_lag_16_median_tripol2', '13_lag_traDP', '16_lag_eapPSLjfm', '21_lag_nppc2SSTjfm', '13_lag_amo2', '15_lag_stratZ50ndj01', '22_lag_AMOCann', '21_lag_traWP', '22_lag_amo3', '16_lag_glomaSSTjfm', '13_lag_atlSICjfm', '17_lag_atlSICjfm']","[0.06382143820696447, 0.09452437151533978, 0.06723148884424254, 0.006642910249554383, 0.00838368601166498, 0.05976575691497764, 0.06561218767323815, 0.0232666054247903, 0.03979787325611291, 0.035321672272355435, 0.011522456194881873, 0.28117207388213955, 0.07288036628553923, 0.107019322645393, 0.011833173916421257, 0.14259939670350438, 0.06668725497741718, 0.14720218838193072, 0.004784902949647572, 0.12383776960106695, 0.024350437293394547, 0.022958212955135275, 0.006611329108415227, 0.05130458524949177, 0.05386163096156098, 0.07112624322522351, 0.07565745599691534, 0.044525196875331394, 0.09393084423406534, 0.07914871473891545]","13_lag_18_median_stratZ50ndj01, 18_lag_shSICsep, 13_lag_satlSSTjfm, 21_lag_stratZ50ndj03, 13_lag_20_median_traWP, 21_lag_mhfATL30, 21_lag_traEU, 18_lag_atlSICjfm, 21_lag_shSICsep, 13_lag_16_median_nchinaPRjja, 20_lag_wnorPRjfm, 13_lag_20_median_nchinaPRjja, 18_lag_nchinaPRjja, 13_lag_nppc3SSTjfm, 17_lag_scpPSLjfm, 22_lag_nppc3SSTjfm, 15_lag_seurTSjfm, 17_lag_gyreSSTjfm, 13_lag_16_median_tripol2, 13_lag_traDP, 16_lag_eapPSLjfm, 21_lag_nppc2SSTjfm, 13_lag_amo2, 15_lag_stratZ50ndj01, 22_lag_AMOCann, 21_lag_traWP, 22_lag_amo3, 16_lag_glomaSSTjfm, 13_lag_atlSICjfm, 17_lag_atlSICjfm_1216_13"
LinearRegression,9,30,AMOCann,picntrl,1523.5,2050.5,0.8,24,14,14,13.392418500200442,0.0743587486978829,1216,"['19_lag_amo1', '17_lag_traMC', '16_lag_glomaSSTjfm', '19_lag_stratZ50ndj01', '22_lag_alpi', '14_lag_19_median_mhfATL45', '14_lag_20_median_traIT', '21_lag_neurTSjfm', '18_lag_nchinaPRjja', '16_lag_ormenSSTjfm', '14_lag_17_median_shTSjfm', '14_lag_mhfATL45', '16_lag_traEC', '14_lag_17_median_wnorPRjfm', '14_lag_nppc3SSTjfm', '15_lag_seurTSjfm', '14_lag_15_median_seurTSjfm', '14_lag_19_median_traTLS', '21_lag_traWP', '16_lag_eapPSLjfm', '23_lag_traEU', '14_lag_23_median_traIT', '21_lag_nppc2SSTjfm', '23_lag_amo1', '14_lag_19_median_traWP', '22_lag_ormenSSTjfm', '17_lag_scpPSLjfm', '18_lag_arcTSjfm', '22_lag_AMOCann', '17_lag_atlSICjfm']","[0.029312477329134615, 0.06250496624628261, 0.09305947761902365, 0.012033384679757527, 0.0219259473779776, 0.33584701902672853, 0.1681591180119332, 0.0324451251761598, 0.13232151487746607, 0.01135785083107084, 0.29994961899686295, 0.09179605673834233, 0.07743069978424061, 0.005609837588021428, 0.10749456655076524, 6845893408283.517, 6845893408283.604, 0.19286656991184709, 0.062354099435039535, 0.11817620301960556, 0.10456874503631125, 0.4226450506966381, 0.014382244386798582, 0.14596804415205236, 0.06815617306644572, 0.16731529454086488, 0.03977488080187856, 0.06949889910079209, 0.08764926549079224, 0.07184108814965628]","19_lag_amo1, 17_lag_traMC, 16_lag_glomaSSTjfm, 19_lag_stratZ50ndj01, 22_lag_alpi, 14_lag_19_median_mhfATL45, 14_lag_20_median_traIT, 21_lag_neurTSjfm, 18_lag_nchinaPRjja, 16_lag_ormenSSTjfm, 14_lag_17_median_shTSjfm, 14_lag_mhfATL45, 16_lag_traEC, 14_lag_17_median_wnorPRjfm, 14_lag_nppc3SSTjfm, 15_lag_seurTSjfm, 14_lag_15_median_seurTSjfm, 14_lag_19_median_traTLS, 21_lag_traWP, 16_lag_eapPSLjfm, 23_lag_traEU, 14_lag_23_median_traIT, 21_lag_nppc2SSTjfm, 23_lag_amo1, 14_lag_19_median_traWP, 22_lag_ormenSSTjfm, 17_lag_scpPSLjfm, 18_lag_arcTSjfm, 22_lag_AMOCann, 17_lag_atlSICjfm_1216_14"
