model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,AMOCann,picntrl,1714.5,2050.5,0.8,15,1,1,13.266839730439504,-0.019444834095490617,567,"['10_lag_nppc2SSTjfm', '14_lag_stratZ50ndj03', '11_lag_atlSICjfm', '1_lag_7_median_scpPSLjfm', '1_lag_4_median_amoSSTmjjaso', '9_lag_shSICsep', '1_lag_8_median_eapPSLjfm', '10_lag_nhSICjfm', '1_lag_8_median_eurPSLjfm', '1_lag_4_median_naoPSLjfm']","[0.14305446754639667, 0.04451265234095432, 0.028084478327584136, 0.17279042393788124, 0.12374726592865504, 0.14119474428915474, 0.14909368396778436, 0.1425719498734862, 0.13989848249560105, 0.2637543506155553]","10_lag_nppc2SSTjfm, 14_lag_stratZ50ndj03, 11_lag_atlSICjfm, 1_lag_7_median_scpPSLjfm, 1_lag_4_median_amoSSTmjjaso, 9_lag_shSICsep, 1_lag_8_median_eapPSLjfm, 10_lag_nhSICjfm, 1_lag_8_median_eurPSLjfm, 1_lag_4_median_naoPSLjfm_567_1"
LinearRegression,1,10,AMOCann,picntrl,1715.5,2050.5,0.8,16,1,1,13.24285663934139,-0.07162144728219612,609,"['10_lag_atlSICsep', '1_lag_8_median_eapPSLjfm', '1_lag_4_median_amoSSTmjjaso', '1_lag_8_median_eurPSLjfm', '15_lag_amo2', '14_lag_stratZ50ndj03', '9_lag_shSICsep', '10_lag_nhSICjfm', '9_lag_AMOCann', '1_lag_4_median_naoPSLjfm']","[0.09663784868611117, 0.062022034430555706, 0.09191882270880822, 0.02688629571935628, 0.08446432638305751, 0.05370386066436031, 0.11020538281406551, 0.11556282399792579, 0.12101568148890238, 0.2746869560142584]","10_lag_atlSICsep, 1_lag_8_median_eapPSLjfm, 1_lag_4_median_amoSSTmjjaso, 1_lag_8_median_eurPSLjfm, 15_lag_amo2, 14_lag_stratZ50ndj03, 9_lag_shSICsep, 10_lag_nhSICjfm, 9_lag_AMOCann, 1_lag_4_median_naoPSLjfm_609_1"
LinearRegression,2,10,AMOCann,picntrl,1716.5,2050.5,0.8,17,1,1,14.760546822593152,-0.17145791026914659,651,"['5_lag_amoSSTmjjaso', '6_lag_AMOCann', '9_lag_shSICsep', '15_lag_amo2', '8_lag_nppc2SSTjfm', '16_lag_scpPSLjfm', '16_lag_nhSICjfm', '10_lag_nhSICjfm', '9_lag_AMOCann', '1_lag_4_median_naoPSLjfm']","[0.06360661455564709, 0.05558979485152726, 0.1390498126872832, 0.07737050837624386, 0.18391589459855515, 0.10873492689195316, 0.07315379620652401, 0.138893524818972, 0.11912342886020025, 0.22560557385221422]","5_lag_amoSSTmjjaso, 6_lag_AMOCann, 9_lag_shSICsep, 15_lag_amo2, 8_lag_nppc2SSTjfm, 16_lag_scpPSLjfm, 16_lag_nhSICjfm, 10_lag_nhSICjfm, 9_lag_AMOCann, 1_lag_4_median_naoPSLjfm_651_1"
LinearRegression,3,10,AMOCann,picntrl,1717.5,2050.5,0.8,18,1,1,14.570731381083343,-0.16132621603192043,693,"['5_lag_shSICsep', '17_lag_scpPSLjfm', '11_lag_nppc2SSTjfm', '8_lag_eurPSLjfm', '5_lag_amoSSTmjjaso', '1_lag_6_median_atlSICsep', '8_lag_nppc2SSTjfm', '1_lag_4_median_naoPSLjfm', '10_lag_nhSICjfm', '9_lag_AMOCann']","[0.14626394791808808, 0.02194998974444687, 0.0014082343136359102, 0.09028039385731719, 0.1145300748888329, 0.16977937953604694, 0.13960940146009748, 0.23607644079630496, 0.14871990727500997, 0.11021853714771529]","5_lag_shSICsep, 17_lag_scpPSLjfm, 11_lag_nppc2SSTjfm, 8_lag_eurPSLjfm, 5_lag_amoSSTmjjaso, 1_lag_6_median_atlSICsep, 8_lag_nppc2SSTjfm, 1_lag_4_median_naoPSLjfm, 10_lag_nhSICjfm, 9_lag_AMOCann_693_1"
LinearRegression,4,10,AMOCann,picntrl,1718.5,2050.5,0.8,19,1,1,13.375593003611927,-0.024768081995464937,735,"['11_lag_atlSICjfm', '17_lag_scpPSLjfm', '9_lag_scpPSLjfm', '7_lag_atlSICsep', '5_lag_amoSSTmjjaso', '1_lag_6_median_atlSICsep', '10_lag_nhSICjfm', '1_lag_4_median_naoPSLjfm', '9_lag_AMOCann', '8_lag_nppc2SSTjfm']","[0.05127910709315611, 0.012940574348551226, 0.015546507593278608, 0.03818982486689964, 0.09527607934191677, 0.2289121239787669, 0.15740274877829707, 0.23842875221299048, 0.12295321005104864, 0.13805584698603623]","11_lag_atlSICjfm, 17_lag_scpPSLjfm, 9_lag_scpPSLjfm, 7_lag_atlSICsep, 5_lag_amoSSTmjjaso, 1_lag_6_median_atlSICsep, 10_lag_nhSICjfm, 1_lag_4_median_naoPSLjfm, 9_lag_AMOCann, 8_lag_nppc2SSTjfm_735_1"
LinearRegression,5,10,AMOCann,picntrl,1719.5,2050.5,0.8,20,1,1,13.905668501030197,-0.07919524776384697,777,"['5_lag_amoSSTmjjaso', '4_lag_nppc2SSTjfm', '7_lag_atlSICjfm', '10_lag_nhSICjfm', '11_lag_atlSICjfm', '19_lag_AMOCann', '4_lag_stratZ50ndj04', '1_lag_4_median_naoPSLjfm', '9_lag_AMOCann', '8_lag_nppc2SSTjfm']","[0.0794528335998487, 0.03767459062926669, 0.12835290834316496, 0.1360776097848576, 0.044521954153999524, 0.01127794605740012, 0.14405233910597948, 0.23713386848672618, 0.11658025828606935, 0.11759092656820591]","5_lag_amoSSTmjjaso, 4_lag_nppc2SSTjfm, 7_lag_atlSICjfm, 10_lag_nhSICjfm, 11_lag_atlSICjfm, 19_lag_AMOCann, 4_lag_stratZ50ndj04, 1_lag_4_median_naoPSLjfm, 9_lag_AMOCann, 8_lag_nppc2SSTjfm_777_1"
LinearRegression,6,10,AMOCann,picntrl,1720.5,2050.5,0.8,21,1,1,13.14681383904728,0.0455222595514917,819,"['11_lag_atlSICjfm', '10_lag_nppc2SSTjfm', '11_lag_nppc2SSTjfm', '19_lag_AMOCann', '9_lag_AMOCann', '1_lag_4_median_naoPSLjfm', '12_lag_scpPSLjfm', '20_lag_nhSICsep', '20_lag_stratZ50ndj01', '8_lag_nppc2SSTjfm']","[0.11879061235673588, 0.14753053000130856, 0.10614074451910471, 0.020637275397741912, 0.18601039806634106, 0.2384886347217814, 0.13572648471947518, 0.09173047186311459, 0.012117649970710586, 0.10087085062788999]","11_lag_atlSICjfm, 10_lag_nppc2SSTjfm, 11_lag_nppc2SSTjfm, 19_lag_AMOCann, 9_lag_AMOCann, 1_lag_4_median_naoPSLjfm, 12_lag_scpPSLjfm, 20_lag_nhSICsep, 20_lag_stratZ50ndj01, 8_lag_nppc2SSTjfm_819_1"
LinearRegression,7,10,AMOCann,picntrl,1721.5,2050.5,0.8,22,2,2,12.878096652329944,0.2759979057803525,819,"['11_lag_nppc2SSTjfm', '4_lag_stratZ50ndj04', '10_lag_eurPSLjfm', '13_lag_shSICmar', '19_lag_AMOCann', '10_lag_nppc2SSTjfm', '2_lag_AMOCann', '2_lag_naoPSLjfm', '2_lag_stratZ50ndj02', '8_lag_nppc2SSTjfm']","[0.06722306054279568, 0.12166697254786028, 0.04968469061139074, 0.07377065478171267, 0.00955096265627551, 0.09215190820646389, 0.43802147736388164, 0.06435797379810267, 0.06658506558638926, 0.04531996785167639]","11_lag_nppc2SSTjfm, 4_lag_stratZ50ndj04, 10_lag_eurPSLjfm, 13_lag_shSICmar, 19_lag_AMOCann, 10_lag_nppc2SSTjfm, 2_lag_AMOCann, 2_lag_naoPSLjfm, 2_lag_stratZ50ndj02, 8_lag_nppc2SSTjfm_819_2"
LinearRegression,8,10,AMOCann,picntrl,1722.5,2050.5,0.8,23,3,7,13.873304541079166,-0.03414619714045964,819,"['20_lag_stratZ50ndj01', '9_lag_eurPSLjfm', '7_lag_stratZ50ndj02', '10_lag_nppc2SSTjfm', '11_lag_atlSICjfm', '13_lag_shSICmar', '21_lag_nhSICsep', '22_lag_naoPSLjfm', '22_lag_amo1', '8_lag_nppc2SSTjfm']","[0.02735739962496282, 0.08116555713688114, 0.12236312158363061, 0.11484625711488472, 0.15291078082552145, 0.04557264308307586, 0.12580893905144266, 0.08422869763268631, 0.08870805522959455, 0.10523959738305302]","20_lag_stratZ50ndj01, 9_lag_eurPSLjfm, 7_lag_stratZ50ndj02, 10_lag_nppc2SSTjfm, 11_lag_atlSICjfm, 13_lag_shSICmar, 21_lag_nhSICsep, 22_lag_naoPSLjfm, 22_lag_amo1, 8_lag_nppc2SSTjfm_819_7"
LinearRegression,9,10,AMOCann,picntrl,1723.5,2050.5,0.8,24,4,4,12.989264673659518,0.018879784710359865,819,"['8_lag_atlSICsep', '20_lag_stratZ50ndj03', '7_lag_shSICmar', '7_lag_stratZ50ndj02', '12_lag_eapPSLjfm', '22_lag_amo1', '11_lag_atlSICjfm', '8_lag_nppc2SSTjfm', '4_lag_stratZ50ndj04', '20_lag_stratZ50ndj01']","[0.026585037915916584, 0.044221648806327694, 0.014121545477876588, 0.11605414474621797, 0.20873310427735556, 0.0834274609572222, 0.13852895174104618, 0.11466684650920873, 0.1616923809146767, 0.005134630542909168]","8_lag_atlSICsep, 20_lag_stratZ50ndj03, 7_lag_shSICmar, 7_lag_stratZ50ndj02, 12_lag_eapPSLjfm, 22_lag_amo1, 11_lag_atlSICjfm, 8_lag_nppc2SSTjfm, 4_lag_stratZ50ndj04, 20_lag_stratZ50ndj01_819_4"
