model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,alpi,picntrl,1714.5,2050.5,0.8,15,5,5,20.986614551400653,0.0318822437476261,1216,"['12_lag_eurPSLjfm', '5_lag_traFS', '14_lag_traBS', '10_lag_eurPSLjfm', '9_lag_traTLS', '11_lag_stratZ50ndj01', '9_lag_atlSICsep', '12_lag_traWP', '9_lag_stratZ50ndj03', '14_lag_traTLS']","[0.1437828692631306, 0.1883780813083008, 0.10112094634733426, 0.22203474222342223, 0.12319157052750457, 0.15617314971142882, 0.16250301975049436, 0.05308129651349358, 0.13393110088465546, 0.04802222163690047]","12_lag_eurPSLjfm, 5_lag_traFS, 14_lag_traBS, 10_lag_eurPSLjfm, 9_lag_traTLS, 11_lag_stratZ50ndj01, 9_lag_atlSICsep, 12_lag_traWP, 9_lag_stratZ50ndj03, 14_lag_traTLS_1216_5"
LinearRegression,1,10,alpi,picntrl,1715.5,2050.5,0.8,16,6,6,21.200031787723816,-0.016559975263918614,1216,"['9_lag_atlSICsep', '12_lag_traWP', '6_lag_9_median_alpi', '14_lag_traMC', '11_lag_samPSLann', '9_lag_traTLS', '10_lag_eurPSLjfm', '6_lag_traEU', '9_lag_stratZ50ndj03', '13_lag_traFB']","[0.17253981210738578, 0.11332581325153392, 0.06641450871424796, 0.26325081611759366, 0.12430042057840687, 0.13490717667618574, 0.2592897955121915, 0.004746426239886091, 0.15558615346151689, 0.16653492679564308]","9_lag_atlSICsep, 12_lag_traWP, 6_lag_9_median_alpi, 14_lag_traMC, 11_lag_samPSLann, 9_lag_traTLS, 10_lag_eurPSLjfm, 6_lag_traEU, 9_lag_stratZ50ndj03, 13_lag_traFB_1216_6"
LinearRegression,2,10,alpi,picntrl,1716.5,2050.5,0.8,17,7,7,21.93049235117376,-0.05176055778219521,1216,"['7_lag_traTLS', '16_lag_satlSSTjfm', '15_lag_eapPSLjfm', '15_lag_tripol3', '11_lag_samPSLann', '9_lag_traTLS', '14_lag_shSICmar', '14_lag_traMC', '10_lag_eurPSLjfm', '16_lag_nppc2SSTjfm']","[0.0368947783912425, 0.2697973501699069, 0.20086509280809123, 0.14528371519508937, 0.09965498316373082, 0.16273083823874118, 0.14850198299892986, 0.28179814303992157, 0.294408084339656, 0.2105659900558413]","7_lag_traTLS, 16_lag_satlSSTjfm, 15_lag_eapPSLjfm, 15_lag_tripol3, 11_lag_samPSLann, 9_lag_traTLS, 14_lag_shSICmar, 14_lag_traMC, 10_lag_eurPSLjfm, 16_lag_nppc2SSTjfm_1216_7"
LinearRegression,3,10,alpi,picntrl,1717.5,2050.5,0.8,18,8,8,20.97896036224416,0.11305222823514308,1216,"['10_lag_eurPSLjfm', '11_lag_traFSC', '15_lag_eapPSLjfm', '8_lag_stratZ50ndj03', '17_lag_amoSSTmjjaso', '17_lag_ginwSSTjfm', '17_lag_traTLS', '11_lag_samPSLann', '14_lag_shSICmar', '14_lag_traMC']","[0.2520718099393105, 0.25373815986539217, 0.17957278602900562, 0.042978401365838234, 0.044110960827188156, 0.12835333194628804, 0.07069451283788585, 0.20764893283121133, 0.18068428329124445, 0.2856706282802678]","10_lag_eurPSLjfm, 11_lag_traFSC, 15_lag_eapPSLjfm, 8_lag_stratZ50ndj03, 17_lag_amoSSTmjjaso, 17_lag_ginwSSTjfm, 17_lag_traTLS, 11_lag_samPSLann, 14_lag_shSICmar, 14_lag_traMC_1216_8"
LinearRegression,4,10,alpi,picntrl,1718.5,2050.5,0.8,19,9,9,20.17018983528941,0.19671830769089427,1216,"['17_lag_amoSSTmjjaso', '9_lag_stratZ50ndj03', '18_lag_neurTSjfm', '9_lag_eurPSLjfm', '16_lag_nchinaPRjja', '15_lag_eapPSLjfm', '14_lag_shSICmar', '14_lag_stratZ50ndj03', '17_lag_traTLS', '14_lag_traMC']","[0.03869241205092393, 0.1205058470718804, 0.06881836142402467, 0.11901603585162708, 0.14364549387881345, 0.19083416134603973, 0.16784801335748956, 0.06618408839688232, 0.11168767464415139, 0.29459529996474026]","17_lag_amoSSTmjjaso, 9_lag_stratZ50ndj03, 18_lag_neurTSjfm, 9_lag_eurPSLjfm, 16_lag_nchinaPRjja, 15_lag_eapPSLjfm, 14_lag_shSICmar, 14_lag_stratZ50ndj03, 17_lag_traTLS, 14_lag_traMC_1216_9"
LinearRegression,5,10,alpi,picntrl,1719.5,2050.5,0.8,20,10,10,21.13383213339903,0.11250063449033172,1216,"['10_lag_traIT', '10_lag_13_median_traTLS', '14_lag_traMC', '12_lag_eurPSLjfm', '18_lag_neurTSjfm', '14_lag_shSICmar', '15_lag_stratZ50ndj02', '16_lag_nchinaPRjja', '19_lag_traBS', '14_lag_stratZ50ndj03']","[0.2216442359208763, 0.42023660059401574, 0.32553994615877224, 0.15206429424207643, 0.11529184424545509, 0.08574818331541306, 0.16491801808836382, 0.13405827458349573, 0.25613690732018984, 0.10666144700348804]","10_lag_traIT, 10_lag_13_median_traTLS, 14_lag_traMC, 12_lag_eurPSLjfm, 18_lag_neurTSjfm, 14_lag_shSICmar, 15_lag_stratZ50ndj02, 16_lag_nchinaPRjja, 19_lag_traBS, 14_lag_stratZ50ndj03_1216_10"
LinearRegression,6,10,alpi,picntrl,1720.5,2050.5,0.8,21,11,11,21.073338383385288,0.17715117299461633,1216,"['15_lag_stratZ50ndj03', '14_lag_traMC', '11_lag_mhfIP30', '13_lag_stratZ50ndj04', '11_lag_traBO', '19_lag_nppc3SSTjfm', '14_lag_stratZ50ndj03', '17_lag_ginwSSTjfm', '19_lag_traBS', '14_lag_shSICmar']","[0.17876736088011266, 0.29541079679880855, 0.14289211415306097, 0.07116982431486885, 0.12006473549256858, 0.06293515740028671, 0.04808791404462866, 0.09249544243275579, 0.1907235429211086, 0.16324672918859467]","15_lag_stratZ50ndj03, 14_lag_traMC, 11_lag_mhfIP30, 13_lag_stratZ50ndj04, 11_lag_traBO, 19_lag_nppc3SSTjfm, 14_lag_stratZ50ndj03, 17_lag_ginwSSTjfm, 19_lag_traBS, 14_lag_shSICmar_1216_11"
LinearRegression,7,10,alpi,picntrl,1721.5,2050.5,0.8,22,12,12,20.660780054697444,0.19033951416515804,1216,"['15_lag_eapPSLjfm', '18_lag_stratZ50ndj03', '12_lag_shSICmar', '15_lag_traMC', '20_lag_traBS', '12_lag_samPSLann', '19_lag_traBS', '17_lag_ginwSSTjfm', '14_lag_shSICmar', '19_lag_nppc3SSTjfm']","[0.20223135414281013, 0.06782762489841689, 0.24757407704785045, 0.05013964829470889, 0.23088220764367, 0.19127956154638864, 0.23701805365798193, 0.07953341068759417, 0.21455107607776708, 0.0910871217994189]","15_lag_eapPSLjfm, 18_lag_stratZ50ndj03, 12_lag_shSICmar, 15_lag_traMC, 20_lag_traBS, 12_lag_samPSLann, 19_lag_traBS, 17_lag_ginwSSTjfm, 14_lag_shSICmar, 19_lag_nppc3SSTjfm_1216_12"
LinearRegression,8,10,alpi,picntrl,1722.5,2050.5,0.8,23,13,13,21.31555306874144,-0.018760348645145274,1216,"['14_lag_shSICmar', '13_lag_14_median_shSICmar', '18_lag_stratZ50ndj03', '15_lag_shSICmar', '15_lag_stratZ50ndj02', '20_lag_traBS', '20_lag_nppc3SSTjfm', '16_lag_traDP', '22_lag_ginwSSTjfm', '19_lag_nppc3SSTjfm']","[0.09794333561552342, 0.09794333561552337, 0.10727652893818031, 0.10054634212105432, 0.0805102361636194, 0.22105032471527636, 0.11691387908119912, 0.05701542393808538, 0.19068661687242006, 0.14282371958284046]","14_lag_shSICmar, 13_lag_14_median_shSICmar, 18_lag_stratZ50ndj03, 15_lag_shSICmar, 15_lag_stratZ50ndj02, 20_lag_traBS, 20_lag_nppc3SSTjfm, 16_lag_traDP, 22_lag_ginwSSTjfm, 19_lag_nppc3SSTjfm_1216_13"
LinearRegression,9,10,alpi,picntrl,1723.5,2050.5,0.8,24,14,14,20.39756444505776,0.11677399765906236,1216,"['23_lag_amo1', '18_lag_shSICsep', '16_lag_traDP', '18_lag_stratZ50ndj03', '23_lag_traEC', '19_lag_traBS', '19_lag_nppc3SSTjfm', '20_lag_nppc3SSTjfm', '22_lag_ginwSSTjfm', '14_lag_shSICmar']","[0.16385667929362646, 0.12318276265950505, 0.00909405593477517, 0.10084474350572564, 0.07262709896862393, 0.2036775472704241, 0.1199944776613607, 0.05642094353731805, 0.22531468238890806, 0.08536896051945558]","23_lag_amo1, 18_lag_shSICsep, 16_lag_traDP, 18_lag_stratZ50ndj03, 23_lag_traEC, 19_lag_traBS, 19_lag_nppc3SSTjfm, 20_lag_nppc3SSTjfm, 22_lag_ginwSSTjfm, 14_lag_shSICmar_1216_14"
