model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,amo1,picntrl,1066.5,2050.5,0.4,15,1,1,14.446626549201792,0.039139829365434926,567,"['3_lag_naoPSLjfm', '1_lag_2_median_amoSSTmjjaso', '1_lag_10_median_amoSSTmjjaso', '10_lag_nhSICjfm', '1_lag_11_median_amoSSTmjjaso', '1_lag_stratZ50ndj04']","[0.6353063406954895, 2.43868885866811, 2.691331349713244, 3.755216591867483, 6.497735709321095, 1.6268051880475092]","3_lag_naoPSLjfm, 1_lag_2_median_amoSSTmjjaso, 1_lag_10_median_amoSSTmjjaso, 10_lag_nhSICjfm, 1_lag_11_median_amoSSTmjjaso, 1_lag_stratZ50ndj04_567_1"
LRforcedPSO,1,6,amo1,picntrl,1067.5,2050.5,0.4,16,1,1,15.136542959522377,-0.030477845412509873,609,"['1_lag_14_median_nhSICjfm', '4_lag_stratZ50ndj01', '1_lag_2_median_AMOCann', '5_lag_amo1', '1_lag_atlSICjfm', '1_lag_15_median_stratZ50ndj02']","[5.561794426811312, 0.5722814683250732, 1.0028428895331487, 2.6985539695802396, 0.8805307153541833, 2.203558574051698]","1_lag_14_median_nhSICjfm, 4_lag_stratZ50ndj01, 1_lag_2_median_AMOCann, 5_lag_amo1, 1_lag_atlSICjfm, 1_lag_15_median_stratZ50ndj02_609_1"
LRforcedPSO,2,6,amo1,picntrl,1068.5,2050.5,0.4,17,1,1,14.399014654501066,-0.039431245851889334,651,"['1_lag_atlSICjfm', '1_lag_4_median_stratZ50ndj01', '1_lag_14_median_eurPSLjfm', '8_lag_stratZ50ndj04', '1_lag_3_median_AMOCann', '1_lag_3_median_naoPSLjfm']","[1.9404082213507183, 2.016196316923383, 2.1249503049296368, 1.593721291367113, 1.5942815994356887, 1.9169792437556834]","1_lag_atlSICjfm, 1_lag_4_median_stratZ50ndj01, 1_lag_14_median_eurPSLjfm, 8_lag_stratZ50ndj04, 1_lag_3_median_AMOCann, 1_lag_3_median_naoPSLjfm_651_1"
LRforcedPSO,3,6,amo1,picntrl,1069.5,2050.5,0.4,18,1,1,14.131847139307416,0.005002267019371351,693,"['14_lag_naoPSLjfm', '14_lag_nppc2SSTjfm', '12_lag_shSICmar', '1_lag_9_median_amoSSTjfm', '13_lag_amoSSTjfm', '3_lag_atlSICsep']","[1.985595472920446, 1.8183421642251179, 2.017125700513349, 1.9504238022517462, 1.5437125577323243, 1.6178689240053203]","14_lag_naoPSLjfm, 14_lag_nppc2SSTjfm, 12_lag_shSICmar, 1_lag_9_median_amoSSTjfm, 13_lag_amoSSTjfm, 3_lag_atlSICsep_693_1"
LRforcedPSO,4,6,amo1,picntrl,1070.5,2050.5,0.4,19,1,1,14.280114933031767,0.023915101052615663,735,"['1_lag_3_median_atlSICjfm', '18_lag_amoSSTjfm', '12_lag_amo2', '1_lag_8_median_amo3', '1_lag_18_median_amoSSTmjjaso', '10_lag_eurPSLjfm']","[2.1287721551518524, 2.0201575420053413, 2.4434629761150477, 2.2826357278064875, 2.5438624330103305, 2.0950202500105615]","1_lag_3_median_atlSICjfm, 18_lag_amoSSTjfm, 12_lag_amo2, 1_lag_8_median_amo3, 1_lag_18_median_amoSSTmjjaso, 10_lag_eurPSLjfm_735_1"
LRforcedPSO,5,6,amo1,picntrl,1071.5,2050.5,0.4,20,1,1,14.885058771743141,-0.04065941564153203,777,"['1_lag_7_median_naoPSLjfm', '1_lag_6_median_eurPSLjfm', '1_lag_12_median_stratZ50ndj03', '15_lag_amoSSTjfm', '1_lag_13_median_stratZ50ndj03', '1_lag_10_median_stratZ50ndj03']","[2.4480517027293143, 5.334131416301966, 9.874400919747455, 1.3860219408242216, 2.980815971450241, 5.954458648758947]","1_lag_7_median_naoPSLjfm, 1_lag_6_median_eurPSLjfm, 1_lag_12_median_stratZ50ndj03, 15_lag_amoSSTjfm, 1_lag_13_median_stratZ50ndj03, 1_lag_10_median_stratZ50ndj03_777_1"
LRforcedPSO,6,6,amo1,picntrl,1072.5,2050.5,0.4,21,1,1,14.118429930844924,-0.019800056825179473,819,"['4_lag_stratZ50ndj03', '14_lag_amo2', '1_lag_20_median_stratZ50ndj02', '1_lag_16_median_nhSICsep', '1_lag_18_median_stratZ50ndj02', '12_lag_amo1']","[2.0598036827399895, 3.556252145205793, 0.5201850139720587, 2.1455789598929655, 0.741468160791845, 1.2731980162798315]","4_lag_stratZ50ndj03, 14_lag_amo2, 1_lag_20_median_stratZ50ndj02, 1_lag_16_median_nhSICsep, 1_lag_18_median_stratZ50ndj02, 12_lag_amo1_819_1"
LRforcedPSO,7,6,amo1,picntrl,1073.5,2050.5,0.4,22,1,1,14.293492046378434,-0.03126039581466831,861,"['21_lag_stratZ50ndj02', '21_lag_amo3', '12_lag_amo2', '1_lag_7_median_amo3', '1_lag_20_median_stratZ50ndj02', '1_lag_18_median_AMOCann']","[0.40898169842739485, 0.08814621980439519, 2.4742455100881973, 1.521840520002316, 2.211877195255534, 1.69838556192272]","21_lag_stratZ50ndj02, 21_lag_amo3, 12_lag_amo2, 1_lag_7_median_amo3, 1_lag_20_median_stratZ50ndj02, 1_lag_18_median_AMOCann_861_1"
LRforcedPSO,8,6,amo1,picntrl,1074.5,2050.5,0.4,23,1,1,14.9814981198931,0.0393050186028747,903,"['1_lag_16_median_stratZ50ndj02', '3_lag_nhSICsep', '8_lag_atlSICjfm', '1_lag_9_median_naoPSLjfm', '5_lag_stratZ50ndj03', '1_lag_22_median_nhSICsep']","[5.251099189946573, 0.8603093770693278, 2.294255692674385, 1.6068430496150299, 1.7225192559652758, 3.834122068968149]","1_lag_16_median_stratZ50ndj02, 3_lag_nhSICsep, 8_lag_atlSICjfm, 1_lag_9_median_naoPSLjfm, 5_lag_stratZ50ndj03, 1_lag_22_median_nhSICsep_903_1"
LRforcedPSO,9,6,amo1,picntrl,1075.5,2050.5,0.4,24,1,1,14.254745928981533,0.04539479830753784,945,"['2_lag_amoSSTjfm', '14_lag_amo3', '18_lag_nppc2SSTjfm', '6_lag_atlSICsep', '1_lag_15_median_naoPSLjfm', '7_lag_stratZ50ndj04']","[2.6914056219490368, 0.5113035758501265, 0.9105633369820403, 1.884570040610214, 3.9658658587633298, 0.9106033401275386]","2_lag_amoSSTjfm, 14_lag_amo3, 18_lag_nppc2SSTjfm, 6_lag_atlSICsep, 1_lag_15_median_naoPSLjfm, 7_lag_stratZ50ndj04_945_1"
