model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,amo1,picntrl,1066.5,2050.5,0.6,15,1,1,11.419108119973897,0.5473173078995315,1728,"['1_lag_amoSSTmjjaso', '3_lag_traFB', '1_lag_8_median_stratZ50ndj02', '1_lag_stratZ50ndj03', '14_lag_mhfATL45', '14_lag_nchinaPRjja', '1_lag_samPSLann', '5_lag_glomaSSTjfm', '4_lag_naoPSLjfm', '1_lag_traIT']","[0.3274963673430686, 0.0647994931902508, 0.07497559406463455, 0.020606567625000804, 0.003819331730357825, 0.06931026311200333, 0.1682014040296937, 0.005684335777679243, 0.0047114116031403315, 0.373831669031063]","1_lag_amoSSTmjjaso, 3_lag_traFB, 1_lag_8_median_stratZ50ndj02, 1_lag_stratZ50ndj03, 14_lag_mhfATL45, 14_lag_nchinaPRjja, 1_lag_samPSLann, 5_lag_glomaSSTjfm, 4_lag_naoPSLjfm, 1_lag_traIT_1728_1"
LinearRegression,1,10,amo1,picntrl,1067.5,2050.5,0.6,16,1,1,11.536078307856862,0.5465175667033754,1856,"['14_lag_mhfIP30', '1_lag_amoSSTmjjaso', '9_lag_satlSSTjfm', '14_lag_nchinaPRjja', '4_lag_naoPSLjfm', '12_lag_satlSSTjfm', '7_lag_ormenSSTjfm', '5_lag_glomaSSTjfm', '1_lag_samPSLann', '1_lag_traIT']","[0.06821329940907485, 0.32274353496836405, 0.12484423359517921, 0.07113715138950424, 0.00169497805850094, 0.05478117247491202, 0.09628497677457748, 0.001744241266375568, 0.16187561163061165, 0.36597411108311034]","14_lag_mhfIP30, 1_lag_amoSSTmjjaso, 9_lag_satlSSTjfm, 14_lag_nchinaPRjja, 4_lag_naoPSLjfm, 12_lag_satlSSTjfm, 7_lag_ormenSSTjfm, 5_lag_glomaSSTjfm, 1_lag_samPSLann, 1_lag_traIT_1856_1"
LinearRegression,2,10,amo1,picntrl,1068.5,2050.5,0.6,17,1,1,12.069116468573817,0.45942120012230797,1984,"['14_lag_nchinaPRjja', '9_lag_satlSSTjfm', '12_lag_tripol3', '14_lag_nppc3SSTjfm', '14_lag_mhfIP30', '12_lag_satlSSTjfm', '7_lag_ormenSSTjfm', '5_lag_glomaSSTjfm', '1_lag_samPSLann', '1_lag_traIT']","[0.09175178739413263, 0.08534265227516477, 0.05729167455534499, 0.018232196789167956, 0.0676147167763721, 0.06843856265335843, 0.09504979741384692, 0.006434219440948442, 0.17525746195607195, 0.3484052504367772]","14_lag_nchinaPRjja, 9_lag_satlSSTjfm, 12_lag_tripol3, 14_lag_nppc3SSTjfm, 14_lag_mhfIP30, 12_lag_satlSSTjfm, 7_lag_ormenSSTjfm, 5_lag_glomaSSTjfm, 1_lag_samPSLann, 1_lag_traIT_1984_1"
LinearRegression,3,10,amo1,picntrl,1069.5,2050.5,0.6,18,1,1,11.54299562010242,0.5222853620941453,2112,"['14_lag_nchinaPRjja', '1_lag_amoSSTmjjaso', '12_lag_tripol3', '12_lag_satlSSTjfm', '5_lag_glomaSSTjfm', '14_lag_nppc3SSTjfm', '7_lag_ormenSSTjfm', '17_lag_traWP', '1_lag_samPSLann', '1_lag_traIT']","[0.05957828974174909, 0.3157846242044893, 0.07510567780710481, 0.043042386620956524, 0.0053687125201631325, 0.0030801958907837905, 0.08536846143480252, 0.05886670599369652, 0.16485766316334566, 0.3756087608059672]","14_lag_nchinaPRjja, 1_lag_amoSSTmjjaso, 12_lag_tripol3, 12_lag_satlSSTjfm, 5_lag_glomaSSTjfm, 14_lag_nppc3SSTjfm, 7_lag_ormenSSTjfm, 17_lag_traWP, 1_lag_samPSLann, 1_lag_traIT_2112_1"
LinearRegression,4,10,amo1,picntrl,1070.5,2050.5,0.6,19,1,1,11.56529115293335,0.5191884728504433,2240,"['16_lag_amo1', '17_lag_traWP', '7_lag_ormenSSTjfm', '14_lag_wnorPRjfm', '14_lag_mhfIP30', '5_lag_glomaSSTjfm', '1_lag_amoSSTmjjaso', '14_lag_nchinaPRjja', '1_lag_samPSLann', '1_lag_traIT']","[0.05913225493709783, 0.06759224809987785, 0.08394789643688896, 0.08891602462027191, 0.08715111508158181, 0.025824157995522165, 0.3075222024156015, 0.06870650010821608, 0.16058905911760085, 0.3735557931268728]","16_lag_amo1, 17_lag_traWP, 7_lag_ormenSSTjfm, 14_lag_wnorPRjfm, 14_lag_mhfIP30, 5_lag_glomaSSTjfm, 1_lag_amoSSTmjjaso, 14_lag_nchinaPRjja, 1_lag_samPSLann, 1_lag_traIT_2240_1"
LinearRegression,5,10,amo1,picntrl,1071.5,2050.5,0.6,20,1,1,11.522842574155867,0.5360825940410752,2368,"['17_lag_traWP', '5_lag_glomaSSTjfm', '10_lag_traEU', '1_lag_amoSSTmjjaso', '11_lag_shSICmar', '17_lag_traFSC', '19_lag_eurPSLjfm', '19_lag_seurTSjfm', '1_lag_samPSLann', '1_lag_traIT']","[0.08004413837373307, 0.014746029858831552, 0.004747610196773637, 0.3117623573969965, 0.009729179938539981, 0.07105586605070358, 0.02028846781981205, 0.06832217130956697, 0.16215491299161977, 0.3864853146237121]","17_lag_traWP, 5_lag_glomaSSTjfm, 10_lag_traEU, 1_lag_amoSSTmjjaso, 11_lag_shSICmar, 17_lag_traFSC, 19_lag_eurPSLjfm, 19_lag_seurTSjfm, 1_lag_samPSLann, 1_lag_traIT_2368_1"
LinearRegression,6,10,amo1,picntrl,1072.5,2050.5,0.6,21,1,1,11.642670291291315,0.5223805888967873,2496,"['14_lag_nchinaPRjja', '12_lag_satlSSTjfm', '19_lag_eurPSLjfm', '19_lag_seurTSjfm', '1_lag_amoSSTmjjaso', '1_lag_traTLS', '11_lag_shSICmar', '17_lag_traFSC', '1_lag_samPSLann', '1_lag_traIT']","[0.06223867327899371, 0.060478926732154624, 0.00307379606815345, 0.06293069108956693, 0.31439902669905834, 0.10977531739702184, 0.013047070475033484, 0.03969445505445001, 0.17448629746597985, 0.29095507884265265]","14_lag_nchinaPRjja, 12_lag_satlSSTjfm, 19_lag_eurPSLjfm, 19_lag_seurTSjfm, 1_lag_amoSSTmjjaso, 1_lag_traTLS, 11_lag_shSICmar, 17_lag_traFSC, 1_lag_samPSLann, 1_lag_traIT_2496_1"
LinearRegression,7,10,amo1,picntrl,1073.5,2050.5,0.6,22,1,1,11.656427533509518,0.5172757101593914,2624,"['17_lag_traFSC', '21_lag_traBS', '19_lag_alpi', '19_lag_eurPSLjfm', '12_lag_satlSSTjfm', '1_lag_amoSSTmjjaso', '1_lag_traTLS', '21_lag_nchinaPRjja', '1_lag_samPSLann', '1_lag_traIT']","[0.04360919652819215, 0.07849757435489904, 0.013882642898148015, 0.02600544460007833, 0.06491472538726197, 0.3179810786551393, 0.11306520362196315, 0.04396659134595711, 0.16270170507412862, 0.284648348115913]","17_lag_traFSC, 21_lag_traBS, 19_lag_alpi, 19_lag_eurPSLjfm, 12_lag_satlSSTjfm, 1_lag_amoSSTmjjaso, 1_lag_traTLS, 21_lag_nchinaPRjja, 1_lag_samPSLann, 1_lag_traIT_2624_1"
LinearRegression,8,10,amo1,picntrl,1074.5,2050.5,0.6,23,1,1,11.782115615764008,0.5076238584797418,2752,"['19_lag_eurPSLjfm', '21_lag_nchinaPRjja', '11_lag_ismPRjja', '12_lag_satlSSTjfm', '22_lag_nchinaPRjja', '21_lag_traBS', '1_lag_amoSSTmjjaso', '1_lag_traTLS', '1_lag_samPSLann', '1_lag_traIT']","[0.01657250756994278, 0.04701811956332383, 0.06993226621242979, 0.06729003094588627, 0.03813847833465629, 0.07207355208492754, 0.31487426533058416, 0.11024936039410599, 0.16423017485939811, 0.2793845360063198]","19_lag_eurPSLjfm, 21_lag_nchinaPRjja, 11_lag_ismPRjja, 12_lag_satlSSTjfm, 22_lag_nchinaPRjja, 21_lag_traBS, 1_lag_amoSSTmjjaso, 1_lag_traTLS, 1_lag_samPSLann, 1_lag_traIT_2752_1"
LinearRegression,9,10,amo1,picntrl,1075.5,2050.5,0.6,24,1,1,11.757034615589879,0.5127487679964762,2880,"['20_lag_naoPSLjfm', '21_lag_nchinaPRjja', '11_lag_ismPRjja', '19_lag_seurTSjfm', '22_lag_nchinaPRjja', '21_lag_traBS', '1_lag_amoSSTmjjaso', '1_lag_samPSLann', '1_lag_traTLS', '1_lag_traIT']","[0.02782377094635119, 0.042731324240330715, 0.07318343361728342, 0.06768091324306524, 0.042903382414864785, 0.06540482185654121, 0.3128689757800858, 0.16281404392912247, 0.10866953972026985, 0.27932497409247875]","20_lag_naoPSLjfm, 21_lag_nchinaPRjja, 11_lag_ismPRjja, 19_lag_seurTSjfm, 22_lag_nchinaPRjja, 21_lag_traBS, 1_lag_amoSSTmjjaso, 1_lag_samPSLann, 1_lag_traTLS, 1_lag_traIT_2880_1"
