model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,amo2,picntrl,1514.5,2050.5,0.6,15,1,1,14.109360364877618,0.19033504540158466,1728,"['14_lag_wnorPRjfm', '3_lag_satlSSTjfm', '1_lag_5_median_glomaSSTjfm', '1_lag_scpPSLjfm', '1_lag_8_median_AMOCann', '1_lag_seurTSjfm', '6_lag_labSSTjfm', '10_lag_gyreSSTjfm', '10_lag_ensoSSTjfm', '7_lag_ormenSSTjfm']","[2.1751706812851683, 3.286270670695335, 4.146326590082861, 3.7419057667586557, 0.5745557696798187, 2.1837940046999105, 1.0184584709856725, 3.0681977395383697, 2.5415629715662202, 5.985123038245902]","14_lag_wnorPRjfm, 3_lag_satlSSTjfm, 1_lag_5_median_glomaSSTjfm, 1_lag_scpPSLjfm, 1_lag_8_median_AMOCann, 1_lag_seurTSjfm, 6_lag_labSSTjfm, 10_lag_gyreSSTjfm, 10_lag_ensoSSTjfm, 7_lag_ormenSSTjfm_1728_1"
LRforcedPSO,1,10,amo2,picntrl,1515.5,2050.5,0.6,16,1,1,14.190748301425161,0.19327961731130788,1856,"['1_lag_5_median_naoPSLjfm', '1_lag_11_median_ginwSSTjfm', '1_lag_14_median_mhfATL60', '12_lag_tripol1', '3_lag_glomaSSTjfm', '10_lag_stratZ50ndj01', '4_lag_atlSICsep', '1_lag_13_median_traWP', '12_lag_seurTSjfm', '1_lag_14_median_mhfATL30']","[0.29084320643057104, 2.9474445369238484, 6.875255120589636, 1.104597185623522, 2.4363867922973625, 0.37584647974733976, 0.12796971750074704, 3.3567985660596573, 1.7143783283877987, 7.084108294678952]","1_lag_5_median_naoPSLjfm, 1_lag_11_median_ginwSSTjfm, 1_lag_14_median_mhfATL60, 12_lag_tripol1, 3_lag_glomaSSTjfm, 10_lag_stratZ50ndj01, 4_lag_atlSICsep, 1_lag_13_median_traWP, 12_lag_seurTSjfm, 1_lag_14_median_mhfATL30_1856_1"
LRforcedPSO,2,10,amo2,picntrl,1516.5,2050.5,0.6,17,1,1,13.465256634883884,0.23384145445337956,1984,"['6_lag_pdoSSTjfm', '1_lag_11_median_traDS', '1_lag_15_median_traDS', '1_lag_4_median_mhfIP30', '1_lag_16_median_amo3', '1_lag_3_median_seurTSjfm', '1_lag_6_median_ginwSSTjfm', '1_lag_11_median_shSICmar', '1_lag_4_median_atlSICjfm', '1_lag_12_median_seurTSjfm']","[2.239746623351282, 4.5265515268415175, 1.2561989161743412, 0.8481956802527577, 1.9782380789737104, 1.1101969682068038, 5.148518836357326, 4.278547162629955, 0.2552892333812995, 1.374295179469014]","6_lag_pdoSSTjfm, 1_lag_11_median_traDS, 1_lag_15_median_traDS, 1_lag_4_median_mhfIP30, 1_lag_16_median_amo3, 1_lag_3_median_seurTSjfm, 1_lag_6_median_ginwSSTjfm, 1_lag_11_median_shSICmar, 1_lag_4_median_atlSICjfm, 1_lag_12_median_seurTSjfm_1984_1"
LRforcedPSO,3,10,amo2,picntrl,1517.5,2050.5,0.6,18,1,1,16.510466548099263,-0.042239542068222724,2112,"['5_lag_nhTSjfm', '10_lag_nppc3SSTjfm', '1_lag_11_median_tripol1', '6_lag_seurTSjfm', '13_lag_mhfATL30', '1_lag_10_median_traTLS', '1_lag_8_median_shTSjfm', '1_lag_14_median_stratZ50ndj01', '14_lag_naoPSLjfm', '3_lag_tripol3']","[2.336228529710647, 5.346231604372786, 2.5500655731275206, 1.663949421342764, 2.8087561346323975, 0.990024121117747, 1.2172503336841434, 4.13448529801868, 0.6341172565141768, 1.4080957325065295]","5_lag_nhTSjfm, 10_lag_nppc3SSTjfm, 1_lag_11_median_tripol1, 6_lag_seurTSjfm, 13_lag_mhfATL30, 1_lag_10_median_traTLS, 1_lag_8_median_shTSjfm, 1_lag_14_median_stratZ50ndj01, 14_lag_naoPSLjfm, 3_lag_tripol3_2112_1"
LRforcedPSO,4,10,amo2,picntrl,1518.5,2050.5,0.6,19,1,1,16.67140380776947,0.35365158506051486,2240,"['1_lag_18_median_amo2', '17_lag_stratZ50ndj03', '1_lag_15_median_glomaSSTjfm', '1_lag_8_median_ormenSSTjfm', '17_lag_nppc2SSTjfm', '4_lag_mhfATL45', '14_lag_samPSLann', '6_lag_glTSjfm', '1_lag_14_median_nhSICjfm', '18_lag_nppc2SSTjfm']","[8.71165377367532, 7.223194364573809, 3.148454781041452, 2.3098627856773106, 2.7787908889861423, 2.1162776025338044, 2.892110070416276, 0.9603284773781802, 4.666712700137749, 2.877994292839297]","1_lag_18_median_amo2, 17_lag_stratZ50ndj03, 1_lag_15_median_glomaSSTjfm, 1_lag_8_median_ormenSSTjfm, 17_lag_nppc2SSTjfm, 4_lag_mhfATL45, 14_lag_samPSLann, 6_lag_glTSjfm, 1_lag_14_median_nhSICjfm, 18_lag_nppc2SSTjfm_2240_1"
LRforcedPSO,5,10,amo2,picntrl,1519.5,2050.5,0.6,20,1,1,17.076152719638696,0.13690368738431474,2368,"['15_lag_nppc3SSTjfm', '1_lag_19_median_stratZ50ndj03', '10_lag_traIFC', '19_lag_stratZ50ndj01', '16_lag_amo1', '1_lag_11_median_gyreSSTjfm', '1_lag_15_median_traCA', '1_lag_18_median_eurPSLjfm', '15_lag_ormenSSTjfm', '1_lag_13_median_naoPSLjfm']","[4.446160865395136, 7.112686609139004, 1.1978215719461573, 2.526137891244627, 2.6621934714028015, 0.06195677564096336, 2.684695906734296, 0.21818486471627097, 7.496575965587768, 5.7906618218290244]","15_lag_nppc3SSTjfm, 1_lag_19_median_stratZ50ndj03, 10_lag_traIFC, 19_lag_stratZ50ndj01, 16_lag_amo1, 1_lag_11_median_gyreSSTjfm, 1_lag_15_median_traCA, 1_lag_18_median_eurPSLjfm, 15_lag_ormenSSTjfm, 1_lag_13_median_naoPSLjfm_2368_1"
LRforcedPSO,6,10,amo2,picntrl,1520.5,2050.5,0.6,21,1,1,16.637604956800644,-0.0887831071500762,2496,"['1_lag_6_median_pdoSSTjfm', '10_lag_labSSTjfm', '1_lag_13_median_amoSSTmjjaso', '13_lag_traCA', '1_lag_17_median_traFSC', '20_lag_mhfATL30', '11_lag_scpPSLjfm', '1_lag_9_median_stratZ50ndj01', '1_lag_3_median_atlSICsep', '8_lag_stratZ50ndj04']","[3.9132506922134063, 7.490587067940439, 1.212765288587054, 1.4513420127371983, 1.3318906846158995, 2.4782957785038118, 5.628130942526379, 0.5886194415824697, 3.5531551542899686, 5.081585240988151]","1_lag_6_median_pdoSSTjfm, 10_lag_labSSTjfm, 1_lag_13_median_amoSSTmjjaso, 13_lag_traCA, 1_lag_17_median_traFSC, 20_lag_mhfATL30, 11_lag_scpPSLjfm, 1_lag_9_median_stratZ50ndj01, 1_lag_3_median_atlSICsep, 8_lag_stratZ50ndj04_2496_1"
LRforcedPSO,7,10,amo2,picntrl,1521.5,2050.5,0.6,22,1,1,17.545368953469822,-0.11316008554710708,2624,"['1_lag_10_median_AMOCann', '16_lag_stratZ50ndj01', '1_lag_3_median_cetTSjfm', '19_lag_alpi', '15_lag_traIT', '7_lag_traDS', '1_lag_7_median_ensoSSTjfm', '1_lag_18_median_nhSICjfm', '1_lag_15_median_glTSjfm', '1_lag_7_median_samPSLann']","[1.0650094924324875, 2.068005030172748, 2.528973676637225, 3.9023870702998646, 3.446217569357602, 4.073552818020829, 2.911996888399373, 5.122312220639865, 0.7552763245056724, 0.1682284630551507]","1_lag_10_median_AMOCann, 16_lag_stratZ50ndj01, 1_lag_3_median_cetTSjfm, 19_lag_alpi, 15_lag_traIT, 7_lag_traDS, 1_lag_7_median_ensoSSTjfm, 1_lag_18_median_nhSICjfm, 1_lag_15_median_glTSjfm, 1_lag_7_median_samPSLann_2624_1"
LRforcedPSO,8,10,amo2,picntrl,1522.5,2050.5,0.6,23,1,1,15.321699811881317,0.12478765128353558,2752,"['2_lag_atlSICsep', '18_lag_traWP', '1_lag_13_median_nhTSjfm', '1_lag_10_median_shTSjfm', '14_lag_glomaSSTjfm', '1_lag_16_median_amo3', '21_lag_mhfATL45', '1_lag_6_median_gyreSSTjfm', '8_lag_traFS', '1_lag_3_median_satlSSTjfm']","[0.5375355969548519, 5.545672204456393, 4.4056996837133315, 3.1707299529853046, 4.740930553421219, 2.652521885623889, 0.2569633023683249, 4.7840088639735345, 5.410812567778688, 3.323356952011764]","2_lag_atlSICsep, 18_lag_traWP, 1_lag_13_median_nhTSjfm, 1_lag_10_median_shTSjfm, 14_lag_glomaSSTjfm, 1_lag_16_median_amo3, 21_lag_mhfATL45, 1_lag_6_median_gyreSSTjfm, 8_lag_traFS, 1_lag_3_median_satlSSTjfm_2752_1"
LRforcedPSO,9,10,amo2,picntrl,1523.5,2050.5,0.6,24,1,1,16.227722329063564,-0.006053116249553486,2880,"['1_lag_18_median_nchinaPRjja', '3_lag_traBS', '17_lag_shTSjfm', '23_lag_gyreSSTjfm', '19_lag_satlSSTjfm', '22_lag_amo1', '1_lag_19_median_traDS', '17_lag_ismPRjja', '1_lag_3_median_amoSSTmjjaso', '5_lag_amo2']","[1.4639032672857937, 0.7188865329643583, 3.186978301048546, 0.6253149207593864, 4.00717927854889, 5.803952801992798, 8.845723532611782, 2.523022426641754, 1.6234097433754808, 0.5280757852421623]","1_lag_18_median_nchinaPRjja, 3_lag_traBS, 17_lag_shTSjfm, 23_lag_gyreSSTjfm, 19_lag_satlSSTjfm, 22_lag_amo1, 1_lag_19_median_traDS, 17_lag_ismPRjja, 1_lag_3_median_amoSSTmjjaso, 5_lag_amo2_2880_1"
