model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,amoSSTmjjaso,picntrl,1714.5,2050.5,0.8,15,1,1,16.657915511557395,0.2243850269970309,1728,"['4_lag_nhTSjfm', '5_lag_scpPSLjfm', '11_lag_tripol1', '6_lag_traIT', '1_lag_7_median_naoPSLjfm', '9_lag_glTSjfm', '2_lag_traFSC', '2_lag_mhfATL30', '1_lag_7_median_traTLS', '1_lag_12_median_arcTSjfm']","[1.4744498377934274, 4.567432734844779, 2.3016201187526386, 4.268609768893823, 1.6197199442081924, 1.9059079369892036, 5.495084617873509, 0.40194696598587853, 7.283559966631598, 5.409232308417364]","4_lag_nhTSjfm, 5_lag_scpPSLjfm, 11_lag_tripol1, 6_lag_traIT, 1_lag_7_median_naoPSLjfm, 9_lag_glTSjfm, 2_lag_traFSC, 2_lag_mhfATL30, 1_lag_7_median_traTLS, 1_lag_12_median_arcTSjfm_1728_1"
LRforcedPSO,1,10,amoSSTmjjaso,picntrl,1715.5,2050.5,0.8,16,1,1,16.690293835662786,0.15061710899396208,1856,"['1_lag_14_median_shTSjfm', '1_lag_2_median_scpPSLjfm', '6_lag_traDS', '1_lag_5_median_nhTSjfm', '1_lag_7_median_mhfATL45', '15_lag_pdoSSTjfm', '1_lag_9_median_stratZ50ndj03', '1_lag_8_median_satlSSTjfm', '1_lag_3_median_tripol1', '1_lag_7_median_glTSjfm']","[5.651603942342658, 3.158679940041651, 0.6787980430012297, 2.950194364482069, 2.4299863815468736, 2.5661831751702824, 5.458060213131657, 0.18871935283542918, 2.816355075347385, 9.280014953767797]","1_lag_14_median_shTSjfm, 1_lag_2_median_scpPSLjfm, 6_lag_traDS, 1_lag_5_median_nhTSjfm, 1_lag_7_median_mhfATL45, 15_lag_pdoSSTjfm, 1_lag_9_median_stratZ50ndj03, 1_lag_8_median_satlSSTjfm, 1_lag_3_median_tripol1, 1_lag_7_median_glTSjfm_1856_1"
LRforcedPSO,2,10,amoSSTmjjaso,picntrl,1716.5,2050.5,0.8,17,1,1,16.00109140258513,0.17085680851072793,1984,"['1_lag_12_median_traCA', '1_lag_10_median_tripol2', '1_lag_9_median_mhfATL30', '4_lag_samPSLann', '9_lag_shSICsep', '1_lag_3_median_scpPSLjfm', '1_lag_5_median_glomaSSTjfm', '2_lag_traFS', '7_lag_samPSLann', '15_lag_amo1']","[8.98869577964701, 1.8487732035355204, 0.4847757372337149, 2.5898251747955854, 1.9913444773887683, 0.11881894790414549, 4.682249312351514, 1.8346627484869664, 6.695375546280838, 3.3134846907890463]","1_lag_12_median_traCA, 1_lag_10_median_tripol2, 1_lag_9_median_mhfATL30, 4_lag_samPSLann, 9_lag_shSICsep, 1_lag_3_median_scpPSLjfm, 1_lag_5_median_glomaSSTjfm, 2_lag_traFS, 7_lag_samPSLann, 15_lag_amo1_1984_1"
LRforcedPSO,3,10,amoSSTmjjaso,picntrl,1717.5,2050.5,0.8,18,1,1,17.05902430227672,-0.12379791895022656,2112,"['14_lag_traBO', '8_lag_traDP', '1_lag_14_median_shTSjfm', '1_lag_7_median_traIT', '1_lag_10_median_traBS', '5_lag_traWP', '1_lag_8_median_traFS', '1_lag_6_median_alpi', '1_lag_6_median_amo2', '16_lag_gyreSSTjfm']","[5.826389257247426, 2.2795704293474834, 0.16076767847567552, 2.281926727075307, 1.1432327718020083, 4.088674026054777, 7.459020803367125, 1.6194197296614359, 1.656344122289923, 3.106638760508636]","14_lag_traBO, 8_lag_traDP, 1_lag_14_median_shTSjfm, 1_lag_7_median_traIT, 1_lag_10_median_traBS, 5_lag_traWP, 1_lag_8_median_traFS, 1_lag_6_median_alpi, 1_lag_6_median_amo2, 16_lag_gyreSSTjfm_2112_1"
LRforcedPSO,4,10,amoSSTmjjaso,picntrl,1718.5,2050.5,0.8,19,1,1,17.49080598425605,-0.06309285030799328,2240,"['1_lag_8_median_ginwSSTjfm', '1_lag_5_median_amoSSTmjjaso', '13_lag_traFS', '8_lag_mhfATL30', '1_lag_2_median_stratZ50ndj03', '1_lag_14_median_traDS', '5_lag_ensoSSTjfm', '1_lag_18_median_nhTSjfm', '1_lag_16_median_nppc3SSTjfm', '1_lag_6_median_tripol3']","[2.1669383760858274, 3.0684808256470593, 4.646612132641263, 3.696528438904515, 0.8790740557200181, 5.296199319936365, 4.874844472154411, 4.378911683961415, 6.17121264727289, 5.402437451885113]","1_lag_8_median_ginwSSTjfm, 1_lag_5_median_amoSSTmjjaso, 13_lag_traFS, 8_lag_mhfATL30, 1_lag_2_median_stratZ50ndj03, 1_lag_14_median_traDS, 5_lag_ensoSSTjfm, 1_lag_18_median_nhTSjfm, 1_lag_16_median_nppc3SSTjfm, 1_lag_6_median_tripol3_2240_1"
LRforcedPSO,5,10,amoSSTmjjaso,picntrl,1719.5,2050.5,0.8,20,1,1,16.584233344496685,0.06909431926997568,2368,"['11_lag_traFB', '18_lag_nppc2SSTjfm', '1_lag_16_median_mhfATL60', '17_lag_stratZ50ndj04', '1_lag_9_median_traIFC', '18_lag_amo2', '1_lag_14_median_mhfATL30', '1_lag_15_median_eapPSLjfm', '1_lag_13_median_cetTSjfm', '13_lag_mhfIP30']","[1.5643451752108142, 3.6033299807734354, 7.071127173629661, 0.8947632139436461, 2.8747181942174382, 7.093514658094467, 8.27762370999309, 2.4183663308640035, 2.7804219674195068, 3.307820794264618]","11_lag_traFB, 18_lag_nppc2SSTjfm, 1_lag_16_median_mhfATL60, 17_lag_stratZ50ndj04, 1_lag_9_median_traIFC, 18_lag_amo2, 1_lag_14_median_mhfATL30, 1_lag_15_median_eapPSLjfm, 1_lag_13_median_cetTSjfm, 13_lag_mhfIP30_2368_1"
LRforcedPSO,6,10,amoSSTmjjaso,picntrl,1720.5,2050.5,0.8,21,1,1,14.394752171414943,0.17181098586983667,2496,"['1_lag_2_median_mhfATL45', '13_lag_shSICmar', '1_lag_3_median_samPSLann', '1_lag_10_median_nhSICjfm', '1_lag_4_median_tripol2', '1_lag_20_median_ismPRjja', '1_lag_16_median_mhfATL30', '1_lag_19_median_traWP', '7_lag_stratZ50ndj01', '1_lag_9_median_traCA']","[3.2667235744160656, 1.6426823062200633, 4.4447895189041695, 4.99280302571788, 3.4167552906629695, 4.330592999104546, 4.138773747110614, 1.3181705939907467, 0.835676150188231, 2.1032020004271557]","1_lag_2_median_mhfATL45, 13_lag_shSICmar, 1_lag_3_median_samPSLann, 1_lag_10_median_nhSICjfm, 1_lag_4_median_tripol2, 1_lag_20_median_ismPRjja, 1_lag_16_median_mhfATL30, 1_lag_19_median_traWP, 7_lag_stratZ50ndj01, 1_lag_9_median_traCA_2496_1"
LRforcedPSO,7,10,amoSSTmjjaso,picntrl,1721.5,2050.5,0.8,22,2,2,17.952407467061835,0.08682788343080387,2496,"['5_lag_satlSSTjfm', '2_lag_14_median_traFS', '6_lag_stratZ50ndj02', '2_lag_6_median_tripol3', '2_lag_9_median_labSSTjfm', '2_lag_15_median_ginwSSTjfm', '2_lag_17_median_alpi', '2_lag_10_median_tripol3', '11_lag_eurPSLjfm', '2_lag_10_median_ismPRjja']","[2.666036471426958, 8.502731802179841, 1.769966017592557, 5.148079030079449, 7.948429047045106, 8.501609927437162, 2.8565966610634312, 4.381927247401325, 2.3779383248018444, 3.7903086964053507]","5_lag_satlSSTjfm, 2_lag_14_median_traFS, 6_lag_stratZ50ndj02, 2_lag_6_median_tripol3, 2_lag_9_median_labSSTjfm, 2_lag_15_median_ginwSSTjfm, 2_lag_17_median_alpi, 2_lag_10_median_tripol3, 11_lag_eurPSLjfm, 2_lag_10_median_ismPRjja_2496_2"
LRforcedPSO,8,10,amoSSTmjjaso,picntrl,1722.5,2050.5,0.8,23,3,3,16.04868596579042,-0.015958722903329337,2496,"['6_lag_ensoSSTjfm', '11_lag_mhfATL30', '10_lag_stratZ50ndj03', '3_lag_11_median_samPSLann', '19_lag_AMOCann', '7_lag_eurPSLjfm', '3_lag_15_median_nchinaPRjja', '4_lag_amoSSTmjjaso', '19_lag_nppc2SSTjfm', '7_lag_neurTSjfm']","[1.630645150865849, 2.747349494352383, 4.874306868814841, 5.13800370940486, 0.6857265601187645, 1.294749791549565, 1.093428119438915, 8.664569940992251, 0.9264726246083264, 1.2016692800861772]","6_lag_ensoSSTjfm, 11_lag_mhfATL30, 10_lag_stratZ50ndj03, 3_lag_11_median_samPSLann, 19_lag_AMOCann, 7_lag_eurPSLjfm, 3_lag_15_median_nchinaPRjja, 4_lag_amoSSTmjjaso, 19_lag_nppc2SSTjfm, 7_lag_neurTSjfm_2496_3"
LRforcedPSO,9,10,amoSSTmjjaso,picntrl,1723.5,2050.5,0.8,24,4,4,18.96147293546339,-0.17383329439786094,2496,"['15_lag_traEC', '23_lag_scpPSLjfm', '22_lag_amo3', '19_lag_nhSICsep', '4_lag_20_median_traBO', '19_lag_alpi', '4_lag_9_median_tripol1', '13_lag_neurTSjfm', '20_lag_traEC', '11_lag_stratZ50ndj04']","[2.157199434881873, 3.6100394793231043, 3.3552580844479944, 9.226567372541627, 3.723934126646963, 1.1170753428830835, 6.357364396020241, 1.157003192942458, 1.4206513750402259, 0.36446098166864793]","15_lag_traEC, 23_lag_scpPSLjfm, 22_lag_amo3, 19_lag_nhSICsep, 4_lag_20_median_traBO, 19_lag_alpi, 4_lag_9_median_tripol1, 13_lag_neurTSjfm, 20_lag_traEC, 11_lag_stratZ50ndj04_2496_4"
