model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,amoSSTmjjaso,picntrl,1714.5,2050.5,0.6,15,5,5,15.836720050776515,0.03846690456667857,399,"['5_lag_14_median_nppc2SSTjfm', '9_lag_AMOCann', '5_lag_13_median_eurPSLjfm', '11_lag_stratZ50ndj04', '6_lag_stratZ50ndj04', '5_lag_11_median_nppc2SSTjfm']","[9.496670973251668, 4.7346307353439006, 1.1982483176816494, 1.6284923527299355, 0.3601846552018486, 8.507377017596614]","5_lag_14_median_nppc2SSTjfm, 9_lag_AMOCann, 5_lag_13_median_eurPSLjfm, 11_lag_stratZ50ndj04, 6_lag_stratZ50ndj04, 5_lag_11_median_nppc2SSTjfm_399_5"
LRforcedPSO,1,6,amoSSTmjjaso,picntrl,1715.5,2050.5,0.6,16,6,6,16.446699797765145,-0.01385634392462649,399,"['8_lag_AMOCann', '8_lag_stratZ50ndj04', '11_lag_stratZ50ndj01', '12_lag_shSICsep', '10_lag_scpPSLjfm', '6_lag_11_median_AMOCann']","[5.986016327599636, 1.7243273086447353, 8.42152497039163, 1.1944284451627212, 0.30753556155940664, 3.212132346071563]","8_lag_AMOCann, 8_lag_stratZ50ndj04, 11_lag_stratZ50ndj01, 12_lag_shSICsep, 10_lag_scpPSLjfm, 6_lag_11_median_AMOCann_399_6"
LRforcedPSO,2,6,amoSSTmjjaso,picntrl,1716.5,2050.5,0.6,17,7,7,15.55705311176313,0.026712980630667748,399,"['8_lag_amo3', '7_lag_13_median_amo3', '9_lag_eapPSLjfm', '7_lag_15_median_nhSICjfm', '7_lag_15_median_AMOCann', '16_lag_scpPSLjfm']","[1.212902526925708, 0.793688828868893, 4.874904653991351, 2.9765762817717594, 1.7448125130500394, 0.26980008092120755]","8_lag_amo3, 7_lag_13_median_amo3, 9_lag_eapPSLjfm, 7_lag_15_median_nhSICjfm, 7_lag_15_median_AMOCann, 16_lag_scpPSLjfm_399_7"
LRforcedPSO,3,6,amoSSTmjjaso,picntrl,1717.5,2050.5,0.6,18,8,8,15.433756173045055,0.03183133148162742,399,"['16_lag_nhSICsep', '8_lag_14_median_stratZ50ndj01', '8_lag_14_median_nhSICjfm', '16_lag_amoSSTjfm', '8_lag_amo2', '8_lag_10_median_scpPSLjfm']","[2.5003524725456003, 1.0539152361464978, 0.20113137754050214, 3.657571443572234, 0.8045161161447201, 0.3423576006908373]","16_lag_nhSICsep, 8_lag_14_median_stratZ50ndj01, 8_lag_14_median_nhSICjfm, 16_lag_amoSSTjfm, 8_lag_amo2, 8_lag_10_median_scpPSLjfm_399_8"
LRforcedPSO,4,6,amoSSTmjjaso,picntrl,1718.5,2050.5,0.6,19,9,9,15.767564194909394,0.07099278913204829,399,"['17_lag_amo3', '9_lag_15_median_amo1', '15_lag_naoPSLjfm', '17_lag_shSICmar', '17_lag_eapPSLjfm', '11_lag_atlSICsep']","[2.870783203751783, 3.649239918299565, 0.682489139662728, 0.9111266854243105, 2.0845475105017375, 6.398409053198961]","17_lag_amo3, 9_lag_15_median_amo1, 15_lag_naoPSLjfm, 17_lag_shSICmar, 17_lag_eapPSLjfm, 11_lag_atlSICsep_399_9"
LRforcedPSO,5,6,amoSSTmjjaso,picntrl,1719.5,2050.5,0.6,20,10,10,16.991849822000145,-0.049993134008422146,399,"['10_lag_19_median_amoSSTmjjaso', '11_lag_shSICsep', '10_lag_14_median_amo1', '10_lag_18_median_stratZ50ndj01', '10_lag_16_median_stratZ50ndj04', '10_lag_18_median_nhSICjfm']","[3.0081573740930643, 2.911704895445643, 2.873139585134361, 3.3708160162982748, 3.4498576171144673, 2.615175997460507]","10_lag_19_median_amoSSTmjjaso, 11_lag_shSICsep, 10_lag_14_median_amo1, 10_lag_18_median_stratZ50ndj01, 10_lag_16_median_stratZ50ndj04, 10_lag_18_median_nhSICjfm_399_10"
LRforcedPSO,6,6,amoSSTmjjaso,picntrl,1720.5,2050.5,0.6,21,11,11,16.36490615311429,0.06419463517817632,399,"['19_lag_amo3', '16_lag_AMOCann', '15_lag_amoSSTmjjaso', '19_lag_nppc2SSTjfm', '14_lag_atlSICjfm', '11_lag_18_median_eapPSLjfm']","[0.9013037957416472, 0.9828115528890553, 1.6903736967236505, 4.77294483593181, 1.4298358152857933, 4.772567683555935]","19_lag_amo3, 16_lag_AMOCann, 15_lag_amoSSTmjjaso, 19_lag_nppc2SSTjfm, 14_lag_atlSICjfm, 11_lag_18_median_eapPSLjfm_399_11"
LRforcedPSO,7,6,amoSSTmjjaso,picntrl,1721.5,2050.5,0.6,22,12,12,16.898974837708295,-0.15054997439787043,399,"['17_lag_AMOCann', '12_lag_14_median_naoPSLjfm', '20_lag_shSICmar', '21_lag_atlSICjfm', '12_lag_17_median_shSICmar', '12_lag_20_median_amo2']","[2.347777406581599, 2.5678031143865176, 2.346795040796467, 2.3466701619863746, 2.347003792746047, 3.1286194327080525]","17_lag_AMOCann, 12_lag_14_median_naoPSLjfm, 20_lag_shSICmar, 21_lag_atlSICjfm, 12_lag_17_median_shSICmar, 12_lag_20_median_amo2_399_12"
LRforcedPSO,8,6,amoSSTmjjaso,picntrl,1722.5,2050.5,0.6,23,13,13,16.438267784564758,-0.014196597176232596,399,"['13_lag_20_median_AMOCann', '13_lag_20_median_eurPSLjfm', '13_lag_20_median_nppc2SSTjfm', '21_lag_shSICsep', '13_lag_14_median_stratZ50ndj03', '13_lag_16_median_amoSSTjfm']","[2.7146163629541658, 3.8528788790515422, 0.9220656200823836, 2.5026691495249747, 0.95134077386132, 0.7597326833670888]","13_lag_20_median_AMOCann, 13_lag_20_median_eurPSLjfm, 13_lag_20_median_nppc2SSTjfm, 21_lag_shSICsep, 13_lag_14_median_stratZ50ndj03, 13_lag_16_median_amoSSTjfm_399_13"
LRforcedPSO,9,6,amoSSTmjjaso,picntrl,1723.5,2050.5,0.6,24,14,14,16.878767182428295,0.03291715937018372,399,"['19_lag_amo2', '14_lag_17_median_scpPSLjfm', '17_lag_AMOCann', '14_lag_17_median_stratZ50ndj02', '14_lag_16_median_eapPSLjfm', '16_lag_scpPSLjfm']","[2.7077043488726726, 5.898992941621439, 0.9387775590617835, 2.5715516219808983, 3.329392195182277, 2.4205880161529016]","19_lag_amo2, 14_lag_17_median_scpPSLjfm, 17_lag_AMOCann, 14_lag_17_median_stratZ50ndj02, 14_lag_16_median_eapPSLjfm, 16_lag_scpPSLjfm_399_14"
