model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,amoSSTmjjaso,picntrl,1066.5,2050.5,0.4,15,5,5,13.176460882126335,0.17104053265150526,399,"['5_lag_6_median_stratZ50ndj02', '6_lag_shSICsep', '5_lag_7_median_amo3', '7_lag_nhSICjfm', '5_lag_7_median_stratZ50ndj02', '6_lag_stratZ50ndj01', '6_lag_naoPSLjfm', '5_lag_7_median_amoSSTmjjaso', '5_lag_7_median_amo2', '5_lag_7_median_AMOCann', '5_lag_6_median_shSICsep', '5_lag_7_median_eapPSLjfm', '5_lag_7_median_shSICmar', '5_lag_6_median_shSICmar', '7_lag_eurPSLjfm', '6_lag_AMOCann', '6_lag_nhSICjfm', '5_lag_6_median_atlSICsep', '5_lag_7_median_nhSICsep', '5_lag_6_median_nhSICsep', '5_lag_7_median_naoPSLjfm', '6_lag_atlSICsep', '5_lag_7_median_stratZ50ndj01', '6_lag_stratZ50ndj04', '5_lag_6_median_naoPSLjfm', '5_lag_7_median_nhSICjfm', '5_lag_6_median_stratZ50ndj04', '6_lag_nhSICsep', '5_lag_6_median_nhSICjfm', '5_lag_7_median_eurPSLjfm']","[0.03332060709243312, 149457255430.96786, 0.05110956662649908, 2220887332395.577, 0.1202371124832971, 0.04615677901284302, 88154493671.89442, 0.044911523753336555, 0.13053949395739378, 0.3574721427577252, 149457255430.87936, 0.008997985213375163, 0.051131199220350046, 0.032511471439409384, 0.07783034310258664, 0.0928361241076521, 1489624283911.6658, 29111696719.799706, 0.03630828857421875, 203266896062.22116, 0.07524681091308594, 29111696719.775063, 0.04317426681518555, 89609205932.17812, 88154493671.86612, 4441774664791.028, 89609205932.25719, 203266896062.5137, 731263048483.5615, 0.0859222412109375]","5_lag_6_median_stratZ50ndj02, 6_lag_shSICsep, 5_lag_7_median_amo3, 7_lag_nhSICjfm, 5_lag_7_median_stratZ50ndj02, 6_lag_stratZ50ndj01, 6_lag_naoPSLjfm, 5_lag_7_median_amoSSTmjjaso, 5_lag_7_median_amo2, 5_lag_7_median_AMOCann, 5_lag_6_median_shSICsep, 5_lag_7_median_eapPSLjfm, 5_lag_7_median_shSICmar, 5_lag_6_median_shSICmar, 7_lag_eurPSLjfm, 6_lag_AMOCann, 6_lag_nhSICjfm, 5_lag_6_median_atlSICsep, 5_lag_7_median_nhSICsep, 5_lag_6_median_nhSICsep, 5_lag_7_median_naoPSLjfm, 6_lag_atlSICsep, 5_lag_7_median_stratZ50ndj01, 6_lag_stratZ50ndj04, 5_lag_6_median_naoPSLjfm, 5_lag_7_median_nhSICjfm, 5_lag_6_median_stratZ50ndj04, 6_lag_nhSICsep, 5_lag_6_median_nhSICjfm, 5_lag_7_median_eurPSLjfm_399_5"
LinearRegression,1,30,amoSSTmjjaso,picntrl,1067.5,2050.5,0.4,16,6,6,13.129655080392183,0.20431505025709776,399,"['6_lag_7_median_eapPSLjfm', '8_lag_atlSICjfm', '8_lag_shSICsep', '8_lag_AMOCann', '6_lag_8_median_stratZ50ndj04', '7_lag_amoSSTmjjaso', '7_lag_nppc2SSTjfm', '7_lag_eapPSLjfm', '6_lag_8_median_nhSICsep', '7_lag_shSICmar', '8_lag_nppc2SSTjfm', '6_lag_8_median_shSICmar', '7_lag_atlSICjfm', '7_lag_AMOCann', '6_lag_7_median_amoSSTmjjaso', '6_lag_8_median_nhSICjfm', '6_lag_7_median_nhSICjfm', '6_lag_8_median_amo2', '6_lag_8_median_stratZ50ndj01', '7_lag_stratZ50ndj01', '6_lag_7_median_eurPSLjfm', '6_lag_7_median_amoSSTjfm', '6_lag_8_median_atlSICjfm', '6_lag_8_median_shSICsep', '7_lag_eurPSLjfm', '6_lag_8_median_AMOCann', '7_lag_amoSSTjfm', '6_lag_8_median_nppc2SSTjfm', '6_lag_7_median_amo3', '7_lag_amo3']","[0.010402572267182759, 0.011423169519192498, 0.2525682540403845, 0.05410309261580735, 0.01032501591628439, 0.010816978280391283, 0.06153188367998624, 0.01040257226718281, 0.058371112098213294, 0.02880872868970552, 0.05411501546719702, 0.0337309981465553, 0.051944503750777124, 0.13900570244363447, 0.010816978280391375, 0.11722466843113973, 0.12756468911625884, 0.0967902464791876, 0.3513021209686483, 0.15050599648098958, 0.007052632436758339, 0.04405002580790469, 0.03168383663498481, 0.3228372609037385, 0.007052632436758481, 0.09655439752972107, 0.04405002580790465, 0.0037084341063947494, 0.00011221379213371095, 0.00011221379213379422]","6_lag_7_median_eapPSLjfm, 8_lag_atlSICjfm, 8_lag_shSICsep, 8_lag_AMOCann, 6_lag_8_median_stratZ50ndj04, 7_lag_amoSSTmjjaso, 7_lag_nppc2SSTjfm, 7_lag_eapPSLjfm, 6_lag_8_median_nhSICsep, 7_lag_shSICmar, 8_lag_nppc2SSTjfm, 6_lag_8_median_shSICmar, 7_lag_atlSICjfm, 7_lag_AMOCann, 6_lag_7_median_amoSSTmjjaso, 6_lag_8_median_nhSICjfm, 6_lag_7_median_nhSICjfm, 6_lag_8_median_amo2, 6_lag_8_median_stratZ50ndj01, 7_lag_stratZ50ndj01, 6_lag_7_median_eurPSLjfm, 6_lag_7_median_amoSSTjfm, 6_lag_8_median_atlSICjfm, 6_lag_8_median_shSICsep, 7_lag_eurPSLjfm, 6_lag_8_median_AMOCann, 7_lag_amoSSTjfm, 6_lag_8_median_nppc2SSTjfm, 6_lag_7_median_amo3, 7_lag_amo3_399_6"
LinearRegression,2,30,amoSSTmjjaso,picntrl,1068.5,2050.5,0.4,17,7,7,13.623474445614818,0.13229767293122113,399,"['7_lag_8_median_eapPSLjfm', '9_lag_atlSICjfm', '9_lag_shSICsep', '9_lag_AMOCann', '7_lag_9_median_stratZ50ndj04', '8_lag_amoSSTmjjaso', '8_lag_nppc2SSTjfm', '8_lag_eapPSLjfm', '7_lag_9_median_nhSICsep', '8_lag_shSICmar', '9_lag_nppc2SSTjfm', '7_lag_9_median_shSICmar', '8_lag_atlSICjfm', '8_lag_AMOCann', '7_lag_8_median_amoSSTmjjaso', '7_lag_9_median_nhSICjfm', '7_lag_8_median_nhSICjfm', '7_lag_9_median_amo2', '7_lag_9_median_stratZ50ndj01', '8_lag_stratZ50ndj01', '7_lag_8_median_eurPSLjfm', '7_lag_8_median_amoSSTjfm', '7_lag_9_median_atlSICjfm', '7_lag_9_median_shSICsep', '8_lag_eurPSLjfm', '7_lag_9_median_AMOCann', '8_lag_amoSSTjfm', '7_lag_9_median_nppc2SSTjfm', '7_lag_8_median_amo3', '8_lag_amo3']","[0.060390559999410925, 0.015414237830136096, 0.2565273908668222, 0.13529730087032937, 0.010980019220652332, 0.005647432029364659, 0.1489677215512418, 0.060390559999411, 0.14385915753571749, 0.052965576529603105, 0.20448650310604718, 0.033692888824515245, 0.046666752078347855, 0.0299215117697962, 0.005647432029364647, 0.06578343808680592, 0.05947568037697025, 0.10816156191663014, 0.05510852869984539, 0.10753339978628311, 0.04203138246944014, 0.05904268631977026, 0.015626257124105855, 0.21478049136597793, 0.04203138246943987, 0.08260940632006268, 0.05904268631977026, 0.027759390777402602, 0.010358063687202781, 0.010358063687202768]","7_lag_8_median_eapPSLjfm, 9_lag_atlSICjfm, 9_lag_shSICsep, 9_lag_AMOCann, 7_lag_9_median_stratZ50ndj04, 8_lag_amoSSTmjjaso, 8_lag_nppc2SSTjfm, 8_lag_eapPSLjfm, 7_lag_9_median_nhSICsep, 8_lag_shSICmar, 9_lag_nppc2SSTjfm, 7_lag_9_median_shSICmar, 8_lag_atlSICjfm, 8_lag_AMOCann, 7_lag_8_median_amoSSTmjjaso, 7_lag_9_median_nhSICjfm, 7_lag_8_median_nhSICjfm, 7_lag_9_median_amo2, 7_lag_9_median_stratZ50ndj01, 8_lag_stratZ50ndj01, 7_lag_8_median_eurPSLjfm, 7_lag_8_median_amoSSTjfm, 7_lag_9_median_atlSICjfm, 7_lag_9_median_shSICsep, 8_lag_eurPSLjfm, 7_lag_9_median_AMOCann, 8_lag_amoSSTjfm, 7_lag_9_median_nppc2SSTjfm, 7_lag_8_median_amo3, 8_lag_amo3_399_7"
LinearRegression,3,30,amoSSTmjjaso,picntrl,1069.5,2050.5,0.4,18,8,8,13.613383667857754,0.0184262303232385,399,"['8_lag_9_median_amo3', '9_lag_scpPSLjfm', '10_lag_stratZ50ndj04', '8_lag_10_median_eapPSLjfm', '8_lag_9_median_nhSICsep', '8_lag_10_median_amo1', '8_lag_10_median_nhSICsep', '10_lag_stratZ50ndj01', '8_lag_9_median_eurPSLjfm', '8_lag_10_median_atlSICsep', '9_lag_stratZ50ndj01', '9_lag_amoSSTmjjaso', '8_lag_10_median_amoSSTmjjaso', '9_lag_shSICsep', '8_lag_10_median_shSICmar', '8_lag_10_median_nhSICjfm', '8_lag_10_median_amo3', '8_lag_9_median_atlSICjfm', '8_lag_9_median_naoPSLjfm', '8_lag_10_median_stratZ50ndj02', '8_lag_10_median_atlSICjfm', '8_lag_10_median_shSICsep', '9_lag_nhSICsep', '8_lag_10_median_stratZ50ndj03', '8_lag_10_median_eurPSLjfm', '9_lag_naoPSLjfm', '8_lag_10_median_scpPSLjfm', '8_lag_10_median_amo2', '8_lag_10_median_stratZ50ndj04', '8_lag_10_median_stratZ50ndj01']","[0.011610335284369874, 0.06932273390945402, 0.01456979141828909, 0.10288647799725793, 1515856217776.6147, 0.004369082301127488, 0.25073597421504973, 24230435810182.18, 0.0010560648481767907, 0.12402645542011562, 24230435810182.195, 0.07875385671845966, 0.187059288282963, 0.10913732501582189, 0.021529528318401436, 0.36683706987457093, 0.08341355234579997, 0.013104840807227907, 798354388669.3922, 0.08816390525744928, 0.0702700831514444, 0.20497074852984398, 1515856217776.7427, 0.10698398071372964, 0.10511584633936029, 798354388669.4686, 0.08288875217394635, 0.0033305538477029937, 0.034949848849093766, 48460871620364.43]","8_lag_9_median_amo3, 9_lag_scpPSLjfm, 10_lag_stratZ50ndj04, 8_lag_10_median_eapPSLjfm, 8_lag_9_median_nhSICsep, 8_lag_10_median_amo1, 8_lag_10_median_nhSICsep, 10_lag_stratZ50ndj01, 8_lag_9_median_eurPSLjfm, 8_lag_10_median_atlSICsep, 9_lag_stratZ50ndj01, 9_lag_amoSSTmjjaso, 8_lag_10_median_amoSSTmjjaso, 9_lag_shSICsep, 8_lag_10_median_shSICmar, 8_lag_10_median_nhSICjfm, 8_lag_10_median_amo3, 8_lag_9_median_atlSICjfm, 8_lag_9_median_naoPSLjfm, 8_lag_10_median_stratZ50ndj02, 8_lag_10_median_atlSICjfm, 8_lag_10_median_shSICsep, 9_lag_nhSICsep, 8_lag_10_median_stratZ50ndj03, 8_lag_10_median_eurPSLjfm, 9_lag_naoPSLjfm, 8_lag_10_median_scpPSLjfm, 8_lag_10_median_amo2, 8_lag_10_median_stratZ50ndj04, 8_lag_10_median_stratZ50ndj01_399_8"
LinearRegression,4,30,amoSSTmjjaso,picntrl,1070.5,2050.5,0.4,19,9,9,13.709251506820431,0.013441156322028136,399,"['9_lag_10_median_amo3', '10_lag_scpPSLjfm', '11_lag_stratZ50ndj04', '9_lag_11_median_eapPSLjfm', '9_lag_10_median_nhSICsep', '9_lag_11_median_amo1', '9_lag_11_median_nhSICsep', '11_lag_stratZ50ndj01', '9_lag_10_median_eurPSLjfm', '9_lag_11_median_atlSICsep', '10_lag_stratZ50ndj01', '10_lag_amoSSTmjjaso', '9_lag_11_median_amoSSTmjjaso', '10_lag_shSICsep', '9_lag_11_median_shSICmar', '9_lag_11_median_nhSICjfm', '9_lag_11_median_amo3', '9_lag_10_median_atlSICjfm', '9_lag_10_median_naoPSLjfm', '9_lag_11_median_stratZ50ndj02', '9_lag_11_median_atlSICjfm', '9_lag_11_median_shSICsep', '10_lag_nhSICsep', '9_lag_11_median_stratZ50ndj03', '9_lag_11_median_eurPSLjfm', '10_lag_naoPSLjfm', '9_lag_11_median_scpPSLjfm', '9_lag_11_median_amo2', '9_lag_11_median_stratZ50ndj04', '9_lag_11_median_stratZ50ndj01']","[0.05168300559836824, 0.04149161816275883, 0.07330012066125181, 0.28929896094189395, 587118199887.6111, 0.02742907550283846, 0.3481426398746199, 9384880761469.357, 0.014157431827727156, 0.05974454659911536, 9384880761469.408, 0.051749447701552195, 0.11580979263403426, 0.09922797071234325, 0.0034076986934033784, 0.3335946547187646, 0.006084419171820587, 0.10303448532286376, 309216920477.7783, 0.04818567631897226, 0.15619369231658053, 0.03727808629748222, 587118199887.5836, 0.09440848695548629, 0.032404081207518635, 309216920477.7256, 0.05843418657314219, 0.10413238714800424, 0.018546377619450688, 18769761522938.883]","9_lag_10_median_amo3, 10_lag_scpPSLjfm, 11_lag_stratZ50ndj04, 9_lag_11_median_eapPSLjfm, 9_lag_10_median_nhSICsep, 9_lag_11_median_amo1, 9_lag_11_median_nhSICsep, 11_lag_stratZ50ndj01, 9_lag_10_median_eurPSLjfm, 9_lag_11_median_atlSICsep, 10_lag_stratZ50ndj01, 10_lag_amoSSTmjjaso, 9_lag_11_median_amoSSTmjjaso, 10_lag_shSICsep, 9_lag_11_median_shSICmar, 9_lag_11_median_nhSICjfm, 9_lag_11_median_amo3, 9_lag_10_median_atlSICjfm, 9_lag_10_median_naoPSLjfm, 9_lag_11_median_stratZ50ndj02, 9_lag_11_median_atlSICjfm, 9_lag_11_median_shSICsep, 10_lag_nhSICsep, 9_lag_11_median_stratZ50ndj03, 9_lag_11_median_eurPSLjfm, 10_lag_naoPSLjfm, 9_lag_11_median_scpPSLjfm, 9_lag_11_median_amo2, 9_lag_11_median_stratZ50ndj04, 9_lag_11_median_stratZ50ndj01_399_9"
LinearRegression,5,30,amoSSTmjjaso,picntrl,1071.5,2050.5,0.4,20,10,10,13.860005558321873,0.02389847719226645,399,"['10_lag_11_median_amo3', '11_lag_scpPSLjfm', '12_lag_stratZ50ndj04', '10_lag_12_median_eapPSLjfm', '10_lag_11_median_nhSICsep', '10_lag_12_median_amo1', '10_lag_12_median_nhSICsep', '12_lag_stratZ50ndj01', '10_lag_11_median_eurPSLjfm', '10_lag_12_median_atlSICsep', '11_lag_stratZ50ndj01', '11_lag_amoSSTmjjaso', '10_lag_12_median_amoSSTmjjaso', '11_lag_shSICsep', '10_lag_12_median_shSICmar', '10_lag_12_median_nhSICjfm', '10_lag_12_median_amo3', '10_lag_11_median_atlSICjfm', '10_lag_11_median_naoPSLjfm', '10_lag_12_median_stratZ50ndj02', '10_lag_12_median_atlSICjfm', '10_lag_12_median_shSICsep', '11_lag_nhSICsep', '10_lag_12_median_stratZ50ndj03', '10_lag_12_median_eurPSLjfm', '11_lag_naoPSLjfm', '10_lag_12_median_scpPSLjfm', '10_lag_12_median_amo2', '10_lag_12_median_stratZ50ndj04', '10_lag_12_median_stratZ50ndj01']","[0.2112622263883862, 0.07148016848291053, 0.17108132862438388, 0.19941328934852887, 129830417088.34619, 0.08862666851976278, 0.009955452328168711, 2075294180658.5244, 0.00925105845036641, 0.18132233472814077, 2075294180658.6116, 0.13779372507536852, 0.14496402481463172, 0.06894676938203459, 0.03499910128808283, 0.05144629741104256, 0.31138000172234914, 0.2074702568233334, 68377648255.60569, 0.018844195773870653, 0.07276032483133443, 0.03662699161771599, 129830417088.23355, 0.06287152376814176, 0.011702115031591123, 68377648255.62141, 0.08291392487774263, 0.060607810276034096, 0.21308627526610063, 4150588361317.0312]","10_lag_11_median_amo3, 11_lag_scpPSLjfm, 12_lag_stratZ50ndj04, 10_lag_12_median_eapPSLjfm, 10_lag_11_median_nhSICsep, 10_lag_12_median_amo1, 10_lag_12_median_nhSICsep, 12_lag_stratZ50ndj01, 10_lag_11_median_eurPSLjfm, 10_lag_12_median_atlSICsep, 11_lag_stratZ50ndj01, 11_lag_amoSSTmjjaso, 10_lag_12_median_amoSSTmjjaso, 11_lag_shSICsep, 10_lag_12_median_shSICmar, 10_lag_12_median_nhSICjfm, 10_lag_12_median_amo3, 10_lag_11_median_atlSICjfm, 10_lag_11_median_naoPSLjfm, 10_lag_12_median_stratZ50ndj02, 10_lag_12_median_atlSICjfm, 10_lag_12_median_shSICsep, 11_lag_nhSICsep, 10_lag_12_median_stratZ50ndj03, 10_lag_12_median_eurPSLjfm, 11_lag_naoPSLjfm, 10_lag_12_median_scpPSLjfm, 10_lag_12_median_amo2, 10_lag_12_median_stratZ50ndj04, 10_lag_12_median_stratZ50ndj01_399_10"
LinearRegression,6,30,amoSSTmjjaso,picntrl,1072.5,2050.5,0.4,21,11,11,13.99461768817885,0.014777441770157607,399,"['12_lag_stratZ50ndj03', '12_lag_shSICmar', '11_lag_13_median_nppc2SSTjfm', '12_lag_atlSICsep', '11_lag_13_median_amo3', '13_lag_naoPSLjfm', '12_lag_atlSICjfm', '11_lag_13_median_amo2', '11_lag_12_median_nppc2SSTjfm', '13_lag_nhSICjfm', '12_lag_nhSICjfm', '11_lag_13_median_shSICmar', '12_lag_amo2', '11_lag_13_median_amoSSTmjjaso', '11_lag_13_median_AMOCann', '11_lag_13_median_stratZ50ndj02', '11_lag_12_median_nhSICsep', '11_lag_13_median_atlSICjfm', '12_lag_amoSSTmjjaso', '11_lag_12_median_atlSICsep', '12_lag_scpPSLjfm', '12_lag_nhSICsep', '11_lag_13_median_shSICsep', '12_lag_nppc2SSTjfm', '11_lag_13_median_stratZ50ndj03', '11_lag_12_median_scpPSLjfm', '11_lag_12_median_naoPSLjfm', '11_lag_13_median_naoPSLjfm', '11_lag_13_median_nhSICjfm', '12_lag_naoPSLjfm']","[0.02690884666843511, 0.05864161442154596, 0.023277576868275637, 120888311363.71397, 0.15182965892866068, 29548067934176.234, 0.10248559492412247, 0.09303023538207993, 22368254524.70716, 20539877247192.46, 20539877247192.367, 0.03723272926470187, 0.08201688862395393, 0.20515122860879872, 0.15061143128726892, 0.05955303789858987, 763558018427.7675, 0.08091311039704042, 0.012915537759093109, 120888311363.65646, 143633897264.75134, 763558018427.7654, 0.06257512674953918, 22368254524.76167, 0.0024663251681939294, 143633897264.73697, 23400146639047.934, 59096135868352.65, 41079754494384.72, 6147921295128.317]","12_lag_stratZ50ndj03, 12_lag_shSICmar, 11_lag_13_median_nppc2SSTjfm, 12_lag_atlSICsep, 11_lag_13_median_amo3, 13_lag_naoPSLjfm, 12_lag_atlSICjfm, 11_lag_13_median_amo2, 11_lag_12_median_nppc2SSTjfm, 13_lag_nhSICjfm, 12_lag_nhSICjfm, 11_lag_13_median_shSICmar, 12_lag_amo2, 11_lag_13_median_amoSSTmjjaso, 11_lag_13_median_AMOCann, 11_lag_13_median_stratZ50ndj02, 11_lag_12_median_nhSICsep, 11_lag_13_median_atlSICjfm, 12_lag_amoSSTmjjaso, 11_lag_12_median_atlSICsep, 12_lag_scpPSLjfm, 12_lag_nhSICsep, 11_lag_13_median_shSICsep, 12_lag_nppc2SSTjfm, 11_lag_13_median_stratZ50ndj03, 11_lag_12_median_scpPSLjfm, 11_lag_12_median_naoPSLjfm, 11_lag_13_median_naoPSLjfm, 11_lag_13_median_nhSICjfm, 12_lag_naoPSLjfm_399_11"
LinearRegression,7,30,amoSSTmjjaso,picntrl,1073.5,2050.5,0.4,22,12,12,13.902898137875434,-0.007734703222245525,399,"['13_lag_stratZ50ndj03', '13_lag_shSICmar', '12_lag_14_median_nppc2SSTjfm', '13_lag_atlSICsep', '12_lag_14_median_amo3', '14_lag_naoPSLjfm', '13_lag_atlSICjfm', '12_lag_14_median_amo2', '12_lag_13_median_nppc2SSTjfm', '14_lag_nhSICjfm', '13_lag_nhSICjfm', '12_lag_14_median_shSICmar', '13_lag_amo2', '12_lag_14_median_amoSSTmjjaso', '12_lag_14_median_AMOCann', '12_lag_14_median_stratZ50ndj02', '12_lag_13_median_nhSICsep', '12_lag_14_median_atlSICjfm', '13_lag_amoSSTmjjaso', '12_lag_13_median_atlSICsep', '13_lag_scpPSLjfm', '13_lag_nhSICsep', '12_lag_14_median_shSICsep', '13_lag_nppc2SSTjfm', '12_lag_14_median_stratZ50ndj03', '12_lag_13_median_scpPSLjfm', '12_lag_13_median_naoPSLjfm', '12_lag_14_median_naoPSLjfm', '12_lag_14_median_nhSICjfm', '13_lag_naoPSLjfm']","[0.03502551226470917, 0.019450290688995717, 0.17584564297254957, 61470935135.34625, 0.06870286357776235, 15025004046031.076, 0.01429343174050011, 0.02520958270624128, 11374114730.222988, 10444396548415.094, 10444396548415.041, 0.0006883034868425286, 0.08361569040501343, 0.095950419506672, 0.1909740282280453, 0.06402606493147031, 388264381340.0265, 0.020556905007451515, 0.13493156571104417, 61470935135.39347, 73036920463.22357, 388264381340.0717, 0.10414397075391739, 11374114730.026909, 0.07694351668644521, 73036920463.19875, 11898825287414.428, 30050008092062.05, 20888793096830.297, 3126178758616.6943]","13_lag_stratZ50ndj03, 13_lag_shSICmar, 12_lag_14_median_nppc2SSTjfm, 13_lag_atlSICsep, 12_lag_14_median_amo3, 14_lag_naoPSLjfm, 13_lag_atlSICjfm, 12_lag_14_median_amo2, 12_lag_13_median_nppc2SSTjfm, 14_lag_nhSICjfm, 13_lag_nhSICjfm, 12_lag_14_median_shSICmar, 13_lag_amo2, 12_lag_14_median_amoSSTmjjaso, 12_lag_14_median_AMOCann, 12_lag_14_median_stratZ50ndj02, 12_lag_13_median_nhSICsep, 12_lag_14_median_atlSICjfm, 13_lag_amoSSTmjjaso, 12_lag_13_median_atlSICsep, 13_lag_scpPSLjfm, 13_lag_nhSICsep, 12_lag_14_median_shSICsep, 13_lag_nppc2SSTjfm, 12_lag_14_median_stratZ50ndj03, 12_lag_13_median_scpPSLjfm, 12_lag_13_median_naoPSLjfm, 12_lag_14_median_naoPSLjfm, 12_lag_14_median_nhSICjfm, 13_lag_naoPSLjfm_399_12"
LinearRegression,8,30,amoSSTmjjaso,picntrl,1074.5,2050.5,0.4,23,13,13,13.633305013597152,-0.018294921357686525,399,"['15_lag_amoSSTmjjaso', '14_lag_nhSICjfm', '13_lag_14_median_eurPSLjfm', '15_lag_scpPSLjfm', '14_lag_eapPSLjfm', '13_lag_15_median_amo2', '14_lag_amo2', '15_lag_naoPSLjfm', '15_lag_amo1', '15_lag_stratZ50ndj02', '15_lag_shSICmar', '15_lag_eapPSLjfm', '13_lag_15_median_nhSICsep', '13_lag_15_median_AMOCann', '13_lag_15_median_nhSICjfm', '13_lag_15_median_eurPSLjfm', '14_lag_atlSICsep', '13_lag_14_median_atlSICsep', '14_lag_shSICmar', '13_lag_15_median_amoSSTmjjaso', '13_lag_15_median_scpPSLjfm', '14_lag_amoSSTmjjaso', '13_lag_14_median_stratZ50ndj02', '13_lag_15_median_naoPSLjfm', '13_lag_15_median_amo1', '13_lag_15_median_stratZ50ndj02', '13_lag_15_median_shSICmar', '13_lag_15_median_eapPSLjfm', '13_lag_14_median_amoSSTmjjaso', '14_lag_stratZ50ndj02']","[3877534411352.946, 0.07080078125, 0.03410188946531217, 0.08794915402362968, 3539768417756.0586, 0.05909163938540213, 0.08430672097589328, 0.04653986234908104, 0.026722634264852496, 2105348513605.6567, 2082164104569.0427, 3539768417756.0854, 0.07331783029204049, 0.143874608965314, 0.0892344861306155, 0.09789107107443533, 126077429875.09865, 126077429875.0191, 2082164104568.9976, 7755068822706.012, 0.1323089599609375, 1345343818929.703, 1531818621504.965, 0.1893310546875, 0.0062255859375, 4210697027211.2485, 4164328209138.04, 7079536835512.051, 2532190592423.2646, 573529892100.6755]","15_lag_amoSSTmjjaso, 14_lag_nhSICjfm, 13_lag_14_median_eurPSLjfm, 15_lag_scpPSLjfm, 14_lag_eapPSLjfm, 13_lag_15_median_amo2, 14_lag_amo2, 15_lag_naoPSLjfm, 15_lag_amo1, 15_lag_stratZ50ndj02, 15_lag_shSICmar, 15_lag_eapPSLjfm, 13_lag_15_median_nhSICsep, 13_lag_15_median_AMOCann, 13_lag_15_median_nhSICjfm, 13_lag_15_median_eurPSLjfm, 14_lag_atlSICsep, 13_lag_14_median_atlSICsep, 14_lag_shSICmar, 13_lag_15_median_amoSSTmjjaso, 13_lag_15_median_scpPSLjfm, 14_lag_amoSSTmjjaso, 13_lag_14_median_stratZ50ndj02, 13_lag_15_median_naoPSLjfm, 13_lag_15_median_amo1, 13_lag_15_median_stratZ50ndj02, 13_lag_15_median_shSICmar, 13_lag_15_median_eapPSLjfm, 13_lag_14_median_amoSSTmjjaso, 14_lag_stratZ50ndj02_399_13"
LinearRegression,9,30,amoSSTmjjaso,picntrl,1075.5,2050.5,0.4,24,14,14,13.626585339782908,-0.0025320815653092155,399,"['16_lag_amoSSTmjjaso', '15_lag_nhSICjfm', '14_lag_15_median_eurPSLjfm', '16_lag_scpPSLjfm', '15_lag_eapPSLjfm', '14_lag_16_median_amo2', '15_lag_amo2', '16_lag_naoPSLjfm', '16_lag_amo1', '16_lag_stratZ50ndj02', '16_lag_shSICmar', '16_lag_eapPSLjfm', '14_lag_16_median_nhSICsep', '14_lag_16_median_AMOCann', '14_lag_16_median_nhSICjfm', '14_lag_16_median_eurPSLjfm', '15_lag_atlSICsep', '14_lag_15_median_atlSICsep', '15_lag_shSICmar', '14_lag_16_median_amoSSTmjjaso', '14_lag_16_median_scpPSLjfm', '15_lag_amoSSTmjjaso', '14_lag_15_median_stratZ50ndj02', '14_lag_16_median_naoPSLjfm', '14_lag_16_median_amo1', '14_lag_16_median_stratZ50ndj02', '14_lag_16_median_shSICmar', '14_lag_16_median_eapPSLjfm', '14_lag_15_median_amoSSTmjjaso', '15_lag_stratZ50ndj02']","[4183235350821.2114, 0.15185546875, 0.08040706558529097, 0.0010735170679211613, 3818840223705.6865, 0.26661984564526, 0.17497112372831133, 0.0504424703418898, 0.18833613493879411, 2271332087247.904, 2246319842563.2793, 3818840223705.5376, 0.06339551383427469, 0.018828097659934505, 0.13882911463034522, 0.2321124079689856, 136017248499.42525, 136017248499.40384, 2246319842563.2773, 8366470701642.449, 0.03228759765625, 1451409381662.1328, 1652585671390.5737, 0.08087158203125, 0.021728515625, 4542664174495.813, 4492639685126.543, 7637680447411.291, 2731825969159.0264, 618746415857.3674]","16_lag_amoSSTmjjaso, 15_lag_nhSICjfm, 14_lag_15_median_eurPSLjfm, 16_lag_scpPSLjfm, 15_lag_eapPSLjfm, 14_lag_16_median_amo2, 15_lag_amo2, 16_lag_naoPSLjfm, 16_lag_amo1, 16_lag_stratZ50ndj02, 16_lag_shSICmar, 16_lag_eapPSLjfm, 14_lag_16_median_nhSICsep, 14_lag_16_median_AMOCann, 14_lag_16_median_nhSICjfm, 14_lag_16_median_eurPSLjfm, 15_lag_atlSICsep, 14_lag_15_median_atlSICsep, 15_lag_shSICmar, 14_lag_16_median_amoSSTmjjaso, 14_lag_16_median_scpPSLjfm, 15_lag_amoSSTmjjaso, 14_lag_15_median_stratZ50ndj02, 14_lag_16_median_naoPSLjfm, 14_lag_16_median_amo1, 14_lag_16_median_stratZ50ndj02, 14_lag_16_median_shSICmar, 14_lag_16_median_eapPSLjfm, 14_lag_15_median_amoSSTmjjaso, 15_lag_stratZ50ndj02_399_14"
