model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,arcTSjfm,picntrl,1066.5,2050.5,0.8,15,1,1,14.013485626891041,0.11312900007102837,1728,"['14_lag_nhSICjfm', '1_lag_traCA', '7_lag_nppc3SSTjfm', '1_lag_12_median_traBS', '1_lag_3_median_samPSLann', '1_lag_8_median_gyreSSTjfm', '8_lag_nhSICjfm', '1_lag_2_median_traBO', '14_lag_yrvPRjja', '1_lag_4_median_wnorPRjfm']","[1.3513859736376066, 3.266197579202041, 2.2427508776863654, 2.521156143364591, 5.785005245704124, 0.12245577183508516, 1.933892708205562, 6.322292108183049, 5.214969443849549, 3.0537238018007216]","14_lag_nhSICjfm, 1_lag_traCA, 7_lag_nppc3SSTjfm, 1_lag_12_median_traBS, 1_lag_3_median_samPSLann, 1_lag_8_median_gyreSSTjfm, 8_lag_nhSICjfm, 1_lag_2_median_traBO, 14_lag_yrvPRjja, 1_lag_4_median_wnorPRjfm_1728_1"
LRforcedPSO,1,10,arcTSjfm,picntrl,1067.5,2050.5,0.8,16,1,1,14.426787737739396,0.0423748950987896,1856,"['9_lag_mhfIP30', '1_lag_11_median_ensoSSTjfm', '9_lag_eapPSLjfm', '2_lag_nhSICjfm', '1_lag_5_median_traWP', '1_lag_5_median_traEU', '1_lag_11_median_cetTSjfm', '13_lag_glTSjfm', '1_lag_14_median_satlSSTjfm', '3_lag_wnorPRjfm']","[3.2830461482189133, 2.6424600016090043, 1.2394150070165626, 3.4273990341610734, 2.0158295045390506, 9.253241726204962, 1.2698736423778776, 1.7823848309102175, 0.22899833530041214, 0.6283898678053852]","9_lag_mhfIP30, 1_lag_11_median_ensoSSTjfm, 9_lag_eapPSLjfm, 2_lag_nhSICjfm, 1_lag_5_median_traWP, 1_lag_5_median_traEU, 1_lag_11_median_cetTSjfm, 13_lag_glTSjfm, 1_lag_14_median_satlSSTjfm, 3_lag_wnorPRjfm_1856_1"
LRforcedPSO,2,10,arcTSjfm,picntrl,1068.5,2050.5,0.8,17,1,1,12.689761484357387,0.12966762461243583,1984,"['1_lag_6_median_samPSLann', '15_lag_tripol2', '1_lag_5_median_nhTSjfm', '1_lag_13_median_traFSC', '13_lag_traWP', '13_lag_mhfATL45', '5_lag_ormenSSTjfm', '1_lag_12_median_stratZ50ndj02', '1_lag_5_median_stratZ50ndj03', '1_lag_traFSC']","[3.5740096184400993, 6.0439468498828, 2.023353163132877, 2.119505730235911, 1.5296432369429454, 7.319767434039445, 1.7775604584537739, 1.2708456695497432, 1.0073101272881715, 1.3140821392835065]","1_lag_6_median_samPSLann, 15_lag_tripol2, 1_lag_5_median_nhTSjfm, 1_lag_13_median_traFSC, 13_lag_traWP, 13_lag_mhfATL45, 5_lag_ormenSSTjfm, 1_lag_12_median_stratZ50ndj02, 1_lag_5_median_stratZ50ndj03, 1_lag_traFSC_1984_1"
LRforcedPSO,3,10,arcTSjfm,picntrl,1069.5,2050.5,0.8,18,1,1,13.779464254660141,0.026715745910189742,2112,"['13_lag_nhSICsep', '1_lag_11_median_arcTSjfm', '1_lag_14_median_samPSLann', '3_lag_traEU', '14_lag_ginwSSTjfm', '1_lag_4_median_mhfIP30', '1_lag_3_median_traFSC', '1_lag_10_median_tripol2', '12_lag_labSSTjfm', '10_lag_mhfIP30']","[1.0611639546240674, 7.5333059719293445, 0.07783972982606713, 0.9067228896187611, 0.5253309248142912, 2.7775787234924216, 6.428309239746753, 0.5920405655395697, 0.07890655308257521, 4.938811523478179]","13_lag_nhSICsep, 1_lag_11_median_arcTSjfm, 1_lag_14_median_samPSLann, 3_lag_traEU, 14_lag_ginwSSTjfm, 1_lag_4_median_mhfIP30, 1_lag_3_median_traFSC, 1_lag_10_median_tripol2, 12_lag_labSSTjfm, 10_lag_mhfIP30_2112_1"
LRforcedPSO,4,10,arcTSjfm,picntrl,1070.5,2050.5,0.8,19,1,1,13.707239828608934,0.05775959112409572,2240,"['9_lag_atlSICjfm', '1_lag_13_median_shTSjfm', '1_lag_18_median_traBS', '1_lag_15_median_mhfATL30', '1_lag_3_median_shTSjfm', '1_lag_9_median_atlSICjfm', '1_lag_14_median_traFB', '11_lag_traDP', '12_lag_shSICsep', '1_lag_18_median_shSICsep']","[1.0599107690673364, 9.15359650368373, 0.9038984063538731, 4.841784475756903, 8.108776310462385, 0.9206881606034418, 2.3930217944227428, 7.222073125820266, 8.095717934368043, 6.249635703846764]","9_lag_atlSICjfm, 1_lag_13_median_shTSjfm, 1_lag_18_median_traBS, 1_lag_15_median_mhfATL30, 1_lag_3_median_shTSjfm, 1_lag_9_median_atlSICjfm, 1_lag_14_median_traFB, 11_lag_traDP, 12_lag_shSICsep, 1_lag_18_median_shSICsep_2240_1"
LRforcedPSO,5,10,arcTSjfm,picntrl,1071.5,2050.5,0.8,20,1,1,11.996967078620832,0.04586102938063147,2368,"['6_lag_glomaSSTjfm', '5_lag_amo1', '1_lag_2_median_arcTSjfm', '15_lag_cetTSjfm', '1_lag_16_median_neurTSjfm', '1_lag_pdoSSTjfm', '11_lag_yrvPRjja', '1_lag_15_median_shTSjfm', '15_lag_amoSSTmjjaso', '13_lag_samPSLann']","[0.7227678541981284, 3.036221335755296, 0.5143753536847822, 0.4919071491373437, 4.355066653066757, 2.808441512047345, 1.9314941179532923, 4.252092754801302, 0.2796262125531346, 0.6494217038119707]","6_lag_glomaSSTjfm, 5_lag_amo1, 1_lag_2_median_arcTSjfm, 15_lag_cetTSjfm, 1_lag_16_median_neurTSjfm, 1_lag_pdoSSTjfm, 11_lag_yrvPRjja, 1_lag_15_median_shTSjfm, 15_lag_amoSSTmjjaso, 13_lag_samPSLann_2368_1"
LRforcedPSO,6,10,arcTSjfm,picntrl,1072.5,2050.5,0.8,21,1,1,14.29294345671645,0.09803423878726233,2496,"['20_lag_nhSICsep', '1_lag_2_median_traDS', '1_lag_17_median_traFS', '9_lag_traFB', '1_lag_7_median_traBS', '1_lag_6_median_traMC', '4_lag_nhTSjfm', '8_lag_mhfATL60', '16_lag_traEC', '1_lag_9_median_ensoSSTjfm']","[0.9100187349328177, 3.492480521849819, 6.9074454021991585, 0.5541387627124887, 4.011084623429504, 0.8324160949964803, 0.6648229527031386, 3.659032425272846, 4.500728695780904, 2.4534432927477496]","20_lag_nhSICsep, 1_lag_2_median_traDS, 1_lag_17_median_traFS, 9_lag_traFB, 1_lag_7_median_traBS, 1_lag_6_median_traMC, 4_lag_nhTSjfm, 8_lag_mhfATL60, 16_lag_traEC, 1_lag_9_median_ensoSSTjfm_2496_1"
LRforcedPSO,7,10,arcTSjfm,picntrl,1073.5,2050.5,0.8,22,1,1,14.847604768945994,-0.031240956826983007,2624,"['12_lag_eurPSLjfm', '19_lag_tripol3', '21_lag_eurPSLjfm', '13_lag_traMC', '12_lag_stratZ50ndj01', '21_lag_tripol3', '1_lag_19_median_traEU', '19_lag_traMC', '17_lag_mhfATL45', '13_lag_mhfIP30']","[0.12993414653328017, 4.836580178854874, 2.3895972242839347, 1.698919399749867, 2.626041512688122, 1.3803364381458678, 0.6562798323252412, 7.629764931326768, 8.539685150636448, 2.2352984176565815]","12_lag_eurPSLjfm, 19_lag_tripol3, 21_lag_eurPSLjfm, 13_lag_traMC, 12_lag_stratZ50ndj01, 21_lag_tripol3, 1_lag_19_median_traEU, 19_lag_traMC, 17_lag_mhfATL45, 13_lag_mhfIP30_2624_1"
LRforcedPSO,8,10,arcTSjfm,picntrl,1074.5,2050.5,0.8,23,1,1,12.747780424650832,0.26790787288343937,2752,"['1_lag_5_median_ismPRjja', '22_lag_amo3', '1_lag_5_median_ensoSSTjfm', '17_lag_amo1', '1_lag_15_median_eurPSLjfm', '1_lag_14_median_nhSICjfm', '1_lag_17_median_nhTSjfm', '9_lag_gyreSSTjfm', '2_lag_traBS', '1_lag_3_median_traBO']","[0.8375840276293527, 2.838571593497454, 1.734564065402683, 4.834241059913564, 3.3489882121108607, 0.6224925553066623, 2.7160138605071165, 7.9109153568360355, 4.456851264768023, 7.147177009924096]","1_lag_5_median_ismPRjja, 22_lag_amo3, 1_lag_5_median_ensoSSTjfm, 17_lag_amo1, 1_lag_15_median_eurPSLjfm, 1_lag_14_median_nhSICjfm, 1_lag_17_median_nhTSjfm, 9_lag_gyreSSTjfm, 2_lag_traBS, 1_lag_3_median_traBO_2752_1"
LRforcedPSO,9,10,arcTSjfm,picntrl,1075.5,2050.5,0.8,24,1,1,13.293469551845776,0.1475425274542629,2880,"['1_lag_14_median_atlSICjfm', '23_lag_traWP', '16_lag_tripol3', '19_lag_eurPSLjfm', '1_lag_16_median_cetTSjfm', '8_lag_tripol2', '20_lag_traMC', '23_lag_mhfATL45', '1_lag_19_median_mhfATL60', '10_lag_traBS']","[3.7660546071593686, 5.200267653999905, 0.464779168290125, 3.6365009805134, 4.002278618069369, 1.792577974722544, 2.8727956859149337, 7.371256191487154, 3.3669086079902897, 2.0183371008546525]","1_lag_14_median_atlSICjfm, 23_lag_traWP, 16_lag_tripol3, 19_lag_eurPSLjfm, 1_lag_16_median_cetTSjfm, 8_lag_tripol2, 20_lag_traMC, 23_lag_mhfATL45, 1_lag_19_median_mhfATL60, 10_lag_traBS_2880_1"
