model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,arcTSjfm,picntrl,1514.5,2050.5,0.4,15,1,1,11.826909365183507,0.20060331559268726,1728,"['4_lag_alpi', '5_lag_amoSSTmjjaso', '9_lag_traBS', '9_lag_traMC', '1_lag_traIT', '1_lag_mhfATL60', '11_lag_traEU', '1_lag_traTLS', '1_lag_traWP', '1_lag_ismPRjja']","[0.03730357351472648, 0.14205002117601315, 0.07649981353431559, 0.12952352713455884, 0.2340802379473334, 0.16833194478134456, 0.08601623803062967, 0.007336212115183524, 0.08522820255594181, 0.12447227190420672]","4_lag_alpi, 5_lag_amoSSTmjjaso, 9_lag_traBS, 9_lag_traMC, 1_lag_traIT, 1_lag_mhfATL60, 11_lag_traEU, 1_lag_traTLS, 1_lag_traWP, 1_lag_ismPRjja_1728_1"
LinearRegression,1,10,arcTSjfm,picntrl,1515.5,2050.5,0.4,16,1,1,11.819227218447494,0.13379172949514678,1856,"['5_lag_yrvPRjja', '10_lag_nhSICsep', '5_lag_amoSSTmjjaso', '11_lag_traEU', '1_lag_traIT', '9_lag_traBS', '4_lag_alpi', '1_lag_traWP', '1_lag_traTLS', '1_lag_ismPRjja']","[0.17259666653359138, 0.03707802691580489, 0.1315894112161139, 0.08058387848168966, 0.24539842317624144, 0.0611331557294979, 0.03820706636519724, 0.026149771193168567, 0.007879894526668423, 0.129427559510907]","5_lag_yrvPRjja, 10_lag_nhSICsep, 5_lag_amoSSTmjjaso, 11_lag_traEU, 1_lag_traIT, 9_lag_traBS, 4_lag_alpi, 1_lag_traWP, 1_lag_traTLS, 1_lag_ismPRjja_1856_1"
LinearRegression,2,10,arcTSjfm,picntrl,1516.5,2050.5,0.4,17,1,1,11.80777047907428,0.14495382083293964,1984,"['12_lag_eurPSLjfm', '4_lag_alpi', '8_lag_stratZ50ndj01', '9_lag_stratZ50ndj02', '1_lag_traIT', '10_lag_nhSICsep', '1_lag_traTLS', '16_lag_amo1', '1_lag_traWP', '1_lag_ismPRjja']","[0.15115505753100553, 0.03446386410710614, 0.1410035631508354, 0.0878571839406351, 0.2369480286711382, 0.01823358296602741, 0.023201162170921663, 0.08638245106696942, 0.03576417677482327, 0.12496485783420985]","12_lag_eurPSLjfm, 4_lag_alpi, 8_lag_stratZ50ndj01, 9_lag_stratZ50ndj02, 1_lag_traIT, 10_lag_nhSICsep, 1_lag_traTLS, 16_lag_amo1, 1_lag_traWP, 1_lag_ismPRjja_1984_1"
LinearRegression,3,10,arcTSjfm,picntrl,1517.5,2050.5,0.4,18,1,1,11.852021080690493,0.14554498933490528,2112,"['11_lag_traWP', '9_lag_traMC', '10_lag_nhSICsep', '8_lag_stratZ50ndj01', '1_lag_traIT', '9_lag_stratZ50ndj02', '1_lag_traTLS', '16_lag_amo1', '1_lag_traWP', '1_lag_ismPRjja']","[0.02112245539923993, 0.09605676707069005, 0.01575018016912648, 0.14098495531444444, 0.22524016346071282, 0.09230389299096411, 0.030153369824872663, 0.08512543373445228, 0.03433300925704921, 0.1255633510977629]","11_lag_traWP, 9_lag_traMC, 10_lag_nhSICsep, 8_lag_stratZ50ndj01, 1_lag_traIT, 9_lag_stratZ50ndj02, 1_lag_traTLS, 16_lag_amo1, 1_lag_traWP, 1_lag_ismPRjja_2112_1"
LinearRegression,4,10,arcTSjfm,picntrl,1518.5,2050.5,0.4,19,1,1,11.744224854803338,0.15497172434088186,2240,"['11_lag_traWP', '9_lag_traMC', '16_lag_amo1', '7_lag_tripol3', '9_lag_stratZ50ndj02', '1_lag_traIT', '8_lag_stratZ50ndj01', '1_lag_traWP', '1_lag_traTLS', '1_lag_ismPRjja']","[0.025434563201495983, 0.10969010376930352, 0.07568148960962581, 0.06553764787984656, 0.08983366401531374, 0.21005813178657068, 0.12857659462989848, 0.016857712612216136, 0.026916270109398295, 0.13999655207255451]","11_lag_traWP, 9_lag_traMC, 16_lag_amo1, 7_lag_tripol3, 9_lag_stratZ50ndj02, 1_lag_traIT, 8_lag_stratZ50ndj01, 1_lag_traWP, 1_lag_traTLS, 1_lag_ismPRjja_2240_1"
LinearRegression,5,10,arcTSjfm,picntrl,1519.5,2050.5,0.4,20,1,1,11.570726164531148,0.23673540869568954,2368,"['1_lag_mhfATL60', '7_lag_tripol3', '12_lag_eurPSLjfm', '9_lag_traMC', '9_lag_stratZ50ndj02', '1_lag_traWP', '1_lag_traIT', '1_lag_traTLS', '8_lag_stratZ50ndj01', '1_lag_ismPRjja']","[0.17334382699744563, 0.08462370452183303, 0.12195048285176485, 0.105076394084869, 0.06522307994360574, 0.06884677943848655, 0.19756239729858627, 0.015080812060897758, 0.13713622127903893, 0.15440759144631486]","1_lag_mhfATL60, 7_lag_tripol3, 12_lag_eurPSLjfm, 9_lag_traMC, 9_lag_stratZ50ndj02, 1_lag_traWP, 1_lag_traIT, 1_lag_traTLS, 8_lag_stratZ50ndj01, 1_lag_ismPRjja_2368_1"
LinearRegression,6,10,arcTSjfm,picntrl,1520.5,2050.5,0.4,21,1,1,11.773578241880067,0.15563563477649875,2496,"['16_lag_traMC', '11_lag_traWP', '20_lag_tripol3', '9_lag_stratZ50ndj02', '1_lag_traWP', '7_lag_tripol3', '8_lag_stratZ50ndj01', '1_lag_traTLS', '1_lag_traIT', '1_lag_ismPRjja']","[0.11728236100059064, 0.04327009167226953, 0.0772972012681547, 0.08148162927531667, 0.027595099753563092, 0.07721892049628287, 0.13275025641574284, 0.015641551314314505, 0.1891944691583057, 0.1591909892265856]","16_lag_traMC, 11_lag_traWP, 20_lag_tripol3, 9_lag_stratZ50ndj02, 1_lag_traWP, 7_lag_tripol3, 8_lag_stratZ50ndj01, 1_lag_traTLS, 1_lag_traIT, 1_lag_ismPRjja_2496_1"
LinearRegression,7,10,arcTSjfm,picntrl,1521.5,2050.5,0.4,22,1,1,11.751057735697666,0.15687496641460288,2624,"['1_lag_traWP', '21_lag_traIT', '9_lag_stratZ50ndj02', '20_lag_tripol3', '11_lag_traWP', '7_lag_tripol3', '8_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_traTLS', '1_lag_ismPRjja']","[0.018410577738867295, 0.06747400742859995, 0.08889523143798653, 0.05712962558792041, 0.03480823433390177, 0.0759207915864473, 0.12009617181284048, 0.2086721586886855, 0.03261177775571715, 0.15134307137678912]","1_lag_traWP, 21_lag_traIT, 9_lag_stratZ50ndj02, 20_lag_tripol3, 11_lag_traWP, 7_lag_tripol3, 8_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_traTLS, 1_lag_ismPRjja_2624_1"
LinearRegression,8,10,arcTSjfm,picntrl,1522.5,2050.5,0.4,23,1,1,11.802785222348792,0.16987565659025633,2752,"['21_lag_traIT', '9_lag_stratZ50ndj02', '11_lag_traWP', '22_lag_ginwSSTjfm', '7_lag_tripol3', '22_lag_traMC', '8_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_traTLS', '1_lag_ismPRjja']","[0.10238361235323422, 0.09063450018665066, 0.052235089763245604, 0.052238187590620204, 0.0747751512022586, 0.14499904178308484, 0.11244303843639455, 0.18736460986995745, 0.01605451835594364, 0.14929023672386915]","21_lag_traIT, 9_lag_stratZ50ndj02, 11_lag_traWP, 22_lag_ginwSSTjfm, 7_lag_tripol3, 22_lag_traMC, 8_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_traTLS, 1_lag_ismPRjja_2752_1"
LinearRegression,9,10,arcTSjfm,picntrl,1523.5,2050.5,0.4,24,1,1,11.884363354478205,0.1802055850417112,2880,"['9_lag_stratZ50ndj02', '22_lag_ginwSSTjfm', '23_lag_ismPRjja', '7_lag_tripol3', '8_lag_stratZ50ndj01', '1_lag_traIT', '22_lag_traMC', '23_lag_mhfATL30', '1_lag_traTLS', '1_lag_ismPRjja']","[0.09132675377372819, 0.01002528794544183, 0.13594185165800934, 0.09222801564018751, 0.12328661018308187, 0.19501198426625604, 0.11398760715262007, 0.17943054706623737, 0.004158526953532457, 0.1376345368058175]","9_lag_stratZ50ndj02, 22_lag_ginwSSTjfm, 23_lag_ismPRjja, 7_lag_tripol3, 8_lag_stratZ50ndj01, 1_lag_traIT, 22_lag_traMC, 23_lag_mhfATL30, 1_lag_traTLS, 1_lag_ismPRjja_2880_1"
