model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,atlSICjfm,picntrl,1066.5,2050.5,0.8,15,5,5,13.515224833917648,-0.060987126544022725,399,"['5_lag_13_median_amoSSTjfm', '5_lag_12_median_eapPSLjfm', '12_lag_atlSICjfm', '5_lag_eurPSLjfm', '5_lag_7_median_atlSICjfm', '5_lag_14_median_shSICmar']","[3.9222271478514195, 1.7052336861483113, 2.8964443107964772, 2.4475198478441706, 1.6321897415336633, 3.3930918413085465]","5_lag_13_median_amoSSTjfm, 5_lag_12_median_eapPSLjfm, 12_lag_atlSICjfm, 5_lag_eurPSLjfm, 5_lag_7_median_atlSICjfm, 5_lag_14_median_shSICmar_399_5"
LRforcedPSO,1,6,atlSICjfm,picntrl,1067.5,2050.5,0.8,16,6,6,12.182678572289985,0.15353114976971835,399,"['6_lag_8_median_amo1', '8_lag_amo1', '6_lag_15_median_stratZ50ndj02', '12_lag_scpPSLjfm', '6_lag_AMOCann', '6_lag_7_median_atlSICjfm']","[5.5375000799468665, 3.8336909874330267, 0.05319876572313653, 1.8103778527172238, 7.29910544500155, 0.11297896118065154]","6_lag_8_median_amo1, 8_lag_amo1, 6_lag_15_median_stratZ50ndj02, 12_lag_scpPSLjfm, 6_lag_AMOCann, 6_lag_7_median_atlSICjfm_399_6"
LRforcedPSO,2,6,atlSICjfm,picntrl,1068.5,2050.5,0.8,17,7,7,14.513545020323418,0.01138914292782077,399,"['7_lag_11_median_stratZ50ndj01', '7_lag_15_median_amoSSTmjjaso', '7_lag_14_median_AMOCann', '15_lag_shSICsep', '11_lag_shSICmar', '7_lag_11_median_nhSICjfm']","[3.715960444724633, 6.390669734095567, 8.643287002277145, 2.718010540708753, 1.7510677886067008, 0.9189555861709771]","7_lag_11_median_stratZ50ndj01, 7_lag_15_median_amoSSTmjjaso, 7_lag_14_median_AMOCann, 15_lag_shSICsep, 11_lag_shSICmar, 7_lag_11_median_nhSICjfm_399_7"
LRforcedPSO,3,6,atlSICjfm,picntrl,1069.5,2050.5,0.8,18,8,8,13.318752891514544,-0.021050748450189342,399,"['13_lag_naoPSLjfm', '8_lag_17_median_nhSICjfm', '8_lag_15_median_eurPSLjfm', '12_lag_shSICsep', '11_lag_atlSICjfm', '8_lag_14_median_atlSICjfm']","[1.6688658221301154, 3.871999793199281, 3.0682914089924784, 2.852198581856495, 3.3083759223942817, 9.152157098526]","13_lag_naoPSLjfm, 8_lag_17_median_nhSICjfm, 8_lag_15_median_eurPSLjfm, 12_lag_shSICsep, 11_lag_atlSICjfm, 8_lag_14_median_atlSICjfm_399_8"
LRforcedPSO,4,6,atlSICjfm,picntrl,1070.5,2050.5,0.8,19,9,9,12.310092726436391,0.09895966451840822,399,"['9_lag_14_median_nhSICsep', '9_lag_13_median_stratZ50ndj01', '16_lag_shSICsep', '9_lag_15_median_amoSSTjfm', '9_lag_12_median_amo2', '9_lag_13_median_amo2']","[2.0570969769319474, 2.0572307393777454, 2.5627736892926833, 2.0571611169326616, 2.705690196625925, 2.7427091048278815]","9_lag_14_median_nhSICsep, 9_lag_13_median_stratZ50ndj01, 16_lag_shSICsep, 9_lag_15_median_amoSSTjfm, 9_lag_12_median_amo2, 9_lag_13_median_amo2_399_9"
LRforcedPSO,5,6,atlSICjfm,picntrl,1071.5,2050.5,0.8,20,10,10,12.061705375678242,0.0888991516383558,399,"['13_lag_amo3', '10_lag_17_median_eapPSLjfm', '10_lag_13_median_eapPSLjfm', '10_lag_amo1', '14_lag_amo2', '13_lag_eurPSLjfm']","[0.16453043536758827, 2.3706693875758056, 3.6620664485128573, 2.930774645388393, 0.77846960874089, 0.7746167835528439]","13_lag_amo3, 10_lag_17_median_eapPSLjfm, 10_lag_13_median_eapPSLjfm, 10_lag_amo1, 14_lag_amo2, 13_lag_eurPSLjfm_399_10"
LRforcedPSO,6,6,atlSICjfm,picntrl,1072.5,2050.5,0.8,21,11,11,11.97949145415432,0.07449370242201846,399,"['11_lag_18_median_eurPSLjfm', '11_lag_17_median_atlSICjfm', '11_lag_14_median_eapPSLjfm', '11_lag_19_median_amo3', '17_lag_amo2', '20_lag_nhSICsep']","[0.765207251766167, 0.8224703178509196, 0.699168190714859, 0.6168527383904584, 0.6977675511037389, 0.6386925069826322]","11_lag_18_median_eurPSLjfm, 11_lag_17_median_atlSICjfm, 11_lag_14_median_eapPSLjfm, 11_lag_19_median_amo3, 17_lag_amo2, 20_lag_nhSICsep_399_11"
LRforcedPSO,7,6,atlSICjfm,picntrl,1073.5,2050.5,0.8,22,12,12,12.69970082857584,0.028176491740674842,399,"['17_lag_eurPSLjfm', '12_lag_16_median_stratZ50ndj04', '12_lag_18_median_eurPSLjfm', '18_lag_amo1', '12_lag_13_median_nppc2SSTjfm', '12_lag_20_median_amoSSTmjjaso']","[1.8762086562204525, 1.8586944346977134, 2.4782312835931513, 1.8590448509197341, 2.428375000568917, 1.8588424998042845]","17_lag_eurPSLjfm, 12_lag_16_median_stratZ50ndj04, 12_lag_18_median_eurPSLjfm, 18_lag_amo1, 12_lag_13_median_nppc2SSTjfm, 12_lag_20_median_amoSSTmjjaso_399_12"
LRforcedPSO,8,6,atlSICjfm,picntrl,1074.5,2050.5,0.8,23,13,13,13.020520919263701,0.020471453650849614,399,"['13_lag_17_median_nhSICsep', '16_lag_nhSICsep', '13_lag_naoPSLjfm', '13_lag_14_median_stratZ50ndj03', '13_lag_17_median_AMOCann', '17_lag_stratZ50ndj02']","[1.9094828519437237, 1.912511611524236, 2.4918887136748764, 2.545610858336493, 2.1253159528557433, 1.9103338234053693]","13_lag_17_median_nhSICsep, 16_lag_nhSICsep, 13_lag_naoPSLjfm, 13_lag_14_median_stratZ50ndj03, 13_lag_17_median_AMOCann, 17_lag_stratZ50ndj02_399_13"
LRforcedPSO,9,6,atlSICjfm,picntrl,1075.5,2050.5,0.8,24,14,14,13.08763723729643,0.01220755313033328,399,"['14_lag_20_median_nhSICjfm', '14_lag_stratZ50ndj04', '14_lag_21_median_amoSSTjfm', '14_lag_21_median_stratZ50ndj02', '14_lag_22_median_atlSICsep', '14_lag_15_median_amo3']","[0.7059854106288004, 0.2349544499724594, 6.406572570889672, 1.6919323058565965, 0.15500332737975597, 0.8121381232965845]","14_lag_20_median_nhSICjfm, 14_lag_stratZ50ndj04, 14_lag_21_median_amoSSTjfm, 14_lag_21_median_stratZ50ndj02, 14_lag_22_median_atlSICsep, 14_lag_15_median_amo3_399_14"
LRforcedPSO,10,6,atlSICjfm,picntrl,1076.5,2050.5,0.8,25,15,15,12.246819523776988,0.07834258679653652,399,"['15_lag_18_median_scpPSLjfm', '15_lag_23_median_atlSICsep', '17_lag_amo3', '15_lag_nhSICsep', '24_lag_AMOCann', '15_lag_22_median_stratZ50ndj04']","[0.5171232322666484, 0.6866775118455841, 0.8322058222019617, 1.6246092822943918, 0.46647296416239215, 2.5393656298631218]","15_lag_18_median_scpPSLjfm, 15_lag_23_median_atlSICsep, 17_lag_amo3, 15_lag_nhSICsep, 24_lag_AMOCann, 15_lag_22_median_stratZ50ndj04_399_15"
LRforcedPSO,11,6,atlSICjfm,picntrl,1077.5,2050.5,0.8,26,16,16,12.25397446202353,0.042387126752171995,399,"['18_lag_eurPSLjfm', '16_lag_stratZ50ndj03', '16_lag_19_median_atlSICsep', '16_lag_17_median_nhSICjfm', '16_lag_amo3', '18_lag_nhSICsep']","[2.0328540422730796, 1.0378408875438616, 0.03346039394720712, 0.5682139023383144, 1.480864873547489, 0.44505480363432603]","18_lag_eurPSLjfm, 16_lag_stratZ50ndj03, 16_lag_19_median_atlSICsep, 16_lag_17_median_nhSICjfm, 16_lag_amo3, 18_lag_nhSICsep_399_16"
LRforcedPSO,12,6,atlSICjfm,picntrl,1078.5,2050.5,0.8,27,17,17,12.581886299445609,-0.0926858722659187,399,"['17_lag_23_median_naoPSLjfm', '17_lag_shSICsep', '17_lag_23_median_atlSICjfm', '24_lag_nppc2SSTjfm', '17_lag_18_median_scpPSLjfm', '25_lag_AMOCann']","[1.1016001500627137, 0.14797184064684288, 3.4777540440684547, 0.7441925804405614, 0.00699969811524781, 4.154333319214105]","17_lag_23_median_naoPSLjfm, 17_lag_shSICsep, 17_lag_23_median_atlSICjfm, 24_lag_nppc2SSTjfm, 17_lag_18_median_scpPSLjfm, 25_lag_AMOCann_399_17"
LRforcedPSO,13,6,atlSICjfm,picntrl,1079.5,2050.5,0.8,28,18,18,14.758295358796271,-0.18511063640881228,399,"['18_lag_22_median_atlSICsep', '18_lag_22_median_shSICsep', '25_lag_atlSICjfm', '18_lag_27_median_atlSICsep', '20_lag_scpPSLjfm', '18_lag_27_median_amoSSTmjjaso']","[7.666187882274976, 1.462729902770974, 4.474861497619987, 5.252408245195026, 3.076395286377222, 0.9514811917476251]","18_lag_22_median_atlSICsep, 18_lag_22_median_shSICsep, 25_lag_atlSICjfm, 18_lag_27_median_atlSICsep, 20_lag_scpPSLjfm, 18_lag_27_median_amoSSTmjjaso_399_18"
LRforcedPSO,14,6,atlSICjfm,picntrl,1080.5,2050.5,0.8,29,19,19,13.472744761876582,0.04471750982817243,399,"['23_lag_naoPSLjfm', '28_lag_eapPSLjfm', '27_lag_shSICsep', '19_lag_27_median_stratZ50ndj02', '19_lag_22_median_nhSICsep', '24_lag_eurPSLjfm']","[0.46680211363285906, 4.4373276054596715, 5.072963677791439, 0.46317590031977396, 1.843473970924217, 1.5894151827178167]","23_lag_naoPSLjfm, 28_lag_eapPSLjfm, 27_lag_shSICsep, 19_lag_27_median_stratZ50ndj02, 19_lag_22_median_nhSICsep, 24_lag_eurPSLjfm_399_19"
LRforcedPSO,15,6,atlSICjfm,picntrl,1081.5,2050.5,0.8,30,20,20,12.792856712518804,-0.009478685711140113,399,"['28_lag_stratZ50ndj03', '27_lag_atlSICsep', '24_lag_amo1', '28_lag_amoSSTjfm', '20_lag_22_median_stratZ50ndj04', '20_lag_22_median_stratZ50ndj02']","[1.6636695173019138, 2.3808267614288425, 1.5678829477111265, 0.903275816722287, 2.558543277047831, 3.6915491345286853]","28_lag_stratZ50ndj03, 27_lag_atlSICsep, 24_lag_amo1, 28_lag_amoSSTjfm, 20_lag_22_median_stratZ50ndj04, 20_lag_22_median_stratZ50ndj02_399_20"
