model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,atlSICjfm,picntrl,1714.5,2050.5,0.8,15,5,5,18.84836683116499,-0.01821114115539155,1216,"['5_lag_11_median_nppc3SSTjfm', '5_lag_11_median_tripol3', '5_lag_neurTSjfm', '13_lag_nhSICsep', '5_lag_7_median_atlSICjfm', '6_lag_traCA', '5_lag_8_median_traFS', '5_lag_11_median_nchinaPRjja', '5_lag_7_median_traFS', '5_lag_6_median_ginwSSTjfm']","[6.549171974561778, 1.1405146084152271, 6.708482960671873, 3.3277604596721755, 7.151271692082247, 4.561227463703631, 4.680796064323928, 4.1407745582545585, 3.852275479237777, 1.6825003579352682]","5_lag_11_median_nppc3SSTjfm, 5_lag_11_median_tripol3, 5_lag_neurTSjfm, 13_lag_nhSICsep, 5_lag_7_median_atlSICjfm, 6_lag_traCA, 5_lag_8_median_traFS, 5_lag_11_median_nchinaPRjja, 5_lag_7_median_traFS, 5_lag_6_median_ginwSSTjfm_1216_5"
LRforcedPSO,1,10,atlSICjfm,picntrl,1715.5,2050.5,0.8,16,6,6,17.794261969146763,-0.014981673459221382,1216,"['6_lag_10_median_traMC', '6_lag_13_median_alpi', '12_lag_amo2', '7_lag_atlSICsep', '6_lag_13_median_traWP', '6_lag_9_median_stratZ50ndj03', '10_lag_shSICmar', '11_lag_traTLS', '6_lag_11_median_traEC', '6_lag_13_median_atlSICsep']","[5.04899219398583, 6.105685380303733, 5.393453394807315, 4.2129679458641345, 2.513429504459177, 5.930218787978831, 0.29739363516837436, 0.7859984149069188, 4.281908872338844, 3.0177766872602163]","6_lag_10_median_traMC, 6_lag_13_median_alpi, 12_lag_amo2, 7_lag_atlSICsep, 6_lag_13_median_traWP, 6_lag_9_median_stratZ50ndj03, 10_lag_shSICmar, 11_lag_traTLS, 6_lag_11_median_traEC, 6_lag_13_median_atlSICsep_1216_6"
LRforcedPSO,2,10,atlSICjfm,picntrl,1716.5,2050.5,0.8,17,7,7,14.067955965253041,0.31078242132088696,1216,"['7_lag_14_median_satlSSTjfm', '15_lag_seurTSjfm', '7_lag_11_median_ormenSSTjfm', '7_lag_8_median_amo1', '15_lag_nppc3SSTjfm', '16_lag_traBO', '7_lag_10_median_mhfATL30', '9_lag_traIFC', '11_lag_traIT', '14_lag_atlSICjfm']","[5.881611025511329, 1.4793458278607154, 1.3866221745717677, 5.280454440850219, 2.155177615446952, 0.023295623758375683, 4.9218012265711035, 0.6433637657137865, 3.7088154186649724, 4.916071011869791]","7_lag_14_median_satlSSTjfm, 15_lag_seurTSjfm, 7_lag_11_median_ormenSSTjfm, 7_lag_8_median_amo1, 15_lag_nppc3SSTjfm, 16_lag_traBO, 7_lag_10_median_mhfATL30, 9_lag_traIFC, 11_lag_traIT, 14_lag_atlSICjfm_1216_7"
LRforcedPSO,3,10,atlSICjfm,picntrl,1717.5,2050.5,0.8,18,8,8,16.653710554441016,0.08832749058423243,1216,"['8_lag_13_median_ismPRjja', '8_lag_9_median_nppc3SSTjfm', '8_lag_17_median_cetTSjfm', '8_lag_11_median_traDS', '8_lag_traBO', '11_lag_traFSC', '9_lag_traBO', '15_lag_mhfATL45', '11_lag_naoPSLjfm', '15_lag_traWP']","[0.5917777591977735, 2.3398575551713012, 0.7107482355622015, 6.581823127869686, 2.5253436664758695, 5.584194538511758, 3.740713875556903, 2.524980104373885, 5.094134166875208, 2.432931187100107]","8_lag_13_median_ismPRjja, 8_lag_9_median_nppc3SSTjfm, 8_lag_17_median_cetTSjfm, 8_lag_11_median_traDS, 8_lag_traBO, 11_lag_traFSC, 9_lag_traBO, 15_lag_mhfATL45, 11_lag_naoPSLjfm, 15_lag_traWP_1216_8"
LRforcedPSO,4,10,atlSICjfm,picntrl,1718.5,2050.5,0.8,19,9,9,17.768437392126803,0.021598415299995392,1216,"['11_lag_nhTSjfm', '16_lag_amo1', '11_lag_tripol2', '9_lag_16_median_traCA', '9_lag_11_median_amo2', '11_lag_stratZ50ndj04', '18_lag_stratZ50ndj04', '9_lag_10_median_AMOCann', '16_lag_labSSTjfm', '17_lag_traBO']","[3.3848741180586384, 1.8205429206089008, 0.43280548876591496, 5.682673994555596, 0.11385640414995457, 1.2238634637456904, 4.4291169879699455, 5.537602653311939, 0.5233930962043338, 0.31850677572996133]","11_lag_nhTSjfm, 16_lag_amo1, 11_lag_tripol2, 9_lag_16_median_traCA, 9_lag_11_median_amo2, 11_lag_stratZ50ndj04, 18_lag_stratZ50ndj04, 9_lag_10_median_AMOCann, 16_lag_labSSTjfm, 17_lag_traBO_1216_9"
LRforcedPSO,5,10,atlSICjfm,picntrl,1719.5,2050.5,0.8,20,10,10,19.188619391837204,-0.017361710333295047,1216,"['10_lag_17_median_nhTSjfm', '14_lag_traFSC', '10_lag_13_median_atlSICjfm', '14_lag_amo1', '10_lag_12_median_traWP', '10_lag_11_median_nhSICjfm', '16_lag_traMC', '14_lag_ismPRjja', '10_lag_12_median_wnorPRjfm', '10_lag_19_median_satlSSTjfm']","[4.396333866775366, 0.512715901351255, 1.3374781587013107, 0.9084791220027739, 3.4185160458619146, 6.064039735987301, 4.638710790787819, 1.7765138723620222, 3.9659141189991836, 4.378308686877618]","10_lag_17_median_nhTSjfm, 14_lag_traFSC, 10_lag_13_median_atlSICjfm, 14_lag_amo1, 10_lag_12_median_traWP, 10_lag_11_median_nhSICjfm, 16_lag_traMC, 14_lag_ismPRjja, 10_lag_12_median_wnorPRjfm, 10_lag_19_median_satlSSTjfm_1216_10"
LRforcedPSO,6,10,atlSICjfm,picntrl,1720.5,2050.5,0.8,21,11,11,17.67182715297287,0.12861431635321524,1216,"['11_lag_13_median_alpi', '20_lag_wnorPRjfm', '16_lag_shSICmar', '18_lag_arcTSjfm', '11_lag_14_median_shTSjfm', '11_lag_19_median_labSSTjfm', '11_lag_18_median_alpi', '11_lag_14_median_stratZ50ndj04', '11_lag_19_median_glTSjfm', '14_lag_traFS']","[1.6233870508913562, 4.861281069585754, 4.4042111200717375, 0.7197489687662575, 1.625240641113768, 0.7879381473104239, 4.986162158925932, 2.785975756221646, 8.2894091922362, 2.323392184614428]","11_lag_13_median_alpi, 20_lag_wnorPRjfm, 16_lag_shSICmar, 18_lag_arcTSjfm, 11_lag_14_median_shTSjfm, 11_lag_19_median_labSSTjfm, 11_lag_18_median_alpi, 11_lag_14_median_stratZ50ndj04, 11_lag_19_median_glTSjfm, 14_lag_traFS_1216_11"
LRforcedPSO,7,10,atlSICjfm,picntrl,1721.5,2050.5,0.8,22,12,12,19.66805773930372,-0.16414484552440656,1216,"['17_lag_mhfATL45', '12_lag_mhfATL60', '12_lag_19_median_traEU', '21_lag_mhfIP30', '12_lag_20_median_traEC', '21_lag_labSSTjfm', '15_lag_nhSICjfm', '12_lag_21_median_traDS', '12_lag_14_median_stratZ50ndj04', '12_lag_16_median_traEC']","[4.884098361122096, 2.8746238502648724, 0.01266962478774225, 8.357801367470273, 3.802861104553884, 4.516938214746958, 3.1804204236951072, 0.7500498704051477, 3.2975526048440162, 4.649204348153562]","17_lag_mhfATL45, 12_lag_mhfATL60, 12_lag_19_median_traEU, 21_lag_mhfIP30, 12_lag_20_median_traEC, 21_lag_labSSTjfm, 15_lag_nhSICjfm, 12_lag_21_median_traDS, 12_lag_14_median_stratZ50ndj04, 12_lag_16_median_traEC_1216_12"
LRforcedPSO,8,10,atlSICjfm,picntrl,1722.5,2050.5,0.8,23,13,13,21.426873328013222,-0.22347970785462037,1216,"['21_lag_samPSLann', '21_lag_gyreSSTjfm', '19_lag_mhfATL60', '21_lag_mhfATL45', '13_lag_17_median_shTSjfm', '19_lag_nhSICjfm', '13_lag_18_median_stratZ50ndj03', '13_lag_14_median_mhfATL45', '19_lag_pdoSSTjfm', '13_lag_stratZ50ndj01']","[1.4782058753510778, 5.425910933610208, 0.31581186012011386, 3.9557562766028305, 6.20495838278088, 6.890084675691671, 4.937603337516528, 0.07008681385050508, 5.102232096390282, 1.429367427197068]","21_lag_samPSLann, 21_lag_gyreSSTjfm, 19_lag_mhfATL60, 21_lag_mhfATL45, 13_lag_17_median_shTSjfm, 19_lag_nhSICjfm, 13_lag_18_median_stratZ50ndj03, 13_lag_14_median_mhfATL45, 19_lag_pdoSSTjfm, 13_lag_stratZ50ndj01_1216_13"
LRforcedPSO,9,10,atlSICjfm,picntrl,1723.5,2050.5,0.8,24,14,14,19.56372795147552,0.01388724781151019,1216,"['16_lag_eurPSLjfm', '14_lag_19_median_mhfATL30', '14_lag_21_median_nchinaPRjja', '14_lag_15_median_traBO', '15_lag_traMC', '20_lag_traEU', '21_lag_satlSSTjfm', '14_lag_21_median_traIT', '14_lag_18_median_traDS', '14_lag_18_median_eapPSLjfm']","[4.301152081877337, 4.4628655006361555, 5.125610428988354, 0.9177914793577191, 0.7370486806860228, 6.42817445624978, 1.0243307233457415, 0.04122503242013664, 6.811058302573381, 6.550141422364561]","16_lag_eurPSLjfm, 14_lag_19_median_mhfATL30, 14_lag_21_median_nchinaPRjja, 14_lag_15_median_traBO, 15_lag_traMC, 20_lag_traEU, 21_lag_satlSSTjfm, 14_lag_21_median_traIT, 14_lag_18_median_traDS, 14_lag_18_median_eapPSLjfm_1216_14"
LRforcedPSO,10,10,atlSICjfm,picntrl,1724.5,2050.5,0.8,25,15,15,15.621807153305426,0.16487364354619385,1216,"['15_lag_traIFC', '15_lag_22_median_shSICsep', '20_lag_seurTSjfm', '15_lag_17_median_neurTSjfm', '15_lag_22_median_yrvPRjja', '15_lag_23_median_AMOCann', '15_lag_19_median_scpPSLjfm', '17_lag_alpi', '18_lag_traDS', '15_lag_23_median_traTLS']","[2.855448330853452, 0.00496491727844095, 6.861680533283135, 6.0689318146654685, 0.25518962271492995, 1.3234163398678138, 0.2150065853115617, 0.2112479246452672, 1.0246473380342707, 5.3234193105465195]","15_lag_traIFC, 15_lag_22_median_shSICsep, 20_lag_seurTSjfm, 15_lag_17_median_neurTSjfm, 15_lag_22_median_yrvPRjja, 15_lag_23_median_AMOCann, 15_lag_19_median_scpPSLjfm, 17_lag_alpi, 18_lag_traDS, 15_lag_23_median_traTLS_1216_15"
LRforcedPSO,11,10,atlSICjfm,picntrl,1725.5,2050.5,0.8,26,16,16,17.21020070081824,-0.08190219938270345,1216,"['16_lag_20_median_alpi', '16_lag_24_median_satlSSTjfm', '23_lag_pdoSSTjfm', '16_lag_eapPSLjfm', '18_lag_shTSjfm', '25_lag_shSICsep', '16_lag_21_median_ginwSSTjfm', '25_lag_shSICmar', '25_lag_traIT', '23_lag_labSSTjfm']","[2.6276822979176595, 7.762972577871077, 4.527210551870972, 1.3955787629620886, 4.192841580617133, 3.291888440638462, 4.576542414636531, 4.736303476202568, 7.324025499859928, 0.33236007399736245]","16_lag_20_median_alpi, 16_lag_24_median_satlSSTjfm, 23_lag_pdoSSTjfm, 16_lag_eapPSLjfm, 18_lag_shTSjfm, 25_lag_shSICsep, 16_lag_21_median_ginwSSTjfm, 25_lag_shSICmar, 25_lag_traIT, 23_lag_labSSTjfm_1216_16"
