model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,atlSICjfm,picntrl,1066.5,2050.5,0.8,15,1,1,11.043103582839104,0.456877390314109,1728,"['1_lag_4_median_gyreSSTjfm', '9_lag_ormenSSTjfm', '6_lag_ormenSSTjfm', '8_lag_tripol2', '1_lag_5_median_mhfATL30', '12_lag_stratZ50ndj04', '12_lag_amo2', '8_lag_labSSTjfm', '1_lag_14_median_tripol3', '3_lag_traEC', '1_lag_13_median_amo2', '4_lag_amo2', '12_lag_cetTSjfm', '9_lag_stratZ50ndj03', '12_lag_traDS', '8_lag_mhfATL45', '1_lag_12_median_amo2', '8_lag_pdoSSTjfm', '10_lag_shSICsep', '1_lag_4_median_stratZ50ndj01', '9_lag_seurTSjfm', '1_lag_4_median_traBS', '1_lag_6_median_nchinaPRjja', '9_lag_amo3', '12_lag_AMOCann', '1_lag_6_median_traEU', '1_lag_nhSICjfm', '13_lag_neurTSjfm', '13_lag_seurTSjfm', '1_lag_atlSICsep']","[0.1142019241879972, 0.011844046559773655, 0.03564157474022848, 0.05812100490384918, 0.30210964526674217, 0.0678227960549181, 0.11865716774539413, 0.0492715743050542, 0.05566305592883479, 0.0640205072553683, 0.4440839084097956, 0.0024731997876917796, 0.044497497206456856, 0.014476916175336144, 0.0069250313660572105, 0.046786883872236555, 0.1707235919514869, 0.04422036322054456, 0.04465699080276411, 0.027277806723669, 0.07493306947342794, 0.0581676364701728, 0.16594063474741733, 0.026607421152201067, 0.046453248547170506, 0.016911552174574004, 0.1649538431266024, 0.08679803824056362, 0.0897268896104793, 0.5158821174977374]","1_lag_4_median_gyreSSTjfm, 9_lag_ormenSSTjfm, 6_lag_ormenSSTjfm, 8_lag_tripol2, 1_lag_5_median_mhfATL30, 12_lag_stratZ50ndj04, 12_lag_amo2, 8_lag_labSSTjfm, 1_lag_14_median_tripol3, 3_lag_traEC, 1_lag_13_median_amo2, 4_lag_amo2, 12_lag_cetTSjfm, 9_lag_stratZ50ndj03, 12_lag_traDS, 8_lag_mhfATL45, 1_lag_12_median_amo2, 8_lag_pdoSSTjfm, 10_lag_shSICsep, 1_lag_4_median_stratZ50ndj01, 9_lag_seurTSjfm, 1_lag_4_median_traBS, 1_lag_6_median_nchinaPRjja, 9_lag_amo3, 12_lag_AMOCann, 1_lag_6_median_traEU, 1_lag_nhSICjfm, 13_lag_neurTSjfm, 13_lag_seurTSjfm, 1_lag_atlSICsep_1728_1"
LinearRegression,1,30,atlSICjfm,picntrl,1067.5,2050.5,0.8,16,1,1,10.744181138977597,0.45961068666525123,1856,"['9_lag_amo3', '10_lag_mhfATL30', '1_lag_4_median_traFS', '4_lag_traDP', '1_lag_6_median_traIFC', '1_lag_4_median_gyreSSTjfm', '13_lag_traFB', '6_lag_ormenSSTjfm', '9_lag_stratZ50ndj03', '8_lag_labSSTjfm', '1_lag_6_median_nchinaPRjja', '1_lag_12_median_nppc3SSTjfm', '9_lag_seurTSjfm', '12_lag_stratZ50ndj04', '8_lag_mhfATL45', '11_lag_gyreSSTjfm', '10_lag_labSSTjfm', '13_lag_mhfIP30', '9_lag_tripol1', '12_lag_cetTSjfm', '10_lag_shSICsep', '1_lag_6_median_traEU', '15_lag_wnorPRjfm', '13_lag_seurTSjfm', '12_lag_AMOCann', '1_lag_4_median_traBS', '1_lag_4_median_tripol3', '1_lag_nhSICjfm', '13_lag_neurTSjfm', '1_lag_atlSICsep']","[0.03106211750048157, 0.013708904411104603, 0.12356968108677951, 0.07384085917132671, 0.1250347852960278, 0.167336891243691, 0.005651432737382527, 0.028921895811299326, 0.012570044780508204, 0.019419164746463068, 0.18583459675987654, 0.09065609290039563, 0.06313068331642915, 0.03053827503192986, 0.06991961526636697, 0.04102729558446741, 0.07051519241089335, 0.014375685348979986, 0.014019902030158338, 0.05171200961153646, 0.058442097395065284, 0.014963106610425918, 0.09204356108047136, 0.1097324565141347, 0.018827840214383756, 0.08094669880141632, 0.11900161486851081, 0.17878232548377745, 0.06928894494146338, 0.5506620727930054]","9_lag_amo3, 10_lag_mhfATL30, 1_lag_4_median_traFS, 4_lag_traDP, 1_lag_6_median_traIFC, 1_lag_4_median_gyreSSTjfm, 13_lag_traFB, 6_lag_ormenSSTjfm, 9_lag_stratZ50ndj03, 8_lag_labSSTjfm, 1_lag_6_median_nchinaPRjja, 1_lag_12_median_nppc3SSTjfm, 9_lag_seurTSjfm, 12_lag_stratZ50ndj04, 8_lag_mhfATL45, 11_lag_gyreSSTjfm, 10_lag_labSSTjfm, 13_lag_mhfIP30, 9_lag_tripol1, 12_lag_cetTSjfm, 10_lag_shSICsep, 1_lag_6_median_traEU, 15_lag_wnorPRjfm, 13_lag_seurTSjfm, 12_lag_AMOCann, 1_lag_4_median_traBS, 1_lag_4_median_tripol3, 1_lag_nhSICjfm, 13_lag_neurTSjfm, 1_lag_atlSICsep_1856_1"
LinearRegression,2,30,atlSICjfm,picntrl,1068.5,2050.5,0.8,17,1,1,10.701737260128368,0.4780615928131689,1984,"['1_lag_gyreSSTjfm', '1_lag_6_median_nchinaPRjja', '1_lag_4_median_pdoSSTjfm', '11_lag_gyreSSTjfm', '4_lag_stratZ50ndj02', '4_lag_amo2', '1_lag_6_median_traEU', '11_lag_seurTSjfm', '1_lag_8_median_ensoSSTjfm', '1_lag_5_median_traWP', '1_lag_traTLS', '8_lag_labSSTjfm', '15_lag_tripol2', '9_lag_tripol1', '10_lag_shSICsep', '1_lag_naoPSLjfm', '1_lag_12_median_nppc3SSTjfm', '8_lag_mhfATL45', '10_lag_labSSTjfm', '6_lag_ormenSSTjfm', '12_lag_stratZ50ndj04', '1_lag_4_median_tripol3', '13_lag_mhfIP30', '1_lag_4_median_traBS', '15_lag_wnorPRjfm', '13_lag_seurTSjfm', '12_lag_AMOCann', '13_lag_neurTSjfm', '1_lag_nhSICjfm', '1_lag_atlSICsep']","[0.17777356893404306, 0.16247925443043237, 0.01777733078600563, 0.02638484376718498, 0.016113928945537644, 0.02403219864002408, 0.010728621775003475, 0.008206467839060243, 0.053554379246384544, 0.004462906637976187, 0.047703962083582116, 0.01641183318909612, 0.010379647215047144, 0.0060022479769126875, 0.03180654798315509, 0.0718244072410411, 0.10279252910192159, 0.12809105364244558, 0.06798878591168137, 0.011209484933451901, 0.01618329731352612, 0.08279665294214122, 0.015230801087993498, 0.07394644249098792, 0.08038628028478838, 0.1220098199780196, 0.017843517535421134, 0.07968294226220113, 0.19006684299839832, 0.540919936932701]","1_lag_gyreSSTjfm, 1_lag_6_median_nchinaPRjja, 1_lag_4_median_pdoSSTjfm, 11_lag_gyreSSTjfm, 4_lag_stratZ50ndj02, 4_lag_amo2, 1_lag_6_median_traEU, 11_lag_seurTSjfm, 1_lag_8_median_ensoSSTjfm, 1_lag_5_median_traWP, 1_lag_traTLS, 8_lag_labSSTjfm, 15_lag_tripol2, 9_lag_tripol1, 10_lag_shSICsep, 1_lag_naoPSLjfm, 1_lag_12_median_nppc3SSTjfm, 8_lag_mhfATL45, 10_lag_labSSTjfm, 6_lag_ormenSSTjfm, 12_lag_stratZ50ndj04, 1_lag_4_median_tripol3, 13_lag_mhfIP30, 1_lag_4_median_traBS, 15_lag_wnorPRjfm, 13_lag_seurTSjfm, 12_lag_AMOCann, 13_lag_neurTSjfm, 1_lag_nhSICjfm, 1_lag_atlSICsep_1984_1"
LinearRegression,3,30,atlSICjfm,picntrl,1069.5,2050.5,0.8,18,1,1,10.526100682468158,0.47467954679159186,2112,"['11_lag_traBS', '9_lag_stratZ50ndj03', '1_lag_ensoSSTjfm', '1_lag_12_median_nppc3SSTjfm', '16_lag_mhfATL30', '8_lag_traWP', '11_lag_seurTSjfm', '8_lag_labSSTjfm', '6_lag_traFSC', '1_lag_traTLS', '4_lag_stratZ50ndj02', '9_lag_tripol1', '12_lag_amoSSTmjjaso', '8_lag_traEU', '1_lag_4_median_traIFC', '1_lag_4_median_tripol3', '15_lag_tripol2', '13_lag_mhfIP30', '1_lag_5_median_traWP', '13_lag_amo3', '15_lag_wnorPRjfm', '8_lag_mhfATL45', '1_lag_4_median_traBS', '10_lag_shSICsep', '17_lag_satlSSTjfm', '1_lag_nhSICjfm', '13_lag_seurTSjfm', '13_lag_neurTSjfm', '12_lag_AMOCann', '1_lag_atlSICsep']","[0.06297410820088596, 0.020492554644718233, 0.0617495068712386, 0.06164146846633293, 0.03335850306165904, 0.03527921393074086, 0.008115160780362443, 0.0435927163139529, 0.014760721023319075, 0.042596772275567005, 0.028069683993747617, 0.007216293057341513, 0.05337631725919797, 0.0662090222676462, 0.12553782307214906, 0.05865366816077365, 0.023236804223592925, 0.0055481831275661165, 0.10126727578580698, 0.02217696348069606, 0.10739315707707603, 0.14421540373381642, 0.06044948973860138, 0.03721527367254566, 0.048135781382993195, 0.13598120148098108, 0.12866223832510812, 0.07394359251888016, 0.02871153698007325, 0.5294336555082362]","11_lag_traBS, 9_lag_stratZ50ndj03, 1_lag_ensoSSTjfm, 1_lag_12_median_nppc3SSTjfm, 16_lag_mhfATL30, 8_lag_traWP, 11_lag_seurTSjfm, 8_lag_labSSTjfm, 6_lag_traFSC, 1_lag_traTLS, 4_lag_stratZ50ndj02, 9_lag_tripol1, 12_lag_amoSSTmjjaso, 8_lag_traEU, 1_lag_4_median_traIFC, 1_lag_4_median_tripol3, 15_lag_tripol2, 13_lag_mhfIP30, 1_lag_5_median_traWP, 13_lag_amo3, 15_lag_wnorPRjfm, 8_lag_mhfATL45, 1_lag_4_median_traBS, 10_lag_shSICsep, 17_lag_satlSSTjfm, 1_lag_nhSICjfm, 13_lag_seurTSjfm, 13_lag_neurTSjfm, 12_lag_AMOCann, 1_lag_atlSICsep_2112_1"
LinearRegression,4,30,atlSICjfm,picntrl,1070.5,2050.5,0.8,19,1,1,11.059428965420071,0.4385466057304925,2240,"['10_lag_labSSTjfm', '18_lag_ismPRjja', '1_lag_4_median_traIFC', '15_lag_stratZ50ndj01', '8_lag_labSSTjfm', '9_lag_scpPSLjfm', '18_lag_traDP', '1_lag_traTLS', '1_lag_6_median_traEU', '6_lag_traFSC', '15_lag_traEU', '8_lag_traEU', '13_lag_amo3', '6_lag_stratZ50ndj04', '1_lag_ismPRjja', '8_lag_mhfATL45', '4_lag_stratZ50ndj04', '12_lag_amoSSTmjjaso', '15_lag_wnorPRjfm', '1_lag_4_median_tripol3', '1_lag_ensoSSTjfm', '11_lag_scpPSLjfm', '18_lag_amoSSTmjjaso', '17_lag_satlSSTjfm', '10_lag_shSICsep', '1_lag_nhSICjfm', '13_lag_neurTSjfm', '13_lag_seurTSjfm', '12_lag_AMOCann', '1_lag_atlSICsep']","[0.06446743178784499, 0.04402908161114424, 0.11418716165170248, 0.019277213760650752, 0.010669418630750622, 0.011422070348641334, 0.07083113681722546, 0.057561838663995946, 0.020348094082588433, 0.027721912776021464, 0.007407410606480347, 0.07007539097031802, 0.05291785778539627, 0.07126733216402281, 0.06325743321950843, 0.14995011452065202, 0.08312077471525536, 0.05876064926438024, 0.10561806230804145, 0.019510589933628322, 0.06824585495235602, 0.07025649686938064, 0.039244759937743776, 0.07782141107915162, 0.03191611333095056, 0.15429585490497635, 0.06579226872452774, 0.12525317247079698, 0.05555360569290853, 0.5260688001862344]","10_lag_labSSTjfm, 18_lag_ismPRjja, 1_lag_4_median_traIFC, 15_lag_stratZ50ndj01, 8_lag_labSSTjfm, 9_lag_scpPSLjfm, 18_lag_traDP, 1_lag_traTLS, 1_lag_6_median_traEU, 6_lag_traFSC, 15_lag_traEU, 8_lag_traEU, 13_lag_amo3, 6_lag_stratZ50ndj04, 1_lag_ismPRjja, 8_lag_mhfATL45, 4_lag_stratZ50ndj04, 12_lag_amoSSTmjjaso, 15_lag_wnorPRjfm, 1_lag_4_median_tripol3, 1_lag_ensoSSTjfm, 11_lag_scpPSLjfm, 18_lag_amoSSTmjjaso, 17_lag_satlSSTjfm, 10_lag_shSICsep, 1_lag_nhSICjfm, 13_lag_neurTSjfm, 13_lag_seurTSjfm, 12_lag_AMOCann, 1_lag_atlSICsep_2240_1"
LinearRegression,5,30,atlSICjfm,picntrl,1071.5,2050.5,0.8,20,1,1,11.22061235950604,0.40629764843533667,2368,"['10_lag_traIT', '18_lag_samPSLann', '12_lag_atlSICsep', '12_lag_amoSSTmjjaso', '1_lag_4_median_tripol3', '6_lag_stratZ50ndj04', '13_lag_ginwSSTjfm', '18_lag_nppc2SSTjfm', '18_lag_traDP', '1_lag_ensoSSTjfm', '4_lag_amo2', '13_lag_amo3', '15_lag_wnorPRjfm', '6_lag_traFSC', '15_lag_stratZ50ndj01', '9_lag_ginwSSTjfm', '1_lag_5_median_traWP', '19_lag_gyreSSTjfm', '1_lag_nhSICjfm', '18_lag_amoSSTmjjaso', '8_lag_traEU', '4_lag_stratZ50ndj04', '11_lag_scpPSLjfm', '17_lag_satlSSTjfm', '19_lag_amoSSTmjjaso', '13_lag_neurTSjfm', '10_lag_shSICsep', '13_lag_seurTSjfm', '12_lag_AMOCann', '1_lag_atlSICsep']","[0.0034313115219552597, 0.03387381412198624, 0.05188058954404845, 0.0477880238499895, 0.020817037670200808, 0.05607465048008247, 0.07182088377288302, 0.0009204008869531636, 0.07906376746404634, 0.06419821734029026, 0.00935412156523171, 0.02621116852292009, 0.09992931204866293, 0.012663245122534401, 0.013237836383705183, 0.007913341084847477, 0.09857929107586688, 0.00658967427882844, 0.1607445367324679, 0.057231487272235454, 0.0467699258495846, 0.0780365039711782, 0.08648405645384587, 0.05684556030555826, 0.04242927724590865, 0.07981487573227541, 0.027825780814770218, 0.13954038114548029, 0.061740119724832614, 0.5332609457270653]","10_lag_traIT, 18_lag_samPSLann, 12_lag_atlSICsep, 12_lag_amoSSTmjjaso, 1_lag_4_median_tripol3, 6_lag_stratZ50ndj04, 13_lag_ginwSSTjfm, 18_lag_nppc2SSTjfm, 18_lag_traDP, 1_lag_ensoSSTjfm, 4_lag_amo2, 13_lag_amo3, 15_lag_wnorPRjfm, 6_lag_traFSC, 15_lag_stratZ50ndj01, 9_lag_ginwSSTjfm, 1_lag_5_median_traWP, 19_lag_gyreSSTjfm, 1_lag_nhSICjfm, 18_lag_amoSSTmjjaso, 8_lag_traEU, 4_lag_stratZ50ndj04, 11_lag_scpPSLjfm, 17_lag_satlSSTjfm, 19_lag_amoSSTmjjaso, 13_lag_neurTSjfm, 10_lag_shSICsep, 13_lag_seurTSjfm, 12_lag_AMOCann, 1_lag_atlSICsep_2368_1"
LinearRegression,6,30,atlSICjfm,picntrl,1072.5,2050.5,0.8,21,1,1,10.91414173320548,0.4411702283917701,2496,"['6_lag_amoSSTmjjaso', '11_lag_traBS', '20_lag_nppc2SSTjfm', '15_lag_stratZ50ndj01', '4_lag_amo2', '4_lag_stratZ50ndj04', '13_lag_arcTSjfm', '12_lag_atlSICsep', '8_lag_atlSICjfm', '18_lag_stratZ50ndj02', '6_lag_stratZ50ndj04', '12_lag_amoSSTmjjaso', '1_lag_4_median_tripol3', '9_lag_ginwSSTjfm', '6_lag_traFSC', '1_lag_ismPRjja', '1_lag_samPSLann', '20_lag_neurTSjfm', '1_lag_nhSICjfm', '8_lag_traEU', '19_lag_tripol3', '4_lag_traEU', '17_lag_satlSSTjfm', '13_lag_neurTSjfm', '18_lag_amoSSTmjjaso', '12_lag_AMOCann', '10_lag_shSICsep', '11_lag_scpPSLjfm', '13_lag_seurTSjfm', '1_lag_atlSICsep']","[0.009483844913510018, 0.04569868830805853, 0.0666647976103612, 0.049713384505441514, 0.02250598008543098, 0.07132758573233099, 0.020563386127740616, 0.046609210018157, 0.028849777665248728, 0.000257078826152963, 0.05659282272985654, 0.04279897034307285, 0.027125185789991686, 0.018980293810377406, 0.013275015334948822, 0.066707340731122, 0.16025403465389904, 0.01738744232056868, 0.22147911389043282, 0.056489795297474873, 0.021939602276942926, 0.026777047846810252, 0.04275342344518312, 0.09176812022399719, 0.059562368030247656, 0.06748580998155693, 0.044466441639683836, 0.09272068437342962, 0.1324752746811069, 0.5255428788954439]","6_lag_amoSSTmjjaso, 11_lag_traBS, 20_lag_nppc2SSTjfm, 15_lag_stratZ50ndj01, 4_lag_amo2, 4_lag_stratZ50ndj04, 13_lag_arcTSjfm, 12_lag_atlSICsep, 8_lag_atlSICjfm, 18_lag_stratZ50ndj02, 6_lag_stratZ50ndj04, 12_lag_amoSSTmjjaso, 1_lag_4_median_tripol3, 9_lag_ginwSSTjfm, 6_lag_traFSC, 1_lag_ismPRjja, 1_lag_samPSLann, 20_lag_neurTSjfm, 1_lag_nhSICjfm, 8_lag_traEU, 19_lag_tripol3, 4_lag_traEU, 17_lag_satlSSTjfm, 13_lag_neurTSjfm, 18_lag_amoSSTmjjaso, 12_lag_AMOCann, 10_lag_shSICsep, 11_lag_scpPSLjfm, 13_lag_seurTSjfm, 1_lag_atlSICsep_2496_1"
LinearRegression,7,30,atlSICjfm,picntrl,1073.5,2050.5,0.8,22,1,1,10.607174507446866,0.4835925316114488,2624,"['20_lag_traDP', '15_lag_wnorPRjfm', '15_lag_traEU', '5_lag_mhfATL30', '8_lag_atlSICjfm', '1_lag_6_median_nchinaPRjja', '8_lag_traEU', '12_lag_stratZ50ndj02', '12_lag_amoSSTmjjaso', '3_lag_stratZ50ndj04', '5_lag_traDS', '12_lag_atlSICsep', '19_lag_tripol3', '9_lag_ginwSSTjfm', '15_lag_stratZ50ndj01', '1_lag_ismPRjja', '17_lag_satlSSTjfm', '11_lag_traBS', '6_lag_amoSSTmjjaso', '6_lag_traFSC', '1_lag_nhSICjfm', '20_lag_amo1', '12_lag_AMOCann', '18_lag_amoSSTmjjaso', '1_lag_samPSLann', '4_lag_traEU', '13_lag_seurTSjfm', '10_lag_shSICsep', '11_lag_scpPSLjfm', '1_lag_atlSICsep']","[0.07539738738024128, 0.07682461850364311, 0.016442345171140633, 0.119604293460808, 0.016840048188406568, 0.14423827093586256, 0.054587838571076186, 0.04902024392971801, 0.04127274861004675, 0.04642817266025136, 0.06286063775113195, 0.04411286179213094, 0.020358052291281535, 0.0014098962873119354, 0.021858008098519878, 0.04295083251893345, 0.052826591467162835, 0.0360801102378891, 0.02358008904229029, 0.009416437012143425, 0.19692927840934188, 0.07357728791733954, 0.04983957248644816, 0.06063450450190036, 0.16566802141118658, 0.045257119293087865, 0.07060598113011217, 0.03971340030361182, 0.08101840161156372, 0.5236919127916488]","20_lag_traDP, 15_lag_wnorPRjfm, 15_lag_traEU, 5_lag_mhfATL30, 8_lag_atlSICjfm, 1_lag_6_median_nchinaPRjja, 8_lag_traEU, 12_lag_stratZ50ndj02, 12_lag_amoSSTmjjaso, 3_lag_stratZ50ndj04, 5_lag_traDS, 12_lag_atlSICsep, 19_lag_tripol3, 9_lag_ginwSSTjfm, 15_lag_stratZ50ndj01, 1_lag_ismPRjja, 17_lag_satlSSTjfm, 11_lag_traBS, 6_lag_amoSSTmjjaso, 6_lag_traFSC, 1_lag_nhSICjfm, 20_lag_amo1, 12_lag_AMOCann, 18_lag_amoSSTmjjaso, 1_lag_samPSLann, 4_lag_traEU, 13_lag_seurTSjfm, 10_lag_shSICsep, 11_lag_scpPSLjfm, 1_lag_atlSICsep_2624_1"
LinearRegression,8,30,atlSICjfm,picntrl,1074.5,2050.5,0.8,23,1,1,10.849758121655434,0.47505104216512445,2752,"['22_lag_traTLS', '1_lag_amoSSTmjjaso', '15_lag_wnorPRjfm', '22_lag_seurTSjfm', '3_lag_amo1', '12_lag_atlSICsep', '21_lag_nhTSjfm', '14_lag_stratZ50ndj02', '1_lag_6_median_nchinaPRjja', '15_lag_traEU', '4_lag_traEU', '17_lag_traFB', '3_lag_traIT', '17_lag_satlSSTjfm', '1_lag_nhSICjfm', '8_lag_atlSICjfm', '5_lag_traDS', '1_lag_traTLS', '12_lag_amoSSTmjjaso', '10_lag_traEC', '15_lag_stratZ50ndj01', '12_lag_stratZ50ndj02', '13_lag_seurTSjfm', '1_lag_ismPRjja', '18_lag_amoSSTmjjaso', '19_lag_tripol3', '1_lag_samPSLann', '10_lag_shSICsep', '11_lag_scpPSLjfm', '1_lag_atlSICsep']","[0.03444424331655189, 0.09693578475117394, 0.07975783994094751, 0.01424259129813513, 0.009427831009925844, 0.022956456318929425, 0.07564138398016566, 0.02705880230994009, 0.13154844305871366, 0.004517234210966613, 0.051250777058434054, 0.09543054279823301, 0.031224724446514775, 0.05169122311072803, 0.21510430379553808, 0.032724154106989076, 0.06711386259771562, 0.08785869355364756, 0.06918863870426507, 0.025456274503345103, 0.015188862486714649, 0.03511176165125846, 0.07862544047912712, 0.07991183452237305, 0.04673276915249094, 0.016560554385599974, 0.15583527080710172, 0.05040305798309135, 0.09848184820431177, 0.5335027639829265]","22_lag_traTLS, 1_lag_amoSSTmjjaso, 15_lag_wnorPRjfm, 22_lag_seurTSjfm, 3_lag_amo1, 12_lag_atlSICsep, 21_lag_nhTSjfm, 14_lag_stratZ50ndj02, 1_lag_6_median_nchinaPRjja, 15_lag_traEU, 4_lag_traEU, 17_lag_traFB, 3_lag_traIT, 17_lag_satlSSTjfm, 1_lag_nhSICjfm, 8_lag_atlSICjfm, 5_lag_traDS, 1_lag_traTLS, 12_lag_amoSSTmjjaso, 10_lag_traEC, 15_lag_stratZ50ndj01, 12_lag_stratZ50ndj02, 13_lag_seurTSjfm, 1_lag_ismPRjja, 18_lag_amoSSTmjjaso, 19_lag_tripol3, 1_lag_samPSLann, 10_lag_shSICsep, 11_lag_scpPSLjfm, 1_lag_atlSICsep_2752_1"
LinearRegression,9,30,atlSICjfm,picntrl,1075.5,2050.5,0.8,24,1,1,10.951870092751204,0.4704697070538584,2880,"['8_lag_traEU', '11_lag_nppc3SSTjfm', '22_lag_amo3', '17_lag_traFB', '4_lag_traEU', '8_lag_seurTSjfm', '1_lag_nhSICjfm', '3_lag_amo1', '20_lag_nppc2SSTjfm', '10_lag_traEC', '1_lag_traTLS', '19_lag_tripol3', '17_lag_satlSSTjfm', '1_lag_amoSSTmjjaso', '18_lag_amoSSTmjjaso', '1_lag_ismPRjja', '3_lag_traIT', '12_lag_stratZ50ndj02', '15_lag_stratZ50ndj01', '1_lag_6_median_nchinaPRjja', '22_lag_traTLS', '12_lag_amoSSTmjjaso', '23_lag_shSICmar', '13_lag_seurTSjfm', '12_lag_atlSICsep', '1_lag_samPSLann', '10_lag_shSICsep', '23_lag_traEU', '11_lag_scpPSLjfm', '1_lag_atlSICsep']","[0.06718548648754522, 0.07189908558377536, 0.03701248837885656, 0.06496947075429034, 0.06117204186076059, 0.047640217918524824, 0.20862916182893346, 0.004608498935384101, 0.049195130749550085, 0.03127618331377242, 0.09186160162021577, 0.01920110066242384, 0.07753231815490151, 0.0977869075536185, 0.029738668745689086, 0.0971957841127502, 0.030950779235053037, 0.03251294142220161, 0.028695486507769895, 0.11238699279401529, 0.011561947047695309, 0.05361150505863741, 0.0065897527618045265, 0.08946879808704422, 0.039802479065087465, 0.15297087740189172, 0.03652057856060302, 0.09283998476479881, 0.09491325533743142, 0.5239933441997718]","8_lag_traEU, 11_lag_nppc3SSTjfm, 22_lag_amo3, 17_lag_traFB, 4_lag_traEU, 8_lag_seurTSjfm, 1_lag_nhSICjfm, 3_lag_amo1, 20_lag_nppc2SSTjfm, 10_lag_traEC, 1_lag_traTLS, 19_lag_tripol3, 17_lag_satlSSTjfm, 1_lag_amoSSTmjjaso, 18_lag_amoSSTmjjaso, 1_lag_ismPRjja, 3_lag_traIT, 12_lag_stratZ50ndj02, 15_lag_stratZ50ndj01, 1_lag_6_median_nchinaPRjja, 22_lag_traTLS, 12_lag_amoSSTmjjaso, 23_lag_shSICmar, 13_lag_seurTSjfm, 12_lag_atlSICsep, 1_lag_samPSLann, 10_lag_shSICsep, 23_lag_traEU, 11_lag_scpPSLjfm, 1_lag_atlSICsep_2880_1"
