model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,atlSICjfm,picntrl,1514.5,2050.5,0.8,15,5,5,13.32062479120091,0.06956632000937796,399,"['5_lag_7_median_eapPSLjfm', '5_lag_7_median_stratZ50ndj04', '6_lag_naoPSLjfm', '7_lag_amo3', '6_lag_nhSICjfm', '5_lag_6_median_eapPSLjfm', '6_lag_AMOCann', '6_lag_eapPSLjfm', '5_lag_7_median_AMOCann', '5_lag_7_median_amo3']","[0.16290269883017922, 0.09646293251160598, 0.0481116718694667, 0.17256431475585468, 0.031421680690195464, 0.0013469090030007813, 0.06546142654942375, 0.0013469090030008828, 0.35035681003713964, 0.21337509310894656]","5_lag_7_median_eapPSLjfm, 5_lag_7_median_stratZ50ndj04, 6_lag_naoPSLjfm, 7_lag_amo3, 6_lag_nhSICjfm, 5_lag_6_median_eapPSLjfm, 6_lag_AMOCann, 6_lag_eapPSLjfm, 5_lag_7_median_AMOCann, 5_lag_7_median_amo3_399_5"
LinearRegression,1,10,atlSICjfm,picntrl,1515.5,2050.5,0.8,16,6,6,14.029706355416254,-0.10073434648026279,399,"['6_lag_7_median_amo3', '6_lag_7_median_nhSICsep', '6_lag_8_median_nhSICsep', '6_lag_7_median_amo1', '6_lag_8_median_shSICmar', '6_lag_7_median_scpPSLjfm', '6_lag_8_median_amo2', '6_lag_8_median_amo1', '7_lag_scpPSLjfm', '7_lag_nhSICsep']","[0.04682146942462883, 29524820501.866707, 0.3331020474433899, 0.001018524169921875, 0.00066375732421875, 99067632803300.12, 0.11059761047363281, 0.09241104125976562, 99067632803300.12, 29524820501.977066]","6_lag_7_median_amo3, 6_lag_7_median_nhSICsep, 6_lag_8_median_nhSICsep, 6_lag_7_median_amo1, 6_lag_8_median_shSICmar, 6_lag_7_median_scpPSLjfm, 6_lag_8_median_amo2, 6_lag_8_median_amo1, 7_lag_scpPSLjfm, 7_lag_nhSICsep_399_6"
LinearRegression,2,10,atlSICjfm,picntrl,1516.5,2050.5,0.8,17,7,7,13.529878937268887,-0.020551271344338047,399,"['7_lag_8_median_amo3', '7_lag_8_median_nhSICsep', '7_lag_9_median_nhSICsep', '7_lag_8_median_amo1', '7_lag_9_median_shSICmar', '7_lag_8_median_scpPSLjfm', '7_lag_9_median_amo2', '7_lag_9_median_amo1', '8_lag_scpPSLjfm', '8_lag_nhSICsep']","[0.009759831116996938, 7997724091.972247, 0.1226813942193985, 0.011574745178222656, 0.019288301467895508, 26835576986839.17, 0.15340375900268555, 0.08282613754272461, 26835576986839.15, 7997724091.895954]","7_lag_8_median_amo3, 7_lag_8_median_nhSICsep, 7_lag_9_median_nhSICsep, 7_lag_8_median_amo1, 7_lag_9_median_shSICmar, 7_lag_8_median_scpPSLjfm, 7_lag_9_median_amo2, 7_lag_9_median_amo1, 8_lag_scpPSLjfm, 8_lag_nhSICsep_399_7"
LinearRegression,3,10,atlSICjfm,picntrl,1517.5,2050.5,0.8,18,8,8,13.196420581552577,0.027271924132034008,399,"['8_lag_9_median_stratZ50ndj04', '8_lag_10_median_nhSICsep', '8_lag_10_median_amo1', '8_lag_10_median_amo3', '8_lag_9_median_shSICsep', '9_lag_shSICsep', '8_lag_9_median_nhSICsep', '8_lag_9_median_atlSICjfm', '9_lag_atlSICjfm', '9_lag_nhSICsep']","[0.06074364999796329, 0.059767663194165814, 0.05290259932170723, 0.022448134303472353, 0.03901867743261981, 0.039018677432619775, 0.032653012815047885, 0.0036785770623909003, 0.003678577062390949, 0.032653012815047885]","8_lag_9_median_stratZ50ndj04, 8_lag_10_median_nhSICsep, 8_lag_10_median_amo1, 8_lag_10_median_amo3, 8_lag_9_median_shSICsep, 9_lag_shSICsep, 8_lag_9_median_nhSICsep, 8_lag_9_median_atlSICjfm, 9_lag_atlSICjfm, 9_lag_nhSICsep_399_8"
LinearRegression,4,10,atlSICjfm,picntrl,1518.5,2050.5,0.8,19,9,9,13.09663997228812,0.0450481234826712,399,"['10_lag_eapPSLjfm', '9_lag_11_median_AMOCann', '9_lag_11_median_amoSSTmjjaso', '10_lag_atlSICsep', '11_lag_naoPSLjfm', '9_lag_11_median_nhSICsep', '9_lag_10_median_atlSICjfm', '10_lag_atlSICjfm', '9_lag_10_median_eapPSLjfm', '9_lag_11_median_naoPSLjfm']","[0.028534325649999075, 0.1221112863565963, 0.1381625682097897, 0.03671126568057993, 0.030699991531007727, 0.15651594977695504, 0.0008428165407344309, 0.0008428165407344309, 0.028534325649999026, 0.11898032236316591]","10_lag_eapPSLjfm, 9_lag_11_median_AMOCann, 9_lag_11_median_amoSSTmjjaso, 10_lag_atlSICsep, 11_lag_naoPSLjfm, 9_lag_11_median_nhSICsep, 9_lag_10_median_atlSICjfm, 10_lag_atlSICjfm, 9_lag_10_median_eapPSLjfm, 9_lag_11_median_naoPSLjfm_399_9"
LinearRegression,5,10,atlSICjfm,picntrl,1519.5,2050.5,0.8,20,10,10,13.033185838675305,-0.007816275441472651,399,"['11_lag_atlSICjfm', '10_lag_12_median_atlSICjfm', '11_lag_shSICsep', '10_lag_11_median_shSICmar', '10_lag_12_median_amoSSTmjjaso', '10_lag_12_median_eurPSLjfm', '11_lag_shSICmar', '10_lag_11_median_eapPSLjfm', '11_lag_eapPSLjfm', '10_lag_12_median_naoPSLjfm']","[0.09594582930013268, 0.24368488796025878, 0.04669196853275875, 0.026626665299067324, 0.17152538346207302, 0.06979955708729138, 0.026626665299067237, 0.007306902298601495, 0.007306902298601477, 0.10615549615255455]","11_lag_atlSICjfm, 10_lag_12_median_atlSICjfm, 11_lag_shSICsep, 10_lag_11_median_shSICmar, 10_lag_12_median_amoSSTmjjaso, 10_lag_12_median_eurPSLjfm, 11_lag_shSICmar, 10_lag_11_median_eapPSLjfm, 11_lag_eapPSLjfm, 10_lag_12_median_naoPSLjfm_399_10"
LinearRegression,6,10,atlSICjfm,picntrl,1520.5,2050.5,0.8,21,11,11,12.79700465973787,0.14278478909549946,399,"['12_lag_stratZ50ndj04', '11_lag_13_median_AMOCann', '11_lag_13_median_eurPSLjfm', '11_lag_13_median_eapPSLjfm', '12_lag_nhSICjfm', '11_lag_12_median_stratZ50ndj04', '11_lag_13_median_amo1', '11_lag_13_median_nhSICjfm', '12_lag_naoPSLjfm', '11_lag_12_median_naoPSLjfm']","[0.027007237567553365, 0.1255073224863499, 0.05184165404654133, 0.08127203406508851, 0.1074536697499568, 0.027007237567553383, 0.06375351284797631, 0.029469473917110408, 0.015624689057150488, 0.01562468905715054]","12_lag_stratZ50ndj04, 11_lag_13_median_AMOCann, 11_lag_13_median_eurPSLjfm, 11_lag_13_median_eapPSLjfm, 12_lag_nhSICjfm, 11_lag_12_median_stratZ50ndj04, 11_lag_13_median_amo1, 11_lag_13_median_nhSICjfm, 12_lag_naoPSLjfm, 11_lag_12_median_naoPSLjfm_399_11"
LinearRegression,7,10,atlSICjfm,picntrl,1521.5,2050.5,0.8,22,12,12,13.377259361138377,-0.0990412245157679,399,"['12_lag_14_median_eurPSLjfm', '12_lag_14_median_stratZ50ndj01', '12_lag_14_median_amo2', '12_lag_14_median_shSICsep', '14_lag_amo3', '12_lag_14_median_stratZ50ndj02', '12_lag_14_median_amoSSTmjjaso', '12_lag_14_median_eapPSLjfm', '12_lag_14_median_amo1', '12_lag_14_median_amo3']","[0.1207115495351305, 0.019304104324839075, 0.11025676604900166, 0.11086858675349327, 0.11332784478153275, 0.04493515810362209, 0.13877305659425027, 0.021544050330305327, 0.07885653574831117, 0.02939356911563521]","12_lag_14_median_eurPSLjfm, 12_lag_14_median_stratZ50ndj01, 12_lag_14_median_amo2, 12_lag_14_median_shSICsep, 14_lag_amo3, 12_lag_14_median_stratZ50ndj02, 12_lag_14_median_amoSSTmjjaso, 12_lag_14_median_eapPSLjfm, 12_lag_14_median_amo1, 12_lag_14_median_amo3_399_12"
LinearRegression,8,10,atlSICjfm,picntrl,1522.5,2050.5,0.8,23,13,13,13.4025814796474,-0.03514204170760303,399,"['13_lag_15_median_amo1', '13_lag_15_median_nhSICsep', '14_lag_shSICmar', '13_lag_15_median_amo3', '13_lag_15_median_shSICsep', '13_lag_15_median_shSICmar', '14_lag_stratZ50ndj02', '13_lag_15_median_nhSICjfm', '14_lag_amoSSTjfm', '13_lag_14_median_amoSSTjfm']","[0.20392314886500762, 0.09231460524313272, 0.03499321316766621, 0.14859929397221672, 0.08402975935963006, 0.05970383497796863, 0.006122455121960064, 0.10187898278253958, 0.05367511006516989, 0.05367511006516991]","13_lag_15_median_amo1, 13_lag_15_median_nhSICsep, 14_lag_shSICmar, 13_lag_15_median_amo3, 13_lag_15_median_shSICsep, 13_lag_15_median_shSICmar, 14_lag_stratZ50ndj02, 13_lag_15_median_nhSICjfm, 14_lag_amoSSTjfm, 13_lag_14_median_amoSSTjfm_399_13"
LinearRegression,9,10,atlSICjfm,picntrl,1523.5,2050.5,0.8,24,14,14,14.080373654942386,-0.18548506968851222,399,"['14_lag_16_median_amo1', '14_lag_16_median_stratZ50ndj03', '15_lag_AMOCann', '15_lag_stratZ50ndj03', '14_lag_16_median_nhSICsep', '14_lag_16_median_shSICsep', '15_lag_amoSSTmjjaso', '14_lag_16_median_amoSSTjfm', '14_lag_15_median_atlSICjfm', '15_lag_atlSICjfm']","[0.3520973098498218, 0.18933525102556906, 0.012612188530199199, 0.04294532281717188, 0.013785215504635063, 0.11152920446591981, 0.002309777134420137, 0.3311069703951647, 0.005036582974793959, 0.005036582974794149]","14_lag_16_median_amo1, 14_lag_16_median_stratZ50ndj03, 15_lag_AMOCann, 15_lag_stratZ50ndj03, 14_lag_16_median_nhSICsep, 14_lag_16_median_shSICsep, 15_lag_amoSSTmjjaso, 14_lag_16_median_amoSSTjfm, 14_lag_15_median_atlSICjfm, 15_lag_atlSICjfm_399_14"
