model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,atlSICsep,picntrl,1066.5,2050.5,0.4,15,5,5,13.52501604910474,-0.04805435874268652,1216,"['5_lag_12_median_tripol1', '5_lag_scpPSLjfm', '9_lag_ginwSSTjfm', '11_lag_amo3', '5_lag_traFB', '5_lag_7_median_shSICsep', '8_lag_tripol1', '5_lag_8_median_nhSICjfm', '5_lag_traEC', '11_lag_eurPSLjfm']","[1.6099682027482665, 4.388767750033022, 2.651717883339039, 0.6895878036411247, 1.113804829092743, 1.0952058104979088, 5.7612614525543275, 4.435290303657403, 4.697642172864221, 2.9889811032397073]","5_lag_12_median_tripol1, 5_lag_scpPSLjfm, 9_lag_ginwSSTjfm, 11_lag_amo3, 5_lag_traFB, 5_lag_7_median_shSICsep, 8_lag_tripol1, 5_lag_8_median_nhSICjfm, 5_lag_traEC, 11_lag_eurPSLjfm_1216_5"
LRforcedPSO,1,10,atlSICsep,picntrl,1067.5,2050.5,0.4,16,6,6,13.92801188871024,0.07788645634709869,1216,"['7_lag_amo2', '13_lag_AMOCann', '6_lag_atlSICsep', '6_lag_7_median_traWP', '6_lag_10_median_ismPRjja', '6_lag_10_median_tripol2', '11_lag_nhSICjfm', '14_lag_tripol2', '6_lag_11_median_shTSjfm', '11_lag_tripol2']","[7.747232306303373, 2.235000955489788, 0.544741815518142, 3.5639553664156747, 3.463652538112026, 3.4151159821037993, 1.0954617816757573, 0.5089120823522855, 0.23741614033096425, 8.008757859272803]","7_lag_amo2, 13_lag_AMOCann, 6_lag_atlSICsep, 6_lag_7_median_traWP, 6_lag_10_median_ismPRjja, 6_lag_10_median_tripol2, 11_lag_nhSICjfm, 14_lag_tripol2, 6_lag_11_median_shTSjfm, 11_lag_tripol2_1216_6"
LRforcedPSO,2,10,atlSICsep,picntrl,1068.5,2050.5,0.4,17,7,7,13.035916512266839,-0.04799013449301155,1216,"['8_lag_samPSLann', '7_lag_12_median_atlSICjfm', '16_lag_nppc2SSTjfm', '7_lag_10_median_eapPSLjfm', '13_lag_cetTSjfm', '12_lag_samPSLann', '7_lag_14_median_cetTSjfm', '7_lag_9_median_samPSLann', '11_lag_traEU', '13_lag_traDS']","[5.929015719332574, 0.23988787694767666, 1.0475635565396502, 0.48089362873504626, 2.2438399702012335, 6.2896946984780016, 0.6669712270979318, 3.734819881697275, 1.3450303567969648, 1.641657174840983]","8_lag_samPSLann, 7_lag_12_median_atlSICjfm, 16_lag_nppc2SSTjfm, 7_lag_10_median_eapPSLjfm, 13_lag_cetTSjfm, 12_lag_samPSLann, 7_lag_14_median_cetTSjfm, 7_lag_9_median_samPSLann, 11_lag_traEU, 13_lag_traDS_1216_7"
LRforcedPSO,3,10,atlSICsep,picntrl,1069.5,2050.5,0.4,18,8,8,15.239888094047672,-0.02725369442232839,1216,"['15_lag_traFSC', '8_lag_glTSjfm', '8_lag_9_median_scpPSLjfm', '13_lag_eurPSLjfm', '8_lag_15_median_tripol3', '8_lag_16_median_tripol1', '8_lag_16_median_traFSC', '14_lag_samPSLann', '8_lag_14_median_traIT', '8_lag_11_median_atlSICjfm']","[1.8037162801092421, 1.349088126751285, 9.450184903775437, 2.6768575387472, 0.5024022124987955, 2.545473345086844, 0.4252276700985025, 5.843576825469118, 2.3188896821584226, 2.7742975467105317]","15_lag_traFSC, 8_lag_glTSjfm, 8_lag_9_median_scpPSLjfm, 13_lag_eurPSLjfm, 8_lag_15_median_tripol3, 8_lag_16_median_tripol1, 8_lag_16_median_traFSC, 14_lag_samPSLann, 8_lag_14_median_traIT, 8_lag_11_median_atlSICjfm_1216_8"
LRforcedPSO,4,10,atlSICsep,picntrl,1070.5,2050.5,0.4,19,9,9,15.768439742815245,-0.07948416230922145,1216,"['9_lag_16_median_amoSSTmjjaso', '15_lag_amo1', '11_lag_traFB', '15_lag_mhfATL45', '11_lag_traBS', '13_lag_traMC', '14_lag_traWP', '9_lag_12_median_arcTSjfm', '12_lag_eapPSLjfm', '9_lag_16_median_traTLS']","[0.08373489244114651, 2.899356043898454, 1.8178157908131727, 0.153730181425054, 1.4193788960847158, 6.391708754293859, 3.783917463076399, 4.70682426909619, 5.471782493305282, 6.376276986010801]","9_lag_16_median_amoSSTmjjaso, 15_lag_amo1, 11_lag_traFB, 15_lag_mhfATL45, 11_lag_traBS, 13_lag_traMC, 14_lag_traWP, 9_lag_12_median_arcTSjfm, 12_lag_eapPSLjfm, 9_lag_16_median_traTLS_1216_9"
LRforcedPSO,5,10,atlSICsep,picntrl,1071.5,2050.5,0.4,20,10,10,14.716819367476061,-0.08348173301247945,1216,"['12_lag_mhfATL45', '19_lag_glTSjfm', '10_lag_14_median_traCA', '10_lag_13_median_scpPSLjfm', '19_lag_traDS', '16_lag_mhfATL60', '14_lag_traEU', '10_lag_13_median_nhSICsep', '10_lag_17_median_cetTSjfm', '10_lag_16_median_traBO']","[9.229752055215737, 0.44375003132863, 4.8511846204209075, 1.644139393062325, 1.3056518985113446, 2.277210487686572, 1.6550689859713703, 6.976842742437812, 2.9297100676749377, 6.422160121370113]","12_lag_mhfATL45, 19_lag_glTSjfm, 10_lag_14_median_traCA, 10_lag_13_median_scpPSLjfm, 19_lag_traDS, 16_lag_mhfATL60, 14_lag_traEU, 10_lag_13_median_nhSICsep, 10_lag_17_median_cetTSjfm, 10_lag_16_median_traBO_1216_10"
LRforcedPSO,6,10,atlSICsep,picntrl,1072.5,2050.5,0.4,21,11,11,16.355372449754665,0.017016781610939672,1216,"['15_lag_amo2', '11_lag_shSICmar', '11_lag_19_median_shSICsep', '11_lag_17_median_shTSjfm', '11_lag_18_median_amo1', '11_lag_15_median_tripol1', '18_lag_shSICmar', '14_lag_samPSLann', '11_lag_16_median_nppc2SSTjfm', '18_lag_nppc2SSTjfm']","[1.1611145105919274, 1.4186666104360341, 8.20120891369507, 4.2497578241088245, 6.255131247016152, 1.1410488327538282, 3.164925215614593, 4.049399716036932, 5.912288442428487, 6.599244710930736]","15_lag_amo2, 11_lag_shSICmar, 11_lag_19_median_shSICsep, 11_lag_17_median_shTSjfm, 11_lag_18_median_amo1, 11_lag_15_median_tripol1, 18_lag_shSICmar, 14_lag_samPSLann, 11_lag_16_median_nppc2SSTjfm, 18_lag_nppc2SSTjfm_1216_11"
LRforcedPSO,7,10,atlSICsep,picntrl,1073.5,2050.5,0.4,22,12,12,12.863442872401032,0.0014853870625368753,1216,"['12_lag_nhSICsep', '12_lag_19_median_traDS', '14_lag_shTSjfm', '14_lag_shSICmar', '15_lag_traIFC', '12_lag_18_median_traMC', '12_lag_14_median_arcTSjfm', '16_lag_arcTSjfm', '21_lag_amo1', '12_lag_17_median_atlSICjfm']","[3.8918041053085606, 1.5984856254747104, 1.3511628651815588, 0.7607330172744575, 1.0270330819164268, 6.827626477342093, 2.0325667454963785, 2.5896791527003256, 1.9401551694597696, 0.8578424539346372]","12_lag_nhSICsep, 12_lag_19_median_traDS, 14_lag_shTSjfm, 14_lag_shSICmar, 15_lag_traIFC, 12_lag_18_median_traMC, 12_lag_14_median_arcTSjfm, 16_lag_arcTSjfm, 21_lag_amo1, 12_lag_17_median_atlSICjfm_1216_12"
LRforcedPSO,8,10,atlSICsep,picntrl,1074.5,2050.5,0.4,23,13,13,13.727158387855956,-0.04624693829372711,1216,"['21_lag_tripol2', '13_lag_19_median_mhfIP30', '13_lag_yrvPRjja', '13_lag_19_median_alpi', '19_lag_traFS', '17_lag_traMC', '13_lag_19_median_atlSICjfm', '17_lag_ensoSSTjfm', '14_lag_arcTSjfm', '13_lag_cetTSjfm']","[1.6652360895311382, 3.1155209927830256, 5.669803849764348, 2.1055054839545466, 6.051269920436124, 2.101343731748271, 3.138840426920753, 1.0370045472447664, 2.4389131927692613, 1.1929490938946508]","21_lag_tripol2, 13_lag_19_median_mhfIP30, 13_lag_yrvPRjja, 13_lag_19_median_alpi, 19_lag_traFS, 17_lag_traMC, 13_lag_19_median_atlSICjfm, 17_lag_ensoSSTjfm, 14_lag_arcTSjfm, 13_lag_cetTSjfm_1216_13"
LRforcedPSO,9,10,atlSICsep,picntrl,1075.5,2050.5,0.4,24,14,14,14.145460327415643,0.04609888412373517,1216,"['14_lag_16_median_wnorPRjfm', '15_lag_amo3', '14_lag_16_median_alpi', '14_lag_22_median_nppc2SSTjfm', '23_lag_traIFC', '14_lag_17_median_mhfATL30', '15_lag_shSICmar', '14_lag_21_median_mhfATL30', '17_lag_traMC', '15_lag_samPSLann']","[5.98929534488499, 3.3665128531897164, 6.98206446815878, 3.1688972012107026, 5.5804818952627535, 2.4418371341509477, 0.12935927710913475, 4.572271195121401, 3.169889486069981, 5.98772750227911]","14_lag_16_median_wnorPRjfm, 15_lag_amo3, 14_lag_16_median_alpi, 14_lag_22_median_nppc2SSTjfm, 23_lag_traIFC, 14_lag_17_median_mhfATL30, 15_lag_shSICmar, 14_lag_21_median_mhfATL30, 17_lag_traMC, 15_lag_samPSLann_1216_14"
