model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,atlSICsep,picntrl,1514.5,2050.5,0.4,15,1,1,11.720523567252743,0.08898017717467485,1728,"['4_lag_seurTSjfm', '1_lag_satlSSTjfm', '9_lag_yrvPRjja', '9_lag_mhfATL60', '1_lag_traEC', '8_lag_mhfIP30', '8_lag_ismPRjja', '11_lag_yrvPRjja', '7_lag_shSICsep', '4_lag_traBS']","[0.09411231592722397, 0.11188319446364522, 0.04171806719593514, 0.18283747595699365, 0.014616127322374634, 0.129378378607059, 0.09964127358257269, 0.08503101857733336, 0.06604559736803674, 0.14961607433694557]","4_lag_seurTSjfm, 1_lag_satlSSTjfm, 9_lag_yrvPRjja, 9_lag_mhfATL60, 1_lag_traEC, 8_lag_mhfIP30, 8_lag_ismPRjja, 11_lag_yrvPRjja, 7_lag_shSICsep, 4_lag_traBS_1728_1"
LinearRegression,1,10,atlSICsep,picntrl,1515.5,2050.5,0.4,16,1,1,11.263091206432366,0.08835878275036937,1856,"['7_lag_nchinaPRjja', '1_lag_traEC', '1_lag_ginwSSTjfm', '1_lag_satlSSTjfm', '8_lag_ismPRjja', '11_lag_yrvPRjja', '15_lag_stratZ50ndj01', '7_lag_shSICsep', '15_lag_stratZ50ndj03', '4_lag_traBS']","[0.03677236367762011, 0.026651154376529596, 0.040999894464484425, 0.18371161066528044, 0.08417277090715149, 0.10497765502634293, 0.0511648251757372, 0.09576315169139703, 0.17848472945486477, 0.14559112448492817]","7_lag_nchinaPRjja, 1_lag_traEC, 1_lag_ginwSSTjfm, 1_lag_satlSSTjfm, 8_lag_ismPRjja, 11_lag_yrvPRjja, 15_lag_stratZ50ndj01, 7_lag_shSICsep, 15_lag_stratZ50ndj03, 4_lag_traBS_1856_1"
LinearRegression,2,10,atlSICsep,picntrl,1516.5,2050.5,0.4,17,1,1,11.454904990314246,0.08130399285893618,1984,"['1_lag_satlSSTjfm', '8_lag_mhfIP30', '8_lag_ismPRjja', '16_lag_traDS', '15_lag_stratZ50ndj01', '11_lag_yrvPRjja', '15_lag_stratZ50ndj03', '7_lag_shSICsep', '16_lag_eurPSLjfm', '4_lag_traBS']","[0.11689005368343572, 0.12062420402964796, 0.060841081613925554, 0.009518231017092187, 0.061122277079594514, 0.07499538864074964, 0.1564254668031307, 0.08091192085243837, 0.21558100758118032, 0.13013233354035095]","1_lag_satlSSTjfm, 8_lag_mhfIP30, 8_lag_ismPRjja, 16_lag_traDS, 15_lag_stratZ50ndj01, 11_lag_yrvPRjja, 15_lag_stratZ50ndj03, 7_lag_shSICsep, 16_lag_eurPSLjfm, 4_lag_traBS_1984_1"
LinearRegression,3,10,atlSICsep,picntrl,1517.5,2050.5,0.4,18,1,4,11.484643534340877,0.06808283067691459,2112,"['17_lag_seurTSjfm', '16_lag_traDS', '15_lag_stratZ50ndj01', '8_lag_ismPRjja', '8_lag_mhfIP30', '11_lag_yrvPRjja', '7_lag_shSICsep', '15_lag_stratZ50ndj03', '16_lag_eurPSLjfm', '4_lag_traBS']","[0.011892945920973879, 0.01718860934610053, 0.0578440796604075, 0.050835929383020666, 0.1326269949807159, 0.07436147753395349, 0.067702717278167, 0.15675700306347068, 0.2257458644491985, 0.12758644238395286]","17_lag_seurTSjfm, 16_lag_traDS, 15_lag_stratZ50ndj01, 8_lag_ismPRjja, 8_lag_mhfIP30, 11_lag_yrvPRjja, 7_lag_shSICsep, 15_lag_stratZ50ndj03, 16_lag_eurPSLjfm, 4_lag_traBS_2112_4"
LinearRegression,4,10,atlSICsep,picntrl,1518.5,2050.5,0.4,19,1,4,11.418351391641028,0.08631434124036672,2240,"['8_lag_ismPRjja', '17_lag_traEC', '16_lag_traDS', '15_lag_stratZ50ndj01', '8_lag_mhfIP30', '11_lag_yrvPRjja', '7_lag_shSICsep', '16_lag_eurPSLjfm', '15_lag_stratZ50ndj03', '4_lag_traBS']","[0.0579458234565478, 0.1338447422769332, 0.022874869145861936, 0.04827839739450384, 0.13804751833415818, 0.06937121879586514, 0.0609872146601937, 0.23080559917648552, 0.15648902949644414, 0.11929179948632845]","8_lag_ismPRjja, 17_lag_traEC, 16_lag_traDS, 15_lag_stratZ50ndj01, 8_lag_mhfIP30, 11_lag_yrvPRjja, 7_lag_shSICsep, 16_lag_eurPSLjfm, 15_lag_stratZ50ndj03, 4_lag_traBS_2240_4"
LinearRegression,5,10,atlSICsep,picntrl,1519.5,2050.5,0.4,20,1,4,11.30755671951222,0.0630364880839284,2368,"['18_lag_traEU', '18_lag_seurTSjfm', '17_lag_seurTSjfm', '7_lag_shSICsep', '16_lag_traDS', '8_lag_mhfIP30', '11_lag_yrvPRjja', '16_lag_eurPSLjfm', '15_lag_stratZ50ndj03', '4_lag_traBS']","[0.05484786697244589, 0.06223986665474629, 0.020222410669257257, 0.06713676264594416, 0.005554243515306721, 0.12671115277493425, 0.07966576621290626, 0.21213137550449596, 0.15257913279459645, 0.11181638700121116]","18_lag_traEU, 18_lag_seurTSjfm, 17_lag_seurTSjfm, 7_lag_shSICsep, 16_lag_traDS, 8_lag_mhfIP30, 11_lag_yrvPRjja, 16_lag_eurPSLjfm, 15_lag_stratZ50ndj03, 4_lag_traBS_2368_4"
LinearRegression,6,10,atlSICsep,picntrl,1520.5,2050.5,0.4,21,1,4,11.823453777647671,-0.006676147711189066,2496,"['13_lag_tripol3', '16_lag_traWP', '16_lag_traDS', '18_lag_seurTSjfm', '7_lag_shSICsep', '8_lag_mhfIP30', '15_lag_stratZ50ndj03', '16_lag_eurPSLjfm', '4_lag_traBS', '20_lag_stratZ50ndj03']","[0.07201331132217687, 0.06859833711107122, 0.028941066488100187, 0.07515987286266596, 0.0534512303685084, 0.14863327686658498, 0.13882983815656763, 0.21365433418054738, 0.09156039614181799, 0.14257419777521815]","13_lag_tripol3, 16_lag_traWP, 16_lag_traDS, 18_lag_seurTSjfm, 7_lag_shSICsep, 8_lag_mhfIP30, 15_lag_stratZ50ndj03, 16_lag_eurPSLjfm, 4_lag_traBS, 20_lag_stratZ50ndj03_2496_4"
LinearRegression,7,10,atlSICsep,picntrl,1521.5,2050.5,0.4,22,2,4,12.049676257881147,0.06714574508198932,2496,"['6_lag_eapPSLjfm', '7_lag_shSICsep', '9_lag_mhfATL60', '15_lag_mhfIP30', '21_lag_tripol3', '4_lag_traBS', '16_lag_eurPSLjfm', '15_lag_stratZ50ndj03', '20_lag_stratZ50ndj03', '8_lag_mhfIP30']","[0.05646348707222085, 0.06709735113373816, 0.1743656219039117, 0.05482051050859043, 0.10401946387632294, 0.07717819005356273, 0.23809147162326552, 0.13834526905721933, 0.14034565272949526, 0.1688754812790855]","6_lag_eapPSLjfm, 7_lag_shSICsep, 9_lag_mhfATL60, 15_lag_mhfIP30, 21_lag_tripol3, 4_lag_traBS, 16_lag_eurPSLjfm, 15_lag_stratZ50ndj03, 20_lag_stratZ50ndj03, 8_lag_mhfIP30_2496_4"
LinearRegression,8,10,atlSICsep,picntrl,1522.5,2050.5,0.4,23,3,7,12.43994644997153,0.04645740003731792,2496,"['7_lag_shSICsep', '18_lag_traEU', '9_lag_atlSICjfm', '21_lag_nchinaPRjja', '16_lag_eurPSLjfm', '22_lag_alpi', '9_lag_mhfATL60', '15_lag_stratZ50ndj03', '20_lag_stratZ50ndj03', '8_lag_mhfIP30']","[0.05747276319642762, 0.05926812932644854, 0.07834414972649738, 0.05890325222262488, 0.21841978040113622, 0.09351992091993497, 0.19602771577108533, 0.15551982348882026, 0.14596722049473296, 0.1817173047109189]","7_lag_shSICsep, 18_lag_traEU, 9_lag_atlSICjfm, 21_lag_nchinaPRjja, 16_lag_eurPSLjfm, 22_lag_alpi, 9_lag_mhfATL60, 15_lag_stratZ50ndj03, 20_lag_stratZ50ndj03, 8_lag_mhfIP30_2496_7"
LinearRegression,9,10,atlSICsep,picntrl,1523.5,2050.5,0.4,24,4,4,12.413361923108964,0.048536752694232514,2496,"['18_lag_traEU', '15_lag_stratZ50ndj03', '9_lag_atlSICjfm', '4_lag_traBS', '21_lag_nchinaPRjja', '9_lag_mhfATL60', '16_lag_eurPSLjfm', '20_lag_stratZ50ndj03', '22_lag_alpi', '8_lag_mhfIP30']","[0.06467514897565707, 0.13964258185522577, 0.08375542624434566, 0.10668254267787922, 0.06658637136856549, 0.19106792156297747, 0.2102892725443768, 0.1353655326013328, 0.09522179546958637, 0.17644566828668035]","18_lag_traEU, 15_lag_stratZ50ndj03, 9_lag_atlSICjfm, 4_lag_traBS, 21_lag_nchinaPRjja, 9_lag_mhfATL60, 16_lag_eurPSLjfm, 20_lag_stratZ50ndj03, 22_lag_alpi, 8_lag_mhfIP30_2496_4"
