model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,eapPSLjfm,picntrl,1714.5,2050.5,0.6,15,5,5,14.738459726441615,0.058646032163614484,399,"['5_lag_8_median_stratZ50ndj04', '5_lag_14_median_eapPSLjfm', '9_lag_eurPSLjfm', '9_lag_amo3', '5_lag_8_median_amo3', '5_lag_13_median_stratZ50ndj01', '5_lag_6_median_nhSICjfm', '5_lag_13_median_nhSICjfm', '9_lag_shSICsep', '5_lag_9_median_naoPSLjfm']","[1.4698106283064671, 0.8019263825511196, 3.777874013395355, 3.826054286040237, 2.717853135479915, 8.386468255545275, 2.1572644851580947, 4.381808653786646, 3.0975035618146123, 1.8882411905063243]","5_lag_8_median_stratZ50ndj04, 5_lag_14_median_eapPSLjfm, 9_lag_eurPSLjfm, 9_lag_amo3, 5_lag_8_median_amo3, 5_lag_13_median_stratZ50ndj01, 5_lag_6_median_nhSICjfm, 5_lag_13_median_nhSICjfm, 9_lag_shSICsep, 5_lag_9_median_naoPSLjfm_399_5"
LRforcedPSO,1,10,eapPSLjfm,picntrl,1715.5,2050.5,0.6,16,6,6,13.788930417530297,0.11966518684952462,399,"['15_lag_amo3', '11_lag_shSICsep', '6_lag_9_median_amo1', '6_lag_9_median_atlSICsep', '6_lag_15_median_atlSICsep', '15_lag_atlSICjfm', '13_lag_amoSSTmjjaso', '6_lag_7_median_eurPSLjfm', '6_lag_8_median_amo2', '13_lag_shSICmar']","[2.007794485209473, 4.524654523473184, 0.10627924634531283, 1.0536578518444202, 1.7808328323345393, 4.765066583426069, 4.63505879593388, 1.6813946275735496, 5.860442053511408, 3.725604860297551]","15_lag_amo3, 11_lag_shSICsep, 6_lag_9_median_amo1, 6_lag_9_median_atlSICsep, 6_lag_15_median_atlSICsep, 15_lag_atlSICjfm, 13_lag_amoSSTmjjaso, 6_lag_7_median_eurPSLjfm, 6_lag_8_median_amo2, 13_lag_shSICmar_399_6"
LRforcedPSO,2,10,eapPSLjfm,picntrl,1716.5,2050.5,0.6,17,7,7,15.665203282298505,-0.046448678672986785,399,"['12_lag_amo3', '10_lag_stratZ50ndj03', '7_lag_9_median_atlSICjfm', '7_lag_13_median_amoSSTmjjaso', '7_lag_14_median_amo1', '7_lag_15_median_atlSICsep', '14_lag_stratZ50ndj01', '13_lag_amo3', '7_lag_12_median_atlSICsep', '10_lag_stratZ50ndj01']","[4.110526630373052, 1.6130905956370896, 0.6410613787737578, 3.6704404974720966, 0.3498479058136894, 6.175344421679931, 8.980603787174806, 6.035681222916467, 8.904085482972219, 0.4767029108207499]","12_lag_amo3, 10_lag_stratZ50ndj03, 7_lag_9_median_atlSICjfm, 7_lag_13_median_amoSSTmjjaso, 7_lag_14_median_amo1, 7_lag_15_median_atlSICsep, 14_lag_stratZ50ndj01, 13_lag_amo3, 7_lag_12_median_atlSICsep, 10_lag_stratZ50ndj01_399_7"
LRforcedPSO,3,10,eapPSLjfm,picntrl,1717.5,2050.5,0.6,18,8,8,13.62675013353429,0.058321987502950756,399,"['16_lag_atlSICjfm', '8_lag_15_median_nhSICjfm', '16_lag_shSICmar', '8_lag_9_median_stratZ50ndj04', '8_lag_15_median_atlSICsep', '15_lag_shSICsep', '16_lag_amo2', '10_lag_scpPSLjfm', '14_lag_AMOCann', '16_lag_eapPSLjfm']","[5.256542299973244, 1.1784872286186499, 3.5334545609935724, 1.726215641232491, 3.10788012415256, 2.005298897778623, 5.057816298486564, 3.6417092179615462, 1.9361367773074534, 4.756009249306432]","16_lag_atlSICjfm, 8_lag_15_median_nhSICjfm, 16_lag_shSICmar, 8_lag_9_median_stratZ50ndj04, 8_lag_15_median_atlSICsep, 15_lag_shSICsep, 16_lag_amo2, 10_lag_scpPSLjfm, 14_lag_AMOCann, 16_lag_eapPSLjfm_399_8"
LRforcedPSO,4,10,eapPSLjfm,picntrl,1718.5,2050.5,0.6,19,9,9,14.932177264073564,0.02884699061182631,399,"['15_lag_atlSICsep', '12_lag_nppc2SSTjfm', '9_lag_13_median_amoSSTjfm', '9_lag_18_median_AMOCann', '17_lag_stratZ50ndj03', '9_lag_14_median_shSICmar', '9_lag_16_median_nhSICsep', '10_lag_atlSICsep', '9_lag_12_median_nhSICjfm', '11_lag_stratZ50ndj04']","[2.4580351764511903, 5.996113891195181, 2.890347150615625, 0.0010796555477128322, 4.798009079528821, 0.36421004474261665, 1.3940041974860158, 5.513846874421883, 5.917956460808023, 2.9237095351770126]","15_lag_atlSICsep, 12_lag_nppc2SSTjfm, 9_lag_13_median_amoSSTjfm, 9_lag_18_median_AMOCann, 17_lag_stratZ50ndj03, 9_lag_14_median_shSICmar, 9_lag_16_median_nhSICsep, 10_lag_atlSICsep, 9_lag_12_median_nhSICjfm, 11_lag_stratZ50ndj04_399_9"
LRforcedPSO,5,10,eapPSLjfm,picntrl,1719.5,2050.5,0.6,20,10,10,16.298402196125984,0.004427228508599457,399,"['17_lag_AMOCann', '19_lag_stratZ50ndj01', '10_lag_19_median_stratZ50ndj03', '13_lag_eurPSLjfm', '13_lag_stratZ50ndj02', '10_lag_16_median_stratZ50ndj04', '15_lag_stratZ50ndj04', '10_lag_13_median_naoPSLjfm', '10_lag_14_median_stratZ50ndj03', '10_lag_16_median_amo2']","[2.5622906891053177, 0.39922920300532994, 3.3872999680155225, 2.129097845718684, 3.4054767229546083, 2.482694082530287, 2.2971621510593625, 1.868860194129356, 6.386878726777596, 3.2764700935772595]","17_lag_AMOCann, 19_lag_stratZ50ndj01, 10_lag_19_median_stratZ50ndj03, 13_lag_eurPSLjfm, 13_lag_stratZ50ndj02, 10_lag_16_median_stratZ50ndj04, 15_lag_stratZ50ndj04, 10_lag_13_median_naoPSLjfm, 10_lag_14_median_stratZ50ndj03, 10_lag_16_median_amo2_399_10"
LRforcedPSO,6,10,eapPSLjfm,picntrl,1720.5,2050.5,0.6,21,11,11,18.22077785664524,-0.03897289876867959,399,"['11_lag_19_median_scpPSLjfm', '11_lag_17_median_amo2', '15_lag_shSICmar', '11_lag_19_median_atlSICsep', '11_lag_16_median_eapPSLjfm', '16_lag_stratZ50ndj02', '11_lag_20_median_AMOCann', '13_lag_eurPSLjfm', '13_lag_amoSSTmjjaso', '19_lag_eurPSLjfm']","[1.7625425515788873, 0.5372479336376266, 5.732336162478515, 5.273249199923221, 1.1946006390998143, 7.82636978149543, 3.058748793694715, 1.5666894658090964, 1.171530229976005, 2.194048330079969]","11_lag_19_median_scpPSLjfm, 11_lag_17_median_amo2, 15_lag_shSICmar, 11_lag_19_median_atlSICsep, 11_lag_16_median_eapPSLjfm, 16_lag_stratZ50ndj02, 11_lag_20_median_AMOCann, 13_lag_eurPSLjfm, 13_lag_amoSSTmjjaso, 19_lag_eurPSLjfm_399_11"
LRforcedPSO,7,10,eapPSLjfm,picntrl,1721.5,2050.5,0.6,22,12,12,15.013013204241702,0.086518862688437,399,"['12_lag_17_median_amo3', '12_lag_18_median_eapPSLjfm', '17_lag_scpPSLjfm', '19_lag_scpPSLjfm', '12_lag_14_median_eapPSLjfm', '18_lag_amoSSTmjjaso', '21_lag_amo1', '12_lag_nppc2SSTjfm', '12_lag_17_median_atlSICsep', '12_lag_21_median_stratZ50ndj02']","[4.896444222095532, 2.0377289682806285, 0.6989721038084955, 2.452055236526558, 2.886888238663408, 1.2612074112045608, 4.452575385173477, 0.15684309240027616, 7.233214706189454, 3.781661012758679]","12_lag_17_median_amo3, 12_lag_18_median_eapPSLjfm, 17_lag_scpPSLjfm, 19_lag_scpPSLjfm, 12_lag_14_median_eapPSLjfm, 18_lag_amoSSTmjjaso, 21_lag_amo1, 12_lag_nppc2SSTjfm, 12_lag_17_median_atlSICsep, 12_lag_21_median_stratZ50ndj02_399_12"
LRforcedPSO,8,10,eapPSLjfm,picntrl,1722.5,2050.5,0.6,23,13,13,14.520589973036039,0.01224829653274278,399,"['13_lag_amoSSTjfm', '18_lag_AMOCann', '13_lag_18_median_nhSICjfm', '13_lag_21_median_amo2', '13_lag_shSICsep', '13_lag_21_median_eurPSLjfm', '13_lag_17_median_stratZ50ndj01', '13_lag_18_median_amo3', '14_lag_amo2', '17_lag_nhSICjfm']","[1.2149261013189268, 2.565814636780617, 0.3157213465966464, 1.312034632767796, 3.253121322710932, 0.235009903980961, 7.321390147846354, 1.5158280758779252, 0.18967632572209858, 3.865841697992698]","13_lag_amoSSTjfm, 18_lag_AMOCann, 13_lag_18_median_nhSICjfm, 13_lag_21_median_amo2, 13_lag_shSICsep, 13_lag_21_median_eurPSLjfm, 13_lag_17_median_stratZ50ndj01, 13_lag_18_median_amo3, 14_lag_amo2, 17_lag_nhSICjfm_399_13"
LRforcedPSO,9,10,eapPSLjfm,picntrl,1723.5,2050.5,0.6,24,14,14,14.52605456668796,-0.035677286342394615,399,"['14_lag_amoSSTmjjaso', '20_lag_amoSSTjfm', '23_lag_stratZ50ndj03', '23_lag_amoSSTjfm', '16_lag_stratZ50ndj04', '22_lag_stratZ50ndj01', '18_lag_stratZ50ndj02', '20_lag_stratZ50ndj03', '22_lag_stratZ50ndj02', '14_lag_16_median_nppc2SSTjfm']","[1.0047530134267184, 3.018958898830686, 2.1621570911983152, 1.0347675248938835, 1.6957984355812172, 3.4491530827613293, 1.5369453272063254, 4.446323965455181, 3.8774593161794684, 0.5731094756453547]","14_lag_amoSSTmjjaso, 20_lag_amoSSTjfm, 23_lag_stratZ50ndj03, 23_lag_amoSSTjfm, 16_lag_stratZ50ndj04, 22_lag_stratZ50ndj01, 18_lag_stratZ50ndj02, 20_lag_stratZ50ndj03, 22_lag_stratZ50ndj02, 14_lag_16_median_nppc2SSTjfm_399_14"
