model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,eapPSLjfm,picntrl,1714.5,2050.5,0.4,15,5,5,15.636797596000797,0.012300456414813076,1216,"['10_lag_stratZ50ndj02', '5_lag_7_median_seurTSjfm', '5_lag_7_median_amo2', '13_lag_satlSSTjfm', '5_lag_14_median_traCA', '10_lag_yrvPRjja', '10_lag_stratZ50ndj03', '11_lag_shSICsep', '5_lag_6_median_traCA', '5_lag_8_median_alpi']","[1.2387750786057907, 0.11357995899064832, 3.167812949914854, 0.1749337863395226, 2.7464943922734104, 0.5284973388004826, 1.6686848643789212, 7.428448083828312, 9.408289174600984, 2.3640913257321188]","10_lag_stratZ50ndj02, 5_lag_7_median_seurTSjfm, 5_lag_7_median_amo2, 13_lag_satlSSTjfm, 5_lag_14_median_traCA, 10_lag_yrvPRjja, 10_lag_stratZ50ndj03, 11_lag_shSICsep, 5_lag_6_median_traCA, 5_lag_8_median_alpi_1216_5"
LRforcedPSO,1,10,eapPSLjfm,picntrl,1715.5,2050.5,0.4,16,6,6,17.889261353120343,-0.047676074652205136,1216,"['10_lag_nppc2SSTjfm', '6_lag_8_median_stratZ50ndj01', '6_lag_traWP', '6_lag_11_median_traDP', '6_lag_nhSICsep', '6_lag_15_median_stratZ50ndj02', '11_lag_traFB', '12_lag_alpi', '8_lag_ginwSSTjfm', '15_lag_atlSICjfm']","[4.652011111177929, 5.168161252104058, 0.3659019756107682, 3.635492250888099, 1.8049840593061006, 5.191458025675047, 5.105732472561273, 1.7376367185181962, 5.7167948868308365, 1.6251378865131585]","10_lag_nppc2SSTjfm, 6_lag_8_median_stratZ50ndj01, 6_lag_traWP, 6_lag_11_median_traDP, 6_lag_nhSICsep, 6_lag_15_median_stratZ50ndj02, 11_lag_traFB, 12_lag_alpi, 8_lag_ginwSSTjfm, 15_lag_atlSICjfm_1216_6"
LRforcedPSO,2,10,eapPSLjfm,picntrl,1716.5,2050.5,0.4,17,7,7,15.629755411754308,0.03768384605692454,1216,"['13_lag_neurTSjfm', '7_lag_10_median_cetTSjfm', '7_lag_16_median_alpi', '9_lag_AMOCann', '7_lag_15_median_mhfATL30', '14_lag_AMOCann', '7_lag_9_median_traIFC', '13_lag_ensoSSTjfm', '16_lag_seurTSjfm', '9_lag_traDP']","[7.087958472128577, 0.21005753082020284, 2.6903528913455377, 0.22028085093591265, 2.7401078012580236, 4.028074057085829, 3.4732747519560547, 1.3932422674350669, 3.03885889977761, 5.486830970049532]","13_lag_neurTSjfm, 7_lag_10_median_cetTSjfm, 7_lag_16_median_alpi, 9_lag_AMOCann, 7_lag_15_median_mhfATL30, 14_lag_AMOCann, 7_lag_9_median_traIFC, 13_lag_ensoSSTjfm, 16_lag_seurTSjfm, 9_lag_traDP_1216_7"
LRforcedPSO,3,10,eapPSLjfm,picntrl,1717.5,2050.5,0.4,18,8,8,18.7315046330553,-0.08406444656246356,1216,"['9_lag_atlSICjfm', '15_lag_traMC', '8_lag_9_median_atlSICsep', '8_lag_satlSSTjfm', '8_lag_9_median_traEU', '8_lag_14_median_traBO', '8_lag_16_median_AMOCann', '17_lag_nchinaPRjja', '12_lag_nhSICjfm', '8_lag_17_median_traWP']","[6.555647295213733, 8.838220468065249, 1.981949334505428, 2.7364103861387683, 5.229255528442025, 5.055158578877625, 4.92549767457418, 2.4937894983512336, 4.218150270373309, 4.360012856531927]","9_lag_atlSICjfm, 15_lag_traMC, 8_lag_9_median_atlSICsep, 8_lag_satlSSTjfm, 8_lag_9_median_traEU, 8_lag_14_median_traBO, 8_lag_16_median_AMOCann, 17_lag_nchinaPRjja, 12_lag_nhSICjfm, 8_lag_17_median_traWP_1216_8"
LRforcedPSO,4,10,eapPSLjfm,picntrl,1718.5,2050.5,0.4,19,9,9,19.47276417996493,-0.12133197676399587,1216,"['18_lag_pdoSSTjfm', '17_lag_traBO', '9_lag_18_median_glomaSSTjfm', '9_lag_18_median_atlSICsep', '9_lag_11_median_amo3', '9_lag_18_median_nhSICjfm', '9_lag_10_median_seurTSjfm', '18_lag_traEC', '9_lag_10_median_nhSICsep', '9_lag_16_median_traBO']","[5.5464953528263905, 1.157855942654244, 4.203348272185529, 3.8772806553266275, 2.8007289695278956, 4.455886670537412, 4.997665746120297, 3.1983611176700366, 6.076758236332033, 4.775805320945349]","18_lag_pdoSSTjfm, 17_lag_traBO, 9_lag_18_median_glomaSSTjfm, 9_lag_18_median_atlSICsep, 9_lag_11_median_amo3, 9_lag_18_median_nhSICjfm, 9_lag_10_median_seurTSjfm, 18_lag_traEC, 9_lag_10_median_nhSICsep, 9_lag_16_median_traBO_1216_9"
LRforcedPSO,5,10,eapPSLjfm,picntrl,1719.5,2050.5,0.4,20,10,10,14.912381155897977,-0.007050074848806454,1216,"['10_lag_11_median_amoSSTmjjaso', '16_lag_shTSjfm', '10_lag_11_median_atlSICsep', '19_lag_stratZ50ndj04', '10_lag_11_median_traDP', '11_lag_stratZ50ndj01', '10_lag_13_median_traEU', '11_lag_gyreSSTjfm', '10_lag_18_median_glTSjfm', '19_lag_traEC']","[3.7687751041305306, 2.4486217269280104, 3.8020264411844007, 3.496897055038735, 4.295060900897523, 0.9863741420546646, 0.8045488378275163, 6.947715635097367, 0.6105982541325936, 3.0083314225259823]","10_lag_11_median_amoSSTmjjaso, 16_lag_shTSjfm, 10_lag_11_median_atlSICsep, 19_lag_stratZ50ndj04, 10_lag_11_median_traDP, 11_lag_stratZ50ndj01, 10_lag_13_median_traEU, 11_lag_gyreSSTjfm, 10_lag_18_median_glTSjfm, 19_lag_traEC_1216_10"
LRforcedPSO,6,10,eapPSLjfm,picntrl,1720.5,2050.5,0.4,21,11,11,14.68363372191138,0.022584172592073782,1216,"['11_lag_14_median_shSICsep', '15_lag_seurTSjfm', '11_lag_13_median_nppc3SSTjfm', '11_lag_15_median_stratZ50ndj03', '12_lag_samPSLann', '18_lag_traTLS', '16_lag_traCA', '15_lag_mhfATL30', '11_lag_20_median_eurPSLjfm', '11_lag_13_median_nhSICsep']","[1.4667606067339776, 1.2755461963184764, 2.955651221796032, 3.3363951560931593, 1.4229972968813023, 4.221952577163998, 5.957206049416275, 2.2433683100807755, 0.6598141689675536, 3.292988128519763]","11_lag_14_median_shSICsep, 15_lag_seurTSjfm, 11_lag_13_median_nppc3SSTjfm, 11_lag_15_median_stratZ50ndj03, 12_lag_samPSLann, 18_lag_traTLS, 16_lag_traCA, 15_lag_mhfATL30, 11_lag_20_median_eurPSLjfm, 11_lag_13_median_nhSICsep_1216_11"
LRforcedPSO,7,10,eapPSLjfm,picntrl,1721.5,2050.5,0.4,22,12,12,14.614651506937294,0.03030082792439258,1216,"['15_lag_traTLS', '12_lag_16_median_traFSC', '12_lag_16_median_shSICsep', '12_lag_naoPSLjfm', '12_lag_19_median_wnorPRjfm', '12_lag_21_median_traWP', '20_lag_nhSICsep', '12_lag_16_median_ensoSSTjfm', '16_lag_AMOCann', '12_lag_15_median_nppc2SSTjfm']","[3.2540222781179633, 1.116409066979653, 0.23472388801671684, 5.784120145057314, 1.054085808872813, 1.0659555318169804, 1.0563844046007915, 6.7897983308328635, 1.9073567398036761, 2.0766485587218764]","15_lag_traTLS, 12_lag_16_median_traFSC, 12_lag_16_median_shSICsep, 12_lag_naoPSLjfm, 12_lag_19_median_wnorPRjfm, 12_lag_21_median_traWP, 20_lag_nhSICsep, 12_lag_16_median_ensoSSTjfm, 16_lag_AMOCann, 12_lag_15_median_nppc2SSTjfm_1216_12"
LRforcedPSO,8,10,eapPSLjfm,picntrl,1722.5,2050.5,0.4,23,13,13,16.85989869352611,0.06110545925992132,1216,"['13_lag_mhfATL60', '13_lag_14_median_arcTSjfm', '13_lag_22_median_ismPRjja', '20_lag_mhfIP30', '13_lag_15_median_satlSSTjfm', '13_lag_21_median_nppc3SSTjfm', '13_lag_21_median_mhfATL30', '13_lag_19_median_seurTSjfm', '17_lag_atlSICjfm', '15_lag_eapPSLjfm']","[5.62661404595694, 3.8713769272237553, 3.5343297807458836, 1.7914600595278607, 7.086433910474625, 1.223857944570474, 2.2087000961416, 4.185745365872094, 5.075626890010891, 5.510490174041445]","13_lag_mhfATL60, 13_lag_14_median_arcTSjfm, 13_lag_22_median_ismPRjja, 20_lag_mhfIP30, 13_lag_15_median_satlSSTjfm, 13_lag_21_median_nppc3SSTjfm, 13_lag_21_median_mhfATL30, 13_lag_19_median_seurTSjfm, 17_lag_atlSICjfm, 15_lag_eapPSLjfm_1216_13"
LRforcedPSO,9,10,eapPSLjfm,picntrl,1723.5,2050.5,0.4,24,14,14,15.583259999354867,-0.06914934484644587,1216,"['14_lag_15_median_atlSICjfm', '23_lag_pdoSSTjfm', '17_lag_amo3', '22_lag_yrvPRjja', '14_lag_15_median_shSICsep', '14_lag_18_median_tripol1', '14_lag_16_median_tripol1', '18_lag_traEC', '14_lag_16_median_traMC', '23_lag_shSICmar']","[1.8474253417272273, 5.594268479737233, 4.439274182289077, 4.765789218520733, 2.7291525198678173, 5.482108509084556, 7.780696189461844, 3.758175067698584, 1.1121305292146388, 1.5806628264903217]","14_lag_15_median_atlSICjfm, 23_lag_pdoSSTjfm, 17_lag_amo3, 22_lag_yrvPRjja, 14_lag_15_median_shSICsep, 14_lag_18_median_tripol1, 14_lag_16_median_tripol1, 18_lag_traEC, 14_lag_16_median_traMC, 23_lag_shSICmar_1216_14"
