model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,eapPSLjfm,picntrl,1066.5,2050.5,0.4,15,1,1,13.769973323556695,-0.08669190006428225,567,"['1_lag_14_median_shSICmar', '1_lag_6_median_eurPSLjfm', '1_lag_10_median_amoSSTjfm', '1_lag_7_median_stratZ50ndj03', '1_lag_8_median_atlSICsep', '1_lag_10_median_stratZ50ndj04', '1_lag_12_median_nhSICjfm', '1_lag_13_median_amoSSTmjjaso', '1_lag_10_median_amo1', '1_lag_10_median_stratZ50ndj03']","[0.013339848958916553, 0.1190413949792712, 0.07850274775654933, 0.18068610409218253, 0.07572148509451304, 0.12219071629096437, 0.013572447270218876, 0.15811750471793573, 0.04634503279786324, 0.23906542768197725]","1_lag_14_median_shSICmar, 1_lag_6_median_eurPSLjfm, 1_lag_10_median_amoSSTjfm, 1_lag_7_median_stratZ50ndj03, 1_lag_8_median_atlSICsep, 1_lag_10_median_stratZ50ndj04, 1_lag_12_median_nhSICjfm, 1_lag_13_median_amoSSTmjjaso, 1_lag_10_median_amo1, 1_lag_10_median_stratZ50ndj03_567_1"
LinearRegression,1,10,eapPSLjfm,picntrl,1067.5,2050.5,0.4,16,1,1,13.736767334660081,-0.041295578081202364,609,"['1_lag_6_median_shSICmar', '1_lag_13_median_amoSSTmjjaso', '1_lag_10_median_amoSSTjfm', '1_lag_12_median_nhSICjfm', '1_lag_15_median_nhSICjfm', '1_lag_7_median_stratZ50ndj03', '1_lag_14_median_naoPSLjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_10_median_amo1', '1_lag_8_median_stratZ50ndj03']","[0.01675189609832946, 0.16489054428196076, 0.10714714968573134, 0.18316885016302634, 0.22839267314197986, 0.29869142191481796, 0.21318146343445737, 0.1627758011228497, 0.025788305610740553, 0.21124572123163685]","1_lag_6_median_shSICmar, 1_lag_13_median_amoSSTmjjaso, 1_lag_10_median_amoSSTjfm, 1_lag_12_median_nhSICjfm, 1_lag_15_median_nhSICjfm, 1_lag_7_median_stratZ50ndj03, 1_lag_14_median_naoPSLjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_10_median_amo1, 1_lag_8_median_stratZ50ndj03_609_1"
LinearRegression,2,10,eapPSLjfm,picntrl,1068.5,2050.5,0.4,17,1,1,13.63082658377854,0.010971679826839078,651,"['1_lag_16_median_eapPSLjfm', '1_lag_4_median_nhSICsep', '1_lag_12_median_nhSICsep', '1_lag_4_median_nppc2SSTjfm', '1_lag_8_median_amoSSTmjjaso', '1_lag_12_median_stratZ50ndj03', '1_lag_9_median_nppc2SSTjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_10_median_amo1', '1_lag_14_median_naoPSLjfm']","[0.02275181346576823, 0.08208223823488926, 0.13395490552508876, 0.03911119359741937, 0.01716227191005806, 0.25615756929621447, 0.096244864372376, 0.2975136269376024, 0.038335026569420075, 0.16906675305480012]","1_lag_16_median_eapPSLjfm, 1_lag_4_median_nhSICsep, 1_lag_12_median_nhSICsep, 1_lag_4_median_nppc2SSTjfm, 1_lag_8_median_amoSSTmjjaso, 1_lag_12_median_stratZ50ndj03, 1_lag_9_median_nppc2SSTjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_10_median_amo1, 1_lag_14_median_naoPSLjfm_651_1"
LinearRegression,3,10,eapPSLjfm,picntrl,1069.5,2050.5,0.4,18,1,1,13.509959138512624,0.054963795377360646,693,"['1_lag_6_median_amoSSTmjjaso', '1_lag_14_median_naoPSLjfm', '1_lag_12_median_scpPSLjfm', '4_lag_shSICsep', '1_lag_4_median_nppc2SSTjfm', '1_lag_8_median_scpPSLjfm', '1_lag_10_median_amo1', '1_lag_12_median_stratZ50ndj03', '1_lag_9_median_nppc2SSTjfm', '1_lag_10_median_stratZ50ndj03']","[0.0638233711477128, 0.16567969297896926, 0.009003181967009328, 0.008348481455515727, 0.03606747178162288, 0.06739452694141025, 0.026438128115815522, 0.24994519295635445, 0.0943112191347691, 0.2797438392040712]","1_lag_6_median_amoSSTmjjaso, 1_lag_14_median_naoPSLjfm, 1_lag_12_median_scpPSLjfm, 4_lag_shSICsep, 1_lag_4_median_nppc2SSTjfm, 1_lag_8_median_scpPSLjfm, 1_lag_10_median_amo1, 1_lag_12_median_stratZ50ndj03, 1_lag_9_median_nppc2SSTjfm, 1_lag_10_median_stratZ50ndj03_693_1"
LinearRegression,4,10,eapPSLjfm,picntrl,1070.5,2050.5,0.4,19,1,1,13.622206629965238,0.057707813993119576,735,"['1_lag_14_median_naoPSLjfm', '1_lag_12_median_eurPSLjfm', '16_lag_stratZ50ndj04', '1_lag_12_median_stratZ50ndj03', '1_lag_10_median_amoSSTjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_10_median_amo1', '1_lag_6_median_scpPSLjfm', '1_lag_4_median_nppc2SSTjfm', '1_lag_8_median_scpPSLjfm']","[0.20307633942237804, 0.1677066074783927, 0.12275487577608044, 0.29860072904014284, 0.031604098752827686, 0.3158399160099686, 0.0465002001848166, 0.3688353151017618, 0.07794019029686829, 0.3145598925010172]","1_lag_14_median_naoPSLjfm, 1_lag_12_median_eurPSLjfm, 16_lag_stratZ50ndj04, 1_lag_12_median_stratZ50ndj03, 1_lag_10_median_amoSSTjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_10_median_amo1, 1_lag_6_median_scpPSLjfm, 1_lag_4_median_nppc2SSTjfm, 1_lag_8_median_scpPSLjfm_735_1"
LinearRegression,5,10,eapPSLjfm,picntrl,1071.5,2050.5,0.4,20,1,1,13.57435510907373,0.022783876569822913,777,"['1_lag_10_median_amo1', '1_lag_12_median_eurPSLjfm', '1_lag_6_median_scpPSLjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_4_median_nhSICsep', '16_lag_nhSICjfm', '1_lag_12_median_stratZ50ndj03', '1_lag_18_median_scpPSLjfm', '14_lag_nppc2SSTjfm', '1_lag_8_median_scpPSLjfm']","[0.01642968769956308, 0.11821002410057882, 0.39731366897901615, 0.23576512134459346, 0.027606043463348925, 0.008312394667135778, 0.23441372727273238, 0.25825331156485526, 0.034440438970800846, 0.4340824707430345]","1_lag_10_median_amo1, 1_lag_12_median_eurPSLjfm, 1_lag_6_median_scpPSLjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_4_median_nhSICsep, 16_lag_nhSICjfm, 1_lag_12_median_stratZ50ndj03, 1_lag_18_median_scpPSLjfm, 14_lag_nppc2SSTjfm, 1_lag_8_median_scpPSLjfm_777_1"
LinearRegression,6,10,eapPSLjfm,picntrl,1072.5,2050.5,0.4,21,1,1,13.658103898388642,0.02187578319834247,819,"['1_lag_10_median_amo1', '1_lag_14_median_naoPSLjfm', '1_lag_10_median_stratZ50ndj03', '19_lag_amoSSTjfm', '13_lag_eapPSLjfm', '1_lag_4_median_nppc2SSTjfm', '1_lag_18_median_scpPSLjfm', '1_lag_8_median_scpPSLjfm', '1_lag_eapPSLjfm', '14_lag_nppc2SSTjfm']","[0.02246172783656115, 0.21146124745303885, 0.04205978374177878, 0.08163418616200832, 0.11665820728363524, 0.07272687202394595, 0.2833770659869028, 0.10149039757940248, 0.02498817212878957, 0.021116815377852947]","1_lag_10_median_amo1, 1_lag_14_median_naoPSLjfm, 1_lag_10_median_stratZ50ndj03, 19_lag_amoSSTjfm, 13_lag_eapPSLjfm, 1_lag_4_median_nppc2SSTjfm, 1_lag_18_median_scpPSLjfm, 1_lag_8_median_scpPSLjfm, 1_lag_eapPSLjfm, 14_lag_nppc2SSTjfm_819_1"
LinearRegression,7,10,eapPSLjfm,picntrl,1073.5,2050.5,0.4,22,1,1,13.56534647279061,0.02633024363958042,861,"['6_lag_atlSICsep', '15_lag_nppc2SSTjfm', '1_lag_10_median_stratZ50ndj03', '1_lag_4_median_nppc2SSTjfm', '13_lag_AMOCann', '1_lag_8_median_scpPSLjfm', '16_lag_stratZ50ndj04', '21_lag_stratZ50ndj04', '17_lag_shSICsep', '14_lag_nppc2SSTjfm']","[0.0161533691979756, 0.006963024812367505, 0.027262502084435276, 0.08421259418700888, 0.027477203203192226, 0.0017355288249991142, 0.1005605665923471, 0.03635506236599956, 0.038346508072484756, 0.011100511790889684]","6_lag_atlSICsep, 15_lag_nppc2SSTjfm, 1_lag_10_median_stratZ50ndj03, 1_lag_4_median_nppc2SSTjfm, 13_lag_AMOCann, 1_lag_8_median_scpPSLjfm, 16_lag_stratZ50ndj04, 21_lag_stratZ50ndj04, 17_lag_shSICsep, 14_lag_nppc2SSTjfm_861_1"
LinearRegression,8,10,eapPSLjfm,picntrl,1074.5,2050.5,0.4,23,1,1,13.699587300973969,-0.003812109371712536,903,"['8_lag_nhSICjfm', '1_lag_8_median_scpPSLjfm', '16_lag_stratZ50ndj04', '1_lag_10_median_stratZ50ndj03', '13_lag_AMOCann', '9_lag_atlSICjfm', '22_lag_nppc2SSTjfm', '21_lag_stratZ50ndj04', '14_lag_nppc2SSTjfm', '17_lag_shSICsep']","[0.01911233290390518, 0.030418671068159757, 0.08477340441866128, 0.058781241921210266, 0.009022471665158644, 0.023867371589747596, 0.16443024411287926, 0.04504740471933841, 0.006110335489653158, 0.027704080074677884]","8_lag_nhSICjfm, 1_lag_8_median_scpPSLjfm, 16_lag_stratZ50ndj04, 1_lag_10_median_stratZ50ndj03, 13_lag_AMOCann, 9_lag_atlSICjfm, 22_lag_nppc2SSTjfm, 21_lag_stratZ50ndj04, 14_lag_nppc2SSTjfm, 17_lag_shSICsep_903_1"
LinearRegression,9,10,eapPSLjfm,picntrl,1075.5,2050.5,0.4,24,1,1,13.693038245968612,0.010671658636016792,945,"['14_lag_nppc2SSTjfm', '23_lag_eapPSLjfm', '6_lag_atlSICsep', '1_lag_4_median_nhSICsep', '23_lag_AMOCann', '17_lag_shSICsep', '9_lag_atlSICjfm', '22_lag_nppc2SSTjfm', '1_lag_eapPSLjfm', '20_lag_nhSICsep']","[0.019961678263425858, 0.07194021056039156, 0.017300269735459377, 0.01026864175126937, 0.09999011385784251, 0.01090557135031741, 0.01777865080428019, 0.1564930556759942, 0.04159503687716537, 0.06192127067045452]","14_lag_nppc2SSTjfm, 23_lag_eapPSLjfm, 6_lag_atlSICsep, 1_lag_4_median_nhSICsep, 23_lag_AMOCann, 17_lag_shSICsep, 9_lag_atlSICjfm, 22_lag_nppc2SSTjfm, 1_lag_eapPSLjfm, 20_lag_nhSICsep_945_1"
