model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,ensoSSTjfm,picntrl,1066.5,2050.5,0.6,15,1,1,15.766561682614515,0.07925156407516795,1728,"['1_lag_13_median_ensoSSTjfm', '10_lag_amo1', '11_lag_satlSSTjfm', '1_lag_shTSjfm', '8_lag_scpPSLjfm', '1_lag_shSICsep']","[2.878904012939283, 0.5869313420543225, 1.7941689134336372, 1.426331779485622, 1.1438392024888007, 3.722509739671846]","1_lag_13_median_ensoSSTjfm, 10_lag_amo1, 11_lag_satlSSTjfm, 1_lag_shTSjfm, 8_lag_scpPSLjfm, 1_lag_shSICsep_1728_1"
LRforcedPSO,1,6,ensoSSTjfm,picntrl,1067.5,2050.5,0.6,16,1,1,14.413939696804814,-0.014056467208149065,1856,"['11_lag_traMC', '8_lag_glomaSSTjfm', '10_lag_shSICsep', '14_lag_naoPSLjfm', '1_lag_6_median_nppc2SSTjfm', '2_lag_traCA']","[0.9906142571640146, 0.9097552375322703, 1.0076564975014788, 1.0446849063817505, 1.0548909318040232, 1.0706772129627522]","11_lag_traMC, 8_lag_glomaSSTjfm, 10_lag_shSICsep, 14_lag_naoPSLjfm, 1_lag_6_median_nppc2SSTjfm, 2_lag_traCA_1856_1"
LRforcedPSO,2,6,ensoSSTjfm,picntrl,1068.5,2050.5,0.6,17,1,1,14.233005650350234,0.05354408397917268,1984,"['11_lag_mhfATL60', '5_lag_traFSC', '1_lag_14_median_stratZ50ndj02', '1_lag_4_median_traBO', '1_lag_15_median_traIFC', '1_lag_16_median_ormenSSTjfm']","[0.9362181642908715, 0.9317489607799856, 1.2330028212603106, 0.9332965933939118, 0.9400524763952085, 1.1706190014381057]","11_lag_mhfATL60, 5_lag_traFSC, 1_lag_14_median_stratZ50ndj02, 1_lag_4_median_traBO, 1_lag_15_median_traIFC, 1_lag_16_median_ormenSSTjfm_1984_1"
LRforcedPSO,3,6,ensoSSTjfm,picntrl,1069.5,2050.5,0.6,18,1,1,16.519417314178394,-0.12997817435480427,2112,"['1_lag_14_median_atlSICsep', '1_lag_6_median_mhfATL45', '6_lag_nppc2SSTjfm', '1_lag_8_median_stratZ50ndj03', '6_lag_traIT', '3_lag_labSSTjfm']","[0.7122817920486035, 7.180724930935519, 2.7217515955769116, 1.2859833540588639, 1.7646491938097064, 0.28622718154640125]","1_lag_14_median_atlSICsep, 1_lag_6_median_mhfATL45, 6_lag_nppc2SSTjfm, 1_lag_8_median_stratZ50ndj03, 6_lag_traIT, 3_lag_labSSTjfm_2112_1"
LRforcedPSO,4,6,ensoSSTjfm,picntrl,1070.5,2050.5,0.6,19,1,1,14.412260412614334,-0.10170992903534812,2240,"['4_lag_ginwSSTjfm', '11_lag_amo2', '7_lag_labSSTjfm', '1_lag_8_median_nhSICsep', '1_lag_amo2', '1_lag_8_median_shSICsep']","[1.2301901141475453, 1.0501226085962583, 1.4001626143082555, 1.1269234599953788, 1.3639121812165438, 1.0501641279052432]","4_lag_ginwSSTjfm, 11_lag_amo2, 7_lag_labSSTjfm, 1_lag_8_median_nhSICsep, 1_lag_amo2, 1_lag_8_median_shSICsep_2240_1"
LRforcedPSO,5,6,ensoSSTjfm,picntrl,1071.5,2050.5,0.6,20,1,1,15.131569007714225,0.040534926328189474,2368,"['14_lag_samPSLann', '1_lag_13_median_yrvPRjja', '9_lag_nhSICsep', '1_lag_14_median_alpi', '1_lag_5_median_wnorPRjfm', '7_lag_eurPSLjfm']","[2.8021638498148738, 2.575609911814336, 0.6405847568889111, 3.230090029782515, 3.764465333202649, 1.2779128517097078]","14_lag_samPSLann, 1_lag_13_median_yrvPRjja, 9_lag_nhSICsep, 1_lag_14_median_alpi, 1_lag_5_median_wnorPRjfm, 7_lag_eurPSLjfm_2368_1"
LRforcedPSO,6,6,ensoSSTjfm,picntrl,1072.5,2050.5,0.6,21,1,1,19.55878767086095,-0.02515436503173058,2496,"['13_lag_nppc3SSTjfm', '1_lag_11_median_yrvPRjja', '1_lag_9_median_atlSICjfm', '1_lag_13_median_shSICmar', '15_lag_nhSICsep', '1_lag_19_median_glTSjfm']","[2.276998186302535, 0.13209492819177093, 1.2382685537288936, 0.035158194662411546, 1.678021338559697, 7.456230632626301]","13_lag_nppc3SSTjfm, 1_lag_11_median_yrvPRjja, 1_lag_9_median_atlSICjfm, 1_lag_13_median_shSICmar, 15_lag_nhSICsep, 1_lag_19_median_glTSjfm_2496_1"
LRforcedPSO,7,6,ensoSSTjfm,picntrl,1073.5,2050.5,0.6,22,1,1,14.574051771658578,0.013002267156204301,2624,"['1_lag_16_median_gyreSSTjfm', '14_lag_stratZ50ndj02', '6_lag_eurPSLjfm', '17_lag_traFS', '1_lag_14_median_traCA', '19_lag_tripol2']","[1.5447829581465822, 1.481247476399025, 1.729602449958073, 1.4158281995815016, 1.3092386399258995, 1.4374354838625902]","1_lag_16_median_gyreSSTjfm, 14_lag_stratZ50ndj02, 6_lag_eurPSLjfm, 17_lag_traFS, 1_lag_14_median_traCA, 19_lag_tripol2_2624_1"
LRforcedPSO,8,6,ensoSSTjfm,picntrl,1074.5,2050.5,0.6,23,1,1,15.554788028394933,0.0019472939976681045,2752,"['1_lag_21_median_traMC', '9_lag_wnorPRjfm', '18_lag_mhfATL30', '17_lag_ormenSSTjfm', '2_lag_naoPSLjfm', '5_lag_naoPSLjfm']","[0.5487395479549413, 5.264617078474407, 1.6602215525286503, 3.4923730986544967, 0.7255977056820448, 1.4823422337595815]","1_lag_21_median_traMC, 9_lag_wnorPRjfm, 18_lag_mhfATL30, 17_lag_ormenSSTjfm, 2_lag_naoPSLjfm, 5_lag_naoPSLjfm_2752_1"
LRforcedPSO,9,6,ensoSSTjfm,picntrl,1075.5,2050.5,0.6,24,1,1,15.048946576086601,-0.05947028016557063,2880,"['1_lag_11_median_shTSjfm', '23_lag_neurTSjfm', '1_lag_18_median_traFB', '19_lag_atlSICsep', '12_lag_shSICsep', '11_lag_alpi']","[3.171238546016945, 2.521126756470696, 3.3614991914643526, 2.691829258801928, 3.3090116110480103, 3.189320081631637]","1_lag_11_median_shTSjfm, 23_lag_neurTSjfm, 1_lag_18_median_traFB, 19_lag_atlSICsep, 12_lag_shSICsep, 11_lag_alpi_2880_1"
