model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,eurPSLjfm,picntrl,1066.5,2050.5,0.6,15,1,1,21.91876006329536,0.14115156479436586,1728,"['4_lag_shSICsep', '1_lag_5_median_stratZ50ndj04', '10_lag_traCA', '14_lag_shSICsep', '10_lag_labSSTjfm', '1_lag_11_median_traFB', '3_lag_shTSjfm', '10_lag_arcTSjfm', '14_lag_mhfATL30', '1_lag_13_median_traTLS', '7_lag_traDS', '1_lag_2_median_shTSjfm', '7_lag_amoSSTmjjaso', '1_lag_11_median_naoPSLjfm', '7_lag_traEU', '1_lag_13_median_tripol1', '8_lag_traDP', '7_lag_traWP', '1_lag_8_median_traEC', '1_lag_14_median_stratZ50ndj04', '1_lag_nchinaPRjja', '1_lag_9_median_amo3', '1_lag_10_median_tripol1', '1_lag_12_median_samPSLann', '6_lag_wnorPRjfm', '1_lag_ismPRjja', '1_lag_8_median_yrvPRjja', '7_lag_traFB', '1_lag_9_median_atlSICjfm', '4_lag_traEU']","[2.044836760050213, 7.337928270148064, 7.121105519856403, 4.1431345816013945, 5.471737453231851, 0.16813302370436034, 9.074389502284358, 2.0041637149114777, 3.04930098510874, 4.829290111077407, 0.5573421064542021, 3.7896872561817663, 5.412546948619774, 4.380744263667262, 5.351665690655288, 4.373088104101946, 5.985672694921133, 4.093715351029893, 3.431690132301277, 8.398634713853724, 4.766236437466455, 6.767768029433686, 2.1131887749081084, 8.55960467575521, 2.696898975094715, 2.5745142811522115, 0.6772834369176728, 6.236544902437222, 3.9853670470691434, 3.946479116539434]","4_lag_shSICsep, 1_lag_5_median_stratZ50ndj04, 10_lag_traCA, 14_lag_shSICsep, 10_lag_labSSTjfm, 1_lag_11_median_traFB, 3_lag_shTSjfm, 10_lag_arcTSjfm, 14_lag_mhfATL30, 1_lag_13_median_traTLS, 7_lag_traDS, 1_lag_2_median_shTSjfm, 7_lag_amoSSTmjjaso, 1_lag_11_median_naoPSLjfm, 7_lag_traEU, 1_lag_13_median_tripol1, 8_lag_traDP, 7_lag_traWP, 1_lag_8_median_traEC, 1_lag_14_median_stratZ50ndj04, 1_lag_nchinaPRjja, 1_lag_9_median_amo3, 1_lag_10_median_tripol1, 1_lag_12_median_samPSLann, 6_lag_wnorPRjfm, 1_lag_ismPRjja, 1_lag_8_median_yrvPRjja, 7_lag_traFB, 1_lag_9_median_atlSICjfm, 4_lag_traEU_1728_1"
LRforcedPSO,1,30,eurPSLjfm,picntrl,1067.5,2050.5,0.6,16,1,1,23.90959839727982,0.02118608957627553,1856,"['1_lag_11_median_amo2', '14_lag_traBS', '1_lag_14_median_nhSICsep', '8_lag_nhTSjfm', '9_lag_scpPSLjfm', '1_lag_12_median_traIT', '1_lag_6_median_amo2', '1_lag_6_median_traWP', '6_lag_arcTSjfm', '10_lag_nchinaPRjja', '11_lag_traBO', '1_lag_9_median_atlSICjfm', '1_lag_11_median_traFSC', '3_lag_amo2', '3_lag_stratZ50ndj03', '11_lag_samPSLann', '15_lag_eurPSLjfm', '1_lag_12_median_glomaSSTjfm', '3_lag_stratZ50ndj01', '8_lag_atlSICjfm', '1_lag_4_median_gyreSSTjfm', '1_lag_2_median_traTLS', '1_lag_11_median_traBO', '4_lag_amo2', '14_lag_satlSSTjfm', '1_lag_8_median_nppc3SSTjfm', '1_lag_12_median_traTLS', '1_lag_2_median_amo2', '1_lag_9_median_nhSICjfm', '12_lag_arcTSjfm']","[7.950112236217199, 3.338975269538727, 5.272624243836411, 5.3571819199971955, 2.111850614373756, 5.857051267249629, 4.204301266416756, 9.635006944618894, 4.083324965297901, 2.4179363335699904, 3.661120679009521, 1.507418988665263, 1.6499257692351748, 0.17828407072545005, 3.1039347131611112, 2.750521138706974, 5.039784566456117, 2.200757234720589, 6.871671583973001, 5.394465728965933, 5.08429562619596, 5.707108700592698, 2.0668508695058403, 6.123716163883117, 3.5983609357875856, 4.203725835413374, 4.528551976265007, 4.624933764198055, 5.423948701522383, 6.776198017406113]","1_lag_11_median_amo2, 14_lag_traBS, 1_lag_14_median_nhSICsep, 8_lag_nhTSjfm, 9_lag_scpPSLjfm, 1_lag_12_median_traIT, 1_lag_6_median_amo2, 1_lag_6_median_traWP, 6_lag_arcTSjfm, 10_lag_nchinaPRjja, 11_lag_traBO, 1_lag_9_median_atlSICjfm, 1_lag_11_median_traFSC, 3_lag_amo2, 3_lag_stratZ50ndj03, 11_lag_samPSLann, 15_lag_eurPSLjfm, 1_lag_12_median_glomaSSTjfm, 3_lag_stratZ50ndj01, 8_lag_atlSICjfm, 1_lag_4_median_gyreSSTjfm, 1_lag_2_median_traTLS, 1_lag_11_median_traBO, 4_lag_amo2, 14_lag_satlSSTjfm, 1_lag_8_median_nppc3SSTjfm, 1_lag_12_median_traTLS, 1_lag_2_median_amo2, 1_lag_9_median_nhSICjfm, 12_lag_arcTSjfm_1856_1"
LRforcedPSO,2,30,eurPSLjfm,picntrl,1068.5,2050.5,0.6,17,1,1,22.5036724335278,-0.04961577584577638,1984,"['15_lag_atlSICjfm', '1_lag_16_median_seurTSjfm', '1_lag_11_median_mhfATL30', '1_lag_11_median_atlSICjfm', '6_lag_eurPSLjfm', '12_lag_shSICsep', '10_lag_satlSSTjfm', '1_lag_2_median_ginwSSTjfm', '1_lag_9_median_yrvPRjja', '1_lag_4_median_tripol2', '13_lag_eapPSLjfm', '1_lag_16_median_stratZ50ndj04', '6_lag_stratZ50ndj02', '5_lag_traDS', '1_lag_14_median_mhfIP30', '1_lag_13_median_shSICsep', '12_lag_mhfIP30', '1_lag_13_median_mhfATL45', '15_lag_neurTSjfm', '1_lag_16_median_ormenSSTjfm', '1_lag_3_median_ensoSSTjfm', '12_lag_traDP', '7_lag_amo1', '4_lag_tripol2', '1_lag_8_median_traFS', '1_lag_10_median_amoSSTmjjaso', '14_lag_cetTSjfm', '1_lag_7_median_satlSSTjfm', '10_lag_stratZ50ndj01', '1_lag_4_median_eurPSLjfm']","[0.6479912309338314, 0.8437591982938066, 1.06417798374512, 0.23040053314749898, 5.0902127050936095, 0.08197294408286915, 3.9193758373657577, 1.3494134942646099, 7.879555548461887, 5.178426441993116, 5.0368510734061385, 5.284166501662655, 3.007599376713319, 6.82806948192936, 4.344792998697722, 6.416523083112686, 2.377447139515441, 3.576406902439855, 8.48037501565148, 1.1498917670357969, 6.910892937691312, 6.159064703882727, 1.7967184894060786, 2.9184077238014954, 5.883974267806336, 4.780517929662178, 0.7040195631042234, 0.22623024383420898, 1.9945327763483753, 3.1158262747164]","15_lag_atlSICjfm, 1_lag_16_median_seurTSjfm, 1_lag_11_median_mhfATL30, 1_lag_11_median_atlSICjfm, 6_lag_eurPSLjfm, 12_lag_shSICsep, 10_lag_satlSSTjfm, 1_lag_2_median_ginwSSTjfm, 1_lag_9_median_yrvPRjja, 1_lag_4_median_tripol2, 13_lag_eapPSLjfm, 1_lag_16_median_stratZ50ndj04, 6_lag_stratZ50ndj02, 5_lag_traDS, 1_lag_14_median_mhfIP30, 1_lag_13_median_shSICsep, 12_lag_mhfIP30, 1_lag_13_median_mhfATL45, 15_lag_neurTSjfm, 1_lag_16_median_ormenSSTjfm, 1_lag_3_median_ensoSSTjfm, 12_lag_traDP, 7_lag_amo1, 4_lag_tripol2, 1_lag_8_median_traFS, 1_lag_10_median_amoSSTmjjaso, 14_lag_cetTSjfm, 1_lag_7_median_satlSSTjfm, 10_lag_stratZ50ndj01, 1_lag_4_median_eurPSLjfm_1984_1"
LRforcedPSO,3,30,eurPSLjfm,picntrl,1069.5,2050.5,0.6,18,1,1,23.07417464265848,0.08054746994679977,2112,"['15_lag_mhfATL60', '5_lag_stratZ50ndj03', '1_lag_10_median_tripol2', '1_lag_17_median_AMOCann', '13_lag_gyreSSTjfm', '1_lag_8_median_traFB', '1_lag_2_median_neurTSjfm', '9_lag_arcTSjfm', '1_lag_6_median_traMC', '1_lag_12_median_nchinaPRjja', '7_lag_traBS', '3_lag_traEC', '12_lag_traBS', '12_lag_mhfATL45', '1_lag_9_median_stratZ50ndj01', '1_lag_4_median_shSICmar', '5_lag_stratZ50ndj04', '6_lag_samPSLann', '1_lag_17_median_nppc3SSTjfm', '1_lag_10_median_shTSjfm', '1_lag_13_median_tripol1', '1_lag_12_median_traDP', '1_lag_13_median_stratZ50ndj03', '15_lag_traFSC', '6_lag_nhTSjfm', '15_lag_gyreSSTjfm', '13_lag_ismPRjja', '1_lag_14_median_traDS', '1_lag_8_median_nppc3SSTjfm', '1_lag_10_median_arcTSjfm']","[2.5556389563840636, 5.48694804780869, 4.153602590996229, 6.086685465015815, 3.8943545890790183, 2.2032947272549226, 5.011099393975442, 2.1045274884338117, 8.875790161148965, 0.014622365742752663, 6.661073852043307, 6.98752497440373, 4.763541502502178, 6.52979130550494, 8.536236675710247, 4.355521564876732, 6.935461418260118, 5.0318183387232445, 2.600768670946314, 1.3694323545149434, 3.412072150045926, 0.6704975871852881, 5.496290873307352, 5.671440044145248, 2.7898523170098883, 0.8287086348997459, 1.9694288742531434, 8.665707556751212, 5.995773330323562, 6.207869049141856]","15_lag_mhfATL60, 5_lag_stratZ50ndj03, 1_lag_10_median_tripol2, 1_lag_17_median_AMOCann, 13_lag_gyreSSTjfm, 1_lag_8_median_traFB, 1_lag_2_median_neurTSjfm, 9_lag_arcTSjfm, 1_lag_6_median_traMC, 1_lag_12_median_nchinaPRjja, 7_lag_traBS, 3_lag_traEC, 12_lag_traBS, 12_lag_mhfATL45, 1_lag_9_median_stratZ50ndj01, 1_lag_4_median_shSICmar, 5_lag_stratZ50ndj04, 6_lag_samPSLann, 1_lag_17_median_nppc3SSTjfm, 1_lag_10_median_shTSjfm, 1_lag_13_median_tripol1, 1_lag_12_median_traDP, 1_lag_13_median_stratZ50ndj03, 15_lag_traFSC, 6_lag_nhTSjfm, 15_lag_gyreSSTjfm, 13_lag_ismPRjja, 1_lag_14_median_traDS, 1_lag_8_median_nppc3SSTjfm, 1_lag_10_median_arcTSjfm_2112_1"
LRforcedPSO,4,30,eurPSLjfm,picntrl,1070.5,2050.5,0.6,19,1,1,22.874473162341957,-0.07317771880543315,2240,"['1_lag_traIT', '1_lag_16_median_traBO', '14_lag_nchinaPRjja', '17_lag_alpi', '1_lag_14_median_amo1', '1_lag_18_median_shSICsep', '17_lag_traFB', '8_lag_stratZ50ndj03', '8_lag_traDP', '1_lag_10_median_amo3', '1_lag_15_median_neurTSjfm', '1_lag_11_median_mhfIP30', '11_lag_stratZ50ndj04', '15_lag_mhfATL30', '14_lag_nhSICjfm', '16_lag_traWP', '4_lag_traEC', '1_lag_4_median_traIFC', '1_lag_10_median_stratZ50ndj04', '1_lag_9_median_nhSICjfm', '1_lag_16_median_traIFC', '1_lag_15_median_gyreSSTjfm', '3_lag_scpPSLjfm', '3_lag_ismPRjja', '1_lag_8_median_mhfATL60', '2_lag_ensoSSTjfm', '1_lag_2_median_eapPSLjfm', '1_lag_7_median_eapPSLjfm', '1_lag_5_median_stratZ50ndj04', '5_lag_labSSTjfm']","[0.276943047135056, 1.2588315786805477, 3.8083549046917433, 2.81978773282294, 0.05798130551732683, 7.424207354962407, 7.749794329638382, 2.4904495013470633, 7.204216905018173, 1.5774342933517165, 3.0076080752105554, 0.8518233510247875, 1.7979733303936989, 5.368891100828101, 8.261716317412333, 0.7255503516571622, 6.114730325140325, 1.3893671611540483, 8.087191086619136, 8.373882846446008, 0.5176082208887891, 4.60705611484666, 0.6280472220742777, 6.725838978620886, 4.969295844799793, 0.7515526799697252, 1.4550148324972412, 7.442008100506177, 0.037037991598012354, 7.246075491591332]","1_lag_traIT, 1_lag_16_median_traBO, 14_lag_nchinaPRjja, 17_lag_alpi, 1_lag_14_median_amo1, 1_lag_18_median_shSICsep, 17_lag_traFB, 8_lag_stratZ50ndj03, 8_lag_traDP, 1_lag_10_median_amo3, 1_lag_15_median_neurTSjfm, 1_lag_11_median_mhfIP30, 11_lag_stratZ50ndj04, 15_lag_mhfATL30, 14_lag_nhSICjfm, 16_lag_traWP, 4_lag_traEC, 1_lag_4_median_traIFC, 1_lag_10_median_stratZ50ndj04, 1_lag_9_median_nhSICjfm, 1_lag_16_median_traIFC, 1_lag_15_median_gyreSSTjfm, 3_lag_scpPSLjfm, 3_lag_ismPRjja, 1_lag_8_median_mhfATL60, 2_lag_ensoSSTjfm, 1_lag_2_median_eapPSLjfm, 1_lag_7_median_eapPSLjfm, 1_lag_5_median_stratZ50ndj04, 5_lag_labSSTjfm_2240_1"
LRforcedPSO,5,30,eurPSLjfm,picntrl,1071.5,2050.5,0.6,20,1,1,23.71703945143037,0.015580743145313401,2368,"['1_lag_9_median_ginwSSTjfm', '13_lag_eurPSLjfm', '5_lag_nhTSjfm', '1_lag_12_median_nhTSjfm', '1_lag_2_median_amo1', '2_lag_stratZ50ndj03', '1_lag_4_median_ensoSSTjfm', '12_lag_stratZ50ndj02', '14_lag_traWP', '1_lag_6_median_ismPRjja', '8_lag_traFS', '1_lag_wnorPRjfm', '2_lag_tripol1', '8_lag_traFSC', '1_lag_13_median_traDS', '16_lag_eapPSLjfm', '1_lag_16_median_traEC', '7_lag_mhfATL45', '1_lag_4_median_traEC', '1_lag_14_median_stratZ50ndj01', '1_lag_13_median_samPSLann', '7_lag_ormenSSTjfm', '1_lag_16_median_mhfATL45', '1_lag_15_median_amo3', '9_lag_traIT', '6_lag_mhfATL30', '2_lag_atlSICjfm', '1_lag_17_median_traFB', '3_lag_traWP', '1_lag_19_median_ormenSSTjfm']","[2.832080635134915, 0.5894352078855434, 7.044413752062862, 2.8107877111696062, 1.610662983069469, 4.068897452500069, 9.651142116354931, 1.29517520141086, 4.824517132436801, 1.3396761635488055, 4.2866650455449795, 6.1360856273690665, 0.5666639377147007, 0.2387261026261296, 1.9812613977211022, 4.025288008784729, 9.358487640512227, 2.625916629973089, 4.265667508562849, 0.8276411946185185, 6.745186631833263, 8.844022276261496, 3.1317816290510976, 7.092404131000993, 2.8201222272924156, 7.751694185426945, 1.0161754446427764, 4.736228233626923, 6.89482523759224, 8.278202928912926]","1_lag_9_median_ginwSSTjfm, 13_lag_eurPSLjfm, 5_lag_nhTSjfm, 1_lag_12_median_nhTSjfm, 1_lag_2_median_amo1, 2_lag_stratZ50ndj03, 1_lag_4_median_ensoSSTjfm, 12_lag_stratZ50ndj02, 14_lag_traWP, 1_lag_6_median_ismPRjja, 8_lag_traFS, 1_lag_wnorPRjfm, 2_lag_tripol1, 8_lag_traFSC, 1_lag_13_median_traDS, 16_lag_eapPSLjfm, 1_lag_16_median_traEC, 7_lag_mhfATL45, 1_lag_4_median_traEC, 1_lag_14_median_stratZ50ndj01, 1_lag_13_median_samPSLann, 7_lag_ormenSSTjfm, 1_lag_16_median_mhfATL45, 1_lag_15_median_amo3, 9_lag_traIT, 6_lag_mhfATL30, 2_lag_atlSICjfm, 1_lag_17_median_traFB, 3_lag_traWP, 1_lag_19_median_ormenSSTjfm_2368_1"
LRforcedPSO,6,30,eurPSLjfm,picntrl,1072.5,2050.5,0.6,21,1,1,24.672600022916868,-0.07250309814615458,2496,"['11_lag_glomaSSTjfm', '16_lag_wnorPRjfm', '1_lag_14_median_nhSICsep', '1_lag_6_median_tripol1', '1_lag_2_median_traIFC', '1_lag_15_median_ormenSSTjfm', '1_lag_tripol3', '4_lag_cetTSjfm', '1_lag_2_median_atlSICjfm', '9_lag_mhfIP30', '12_lag_nhTSjfm', '10_lag_samPSLann', '1_lag_16_median_traFS', '1_lag_7_median_traFB', '3_lag_nppc2SSTjfm', '1_lag_9_median_traEC', '1_lag_2_median_neurTSjfm', '1_lag_3_median_satlSSTjfm', '1_lag_5_median_traMC', '12_lag_glomaSSTjfm', '1_lag_12_median_traBS', '1_lag_15_median_eapPSLjfm', '1_lag_11_median_mhfATL45', '16_lag_amoSSTmjjaso', '12_lag_stratZ50ndj01', '1_lag_15_median_labSSTjfm', '1_lag_5_median_traCA', '1_lag_8_median_traDP', '3_lag_nhSICjfm', '1_lag_3_median_traIFC']","[5.063227343380767, 4.523558468326929, 0.6846201621692991, 0.7292228633020699, 3.3261635087301444, 8.16496228237417, 0.768150050733281, 3.8276124867359584, 9.294968746831476, 1.6089336654839812, 7.956519469831638, 2.4756706039409115, 2.6156668129437177, 9.01852012100539, 4.140340197385894, 8.33188472083291, 2.139001819848181, 2.9514991552338117, 0.38242070079282975, 0.1352907915687993, 2.5736943314870526, 7.235560628016482, 9.598106534831853, 0.5625419843513804, 3.58443683351849, 3.8453139004576586, 5.485708818695909, 5.101612711199072, 3.310556024574889, 1.8108445016812151]","11_lag_glomaSSTjfm, 16_lag_wnorPRjfm, 1_lag_14_median_nhSICsep, 1_lag_6_median_tripol1, 1_lag_2_median_traIFC, 1_lag_15_median_ormenSSTjfm, 1_lag_tripol3, 4_lag_cetTSjfm, 1_lag_2_median_atlSICjfm, 9_lag_mhfIP30, 12_lag_nhTSjfm, 10_lag_samPSLann, 1_lag_16_median_traFS, 1_lag_7_median_traFB, 3_lag_nppc2SSTjfm, 1_lag_9_median_traEC, 1_lag_2_median_neurTSjfm, 1_lag_3_median_satlSSTjfm, 1_lag_5_median_traMC, 12_lag_glomaSSTjfm, 1_lag_12_median_traBS, 1_lag_15_median_eapPSLjfm, 1_lag_11_median_mhfATL45, 16_lag_amoSSTmjjaso, 12_lag_stratZ50ndj01, 1_lag_15_median_labSSTjfm, 1_lag_5_median_traCA, 1_lag_8_median_traDP, 3_lag_nhSICjfm, 1_lag_3_median_traIFC_2496_1"
LRforcedPSO,7,30,eurPSLjfm,picntrl,1073.5,2050.5,0.6,22,2,2,21.88263287211994,-0.04237545378310985,2496,"['17_lag_tripol2', '14_lag_mhfATL60', '7_lag_traCA', '11_lag_glomaSSTjfm', '14_lag_mhfATL30', '3_lag_satlSSTjfm', '2_lag_4_median_traWP', '2_lag_21_median_samPSLann', '17_lag_glTSjfm', '2_lag_11_median_eurPSLjfm', '2_lag_3_median_nhTSjfm', '2_lag_3_median_gyreSSTjfm', '2_lag_11_median_amo3', '2_lag_11_median_neurTSjfm', '2_lag_19_median_traTLS', '2_lag_10_median_stratZ50ndj01', '2_lag_12_median_nppc3SSTjfm', '4_lag_traCA', '2_lag_8_median_traMC', '2_lag_5_median_mhfATL45', '2_lag_20_median_traBO', '3_lag_stratZ50ndj04', '8_lag_eurPSLjfm', '2_lag_3_median_stratZ50ndj02', '15_lag_traCA', '9_lag_nppc3SSTjfm', '2_lag_18_median_traBO', '5_lag_samPSLann', '2_lag_11_median_amo1', '2_lag_5_median_ismPRjja']","[6.112516307556515, 5.97690483905418, 2.064888858481318, 2.1273584118915796, 5.220257229910783, 8.638563926435474, 4.714817041384798, 6.133705452954798, 3.9321254953739455, 0.5170777374749491, 6.182031645853417, 0.042995575850266476, 0.18754457820230108, 5.70124598212259, 5.905002146815308, 0.044845484309663064, 0.464842154220257, 2.5222907613223207, 0.6180324103498052, 1.610927918095559, 2.4190474567476006, 1.5878496178952606, 4.114448615132789, 6.448457058205488, 1.190001101809365, 4.050925949923383, 3.188946663625984, 0.2411907624331704, 1.812179752787987, 6.431780370470728]","17_lag_tripol2, 14_lag_mhfATL60, 7_lag_traCA, 11_lag_glomaSSTjfm, 14_lag_mhfATL30, 3_lag_satlSSTjfm, 2_lag_4_median_traWP, 2_lag_21_median_samPSLann, 17_lag_glTSjfm, 2_lag_11_median_eurPSLjfm, 2_lag_3_median_nhTSjfm, 2_lag_3_median_gyreSSTjfm, 2_lag_11_median_amo3, 2_lag_11_median_neurTSjfm, 2_lag_19_median_traTLS, 2_lag_10_median_stratZ50ndj01, 2_lag_12_median_nppc3SSTjfm, 4_lag_traCA, 2_lag_8_median_traMC, 2_lag_5_median_mhfATL45, 2_lag_20_median_traBO, 3_lag_stratZ50ndj04, 8_lag_eurPSLjfm, 2_lag_3_median_stratZ50ndj02, 15_lag_traCA, 9_lag_nppc3SSTjfm, 2_lag_18_median_traBO, 5_lag_samPSLann, 2_lag_11_median_amo1, 2_lag_5_median_ismPRjja_2496_2"
LRforcedPSO,8,30,eurPSLjfm,picntrl,1074.5,2050.5,0.6,23,3,3,27.98907486031182,-0.07531143353623,2496,"['20_lag_alpi', '6_lag_nchinaPRjja', '3_lag_6_median_atlSICjfm', '8_lag_cetTSjfm', '5_lag_neurTSjfm', '3_lag_22_median_mhfATL30', '3_lag_11_median_cetTSjfm', '9_lag_cetTSjfm', '12_lag_glomaSSTjfm', '3_lag_16_median_gyreSSTjfm', '3_lag_14_median_mhfATL45', '3_lag_20_median_mhfIP30', '22_lag_traDP', '19_lag_mhfIP30', '19_lag_neurTSjfm', '17_lag_alpi', '20_lag_stratZ50ndj01', '3_lag_9_median_traWP', '3_lag_9_median_cetTSjfm', '3_lag_16_median_atlSICsep', '3_lag_7_median_traBO', '3_lag_7_median_nhSICjfm', '8_lag_traEU', '3_lag_10_median_traIFC', '3_lag_20_median_amo2', '3_lag_amo3', '13_lag_traEC', '3_lag_12_median_shSICsep', '19_lag_amoSSTmjjaso', '3_lag_10_median_traDP']","[3.3044669915620073, 5.778127488460035, 6.797705756747842, 3.255223728505051, 6.783594077648328, 3.8772974835252754, 5.826749495573638, 1.8090463983424794, 2.331732839702978, 3.376651926754988, 6.540510141315352, 3.1601780903279817, 5.198248400752977, 3.662696507647672, 2.533729098766491, 3.102083389198529, 1.292661056061581, 6.121113215308103, 3.1361500588954634, 8.836050579836385, 1.1153983901695685, 6.937751806506167, 1.8362713916633915, 1.0510208833430728, 5.889185894914064, 4.86079903309321, 3.0493041717729614, 0.22589880502370718, 2.443124717452174, 9.024250077711418]","20_lag_alpi, 6_lag_nchinaPRjja, 3_lag_6_median_atlSICjfm, 8_lag_cetTSjfm, 5_lag_neurTSjfm, 3_lag_22_median_mhfATL30, 3_lag_11_median_cetTSjfm, 9_lag_cetTSjfm, 12_lag_glomaSSTjfm, 3_lag_16_median_gyreSSTjfm, 3_lag_14_median_mhfATL45, 3_lag_20_median_mhfIP30, 22_lag_traDP, 19_lag_mhfIP30, 19_lag_neurTSjfm, 17_lag_alpi, 20_lag_stratZ50ndj01, 3_lag_9_median_traWP, 3_lag_9_median_cetTSjfm, 3_lag_16_median_atlSICsep, 3_lag_7_median_traBO, 3_lag_7_median_nhSICjfm, 8_lag_traEU, 3_lag_10_median_traIFC, 3_lag_20_median_amo2, 3_lag_amo3, 13_lag_traEC, 3_lag_12_median_shSICsep, 19_lag_amoSSTmjjaso, 3_lag_10_median_traDP_2496_3"
LRforcedPSO,9,30,eurPSLjfm,picntrl,1075.5,2050.5,0.6,24,4,4,23.374179435562567,-0.0216001733074637,2496,"['19_lag_mhfATL45', '4_lag_13_median_stratZ50ndj01', '4_lag_10_median_cetTSjfm', '21_lag_eapPSLjfm', '4_lag_10_median_shSICsep', '17_lag_alpi', '4_lag_20_median_stratZ50ndj04', '21_lag_wnorPRjfm', '4_lag_19_median_cetTSjfm', '4_lag_stratZ50ndj04', '4_lag_14_median_traCA', '23_lag_amo1', '13_lag_stratZ50ndj02', '4_lag_8_median_scpPSLjfm', '4_lag_7_median_labSSTjfm', '4_lag_11_median_traDS', '5_lag_nhTSjfm', '4_lag_13_median_traWP', '13_lag_traEC', '4_lag_10_median_eapPSLjfm', '17_lag_mhfATL30', '4_lag_18_median_AMOCann', '4_lag_7_median_atlSICjfm', '4_lag_16_median_nhSICsep', '4_lag_7_median_traCA', '4_lag_10_median_tripol3', '18_lag_traMC', '4_lag_6_median_traIT', '4_lag_20_median_atlSICsep', '19_lag_mhfATL30']","[0.8031608658487936, 3.422055709213108, 1.749462338385987, 1.7782738810488947, 7.670088084972406, 4.188353047065732, 9.978440187751607, 6.249767019438604, 8.024725363935687, 1.3473016199381043, 6.14904121973052, 2.8948784491760797, 4.889067996045656, 1.4343677116205775, 4.970068813784888, 8.41283538286952, 0.5746129085218357, 1.1676595884245984, 0.15396213711291118, 1.4227310097151573, 1.6917853941783907, 2.537306226247942, 8.230119749970717, 0.5538741247906529, 2.946511897299491, 8.228971579714507, 5.128663381323435, 4.6946981612770795, 3.5747578356838545, 3.5979256529098276]","19_lag_mhfATL45, 4_lag_13_median_stratZ50ndj01, 4_lag_10_median_cetTSjfm, 21_lag_eapPSLjfm, 4_lag_10_median_shSICsep, 17_lag_alpi, 4_lag_20_median_stratZ50ndj04, 21_lag_wnorPRjfm, 4_lag_19_median_cetTSjfm, 4_lag_stratZ50ndj04, 4_lag_14_median_traCA, 23_lag_amo1, 13_lag_stratZ50ndj02, 4_lag_8_median_scpPSLjfm, 4_lag_7_median_labSSTjfm, 4_lag_11_median_traDS, 5_lag_nhTSjfm, 4_lag_13_median_traWP, 13_lag_traEC, 4_lag_10_median_eapPSLjfm, 17_lag_mhfATL30, 4_lag_18_median_AMOCann, 4_lag_7_median_atlSICjfm, 4_lag_16_median_nhSICsep, 4_lag_7_median_traCA, 4_lag_10_median_tripol3, 18_lag_traMC, 4_lag_6_median_traIT, 4_lag_20_median_atlSICsep, 19_lag_mhfATL30_2496_4"
