model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,eurPSLjfm,picntrl,1714.5,2050.5,0.6,15,5,5,18.03262578453101,-0.03454287625003262,399,"['13_lag_eurPSLjfm', '5_lag_amo1', '5_lag_7_median_shSICmar', '5_lag_12_median_AMOCann', '5_lag_stratZ50ndj01', '12_lag_naoPSLjfm', '7_lag_stratZ50ndj04', '5_lag_6_median_amo2', '5_lag_6_median_amoSSTmjjaso', '12_lag_atlSICjfm']","[0.7563376647262228, 2.7942916170963645, 4.64624861842551, 3.416890632465355, 5.36616735657052, 0.9437454049547398, 6.433891518349086, 0.24711284742782524, 1.7970227060678834, 4.8344573030234255]","13_lag_eurPSLjfm, 5_lag_amo1, 5_lag_7_median_shSICmar, 5_lag_12_median_AMOCann, 5_lag_stratZ50ndj01, 12_lag_naoPSLjfm, 7_lag_stratZ50ndj04, 5_lag_6_median_amo2, 5_lag_6_median_amoSSTmjjaso, 12_lag_atlSICjfm_399_5"
LRforcedPSO,1,10,eurPSLjfm,picntrl,1715.5,2050.5,0.6,16,6,6,15.969172731999121,0.11552363179339362,399,"['6_lag_nppc2SSTjfm', '6_lag_9_median_amo2', '6_lag_7_median_amo1', '13_lag_stratZ50ndj02', '6_lag_11_median_amoSSTjfm', '7_lag_amo2', '6_lag_amo2', '6_lag_10_median_amo2', '6_lag_AMOCann', '12_lag_shSICmar']","[1.6963133744263104, 3.6031764881742774, 5.968338172356285, 0.42292468363585556, 2.3127432065144538, 1.6039874959521434, 4.7205946191440145, 0.9268152539154642, 0.49170120315411303, 0.17472230154493218]","6_lag_nppc2SSTjfm, 6_lag_9_median_amo2, 6_lag_7_median_amo1, 13_lag_stratZ50ndj02, 6_lag_11_median_amoSSTjfm, 7_lag_amo2, 6_lag_amo2, 6_lag_10_median_amo2, 6_lag_AMOCann, 12_lag_shSICmar_399_6"
LRforcedPSO,2,10,eurPSLjfm,picntrl,1716.5,2050.5,0.6,17,7,7,18.93997921179296,0.032574828902376465,399,"['7_lag_10_median_scpPSLjfm', '13_lag_amoSSTmjjaso', '15_lag_shSICmar', '7_lag_15_median_eurPSLjfm', '14_lag_naoPSLjfm', '7_lag_amo1', '10_lag_shSICsep', '14_lag_nhSICsep', '16_lag_amoSSTjfm', '7_lag_12_median_atlSICjfm']","[7.568843092563986, 1.0333941264242377, 1.2287364333955768, 3.3883272993627216, 4.6549769779408585, 1.234797782219415, 1.6678571306663965, 4.024386309520198, 6.294579131686817, 4.404019929805485]","7_lag_10_median_scpPSLjfm, 13_lag_amoSSTmjjaso, 15_lag_shSICmar, 7_lag_15_median_eurPSLjfm, 14_lag_naoPSLjfm, 7_lag_amo1, 10_lag_shSICsep, 14_lag_nhSICsep, 16_lag_amoSSTjfm, 7_lag_12_median_atlSICjfm_399_7"
LRforcedPSO,3,10,eurPSLjfm,picntrl,1717.5,2050.5,0.6,18,8,8,16.703554434361806,0.04114408663031962,399,"['15_lag_amo1', '8_lag_15_median_atlSICsep', '17_lag_nhSICsep', '15_lag_atlSICsep', '8_lag_14_median_nhSICsep', '17_lag_amo3', '10_lag_amo2', '8_lag_13_median_stratZ50ndj04', '17_lag_stratZ50ndj02', '14_lag_naoPSLjfm']","[0.7185696103221684, 2.768932731488194, 1.261930040318104, 0.7219934652679232, 1.1582472105355706, 1.9662293722500621, 1.3127191646569525, 5.2585114626893965, 0.4051084929001565, 7.42677145721272]","15_lag_amo1, 8_lag_15_median_atlSICsep, 17_lag_nhSICsep, 15_lag_atlSICsep, 8_lag_14_median_nhSICsep, 17_lag_amo3, 10_lag_amo2, 8_lag_13_median_stratZ50ndj04, 17_lag_stratZ50ndj02, 14_lag_naoPSLjfm_399_8"
LRforcedPSO,4,10,eurPSLjfm,picntrl,1718.5,2050.5,0.6,19,9,9,17.098212714584278,0.11968527934351501,399,"['17_lag_amoSSTmjjaso', '15_lag_amo2', '9_lag_17_median_shSICsep', '9_lag_amo1', '10_lag_eurPSLjfm', '9_lag_18_median_AMOCann', '10_lag_amo2', '16_lag_amoSSTmjjaso', '14_lag_amoSSTmjjaso', '14_lag_stratZ50ndj02']","[0.7831723087161571, 8.289188923219385, 0.2185967384667542, 6.735409049596697, 2.701733593366356, 1.6439696777465116, 3.2198931916925, 3.0412815916815745, 0.9467233678194056, 0.8459073037604234]","17_lag_amoSSTmjjaso, 15_lag_amo2, 9_lag_17_median_shSICsep, 9_lag_amo1, 10_lag_eurPSLjfm, 9_lag_18_median_AMOCann, 10_lag_amo2, 16_lag_amoSSTmjjaso, 14_lag_amoSSTmjjaso, 14_lag_stratZ50ndj02_399_9"
LRforcedPSO,5,10,eurPSLjfm,picntrl,1719.5,2050.5,0.6,20,10,10,18.451666470328245,-0.1065076700282085,399,"['10_lag_16_median_amo2', '14_lag_AMOCann', '10_lag_11_median_atlSICsep', '11_lag_AMOCann', '10_lag_stratZ50ndj04', '10_lag_nhSICsep', '15_lag_amoSSTmjjaso', '10_lag_12_median_scpPSLjfm', '17_lag_atlSICjfm', '10_lag_16_median_shSICmar']","[1.329887481914568, 0.17955089919781386, 0.6063392342275833, 3.179111398494059, 8.98834808492732, 1.8333746759956, 4.786422799670145, 0.3604417805020148, 6.020315949885806, 1.0995172840749827]","10_lag_16_median_amo2, 14_lag_AMOCann, 10_lag_11_median_atlSICsep, 11_lag_AMOCann, 10_lag_stratZ50ndj04, 10_lag_nhSICsep, 15_lag_amoSSTmjjaso, 10_lag_12_median_scpPSLjfm, 17_lag_atlSICjfm, 10_lag_16_median_shSICmar_399_10"
LRforcedPSO,6,10,eurPSLjfm,picntrl,1720.5,2050.5,0.6,21,11,11,20.210094058244287,-0.02908373764433897,399,"['17_lag_nhSICsep', '11_lag_16_median_scpPSLjfm', '12_lag_eurPSLjfm', '19_lag_eapPSLjfm', '17_lag_AMOCann', '14_lag_eapPSLjfm', '11_lag_20_median_nhSICsep', '11_lag_14_median_amo2', '19_lag_eurPSLjfm', '12_lag_stratZ50ndj03']","[3.9812228350859247, 2.712814145658486, 7.139094940210131, 4.106071410724269, 4.379369251965519, 2.162087413667755, 2.1488006406700126, 8.342098887352059, 5.179698317786714, 1.697158340408551]","17_lag_nhSICsep, 11_lag_16_median_scpPSLjfm, 12_lag_eurPSLjfm, 19_lag_eapPSLjfm, 17_lag_AMOCann, 14_lag_eapPSLjfm, 11_lag_20_median_nhSICsep, 11_lag_14_median_amo2, 19_lag_eurPSLjfm, 12_lag_stratZ50ndj03_399_11"
LRforcedPSO,7,10,eurPSLjfm,picntrl,1721.5,2050.5,0.6,22,12,12,17.446734154020845,0.018560681341650526,399,"['21_lag_nhSICjfm', '13_lag_shSICmar', '17_lag_nppc2SSTjfm', '20_lag_amo2', '12_lag_14_median_eapPSLjfm', '12_lag_15_median_nppc2SSTjfm', '12_lag_17_median_shSICmar', '12_lag_20_median_nhSICjfm', '12_lag_amo1', '16_lag_shSICmar']","[3.2237958337794748, 3.77276097153751, 1.7355361003486447, 0.4355983193119588, 5.989316768724057, 1.7313543481802558, 7.449935935735489, 4.2527332687184956, 3.9255394779680852, 1.8153501357392994]","21_lag_nhSICjfm, 13_lag_shSICmar, 17_lag_nppc2SSTjfm, 20_lag_amo2, 12_lag_14_median_eapPSLjfm, 12_lag_15_median_nppc2SSTjfm, 12_lag_17_median_shSICmar, 12_lag_20_median_nhSICjfm, 12_lag_amo1, 16_lag_shSICmar_399_12"
LRforcedPSO,8,10,eurPSLjfm,picntrl,1722.5,2050.5,0.6,23,13,13,19.957867801731375,0.031221257179718537,399,"['13_lag_20_median_stratZ50ndj01', '13_lag_17_median_stratZ50ndj03', '21_lag_nhSICjfm', '22_lag_scpPSLjfm', '13_lag_16_median_stratZ50ndj01', '16_lag_stratZ50ndj04', '16_lag_atlSICjfm', '13_lag_16_median_nhSICjfm', '16_lag_amoSSTjfm', '17_lag_amo1']","[3.129410060769626, 4.855945450429098, 8.969127700596253, 1.5283384123135324, 7.936395157620733, 1.607582836634096, 3.0017627760924235, 3.67962934283093, 1.0567528520089517, 5.055801691240028]","13_lag_20_median_stratZ50ndj01, 13_lag_17_median_stratZ50ndj03, 21_lag_nhSICjfm, 22_lag_scpPSLjfm, 13_lag_16_median_stratZ50ndj01, 16_lag_stratZ50ndj04, 16_lag_atlSICjfm, 13_lag_16_median_nhSICjfm, 16_lag_amoSSTjfm, 17_lag_amo1_399_13"
LRforcedPSO,9,10,eurPSLjfm,picntrl,1723.5,2050.5,0.6,24,14,14,17.57039130717162,0.07344748962506194,399,"['18_lag_amo2', '14_lag_16_median_shSICmar', '14_lag_23_median_amoSSTjfm', '14_lag_18_median_shSICsep', '23_lag_eurPSLjfm', '15_lag_amoSSTjfm', '14_lag_18_median_scpPSLjfm', '14_lag_17_median_amoSSTmjjaso', '19_lag_nhSICsep', '23_lag_amo1']","[4.696684213424385, 6.759414386672553, 0.02577468855716525, 4.721272084695509, 0.17720344273188005, 6.168447197021038, 7.885846230115754, 0.07435392807325236, 2.2642738409158936, 1.8777131548375827]","18_lag_amo2, 14_lag_16_median_shSICmar, 14_lag_23_median_amoSSTjfm, 14_lag_18_median_shSICsep, 23_lag_eurPSLjfm, 15_lag_amoSSTjfm, 14_lag_18_median_scpPSLjfm, 14_lag_17_median_amoSSTmjjaso, 19_lag_nhSICsep, 23_lag_amo1_399_14"
