model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,ginwSSTjfm,picntrl,1066.5,2050.5,0.6,15,1,1,24.746881052820616,0.057871657632662735,1728,"['7_lag_nhSICsep', '1_lag_10_median_traDP', '14_lag_traFSC', '10_lag_ginwSSTjfm', '1_lag_6_median_traFS', '7_lag_ormenSSTjfm', '13_lag_traWP', '11_lag_traDP', '1_lag_12_median_alpi', '1_lag_amoSSTmjjaso', '1_lag_4_median_labSSTjfm', '14_lag_mhfIP30', '1_lag_8_median_ismPRjja', '10_lag_ormenSSTjfm', '1_lag_2_median_traCA', '1_lag_8_median_eapPSLjfm', '10_lag_stratZ50ndj01', '1_lag_6_median_traIT', '5_lag_traDS', '10_lag_shTSjfm', '1_lag_14_median_atlSICsep', '1_lag_13_median_yrvPRjja', '1_lag_10_median_amo2', '1_lag_10_median_stratZ50ndj01', '4_lag_arcTSjfm', '1_lag_12_median_traWP', '2_lag_ismPRjja', '1_lag_2_median_traBO', '1_lag_12_median_amo2', '1_lag_10_median_tripol2']","[2.331106880444585, 6.619796607847423, 5.154833924296794, 9.124097311351353, 4.225060959016565, 5.304334046460324, 1.0683896626996532, 7.3362999680915735, 2.0063228872863696, 5.929949421372267, 3.3556255533982338, 1.5964912061530967, 7.036030748159902, 9.715367084426106, 8.70308920167732, 3.2800069707101756, 6.020116193655305, 8.520086746516881, 0.7326011527096519, 0.271652286252948, 8.708017019026432, 1.8354520115867174, 5.732142432533589, 7.440473471127586, 7.797721342557821, 9.522940707906455, 1.4763651258692683, 0.30457208641566247, 4.333591212152845, 8.195555756267435]","7_lag_nhSICsep, 1_lag_10_median_traDP, 14_lag_traFSC, 10_lag_ginwSSTjfm, 1_lag_6_median_traFS, 7_lag_ormenSSTjfm, 13_lag_traWP, 11_lag_traDP, 1_lag_12_median_alpi, 1_lag_amoSSTmjjaso, 1_lag_4_median_labSSTjfm, 14_lag_mhfIP30, 1_lag_8_median_ismPRjja, 10_lag_ormenSSTjfm, 1_lag_2_median_traCA, 1_lag_8_median_eapPSLjfm, 10_lag_stratZ50ndj01, 1_lag_6_median_traIT, 5_lag_traDS, 10_lag_shTSjfm, 1_lag_14_median_atlSICsep, 1_lag_13_median_yrvPRjja, 1_lag_10_median_amo2, 1_lag_10_median_stratZ50ndj01, 4_lag_arcTSjfm, 1_lag_12_median_traWP, 2_lag_ismPRjja, 1_lag_2_median_traBO, 1_lag_12_median_amo2, 1_lag_10_median_tripol2_1728_1"
LRforcedPSO,1,30,ginwSSTjfm,picntrl,1067.5,2050.5,0.6,16,1,1,24.11698434486137,-0.04279178019347171,1856,"['13_lag_atlSICsep', '1_lag_14_median_stratZ50ndj04', '3_lag_AMOCann', '13_lag_nchinaPRjja', '2_lag_traBS', '1_lag_7_median_stratZ50ndj01', '1_lag_4_median_nhTSjfm', '2_lag_ginwSSTjfm', '1_lag_15_median_amo1', '1_lag_4_median_arcTSjfm', '3_lag_traIT', '1_lag_6_median_traEU', '1_lag_10_median_nhSICsep', '13_lag_nhSICsep', '4_lag_amoSSTmjjaso', '12_lag_traCA', '1_lag_10_median_nchinaPRjja', '8_lag_alpi', '8_lag_shTSjfm', '7_lag_eapPSLjfm', '1_lag_glTSjfm', '1_lag_2_median_satlSSTjfm', '1_lag_8_median_nchinaPRjja', '1_lag_5_median_scpPSLjfm', '1_lag_12_median_wnorPRjfm', '5_lag_traEU', '14_lag_shTSjfm', '1_lag_7_median_labSSTjfm', '7_lag_traBO', '1_lag_5_median_stratZ50ndj01']","[4.732172364751063, 5.174805658382915, 3.5878565090430143, 7.560522746095546, 6.031029490820654, 4.790530107673632, 4.082505822619533, 4.467895072103882, 5.289110166300944, 2.772636868556704, 2.647339555625619, 3.2839146503822736, 4.676864874837779, 6.132674721357361, 0.7230106420779023, 6.869970783248686, 4.281860443313043, 3.6505422464760677, 1.8945986560338302, 1.4822951603452168, 2.7394230314646855, 4.922345831470265, 2.196434864087429, 4.387205205740292, 8.039269944356814, 7.565014415886708, 8.123888243653766, 4.827055645137246, 4.753073924018327, 1.7745463895299292]","13_lag_atlSICsep, 1_lag_14_median_stratZ50ndj04, 3_lag_AMOCann, 13_lag_nchinaPRjja, 2_lag_traBS, 1_lag_7_median_stratZ50ndj01, 1_lag_4_median_nhTSjfm, 2_lag_ginwSSTjfm, 1_lag_15_median_amo1, 1_lag_4_median_arcTSjfm, 3_lag_traIT, 1_lag_6_median_traEU, 1_lag_10_median_nhSICsep, 13_lag_nhSICsep, 4_lag_amoSSTmjjaso, 12_lag_traCA, 1_lag_10_median_nchinaPRjja, 8_lag_alpi, 8_lag_shTSjfm, 7_lag_eapPSLjfm, 1_lag_glTSjfm, 1_lag_2_median_satlSSTjfm, 1_lag_8_median_nchinaPRjja, 1_lag_5_median_scpPSLjfm, 1_lag_12_median_wnorPRjfm, 5_lag_traEU, 14_lag_shTSjfm, 1_lag_7_median_labSSTjfm, 7_lag_traBO, 1_lag_5_median_stratZ50ndj01_1856_1"
LRforcedPSO,2,30,ginwSSTjfm,picntrl,1068.5,2050.5,0.6,17,1,1,21.40901478063294,0.06715815662408518,1984,"['1_lag_5_median_arcTSjfm', '1_lag_12_median_arcTSjfm', '13_lag_satlSSTjfm', '1_lag_4_median_atlSICjfm', '1_lag_14_median_atlSICjfm', '5_lag_amo3', '5_lag_nppc2SSTjfm', '16_lag_neurTSjfm', '1_lag_11_median_traCA', '16_lag_tripol2', '11_lag_nppc2SSTjfm', '1_lag_7_median_tripol1', '1_lag_15_median_nhTSjfm', '15_lag_labSSTjfm', '6_lag_traDS', '1_lag_8_median_traDS', '1_lag_5_median_traBO', '1_lag_12_median_pdoSSTjfm', '8_lag_nchinaPRjja', '2_lag_nhSICjfm', '1_lag_9_median_samPSLann', '16_lag_stratZ50ndj02', '1_lag_16_median_AMOCann', '1_lag_5_median_eapPSLjfm', '1_lag_nchinaPRjja', '2_lag_nhTSjfm', '13_lag_labSSTjfm', '1_lag_10_median_tripol3', '1_lag_10_median_amo2', '1_lag_14_median_nppc2SSTjfm']","[1.060050954504728, 3.1498683275815225, 5.685939032241654, 1.6252940947844756, 2.464379744484722, 7.116723195335155, 0.53492242688068, 8.841229980304252, 5.431447944278727, 4.0933286169855165, 0.9695756400207856, 5.457715449374508, 2.6961175770587325, 2.4044188784830407, 6.718968497779194, 2.91701897188646, 3.350596530773675, 5.171961850746033, 7.323312797585469, 7.812598918573956, 0.7400505743278032, 8.568471542618372, 2.0587829051713102, 1.8815442150632595, 7.017251576002412, 0.5814842881045053, 5.134457456196424, 2.773240759691083, 1.6651031559897227, 9.973461337076195]","1_lag_5_median_arcTSjfm, 1_lag_12_median_arcTSjfm, 13_lag_satlSSTjfm, 1_lag_4_median_atlSICjfm, 1_lag_14_median_atlSICjfm, 5_lag_amo3, 5_lag_nppc2SSTjfm, 16_lag_neurTSjfm, 1_lag_11_median_traCA, 16_lag_tripol2, 11_lag_nppc2SSTjfm, 1_lag_7_median_tripol1, 1_lag_15_median_nhTSjfm, 15_lag_labSSTjfm, 6_lag_traDS, 1_lag_8_median_traDS, 1_lag_5_median_traBO, 1_lag_12_median_pdoSSTjfm, 8_lag_nchinaPRjja, 2_lag_nhSICjfm, 1_lag_9_median_samPSLann, 16_lag_stratZ50ndj02, 1_lag_16_median_AMOCann, 1_lag_5_median_eapPSLjfm, 1_lag_nchinaPRjja, 2_lag_nhTSjfm, 13_lag_labSSTjfm, 1_lag_10_median_tripol3, 1_lag_10_median_amo2, 1_lag_14_median_nppc2SSTjfm_1984_1"
LRforcedPSO,3,30,ginwSSTjfm,picntrl,1069.5,2050.5,0.6,18,1,1,23.075404451962577,-0.11367645737695943,2112,"['1_lag_8_median_traCA', '1_lag_10_median_AMOCann', '1_lag_4_median_mhfATL30', '14_lag_gyreSSTjfm', '1_lag_7_median_traFB', '12_lag_labSSTjfm', '17_lag_arcTSjfm', '1_lag_15_median_gyreSSTjfm', '14_lag_mhfATL45', '1_lag_10_median_labSSTjfm', '15_lag_traEU', '10_lag_mhfATL60', '11_lag_traFS', '8_lag_mhfATL45', '1_lag_13_median_nppc3SSTjfm', '15_lag_mhfATL60', '1_lag_7_median_stratZ50ndj02', '15_lag_traFB', '1_lag_16_median_tripol1', '16_lag_traFSC', '1_lag_6_median_traDP', '10_lag_nhSICjfm', '1_lag_4_median_shTSjfm', '1_lag_13_median_traIFC', '16_lag_ginwSSTjfm', '5_lag_traFS', '1_lag_4_median_stratZ50ndj04', '1_lag_6_median_traFSC', '1_lag_14_median_scpPSLjfm', '1_lag_traEC']","[6.37334939816942, 1.3902055906306074, 0.869575900279191, 4.26284315807308, 2.3444094088265395, 4.7563381758299155, 1.7939756267744738, 2.6956385335204462, 4.956744647560658, 4.724913721447697, 9.831516007343343, 6.7775768434658445, 4.116236033660055, 2.041243288934682, 2.03632174540878, 4.583813988575031, 8.29406374136557, 0.8900615477630875, 1.1088961444035323, 3.137880147671421, 1.214475294282769, 4.532076956701712, 0.28739568916510017, 0.025093109235376332, 4.02578687500974, 1.8162831919586608, 4.336238543685759, 2.03703930711737, 2.9613385555041933, 0.999979899107732]","1_lag_8_median_traCA, 1_lag_10_median_AMOCann, 1_lag_4_median_mhfATL30, 14_lag_gyreSSTjfm, 1_lag_7_median_traFB, 12_lag_labSSTjfm, 17_lag_arcTSjfm, 1_lag_15_median_gyreSSTjfm, 14_lag_mhfATL45, 1_lag_10_median_labSSTjfm, 15_lag_traEU, 10_lag_mhfATL60, 11_lag_traFS, 8_lag_mhfATL45, 1_lag_13_median_nppc3SSTjfm, 15_lag_mhfATL60, 1_lag_7_median_stratZ50ndj02, 15_lag_traFB, 1_lag_16_median_tripol1, 16_lag_traFSC, 1_lag_6_median_traDP, 10_lag_nhSICjfm, 1_lag_4_median_shTSjfm, 1_lag_13_median_traIFC, 16_lag_ginwSSTjfm, 5_lag_traFS, 1_lag_4_median_stratZ50ndj04, 1_lag_6_median_traFSC, 1_lag_14_median_scpPSLjfm, 1_lag_traEC_2112_1"
LRforcedPSO,4,30,ginwSSTjfm,picntrl,1070.5,2050.5,0.6,19,1,1,22.051683509077364,-0.04678025296318367,2240,"['1_lag_7_median_labSSTjfm', '1_lag_8_median_amo3', '1_lag_16_median_traIFC', '1_lag_18_median_samPSLann', '4_lag_ormenSSTjfm', '12_lag_ismPRjja', '1_lag_4_median_traBS', '12_lag_stratZ50ndj01', '1_lag_9_median_naoPSLjfm', '6_lag_stratZ50ndj03', '18_lag_glTSjfm', '18_lag_traFSC', '1_lag_9_median_tripol2', '1_lag_18_median_eapPSLjfm', '1_lag_12_median_traFB', '4_lag_traBO', '8_lag_ormenSSTjfm', '9_lag_eurPSLjfm', '12_lag_naoPSLjfm', '1_lag_8_median_traBO', '1_lag_12_median_nppc3SSTjfm', '1_lag_18_median_alpi', '6_lag_traFSC', '1_lag_4_median_atlSICsep', '1_lag_8_median_arcTSjfm', '1_lag_7_median_nhTSjfm', '1_lag_14_median_nchinaPRjja', '8_lag_tripol2', '8_lag_nppc3SSTjfm', '1_lag_17_median_yrvPRjja']","[4.022120959530618, 2.10116914137652, 9.387184036232302, 2.499020496900412, 1.2857731280238482, 0.13292421352620565, 0.658511449391403, 2.471921718189689, 0.7205279744642148, 2.4568905563033905, 2.918615381893501, 1.9686479770993337, 3.487395098929193, 5.970491295708669, 9.195725256414459, 1.5952730635054024, 0.10090206535492463, 5.616724510356031, 7.596518147826622, 0.8359880701374998, 8.96030962825774, 4.22345580529808, 0.34255825922827654, 3.999339460308441, 1.7486568092815151, 2.1127064241166327, 6.589643741871875, 7.056586522560281, 1.3134651558773278, 0.7309746752810007]","1_lag_7_median_labSSTjfm, 1_lag_8_median_amo3, 1_lag_16_median_traIFC, 1_lag_18_median_samPSLann, 4_lag_ormenSSTjfm, 12_lag_ismPRjja, 1_lag_4_median_traBS, 12_lag_stratZ50ndj01, 1_lag_9_median_naoPSLjfm, 6_lag_stratZ50ndj03, 18_lag_glTSjfm, 18_lag_traFSC, 1_lag_9_median_tripol2, 1_lag_18_median_eapPSLjfm, 1_lag_12_median_traFB, 4_lag_traBO, 8_lag_ormenSSTjfm, 9_lag_eurPSLjfm, 12_lag_naoPSLjfm, 1_lag_8_median_traBO, 1_lag_12_median_nppc3SSTjfm, 1_lag_18_median_alpi, 6_lag_traFSC, 1_lag_4_median_atlSICsep, 1_lag_8_median_arcTSjfm, 1_lag_7_median_nhTSjfm, 1_lag_14_median_nchinaPRjja, 8_lag_tripol2, 8_lag_nppc3SSTjfm, 1_lag_17_median_yrvPRjja_2240_1"
LRforcedPSO,5,30,ginwSSTjfm,picntrl,1071.5,2050.5,0.6,20,1,1,23.704105448469768,0.029909796368130976,2368,"['1_lag_14_median_neurTSjfm', '3_lag_traWP', '8_lag_traIFC', '1_lag_8_median_satlSSTjfm', '5_lag_traEU', '1_lag_9_median_traDS', '17_lag_amo2', '18_lag_traIT', '8_lag_eapPSLjfm', '1_lag_7_median_seurTSjfm', '1_lag_10_median_shSICsep', '1_lag_18_median_eapPSLjfm', '1_lag_7_median_scpPSLjfm', '1_lag_18_median_traIFC', '5_lag_shSICmar', '6_lag_eapPSLjfm', '8_lag_eurPSLjfm', '7_lag_nhSICjfm', '1_lag_2_median_nhTSjfm', '17_lag_traFSC', '1_lag_5_median_traIFC', '1_lag_11_median_stratZ50ndj02', '1_lag_18_median_traFB', '1_lag_3_median_AMOCann', '8_lag_mhfATL45', '1_lag_3_median_samPSLann', '1_lag_10_median_amo3', '1_lag_6_median_traIFC', '1_lag_8_median_nppc3SSTjfm', '3_lag_cetTSjfm']","[0.6933298683912916, 3.389839195773834, 1.4075655525812802, 1.1894145951095396, 6.202948575992815, 2.5046593434196787, 1.1412334254748444, 6.70672800772034, 5.5853378739330655, 4.2385323295616395, 6.194017808058348, 1.524459522998331, 3.19559482352358, 1.9133744543052487, 5.491808491296418, 4.667815592804101, 0.14074098664983126, 9.559498544413682, 7.4854627162113445, 2.0393861170707765, 5.979454140351772, 0.5926951339079682, 1.6210312132639153, 2.0909067846788387, 7.179481677566951, 5.053145641890524, 5.145766054111236, 8.253885400876317, 1.404930129174712, 5.071721196547397]","1_lag_14_median_neurTSjfm, 3_lag_traWP, 8_lag_traIFC, 1_lag_8_median_satlSSTjfm, 5_lag_traEU, 1_lag_9_median_traDS, 17_lag_amo2, 18_lag_traIT, 8_lag_eapPSLjfm, 1_lag_7_median_seurTSjfm, 1_lag_10_median_shSICsep, 1_lag_18_median_eapPSLjfm, 1_lag_7_median_scpPSLjfm, 1_lag_18_median_traIFC, 5_lag_shSICmar, 6_lag_eapPSLjfm, 8_lag_eurPSLjfm, 7_lag_nhSICjfm, 1_lag_2_median_nhTSjfm, 17_lag_traFSC, 1_lag_5_median_traIFC, 1_lag_11_median_stratZ50ndj02, 1_lag_18_median_traFB, 1_lag_3_median_AMOCann, 8_lag_mhfATL45, 1_lag_3_median_samPSLann, 1_lag_10_median_amo3, 1_lag_6_median_traIFC, 1_lag_8_median_nppc3SSTjfm, 3_lag_cetTSjfm_2368_1"
LRforcedPSO,6,30,ginwSSTjfm,picntrl,1072.5,2050.5,0.6,21,1,1,20.145811530925506,0.0844553335731538,2496,"['1_lag_6_median_traBS', '12_lag_shSICsep', '1_lag_16_median_traMC', '1_lag_3_median_tripol2', '3_lag_mhfATL45', '15_lag_tripol1', '11_lag_tripol2', '1_lag_17_median_samPSLann', '1_lag_14_median_nhSICjfm', '1_lag_7_median_samPSLann', '1_lag_16_median_ismPRjja', '1_lag_15_median_stratZ50ndj02', '18_lag_ormenSSTjfm', '7_lag_amo3', '1_lag_4_median_amo1', '1_lag_15_median_traFSC', '1_lag_5_median_traFSC', '1_lag_17_median_traBS', '1_lag_atlSICjfm', '17_lag_traWP', '7_lag_ormenSSTjfm', '1_lag_5_median_traFB', '19_lag_ormenSSTjfm', '15_lag_nhTSjfm', '1_lag_13_median_seurTSjfm', '1_lag_4_median_traFS', '12_lag_labSSTjfm', '1_lag_20_median_tripol1', '1_lag_6_median_mhfATL45', '11_lag_traEC']","[6.19392359194617, 1.724556765120056, 0.6698950938719861, 1.1660905922354043, 2.905886872319833, 9.646688061151181, 4.526377122971345, 1.5926328006645605, 2.1545183928321565, 7.23251707806549, 4.014511342904168, 1.8167242419715368, 7.440185912542936, 9.325105438414806, 0.7657402664506918, 8.716111419005546, 7.851074773987374, 8.14655460314415, 0.5502491085497674, 3.775533503640487, 0.6170076018307782, 3.637447755930543, 2.664950729097047, 6.357295330928071, 3.347987381234927, 3.0490760344759194, 1.1481101606004103, 0.09148785920285007, 1.3850879423660363, 2.2916657252200086]","1_lag_6_median_traBS, 12_lag_shSICsep, 1_lag_16_median_traMC, 1_lag_3_median_tripol2, 3_lag_mhfATL45, 15_lag_tripol1, 11_lag_tripol2, 1_lag_17_median_samPSLann, 1_lag_14_median_nhSICjfm, 1_lag_7_median_samPSLann, 1_lag_16_median_ismPRjja, 1_lag_15_median_stratZ50ndj02, 18_lag_ormenSSTjfm, 7_lag_amo3, 1_lag_4_median_amo1, 1_lag_15_median_traFSC, 1_lag_5_median_traFSC, 1_lag_17_median_traBS, 1_lag_atlSICjfm, 17_lag_traWP, 7_lag_ormenSSTjfm, 1_lag_5_median_traFB, 19_lag_ormenSSTjfm, 15_lag_nhTSjfm, 1_lag_13_median_seurTSjfm, 1_lag_4_median_traFS, 12_lag_labSSTjfm, 1_lag_20_median_tripol1, 1_lag_6_median_mhfATL45, 11_lag_traEC_2496_1"
LRforcedPSO,7,30,ginwSSTjfm,picntrl,1073.5,2050.5,0.6,22,2,2,20.074109375076702,0.044377141065577115,2496,"['2_lag_8_median_atlSICsep', '2_lag_10_median_tripol1', '13_lag_amo3', '7_lag_yrvPRjja', '14_lag_ormenSSTjfm', '2_lag_18_median_nhSICsep', '2_lag_12_median_glTSjfm', '2_lag_12_median_traBO', '2_lag_6_median_stratZ50ndj02', '2_lag_3_median_gyreSSTjfm', '2_lag_21_median_traFB', '18_lag_traBS', '9_lag_nhSICjfm', '4_lag_traBS', '21_lag_cetTSjfm', '2_lag_16_median_neurTSjfm', '2_lag_7_median_glTSjfm', '2_lag_12_median_traEU', '21_lag_traFB', '2_lag_8_median_gyreSSTjfm', '2_lag_8_median_alpi', '2_lag_3_median_scpPSLjfm', '2_lag_18_median_stratZ50ndj03', '2_lag_4_median_amo1', '2_lag_17_median_traFS', '2_lag_6_median_eurPSLjfm', '12_lag_AMOCann', '17_lag_traMC', '2_lag_14_median_shSICmar', '2_lag_15_median_traFS']","[3.7484940893032572, 3.510521267462428, 2.3109865947605908, 3.4346097378283202, 5.137477206475719, 7.569123266430509, 4.715034832086065, 5.654638209276266, 6.8246058080323095, 1.3722831922811363, 1.8855620664654396, 3.5725123819833993, 0.49170473321962227, 1.0669154887297374, 2.8353371905583753, 4.049119739992619, 0.21433944487779044, 6.772371753362494, 5.5289053109254045, 4.401239243654409, 3.1329885605226764, 3.7489893823710645, 3.202909765473583, 1.8623525897043987, 6.7184590468339245, 1.7779944359486883, 1.1495245245853063, 3.4067250235540714, 0.414731285159867, 6.31588872732484]","2_lag_8_median_atlSICsep, 2_lag_10_median_tripol1, 13_lag_amo3, 7_lag_yrvPRjja, 14_lag_ormenSSTjfm, 2_lag_18_median_nhSICsep, 2_lag_12_median_glTSjfm, 2_lag_12_median_traBO, 2_lag_6_median_stratZ50ndj02, 2_lag_3_median_gyreSSTjfm, 2_lag_21_median_traFB, 18_lag_traBS, 9_lag_nhSICjfm, 4_lag_traBS, 21_lag_cetTSjfm, 2_lag_16_median_neurTSjfm, 2_lag_7_median_glTSjfm, 2_lag_12_median_traEU, 21_lag_traFB, 2_lag_8_median_gyreSSTjfm, 2_lag_8_median_alpi, 2_lag_3_median_scpPSLjfm, 2_lag_18_median_stratZ50ndj03, 2_lag_4_median_amo1, 2_lag_17_median_traFS, 2_lag_6_median_eurPSLjfm, 12_lag_AMOCann, 17_lag_traMC, 2_lag_14_median_shSICmar, 2_lag_15_median_traFS_2496_2"
LRforcedPSO,8,30,ginwSSTjfm,picntrl,1074.5,2050.5,0.6,23,3,3,21.548177511339723,0.0683888181366602,2496,"['3_lag_18_median_traDP', '3_lag_7_median_traTLS', '9_lag_traBS', '3_lag_22_median_stratZ50ndj03', '14_lag_mhfATL60', '3_lag_18_median_alpi', '18_lag_stratZ50ndj01', '3_lag_12_median_ormenSSTjfm', '3_lag_10_median_shTSjfm', '7_lag_scpPSLjfm', '3_lag_16_median_traBS', '4_lag_nhTSjfm', '3_lag_6_median_amo2', '3_lag_9_median_traEC', '3_lag_17_median_amo2', '3_lag_10_median_traFS', '3_lag_13_median_samPSLann', '3_lag_6_median_stratZ50ndj03', '11_lag_pdoSSTjfm', '19_lag_gyreSSTjfm', '21_lag_alpi', '20_lag_scpPSLjfm', '22_lag_amo3', '3_lag_7_median_tripol1', '3_lag_eapPSLjfm', '3_lag_7_median_arcTSjfm', '7_lag_nhTSjfm', '12_lag_traWP', '3_lag_16_median_traIFC', '3_lag_8_median_neurTSjfm']","[3.5969541409211807, 4.334979710356585, 0.8891817242445939, 4.934352804989914, 3.4234151395146384, 7.269547213959391, 2.8299171018209224, 6.777733944331253, 3.7535775276750165, 2.7027411703451465, 0.035003690439982194, 2.048187327848858, 5.134658968658934, 6.873375022464277, 7.148914084386636, 1.9875056464198302, 0.9956015732731149, 3.769919718354773, 4.161822882906375, 4.0046025898753745, 2.4378725728514095, 2.11927492096639, 0.9877830032823631, 9.224427576290783, 1.8514353273669322, 2.328503919702472, 2.6476567142470593, 1.0346715566466607, 0.627837273491112, 7.345201855885164]","3_lag_18_median_traDP, 3_lag_7_median_traTLS, 9_lag_traBS, 3_lag_22_median_stratZ50ndj03, 14_lag_mhfATL60, 3_lag_18_median_alpi, 18_lag_stratZ50ndj01, 3_lag_12_median_ormenSSTjfm, 3_lag_10_median_shTSjfm, 7_lag_scpPSLjfm, 3_lag_16_median_traBS, 4_lag_nhTSjfm, 3_lag_6_median_amo2, 3_lag_9_median_traEC, 3_lag_17_median_amo2, 3_lag_10_median_traFS, 3_lag_13_median_samPSLann, 3_lag_6_median_stratZ50ndj03, 11_lag_pdoSSTjfm, 19_lag_gyreSSTjfm, 21_lag_alpi, 20_lag_scpPSLjfm, 22_lag_amo3, 3_lag_7_median_tripol1, 3_lag_eapPSLjfm, 3_lag_7_median_arcTSjfm, 7_lag_nhTSjfm, 12_lag_traWP, 3_lag_16_median_traIFC, 3_lag_8_median_neurTSjfm_2496_3"
LRforcedPSO,9,30,ginwSSTjfm,picntrl,1075.5,2050.5,0.6,24,4,4,24.918264706496174,-0.055495469964082556,2496,"['12_lag_tripol2', '8_lag_traCA', '4_lag_13_median_yrvPRjja', '4_lag_21_median_gyreSSTjfm', '21_lag_mhfATL30', '4_lag_14_median_glomaSSTjfm', '4_lag_traCA', '21_lag_pdoSSTjfm', '13_lag_ensoSSTjfm', '9_lag_eurPSLjfm', '17_lag_ormenSSTjfm', '21_lag_traFB', '4_lag_21_median_shSICmar', '7_lag_mhfATL45', '4_lag_5_median_nppc2SSTjfm', '8_lag_amo1', '4_lag_22_median_arcTSjfm', '21_lag_ormenSSTjfm', '4_lag_22_median_glomaSSTjfm', '4_lag_6_median_stratZ50ndj01', '22_lag_atlSICjfm', '4_lag_21_median_pdoSSTjfm', '12_lag_yrvPRjja', '4_lag_23_median_yrvPRjja', '20_lag_nhTSjfm', '19_lag_stratZ50ndj01', '4_lag_13_median_tripol2', '6_lag_eurPSLjfm', '4_lag_16_median_ismPRjja', '4_lag_11_median_traCA']","[4.902099426254893, 6.164398997371752, 2.274423544320026, 0.9400924622915454, 8.581915097568135, 4.713892387857728, 8.407790471604471, 2.2875772975561626, 1.2035155353116007, 0.1956760143219487, 2.9794101723742994, 2.1385482982038457, 2.3761611691303557, 2.564580047012168, 0.0011504856985755652, 8.144812530582467, 3.5293292164778567, 0.641935925299947, 7.813558240417841, 6.497850980267595, 1.5370134702415186, 2.200236611976056, 3.6241928522665567, 3.850996876392678, 8.98964543660679, 7.138936565461435, 6.393469700826085, 4.73795955793185, 3.9154725518573734, 4.24973400102564]","12_lag_tripol2, 8_lag_traCA, 4_lag_13_median_yrvPRjja, 4_lag_21_median_gyreSSTjfm, 21_lag_mhfATL30, 4_lag_14_median_glomaSSTjfm, 4_lag_traCA, 21_lag_pdoSSTjfm, 13_lag_ensoSSTjfm, 9_lag_eurPSLjfm, 17_lag_ormenSSTjfm, 21_lag_traFB, 4_lag_21_median_shSICmar, 7_lag_mhfATL45, 4_lag_5_median_nppc2SSTjfm, 8_lag_amo1, 4_lag_22_median_arcTSjfm, 21_lag_ormenSSTjfm, 4_lag_22_median_glomaSSTjfm, 4_lag_6_median_stratZ50ndj01, 22_lag_atlSICjfm, 4_lag_21_median_pdoSSTjfm, 12_lag_yrvPRjja, 4_lag_23_median_yrvPRjja, 20_lag_nhTSjfm, 19_lag_stratZ50ndj01, 4_lag_13_median_tripol2, 6_lag_eurPSLjfm, 4_lag_16_median_ismPRjja, 4_lag_11_median_traCA_2496_4"
