model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,glTSjfm,picntrl,1066.5,2050.5,0.6,15,5,5,16.858692147286135,-0.09553912066497139,1216,"['5_lag_6_median_atlSICsep', '10_lag_glTSjfm', '5_lag_14_median_tripol3', '6_lag_traIFC', '8_lag_amo3', '9_lag_glTSjfm']","[2.511773920478289, 1.1052069045033903, 4.530984781635549, 0.40647291485202075, 1.1476104299456864, 2.5528168119769816]","5_lag_6_median_atlSICsep, 10_lag_glTSjfm, 5_lag_14_median_tripol3, 6_lag_traIFC, 8_lag_amo3, 9_lag_glTSjfm_1216_5"
LRforcedPSO,1,6,glTSjfm,picntrl,1067.5,2050.5,0.6,16,6,6,14.155458208179047,-0.022059980465048767,1216,"['8_lag_amo3', '6_lag_14_median_seurTSjfm', '14_lag_scpPSLjfm', '12_lag_mhfATL45', '15_lag_wnorPRjfm', '15_lag_nhTSjfm']","[6.397929079375302, 0.9297402935904682, 0.11852948961263365, 4.30742196732242, 0.8664503661995475, 0.5911670345358377]","8_lag_amo3, 6_lag_14_median_seurTSjfm, 14_lag_scpPSLjfm, 12_lag_mhfATL45, 15_lag_wnorPRjfm, 15_lag_nhTSjfm_1216_6"
LRforcedPSO,2,6,glTSjfm,picntrl,1068.5,2050.5,0.6,17,7,7,13.689543145987285,0.018795439542901655,1216,"['7_lag_15_median_samPSLann', '15_lag_naoPSLjfm', '7_lag_10_median_gyreSSTjfm', '7_lag_11_median_labSSTjfm', '7_lag_10_median_amoSSTmjjaso', '7_lag_12_median_eurPSLjfm']","[1.4869898552794842, 1.304896249050103, 1.7342972353859536, 1.7219900118961682, 1.4984060616241968, 1.3098878375620253]","7_lag_15_median_samPSLann, 15_lag_naoPSLjfm, 7_lag_10_median_gyreSSTjfm, 7_lag_11_median_labSSTjfm, 7_lag_10_median_amoSSTmjjaso, 7_lag_12_median_eurPSLjfm_1216_7"
LRforcedPSO,3,6,glTSjfm,picntrl,1069.5,2050.5,0.6,18,8,8,13.776756035195264,0.10309148359559608,1216,"['8_lag_11_median_traTLS', '17_lag_traEC', '13_lag_yrvPRjja', '10_lag_mhfATL60', '16_lag_seurTSjfm', '17_lag_traDP']","[2.921045520153358, 0.8454507347583213, 7.223257129504304, 0.802420403992139, 2.018037027608351, 1.2124853353893137]","8_lag_11_median_traTLS, 17_lag_traEC, 13_lag_yrvPRjja, 10_lag_mhfATL60, 16_lag_seurTSjfm, 17_lag_traDP_1216_8"
LRforcedPSO,4,6,glTSjfm,picntrl,1070.5,2050.5,0.6,19,9,9,14.248967467995287,0.013194299784975631,1216,"['9_lag_14_median_atlSICjfm', '18_lag_naoPSLjfm', '9_lag_18_median_wnorPRjfm', '11_lag_yrvPRjja', '13_lag_seurTSjfm', '9_lag_12_median_atlSICjfm']","[4.305853053230059, 0.24297244862143508, 3.0717087838152546, 2.4426882942834593, 0.2672881726211571, 1.2198767996035613]","9_lag_14_median_atlSICjfm, 18_lag_naoPSLjfm, 9_lag_18_median_wnorPRjfm, 11_lag_yrvPRjja, 13_lag_seurTSjfm, 9_lag_12_median_atlSICjfm_1216_9"
LRforcedPSO,5,6,glTSjfm,picntrl,1071.5,2050.5,0.6,20,10,10,14.088629245254127,-0.009642786966633015,1216,"['17_lag_tripol3', '12_lag_amoSSTmjjaso', '11_lag_atlSICjfm', '18_lag_AMOCann', '19_lag_traCA', '10_lag_17_median_cetTSjfm']","[1.785503246445611, 1.6403133068308637, 1.5214719722172922, 1.457478325749314, 1.5239798317150954, 1.4910956270478246]","17_lag_tripol3, 12_lag_amoSSTmjjaso, 11_lag_atlSICjfm, 18_lag_AMOCann, 19_lag_traCA, 10_lag_17_median_cetTSjfm_1216_10"
LRforcedPSO,6,6,glTSjfm,picntrl,1072.5,2050.5,0.6,21,11,11,13.017265236745882,0.08781664636579939,1216,"['11_lag_mhfATL30', '14_lag_nppc2SSTjfm', '18_lag_stratZ50ndj03', '18_lag_traDP', '17_lag_samPSLann', '11_lag_13_median_mhfATL30']","[0.2235003820581145, 6.05665977893257, 0.9651181917423823, 3.170066475307067, 0.7884319541256843, 1.354662794697692]","11_lag_mhfATL30, 14_lag_nppc2SSTjfm, 18_lag_stratZ50ndj03, 18_lag_traDP, 17_lag_samPSLann, 11_lag_13_median_mhfATL30_1216_11"
LRforcedPSO,7,6,glTSjfm,picntrl,1073.5,2050.5,0.6,22,12,12,14.970717492261572,0.03861416041965657,1216,"['18_lag_cetTSjfm', '20_lag_traFSC', '19_lag_traFSC', '12_lag_18_median_cetTSjfm', '12_lag_15_median_traTLS', '16_lag_alpi']","[0.35421276038284866, 1.1558699829973484, 0.18657224784545434, 6.222773313500685, 3.521362420614089, 2.3231235649151945]","18_lag_cetTSjfm, 20_lag_traFSC, 19_lag_traFSC, 12_lag_18_median_cetTSjfm, 12_lag_15_median_traTLS, 16_lag_alpi_1216_12"
LRforcedPSO,8,6,glTSjfm,picntrl,1074.5,2050.5,0.6,23,13,13,13.927709918637166,-0.09092861790898085,1216,"['17_lag_traFSC', '13_lag_14_median_eurPSLjfm', '21_lag_stratZ50ndj03', '20_lag_alpi', '16_lag_traFSC', '14_lag_amo3']","[2.005605775780681, 1.5628248349491014, 1.5513719944805382, 1.9302216584342329, 1.6555163197060823, 1.8364404694789673]","17_lag_traFSC, 13_lag_14_median_eurPSLjfm, 21_lag_stratZ50ndj03, 20_lag_alpi, 16_lag_traFSC, 14_lag_amo3_1216_13"
LRforcedPSO,9,6,glTSjfm,picntrl,1075.5,2050.5,0.6,24,14,14,14.213485976066378,-0.033153245620098866,1216,"['14_lag_19_median_labSSTjfm', '18_lag_nppc2SSTjfm', '18_lag_glTSjfm', '14_lag_21_median_ormenSSTjfm', '23_lag_ismPRjja', '14_lag_nppc2SSTjfm']","[0.167051554724452, 4.4344955917732864, 1.0079735787047728, 0.882949249257301, 1.4792553781721054, 2.6815802973152287]","14_lag_19_median_labSSTjfm, 18_lag_nppc2SSTjfm, 18_lag_glTSjfm, 14_lag_21_median_ormenSSTjfm, 23_lag_ismPRjja, 14_lag_nppc2SSTjfm_1216_14"
LRforcedPSO,10,6,glTSjfm,picntrl,1076.5,2050.5,0.6,25,15,15,14.276096525245777,-0.02491612241664216,1216,"['15_lag_23_median_cetTSjfm', '21_lag_shTSjfm', '18_lag_amo2', '21_lag_tripol2', '15_lag_22_median_traMC', '19_lag_amo2']","[0.31105003238832296, 0.7766416421910343, 6.243441963370753, 4.450625195627563, 0.14440415747143653, 0.5032964210979607]","15_lag_23_median_cetTSjfm, 21_lag_shTSjfm, 18_lag_amo2, 21_lag_tripol2, 15_lag_22_median_traMC, 19_lag_amo2_1216_15"
