model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,glomaSSTjfm,picntrl,1514.5,2050.5,0.4,15,5,5,17.415372997417816,0.022186927609196938,1216,"['5_lag_7_median_traDP', '5_lag_wnorPRjfm', '13_lag_stratZ50ndj04', '5_lag_7_median_wnorPRjfm', '13_lag_traFS', '5_lag_7_median_traFSC', '5_lag_6_median_gyreSSTjfm', '5_lag_14_median_traEC', '6_lag_tripol2', '5_lag_10_median_ormenSSTjfm']","[1.9863696544032887, 6.678795619544221, 1.0618064373057692, 0.10026612823531167, 6.100303280684027, 8.322056716891463, 6.028788197115773, 3.840785753331872, 3.248374218738846, 8.420997826247298]","5_lag_7_median_traDP, 5_lag_wnorPRjfm, 13_lag_stratZ50ndj04, 5_lag_7_median_wnorPRjfm, 13_lag_traFS, 5_lag_7_median_traFSC, 5_lag_6_median_gyreSSTjfm, 5_lag_14_median_traEC, 6_lag_tripol2, 5_lag_10_median_ormenSSTjfm_1216_5"
LRforcedPSO,1,10,glomaSSTjfm,picntrl,1515.5,2050.5,0.4,16,6,6,15.169718552773764,0.1715217792137084,1216,"['10_lag_yrvPRjja', '6_lag_12_median_nppc2SSTjfm', '15_lag_tripol3', '11_lag_amoSSTmjjaso', '6_lag_12_median_satlSSTjfm', '6_lag_15_median_scpPSLjfm', '6_lag_7_median_nppc3SSTjfm', '13_lag_traIT', '6_lag_12_median_ismPRjja', '6_lag_11_median_traFB']","[4.620925084000989, 5.590275759842102, 3.108677942399365, 2.272032943013155, 1.4776015588357954, 2.4417659840458725, 2.570211705821583, 0.34360765709492824, 6.582186039292942, 2.4196489419949465]","10_lag_yrvPRjja, 6_lag_12_median_nppc2SSTjfm, 15_lag_tripol3, 11_lag_amoSSTmjjaso, 6_lag_12_median_satlSSTjfm, 6_lag_15_median_scpPSLjfm, 6_lag_7_median_nppc3SSTjfm, 13_lag_traIT, 6_lag_12_median_ismPRjja, 6_lag_11_median_traFB_1216_6"
LRforcedPSO,2,10,glomaSSTjfm,picntrl,1516.5,2050.5,0.4,17,7,7,14.252483822087116,0.13019434762789248,1216,"['7_lag_15_median_traBO', '7_lag_10_median_ormenSSTjfm', '13_lag_satlSSTjfm', '8_lag_traDS', '12_lag_shTSjfm', '7_lag_16_median_traWP', '15_lag_traTLS', '7_lag_15_median_glTSjfm', '7_lag_9_median_ginwSSTjfm', '9_lag_amoSSTmjjaso']","[5.539637520043161, 2.357629484056112, 3.9005001612107755, 2.7385505880366168, 0.7071320393447245, 1.6292608916846234, 2.8364571118440622, 0.5131717361104968, 0.3893467580776786, 0.35719590416515246]","7_lag_15_median_traBO, 7_lag_10_median_ormenSSTjfm, 13_lag_satlSSTjfm, 8_lag_traDS, 12_lag_shTSjfm, 7_lag_16_median_traWP, 15_lag_traTLS, 7_lag_15_median_glTSjfm, 7_lag_9_median_ginwSSTjfm, 9_lag_amoSSTmjjaso_1216_7"
LRforcedPSO,3,10,glomaSSTjfm,picntrl,1517.5,2050.5,0.4,18,8,8,16.522041304960343,0.1159429747163441,1216,"['8_lag_11_median_traBS', '8_lag_11_median_stratZ50ndj01', '14_lag_traBO', '8_lag_11_median_satlSSTjfm', '8_lag_stratZ50ndj02', '8_lag_11_median_traTLS', '9_lag_mhfIP30', '13_lag_nppc2SSTjfm', '8_lag_16_median_nhSICsep', '17_lag_stratZ50ndj01']","[6.2231589046736, 1.068203444570333, 2.1137139781634318, 3.9486891148921437, 6.134601570685407, 3.0258520157015774, 0.00947565599002509, 6.378756155066988, 0.803929275066686, 4.660269966909851]","8_lag_11_median_traBS, 8_lag_11_median_stratZ50ndj01, 14_lag_traBO, 8_lag_11_median_satlSSTjfm, 8_lag_stratZ50ndj02, 8_lag_11_median_traTLS, 9_lag_mhfIP30, 13_lag_nppc2SSTjfm, 8_lag_16_median_nhSICsep, 17_lag_stratZ50ndj01_1216_8"
LRforcedPSO,4,10,glomaSSTjfm,picntrl,1518.5,2050.5,0.4,19,9,9,17.09724520172875,0.07816539940235126,1216,"['10_lag_yrvPRjja', '9_lag_16_median_nhSICjfm', '17_lag_nhSICjfm', '9_lag_eurPSLjfm', '9_lag_10_median_naoPSLjfm', '9_lag_15_median_pdoSSTjfm', '11_lag_traFB', '9_lag_10_median_mhfATL45', '9_lag_16_median_cetTSjfm', '9_lag_14_median_stratZ50ndj01']","[2.581282740949666, 3.5179004419167814, 0.39456672942897164, 8.87041992402316, 2.4158856372771575, 2.151026127573674, 3.0546716683332136, 7.148840855969317, 3.1297681840505938, 5.652274260937569]","10_lag_yrvPRjja, 9_lag_16_median_nhSICjfm, 17_lag_nhSICjfm, 9_lag_eurPSLjfm, 9_lag_10_median_naoPSLjfm, 9_lag_15_median_pdoSSTjfm, 11_lag_traFB, 9_lag_10_median_mhfATL45, 9_lag_16_median_cetTSjfm, 9_lag_14_median_stratZ50ndj01_1216_9"
LRforcedPSO,5,10,glomaSSTjfm,picntrl,1519.5,2050.5,0.4,20,10,10,15.455114480739548,-0.004348230886700052,1216,"['10_lag_12_median_nhTSjfm', '17_lag_mhfIP30', '10_lag_17_median_ormenSSTjfm', '10_lag_13_median_ginwSSTjfm', '10_lag_15_median_labSSTjfm', '10_lag_17_median_amo3', '10_lag_16_median_yrvPRjja', '14_lag_nppc3SSTjfm', '10_lag_mhfATL60', '18_lag_traWP']","[1.6394936200633303, 1.1505120857675344, 4.054228476591013, 1.5186057231859458, 9.38332092367856, 8.057438066293066, 0.2501502407203997, 6.44107082589432, 0.09208477818051364, 0.7889580091072279]","10_lag_12_median_nhTSjfm, 17_lag_mhfIP30, 10_lag_17_median_ormenSSTjfm, 10_lag_13_median_ginwSSTjfm, 10_lag_15_median_labSSTjfm, 10_lag_17_median_amo3, 10_lag_16_median_yrvPRjja, 14_lag_nppc3SSTjfm, 10_lag_mhfATL60, 18_lag_traWP_1216_10"
LRforcedPSO,6,10,glomaSSTjfm,picntrl,1520.5,2050.5,0.4,21,11,11,14.512634821341061,-0.001096113264865107,1216,"['11_lag_19_median_stratZ50ndj04', '11_lag_20_median_nppc3SSTjfm', '14_lag_mhfATL45', '11_lag_15_median_mhfATL30', '19_lag_neurTSjfm', '17_lag_traIT', '13_lag_glTSjfm', '11_lag_17_median_neurTSjfm', '19_lag_shSICsep', '11_lag_15_median_traWP']","[4.939930675818175, 3.635336282553121, 0.4985888430505465, 2.6214189773135343, 2.5724060187672855, 1.7596070503265153, 2.7326579049408206, 2.7418056407492095, 0.5350702549156772, 1.1464957327335306]","11_lag_19_median_stratZ50ndj04, 11_lag_20_median_nppc3SSTjfm, 14_lag_mhfATL45, 11_lag_15_median_mhfATL30, 19_lag_neurTSjfm, 17_lag_traIT, 13_lag_glTSjfm, 11_lag_17_median_neurTSjfm, 19_lag_shSICsep, 11_lag_15_median_traWP_1216_11"
LRforcedPSO,7,10,glomaSSTjfm,picntrl,1521.5,2050.5,0.4,22,12,12,16.220746707163674,0.0013667634737656604,1216,"['12_lag_20_median_traEU', '13_lag_eurPSLjfm', '12_lag_19_median_traFSC', '12_lag_13_median_neurTSjfm', '12_lag_14_median_AMOCann', '12_lag_21_median_stratZ50ndj03', '20_lag_glomaSSTjfm', '21_lag_traFS', '12_lag_14_median_traIT', '13_lag_nppc2SSTjfm']","[1.4404854892320547, 0.7176062969862063, 1.8165695998563098, 6.792964684556935, 3.888398423652406, 1.1362173126282649, 1.7883635733336298, 8.518424913139729, 2.837187917344421, 3.15451826682523]","12_lag_20_median_traEU, 13_lag_eurPSLjfm, 12_lag_19_median_traFSC, 12_lag_13_median_neurTSjfm, 12_lag_14_median_AMOCann, 12_lag_21_median_stratZ50ndj03, 20_lag_glomaSSTjfm, 21_lag_traFS, 12_lag_14_median_traIT, 13_lag_nppc2SSTjfm_1216_12"
LRforcedPSO,8,10,glomaSSTjfm,picntrl,1522.5,2050.5,0.4,23,13,13,18.608957157026246,-0.1392645375425359,1216,"['16_lag_scpPSLjfm', '22_lag_amo3', '20_lag_traMC', '13_lag_19_median_cetTSjfm', '13_lag_15_median_labSSTjfm', '13_lag_14_median_traDS', '13_lag_15_median_traDP', '18_lag_amo3', '13_lag_19_median_traBS', '13_lag_16_median_arcTSjfm']","[1.613616954169041, 7.248423955914345, 2.4558198684078487, 2.3959363978055297, 4.494112633763676, 0.2994008763779874, 6.435619708825639, 3.9430361154914584, 5.591743076455407, 2.51411057597676]","16_lag_scpPSLjfm, 22_lag_amo3, 20_lag_traMC, 13_lag_19_median_cetTSjfm, 13_lag_15_median_labSSTjfm, 13_lag_14_median_traDS, 13_lag_15_median_traDP, 18_lag_amo3, 13_lag_19_median_traBS, 13_lag_16_median_arcTSjfm_1216_13"
LRforcedPSO,9,10,glomaSSTjfm,picntrl,1523.5,2050.5,0.4,24,14,14,17.515393788309602,-0.05023188417444746,1216,"['14_lag_21_median_atlSICjfm', '14_lag_18_median_ismPRjja', '14_lag_21_median_nchinaPRjja', '17_lag_traIT', '23_lag_amo3', '14_lag_21_median_nppc3SSTjfm', '16_lag_nhSICjfm', '18_lag_scpPSLjfm', '15_lag_cetTSjfm', '14_lag_23_median_eurPSLjfm']","[8.661808966154885, 1.3400974307717117, 0.19035693271792553, 3.6827560829230404, 1.6516062039024693, 5.042322641204406, 2.841261916997926, 2.9964178311127814, 5.949046790274883, 2.200987994975298]","14_lag_21_median_atlSICjfm, 14_lag_18_median_ismPRjja, 14_lag_21_median_nchinaPRjja, 17_lag_traIT, 23_lag_amo3, 14_lag_21_median_nppc3SSTjfm, 16_lag_nhSICjfm, 18_lag_scpPSLjfm, 15_lag_cetTSjfm, 14_lag_23_median_eurPSLjfm_1216_14"
