model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,gyreSSTjfm,picntrl,1714.5,2050.5,0.6,15,1,1,15.295578614084631,0.07085009206022569,1728,"['8_lag_scpPSLjfm', '14_lag_ensoSSTjfm', '8_lag_stratZ50ndj04', '1_lag_7_median_nhSICjfm', '2_lag_atlSICjfm', '1_lag_7_median_alpi', '1_lag_eapPSLjfm', '1_lag_3_median_amo3', '1_lag_14_median_labSSTjfm', '1_lag_7_median_tripol3']","[2.6379335922530505, 3.4181846114017063, 3.8837862402494956, 6.88731333075253, 5.407742494116947, 5.929491239728053, 4.388722420284368, 5.4900438400616185, 3.2384329439712545, 2.348779384010644]","8_lag_scpPSLjfm, 14_lag_ensoSSTjfm, 8_lag_stratZ50ndj04, 1_lag_7_median_nhSICjfm, 2_lag_atlSICjfm, 1_lag_7_median_alpi, 1_lag_eapPSLjfm, 1_lag_3_median_amo3, 1_lag_14_median_labSSTjfm, 1_lag_7_median_tripol3_1728_1"
LRforcedPSO,1,10,gyreSSTjfm,picntrl,1715.5,2050.5,0.6,16,1,1,13.677677716002268,-0.014604652993885008,1856,"['1_lag_12_median_eapPSLjfm', '1_lag_9_median_traFSC', '10_lag_ensoSSTjfm', '1_lag_9_median_nhTSjfm', '4_lag_ensoSSTjfm', '12_lag_yrvPRjja', '6_lag_tripol2', '1_lag_11_median_arcTSjfm', '10_lag_pdoSSTjfm', '1_lag_7_median_traIT']","[0.7501020967480123, 6.939385767434203, 4.871219293489899, 0.4623870670489083, 1.4459750763756603, 0.3294172639890611, 0.9845058976230074, 2.319643984623907, 3.7485708659986994, 2.866598776431733]","1_lag_12_median_eapPSLjfm, 1_lag_9_median_traFSC, 10_lag_ensoSSTjfm, 1_lag_9_median_nhTSjfm, 4_lag_ensoSSTjfm, 12_lag_yrvPRjja, 6_lag_tripol2, 1_lag_11_median_arcTSjfm, 10_lag_pdoSSTjfm, 1_lag_7_median_traIT_1856_1"
LRforcedPSO,2,10,gyreSSTjfm,picntrl,1716.5,2050.5,0.6,17,1,1,12.156002988398109,0.32099110263925573,1984,"['1_lag_12_median_gyreSSTjfm', '4_lag_traEU', '1_lag_8_median_traFB', '1_lag_15_median_traWP', '1_lag_15_median_shSICsep', '1_lag_7_median_glTSjfm', '1_lag_traCA', '1_lag_12_median_traEU', '1_lag_14_median_samPSLann', '12_lag_scpPSLjfm']","[1.6915783602846055, 1.9085281210223677, 1.4929371364367015, 2.8753697517274563, 0.5369723748558926, 0.18292103929035797, 7.485585153930106, 6.001566397271954, 5.965591456004804, 2.319835828659034]","1_lag_12_median_gyreSSTjfm, 4_lag_traEU, 1_lag_8_median_traFB, 1_lag_15_median_traWP, 1_lag_15_median_shSICsep, 1_lag_7_median_glTSjfm, 1_lag_traCA, 1_lag_12_median_traEU, 1_lag_14_median_samPSLann, 12_lag_scpPSLjfm_1984_1"
LRforcedPSO,3,10,gyreSSTjfm,picntrl,1717.5,2050.5,0.6,18,1,1,14.406392165563453,0.08426820795885501,2112,"['14_lag_traFB', '1_lag_6_median_traBO', '6_lag_atlSICsep', '17_lag_atlSICjfm', '5_lag_eurPSLjfm', '4_lag_stratZ50ndj04', '5_lag_traDS', '1_lag_14_median_traIFC', '1_lag_5_median_traBS', '17_lag_seurTSjfm']","[8.789503650616254, 1.2895113376176006, 2.568675490662928, 1.995065895371539, 3.9093358254362442, 3.7361944615777425, 3.0620725048745516, 0.30370268343242124, 0.36899132208576724, 4.042882024001713]","14_lag_traFB, 1_lag_6_median_traBO, 6_lag_atlSICsep, 17_lag_atlSICjfm, 5_lag_eurPSLjfm, 4_lag_stratZ50ndj04, 5_lag_traDS, 1_lag_14_median_traIFC, 1_lag_5_median_traBS, 17_lag_seurTSjfm_2112_1"
LRforcedPSO,4,10,gyreSSTjfm,picntrl,1718.5,2050.5,0.6,19,1,1,14.978663415276236,0.20059708616169408,2240,"['4_lag_eurPSLjfm', '1_lag_8_median_mhfATL60', '4_lag_AMOCann', '1_lag_13_median_amo2', '1_lag_arcTSjfm', '1_lag_12_median_stratZ50ndj04', '7_lag_amoSSTmjjaso', '1_lag_10_median_yrvPRjja', '1_lag_traEC', '6_lag_AMOCann']","[1.757866272378223, 6.833467324822241, 0.20774881205456808, 6.149400888861646, 5.362092053458493, 0.41112409578063236, 0.43335314747133324, 6.460906178769679, 4.143927292057965, 1.4668475024314382]","4_lag_eurPSLjfm, 1_lag_8_median_mhfATL60, 4_lag_AMOCann, 1_lag_13_median_amo2, 1_lag_arcTSjfm, 1_lag_12_median_stratZ50ndj04, 7_lag_amoSSTmjjaso, 1_lag_10_median_yrvPRjja, 1_lag_traEC, 6_lag_AMOCann_2240_1"
LRforcedPSO,5,10,gyreSSTjfm,picntrl,1719.5,2050.5,0.6,20,1,1,16.50332419771005,-0.10521992986955396,2368,"['10_lag_samPSLann', '2_lag_shTSjfm', '1_lag_2_median_nhSICsep', '1_lag_17_median_nppc2SSTjfm', '1_lag_15_median_arcTSjfm', '1_lag_18_median_mhfATL45', '1_lag_3_median_wnorPRjfm', '1_lag_11_median_cetTSjfm', '7_lag_pdoSSTjfm', '1_lag_13_median_amo1']","[1.811665049586292, 3.4814012668693124, 0.599493656185059, 3.514438463897445, 6.738495521259262, 3.3967196464594718, 5.434012784958851, 4.35266742665255, 3.618492413248582, 6.207532316424578]","10_lag_samPSLann, 2_lag_shTSjfm, 1_lag_2_median_nhSICsep, 1_lag_17_median_nppc2SSTjfm, 1_lag_15_median_arcTSjfm, 1_lag_18_median_mhfATL45, 1_lag_3_median_wnorPRjfm, 1_lag_11_median_cetTSjfm, 7_lag_pdoSSTjfm, 1_lag_13_median_amo1_2368_1"
LRforcedPSO,6,10,gyreSSTjfm,picntrl,1720.5,2050.5,0.6,21,1,1,13.759739950317213,0.03067547664375226,2496,"['20_lag_pdoSSTjfm', '1_lag_2_median_traFB', '1_lag_13_median_seurTSjfm', '1_lag_7_median_nhSICsep', '1_lag_9_median_wnorPRjfm', '5_lag_amoSSTmjjaso', '12_lag_shSICmar', '11_lag_traMC', '20_lag_traDP', '17_lag_stratZ50ndj01']","[2.7355963135555044, 1.0781601138600472, 1.506043466652292, 0.712805219545718, 1.417067686170551, 2.7165748512308667, 4.955106191804459, 1.8986349544395935, 6.1827514776002985, 0.24576040068387428]","20_lag_pdoSSTjfm, 1_lag_2_median_traFB, 1_lag_13_median_seurTSjfm, 1_lag_7_median_nhSICsep, 1_lag_9_median_wnorPRjfm, 5_lag_amoSSTmjjaso, 12_lag_shSICmar, 11_lag_traMC, 20_lag_traDP, 17_lag_stratZ50ndj01_2496_1"
LRforcedPSO,7,10,gyreSSTjfm,picntrl,1721.5,2050.5,0.6,22,1,1,18.774798012866256,-0.15138323765623682,2624,"['1_lag_16_median_yrvPRjja', '1_lag_15_median_atlSICjfm', '6_lag_traEU', '1_lag_18_median_wnorPRjfm', '15_lag_mhfATL30', '20_lag_cetTSjfm', '2_lag_amo1', '1_lag_5_median_ismPRjja', '4_lag_glTSjfm', '4_lag_nhSICjfm']","[4.604009764787492, 7.463120124856273, 2.489816194503385, 0.12032791952100119, 4.445084547788989, 8.110315532226778, 0.9983413899197391, 9.256589296535612, 1.0227582696713853, 3.2169698767010875]","1_lag_16_median_yrvPRjja, 1_lag_15_median_atlSICjfm, 6_lag_traEU, 1_lag_18_median_wnorPRjfm, 15_lag_mhfATL30, 20_lag_cetTSjfm, 2_lag_amo1, 1_lag_5_median_ismPRjja, 4_lag_glTSjfm, 4_lag_nhSICjfm_2624_1"
LRforcedPSO,8,10,gyreSSTjfm,picntrl,1722.5,2050.5,0.6,23,1,1,17.278403062288817,-0.031349160891607226,2752,"['1_lag_10_median_glTSjfm', '1_lag_8_median_naoPSLjfm', '1_lag_22_median_tripol3', '1_lag_13_median_mhfATL30', '8_lag_glTSjfm', '1_lag_10_median_nchinaPRjja', '3_lag_traTLS', '1_lag_8_median_shSICsep', '8_lag_stratZ50ndj01', '1_lag_3_median_mhfIP30']","[4.615662555590479, 5.802955273018014, 3.6319125203520137, 6.328022912015438, 6.856976659491538, 2.302571304799221, 6.808330159003743, 4.724066314146302, 1.0405468809586687, 3.180133213495788]","1_lag_10_median_glTSjfm, 1_lag_8_median_naoPSLjfm, 1_lag_22_median_tripol3, 1_lag_13_median_mhfATL30, 8_lag_glTSjfm, 1_lag_10_median_nchinaPRjja, 3_lag_traTLS, 1_lag_8_median_shSICsep, 8_lag_stratZ50ndj01, 1_lag_3_median_mhfIP30_2752_1"
LRforcedPSO,9,10,gyreSSTjfm,picntrl,1723.5,2050.5,0.6,24,1,1,16.549081179050656,0.0186057818575422,2880,"['16_lag_mhfATL30', '5_lag_stratZ50ndj03', '10_lag_mhfIP30', '1_lag_traDS', '1_lag_3_median_ensoSSTjfm', '5_lag_traFSC', '1_lag_22_median_traBS', '6_lag_traEC', '8_lag_eapPSLjfm', '1_lag_23_median_traMC']","[0.09402392975328766, 4.482168863337284, 6.632416793765476, 0.29887352969171666, 7.455739860915955, 1.3352261003704253, 7.871210004329214, 8.162541632694172, 1.0203436585713028, 0.8215269475363911]","16_lag_mhfATL30, 5_lag_stratZ50ndj03, 10_lag_mhfIP30, 1_lag_traDS, 1_lag_3_median_ensoSSTjfm, 5_lag_traFSC, 1_lag_22_median_traBS, 6_lag_traEC, 8_lag_eapPSLjfm, 1_lag_23_median_traMC_2880_1"
