model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,ismPRjja,picntrl,1066.5,2050.5,0.4,15,5,5,15.055935012448582,-0.008669306888871476,1216,"['5_lag_11_median_atlSICsep', '7_lag_seurTSjfm', '5_lag_6_median_traDS', '5_lag_13_median_traTLS', '5_lag_9_median_alpi', '5_lag_11_median_shTSjfm', '11_lag_traMC', '5_lag_11_median_tripol2', '5_lag_13_median_ensoSSTjfm', '7_lag_mhfIP30']","[3.2934124944586474, 3.3257383318115163, 1.2051820969784917, 4.401745647863869, 2.9681586751061833, 0.40611208434842716, 0.3966672593292113, 6.163413296447974, 1.6984818202779053, 4.618042683056336]","5_lag_11_median_atlSICsep, 7_lag_seurTSjfm, 5_lag_6_median_traDS, 5_lag_13_median_traTLS, 5_lag_9_median_alpi, 5_lag_11_median_shTSjfm, 11_lag_traMC, 5_lag_11_median_tripol2, 5_lag_13_median_ensoSSTjfm, 7_lag_mhfIP30_1216_5"
LRforcedPSO,1,10,ismPRjja,picntrl,1067.5,2050.5,0.4,16,6,6,15.652673505659436,-0.05650320167404693,1216,"['14_lag_cetTSjfm', '6_lag_13_median_satlSSTjfm', '6_lag_13_median_ormenSSTjfm', '12_lag_eurPSLjfm', '6_lag_12_median_traTLS', '6_lag_15_median_mhfATL30', '10_lag_seurTSjfm', '6_lag_9_median_traIT', '6_lag_11_median_AMOCann', '6_lag_9_median_mhfATL30']","[6.217452770856329, 3.6820964922331925, 3.419361419430409, 6.993647741120807, 1.1695933305880502, 4.469891202204945, 0.19637018062940825, 0.9137683073923935, 4.459524816987649, 1.382670212357489]","14_lag_cetTSjfm, 6_lag_13_median_satlSSTjfm, 6_lag_13_median_ormenSSTjfm, 12_lag_eurPSLjfm, 6_lag_12_median_traTLS, 6_lag_15_median_mhfATL30, 10_lag_seurTSjfm, 6_lag_9_median_traIT, 6_lag_11_median_AMOCann, 6_lag_9_median_mhfATL30_1216_6"
LRforcedPSO,2,10,ismPRjja,picntrl,1068.5,2050.5,0.4,17,7,7,16.41438190437169,0.04718226260253715,1216,"['7_lag_16_median_traEU', '9_lag_samPSLann', '16_lag_atlSICjfm', '7_lag_13_median_yrvPRjja', '16_lag_mhfIP30', '7_lag_8_median_tripol1', '13_lag_nchinaPRjja', '7_lag_11_median_stratZ50ndj01', '7_lag_11_median_neurTSjfm', '7_lag_13_median_stratZ50ndj02']","[0.969105673208027, 0.8193804297919609, 3.32334229491064, 3.0796198911365913, 2.2330853197952365, 1.4422214329724596, 0.8952364493369309, 5.870646117610793, 7.802021366375569, 6.4710302006656235]","7_lag_16_median_traEU, 9_lag_samPSLann, 16_lag_atlSICjfm, 7_lag_13_median_yrvPRjja, 16_lag_mhfIP30, 7_lag_8_median_tripol1, 13_lag_nchinaPRjja, 7_lag_11_median_stratZ50ndj01, 7_lag_11_median_neurTSjfm, 7_lag_13_median_stratZ50ndj02_1216_7"
LRforcedPSO,3,10,ismPRjja,picntrl,1069.5,2050.5,0.4,18,8,8,15.692480354377095,-0.014453824110264083,1216,"['13_lag_traIFC', '13_lag_samPSLann', '8_lag_11_median_traIT', '12_lag_tripol1', '8_lag_11_median_stratZ50ndj03', '8_lag_15_median_traDP', '8_lag_9_median_traEU', '16_lag_nhSICsep', '8_lag_16_median_stratZ50ndj01', '16_lag_traMC']","[2.3618795507796655, 8.032732990542364, 1.2545007640766421, 4.196733965090047, 5.091038498054068, 4.26440899682747, 0.6192539756893964, 0.3489636092201902, 2.2600640954706215, 2.7913410202107904]","13_lag_traIFC, 13_lag_samPSLann, 8_lag_11_median_traIT, 12_lag_tripol1, 8_lag_11_median_stratZ50ndj03, 8_lag_15_median_traDP, 8_lag_9_median_traEU, 16_lag_nhSICsep, 8_lag_16_median_stratZ50ndj01, 16_lag_traMC_1216_8"
LRforcedPSO,4,10,ismPRjja,picntrl,1070.5,2050.5,0.4,19,9,9,16.042955059223193,0.012643908231645901,1216,"['9_lag_10_median_alpi', '10_lag_stratZ50ndj02', '14_lag_pdoSSTjfm', '9_lag_18_median_traMC', '9_lag_17_median_traDP', '9_lag_14_median_ormenSSTjfm', '16_lag_traFS', '11_lag_traTLS', '9_lag_18_median_traBS', '9_lag_14_median_alpi']","[3.7781156202799444, 1.046240754838088, 1.2074988776168318, 3.0457844470591837, 0.8991990107588972, 0.5260457227947164, 1.0597761625276227, 4.522349918618103, 9.13251635993295, 3.2556442913823]","9_lag_10_median_alpi, 10_lag_stratZ50ndj02, 14_lag_pdoSSTjfm, 9_lag_18_median_traMC, 9_lag_17_median_traDP, 9_lag_14_median_ormenSSTjfm, 16_lag_traFS, 11_lag_traTLS, 9_lag_18_median_traBS, 9_lag_14_median_alpi_1216_9"
LRforcedPSO,5,10,ismPRjja,picntrl,1071.5,2050.5,0.4,20,10,10,14.884553773703411,-0.01255632756162614,1216,"['10_lag_11_median_glTSjfm', '10_lag_19_median_traFS', '15_lag_ensoSSTjfm', '10_lag_cetTSjfm', '10_lag_18_median_nchinaPRjja', '10_lag_19_median_traBO', '11_lag_mhfATL45', '11_lag_labSSTjfm', '10_lag_12_median_stratZ50ndj04', '10_lag_17_median_mhfATL45']","[4.119119705947181, 1.263524124697689, 0.2441958815808647, 1.9280764212924613, 4.20343911555205, 2.5217046106896195, 6.2345310714385676, 5.930335128234159, 2.2587380730749773, 7.566696018793689]","10_lag_11_median_glTSjfm, 10_lag_19_median_traFS, 15_lag_ensoSSTjfm, 10_lag_cetTSjfm, 10_lag_18_median_nchinaPRjja, 10_lag_19_median_traBO, 11_lag_mhfATL45, 11_lag_labSSTjfm, 10_lag_12_median_stratZ50ndj04, 10_lag_17_median_mhfATL45_1216_10"
LRforcedPSO,6,10,ismPRjja,picntrl,1072.5,2050.5,0.4,21,11,11,16.403467842854976,0.021173484239830658,1216,"['11_lag_17_median_traEU', '11_lag_19_median_atlSICsep', '11_lag_13_median_pdoSSTjfm', '18_lag_seurTSjfm', '11_lag_amo2', '19_lag_ensoSSTjfm', '17_lag_amo3', '11_lag_19_median_atlSICjfm', '11_lag_15_median_amo1', '11_lag_17_median_nhSICjfm']","[1.6386815683742402, 2.349158998092573, 3.8071014903621183, 0.9704612696716612, 6.3648153301960235, 5.057390372094687, 2.2787973060592055, 1.2225465296454647, 6.943829787269557, 1.6317705546428982]","11_lag_17_median_traEU, 11_lag_19_median_atlSICsep, 11_lag_13_median_pdoSSTjfm, 18_lag_seurTSjfm, 11_lag_amo2, 19_lag_ensoSSTjfm, 17_lag_amo3, 11_lag_19_median_atlSICjfm, 11_lag_15_median_amo1, 11_lag_17_median_nhSICjfm_1216_11"
LRforcedPSO,7,10,ismPRjja,picntrl,1073.5,2050.5,0.4,22,12,12,19.219479000922593,-0.020268980887469295,1216,"['19_lag_satlSSTjfm', '15_lag_amo1', '19_lag_ginwSSTjfm', '12_lag_eurPSLjfm', '12_lag_14_median_traDP', '12_lag_19_median_traTLS', '12_lag_21_median_mhfATL60', '13_lag_yrvPRjja', '17_lag_tripol1', '12_lag_14_median_naoPSLjfm']","[2.523705748045259, 5.2446686552734985, 4.020202531203239, 1.0701756953698123, 6.345658514838748, 6.222514250211435, 1.849219074005969, 3.7831092285345562, 3.2092282180775555, 2.7096307622550224]","19_lag_satlSSTjfm, 15_lag_amo1, 19_lag_ginwSSTjfm, 12_lag_eurPSLjfm, 12_lag_14_median_traDP, 12_lag_19_median_traTLS, 12_lag_21_median_mhfATL60, 13_lag_yrvPRjja, 17_lag_tripol1, 12_lag_14_median_naoPSLjfm_1216_12"
LRforcedPSO,8,10,ismPRjja,picntrl,1074.5,2050.5,0.4,23,13,13,18.451560744838428,0.011870888174818711,1216,"['13_lag_15_median_eapPSLjfm', '17_lag_AMOCann', '21_lag_labSSTjfm', '17_lag_labSSTjfm', '13_lag_17_median_traWP', '13_lag_20_median_yrvPRjja', '20_lag_traFS', '18_lag_mhfATL60', '18_lag_ginwSSTjfm', '13_lag_cetTSjfm']","[4.48138171145845, 2.7416041917987677, 7.413667301849461, 5.5139574579740405, 1.8804712298806763, 4.437851515928449, 6.7070359016720165, 1.9285853154993688, 1.2700970793391182, 7.487632098392268]","13_lag_15_median_eapPSLjfm, 17_lag_AMOCann, 21_lag_labSSTjfm, 17_lag_labSSTjfm, 13_lag_17_median_traWP, 13_lag_20_median_yrvPRjja, 20_lag_traFS, 18_lag_mhfATL60, 18_lag_ginwSSTjfm, 13_lag_cetTSjfm_1216_13"
LRforcedPSO,9,10,ismPRjja,picntrl,1075.5,2050.5,0.4,24,14,14,15.767336167977781,0.033998125159751404,1216,"['14_lag_18_median_stratZ50ndj04', '14_lag_18_median_traBO', '14_lag_21_median_neurTSjfm', '22_lag_glTSjfm', '23_lag_mhfIP30', '14_lag_19_median_traWP', '15_lag_traBS', '20_lag_shSICmar', '15_lag_tripol3', '14_lag_15_median_stratZ50ndj04']","[4.669963114047575, 1.7651925509829507, 2.2577748920040364, 2.5172854593183054, 2.2356699107365685, 8.365848739088019, 0.5521210153478293, 2.0211408025699313, 5.316280591192339, 3.284800717370377]","14_lag_18_median_stratZ50ndj04, 14_lag_18_median_traBO, 14_lag_21_median_neurTSjfm, 22_lag_glTSjfm, 23_lag_mhfIP30, 14_lag_19_median_traWP, 15_lag_traBS, 20_lag_shSICmar, 15_lag_tripol3, 14_lag_15_median_stratZ50ndj04_1216_14"
