model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,ismPRjja,picntrl,1514.5,2050.5,0.8,15,1,1,14.978102268247115,-0.07063351853339137,1728,"['8_lag_shSICsep', '5_lag_scpPSLjfm', '1_lag_amoSSTmjjaso', '1_lag_5_median_tripol3', '4_lag_traBS', '12_lag_traDS', '14_lag_eurPSLjfm', '7_lag_amo2', '6_lag_mhfATL60', '9_lag_amo1', '11_lag_traWP', '11_lag_traEU', '9_lag_nppc3SSTjfm', '7_lag_stratZ50ndj04', '12_lag_mhfATL60', '12_lag_amo3', '3_lag_scpPSLjfm', '5_lag_stratZ50ndj02', '6_lag_amo2', '12_lag_traFSC', '4_lag_ginwSSTjfm', '7_lag_seurTSjfm', '12_lag_satlSSTjfm', '10_lag_nppc3SSTjfm', '13_lag_alpi', '9_lag_ismPRjja', '4_lag_stratZ50ndj02', '1_lag_ismPRjja', '5_lag_tripol3', '13_lag_traMC']","[0.045602204887694765, 0.10933321135985444, 0.044324730115079584, 0.16222945805755457, 0.055481462028524685, 0.02199283214526947, 0.08264230475934137, 0.07786608912582839, 0.13577671493743992, 0.058887733417203054, 0.05605224769940802, 0.11622213788686703, 0.09234328462950749, 0.09144218783024173, 0.06887129972599043, 0.11183315818184332, 0.11509570913393707, 0.0774818519348982, 0.07732587619700601, 0.07769812235885629, 0.12209395061387054, 0.058006245270424396, 0.061949750522047306, 0.10740476431340484, 0.030693425565367426, 0.08601376788663792, 0.03348835307007456, 0.03617078409205053, 0.12677605993480467, 0.11373888120049924]","8_lag_shSICsep, 5_lag_scpPSLjfm, 1_lag_amoSSTmjjaso, 1_lag_5_median_tripol3, 4_lag_traBS, 12_lag_traDS, 14_lag_eurPSLjfm, 7_lag_amo2, 6_lag_mhfATL60, 9_lag_amo1, 11_lag_traWP, 11_lag_traEU, 9_lag_nppc3SSTjfm, 7_lag_stratZ50ndj04, 12_lag_mhfATL60, 12_lag_amo3, 3_lag_scpPSLjfm, 5_lag_stratZ50ndj02, 6_lag_amo2, 12_lag_traFSC, 4_lag_ginwSSTjfm, 7_lag_seurTSjfm, 12_lag_satlSSTjfm, 10_lag_nppc3SSTjfm, 13_lag_alpi, 9_lag_ismPRjja, 4_lag_stratZ50ndj02, 1_lag_ismPRjja, 5_lag_tripol3, 13_lag_traMC_1728_1"
LinearRegression,1,30,ismPRjja,picntrl,1515.5,2050.5,0.8,16,1,1,14.696696762991722,-0.06047503025931153,1856,"['11_lag_traEU', '5_lag_traTLS', '1_lag_satlSSTjfm', '4_lag_traBS', '11_lag_traWP', '1_lag_traTLS', '6_lag_amo2', '14_lag_traFB', '14_lag_eurPSLjfm', '5_lag_scpPSLjfm', '14_lag_traWP', '10_lag_atlSICsep', '11_lag_traBS', '14_lag_shTSjfm', '4_lag_ginwSSTjfm', '15_lag_ormenSSTjfm', '12_lag_satlSSTjfm', '7_lag_seurTSjfm', '7_lag_stratZ50ndj04', '15_lag_amoSSTmjjaso', '12_lag_traFSC', '13_lag_alpi', '9_lag_nppc3SSTjfm', '9_lag_ismPRjja', '5_lag_stratZ50ndj02', '10_lag_nppc3SSTjfm', '4_lag_stratZ50ndj02', '1_lag_ismPRjja', '5_lag_tripol3', '13_lag_traMC']","[0.1340807176429473, 0.14749723924687536, 0.10762850822572416, 0.023624050502801246, 0.0194306312838648, 0.15111746923667915, 0.05194667392280177, 0.05272151334749661, 0.0885360862376315, 0.09082365564754237, 0.05565183273446435, 0.06972679635914207, 0.05595975565197019, 0.01122098323165339, 0.10721828719971793, 0.06229250746865789, 0.08692823396756735, 0.06122440726992909, 0.09050115553351869, 0.03243917679360444, 0.03108366316382154, 0.027156803877581757, 0.11323755644275048, 0.053162881629273503, 0.056130693846659294, 0.09304718436308784, 0.06762799446511786, 0.014433381302868245, 0.11667363406328779, 0.08265313242719985]","11_lag_traEU, 5_lag_traTLS, 1_lag_satlSSTjfm, 4_lag_traBS, 11_lag_traWP, 1_lag_traTLS, 6_lag_amo2, 14_lag_traFB, 14_lag_eurPSLjfm, 5_lag_scpPSLjfm, 14_lag_traWP, 10_lag_atlSICsep, 11_lag_traBS, 14_lag_shTSjfm, 4_lag_ginwSSTjfm, 15_lag_ormenSSTjfm, 12_lag_satlSSTjfm, 7_lag_seurTSjfm, 7_lag_stratZ50ndj04, 15_lag_amoSSTmjjaso, 12_lag_traFSC, 13_lag_alpi, 9_lag_nppc3SSTjfm, 9_lag_ismPRjja, 5_lag_stratZ50ndj02, 10_lag_nppc3SSTjfm, 4_lag_stratZ50ndj02, 1_lag_ismPRjja, 5_lag_tripol3, 13_lag_traMC_1856_1"
LinearRegression,2,30,ismPRjja,picntrl,1516.5,2050.5,0.8,17,1,1,15.659723615053107,-0.15475706117900367,1984,"['3_lag_nchinaPRjja', '13_lag_glomaSSTjfm', '16_lag_traTLS', '7_lag_eurPSLjfm', '8_lag_traEU', '7_lag_seurTSjfm', '11_lag_shSICmar', '14_lag_shTSjfm', '4_lag_traBS', '8_lag_traBS', '12_lag_satlSSTjfm', '14_lag_eurPSLjfm', '14_lag_traFB', '10_lag_nppc3SSTjfm', '4_lag_ginwSSTjfm', '9_lag_nppc3SSTjfm', '9_lag_ismPRjja', '1_lag_traTLS', '11_lag_traEU', '12_lag_traFSC', '7_lag_stratZ50ndj04', '15_lag_amoSSTmjjaso', '5_lag_stratZ50ndj02', '10_lag_atlSICsep', '13_lag_alpi', '5_lag_tripol3', '16_lag_nhSICsep', '4_lag_stratZ50ndj02', '1_lag_ismPRjja', '13_lag_traMC']","[0.08614949108556169, 0.1670612375865041, 0.03814384006193225, 0.0731912990011963, 0.03438288507422982, 0.05002135336111771, 0.02354614815758003, 0.011156534247363206, 0.08292564593754555, 0.1221803692360225, 0.10907965532456526, 0.07875965704079319, 0.00361019311192691, 0.09854904383882115, 0.11396035664848365, 0.09650165696869165, 0.057106811783419455, 0.11309194746460949, 0.09542013361754251, 0.033940887162830675, 0.09672601192969198, 0.05735440583240683, 0.06134503933734351, 0.0797555976326764, 0.052865501869790485, 0.10631272661066385, 0.07092507372736118, 0.06359233224907093, 0.01740175586298049, 0.09150420062959719]","3_lag_nchinaPRjja, 13_lag_glomaSSTjfm, 16_lag_traTLS, 7_lag_eurPSLjfm, 8_lag_traEU, 7_lag_seurTSjfm, 11_lag_shSICmar, 14_lag_shTSjfm, 4_lag_traBS, 8_lag_traBS, 12_lag_satlSSTjfm, 14_lag_eurPSLjfm, 14_lag_traFB, 10_lag_nppc3SSTjfm, 4_lag_ginwSSTjfm, 9_lag_nppc3SSTjfm, 9_lag_ismPRjja, 1_lag_traTLS, 11_lag_traEU, 12_lag_traFSC, 7_lag_stratZ50ndj04, 15_lag_amoSSTmjjaso, 5_lag_stratZ50ndj02, 10_lag_atlSICsep, 13_lag_alpi, 5_lag_tripol3, 16_lag_nhSICsep, 4_lag_stratZ50ndj02, 1_lag_ismPRjja, 13_lag_traMC_1984_1"
LinearRegression,3,30,ismPRjja,picntrl,1517.5,2050.5,0.8,18,1,1,15.90029941489488,-0.15616735403869111,2112,"['16_lag_ismPRjja', '7_lag_eurPSLjfm', '17_lag_tripol3', '6_lag_ismPRjja', '12_lag_satlSSTjfm', '14_lag_amo1', '9_lag_nppc3SSTjfm', '12_lag_arcTSjfm', '12_lag_traFSC', '1_lag_traTLS', '10_lag_nppc3SSTjfm', '5_lag_stratZ50ndj02', '14_lag_traWP', '17_lag_nppc2SSTjfm', '4_lag_ginwSSTjfm', '15_lag_amoSSTmjjaso', '13_lag_glomaSSTjfm', '3_lag_nchinaPRjja', '9_lag_ismPRjja', '7_lag_stratZ50ndj04', '17_lag_stratZ50ndj01', '14_lag_eurPSLjfm', '13_lag_alpi', '16_lag_nhSICsep', '5_lag_tripol3', '10_lag_atlSICsep', '4_lag_stratZ50ndj02', '11_lag_traEU', '13_lag_traMC', '1_lag_ismPRjja']","[0.12329759033079009, 0.09480520629014921, 0.04194562866139557, 0.10570230078274091, 0.07539921202771872, 0.03834656875409365, 0.06795719506943469, 0.03680982055008804, 0.02412502240256358, 0.11574094057986772, 0.10238076396707387, 0.08713554912192159, 0.03690082248127503, 0.15506080490305715, 0.1154351191353316, 0.03747297922150507, 0.14617681151113718, 0.08266199157311092, 0.06712723774178604, 0.10053828622004768, 0.02520182609614665, 0.1025915203936255, 0.060853124264459796, 0.085769428835057, 0.09953084448550358, 0.0697844336124629, 0.04210312920955162, 0.1149004055856946, 0.07719407675462855, 0.003542379514522158]","16_lag_ismPRjja, 7_lag_eurPSLjfm, 17_lag_tripol3, 6_lag_ismPRjja, 12_lag_satlSSTjfm, 14_lag_amo1, 9_lag_nppc3SSTjfm, 12_lag_arcTSjfm, 12_lag_traFSC, 1_lag_traTLS, 10_lag_nppc3SSTjfm, 5_lag_stratZ50ndj02, 14_lag_traWP, 17_lag_nppc2SSTjfm, 4_lag_ginwSSTjfm, 15_lag_amoSSTmjjaso, 13_lag_glomaSSTjfm, 3_lag_nchinaPRjja, 9_lag_ismPRjja, 7_lag_stratZ50ndj04, 17_lag_stratZ50ndj01, 14_lag_eurPSLjfm, 13_lag_alpi, 16_lag_nhSICsep, 5_lag_tripol3, 10_lag_atlSICsep, 4_lag_stratZ50ndj02, 11_lag_traEU, 13_lag_traMC, 1_lag_ismPRjja_2112_1"
LinearRegression,4,30,ismPRjja,picntrl,1518.5,2050.5,0.8,19,1,1,15.65651231232975,-0.13214738811994936,2240,"['5_lag_stratZ50ndj02', '15_lag_tripol3', '11_lag_nchinaPRjja', '3_lag_scpPSLjfm', '16_lag_ismPRjja', '5_lag_scpPSLjfm', '4_lag_ginwSSTjfm', '13_lag_glomaSSTjfm', '17_lag_tripol3', '10_lag_nppc3SSTjfm', '17_lag_nppc2SSTjfm', '5_lag_traTLS', '15_lag_amoSSTmjjaso', '17_lag_neurTSjfm', '12_lag_arcTSjfm', '12_lag_satlSSTjfm', '7_lag_stratZ50ndj04', '1_lag_traTLS', '16_lag_nhSICsep', '9_lag_ismPRjja', '14_lag_eurPSLjfm', '3_lag_nchinaPRjja', '14_lag_traWP', '13_lag_alpi', '5_lag_tripol3', '10_lag_atlSICsep', '11_lag_traEU', '13_lag_traMC', '4_lag_stratZ50ndj02', '1_lag_ismPRjja']","[0.06591984720763526, 0.10218403803814384, 0.08192651693467774, 0.13325689244754285, 0.13376202492375877, 0.07519500192240866, 0.11566293992713517, 0.1657060804784292, 0.016327696954724642, 0.05875821698924019, 0.15186410029159159, 0.14360350459843932, 0.08210045640919958, 0.06537590299722836, 0.019223677697345738, 0.1098195093470493, 0.10666891304702576, 0.14726935907515082, 0.07348721595417756, 0.07116335821766195, 0.0648538714239044, 0.08866824231161553, 0.059773419184557745, 0.05504679546263169, 0.10395074325535446, 0.07501414684438477, 0.11966880580833184, 0.06869282422084, 0.0613901631495131, 0.007960696322002305]","5_lag_stratZ50ndj02, 15_lag_tripol3, 11_lag_nchinaPRjja, 3_lag_scpPSLjfm, 16_lag_ismPRjja, 5_lag_scpPSLjfm, 4_lag_ginwSSTjfm, 13_lag_glomaSSTjfm, 17_lag_tripol3, 10_lag_nppc3SSTjfm, 17_lag_nppc2SSTjfm, 5_lag_traTLS, 15_lag_amoSSTmjjaso, 17_lag_neurTSjfm, 12_lag_arcTSjfm, 12_lag_satlSSTjfm, 7_lag_stratZ50ndj04, 1_lag_traTLS, 16_lag_nhSICsep, 9_lag_ismPRjja, 14_lag_eurPSLjfm, 3_lag_nchinaPRjja, 14_lag_traWP, 13_lag_alpi, 5_lag_tripol3, 10_lag_atlSICsep, 11_lag_traEU, 13_lag_traMC, 4_lag_stratZ50ndj02, 1_lag_ismPRjja_2240_1"
LinearRegression,5,30,ismPRjja,picntrl,1519.5,2050.5,0.8,20,1,1,15.577426547773399,-0.1666350678900644,2368,"['18_lag_shTSjfm', '17_lag_neurTSjfm', '15_lag_traWP', '1_lag_traTLS', '15_lag_amoSSTmjjaso', '17_lag_stratZ50ndj03', '5_lag_scpPSLjfm', '16_lag_ismPRjja', '14_lag_eurPSLjfm', '10_lag_nppc3SSTjfm', '15_lag_tripol3', '3_lag_nchinaPRjja', '12_lag_arcTSjfm', '5_lag_stratZ50ndj02', '5_lag_traTLS', '7_lag_stratZ50ndj04', '19_lag_traBO', '16_lag_nhSICsep', '5_lag_tripol3', '12_lag_satlSSTjfm', '19_lag_atlSICjfm', '9_lag_ismPRjja', '19_lag_traFS', '14_lag_traWP', '13_lag_alpi', '13_lag_traMC', '10_lag_atlSICsep', '4_lag_stratZ50ndj02', '11_lag_traEU', '1_lag_ismPRjja']","[0.03013122406231257, 0.02667934792955466, 0.12539823509370598, 0.12678809623991813, 0.04515140753845404, 0.0473277426508935, 0.10963991193559751, 0.1349505339423302, 0.09425999420432452, 0.02833635379371898, 0.10028893259022378, 0.09158995111995756, 0.04058663263667895, 0.062189361786020275, 0.14392896247431686, 0.10103329039962576, 0.018416753622820362, 0.08984882057536347, 0.11131158676895692, 0.0824649389369507, 0.0016718651375370978, 0.06550660936699139, 0.060798142565905836, 0.09773258266098836, 0.034558522613833735, 0.06429387210055575, 0.07508524055421181, 0.0784963666117032, 0.1739453373575177, 0.032108783938969813]","18_lag_shTSjfm, 17_lag_neurTSjfm, 15_lag_traWP, 1_lag_traTLS, 15_lag_amoSSTmjjaso, 17_lag_stratZ50ndj03, 5_lag_scpPSLjfm, 16_lag_ismPRjja, 14_lag_eurPSLjfm, 10_lag_nppc3SSTjfm, 15_lag_tripol3, 3_lag_nchinaPRjja, 12_lag_arcTSjfm, 5_lag_stratZ50ndj02, 5_lag_traTLS, 7_lag_stratZ50ndj04, 19_lag_traBO, 16_lag_nhSICsep, 5_lag_tripol3, 12_lag_satlSSTjfm, 19_lag_atlSICjfm, 9_lag_ismPRjja, 19_lag_traFS, 14_lag_traWP, 13_lag_alpi, 13_lag_traMC, 10_lag_atlSICsep, 4_lag_stratZ50ndj02, 11_lag_traEU, 1_lag_ismPRjja_2368_1"
LinearRegression,6,30,ismPRjja,picntrl,1520.5,2050.5,0.8,21,1,1,15.256561591921908,-0.0649518095263331,2496,"['12_lag_mhfATL60', '20_lag_shTSjfm', '5_lag_scpPSLjfm', '10_lag_traMC', '12_lag_arcTSjfm', '4_lag_ginwSSTjfm', '8_lag_traBS', '3_lag_nchinaPRjja', '14_lag_traFB', '14_lag_eurPSLjfm', '20_lag_eurPSLjfm', '19_lag_traFS', '7_lag_stratZ50ndj04', '16_lag_nhSICsep', '5_lag_traTLS', '10_lag_nppc3SSTjfm', '9_lag_ismPRjja', '19_lag_atlSICjfm', '18_lag_eapPSLjfm', '20_lag_stratZ50ndj01', '5_lag_tripol3', '12_lag_satlSSTjfm', '13_lag_traMC', '19_lag_traBO', '13_lag_alpi', '14_lag_traWP', '11_lag_traEU', '4_lag_stratZ50ndj02', '10_lag_atlSICsep', '1_lag_ismPRjja']","[0.06396795050053622, 0.00950197247628898, 0.09083174933750765, 0.17332058511953885, 0.04177747062155686, 0.07310769306163954, 0.14700182981982227, 0.10331992309571263, 0.009746008918920425, 0.09115966390689811, 0.017718677840955342, 0.008173356007446987, 0.10761569796105847, 0.096725680692386, 0.15531364168161868, 0.03020144610248283, 0.07011766188028952, 0.048047975536466316, 0.10757553052399066, 0.11453609195411481, 0.09891409034037184, 0.062282490861923875, 0.053501843838394125, 0.07428673615570462, 0.01307613612987853, 0.06701020115224969, 0.1531021670236799, 0.12760232339297528, 0.1103408083557954, 0.03110867301479834]","12_lag_mhfATL60, 20_lag_shTSjfm, 5_lag_scpPSLjfm, 10_lag_traMC, 12_lag_arcTSjfm, 4_lag_ginwSSTjfm, 8_lag_traBS, 3_lag_nchinaPRjja, 14_lag_traFB, 14_lag_eurPSLjfm, 20_lag_eurPSLjfm, 19_lag_traFS, 7_lag_stratZ50ndj04, 16_lag_nhSICsep, 5_lag_traTLS, 10_lag_nppc3SSTjfm, 9_lag_ismPRjja, 19_lag_atlSICjfm, 18_lag_eapPSLjfm, 20_lag_stratZ50ndj01, 5_lag_tripol3, 12_lag_satlSSTjfm, 13_lag_traMC, 19_lag_traBO, 13_lag_alpi, 14_lag_traWP, 11_lag_traEU, 4_lag_stratZ50ndj02, 10_lag_atlSICsep, 1_lag_ismPRjja_2496_1"
LinearRegression,7,30,ismPRjja,picntrl,1521.5,2050.5,0.8,22,2,2,16.061906337427,-0.13692172353488827,2496,"['16_lag_amoSSTmjjaso', '14_lag_alpi', '7_lag_stratZ50ndj04', '20_lag_shTSjfm', '19_lag_traFS', '15_lag_shSICsep', '15_lag_traWP', '5_lag_traTLS', '2_lag_traBO', '2_lag_tripol3', '12_lag_satlSSTjfm', '20_lag_stratZ50ndj01', '19_lag_traBO', '2_lag_atlSICsep', '14_lag_eurPSLjfm', '16_lag_nhSICsep', '5_lag_scpPSLjfm', '13_lag_traMC', '12_lag_mhfATL60', '2_lag_traWP', '4_lag_stratZ50ndj02', '10_lag_traMC', '18_lag_eapPSLjfm', '14_lag_traWP', '16_lag_ismPRjja', '15_lag_tripol3', '5_lag_stratZ50ndj02', '21_lag_mhfATL30', '11_lag_traEU', '10_lag_atlSICsep']","[0.026691667102528505, 0.04333711460472808, 0.12010158343515813, 0.011747215150077487, 0.03748352722918282, 0.016600107105397787, 0.08324093491661978, 0.14544104388072415, 0.08631574571569245, 0.01543957940820014, 0.07275328443661708, 0.09923662546669887, 0.04741255739617375, 0.07151606853170261, 0.07839410335551174, 0.10938670355714453, 0.10027447824569483, 0.06147604550166828, 0.06900598508957251, 0.10260013648828387, 0.11150729292802934, 0.15070812612936263, 0.14037703550453337, 0.0985851965792882, 0.1105947914949425, 0.11258107339164689, 0.041052648834139345, 0.06136458147051653, 0.13988471161927873, 0.11366288333573596]","16_lag_amoSSTmjjaso, 14_lag_alpi, 7_lag_stratZ50ndj04, 20_lag_shTSjfm, 19_lag_traFS, 15_lag_shSICsep, 15_lag_traWP, 5_lag_traTLS, 2_lag_traBO, 2_lag_tripol3, 12_lag_satlSSTjfm, 20_lag_stratZ50ndj01, 19_lag_traBO, 2_lag_atlSICsep, 14_lag_eurPSLjfm, 16_lag_nhSICsep, 5_lag_scpPSLjfm, 13_lag_traMC, 12_lag_mhfATL60, 2_lag_traWP, 4_lag_stratZ50ndj02, 10_lag_traMC, 18_lag_eapPSLjfm, 14_lag_traWP, 16_lag_ismPRjja, 15_lag_tripol3, 5_lag_stratZ50ndj02, 21_lag_mhfATL30, 11_lag_traEU, 10_lag_atlSICsep_2496_2"
LinearRegression,8,30,ismPRjja,picntrl,1522.5,2050.5,0.8,23,3,3,15.833003072624727,-0.12847406946042772,2496,"['5_lag_traTLS', '16_lag_nhSICsep', '17_lag_traWP', '12_lag_mhfATL60', '22_lag_eapPSLjfm', '15_lag_shSICsep', '18_lag_eapPSLjfm', '7_lag_yrvPRjja', '13_lag_traEC', '10_lag_traIFC', '11_lag_traMC', '7_lag_stratZ50ndj04', '11_lag_nchinaPRjja', '21_lag_mhfATL30', '3_lag_nchinaPRjja', '6_lag_ismPRjja', '7_lag_eurPSLjfm', '20_lag_shTSjfm', '16_lag_ismPRjja', '14_lag_traWP', '10_lag_traMC', '5_lag_scpPSLjfm', '17_lag_stratZ50ndj03', '22_lag_amo2', '12_lag_satlSSTjfm', '5_lag_stratZ50ndj02', '15_lag_tripol3', '11_lag_traEU', '22_lag_alpi', '10_lag_atlSICsep']","[0.12976193546481482, 0.0802084657368683, 0.09554723865763409, 0.03639564335694785, 0.05432302356849792, 0.03071140650430288, 0.09126394780554153, 0.05662371018901392, 0.06983218027344845, 0.027284938960037464, 0.07662824503939344, 0.083759932520927, 0.08679898752462545, 0.09522938470066741, 0.06305219962133365, 0.11302211056135991, 0.08563158000862002, 0.0417602567574576, 0.11461889004984335, 0.06347896317094691, 0.14918977086086915, 0.12618680208683533, 0.05373113969912524, 0.11772998600773543, 0.04058533462280787, 0.04697147486539707, 0.10343468372123202, 0.1602742514359644, 0.05590236280517339, 0.08157856146296329]","5_lag_traTLS, 16_lag_nhSICsep, 17_lag_traWP, 12_lag_mhfATL60, 22_lag_eapPSLjfm, 15_lag_shSICsep, 18_lag_eapPSLjfm, 7_lag_yrvPRjja, 13_lag_traEC, 10_lag_traIFC, 11_lag_traMC, 7_lag_stratZ50ndj04, 11_lag_nchinaPRjja, 21_lag_mhfATL30, 3_lag_nchinaPRjja, 6_lag_ismPRjja, 7_lag_eurPSLjfm, 20_lag_shTSjfm, 16_lag_ismPRjja, 14_lag_traWP, 10_lag_traMC, 5_lag_scpPSLjfm, 17_lag_stratZ50ndj03, 22_lag_amo2, 12_lag_satlSSTjfm, 5_lag_stratZ50ndj02, 15_lag_tripol3, 11_lag_traEU, 22_lag_alpi, 10_lag_atlSICsep_2496_3"
LinearRegression,9,30,ismPRjja,picntrl,1523.5,2050.5,0.8,24,4,4,16.065121257564975,-0.14713497347361032,2496,"['23_lag_alpi', '20_lag_shTSjfm', '11_lag_traDS', '11_lag_traMC', '18_lag_shTSjfm', '15_lag_traWP', '14_lag_alpi', '17_lag_neurTSjfm', '14_lag_traWP', '17_lag_traWP', '7_lag_yrvPRjja', '13_lag_traMC', '10_lag_traMC', '21_lag_mhfATL30', '7_lag_eurPSLjfm', '4_lag_traBS', '16_lag_ismPRjja', '7_lag_stratZ50ndj04', '4_lag_stratZ50ndj02', '23_lag_nchinaPRjja', '15_lag_shSICsep', '22_lag_amo2', '17_lag_stratZ50ndj03', '11_lag_nchinaPRjja', '23_lag_scpPSLjfm', '11_lag_traEU', '15_lag_tripol3', '12_lag_satlSSTjfm', '22_lag_alpi', '10_lag_atlSICsep']","[0.047409244731050335, 0.04082361134042746, 0.06372114639542877, 0.05772040554989449, 0.04199772985708856, 0.04992277684681298, 0.027295346444929126, 0.021101078314377287, 0.08703603977335855, 0.08973654602028244, 0.07018154314758125, 0.09092503335379588, 0.14917337845113485, 0.10758578484121427, 0.09600754292393983, 0.04185429057381737, 0.10570616605037135, 0.12999290822140946, 0.05345852565985955, 0.11227063807676564, 0.0051602538259520395, 0.12220152874567779, 0.04303526538763707, 0.11572566413611082, 0.20056158319505468, 0.1321040174965391, 0.11201662802534348, 0.06272087998619487, 0.038006440184970715, 0.07950159260189121]","23_lag_alpi, 20_lag_shTSjfm, 11_lag_traDS, 11_lag_traMC, 18_lag_shTSjfm, 15_lag_traWP, 14_lag_alpi, 17_lag_neurTSjfm, 14_lag_traWP, 17_lag_traWP, 7_lag_yrvPRjja, 13_lag_traMC, 10_lag_traMC, 21_lag_mhfATL30, 7_lag_eurPSLjfm, 4_lag_traBS, 16_lag_ismPRjja, 7_lag_stratZ50ndj04, 4_lag_stratZ50ndj02, 23_lag_nchinaPRjja, 15_lag_shSICsep, 22_lag_amo2, 17_lag_stratZ50ndj03, 11_lag_nchinaPRjja, 23_lag_scpPSLjfm, 11_lag_traEU, 15_lag_tripol3, 12_lag_satlSSTjfm, 22_lag_alpi, 10_lag_atlSICsep_2496_4"
