model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,labSSTjfm,picntrl,1714.5,2050.5,0.8,15,1,1,19.707628085210285,0.4035480594839777,1728,"['1_lag_8_median_glomaSSTjfm', '5_lag_glomaSSTjfm', '1_lag_13_median_arcTSjfm', '6_lag_traDS', '6_lag_arcTSjfm', '1_lag_11_median_traFS', '14_lag_traFB', '1_lag_5_median_nhTSjfm', '1_lag_8_median_ensoSSTjfm', '8_lag_mhfATL30', '10_lag_nppc2SSTjfm', '1_lag_11_median_cetTSjfm', '1_lag_4_median_traEU', '1_lag_9_median_amo2', '3_lag_yrvPRjja', '13_lag_amo2', '3_lag_pdoSSTjfm', '5_lag_gyreSSTjfm', '4_lag_ginwSSTjfm', '2_lag_AMOCann', '13_lag_traTLS', '1_lag_14_median_labSSTjfm', '12_lag_nhTSjfm', '1_lag_9_median_satlSSTjfm', '1_lag_7_median_stratZ50ndj04', '1_lag_10_median_glomaSSTjfm', '1_lag_5_median_traEU', '14_lag_traMC', '1_lag_3_median_traFSC', '1_lag_12_median_nhTSjfm']","[2.091013100591269, 0.37646322690473255, 8.88824916544053, 0.662429602559973, 6.697227337658639, 1.9603518687542287, 8.771986294298351, 6.216746954546167, 1.4933617884511428, 4.446422237253195, 3.023443740461702, 1.148744572853575, 8.852927624664275, 7.98005511789049, 3.3216822646308124, 2.671352974059113, 0.031183759038817982, 3.8904689342418344, 4.564520577699563, 1.7490432111888055, 5.942571913089235, 1.2381777105133338, 5.921553033453733, 4.156675875344704, 1.6774441391746358, 3.50212626578233, 8.705974122567127, 0.09795655486876775, 0.763000464731018, 3.173542098965769]","1_lag_8_median_glomaSSTjfm, 5_lag_glomaSSTjfm, 1_lag_13_median_arcTSjfm, 6_lag_traDS, 6_lag_arcTSjfm, 1_lag_11_median_traFS, 14_lag_traFB, 1_lag_5_median_nhTSjfm, 1_lag_8_median_ensoSSTjfm, 8_lag_mhfATL30, 10_lag_nppc2SSTjfm, 1_lag_11_median_cetTSjfm, 1_lag_4_median_traEU, 1_lag_9_median_amo2, 3_lag_yrvPRjja, 13_lag_amo2, 3_lag_pdoSSTjfm, 5_lag_gyreSSTjfm, 4_lag_ginwSSTjfm, 2_lag_AMOCann, 13_lag_traTLS, 1_lag_14_median_labSSTjfm, 12_lag_nhTSjfm, 1_lag_9_median_satlSSTjfm, 1_lag_7_median_stratZ50ndj04, 1_lag_10_median_glomaSSTjfm, 1_lag_5_median_traEU, 14_lag_traMC, 1_lag_3_median_traFSC, 1_lag_12_median_nhTSjfm_1728_1"
LRforcedPSO,1,30,labSSTjfm,picntrl,1715.5,2050.5,0.8,16,1,1,22.784132620900742,0.14092959281079084,1856,"['1_lag_8_median_traTLS', '12_lag_mhfATL45', '1_lag_13_median_satlSSTjfm', '1_lag_2_median_atlSICsep', '8_lag_traDP', '15_lag_traMC', '9_lag_mhfATL45', '1_lag_12_median_ginwSSTjfm', '8_lag_shTSjfm', '1_lag_15_median_wnorPRjfm', '6_lag_amo1', '1_lag_ormenSSTjfm', '1_lag_12_median_mhfATL60', '9_lag_nhSICjfm', '1_lag_14_median_traBS', '7_lag_tripol2', '1_lag_9_median_atlSICjfm', '1_lag_13_median_amo1', '1_lag_15_median_nhSICsep', '1_lag_10_median_stratZ50ndj04', '15_lag_cetTSjfm', '5_lag_traEU', '1_lag_5_median_traWP', '1_lag_4_median_stratZ50ndj03', '1_lag_9_median_neurTSjfm', '1_lag_13_median_traEC', '1_lag_5_median_labSSTjfm', '1_lag_11_median_stratZ50ndj02', '15_lag_AMOCann', '1_lag_10_median_cetTSjfm']","[2.981349807913003, 0.22517998722461918, 1.4599392355613805, 5.649105697027526, 2.877600974443453, 8.765159419223156, 1.958988960825609, 2.5154443248611464, 6.281509392022052, 3.441326417257798, 2.22139611643917, 8.141919207201521, 6.925089378220271, 4.380638032613826, 1.620635944903679, 1.1356073711550216, 9.02489344658727, 1.8494680282294862, 1.6262801170676777, 5.413176109131584, 1.8674005296365799, 9.939337783699962, 4.875609620391707, 2.377476074956215, 5.726538408827717, 1.5106592147606897, 2.33658035982986, 7.606879845416765, 0.4000725394223341, 7.05029296388841]","1_lag_8_median_traTLS, 12_lag_mhfATL45, 1_lag_13_median_satlSSTjfm, 1_lag_2_median_atlSICsep, 8_lag_traDP, 15_lag_traMC, 9_lag_mhfATL45, 1_lag_12_median_ginwSSTjfm, 8_lag_shTSjfm, 1_lag_15_median_wnorPRjfm, 6_lag_amo1, 1_lag_ormenSSTjfm, 1_lag_12_median_mhfATL60, 9_lag_nhSICjfm, 1_lag_14_median_traBS, 7_lag_tripol2, 1_lag_9_median_atlSICjfm, 1_lag_13_median_amo1, 1_lag_15_median_nhSICsep, 1_lag_10_median_stratZ50ndj04, 15_lag_cetTSjfm, 5_lag_traEU, 1_lag_5_median_traWP, 1_lag_4_median_stratZ50ndj03, 1_lag_9_median_neurTSjfm, 1_lag_13_median_traEC, 1_lag_5_median_labSSTjfm, 1_lag_11_median_stratZ50ndj02, 15_lag_AMOCann, 1_lag_10_median_cetTSjfm_1856_1"
LRforcedPSO,2,30,labSSTjfm,picntrl,1716.5,2050.5,0.8,17,1,1,24.03424721079209,0.10570325516671475,1984,"['4_lag_glTSjfm', '1_lag_8_median_ismPRjja', '2_lag_labSSTjfm', '6_lag_nhSICjfm', '4_lag_mhfIP30', '1_lag_2_median_ormenSSTjfm', '11_lag_cetTSjfm', '3_lag_glTSjfm', '2_lag_gyreSSTjfm', '1_lag_6_median_traBO', '1_lag_5_median_shSICmar', '13_lag_traDP', '1_lag_10_median_traFSC', '2_lag_traFB', '1_lag_8_median_traDS', '15_lag_amo1', '1_lag_10_median_traMC', '1_lag_2_median_nppc3SSTjfm', '5_lag_traFB', '1_lag_10_median_samPSLann', '6_lag_traWP', '10_lag_neurTSjfm', '1_lag_6_median_amo3', '11_lag_traEU', '1_lag_5_median_glTSjfm', '1_lag_13_median_wnorPRjfm', '1_lag_13_median_traWP', '12_lag_yrvPRjja', '1_lag_14_median_tripol2', '14_lag_stratZ50ndj01']","[4.749379858900014, 7.466351155449353, 5.3035726666018945, 5.918331991551664, 2.8994984045289023, 0.4168496030662272, 7.631021804266737, 0.5827280104674433, 5.168418977384356, 4.781277053349269, 5.678165859675952, 1.7148687592485672, 3.412037905550264, 7.383946170719717, 6.431801265872787, 5.823968502982053, 2.293955657241016, 0.019879305001209602, 4.538331153459541, 2.3601541144368205, 1.4970103116845372, 2.4438904299293576, 5.0823016412657385, 5.309419248546449, 1.380799704797484, 6.126275462679667, 5.5194946037770904, 4.860026368862666, 5.055747582995835, 6.9774984508877615]","4_lag_glTSjfm, 1_lag_8_median_ismPRjja, 2_lag_labSSTjfm, 6_lag_nhSICjfm, 4_lag_mhfIP30, 1_lag_2_median_ormenSSTjfm, 11_lag_cetTSjfm, 3_lag_glTSjfm, 2_lag_gyreSSTjfm, 1_lag_6_median_traBO, 1_lag_5_median_shSICmar, 13_lag_traDP, 1_lag_10_median_traFSC, 2_lag_traFB, 1_lag_8_median_traDS, 15_lag_amo1, 1_lag_10_median_traMC, 1_lag_2_median_nppc3SSTjfm, 5_lag_traFB, 1_lag_10_median_samPSLann, 6_lag_traWP, 10_lag_neurTSjfm, 1_lag_6_median_amo3, 11_lag_traEU, 1_lag_5_median_glTSjfm, 1_lag_13_median_wnorPRjfm, 1_lag_13_median_traWP, 12_lag_yrvPRjja, 1_lag_14_median_tripol2, 14_lag_stratZ50ndj01_1984_1"
LRforcedPSO,3,30,labSSTjfm,picntrl,1717.5,2050.5,0.8,18,1,1,22.203453499382334,0.17363565933534866,2112,"['15_lag_traDP', '1_lag_5_median_traBS', '1_lag_4_median_nppc2SSTjfm', '3_lag_amo2', '1_lag_15_median_shSICmar', '1_lag_8_median_scpPSLjfm', '1_lag_eapPSLjfm', '1_lag_2_median_atlSICsep', '1_lag_13_median_shSICmar', '8_lag_ormenSSTjfm', '1_lag_14_median_traEU', '2_lag_eurPSLjfm', '4_lag_shTSjfm', '4_lag_nppc2SSTjfm', '6_lag_neurTSjfm', '12_lag_amoSSTmjjaso', '1_lag_5_median_tripol3', '1_lag_6_median_pdoSSTjfm', '3_lag_nchinaPRjja', '15_lag_yrvPRjja', '1_lag_14_median_traMC', '11_lag_shTSjfm', '1_lag_15_median_eurPSLjfm', '14_lag_traIFC', '1_lag_11_median_amo3', '11_lag_stratZ50ndj02', '1_lag_8_median_seurTSjfm', '1_lag_12_median_tripol2', '11_lag_traFS', '1_lag_8_median_traFSC']","[2.057149260028295, 5.383302239434828, 5.441466153873082, 4.172786464703693, 0.3021078567105935, 4.743760861675636, 5.37434686173304, 1.6026809176474028, 0.3421479809682122, 3.708319548206557, 0.7186960496527401, 1.0027197672683137, 4.519640308935873, 4.324026909119976, 9.314429001945735, 2.5401157951915003, 0.46554401422164204, 5.497481698189059, 1.033233368478566, 5.632551855371615, 0.9508888931411406, 9.534421297361412, 4.630413025074274, 0.4491981765624189, 7.42005757241207, 5.822457276803378, 4.105930573756435, 3.387581100397627, 1.4032195727573082, 9.188114969125007]","15_lag_traDP, 1_lag_5_median_traBS, 1_lag_4_median_nppc2SSTjfm, 3_lag_amo2, 1_lag_15_median_shSICmar, 1_lag_8_median_scpPSLjfm, 1_lag_eapPSLjfm, 1_lag_2_median_atlSICsep, 1_lag_13_median_shSICmar, 8_lag_ormenSSTjfm, 1_lag_14_median_traEU, 2_lag_eurPSLjfm, 4_lag_shTSjfm, 4_lag_nppc2SSTjfm, 6_lag_neurTSjfm, 12_lag_amoSSTmjjaso, 1_lag_5_median_tripol3, 1_lag_6_median_pdoSSTjfm, 3_lag_nchinaPRjja, 15_lag_yrvPRjja, 1_lag_14_median_traMC, 11_lag_shTSjfm, 1_lag_15_median_eurPSLjfm, 14_lag_traIFC, 1_lag_11_median_amo3, 11_lag_stratZ50ndj02, 1_lag_8_median_seurTSjfm, 1_lag_12_median_tripol2, 11_lag_traFS, 1_lag_8_median_traFSC_2112_1"
LRforcedPSO,4,30,labSSTjfm,picntrl,1718.5,2050.5,0.8,19,1,1,19.694490598240133,0.4753559443882683,2240,"['1_lag_4_median_mhfATL30', '17_lag_yrvPRjja', '1_lag_4_median_tripol1', '3_lag_ormenSSTjfm', '16_lag_traMC', '1_lag_amoSSTmjjaso', '10_lag_ginwSSTjfm', '14_lag_eapPSLjfm', '15_lag_amo1', '1_lag_10_median_traDS', '1_lag_10_median_mhfATL45', '11_lag_satlSSTjfm', '13_lag_traBO', '1_lag_3_median_traBS', '1_lag_18_median_shSICsep', '1_lag_12_median_seurTSjfm', '1_lag_6_median_nppc2SSTjfm', '7_lag_ismPRjja', '1_lag_12_median_traTLS', '8_lag_AMOCann', '1_lag_12_median_traBO', '1_lag_10_median_mhfATL60', '1_lag_2_median_traIFC', '10_lag_traEU', '1_lag_8_median_nhTSjfm', '1_lag_6_median_traCA', '18_lag_eurPSLjfm', '1_lag_5_median_satlSSTjfm', '7_lag_traEU', '16_lag_stratZ50ndj02']","[5.794617618546109, 1.1983841015438923, 3.773670102136557, 5.740053762030895, 0.7325940421701915, 1.9047216201019985, 7.58490384524087, 4.875949700832393, 2.827414596836455, 8.508223032955378, 0.7042048382658592, 4.800727637489539, 8.986014432574624, 5.551913528881465, 0.2238585465492875, 2.956850997226887, 2.8546915696524504, 4.0080275011594875, 8.97299275945256, 1.5712870358119915, 0.3931196439977924, 7.692456004013724, 4.748078062119518, 9.401969727622161, 3.3138614480448787, 2.1950236185074257, 1.1324530234804797, 9.474424021456024, 5.760594613476037, 1.5658254415467194]","1_lag_4_median_mhfATL30, 17_lag_yrvPRjja, 1_lag_4_median_tripol1, 3_lag_ormenSSTjfm, 16_lag_traMC, 1_lag_amoSSTmjjaso, 10_lag_ginwSSTjfm, 14_lag_eapPSLjfm, 15_lag_amo1, 1_lag_10_median_traDS, 1_lag_10_median_mhfATL45, 11_lag_satlSSTjfm, 13_lag_traBO, 1_lag_3_median_traBS, 1_lag_18_median_shSICsep, 1_lag_12_median_seurTSjfm, 1_lag_6_median_nppc2SSTjfm, 7_lag_ismPRjja, 1_lag_12_median_traTLS, 8_lag_AMOCann, 1_lag_12_median_traBO, 1_lag_10_median_mhfATL60, 1_lag_2_median_traIFC, 10_lag_traEU, 1_lag_8_median_nhTSjfm, 1_lag_6_median_traCA, 18_lag_eurPSLjfm, 1_lag_5_median_satlSSTjfm, 7_lag_traEU, 16_lag_stratZ50ndj02_2240_1"
LRforcedPSO,5,30,labSSTjfm,picntrl,1719.5,2050.5,0.8,20,1,1,19.585443718521283,0.35388645214591735,2368,"['4_lag_ormenSSTjfm', '8_lag_traWP', '1_lag_12_median_samPSLann', '12_lag_shSICmar', '7_lag_eurPSLjfm', '19_lag_ginwSSTjfm', '1_lag_shSICsep', '12_lag_traBS', '8_lag_traEC', '1_lag_7_median_mhfATL45', '1_lag_14_median_nppc2SSTjfm', '15_lag_yrvPRjja', '1_lag_6_median_cetTSjfm', '1_lag_7_median_amo1', '14_lag_gyreSSTjfm', '1_lag_4_median_atlSICjfm', '2_lag_traIT', '1_lag_16_median_amo2', '1_lag_7_median_traWP', '1_lag_12_median_arcTSjfm', '1_lag_yrvPRjja', '5_lag_glomaSSTjfm', '9_lag_samPSLann', '16_lag_traTLS', '6_lag_traFB', '1_lag_6_median_neurTSjfm', '1_lag_7_median_traFS', '8_lag_tripol3', '2_lag_traEU', '1_lag_4_median_stratZ50ndj02']","[4.014793627484252, 3.1131428829812418, 5.572066106238429, 7.775102413618626, 0.5144215452542795, 1.1986923478564968, 8.800030839966485, 0.027288022707260495, 2.932147514703461, 7.975633045983397, 1.8711014119098106, 4.227912916379381, 1.9866282383302938, 0.6051904894378595, 3.719912410620763, 0.08149333743788745, 5.816911506008468, 5.041904138905209, 7.884325664957601, 6.877837256453077, 5.598713661559344, 2.0000762543385733, 1.6265987961705797, 0.5490300227885552, 3.6368866479525597, 8.184054009151613, 6.683760733854072, 2.169806638260326, 7.340349953802001, 2.5250463920317445]","4_lag_ormenSSTjfm, 8_lag_traWP, 1_lag_12_median_samPSLann, 12_lag_shSICmar, 7_lag_eurPSLjfm, 19_lag_ginwSSTjfm, 1_lag_shSICsep, 12_lag_traBS, 8_lag_traEC, 1_lag_7_median_mhfATL45, 1_lag_14_median_nppc2SSTjfm, 15_lag_yrvPRjja, 1_lag_6_median_cetTSjfm, 1_lag_7_median_amo1, 14_lag_gyreSSTjfm, 1_lag_4_median_atlSICjfm, 2_lag_traIT, 1_lag_16_median_amo2, 1_lag_7_median_traWP, 1_lag_12_median_arcTSjfm, 1_lag_yrvPRjja, 5_lag_glomaSSTjfm, 9_lag_samPSLann, 16_lag_traTLS, 6_lag_traFB, 1_lag_6_median_neurTSjfm, 1_lag_7_median_traFS, 8_lag_tripol3, 2_lag_traEU, 1_lag_4_median_stratZ50ndj02_2368_1"
LRforcedPSO,6,30,labSSTjfm,picntrl,1720.5,2050.5,0.8,21,1,1,20.874583444301113,0.13696806551809035,2496,"['1_lag_19_median_wnorPRjfm', '1_lag_7_median_traWP', '1_lag_4_median_pdoSSTjfm', '1_lag_15_median_traEC', '1_lag_7_median_traEC', '1_lag_8_median_amoSSTmjjaso', '18_lag_seurTSjfm', '14_lag_amo1', '1_lag_yrvPRjja', '1_lag_11_median_traFSC', '10_lag_eurPSLjfm', '13_lag_stratZ50ndj04', '1_lag_4_median_naoPSLjfm', '1_lag_9_median_yrvPRjja', '1_lag_11_median_amo2', '15_lag_glTSjfm', '6_lag_scpPSLjfm', '18_lag_traWP', '3_lag_stratZ50ndj03', '11_lag_nppc2SSTjfm', '2_lag_traBO', '2_lag_tripol2', '1_lag_19_median_neurTSjfm', '7_lag_traEU', '5_lag_amo3', '11_lag_amoSSTmjjaso', '1_lag_18_median_traTLS', '2_lag_nppc2SSTjfm', '1_lag_3_median_seurTSjfm', '6_lag_tripol2']","[6.530214468453167, 0.8010547689652725, 1.0646104790391533, 1.7807623220666535, 2.406372859572185, 6.627801361617573, 0.24195282917782457, 2.7484666732654084, 3.620342931511189, 3.8301580140366465, 1.0214148335414368, 2.6429574789074977, 0.2570152334708471, 6.187952750574439, 9.129241881510637, 4.821964320521976, 6.764022530729545, 1.4410947899897266, 3.8657369714920486, 3.1251586887946097, 7.731048630678783, 5.004156365442434, 8.586211456456684, 0.7033750231566991, 2.7749738346510355, 2.9372739766195117, 0.5688852610028192, 0.8579951777037724, 0.7199050631185706, 6.435508893296533]","1_lag_19_median_wnorPRjfm, 1_lag_7_median_traWP, 1_lag_4_median_pdoSSTjfm, 1_lag_15_median_traEC, 1_lag_7_median_traEC, 1_lag_8_median_amoSSTmjjaso, 18_lag_seurTSjfm, 14_lag_amo1, 1_lag_yrvPRjja, 1_lag_11_median_traFSC, 10_lag_eurPSLjfm, 13_lag_stratZ50ndj04, 1_lag_4_median_naoPSLjfm, 1_lag_9_median_yrvPRjja, 1_lag_11_median_amo2, 15_lag_glTSjfm, 6_lag_scpPSLjfm, 18_lag_traWP, 3_lag_stratZ50ndj03, 11_lag_nppc2SSTjfm, 2_lag_traBO, 2_lag_tripol2, 1_lag_19_median_neurTSjfm, 7_lag_traEU, 5_lag_amo3, 11_lag_amoSSTmjjaso, 1_lag_18_median_traTLS, 2_lag_nppc2SSTjfm, 1_lag_3_median_seurTSjfm, 6_lag_tripol2_2496_1"
LRforcedPSO,7,30,labSSTjfm,picntrl,1721.5,2050.5,0.8,22,2,2,25.09389138470375,0.04668011058620947,2496,"['14_lag_nhSICsep', '20_lag_stratZ50ndj02', '2_lag_15_median_nppc3SSTjfm', '9_lag_scpPSLjfm', '2_lag_17_median_amo2', '3_lag_amo1', '12_lag_traEU', '2_lag_13_median_traBO', '17_lag_amo1', '2_lag_14_median_gyreSSTjfm', '12_lag_shTSjfm', '2_lag_21_median_ensoSSTjfm', '2_lag_14_median_traBO', '7_lag_stratZ50ndj02', '2_lag_10_median_traFS', '2_lag_20_median_cetTSjfm', '6_lag_stratZ50ndj04', '2_lag_nhSICsep', '2_lag_20_median_atlSICsep', '13_lag_traMC', '20_lag_traTLS', '8_lag_mhfIP30', '6_lag_scpPSLjfm', '20_lag_atlSICjfm', '8_lag_tripol1', '2_lag_16_median_shTSjfm', '12_lag_glTSjfm', '20_lag_traBS', '18_lag_atlSICsep', '2_lag_6_median_traFSC']","[8.117558322786433, 4.120436456303565, 0.5540087923036232, 2.440469724369569, 7.567246037375309, 6.342630201814639, 8.433146112648839, 3.8264365253044357, 1.8192965756035289, 0.7485023981624028, 8.184424278111333, 0.41510334133500315, 7.976774121724603, 1.5953434064255738, 9.253337449473708, 6.023347963681964, 8.10609938792351, 6.750540544256506, 2.2324357151843177, 1.1238637709566852, 4.996540470480955, 9.717055452393435, 5.367361024242429, 4.817553219792783, 1.3784332676530973, 0.6722803441966967, 2.49897871621277, 6.739626899302458, 6.477241686229519, 1.5700844420272748]","14_lag_nhSICsep, 20_lag_stratZ50ndj02, 2_lag_15_median_nppc3SSTjfm, 9_lag_scpPSLjfm, 2_lag_17_median_amo2, 3_lag_amo1, 12_lag_traEU, 2_lag_13_median_traBO, 17_lag_amo1, 2_lag_14_median_gyreSSTjfm, 12_lag_shTSjfm, 2_lag_21_median_ensoSSTjfm, 2_lag_14_median_traBO, 7_lag_stratZ50ndj02, 2_lag_10_median_traFS, 2_lag_20_median_cetTSjfm, 6_lag_stratZ50ndj04, 2_lag_nhSICsep, 2_lag_20_median_atlSICsep, 13_lag_traMC, 20_lag_traTLS, 8_lag_mhfIP30, 6_lag_scpPSLjfm, 20_lag_atlSICjfm, 8_lag_tripol1, 2_lag_16_median_shTSjfm, 12_lag_glTSjfm, 20_lag_traBS, 18_lag_atlSICsep, 2_lag_6_median_traFSC_2496_2"
LRforcedPSO,8,30,labSSTjfm,picntrl,1722.5,2050.5,0.8,23,3,3,23.557298721742345,0.08918389120333572,2496,"['3_lag_12_median_traMC', '3_lag_5_median_traDP', '3_lag_12_median_labSSTjfm', '3_lag_21_median_scpPSLjfm', '3_lag_21_median_traBO', '3_lag_9_median_tripol1', '12_lag_eapPSLjfm', '3_lag_18_median_labSSTjfm', '3_lag_22_median_traCA', '3_lag_21_median_seurTSjfm', '11_lag_traTLS', '3_lag_15_median_mhfATL60', '3_lag_9_median_gyreSSTjfm', '12_lag_stratZ50ndj01', '4_lag_traFS', '3_lag_11_median_arcTSjfm', '19_lag_scpPSLjfm', '3_lag_14_median_stratZ50ndj01', '11_lag_labSSTjfm', '12_lag_traDS', '19_lag_traFSC', '19_lag_nhTSjfm', '3_lag_16_median_traWP', '3_lag_21_median_gyreSSTjfm', '12_lag_ismPRjja', '3_lag_16_median_nhSICjfm', '17_lag_traFS', '3_lag_8_median_shSICmar', '3_lag_11_median_traIFC', '3_lag_21_median_mhfATL45']","[5.944086234767381, 0.045080092158464424, 7.084510880460259, 9.325956319944709, 4.114159196563429, 6.407000661608673, 2.6693326524109047, 5.658417365095772, 4.8056424347744064, 2.911070835986882, 8.469825099964261, 9.049024684020551, 6.734162995834312, 4.392998833727084, 4.458579447423714, 7.172634129689662, 1.7962520875814558, 1.0001362602217512, 9.348046213468013, 5.207509701757322, 1.1561949348622917, 1.0490906454086453, 7.960889862704782, 4.9463224705509425, 3.293087360195134, 0.10746515675477575, 5.33084271295121, 2.234902988145972, 5.148054475351882, 2.6473123732404673]","3_lag_12_median_traMC, 3_lag_5_median_traDP, 3_lag_12_median_labSSTjfm, 3_lag_21_median_scpPSLjfm, 3_lag_21_median_traBO, 3_lag_9_median_tripol1, 12_lag_eapPSLjfm, 3_lag_18_median_labSSTjfm, 3_lag_22_median_traCA, 3_lag_21_median_seurTSjfm, 11_lag_traTLS, 3_lag_15_median_mhfATL60, 3_lag_9_median_gyreSSTjfm, 12_lag_stratZ50ndj01, 4_lag_traFS, 3_lag_11_median_arcTSjfm, 19_lag_scpPSLjfm, 3_lag_14_median_stratZ50ndj01, 11_lag_labSSTjfm, 12_lag_traDS, 19_lag_traFSC, 19_lag_nhTSjfm, 3_lag_16_median_traWP, 3_lag_21_median_gyreSSTjfm, 12_lag_ismPRjja, 3_lag_16_median_nhSICjfm, 17_lag_traFS, 3_lag_8_median_shSICmar, 3_lag_11_median_traIFC, 3_lag_21_median_mhfATL45_2496_3"
LRforcedPSO,9,30,labSSTjfm,picntrl,1723.5,2050.5,0.8,24,4,4,25.93864164729438,-0.03329239402778704,2496,"['4_lag_23_median_traTLS', '4_lag_22_median_arcTSjfm', '4_lag_12_median_glomaSSTjfm', '17_lag_amo2', '4_lag_11_median_mhfIP30', '4_lag_17_median_tripol2', '4_lag_17_median_mhfIP30', '17_lag_atlSICjfm', '4_lag_8_median_atlSICsep', '7_lag_traEC', '4_lag_traIFC', '4_lag_21_median_wnorPRjfm', '4_lag_7_median_tripol2', '4_lag_7_median_traFS', '5_lag_nhTSjfm', '20_lag_traFSC', '17_lag_stratZ50ndj03', '4_lag_17_median_amo2', '4_lag_17_median_wnorPRjfm', '15_lag_scpPSLjfm', '4_lag_10_median_tripol1', '7_lag_traMC', '7_lag_tripol3', '22_lag_wnorPRjfm', '4_lag_20_median_ensoSSTjfm', '11_lag_alpi', '11_lag_traWP', '13_lag_alpi', '20_lag_traEU', '4_lag_21_median_neurTSjfm']","[8.112601445287495, 8.180387329714707, 0.713690841995847, 6.489758068437366, 1.7335986808904345, 0.4468027407242161, 1.8312346499514511, 6.171845687770123, 7.883965595162357, 1.471203404235773, 2.9193493513931923, 9.718913591275676, 1.1965559789061047, 4.427352827254484, 7.109953138484091, 8.090853766726436, 8.204667862635882, 8.003296632676069, 2.1284317833570654, 4.370467058827074, 1.7530490693789051, 6.678606412626962, 5.045559233001262, 2.593501024756053, 4.5656064794168945, 0.056732150730926634, 3.599967130105499, 3.3654904130096437, 1.387940658296209, 4.657455189194726]","4_lag_23_median_traTLS, 4_lag_22_median_arcTSjfm, 4_lag_12_median_glomaSSTjfm, 17_lag_amo2, 4_lag_11_median_mhfIP30, 4_lag_17_median_tripol2, 4_lag_17_median_mhfIP30, 17_lag_atlSICjfm, 4_lag_8_median_atlSICsep, 7_lag_traEC, 4_lag_traIFC, 4_lag_21_median_wnorPRjfm, 4_lag_7_median_tripol2, 4_lag_7_median_traFS, 5_lag_nhTSjfm, 20_lag_traFSC, 17_lag_stratZ50ndj03, 4_lag_17_median_amo2, 4_lag_17_median_wnorPRjfm, 15_lag_scpPSLjfm, 4_lag_10_median_tripol1, 7_lag_traMC, 7_lag_tripol3, 22_lag_wnorPRjfm, 4_lag_20_median_ensoSSTjfm, 11_lag_alpi, 11_lag_traWP, 13_lag_alpi, 20_lag_traEU, 4_lag_21_median_neurTSjfm_2496_4"
