model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,labSSTjfm,picntrl,1714.5,2050.5,0.4,15,5,10,16.19313155116808,0.1619180116451734,1216,"['13_lag_amo2', '10_lag_traWP', '13_lag_nppc3SSTjfm', '14_lag_traFB', '10_lag_nchinaPRjja', '12_lag_amo2']","[0.20494480419315078, 0.2715643781115228, 0.003909610450087586, 0.14290312536242777, 0.15105532265768146, 0.28230114484293106]","13_lag_amo2, 10_lag_traWP, 13_lag_nppc3SSTjfm, 14_lag_traFB, 10_lag_nchinaPRjja, 12_lag_amo2_1216_10"
LinearRegression,1,6,labSSTjfm,picntrl,1715.5,2050.5,0.4,16,6,6,15.647319093445361,0.20599093439272584,1216,"['14_lag_traFB', '6_lag_mhfATL60', '11_lag_samPSLann', '15_lag_shSICsep', '10_lag_traWP', '12_lag_amo2']","[0.10629358052232184, 0.25252323783762753, 0.2004676158653238, 0.22814744599906764, 0.20585943764766976, 0.2897292600444227]","14_lag_traFB, 6_lag_mhfATL60, 11_lag_samPSLann, 15_lag_shSICsep, 10_lag_traWP, 12_lag_amo2_1216_6"
LinearRegression,2,6,labSSTjfm,picntrl,1716.5,2050.5,0.4,17,7,10,16.366203319744105,0.1253738517571506,1216,"['12_lag_traFSC', '15_lag_shSICsep', '13_lag_amo2', '14_lag_traFB', '12_lag_amo2', '10_lag_nchinaPRjja']","[0.07783951211721298, 0.31887439707382903, 0.18457953555793621, 0.11325860495967553, 0.2798069030718159, 0.172400119670938]","12_lag_traFSC, 15_lag_shSICsep, 13_lag_amo2, 14_lag_traFB, 12_lag_amo2, 10_lag_nchinaPRjja_1216_10"
LinearRegression,3,6,labSSTjfm,picntrl,1717.5,2050.5,0.4,18,8,10,16.194979820799343,0.10770730523951512,1216,"['13_lag_nppc3SSTjfm', '16_lag_traTLS', '13_lag_amo2', '15_lag_shSICsep', '14_lag_traFB', '10_lag_nchinaPRjja']","[0.04494798451165032, 0.11262621929603461, 0.3056217104977619, 0.3190562649144487, 0.11416770125228438, 0.20015287355415162]","13_lag_nppc3SSTjfm, 16_lag_traTLS, 13_lag_amo2, 15_lag_shSICsep, 14_lag_traFB, 10_lag_nchinaPRjja_1216_10"
LinearRegression,4,6,labSSTjfm,picntrl,1718.5,2050.5,0.4,19,9,12,15.849471629827844,0.12067759460666577,1216,"['18_lag_nppc3SSTjfm', '18_lag_shSICsep', '12_lag_amo2', '16_lag_traWP', '18_lag_traIT', '14_lag_traFB']","[0.1138106586712179, 0.1391667526333598, 0.3884151684537982, 0.05104665299331318, 0.10558447194035084, 0.19276244867881207]","18_lag_nppc3SSTjfm, 18_lag_shSICsep, 12_lag_amo2, 16_lag_traWP, 18_lag_traIT, 14_lag_traFB_1216_12"
LinearRegression,5,6,labSSTjfm,picntrl,1719.5,2050.5,0.4,20,10,10,15.924656485004423,0.05537743760584768,1216,"['16_lag_traWP', '17_lag_traIT', '18_lag_traIT', '19_lag_yrvPRjja', '14_lag_traFB', '10_lag_nchinaPRjja']","[0.038384986005061114, 0.23651611487141894, 0.08849633479438884, 0.03143064411837289, 0.20001055649635402, 0.18518402429468764]","16_lag_traWP, 17_lag_traIT, 18_lag_traIT, 19_lag_yrvPRjja, 14_lag_traFB, 10_lag_nchinaPRjja_1216_10"
LinearRegression,6,6,labSSTjfm,picntrl,1720.5,2050.5,0.4,21,11,11,15.722507966645619,0.16732669460305094,1216,"['13_lag_alpi', '16_lag_traMC', '11_lag_mhfIP30', '18_lag_shSICsep', '14_lag_traFB', '19_lag_yrvPRjja']","[0.09240688568906742, 0.05608824255474236, 0.2816189530353238, 0.14007084839992825, 0.3020867798365621, 0.04011145318563191]","13_lag_alpi, 16_lag_traMC, 11_lag_mhfIP30, 18_lag_shSICsep, 14_lag_traFB, 19_lag_yrvPRjja_1216_11"
LinearRegression,7,6,labSSTjfm,picntrl,1721.5,2050.5,0.4,22,12,12,18.083273500216045,-0.036538967603386284,1216,"['18_lag_shSICsep', '12_lag_samPSLann', '19_lag_seurTSjfm', '12_lag_15_median_amo1', '20_lag_yrvPRjja', '12_lag_nchinaPRjja']","[0.13433893348484163, 0.16169467751845606, 0.12585654807537336, 0.393633173233691, 0.15756110765467712, 0.09187615604214944]","18_lag_shSICsep, 12_lag_samPSLann, 19_lag_seurTSjfm, 12_lag_15_median_amo1, 20_lag_yrvPRjja, 12_lag_nchinaPRjja_1216_12"
LinearRegression,8,6,labSSTjfm,picntrl,1722.5,2050.5,0.4,23,13,13,17.19502767579206,0.032846927112539996,1216,"['22_lag_tripol1', '15_lag_eurPSLjfm', '19_lag_seurTSjfm', '13_lag_nppc3SSTjfm', '13_lag_amo2', '16_lag_atlSICsep']","[0.2456495967568339, 0.11833452446454241, 0.16520349670092954, 0.08195832302492877, 0.2544368893114465, 0.10568450497766689]","22_lag_tripol1, 15_lag_eurPSLjfm, 19_lag_seurTSjfm, 13_lag_nppc3SSTjfm, 13_lag_amo2, 16_lag_atlSICsep_1216_13"
LinearRegression,9,6,labSSTjfm,picntrl,1723.5,2050.5,0.4,24,14,14,16.64343007749231,0.05053147616228153,1216,"['23_lag_traMC', '17_lag_amo3', '14_lag_samPSLann', '18_lag_nhSICsep', '14_lag_traFB', '23_lag_tripol1']","[0.15808777552475217, 0.32820919564281337, 0.12001081124790236, 0.0714537270301522, 0.12355180320847237, 0.31214854683273197]","23_lag_traMC, 17_lag_amo3, 14_lag_samPSLann, 18_lag_nhSICsep, 14_lag_traFB, 23_lag_tripol1_1216_14"
LinearRegression,10,6,labSSTjfm,picntrl,1724.5,2050.5,0.4,25,15,15,17.179713115548044,0.036910774603707175,1216,"['19_lag_seurTSjfm', '24_lag_stratZ50ndj01', '23_lag_traMC', '24_lag_tripol1', '15_lag_shSICsep', '23_lag_tripol1']","[0.15739401282113366, 0.07934289227152011, 0.1629471942167146, 0.1069022920908361, 0.28046890343088265, 0.2061309504899304]","19_lag_seurTSjfm, 24_lag_stratZ50ndj01, 23_lag_traMC, 24_lag_tripol1, 15_lag_shSICsep, 23_lag_tripol1_1216_15"
LinearRegression,11,6,labSSTjfm,picntrl,1725.5,2050.5,0.4,26,16,19,18.128784582357408,-0.03271914952566083,1216,"['19_lag_seurTSjfm', '24_lag_tripol1', '23_lag_satlSSTjfm', '23_lag_traMC', '25_lag_yrvPRjja', '25_lag_pdoSSTjfm']","[0.14620528852462064, 0.17361289633545401, 0.3609889325813981, 0.0569520916472602, 0.20087799831624226, 0.15968548553683448]","19_lag_seurTSjfm, 24_lag_tripol1, 23_lag_satlSSTjfm, 23_lag_traMC, 25_lag_yrvPRjja, 25_lag_pdoSSTjfm_1216_19"
LinearRegression,12,6,labSSTjfm,picntrl,1726.5,2050.5,0.4,27,17,17,17.2317452322354,-0.003974357739574407,1216,"['26_lag_amoSSTmjjaso', '25_lag_pdoSSTjfm', '26_lag_pdoSSTjfm', '26_lag_tripol3', '17_lag_traTLS', '17_lag_traIT']","[0.17454685372955278, 0.16437943119202242, 0.14481989345064142, 0.2043656477402063, 0.08651158175506005, 0.0984370557675393]","26_lag_amoSSTmjjaso, 25_lag_pdoSSTjfm, 26_lag_pdoSSTjfm, 26_lag_tripol3, 17_lag_traTLS, 17_lag_traIT_1216_17"
LinearRegression,13,6,labSSTjfm,picntrl,1727.5,2050.5,0.4,28,18,20,18.867504896131365,-0.01139544080725317,1216,"['27_lag_atlSICsep', '26_lag_shSICmar', '20_lag_shSICmar', '23_lag_tripol3', '26_lag_pdoSSTjfm', '26_lag_tripol3']","[0.2212740880216865, 0.37780907572714967, 0.0231766227710404, 0.10203066248857921, 0.3444400326082442, 0.18623019950233766]","27_lag_atlSICsep, 26_lag_shSICmar, 20_lag_shSICmar, 23_lag_tripol3, 26_lag_pdoSSTjfm, 26_lag_tripol3_1216_20"
LinearRegression,14,6,labSSTjfm,picntrl,1728.5,2050.5,0.4,29,19,23,18.370657673018403,0.0013913372163689305,1216,"['25_lag_shSICsep', '25_lag_yrvPRjja', '26_lag_tripol3', '28_lag_shSICmar', '26_lag_pdoSSTjfm', '23_lag_tripol3']","[0.2634780888339216, 0.10714588931434399, 0.1161512914405805, 0.21450212851193728, 0.2420372817393977, 0.06878706326218584]","25_lag_shSICsep, 25_lag_yrvPRjja, 26_lag_tripol3, 28_lag_shSICmar, 26_lag_pdoSSTjfm, 23_lag_tripol3_1216_23"
LinearRegression,15,6,labSSTjfm,picntrl,1729.5,2050.5,0.4,30,20,20,20.14393522022503,-0.025331160078964052,1216,"['28_lag_traBS', '29_lag_amo1', '20_lag_shSICmar', '26_lag_tripol3', '28_lag_shSICmar', '23_lag_tripol3']","[0.083445156567938, 0.25196912521237447, 0.08990977120554741, 0.15102049284719476, 0.391033154188713, 0.03685907366177352]","28_lag_traBS, 29_lag_amo1, 20_lag_shSICmar, 26_lag_tripol3, 28_lag_shSICmar, 23_lag_tripol3_1216_20"
LinearRegression,16,6,labSSTjfm,picntrl,1730.5,2050.5,0.4,31,21,23,18.659440384127723,0.05618008845936266,1216,"['30_lag_yrvPRjja', '25_lag_scpPSLjfm', '26_lag_tripol3', '28_lag_shSICmar', '23_lag_tripol3', '29_lag_yrvPRjja']","[0.07607370567675184, 0.1701424016397879, 0.15514473204474183, 0.3719601272802941, 0.02262169291725763, 0.03057122956751955]","30_lag_yrvPRjja, 25_lag_scpPSLjfm, 26_lag_tripol3, 28_lag_shSICmar, 23_lag_tripol3, 29_lag_yrvPRjja_1216_23"
LinearRegression,17,6,labSSTjfm,picntrl,1731.5,2050.5,0.4,32,22,22,17.09417934840441,0.04297866288266684,1216,"['25_lag_arcTSjfm', '28_lag_amoSSTmjjaso', '22_lag_25_median_alpi', '26_lag_stratZ50ndj04', '23_lag_tripol3', '22_lag_23_median_tripol3']","[0.23016330399788051, 0.0368662552575722, 0.31443937874131594, 0.07088797098081812, 0.006516270118961297, 0.006516270118961852]","25_lag_arcTSjfm, 28_lag_amoSSTmjjaso, 22_lag_25_median_alpi, 26_lag_stratZ50ndj04, 23_lag_tripol3, 22_lag_23_median_tripol3_1216_22"
LinearRegression,18,6,labSSTjfm,picntrl,1732.5,2050.5,0.4,33,23,23,16.685810249564273,0.16015996884064843,1216,"['23_lag_tripol3', '28_lag_atlSICsep', '29_lag_nppc3SSTjfm', '25_lag_scpPSLjfm', '31_lag_nchinaPRjja', '25_lag_arcTSjfm']","[0.004435048580647822, 0.23126374252775372, 0.10554456463147055, 0.1441104296578011, 0.12413238847994257, 0.16252330893739458]","23_lag_tripol3, 28_lag_atlSICsep, 29_lag_nppc3SSTjfm, 25_lag_scpPSLjfm, 31_lag_nchinaPRjja, 25_lag_arcTSjfm_1216_23"
LinearRegression,19,6,labSSTjfm,picntrl,1733.5,2050.5,0.4,34,24,24,16.438617572295897,0.09931157132431026,1216,"['33_lag_yrvPRjja', '24_lag_nhSICjfm', '25_lag_scpPSLjfm', '24_lag_25_median_scpPSLjfm', '29_lag_nppc3SSTjfm', '27_lag_atlSICsep']","[0.2021928334478593, 0.13101053739657104, 0.09489497286132056, 0.09489497286132056, 0.10079618198441927, 0.2580111251039999]","33_lag_yrvPRjja, 24_lag_nhSICjfm, 25_lag_scpPSLjfm, 24_lag_25_median_scpPSLjfm, 29_lag_nppc3SSTjfm, 27_lag_atlSICsep_1216_24"
LinearRegression,20,6,labSSTjfm,picntrl,1734.5,2050.5,0.4,35,25,25,16.64965466229788,0.08226450963113088,1216,"['25_lag_traBO', '25_lag_nppc3SSTjfm', '32_lag_atlSICsep', '25_lag_nhSICjfm', '25_lag_scpPSLjfm', '25_lag_arcTSjfm']","[0.17223273732085626, 0.07747379752460112, 0.03570919085090617, 0.05222427354759257, 0.10427399336483213, 0.18804765692115144]","25_lag_traBO, 25_lag_nppc3SSTjfm, 32_lag_atlSICsep, 25_lag_nhSICjfm, 25_lag_scpPSLjfm, 25_lag_arcTSjfm_1216_25"
LinearRegression,21,6,labSSTjfm,picntrl,1735.5,2050.5,0.4,36,26,26,17.338053822949526,-0.025695063678315044,1216,"['26_lag_traIT', '26_lag_pdoSSTjfm', '26_lag_traTLS', '33_lag_atlSICsep', '35_lag_traWP', '32_lag_atlSICsep']","[0.15422987781272215, 0.3285716572160826, 0.03179752007787551, 0.21612843133449877, 0.18185737898413282, 0.143764174708681]","26_lag_traIT, 26_lag_pdoSSTjfm, 26_lag_traTLS, 33_lag_atlSICsep, 35_lag_traWP, 32_lag_atlSICsep_1216_26"
LinearRegression,22,6,labSSTjfm,picntrl,1736.5,2050.5,0.4,37,27,27,17.451113756315955,-0.005306632331100342,1216,"['34_lag_samPSLann', '33_lag_tripol3', '27_lag_atlSICsep', '33_lag_atlSICsep', '34_lag_yrvPRjja', '36_lag_nppc3SSTjfm']","[0.1848826107696382, 7.900649811420912e-05, 0.17016107709782669, 0.21926235627506255, 0.17046473860901223, 0.24936491381587145]","34_lag_samPSLann, 33_lag_tripol3, 27_lag_atlSICsep, 33_lag_atlSICsep, 34_lag_yrvPRjja, 36_lag_nppc3SSTjfm_1216_27"
LinearRegression,23,6,labSSTjfm,picntrl,1737.5,2050.5,0.4,38,28,28,18.35237375970824,-0.1559341117738171,1216,"['34_lag_samPSLann', '36_lag_nppc3SSTjfm', '35_lag_traWP', '37_lag_shSICsep', '28_lag_shSICmar', '34_lag_yrvPRjja']","[0.14926919922244222, 0.17393080228583263, 0.03617343210976111, 0.3887549455510276, 0.23403096119591357, 0.2240605996460483]","34_lag_samPSLann, 36_lag_nppc3SSTjfm, 35_lag_traWP, 37_lag_shSICsep, 28_lag_shSICmar, 34_lag_yrvPRjja_1216_28"
LinearRegression,24,6,labSSTjfm,picntrl,1738.5,2050.5,0.4,39,29,33,15.732164084788161,0.07672581225960329,1216,"['36_lag_mhfATL60', '36_lag_amoSSTmjjaso', '38_lag_traMC', '36_lag_mhfATL30', '33_lag_tripol3', '38_lag_traBS']","[0.1819943785982497, 0.12028676931684079, 0.157990432887895, 0.42090633859970816, 0.04188561285877748, 0.202715441179428]","36_lag_mhfATL60, 36_lag_amoSSTmjjaso, 38_lag_traMC, 36_lag_mhfATL30, 33_lag_tripol3, 38_lag_traBS_1216_33"
LinearRegression,25,6,labSSTjfm,picntrl,1739.5,2050.5,0.4,40,30,36,17.76833078179682,-0.1848360223526788,1216,"['39_lag_shSICmar', '36_lag_mhfATL30', '38_lag_traBS', '37_lag_shSICsep', '39_lag_tripol3', '36_lag_mhfATL60']","[0.1256602941156511, 0.3251865346999068, 0.20708834612952576, 0.3189320353786504, 0.13098816083848042, 0.15980855870018598]","39_lag_shSICmar, 36_lag_mhfATL30, 38_lag_traBS, 37_lag_shSICsep, 39_lag_tripol3, 36_lag_mhfATL60_1216_36"
LinearRegression,26,6,labSSTjfm,picntrl,1740.5,2050.5,0.4,41,31,31,18.67930125191708,-0.2574862338186946,1216,"['31_lag_traDS', '39_lag_stratZ50ndj03', '37_lag_shSICsep', '39_lag_nppc3SSTjfm', '36_lag_mhfATL60', '39_lag_tripol3']","[0.12466414523571143, 0.04988959510025448, 0.47745293781652326, 0.21212309076703495, 0.04623473085661949, 0.151357404640633]","31_lag_traDS, 39_lag_stratZ50ndj03, 37_lag_shSICsep, 39_lag_nppc3SSTjfm, 36_lag_mhfATL60, 39_lag_tripol3_1216_31"
LinearRegression,27,6,labSSTjfm,picntrl,1741.5,2050.5,0.4,42,32,32,18.919553988168136,-0.2225073763512316,1216,"['32_lag_atlSICsep', '41_lag_amo2', '38_lag_yrvPRjja', '37_lag_shSICsep', '39_lag_tripol3', '32_lag_traTLS']","[0.12726803544704723, 0.2085456539827152, 0.1458039941912742, 0.5042760556490953, 0.10538262694714207, 0.057380731202650526]","32_lag_atlSICsep, 41_lag_amo2, 38_lag_yrvPRjja, 37_lag_shSICsep, 39_lag_tripol3, 32_lag_traTLS_1216_32"
LinearRegression,28,6,labSSTjfm,picntrl,1742.5,2050.5,0.4,43,33,33,19.281452025893397,-0.27732996467210297,1216,"['36_lag_mhfATL60', '39_lag_stratZ50ndj03', '38_lag_yrvPRjja', '39_lag_tripol3', '37_lag_shSICsep', '33_lag_traTLS']","[0.11290244441040126, 0.015924067678309672, 0.1514347781167969, 0.1619931909105507, 0.4941161872443737, 0.11572252142360975]","36_lag_mhfATL60, 39_lag_stratZ50ndj03, 38_lag_yrvPRjja, 39_lag_tripol3, 37_lag_shSICsep, 33_lag_traTLS_1216_33"
