model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,mhfATL45,picntrl,1066.5,2050.5,0.4,15,1,1,12.043775409518558,-0.01265733966681391,1728,"['1_lag_2_median_traDP', '7_lag_nhSICjfm', '1_lag_7_median_glomaSSTjfm', '1_lag_14_median_traDS', '1_lag_11_median_nhSICsep', '1_lag_14_median_scpPSLjfm']","[1.6466512755964497, 1.6331173565614137, 1.633170367487288, 1.6687335920570638, 1.8477035944600022, 2.17748980874851]","1_lag_2_median_traDP, 7_lag_nhSICjfm, 1_lag_7_median_glomaSSTjfm, 1_lag_14_median_traDS, 1_lag_11_median_nhSICsep, 1_lag_14_median_scpPSLjfm_1728_1"
LRforcedPSO,1,6,mhfATL45,picntrl,1067.5,2050.5,0.4,16,1,1,11.686110281493422,0.22337177943115877,1856,"['12_lag_tripol1', '1_lag_amo3', '3_lag_traDP', '1_lag_7_median_mhfATL45', '1_lag_9_median_naoPSLjfm', '4_lag_atlSICjfm']","[3.087686647004607, 2.7705213472187693, 2.789459729440541, 3.694028409961758, 2.8026203838670813, 3.3074864479006907]","12_lag_tripol1, 1_lag_amo3, 3_lag_traDP, 1_lag_7_median_mhfATL45, 1_lag_9_median_naoPSLjfm, 4_lag_atlSICjfm_1856_1"
LRforcedPSO,2,6,mhfATL45,picntrl,1068.5,2050.5,0.4,17,1,1,12.072506928137226,0.06888565793675079,1984,"['11_lag_nppc3SSTjfm', '1_lag_15_median_neurTSjfm', '1_lag_9_median_atlSICjfm', '1_lag_16_median_shTSjfm', '1_lag_14_median_amo2', '1_lag_14_median_tripol1']","[1.696203637431621, 4.387363120788206, 5.2100332533406775, 1.474916158799127, 0.26629613695389054, 1.3667739952158726]","11_lag_nppc3SSTjfm, 1_lag_15_median_neurTSjfm, 1_lag_9_median_atlSICjfm, 1_lag_16_median_shTSjfm, 1_lag_14_median_amo2, 1_lag_14_median_tripol1_1984_1"
LRforcedPSO,3,6,mhfATL45,picntrl,1069.5,2050.5,0.4,18,1,1,10.977485203660004,0.0072593406086335095,2112,"['1_lag_12_median_scpPSLjfm', '1_lag_11_median_naoPSLjfm', '12_lag_ensoSSTjfm', '2_lag_arcTSjfm', '3_lag_atlSICjfm', '1_lag_10_median_mhfIP30']","[1.5207567425056463, 1.7101435536088105, 1.5302344054811103, 1.5198143021650068, 1.5169301847887418, 2.022507943790492]","1_lag_12_median_scpPSLjfm, 1_lag_11_median_naoPSLjfm, 12_lag_ensoSSTjfm, 2_lag_arcTSjfm, 3_lag_atlSICjfm, 1_lag_10_median_mhfIP30_2112_1"
LRforcedPSO,4,6,mhfATL45,picntrl,1070.5,2050.5,0.4,19,1,1,10.686293878450075,0.347874382351686,2240,"['8_lag_ormenSSTjfm', '1_lag_18_median_atlSICsep', '16_lag_labSSTjfm', '1_lag_15_median_mhfATL45', '1_lag_amo1', '1_lag_9_median_shSICsep']","[3.781044071241892, 1.2845671043022922, 0.4599022962639392, 4.063391627742387, 5.483169386712749, 1.3019433118431056]","8_lag_ormenSSTjfm, 1_lag_18_median_atlSICsep, 16_lag_labSSTjfm, 1_lag_15_median_mhfATL45, 1_lag_amo1, 1_lag_9_median_shSICsep_2240_1"
LRforcedPSO,5,6,mhfATL45,picntrl,1071.5,2050.5,0.4,20,1,1,11.177419378459506,0.06426618157974426,2368,"['1_lag_9_median_shSICmar', '8_lag_amo3', '7_lag_nppc3SSTjfm', '2_lag_traFB', '8_lag_traDP', '1_lag_3_median_traEU']","[2.6905009387933374, 2.163615401884685, 2.0179095993378673, 2.269247249132281, 2.0230447214822154, 2.682211761919059]","1_lag_9_median_shSICmar, 8_lag_amo3, 7_lag_nppc3SSTjfm, 2_lag_traFB, 8_lag_traDP, 1_lag_3_median_traEU_2368_1"
LRforcedPSO,6,6,mhfATL45,picntrl,1072.5,2050.5,0.4,21,1,1,14.055822129188122,-0.17065756474101523,2496,"['16_lag_naoPSLjfm', '1_lag_13_median_pdoSSTjfm', '1_lag_15_median_amoSSTmjjaso', '1_lag_5_median_alpi', '1_lag_20_median_traDP', '1_lag_atlSICjfm']","[4.850564510604425, 0.3902417525690325, 0.5048446136618807, 0.010323321476464642, 3.260748687286414, 2.7733642884640766]","16_lag_naoPSLjfm, 1_lag_13_median_pdoSSTjfm, 1_lag_15_median_amoSSTmjjaso, 1_lag_5_median_alpi, 1_lag_20_median_traDP, 1_lag_atlSICjfm_2496_1"
LRforcedPSO,7,6,mhfATL45,picntrl,1073.5,2050.5,0.4,22,1,1,12.054229417373795,-0.001441655350435187,2624,"['11_lag_neurTSjfm', '1_lag_12_median_traMC', '1_lag_19_median_arcTSjfm', '21_lag_gyreSSTjfm', '1_lag_17_median_mhfIP30', '11_lag_traFS']","[4.504376845469675, 1.1840260715991917, 2.405093700811449, 1.0071832458640984, 4.214632665141607, 1.5385308115822696]","11_lag_neurTSjfm, 1_lag_12_median_traMC, 1_lag_19_median_arcTSjfm, 21_lag_gyreSSTjfm, 1_lag_17_median_mhfIP30, 11_lag_traFS_2624_1"
LRforcedPSO,8,6,mhfATL45,picntrl,1074.5,2050.5,0.4,23,1,1,11.066441758768798,0.10150689954302185,2752,"['1_lag_21_median_atlSICjfm', '1_lag_15_median_nhSICjfm', '1_lag_10_median_ensoSSTjfm', '2_lag_scpPSLjfm', '1_lag_10_median_gyreSSTjfm', '9_lag_traFB']","[2.592094671076965, 1.944113416265848, 1.9853493787164311, 1.944073291438353, 2.3868805475962365, 2.0837871492828235]","1_lag_21_median_atlSICjfm, 1_lag_15_median_nhSICjfm, 1_lag_10_median_ensoSSTjfm, 2_lag_scpPSLjfm, 1_lag_10_median_gyreSSTjfm, 9_lag_traFB_2752_1"
LRforcedPSO,9,6,mhfATL45,picntrl,1075.5,2050.5,0.4,24,1,1,12.73438460608934,0.09589421181595457,2880,"['1_lag_nppc3SSTjfm', '1_lag_18_median_gyreSSTjfm', '19_lag_stratZ50ndj04', '1_lag_13_median_traWP', '1_lag_18_median_tripol3', '1_lag_16_median_pdoSSTjfm']","[2.959175076143358, 3.860447372846595, 2.89545033132047, 2.9332985886766765, 3.7120321498231044, 2.926772696118702]","1_lag_nppc3SSTjfm, 1_lag_18_median_gyreSSTjfm, 19_lag_stratZ50ndj04, 1_lag_13_median_traWP, 1_lag_18_median_tripol3, 1_lag_16_median_pdoSSTjfm_2880_1"
LRforcedPSO,10,6,mhfATL45,picntrl,1076.5,2050.5,0.4,25,1,1,11.16072357369638,0.1604679390812198,3008,"['1_lag_4_median_shSICmar', '17_lag_traIFC', '1_lag_11_median_nppc3SSTjfm', '1_lag_4_median_wnorPRjfm', '14_lag_traIT', '1_lag_13_median_traCA']","[5.341338350395519, 1.2340829289206194, 2.0698465042523075, 0.3666717768576291, 1.8064823494234243, 4.165413354624386]","1_lag_4_median_shSICmar, 17_lag_traIFC, 1_lag_11_median_nppc3SSTjfm, 1_lag_4_median_wnorPRjfm, 14_lag_traIT, 1_lag_13_median_traCA_3008_1"
LRforcedPSO,11,6,mhfATL45,picntrl,1077.5,2050.5,0.4,26,1,1,12.655938641264767,-0.06398467605596274,3136,"['1_lag_10_median_traWP', '11_lag_traEU', '20_lag_shSICsep', '3_lag_eurPSLjfm', '1_lag_15_median_nhSICsep', '20_lag_eapPSLjfm']","[2.5741754735252287, 2.262322239433086, 1.9646520980850544, 2.0194673372064096, 2.5845214566947616, 2.5595646450184484]","1_lag_10_median_traWP, 11_lag_traEU, 20_lag_shSICsep, 3_lag_eurPSLjfm, 1_lag_15_median_nhSICsep, 20_lag_eapPSLjfm_3136_1"
LRforcedPSO,12,6,mhfATL45,picntrl,1078.5,2050.5,0.4,27,1,1,12.120201339659342,-0.010819671629599454,3264,"['1_lag_26_median_mhfATL30', '1_lag_9_median_yrvPRjja', '1_lag_15_median_eurPSLjfm', '18_lag_gyreSSTjfm', '19_lag_AMOCann', '26_lag_ginwSSTjfm']","[2.010841948102935, 2.3269256173233916, 3.1691122781622045, 1.3826568362220009, 3.054822532524655, 4.85251226419345]","1_lag_26_median_mhfATL30, 1_lag_9_median_yrvPRjja, 1_lag_15_median_eurPSLjfm, 18_lag_gyreSSTjfm, 19_lag_AMOCann, 26_lag_ginwSSTjfm_3264_1"
LRforcedPSO,13,6,mhfATL45,picntrl,1079.5,2050.5,0.4,28,1,1,11.240976239314104,0.01055372971189531,3392,"['22_lag_stratZ50ndj02', '1_lag_15_median_neurTSjfm', '17_lag_stratZ50ndj02', '1_lag_2_median_traBO', '27_lag_stratZ50ndj01', '16_lag_alpi']","[2.745435199064678, 1.377288461655768, 0.34422597442818414, 1.4504176938930602, 2.676298141819725, 0.24771769577814595]","22_lag_stratZ50ndj02, 1_lag_15_median_neurTSjfm, 17_lag_stratZ50ndj02, 1_lag_2_median_traBO, 27_lag_stratZ50ndj01, 16_lag_alpi_3392_1"
LRforcedPSO,14,6,mhfATL45,picntrl,1080.5,2050.5,0.4,29,1,1,12.484129301402877,0.008365551315465276,3520,"['26_lag_labSSTjfm', '11_lag_shSICsep', '1_lag_25_median_amo2', '2_lag_nppc2SSTjfm', '13_lag_tripol2', '5_lag_traMC']","[0.5669216275462112, 0.3730759755878843, 4.917605933078061, 0.009477973049651922, 7.009061742163459, 0.828710975840881]","26_lag_labSSTjfm, 11_lag_shSICsep, 1_lag_25_median_amo2, 2_lag_nppc2SSTjfm, 13_lag_tripol2, 5_lag_traMC_3520_1"
