model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,mhfATL45,picntrl,1066.5,2050.5,0.6,15,1,1,10.468787408883381,0.30585197985072776,1728,"['13_lag_traFB', '14_lag_traEC', '1_lag_6_median_amo2', '1_lag_traWP', '3_lag_traBS', '12_lag_nppc2SSTjfm', '9_lag_traTLS', '1_lag_shSICmar', '6_lag_nhSICsep', '6_lag_samPSLann', '7_lag_neurTSjfm', '13_lag_neurTSjfm', '1_lag_6_median_amoSSTmjjaso', '11_lag_atlSICjfm', '1_lag_4_median_neurTSjfm', '5_lag_traBS', '12_lag_mhfIP30', '3_lag_shSICsep', '6_lag_mhfATL60', '14_lag_nppc2SSTjfm', '3_lag_mhfATL30', '6_lag_nppc2SSTjfm', '1_lag_traEU', '5_lag_mhfIP30', '13_lag_traMC', '6_lag_glomaSSTjfm', '3_lag_traFB', '10_lag_yrvPRjja', '13_lag_nchinaPRjja', '9_lag_amo3']","[0.0748577713016809, 0.04635414368540819, 0.18273206534315803, 0.09893841730239078, 0.043467547165444806, 0.04907386518405229, 0.05426938793497722, 0.011953611686219726, 0.07861278623846682, 0.059224478763710606, 0.056044636655872546, 0.050403599615220854, 0.21279271062463756, 0.05058525462450299, 0.20246540381040812, 0.11959211790411298, 0.053054366104813726, 0.0008616384276871752, 0.10815453660078667, 0.039952456134476316, 0.17540415343335336, 0.0271507255008574, 0.05991466011366999, 0.06578907798448917, 0.09169417112256155, 0.004695244361340445, 0.019027699177732796, 0.06867583380459552, 0.08907320165906962, 0.0776819740553062]","13_lag_traFB, 14_lag_traEC, 1_lag_6_median_amo2, 1_lag_traWP, 3_lag_traBS, 12_lag_nppc2SSTjfm, 9_lag_traTLS, 1_lag_shSICmar, 6_lag_nhSICsep, 6_lag_samPSLann, 7_lag_neurTSjfm, 13_lag_neurTSjfm, 1_lag_6_median_amoSSTmjjaso, 11_lag_atlSICjfm, 1_lag_4_median_neurTSjfm, 5_lag_traBS, 12_lag_mhfIP30, 3_lag_shSICsep, 6_lag_mhfATL60, 14_lag_nppc2SSTjfm, 3_lag_mhfATL30, 6_lag_nppc2SSTjfm, 1_lag_traEU, 5_lag_mhfIP30, 13_lag_traMC, 6_lag_glomaSSTjfm, 3_lag_traFB, 10_lag_yrvPRjja, 13_lag_nchinaPRjja, 9_lag_amo3_1728_1"
LinearRegression,1,30,mhfATL45,picntrl,1067.5,2050.5,0.6,16,1,1,10.120447480101548,0.31759119928482077,1856,"['12_lag_AMOCann', '10_lag_naoPSLjfm', '14_lag_traDP', '14_lag_shSICmar', '1_lag_gyreSSTjfm', '3_lag_shSICsep', '7_lag_neurTSjfm', '5_lag_mhfIP30', '1_lag_traEU', '15_lag_amo2', '1_lag_shSICmar', '10_lag_satlSSTjfm', '9_lag_traTLS', '6_lag_nppc2SSTjfm', '3_lag_mhfATL30', '9_lag_ormenSSTjfm', '5_lag_traBS', '9_lag_amo3', '14_lag_traEC', '3_lag_traFB', '15_lag_atlSICsep', '6_lag_mhfATL60', '1_lag_traWP', '6_lag_samPSLann', '12_lag_mhfIP30', '6_lag_glomaSSTjfm', '15_lag_shSICsep', '13_lag_nchinaPRjja', '10_lag_yrvPRjja', '13_lag_traMC']","[0.05287434186386152, 0.0031220111620061386, 0.03933315325432821, 0.008924926455047822, 0.2154077888014923, 0.023286769802041613, 0.06275417337036085, 0.06403108930887975, 0.026175106379450527, 0.003589437761616465, 0.008040878639827645, 0.00881608775602327, 0.04969897024350761, 0.04332856039609032, 0.23326557863291664, 0.0465621492159279, 0.11879704924001162, 0.05939492638872258, 0.03858975026264082, 0.05625406425632545, 0.013830526589319261, 0.09021517754220984, 0.13641078735408435, 0.07990953403895543, 0.029916352964991882, 0.00432533821801048, 0.026295063288642624, 0.062291790456823946, 0.05924441237382517, 0.09172833635028159]","12_lag_AMOCann, 10_lag_naoPSLjfm, 14_lag_traDP, 14_lag_shSICmar, 1_lag_gyreSSTjfm, 3_lag_shSICsep, 7_lag_neurTSjfm, 5_lag_mhfIP30, 1_lag_traEU, 15_lag_amo2, 1_lag_shSICmar, 10_lag_satlSSTjfm, 9_lag_traTLS, 6_lag_nppc2SSTjfm, 3_lag_mhfATL30, 9_lag_ormenSSTjfm, 5_lag_traBS, 9_lag_amo3, 14_lag_traEC, 3_lag_traFB, 15_lag_atlSICsep, 6_lag_mhfATL60, 1_lag_traWP, 6_lag_samPSLann, 12_lag_mhfIP30, 6_lag_glomaSSTjfm, 15_lag_shSICsep, 13_lag_nchinaPRjja, 10_lag_yrvPRjja, 13_lag_traMC_1856_1"
LinearRegression,2,30,mhfATL45,picntrl,1068.5,2050.5,0.6,17,1,1,9.881691633400683,0.38078697384779187,1984,"['1_lag_amo3', '3_lag_shSICsep', '15_lag_traEU', '1_lag_nhSICsep', '7_lag_traCA', '6_lag_glomaSSTjfm', '1_lag_shSICmar', '11_lag_atlSICjfm', '10_lag_satlSSTjfm', '5_lag_traBS', '6_lag_nppc2SSTjfm', '14_lag_traEC', '10_lag_naoPSLjfm', '1_lag_traEU', '15_lag_shSICsep', '5_lag_shSICsep', '1_lag_gyreSSTjfm', '14_lag_traDP', '6_lag_samPSLann', '1_lag_traWP', '9_lag_amo3', '13_lag_nchinaPRjja', '3_lag_traFB', '6_lag_mhfATL60', '1_lag_amo1', '15_lag_atlSICsep', '15_lag_amo2', '16_lag_stratZ50ndj04', '10_lag_yrvPRjja', '13_lag_traMC']","[0.20374393530573343, 0.05696879199270716, 0.011841724728467867, 0.038067974809250685, 0.10725930669292279, 0.03958976116870954, 0.024886730287337826, 0.03800539768129032, 0.017924126281588407, 0.11285573904949198, 0.0002865586727736984, 0.043146942709688725, 0.00782701227050865, 0.02624107918133438, 0.006542263297130634, 0.09438397359780873, 0.3458597964823187, 0.0012741958392850083, 0.0817689533948304, 0.18000411651056414, 0.0736033876683146, 0.06910112122286438, 0.14146956525162413, 0.0270617611705466, 0.17043865768549862, 0.007988989308673488, 0.011479030771408948, 0.03384752881190399, 0.04421298740924547, 0.07994582906561545]","1_lag_amo3, 3_lag_shSICsep, 15_lag_traEU, 1_lag_nhSICsep, 7_lag_traCA, 6_lag_glomaSSTjfm, 1_lag_shSICmar, 11_lag_atlSICjfm, 10_lag_satlSSTjfm, 5_lag_traBS, 6_lag_nppc2SSTjfm, 14_lag_traEC, 10_lag_naoPSLjfm, 1_lag_traEU, 15_lag_shSICsep, 5_lag_shSICsep, 1_lag_gyreSSTjfm, 14_lag_traDP, 6_lag_samPSLann, 1_lag_traWP, 9_lag_amo3, 13_lag_nchinaPRjja, 3_lag_traFB, 6_lag_mhfATL60, 1_lag_amo1, 15_lag_atlSICsep, 15_lag_amo2, 16_lag_stratZ50ndj04, 10_lag_yrvPRjja, 13_lag_traMC_1984_1"
LinearRegression,3,30,mhfATL45,picntrl,1069.5,2050.5,0.6,18,1,1,9.902509130475453,0.4087154228454005,2112,"['9_lag_traTLS', '3_lag_mhfATL30', '10_lag_satlSSTjfm', '17_lag_nppc2SSTjfm', '10_lag_naoPSLjfm', '5_lag_atlSICjfm', '1_lag_gyreSSTjfm', '1_lag_shSICmar', '16_lag_mhfATL60', '1_lag_amo3', '14_lag_traEC', '5_lag_shSICsep', '17_lag_traEC', '15_lag_atlSICsep', '12_lag_mhfIP30', '1_lag_nhSICsep', '11_lag_atlSICjfm', '1_lag_traWP', '3_lag_traFB', '10_lag_yrvPRjja', '6_lag_samPSLann', '9_lag_amo3', '14_lag_shSICmar', '1_lag_amo1', '1_lag_traEU', '13_lag_nchinaPRjja', '15_lag_amo2', '16_lag_stratZ50ndj04', '15_lag_shSICsep', '13_lag_traMC']","[0.05423054153477118, 0.19899168489759503, 0.0007024361141114255, 0.011384865137048164, 0.0006144294126722993, 0.12594058997309687, 0.32413106357827015, 0.007661174604438226, 0.021444770801909308, 0.1576955638671191, 0.021503217841045686, 0.036963032417436474, 0.012913069249494872, 0.008278031854870442, 0.04301710434939661, 0.039118229488284, 0.03944723518661832, 0.14030384172685992, 0.06501617659447118, 0.0692490166808448, 0.10139798972119704, 0.10992715984407678, 0.015925431343244187, 0.16233251615782104, 0.025411503156509918, 0.06925191088970714, 0.0026497498294884153, 0.043707141834330034, 0.02077359625346505, 0.06813358053626876]","9_lag_traTLS, 3_lag_mhfATL30, 10_lag_satlSSTjfm, 17_lag_nppc2SSTjfm, 10_lag_naoPSLjfm, 5_lag_atlSICjfm, 1_lag_gyreSSTjfm, 1_lag_shSICmar, 16_lag_mhfATL60, 1_lag_amo3, 14_lag_traEC, 5_lag_shSICsep, 17_lag_traEC, 15_lag_atlSICsep, 12_lag_mhfIP30, 1_lag_nhSICsep, 11_lag_atlSICjfm, 1_lag_traWP, 3_lag_traFB, 10_lag_yrvPRjja, 6_lag_samPSLann, 9_lag_amo3, 14_lag_shSICmar, 1_lag_amo1, 1_lag_traEU, 13_lag_nchinaPRjja, 15_lag_amo2, 16_lag_stratZ50ndj04, 15_lag_shSICsep, 13_lag_traMC_2112_1"
LinearRegression,4,30,mhfATL45,picntrl,1070.5,2050.5,0.6,19,1,1,10.45470946568263,0.29652465364094144,2240,"['13_lag_mhfIP30', '5_lag_eurPSLjfm', '10_lag_satlSSTjfm', '5_lag_seurTSjfm', '17_lag_traEC', '5_lag_shSICsep', '5_lag_atlSICjfm', '13_lag_ismPRjja', '14_lag_traEC', '6_lag_samPSLann', '1_lag_amo3', '9_lag_amo3', '17_lag_mhfATL30', '16_lag_stratZ50ndj04', '17_lag_nppc2SSTjfm', '12_lag_mhfIP30', '1_lag_traWP', '1_lag_nhSICsep', '11_lag_atlSICjfm', '1_lag_gyreSSTjfm', '3_lag_traFB', '16_lag_mhfATL60', '1_lag_traEU', '10_lag_yrvPRjja', '13_lag_nchinaPRjja', '14_lag_shSICmar', '13_lag_traMC', '1_lag_amo1', '15_lag_shSICsep', '15_lag_amo2']","[0.019319753306536774, 0.037410425900708325, 0.0013901339895290889, 0.12122164282220567, 0.010524562566647931, 0.05815574303743418, 0.11694043006550724, 0.0758033331239519, 0.03702842418241258, 0.09080256641036794, 0.19589265515419954, 0.0969398887271841, 0.0464796444669501, 0.04184260208719648, 0.001603953795047193, 0.06281017209013014, 0.17544938669068647, 0.03840510508276218, 0.04535970575728478, 0.3173708970303211, 0.1386613355688244, 0.011770354841003802, 0.025974113249765153, 0.06191392292896122, 0.07073628748424123, 0.020219230063835136, 0.07539644752703674, 0.17870644134127792, 0.013963572562436861, 0.0069276775233300175]","13_lag_mhfIP30, 5_lag_eurPSLjfm, 10_lag_satlSSTjfm, 5_lag_seurTSjfm, 17_lag_traEC, 5_lag_shSICsep, 5_lag_atlSICjfm, 13_lag_ismPRjja, 14_lag_traEC, 6_lag_samPSLann, 1_lag_amo3, 9_lag_amo3, 17_lag_mhfATL30, 16_lag_stratZ50ndj04, 17_lag_nppc2SSTjfm, 12_lag_mhfIP30, 1_lag_traWP, 1_lag_nhSICsep, 11_lag_atlSICjfm, 1_lag_gyreSSTjfm, 3_lag_traFB, 16_lag_mhfATL60, 1_lag_traEU, 10_lag_yrvPRjja, 13_lag_nchinaPRjja, 14_lag_shSICmar, 13_lag_traMC, 1_lag_amo1, 15_lag_shSICsep, 15_lag_amo2_2240_1"
LinearRegression,5,30,mhfATL45,picntrl,1071.5,2050.5,0.6,20,1,1,10.386453772355587,0.2940576495157201,2368,"['19_lag_labSSTjfm', '19_lag_yrvPRjja', '13_lag_mhfIP30', '17_lag_mhfATL30', '11_lag_atlSICjfm', '13_lag_ismPRjja', '5_lag_eurPSLjfm', '17_lag_nppc2SSTjfm', '14_lag_traEC', '15_lag_traEU', '1_lag_nhSICsep', '1_lag_traWP', '9_lag_amo3', '6_lag_samPSLann', '1_lag_amo3', '1_lag_traIT', '12_lag_mhfIP30', '16_lag_atlSICjfm', '1_lag_traEU', '17_lag_traEC', '15_lag_shSICsep', '3_lag_traFB', '14_lag_shSICmar', '1_lag_gyreSSTjfm', '13_lag_nchinaPRjja', '16_lag_mhfATL60', '15_lag_amo2', '13_lag_traMC', '10_lag_yrvPRjja', '1_lag_amo1']","[0.08516819239318636, 0.09889917550773161, 0.02824211938277806, 0.004938873763218559, 0.040866422977290214, 0.07108640120814642, 0.01480608890093258, 0.011554457597895255, 0.03108386340029674, 0.024049099088906435, 0.02226294686912, 0.16623109578447448, 0.057351612053791676, 0.0788897422647868, 0.23932668928567521, 0.10458872401342441, 0.06437104822603157, 0.07697319320747445, 0.01339450038967973, 0.005955431444300137, 0.006488304814267168, 0.15745060056140195, 0.023860895886154452, 0.33436861962599174, 0.07138123809444762, 0.01705339334532626, 0.02194825220972675, 0.06600195810953273, 0.05116705476179158, 0.14623855294227578]","19_lag_labSSTjfm, 19_lag_yrvPRjja, 13_lag_mhfIP30, 17_lag_mhfATL30, 11_lag_atlSICjfm, 13_lag_ismPRjja, 5_lag_eurPSLjfm, 17_lag_nppc2SSTjfm, 14_lag_traEC, 15_lag_traEU, 1_lag_nhSICsep, 1_lag_traWP, 9_lag_amo3, 6_lag_samPSLann, 1_lag_amo3, 1_lag_traIT, 12_lag_mhfIP30, 16_lag_atlSICjfm, 1_lag_traEU, 17_lag_traEC, 15_lag_shSICsep, 3_lag_traFB, 14_lag_shSICmar, 1_lag_gyreSSTjfm, 13_lag_nchinaPRjja, 16_lag_mhfATL60, 15_lag_amo2, 13_lag_traMC, 10_lag_yrvPRjja, 1_lag_amo1_2368_1"
LinearRegression,6,30,mhfATL45,picntrl,1072.5,2050.5,0.6,21,1,1,10.347082850760087,0.3171856156136765,2496,"['7_lag_eapPSLjfm', '17_lag_nppc2SSTjfm', '9_lag_amo3', '6_lag_samPSLann', '1_lag_traIT', '13_lag_traFB', '9_lag_traTLS', '13_lag_ismPRjja', '1_lag_traWP', '1_lag_nhSICsep', '19_lag_traEU', '19_lag_traBS', '12_lag_mhfIP30', '15_lag_shSICsep', '15_lag_traEU', '16_lag_mhfATL60', '17_lag_traEC', '14_lag_shSICmar', '17_lag_mhfATL30', '1_lag_amo3', '16_lag_atlSICjfm', '13_lag_nchinaPRjja', '1_lag_amoSSTmjjaso', '1_lag_traEU', '3_lag_traFB', '15_lag_amo2', '10_lag_yrvPRjja', '1_lag_gyreSSTjfm', '13_lag_traMC', '1_lag_amo1']","[0.06053775807292829, 0.025000119732690097, 0.059674308580791494, 0.0789326711828179, 0.11542140822549823, 0.0008369162173520419, 0.05606546888152998, 0.08494016703257937, 0.17543481089626553, 0.024801900642719324, 0.05024192866270979, 0.003191141837703979, 0.057583825427219355, 0.0054149376567938735, 0.04108577156542797, 0.0003689162270866319, 0.004206144332098037, 0.04025535567583525, 0.016912197157918106, 0.21747065514686, 0.07105212000843963, 0.07424785409605603, 0.03077938229533328, 0.005287419543978751, 0.14460932785991276, 0.0046627150761721714, 0.05025250522306897, 0.31315825928899893, 0.07676634561522902, 0.15918931977020326]","7_lag_eapPSLjfm, 17_lag_nppc2SSTjfm, 9_lag_amo3, 6_lag_samPSLann, 1_lag_traIT, 13_lag_traFB, 9_lag_traTLS, 13_lag_ismPRjja, 1_lag_traWP, 1_lag_nhSICsep, 19_lag_traEU, 19_lag_traBS, 12_lag_mhfIP30, 15_lag_shSICsep, 15_lag_traEU, 16_lag_mhfATL60, 17_lag_traEC, 14_lag_shSICmar, 17_lag_mhfATL30, 1_lag_amo3, 16_lag_atlSICjfm, 13_lag_nchinaPRjja, 1_lag_amoSSTmjjaso, 1_lag_traEU, 3_lag_traFB, 15_lag_amo2, 10_lag_yrvPRjja, 1_lag_gyreSSTjfm, 13_lag_traMC, 1_lag_amo1_2496_1"
LinearRegression,7,30,mhfATL45,picntrl,1073.5,2050.5,0.6,22,1,1,9.943773426788635,0.3387351437779981,2624,"['3_lag_wnorPRjfm', '19_lag_traBS', '6_lag_samPSLann', '16_lag_stratZ50ndj04', '15_lag_shSICsep', '21_lag_traDP', '21_lag_labSSTjfm', '5_lag_traBS', '11_lag_atlSICjfm', '17_lag_traEC', '1_lag_traIT', '16_lag_mhfATL60', '14_lag_shSICmar', '15_lag_traEU', '1_lag_amoSSTmjjaso', '15_lag_amo2', '12_lag_mhfIP30', '13_lag_ismPRjja', '1_lag_nhSICsep', '16_lag_atlSICjfm', '1_lag_traEU', '3_lag_traFB', '1_lag_traWP', '17_lag_mhfATL30', '1_lag_amo3', '10_lag_yrvPRjja', '1_lag_gyreSSTjfm', '13_lag_nchinaPRjja', '13_lag_traMC', '1_lag_amo1']","[0.05853650535932121, 0.026271075946422584, 0.07383972780440377, 0.03595774831065431, 0.020447222811393606, 0.03256556635351406, 0.10882913668321269, 0.11984342707730682, 0.03028584223854478, 0.001980915823423253, 0.0989978284384576, 0.013908205141338418, 0.02463670797155688, 0.02543337689276843, 0.026420889310645363, 0.017134968187477638, 0.048186304408654165, 0.08929127190297692, 0.020702896554227176, 0.07404246532855836, 0.014451834640774389, 0.1426353143105531, 0.15871254758329284, 0.00999952792852547, 0.17343300954919066, 0.031393223080087754, 0.26937577225795917, 0.08276036349024457, 0.07047065800026123, 0.16266743801334088]","3_lag_wnorPRjfm, 19_lag_traBS, 6_lag_samPSLann, 16_lag_stratZ50ndj04, 15_lag_shSICsep, 21_lag_traDP, 21_lag_labSSTjfm, 5_lag_traBS, 11_lag_atlSICjfm, 17_lag_traEC, 1_lag_traIT, 16_lag_mhfATL60, 14_lag_shSICmar, 15_lag_traEU, 1_lag_amoSSTmjjaso, 15_lag_amo2, 12_lag_mhfIP30, 13_lag_ismPRjja, 1_lag_nhSICsep, 16_lag_atlSICjfm, 1_lag_traEU, 3_lag_traFB, 1_lag_traWP, 17_lag_mhfATL30, 1_lag_amo3, 10_lag_yrvPRjja, 1_lag_gyreSSTjfm, 13_lag_nchinaPRjja, 13_lag_traMC, 1_lag_amo1_2624_1"
LinearRegression,8,30,mhfATL45,picntrl,1074.5,2050.5,0.6,23,1,1,10.432243483220422,0.2731138547045577,2752,"['17_lag_nppc2SSTjfm', '1_lag_eurPSLjfm', '7_lag_eapPSLjfm', '21_lag_traBS', '15_lag_amo2', '5_lag_traBS', '11_lag_atlSICjfm', '1_lag_eapPSLjfm', '21_lag_stratZ50ndj03', '12_lag_mhfIP30', '13_lag_ismPRjja', '17_lag_traEC', '16_lag_ismPRjja', '19_lag_traEU', '3_lag_traFB', '1_lag_traEU', '1_lag_amoSSTmjjaso', '1_lag_traWP', '17_lag_mhfATL30', '14_lag_shSICmar', '19_lag_traBS', '13_lag_nchinaPRjja', '1_lag_amo3', '1_lag_nhSICsep', '16_lag_atlSICjfm', '1_lag_gyreSSTjfm', '10_lag_yrvPRjja', '17_lag_alpi', '13_lag_traMC', '1_lag_amo1']","[0.01511294106911448, 0.10797367218565, 0.051838840328577246, 0.08884023350426888, 0.00821948874376203, 0.11681514272925525, 0.04590362708846535, 0.044165860222728046, 0.06257983060675591, 0.05927327463200378, 0.09309732625589416, 0.01095067331068215, 0.027038216643832182, 0.04647715524481081, 0.12085872854793214, 0.028790805578672928, 0.042993999599096326, 0.17365779994928654, 0.03376845514312325, 0.02670513706030504, 0.011739077294832728, 0.0807377038203693, 0.11396039818077433, 0.015304035571045952, 0.07300042363663828, 0.21459851916696712, 0.037354130167358446, 0.04467224371684171, 0.08452835380750218, 0.15779143980941268]","17_lag_nppc2SSTjfm, 1_lag_eurPSLjfm, 7_lag_eapPSLjfm, 21_lag_traBS, 15_lag_amo2, 5_lag_traBS, 11_lag_atlSICjfm, 1_lag_eapPSLjfm, 21_lag_stratZ50ndj03, 12_lag_mhfIP30, 13_lag_ismPRjja, 17_lag_traEC, 16_lag_ismPRjja, 19_lag_traEU, 3_lag_traFB, 1_lag_traEU, 1_lag_amoSSTmjjaso, 1_lag_traWP, 17_lag_mhfATL30, 14_lag_shSICmar, 19_lag_traBS, 13_lag_nchinaPRjja, 1_lag_amo3, 1_lag_nhSICsep, 16_lag_atlSICjfm, 1_lag_gyreSSTjfm, 10_lag_yrvPRjja, 17_lag_alpi, 13_lag_traMC, 1_lag_amo1_2752_1"
LinearRegression,9,30,mhfATL45,picntrl,1075.5,2050.5,0.6,24,1,1,10.674138572111634,0.25803083706555385,2880,"['16_lag_ismPRjja', '16_lag_arcTSjfm', '1_lag_eurPSLjfm', '13_lag_ismPRjja', '15_lag_amo2', '20_lag_nchinaPRjja', '7_lag_eapPSLjfm', '21_lag_traBS', '1_lag_traEU', '12_lag_mhfIP30', '1_lag_traIT', '17_lag_traEC', '3_lag_traFB', '1_lag_eapPSLjfm', '1_lag_amoSSTmjjaso', '19_lag_traBS', '11_lag_atlSICjfm', '1_lag_traWP', '17_lag_mhfATL30', '17_lag_alpi', '1_lag_nhSICsep', '13_lag_nchinaPRjja', '1_lag_amo3', '19_lag_traEU', '14_lag_shSICmar', '16_lag_atlSICjfm', '1_lag_gyreSSTjfm', '10_lag_yrvPRjja', '13_lag_traMC', '1_lag_amo1']","[0.029657177564423355, 0.021420869066725745, 0.11768255571600539, 0.08288184055467307, 0.011291914420896616, 0.018724610527142808, 0.04801659921404893, 0.08155327539409793, 0.011932516592168025, 0.05673463277470149, 0.09974992093610666, 0.007983844526333564, 0.13021267273715964, 0.0379036206712323, 0.029819674321847536, 0.010917888687522252, 0.041335732940394054, 0.16671593849637817, 0.02594108112499936, 0.04572072690002381, 0.02834792704638461, 0.0748135362454318, 0.14464498765162162, 0.04350142658218513, 0.024130763734758733, 0.08051145383082556, 0.236553898847262, 0.04920726050333585, 0.08291415586934134, 0.12504645324174388]","16_lag_ismPRjja, 16_lag_arcTSjfm, 1_lag_eurPSLjfm, 13_lag_ismPRjja, 15_lag_amo2, 20_lag_nchinaPRjja, 7_lag_eapPSLjfm, 21_lag_traBS, 1_lag_traEU, 12_lag_mhfIP30, 1_lag_traIT, 17_lag_traEC, 3_lag_traFB, 1_lag_eapPSLjfm, 1_lag_amoSSTmjjaso, 19_lag_traBS, 11_lag_atlSICjfm, 1_lag_traWP, 17_lag_mhfATL30, 17_lag_alpi, 1_lag_nhSICsep, 13_lag_nchinaPRjja, 1_lag_amo3, 19_lag_traEU, 14_lag_shSICmar, 16_lag_atlSICjfm, 1_lag_gyreSSTjfm, 10_lag_yrvPRjja, 13_lag_traMC, 1_lag_amo1_2880_1"
