model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,naoPSLjfm,picntrl,1514.5,2050.5,0.4,15,1,1,18.426746897017765,-0.11413137669869118,1728,"['8_lag_traCA', '1_lag_2_median_alpi', '1_lag_7_median_naoPSLjfm', '7_lag_traIFC', '1_lag_mhfATL30', '8_lag_alpi', '1_lag_6_median_nhTSjfm', '2_lag_traFS', '9_lag_cetTSjfm', '1_lag_arcTSjfm']","[6.353993921392123, 0.324375884138135, 0.49580057563278856, 3.086641533992946, 3.713613525883364, 2.3763516645424225, 5.796852730926172, 0.9948512859500376, 2.315371989608458, 3.3598157205334385]","8_lag_traCA, 1_lag_2_median_alpi, 1_lag_7_median_naoPSLjfm, 7_lag_traIFC, 1_lag_mhfATL30, 8_lag_alpi, 1_lag_6_median_nhTSjfm, 2_lag_traFS, 9_lag_cetTSjfm, 1_lag_arcTSjfm_1728_1"
LRforcedPSO,1,10,naoPSLjfm,picntrl,1515.5,2050.5,0.4,16,1,1,18.83374776207037,0.0649201161077272,1856,"['1_lag_11_median_nchinaPRjja', '10_lag_traEU', '1_lag_3_median_ormenSSTjfm', '1_lag_14_median_AMOCann', '1_lag_8_median_nppc3SSTjfm', '1_lag_8_median_AMOCann', '1_lag_2_median_tripol2', '1_lag_10_median_atlSICjfm', '8_lag_traCA', '1_lag_5_median_amo1']","[4.3868822886888275, 3.4858059024445565, 1.52333634070796, 5.981109036068551, 4.582428969675085, 8.56708375341425, 5.1864452078304915, 2.0036996932878655, 0.44695571098650433, 6.664002674810519]","1_lag_11_median_nchinaPRjja, 10_lag_traEU, 1_lag_3_median_ormenSSTjfm, 1_lag_14_median_AMOCann, 1_lag_8_median_nppc3SSTjfm, 1_lag_8_median_AMOCann, 1_lag_2_median_tripol2, 1_lag_10_median_atlSICjfm, 8_lag_traCA, 1_lag_5_median_amo1_1856_1"
LRforcedPSO,2,10,naoPSLjfm,picntrl,1516.5,2050.5,0.4,17,1,1,17.53143389280437,0.0023990050122348738,1984,"['2_lag_traDS', '1_lag_10_median_seurTSjfm', '13_lag_scpPSLjfm', '1_lag_9_median_yrvPRjja', '3_lag_amo1', '15_lag_shSICsep', '15_lag_traBS', '1_lag_5_median_shTSjfm', '1_lag_12_median_ginwSSTjfm', '11_lag_traDP']","[1.0688395018147094, 7.204227981582707, 0.1574234286033942, 0.3245649993851636, 0.48519643835081894, 5.721339114268352, 4.455230782402307, 3.350440220830947, 3.0715229904359127, 2.5525866797642536]","2_lag_traDS, 1_lag_10_median_seurTSjfm, 13_lag_scpPSLjfm, 1_lag_9_median_yrvPRjja, 3_lag_amo1, 15_lag_shSICsep, 15_lag_traBS, 1_lag_5_median_shTSjfm, 1_lag_12_median_ginwSSTjfm, 11_lag_traDP_1984_1"
LRforcedPSO,3,10,naoPSLjfm,picntrl,1517.5,2050.5,0.4,18,1,1,17.666738673577054,-0.056262124664213806,2112,"['16_lag_mhfIP30', '1_lag_11_median_eapPSLjfm', '10_lag_eapPSLjfm', '3_lag_satlSSTjfm', '1_lag_9_median_seurTSjfm', '1_lag_5_median_traFB', '1_lag_ginwSSTjfm', '1_lag_7_median_traFB', '5_lag_AMOCann', '1_lag_nppc2SSTjfm']","[1.6236616344634562, 1.070434628225577, 5.605018241773898, 3.2048122742491136, 3.0628067696592476, 0.9995257533632458, 3.4878259773826237, 6.373119202399009, 1.0828557398935708, 0.20795357070966958]","16_lag_mhfIP30, 1_lag_11_median_eapPSLjfm, 10_lag_eapPSLjfm, 3_lag_satlSSTjfm, 1_lag_9_median_seurTSjfm, 1_lag_5_median_traFB, 1_lag_ginwSSTjfm, 1_lag_7_median_traFB, 5_lag_AMOCann, 1_lag_nppc2SSTjfm_2112_1"
LRforcedPSO,4,10,naoPSLjfm,picntrl,1518.5,2050.5,0.4,19,1,1,17.733235505235406,0.039692712487813406,2240,"['10_lag_labSSTjfm', '1_lag_7_median_glTSjfm', '1_lag_9_median_traMC', '9_lag_ormenSSTjfm', '1_lag_15_median_alpi', '1_lag_4_median_pdoSSTjfm', '9_lag_shSICmar', '6_lag_amoSSTmjjaso', '3_lag_shSICmar', '3_lag_satlSSTjfm']","[5.230989919649436, 2.609433142929591, 0.8832512006185578, 7.332382163897261, 0.5071967366972707, 1.5259893713655934, 4.518700849884974, 3.1280349269326457, 1.7144124319897749, 4.590932766627262]","10_lag_labSSTjfm, 1_lag_7_median_glTSjfm, 1_lag_9_median_traMC, 9_lag_ormenSSTjfm, 1_lag_15_median_alpi, 1_lag_4_median_pdoSSTjfm, 9_lag_shSICmar, 6_lag_amoSSTmjjaso, 3_lag_shSICmar, 3_lag_satlSSTjfm_2240_1"
LRforcedPSO,5,10,naoPSLjfm,picntrl,1519.5,2050.5,0.4,20,1,1,19.00477102472791,0.003840083646422625,2368,"['1_lag_18_median_glomaSSTjfm', '15_lag_pdoSSTjfm', '1_lag_13_median_amoSSTmjjaso', '1_lag_2_median_stratZ50ndj01', '1_lag_19_median_yrvPRjja', '1_lag_18_median_traBO', '1_lag_13_median_arcTSjfm', '1_lag_9_median_ormenSSTjfm', '2_lag_traFB', '1_lag_9_median_neurTSjfm']","[4.859001347805161, 3.0033004215552204, 6.6603455472299125, 6.958728369689267, 2.423306617925885, 3.8480273484171645, 0.13588173596706987, 5.203949621421822, 4.2488795132879424, 0.19281937031607477]","1_lag_18_median_glomaSSTjfm, 15_lag_pdoSSTjfm, 1_lag_13_median_amoSSTmjjaso, 1_lag_2_median_stratZ50ndj01, 1_lag_19_median_yrvPRjja, 1_lag_18_median_traBO, 1_lag_13_median_arcTSjfm, 1_lag_9_median_ormenSSTjfm, 2_lag_traFB, 1_lag_9_median_neurTSjfm_2368_1"
LRforcedPSO,6,10,naoPSLjfm,picntrl,1520.5,2050.5,0.4,21,1,1,18.19726641974214,0.09207778004918137,2496,"['13_lag_mhfATL30', '16_lag_mhfIP30', '1_lag_9_median_naoPSLjfm', '5_lag_stratZ50ndj04', '1_lag_13_median_traFS', '1_lag_20_median_amo1', '13_lag_yrvPRjja', '1_lag_9_median_tripol1', '1_lag_6_median_glTSjfm', '10_lag_ginwSSTjfm']","[4.081750970589619, 8.5458821977594, 6.68904703715863, 3.3533866950081315, 2.6266935400403053, 2.025246348097422, 0.21286488160338912, 3.532000749579314, 3.560959222711775, 4.210863835066812]","13_lag_mhfATL30, 16_lag_mhfIP30, 1_lag_9_median_naoPSLjfm, 5_lag_stratZ50ndj04, 1_lag_13_median_traFS, 1_lag_20_median_amo1, 13_lag_yrvPRjja, 1_lag_9_median_tripol1, 1_lag_6_median_glTSjfm, 10_lag_ginwSSTjfm_2496_1"
LRforcedPSO,7,10,naoPSLjfm,picntrl,1521.5,2050.5,0.4,22,2,2,20.154874017870807,-0.077430050328061,2496,"['2_lag_10_median_nchinaPRjja', '2_lag_16_median_traCA', '13_lag_traIT', '7_lag_ensoSSTjfm', '2_lag_20_median_ormenSSTjfm', '5_lag_amo1', '13_lag_cetTSjfm', '2_lag_14_median_traFS', '2_lag_3_median_glTSjfm', '2_lag_11_median_wnorPRjfm']","[2.1572183594068246, 1.4453240989153482, 3.14916910427375, 0.22767789368830726, 8.644127173465211, 2.786271024287611, 0.2641439897370077, 6.447941355773892, 1.3502775269295313, 4.874717209747912]","2_lag_10_median_nchinaPRjja, 2_lag_16_median_traCA, 13_lag_traIT, 7_lag_ensoSSTjfm, 2_lag_20_median_ormenSSTjfm, 5_lag_amo1, 13_lag_cetTSjfm, 2_lag_14_median_traFS, 2_lag_3_median_glTSjfm, 2_lag_11_median_wnorPRjfm_2496_2"
LRforcedPSO,8,10,naoPSLjfm,picntrl,1522.5,2050.5,0.4,23,3,3,17.9452527631915,-0.016959281045569843,2496,"['7_lag_gyreSSTjfm', '6_lag_traFS', '13_lag_traFS', '3_lag_traEC', '3_lag_neurTSjfm', '3_lag_16_median_nhTSjfm', '3_lag_8_median_pdoSSTjfm', '3_lag_7_median_atlSICsep', '3_lag_6_median_traIFC', '11_lag_pdoSSTjfm']","[2.0696516713529185, 3.863707400736372, 5.340839730537972, 1.9577412197318154, 1.4333944153069638, 0.24337002421357568, 2.3465572246500255, 3.2754490255279816, 3.914223513223787, 3.515121668913725]","7_lag_gyreSSTjfm, 6_lag_traFS, 13_lag_traFS, 3_lag_traEC, 3_lag_neurTSjfm, 3_lag_16_median_nhTSjfm, 3_lag_8_median_pdoSSTjfm, 3_lag_7_median_atlSICsep, 3_lag_6_median_traIFC, 11_lag_pdoSSTjfm_2496_3"
LRforcedPSO,9,10,naoPSLjfm,picntrl,1523.5,2050.5,0.4,24,4,4,17.928691380727727,0.017868283176462583,2496,"['4_lag_11_median_eapPSLjfm', '11_lag_traMC', '21_lag_nchinaPRjja', '4_lag_18_median_nhTSjfm', '4_lag_16_median_shTSjfm', '9_lag_traEC', '19_lag_nhSICjfm', '4_lag_23_median_traTLS', '8_lag_AMOCann', '9_lag_neurTSjfm']","[7.171620517205781, 0.6163954903035886, 1.1984165253684544, 2.965723637479824, 0.9091941304211772, 3.155904683708087, 3.5919389628823772, 5.130456097999168, 4.460334669655279, 2.1280822538516286]","4_lag_11_median_eapPSLjfm, 11_lag_traMC, 21_lag_nchinaPRjja, 4_lag_18_median_nhTSjfm, 4_lag_16_median_shTSjfm, 9_lag_traEC, 19_lag_nhSICjfm, 4_lag_23_median_traTLS, 8_lag_AMOCann, 9_lag_neurTSjfm_2496_4"
