model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,naoPSLjfm,picntrl,1714.5,2050.5,0.6,15,5,5,18.26299849077525,0.001475176502167619,399,"['5_lag_8_median_amo1', '9_lag_eurPSLjfm', '5_lag_14_median_amo1', '5_lag_12_median_stratZ50ndj01', '9_lag_stratZ50ndj01', '5_lag_7_median_shSICmar', '5_lag_6_median_stratZ50ndj03', '5_lag_10_median_naoPSLjfm', '10_lag_nppc2SSTjfm', '5_lag_6_median_nhSICsep']","[4.2327449696110975, 1.3907149216126342, 0.3482450943002906, 8.874376408658657, 0.6121021043206483, 5.813682781782942, 2.345544262942223, 1.4202512434672165, 4.249543271241624, 2.9652816413070404]","5_lag_8_median_amo1, 9_lag_eurPSLjfm, 5_lag_14_median_amo1, 5_lag_12_median_stratZ50ndj01, 9_lag_stratZ50ndj01, 5_lag_7_median_shSICmar, 5_lag_6_median_stratZ50ndj03, 5_lag_10_median_naoPSLjfm, 10_lag_nppc2SSTjfm, 5_lag_6_median_nhSICsep_399_5"
LRforcedPSO,1,10,naoPSLjfm,picntrl,1715.5,2050.5,0.6,16,6,6,18.423629344752523,-0.0167170782954235,399,"['6_lag_9_median_nppc2SSTjfm', '6_lag_11_median_amoSSTjfm', '6_lag_15_median_stratZ50ndj04', '14_lag_AMOCann', '11_lag_scpPSLjfm', '6_lag_11_median_amo1', '6_lag_11_median_naoPSLjfm', '6_lag_stratZ50ndj04', '9_lag_amo1', '12_lag_nhSICjfm']","[3.5709232872474983, 7.352053593414192, 3.134969526571716, 3.0829905171988177, 0.649688206590266, 4.5873778803130705, 0.7670849546074354, 5.778518376462278, 0.03275972797994342, 1.3457828368256521]","6_lag_9_median_nppc2SSTjfm, 6_lag_11_median_amoSSTjfm, 6_lag_15_median_stratZ50ndj04, 14_lag_AMOCann, 11_lag_scpPSLjfm, 6_lag_11_median_amo1, 6_lag_11_median_naoPSLjfm, 6_lag_stratZ50ndj04, 9_lag_amo1, 12_lag_nhSICjfm_399_6"
LRforcedPSO,2,10,naoPSLjfm,picntrl,1716.5,2050.5,0.6,17,7,7,17.184371584388142,0.011814754874482015,399,"['7_lag_13_median_scpPSLjfm', '14_lag_naoPSLjfm', '16_lag_atlSICjfm', '14_lag_stratZ50ndj04', '10_lag_scpPSLjfm', '9_lag_scpPSLjfm', '7_lag_10_median_shSICmar', '7_lag_nhSICjfm', '7_lag_16_median_naoPSLjfm', '12_lag_amoSSTjfm']","[3.0178404556826273, 3.180377241645269, 7.248883141570786, 5.277663503403154, 1.6767282274145128, 4.453532118899006, 3.0722535088815626, 2.6908323220239527, 3.5444307333638703, 2.589473970419169]","7_lag_13_median_scpPSLjfm, 14_lag_naoPSLjfm, 16_lag_atlSICjfm, 14_lag_stratZ50ndj04, 10_lag_scpPSLjfm, 9_lag_scpPSLjfm, 7_lag_10_median_shSICmar, 7_lag_nhSICjfm, 7_lag_16_median_naoPSLjfm, 12_lag_amoSSTjfm_399_7"
LRforcedPSO,3,10,naoPSLjfm,picntrl,1717.5,2050.5,0.6,18,8,8,15.946414308669695,0.07846667326051754,399,"['8_lag_12_median_atlSICjfm', '12_lag_nppc2SSTjfm', '8_lag_10_median_naoPSLjfm', '10_lag_nppc2SSTjfm', '8_lag_12_median_shSICsep', '8_lag_14_median_stratZ50ndj03', '8_lag_11_median_stratZ50ndj04', '8_lag_13_median_amo3', '8_lag_13_median_stratZ50ndj04', '8_lag_9_median_amo3']","[3.069990160631269, 1.2853091205844507, 1.2112473022283528, 1.9200124768725875, 1.8578839640656657, 6.463797521106937, 1.0719991707705407, 2.777737972172096, 0.5404767559287134, 2.492239902879941]","8_lag_12_median_atlSICjfm, 12_lag_nppc2SSTjfm, 8_lag_10_median_naoPSLjfm, 10_lag_nppc2SSTjfm, 8_lag_12_median_shSICsep, 8_lag_14_median_stratZ50ndj03, 8_lag_11_median_stratZ50ndj04, 8_lag_13_median_amo3, 8_lag_13_median_stratZ50ndj04, 8_lag_9_median_amo3_399_8"
LRforcedPSO,4,10,naoPSLjfm,picntrl,1718.5,2050.5,0.6,19,9,9,16.324373886728992,-0.10038445399472767,399,"['9_lag_14_median_naoPSLjfm', '9_lag_17_median_naoPSLjfm', '9_lag_13_median_amo2', '9_lag_13_median_scpPSLjfm', '10_lag_stratZ50ndj03', '18_lag_atlSICjfm', '18_lag_eapPSLjfm', '15_lag_amo3', '9_lag_11_median_amo2', '15_lag_nppc2SSTjfm']","[1.0374262926858808, 2.8557839218773946, 2.5832920308244116, 3.4810183725890447, 0.21652830502172904, 1.8202667884890644, 0.3398214319687298, 4.124616969178508, 5.166751009839533, 2.7357162247320277]","9_lag_14_median_naoPSLjfm, 9_lag_17_median_naoPSLjfm, 9_lag_13_median_amo2, 9_lag_13_median_scpPSLjfm, 10_lag_stratZ50ndj03, 18_lag_atlSICjfm, 18_lag_eapPSLjfm, 15_lag_amo3, 9_lag_11_median_amo2, 15_lag_nppc2SSTjfm_399_9"
LRforcedPSO,5,10,naoPSLjfm,picntrl,1719.5,2050.5,0.6,20,10,10,18.21829121940654,0.025130612887845998,399,"['17_lag_nhSICjfm', '15_lag_stratZ50ndj02', '16_lag_naoPSLjfm', '11_lag_atlSICsep', '10_lag_14_median_stratZ50ndj01', '10_lag_12_median_atlSICjfm', '18_lag_amoSSTmjjaso', '10_lag_13_median_shSICsep', '10_lag_17_median_naoPSLjfm', '10_lag_16_median_nhSICjfm']","[2.8730690205262244, 0.17866680937755852, 9.310121474574867, 1.0744698185473283, 0.5469136933855516, 2.230158843881192, 3.3159056161005935, 1.773385846385768, 2.281621556034721, 5.227356238555787]","17_lag_nhSICjfm, 15_lag_stratZ50ndj02, 16_lag_naoPSLjfm, 11_lag_atlSICsep, 10_lag_14_median_stratZ50ndj01, 10_lag_12_median_atlSICjfm, 18_lag_amoSSTmjjaso, 10_lag_13_median_shSICsep, 10_lag_17_median_naoPSLjfm, 10_lag_16_median_nhSICjfm_399_10"
LRforcedPSO,6,10,naoPSLjfm,picntrl,1720.5,2050.5,0.6,21,11,11,16.725817545397764,0.03970055733464732,399,"['19_lag_naoPSLjfm', '14_lag_stratZ50ndj03', '13_lag_amo1', '15_lag_amo1', '11_lag_20_median_amo1', '14_lag_nppc2SSTjfm', '11_lag_20_median_eurPSLjfm', '11_lag_20_median_stratZ50ndj03', '15_lag_amo2', '11_lag_atlSICjfm']","[0.0963998171876117, 2.2202610267188705, 5.648311071254564, 2.5282049432218727, 1.960802940266511, 3.81518610190996, 7.187105981311664, 5.601749628656352, 0.8824512232560764, 2.734003038646268]","19_lag_naoPSLjfm, 14_lag_stratZ50ndj03, 13_lag_amo1, 15_lag_amo1, 11_lag_20_median_amo1, 14_lag_nppc2SSTjfm, 11_lag_20_median_eurPSLjfm, 11_lag_20_median_stratZ50ndj03, 15_lag_amo2, 11_lag_atlSICjfm_399_11"
LRforcedPSO,7,10,naoPSLjfm,picntrl,1721.5,2050.5,0.6,22,12,12,17.033689341053904,-0.021611193889617426,399,"['12_lag_stratZ50ndj02', '13_lag_shSICmar', '12_lag_16_median_scpPSLjfm', '12_lag_21_median_scpPSLjfm', '17_lag_stratZ50ndj03', '12_lag_13_median_shSICmar', '18_lag_shSICmar', '19_lag_nhSICsep', '12_lag_18_median_amoSSTmjjaso', '12_lag_16_median_amo3']","[6.974785121514021, 2.5666851999788225, 2.572032853274088, 4.462022989294091, 2.3471380486472775, 0.40269568755593177, 2.8395678411775798, 4.695109951353281, 0.5783965773535051, 3.456356971830745]","12_lag_stratZ50ndj02, 13_lag_shSICmar, 12_lag_16_median_scpPSLjfm, 12_lag_21_median_scpPSLjfm, 17_lag_stratZ50ndj03, 12_lag_13_median_shSICmar, 18_lag_shSICmar, 19_lag_nhSICsep, 12_lag_18_median_amoSSTmjjaso, 12_lag_16_median_amo3_399_12"
LRforcedPSO,8,10,naoPSLjfm,picntrl,1722.5,2050.5,0.6,23,13,13,17.92792060887261,-0.06091116419563618,399,"['13_lag_14_median_AMOCann', '21_lag_shSICmar', '13_lag_17_median_atlSICjfm', '14_lag_eapPSLjfm', '13_lag_22_median_eapPSLjfm', '19_lag_AMOCann', '17_lag_naoPSLjfm', '13_lag_17_median_amo2', '13_lag_21_median_eurPSLjfm', '19_lag_nhSICsep']","[3.613518649094429, 1.9496462522069642, 4.880273492023772, 5.6332448376037, 6.4949772935494465, 2.544665157286028, 2.663103803957913, 1.3533529228779813, 2.0924505453959537, 3.8370827669721645]","13_lag_14_median_AMOCann, 21_lag_shSICmar, 13_lag_17_median_atlSICjfm, 14_lag_eapPSLjfm, 13_lag_22_median_eapPSLjfm, 19_lag_AMOCann, 17_lag_naoPSLjfm, 13_lag_17_median_amo2, 13_lag_21_median_eurPSLjfm, 19_lag_nhSICsep_399_13"
LRforcedPSO,9,10,naoPSLjfm,picntrl,1723.5,2050.5,0.6,24,14,14,16.04980416011309,-0.02712065273613452,399,"['20_lag_stratZ50ndj01', '14_lag_20_median_amoSSTmjjaso', '18_lag_amoSSTjfm', '14_lag_15_median_atlSICjfm', '14_lag_17_median_stratZ50ndj02', '22_lag_amoSSTjfm', '23_lag_AMOCann', '14_lag_21_median_amoSSTmjjaso', '14_lag_21_median_stratZ50ndj02', '14_lag_16_median_stratZ50ndj01']","[0.19021801701445895, 9.436844249528818, 2.094589815602113, 1.2048960638523383, 2.4647363846946746, 1.4489508451396542, 4.333297762900708, 7.796520320517095, 4.505881611556308, 0.6484518724798516]","20_lag_stratZ50ndj01, 14_lag_20_median_amoSSTmjjaso, 18_lag_amoSSTjfm, 14_lag_15_median_atlSICjfm, 14_lag_17_median_stratZ50ndj02, 22_lag_amoSSTjfm, 23_lag_AMOCann, 14_lag_21_median_amoSSTmjjaso, 14_lag_21_median_stratZ50ndj02, 14_lag_16_median_stratZ50ndj01_399_14"
