model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,nchinaPRjja,picntrl,1514.5,2050.5,0.6,15,1,1,14.494811041027745,0.06216127478710436,1728,"['2_lag_tripol1', '1_lag_14_median_traWP', '11_lag_labSSTjfm', '5_lag_traFS', '11_lag_scpPSLjfm', '1_lag_5_median_traWP']","[2.130164572967061, 2.1601099888848605, 2.1786120154647635, 2.459195498126858, 2.804601598378749, 2.7226530922870307]","2_lag_tripol1, 1_lag_14_median_traWP, 11_lag_labSSTjfm, 5_lag_traFS, 11_lag_scpPSLjfm, 1_lag_5_median_traWP_1728_1"
LRforcedPSO,1,6,nchinaPRjja,picntrl,1515.5,2050.5,0.6,16,1,1,14.94517481523327,-0.010642125840202186,1856,"['1_lag_8_median_samPSLann', '6_lag_stratZ50ndj03', '6_lag_shSICsep', '1_lag_11_median_traDS', '1_lag_5_median_yrvPRjja', '1_lag_12_median_nppc3SSTjfm']","[3.320412059501851, 2.649367663517059, 2.526217480096171, 2.739733000231752, 2.502783949181377, 2.490403002837432]","1_lag_8_median_samPSLann, 6_lag_stratZ50ndj03, 6_lag_shSICsep, 1_lag_11_median_traDS, 1_lag_5_median_yrvPRjja, 1_lag_12_median_nppc3SSTjfm_1856_1"
LRforcedPSO,2,6,nchinaPRjja,picntrl,1516.5,2050.5,0.6,17,1,1,15.406776552190523,-0.05735695113645804,1984,"['2_lag_scpPSLjfm', '11_lag_labSSTjfm', '1_lag_9_median_shSICsep', '6_lag_nppc2SSTjfm', '9_lag_gyreSSTjfm', '14_lag_ensoSSTjfm']","[0.4206979513234632, 3.793497017777467, 5.54667014822159, 0.10066287243375704, 2.9208133288805715, 3.2243636644563765]","2_lag_scpPSLjfm, 11_lag_labSSTjfm, 1_lag_9_median_shSICsep, 6_lag_nppc2SSTjfm, 9_lag_gyreSSTjfm, 14_lag_ensoSSTjfm_1984_1"
LRforcedPSO,3,6,nchinaPRjja,picntrl,1517.5,2050.5,0.6,18,1,1,14.923314450270878,0.10414657288106674,2112,"['1_lag_8_median_amo2', '1_lag_14_median_traFS', '2_lag_nchinaPRjja', '9_lag_traFB', '1_lag_12_median_satlSSTjfm', '1_lag_17_median_shTSjfm']","[3.2646343299517078, 2.105533111174383, 0.13974906194472325, 0.21798711209111765, 1.6975196866758573, 3.77654107306385]","1_lag_8_median_amo2, 1_lag_14_median_traFS, 2_lag_nchinaPRjja, 9_lag_traFB, 1_lag_12_median_satlSSTjfm, 1_lag_17_median_shTSjfm_2112_1"
LRforcedPSO,4,6,nchinaPRjja,picntrl,1518.5,2050.5,0.6,19,1,1,14.980102903833332,-0.04891650191394864,2240,"['4_lag_pdoSSTjfm', '1_lag_18_median_atlSICsep', '1_lag_15_median_traIT', '1_lag_16_median_traBS', '6_lag_nppc2SSTjfm', '1_lag_3_median_samPSLann']","[2.3774356603640694, 1.159082344956401, 0.0033754985564744544, 0.10778855194850578, 1.271707501881691, 4.320732303007711]","4_lag_pdoSSTjfm, 1_lag_18_median_atlSICsep, 1_lag_15_median_traIT, 1_lag_16_median_traBS, 6_lag_nppc2SSTjfm, 1_lag_3_median_samPSLann_2240_1"
LRforcedPSO,5,6,nchinaPRjja,picntrl,1519.5,2050.5,0.6,20,1,1,14.31930782719486,0.008069135355143546,2368,"['1_lag_18_median_atlSICjfm', '1_lag_18_median_traIT', '12_lag_ismPRjja', '1_lag_4_median_tripol2', '13_lag_gyreSSTjfm', '1_lag_2_median_shTSjfm']","[2.1358964127237767, 1.1215501234760588, 1.380707492847053, 2.4971333928594763, 0.26739373904494457, 3.8541937831210475]","1_lag_18_median_atlSICjfm, 1_lag_18_median_traIT, 12_lag_ismPRjja, 1_lag_4_median_tripol2, 13_lag_gyreSSTjfm, 1_lag_2_median_shTSjfm_2368_1"
LRforcedPSO,6,6,nchinaPRjja,picntrl,1520.5,2050.5,0.6,21,1,1,16.807640398326562,-0.05399774634086604,2496,"['18_lag_pdoSSTjfm', '1_lag_19_median_nppc3SSTjfm', '1_lag_8_median_yrvPRjja', '16_lag_traMC', '12_lag_ginwSSTjfm', '16_lag_glomaSSTjfm']","[0.5804891064474269, 0.44738486300926184, 3.3848977503046545, 1.469022094243833, 4.75025471795681, 6.225517613822273]","18_lag_pdoSSTjfm, 1_lag_19_median_nppc3SSTjfm, 1_lag_8_median_yrvPRjja, 16_lag_traMC, 12_lag_ginwSSTjfm, 16_lag_glomaSSTjfm_2496_1"
LRforcedPSO,7,6,nchinaPRjja,picntrl,1521.5,2050.5,0.6,22,1,10,15.147772766596766,-0.04099186204506102,2624,"['20_lag_amoSSTmjjaso', '16_lag_eapPSLjfm', '10_lag_mhfATL60', '12_lag_traCA', '15_lag_traBS', '10_lag_atlSICsep']","[1.7010607279098373, 5.997286369030961, 4.31877663042016, 2.966897543171509, 0.3824853043932386, 2.934237018147307]","20_lag_amoSSTmjjaso, 16_lag_eapPSLjfm, 10_lag_mhfATL60, 12_lag_traCA, 15_lag_traBS, 10_lag_atlSICsep_2624_10"
LRforcedPSO,8,6,nchinaPRjja,picntrl,1522.5,2050.5,0.6,23,1,1,15.049115524288908,-0.023897919262856976,2752,"['10_lag_neurTSjfm', '4_lag_amo2', '4_lag_shSICsep', '1_lag_10_median_mhfATL45', '1_lag_5_median_shSICmar', '1_lag_13_median_tripol1']","[0.18727895975803754, 3.1357485839702655, 5.041303123886131, 5.21128262876005, 1.7339821714051773, 1.0173522418881547]","10_lag_neurTSjfm, 4_lag_amo2, 4_lag_shSICsep, 1_lag_10_median_mhfATL45, 1_lag_5_median_shSICmar, 1_lag_13_median_tripol1_2752_1"
LRforcedPSO,9,6,nchinaPRjja,picntrl,1523.5,2050.5,0.6,24,1,1,14.225362669334688,0.03491677164334348,2880,"['1_lag_8_median_mhfATL45', '1_lag_8_median_traFB', '2_lag_stratZ50ndj04', '21_lag_alpi', '6_lag_eurPSLjfm', '16_lag_stratZ50ndj04']","[2.917643582767532, 0.2385387165582653, 0.5646466928293403, 1.0859743126637706, 3.6224226380162783, 0.8019090654632137]","1_lag_8_median_mhfATL45, 1_lag_8_median_traFB, 2_lag_stratZ50ndj04, 21_lag_alpi, 6_lag_eurPSLjfm, 16_lag_stratZ50ndj04_2880_1"
LRforcedPSO,10,6,nchinaPRjja,picntrl,1524.5,2050.5,0.6,25,1,1,14.462516359080677,0.010705053638484088,3008,"['1_lag_21_median_stratZ50ndj02', '9_lag_traWP', '11_lag_seurTSjfm', '1_lag_3_median_eurPSLjfm', '1_lag_15_median_naoPSLjfm', '1_lag_22_median_stratZ50ndj03']","[2.006497669309381, 1.9938386305720177, 1.9522936633697834, 1.8496663816903562, 2.2987820624046846, 2.4662218422536477]","1_lag_21_median_stratZ50ndj02, 9_lag_traWP, 11_lag_seurTSjfm, 1_lag_3_median_eurPSLjfm, 1_lag_15_median_naoPSLjfm, 1_lag_22_median_stratZ50ndj03_3008_1"
