model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,neurTSjfm,picntrl,1066.5,2050.5,0.4,15,1,1,13.944109232637816,0.06537815171064493,1728,"['3_lag_traWP', '12_lag_amo2', '13_lag_mhfATL30', '1_lag_6_median_amoSSTmjjaso', '11_lag_amoSSTmjjaso', '7_lag_stratZ50ndj03', '8_lag_seurTSjfm', '5_lag_stratZ50ndj01', '5_lag_satlSSTjfm', '11_lag_traBO', '8_lag_stratZ50ndj02', '11_lag_shSICsep', '7_lag_atlSICsep', '4_lag_stratZ50ndj02', '7_lag_traBS', '13_lag_stratZ50ndj03', '11_lag_seurTSjfm', '9_lag_traWP', '1_lag_ormenSSTjfm', '9_lag_mhfIP30', '11_lag_atlSICsep', '5_lag_traIFC', '10_lag_traWP', '8_lag_stratZ50ndj04', '1_lag_naoPSLjfm', '11_lag_traFS', '9_lag_atlSICsep', '13_lag_tripol3', '1_lag_neurTSjfm', '13_lag_ismPRjja']","[0.029687305223836988, 0.08445609854608833, 0.11025223099742705, 0.09221005238569013, 0.08821044238800103, 0.049326998894147656, 0.027194554974909142, 0.04027657262049268, 0.10670308155550504, 0.05184463611857567, 0.013699715249057554, 0.22200551386064699, 0.10090741727549904, 0.12604306527178571, 0.01413189897268367, 0.07459563467305305, 0.06632053117303857, 0.12156447014732294, 0.0453319374081671, 0.10020436739476742, 0.14966419691126154, 0.16752295761532104, 0.03801758694802317, 0.06840237708310407, 0.04714335790004812, 0.15811925576147529, 0.08274781336265667, 0.09999867601920755, 0.04346269304922379, 0.1400392553877891]","3_lag_traWP, 12_lag_amo2, 13_lag_mhfATL30, 1_lag_6_median_amoSSTmjjaso, 11_lag_amoSSTmjjaso, 7_lag_stratZ50ndj03, 8_lag_seurTSjfm, 5_lag_stratZ50ndj01, 5_lag_satlSSTjfm, 11_lag_traBO, 8_lag_stratZ50ndj02, 11_lag_shSICsep, 7_lag_atlSICsep, 4_lag_stratZ50ndj02, 7_lag_traBS, 13_lag_stratZ50ndj03, 11_lag_seurTSjfm, 9_lag_traWP, 1_lag_ormenSSTjfm, 9_lag_mhfIP30, 11_lag_atlSICsep, 5_lag_traIFC, 10_lag_traWP, 8_lag_stratZ50ndj04, 1_lag_naoPSLjfm, 11_lag_traFS, 9_lag_atlSICsep, 13_lag_tripol3, 1_lag_neurTSjfm, 13_lag_ismPRjja_1728_1"
LinearRegression,1,30,neurTSjfm,picntrl,1067.5,2050.5,0.4,16,1,1,13.527417592815496,0.08956675382424598,1856,"['7_lag_traBS', '13_lag_mhfATL30', '15_lag_yrvPRjja', '13_lag_traFS', '13_lag_yrvPRjja', '1_lag_ormenSSTjfm', '4_lag_stratZ50ndj02', '5_lag_stratZ50ndj01', '7_lag_satlSSTjfm', '10_lag_stratZ50ndj03', '7_lag_stratZ50ndj03', '9_lag_mhfIP30', '11_lag_traFS', '11_lag_traBO', '11_lag_shSICsep', '11_lag_seurTSjfm', '9_lag_traWP', '14_lag_amo2', '13_lag_stratZ50ndj03', '7_lag_atlSICsep', '1_lag_ginwSSTjfm', '5_lag_traIFC', '1_lag_naoPSLjfm', '8_lag_stratZ50ndj04', '9_lag_atlSICsep', '13_lag_ismPRjja', '15_lag_mhfATL30', '13_lag_tripol3', '1_lag_neurTSjfm', '10_lag_traWP']","[0.023829754543219634, 0.04747462310733068, 0.027472415254189062, 0.037652133628990656, 0.033467158312490634, 0.1595540864672508, 0.12183258380616516, 0.02503949832591955, 0.06006958220616493, 0.05470676486339584, 0.07534464205889048, 0.0953490681553806, 0.08913815635696358, 0.08725843721733818, 0.15360559070894755, 0.061506051862506975, 0.12479413174565528, 0.0038620193466292712, 0.06751384693957659, 0.10068216580638867, 0.1563006004923256, 0.15491195200718166, 0.04795722916761575, 0.07542950756877316, 0.07923783131603394, 0.1362064338028474, 0.14838799787867749, 0.11353128928585897, 0.01594063299360507, 0.03541257261689461]","7_lag_traBS, 13_lag_mhfATL30, 15_lag_yrvPRjja, 13_lag_traFS, 13_lag_yrvPRjja, 1_lag_ormenSSTjfm, 4_lag_stratZ50ndj02, 5_lag_stratZ50ndj01, 7_lag_satlSSTjfm, 10_lag_stratZ50ndj03, 7_lag_stratZ50ndj03, 9_lag_mhfIP30, 11_lag_traFS, 11_lag_traBO, 11_lag_shSICsep, 11_lag_seurTSjfm, 9_lag_traWP, 14_lag_amo2, 13_lag_stratZ50ndj03, 7_lag_atlSICsep, 1_lag_ginwSSTjfm, 5_lag_traIFC, 1_lag_naoPSLjfm, 8_lag_stratZ50ndj04, 9_lag_atlSICsep, 13_lag_ismPRjja, 15_lag_mhfATL30, 13_lag_tripol3, 1_lag_neurTSjfm, 10_lag_traWP_1856_1"
LinearRegression,2,30,neurTSjfm,picntrl,1068.5,2050.5,0.4,17,1,1,13.654875975913106,0.11782841614269263,1984,"['5_lag_satlSSTjfm', '7_lag_stratZ50ndj03', '7_lag_satlSSTjfm', '1_lag_traFB', '5_lag_stratZ50ndj01', '11_lag_shSICsep', '14_lag_mhfATL30', '14_lag_alpi', '11_lag_amoSSTmjjaso', '9_lag_traWP', '15_lag_yrvPRjja', '10_lag_stratZ50ndj03', '11_lag_traFS', '11_lag_seurTSjfm', '13_lag_stratZ50ndj03', '16_lag_amo2', '4_lag_stratZ50ndj02', '11_lag_traBO', '1_lag_ginwSSTjfm', '15_lag_mhfATL30', '1_lag_naoPSLjfm', '16_lag_tripol3', '7_lag_atlSICsep', '5_lag_traIFC', '13_lag_tripol3', '8_lag_stratZ50ndj04', '13_lag_ismPRjja', '9_lag_atlSICsep', '1_lag_neurTSjfm', '10_lag_traWP']","[0.1397234032142761, 0.08111373356715676, 0.06613108678723738, 0.13587592154523737, 0.046975202203034666, 0.15210477068278244, 0.10648430380720016, 0.050254444517279555, 0.05892220044071017, 0.09582590415470217, 0.03484578297037328, 0.07014780568747613, 0.09392225113219774, 0.03826158165860792, 0.07185476230677768, 0.07725982989680323, 0.10742327115835347, 0.09727879803998293, 0.09319967802282372, 0.1760199407732205, 0.0033137714995472023, 0.12107112127035721, 0.06609280034315007, 0.16452574415053217, 0.08536942707067904, 0.07631416559000095, 0.14255892275858376, 0.06528771362900929, 0.07771793485582074, 0.06523394512053568]","5_lag_satlSSTjfm, 7_lag_stratZ50ndj03, 7_lag_satlSSTjfm, 1_lag_traFB, 5_lag_stratZ50ndj01, 11_lag_shSICsep, 14_lag_mhfATL30, 14_lag_alpi, 11_lag_amoSSTmjjaso, 9_lag_traWP, 15_lag_yrvPRjja, 10_lag_stratZ50ndj03, 11_lag_traFS, 11_lag_seurTSjfm, 13_lag_stratZ50ndj03, 16_lag_amo2, 4_lag_stratZ50ndj02, 11_lag_traBO, 1_lag_ginwSSTjfm, 15_lag_mhfATL30, 1_lag_naoPSLjfm, 16_lag_tripol3, 7_lag_atlSICsep, 5_lag_traIFC, 13_lag_tripol3, 8_lag_stratZ50ndj04, 13_lag_ismPRjja, 9_lag_atlSICsep, 1_lag_neurTSjfm, 10_lag_traWP_1984_1"
LinearRegression,3,30,neurTSjfm,picntrl,1069.5,2050.5,0.4,18,1,1,13.733287954546412,0.04625889652074435,2112,"['7_lag_nppc3SSTjfm', '1_lag_ormenSSTjfm', '7_lag_samPSLann', '16_lag_amo2', '16_lag_traMC', '11_lag_seurTSjfm', '15_lag_yrvPRjja', '11_lag_tripol3', '11_lag_traFS', '13_lag_stratZ50ndj03', '14_lag_alpi', '11_lag_amoSSTmjjaso', '9_lag_mhfIP30', '17_lag_stratZ50ndj01', '17_lag_traWP', '11_lag_traBO', '1_lag_traFB', '5_lag_traIFC', '1_lag_ginwSSTjfm', '7_lag_atlSICsep', '13_lag_ismPRjja', '13_lag_tripol3', '1_lag_naoPSLjfm', '15_lag_mhfATL30', '9_lag_traWP', '8_lag_stratZ50ndj04', '9_lag_atlSICsep', '16_lag_tripol3', '10_lag_traWP', '1_lag_neurTSjfm']","[0.05407215489937013, 0.12364449756043552, 0.08066127295439646, 0.12320118183647999, 0.04772405793188841, 0.04972959955517357, 0.023370814758693098, 0.09214003550478057, 0.09868227447797372, 0.08520868323799163, 0.03973883740669045, 0.0585080784764473, 0.08965097886399681, 0.02741993003828368, 0.11486996479616203, 0.08603905561091711, 0.14212561636228538, 0.1406680662987536, 0.1409252500824977, 0.09725366164614663, 0.15477862737393733, 0.08408962118017713, 0.043245294396205364, 0.1399173326085269, 0.060445722703639404, 0.06372616329499542, 0.0505269160612938, 0.17998127031714775, 0.0699998044930585, 0.03131226444583622]","7_lag_nppc3SSTjfm, 1_lag_ormenSSTjfm, 7_lag_samPSLann, 16_lag_amo2, 16_lag_traMC, 11_lag_seurTSjfm, 15_lag_yrvPRjja, 11_lag_tripol3, 11_lag_traFS, 13_lag_stratZ50ndj03, 14_lag_alpi, 11_lag_amoSSTmjjaso, 9_lag_mhfIP30, 17_lag_stratZ50ndj01, 17_lag_traWP, 11_lag_traBO, 1_lag_traFB, 5_lag_traIFC, 1_lag_ginwSSTjfm, 7_lag_atlSICsep, 13_lag_ismPRjja, 13_lag_tripol3, 1_lag_naoPSLjfm, 15_lag_mhfATL30, 9_lag_traWP, 8_lag_stratZ50ndj04, 9_lag_atlSICsep, 16_lag_tripol3, 10_lag_traWP, 1_lag_neurTSjfm_2112_1"
LinearRegression,4,30,neurTSjfm,picntrl,1070.5,2050.5,0.4,19,1,1,13.75884946023544,0.09650101577470206,2240,"['1_lag_traWP', '12_lag_mhfATL45', '16_lag_amo2', '4_lag_amo1', '13_lag_stratZ50ndj03', '1_lag_traFB', '9_lag_mhfIP30', '15_lag_yrvPRjja', '11_lag_shSICsep', '17_lag_stratZ50ndj02', '16_lag_traMC', '8_lag_traTLS', '17_lag_stratZ50ndj01', '11_lag_traFS', '18_lag_seurTSjfm', '5_lag_traIFC', '11_lag_traBO', '14_lag_alpi', '1_lag_ginwSSTjfm', '13_lag_tripol3', '13_lag_ismPRjja', '9_lag_traWP', '7_lag_atlSICsep', '8_lag_stratZ50ndj04', '1_lag_naoPSLjfm', '16_lag_tripol3', '15_lag_mhfATL30', '9_lag_atlSICsep', '10_lag_traWP', '1_lag_neurTSjfm']","[0.02102478541698188, 0.036093340155803726, 0.08661598710061742, 0.035000127616825735, 0.09406405014891671, 0.13141099311301363, 0.07042819865464703, 0.04662053720992512, 0.14653915090712047, 0.07539415310323518, 0.045462668178074525, 0.10018111642289591, 0.051144274536150884, 0.08525134504850292, 0.046625401662780674, 0.14251490355484034, 0.11403102908910623, 0.040059788551719495, 0.07860961991577643, 0.10456660585290495, 0.12717838420827154, 0.10904392091228687, 0.07400498329150786, 0.02408281630216284, 0.020588460027818174, 0.15940019829671484, 0.13844196911956222, 0.0707167662673458, 0.06521183498480586, 0.10583203680863229]","1_lag_traWP, 12_lag_mhfATL45, 16_lag_amo2, 4_lag_amo1, 13_lag_stratZ50ndj03, 1_lag_traFB, 9_lag_mhfIP30, 15_lag_yrvPRjja, 11_lag_shSICsep, 17_lag_stratZ50ndj02, 16_lag_traMC, 8_lag_traTLS, 17_lag_stratZ50ndj01, 11_lag_traFS, 18_lag_seurTSjfm, 5_lag_traIFC, 11_lag_traBO, 14_lag_alpi, 1_lag_ginwSSTjfm, 13_lag_tripol3, 13_lag_ismPRjja, 9_lag_traWP, 7_lag_atlSICsep, 8_lag_stratZ50ndj04, 1_lag_naoPSLjfm, 16_lag_tripol3, 15_lag_mhfATL30, 9_lag_atlSICsep, 10_lag_traWP, 1_lag_neurTSjfm_2240_1"
LinearRegression,5,30,neurTSjfm,picntrl,1071.5,2050.5,0.4,20,1,1,13.954133568175646,0.07350407372724269,2368,"['13_lag_stratZ50ndj03', '8_lag_scpPSLjfm', '1_lag_ormenSSTjfm', '19_lag_satlSSTjfm', '19_lag_stratZ50ndj01', '7_lag_samPSLann', '4_lag_stratZ50ndj02', '13_lag_ismPRjja', '5_lag_traIFC', '5_lag_ginwSSTjfm', '11_lag_scpPSLjfm', '11_lag_amoSSTmjjaso', '13_lag_tripol3', '16_lag_traMC', '18_lag_traIFC', '19_lag_eapPSLjfm', '19_lag_traBS', '11_lag_traFS', '1_lag_ginwSSTjfm', '11_lag_traBO', '8_lag_stratZ50ndj04', '16_lag_tripol3', '15_lag_mhfATL30', '9_lag_traWP', '7_lag_atlSICsep', '19_lag_tripol3', '1_lag_naoPSLjfm', '9_lag_atlSICsep', '10_lag_traWP', '1_lag_neurTSjfm']","[0.05920911262014303, 0.08605520886114817, 0.13291972279879022, 0.10533064087255334, 0.06545004818811083, 0.0808721769882272, 0.13492465515808943, 0.1369227859051242, 0.14825087333805873, 0.12242597147931761, 0.07464921171246582, 0.0315075527590829, 0.10943730086906256, 0.06119122323505061, 0.07083589645458388, 0.09693795581719912, 0.04291133685814718, 0.08883756301372456, 0.15162924365227506, 0.06032989525728071, 0.06202536353713092, 0.17306899310356663, 0.19335972235045412, 0.08906898124522757, 0.10115261171782008, 0.06489293367358137, 0.055915195474092724, 0.09262897703912423, 0.04233105230929173, 0.028843780690600486]","13_lag_stratZ50ndj03, 8_lag_scpPSLjfm, 1_lag_ormenSSTjfm, 19_lag_satlSSTjfm, 19_lag_stratZ50ndj01, 7_lag_samPSLann, 4_lag_stratZ50ndj02, 13_lag_ismPRjja, 5_lag_traIFC, 5_lag_ginwSSTjfm, 11_lag_scpPSLjfm, 11_lag_amoSSTmjjaso, 13_lag_tripol3, 16_lag_traMC, 18_lag_traIFC, 19_lag_eapPSLjfm, 19_lag_traBS, 11_lag_traFS, 1_lag_ginwSSTjfm, 11_lag_traBO, 8_lag_stratZ50ndj04, 16_lag_tripol3, 15_lag_mhfATL30, 9_lag_traWP, 7_lag_atlSICsep, 19_lag_tripol3, 1_lag_naoPSLjfm, 9_lag_atlSICsep, 10_lag_traWP, 1_lag_neurTSjfm_2368_1"
LinearRegression,6,30,neurTSjfm,picntrl,1072.5,2050.5,0.4,21,1,1,13.309915954500681,0.14123240923183839,2496,"['17_lag_traCA', '3_lag_amo2', '11_lag_yrvPRjja', '20_lag_naoPSLjfm', '16_lag_amo2', '17_lag_naoPSLjfm', '13_lag_scpPSLjfm', '1_lag_traFB', '1_lag_ormenSSTjfm', '7_lag_atlSICsep', '5_lag_traFB', '20_lag_ormenSSTjfm', '8_lag_scpPSLjfm', '8_lag_stratZ50ndj04', '5_lag_traIFC', '4_lag_stratZ50ndj02', '11_lag_traBO', '19_lag_traBS', '1_lag_ginwSSTjfm', '9_lag_traWP', '13_lag_ismPRjja', '16_lag_tripol3', '15_lag_mhfATL30', '11_lag_amoSSTmjjaso', '19_lag_tripol3', '11_lag_scpPSLjfm', '1_lag_naoPSLjfm', '10_lag_traWP', '9_lag_atlSICsep', '1_lag_neurTSjfm']","[0.13843131990183935, 0.02525355121481926, 0.05972537465188333, 0.10235347760357909, 0.06976422705202125, 0.1130199154849795, 0.03400030605767878, 0.09923905573587961, 0.1502299162290525, 0.05092932705385335, 0.04832634740342985, 0.027262787021851934, 0.08545706281688964, 0.06369685843083892, 0.16221312958594822, 0.1266875156870122, 0.12024686435203442, 0.0626644156098907, 0.16741382622580672, 0.09298727474770159, 0.13656693546701967, 0.1417814335290151, 0.20614435562616862, 0.053908900032305376, 0.034327242933701416, 0.025119937478063663, 0.06826790078030658, 0.06436459382118848, 0.1026381745124421, 0.0017125830549492588]","17_lag_traCA, 3_lag_amo2, 11_lag_yrvPRjja, 20_lag_naoPSLjfm, 16_lag_amo2, 17_lag_naoPSLjfm, 13_lag_scpPSLjfm, 1_lag_traFB, 1_lag_ormenSSTjfm, 7_lag_atlSICsep, 5_lag_traFB, 20_lag_ormenSSTjfm, 8_lag_scpPSLjfm, 8_lag_stratZ50ndj04, 5_lag_traIFC, 4_lag_stratZ50ndj02, 11_lag_traBO, 19_lag_traBS, 1_lag_ginwSSTjfm, 9_lag_traWP, 13_lag_ismPRjja, 16_lag_tripol3, 15_lag_mhfATL30, 11_lag_amoSSTmjjaso, 19_lag_tripol3, 11_lag_scpPSLjfm, 1_lag_naoPSLjfm, 10_lag_traWP, 9_lag_atlSICsep, 1_lag_neurTSjfm_2496_1"
LinearRegression,7,30,neurTSjfm,picntrl,1073.5,2050.5,0.4,22,1,1,13.656446459004659,0.11020226167833298,2624,"['17_lag_naoPSLjfm', '15_lag_stratZ50ndj04', '4_lag_stratZ50ndj02', '21_lag_yrvPRjja', '20_lag_naoPSLjfm', '8_lag_scpPSLjfm', '7_lag_atlSICsep', '5_lag_traIFC', '21_lag_traTLS', '19_lag_traBS', '11_lag_eapPSLjfm', '11_lag_traFS', '19_lag_tripol3', '3_lag_amo2', '11_lag_traBO', '19_lag_stratZ50ndj01', '4_lag_ginwSSTjfm', '21_lag_ormenSSTjfm', '1_lag_traFB', '9_lag_traWP', '13_lag_ismPRjja', '1_lag_naoPSLjfm', '1_lag_ginwSSTjfm', '11_lag_scpPSLjfm', '16_lag_tripol3', '15_lag_mhfATL30', '10_lag_traWP', '11_lag_amoSSTmjjaso', '9_lag_atlSICsep', '1_lag_neurTSjfm']","[0.0726536042730279, 0.06821879157586494, 0.1271285105056724, 0.028961594037693144, 0.10585452747171237, 0.08046963348606415, 0.09522103195095602, 0.10717579147477983, 0.052525117938753925, 0.043338202518939536, 0.02405828330497244, 0.10248316134131782, 0.05978064789033595, 0.029279088650371835, 0.07311521500576293, 0.10313486269145548, 0.09399036779875466, 0.11036267845185324, 0.1304921992670366, 0.09060293524765085, 0.13055320370346324, 0.05182551933121871, 0.11383404916558584, 0.04387581257483076, 0.14243588195331397, 0.16148294146822292, 0.06094539893059194, 0.0591462381054594, 0.057991104098262344, 0.020341318258990992]","17_lag_naoPSLjfm, 15_lag_stratZ50ndj04, 4_lag_stratZ50ndj02, 21_lag_yrvPRjja, 20_lag_naoPSLjfm, 8_lag_scpPSLjfm, 7_lag_atlSICsep, 5_lag_traIFC, 21_lag_traTLS, 19_lag_traBS, 11_lag_eapPSLjfm, 11_lag_traFS, 19_lag_tripol3, 3_lag_amo2, 11_lag_traBO, 19_lag_stratZ50ndj01, 4_lag_ginwSSTjfm, 21_lag_ormenSSTjfm, 1_lag_traFB, 9_lag_traWP, 13_lag_ismPRjja, 1_lag_naoPSLjfm, 1_lag_ginwSSTjfm, 11_lag_scpPSLjfm, 16_lag_tripol3, 15_lag_mhfATL30, 10_lag_traWP, 11_lag_amoSSTmjjaso, 9_lag_atlSICsep, 1_lag_neurTSjfm_2624_1"
LinearRegression,8,30,neurTSjfm,picntrl,1074.5,2050.5,0.4,23,1,1,13.509623421869433,0.11300685160290967,2752,"['11_lag_yrvPRjja', '4_lag_ginwSSTjfm', '5_lag_satlSSTjfm', '1_lag_2_median_cetTSjfm', '2_lag_cetTSjfm', '11_lag_scpPSLjfm', '1_lag_stratZ50ndj04', '17_lag_naoPSLjfm', '11_lag_traBO', '19_lag_tripol3', '20_lag_ormenSSTjfm', '3_lag_amo2', '11_lag_eapPSLjfm', '4_lag_stratZ50ndj02', '18_lag_traMC', '9_lag_traWP', '1_lag_naoPSLjfm', '11_lag_traFS', '21_lag_traTLS', '19_lag_stratZ50ndj01', '11_lag_amoSSTmjjaso', '1_lag_ginwSSTjfm', '1_lag_traFB', '10_lag_traWP', '9_lag_atlSICsep', '13_lag_ismPRjja', '15_lag_mhfATL30', '16_lag_tripol3', '22_lag_atlSICsep', '1_lag_neurTSjfm']","[0.048712718980195885, 0.12060201295029285, 0.07249097003268398, 4735610104403.727, 4735610104403.827, 0.05112684324036166, 0.12106033737558985, 0.10128380275908112, 0.06559193148374134, 0.07123072735076277, 0.025719359003129633, 0.03854584373180753, 0.0242283766638803, 0.11893219886392277, 0.018804037471620284, 0.07370233248897172, 0.059526330859411586, 0.10625985551899349, 0.03005254656969559, 0.10338243866381641, 0.05511871385642966, 0.12836109339830953, 0.1308324914268746, 0.1014080375641582, 0.02455243319867544, 0.126057149199598, 0.16927744984537482, 0.16950506777269136, 0.08912319053543821, 0.002269195113526225]","11_lag_yrvPRjja, 4_lag_ginwSSTjfm, 5_lag_satlSSTjfm, 1_lag_2_median_cetTSjfm, 2_lag_cetTSjfm, 11_lag_scpPSLjfm, 1_lag_stratZ50ndj04, 17_lag_naoPSLjfm, 11_lag_traBO, 19_lag_tripol3, 20_lag_ormenSSTjfm, 3_lag_amo2, 11_lag_eapPSLjfm, 4_lag_stratZ50ndj02, 18_lag_traMC, 9_lag_traWP, 1_lag_naoPSLjfm, 11_lag_traFS, 21_lag_traTLS, 19_lag_stratZ50ndj01, 11_lag_amoSSTmjjaso, 1_lag_ginwSSTjfm, 1_lag_traFB, 10_lag_traWP, 9_lag_atlSICsep, 13_lag_ismPRjja, 15_lag_mhfATL30, 16_lag_tripol3, 22_lag_atlSICsep, 1_lag_neurTSjfm_2752_1"
LinearRegression,9,30,neurTSjfm,picntrl,1075.5,2050.5,0.4,24,1,1,13.676117745668027,0.06695231651281977,2880,"['15_lag_traMC', '23_lag_traBO', '20_lag_ormenSSTjfm', '1_lag_2_median_cetTSjfm', '1_lag_stratZ50ndj04', '11_lag_eapPSLjfm', '18_lag_traMC', '3_lag_amo2', '11_lag_traBO', '11_lag_traFS', '11_lag_scpPSLjfm', '18_lag_traBS', '20_lag_eurPSLjfm', '1_lag_traMC', '15_lag_stratZ50ndj03', '9_lag_traWP', '9_lag_atlSICsep', '13_lag_ismPRjja', '8_lag_seurTSjfm', '1_lag_naoPSLjfm', '17_lag_naoPSLjfm', '10_lag_traWP', '1_lag_traFB', '15_lag_mhfATL30', '11_lag_amoSSTmjjaso', '4_lag_stratZ50ndj02', '16_lag_tripol3', '21_lag_traTLS', '22_lag_atlSICsep', '1_lag_neurTSjfm']","[0.05131847064499071, 0.12008142444543332, 0.009958362369843838, 0.11782242119100912, 0.1348592963850474, 0.011959430342723055, 0.04658760480847491, 0.03772796951089187, 0.05577451236063014, 0.1492508672748296, 0.06263084413821234, 0.03946152425055633, 0.09572297504523418, 0.07923918569846775, 0.05693184735246458, 0.08031457818156384, 0.001959798286963519, 0.11690944508400866, 0.05689138247015453, 0.06641939981867902, 0.10421911526947442, 0.07895964350355898, 0.1047251327205696, 0.15885556174234716, 0.044647374304400814, 0.09794628297653792, 0.15166754570815488, 0.05915186138792383, 0.08440672673909902, 0.002987206084634512]","15_lag_traMC, 23_lag_traBO, 20_lag_ormenSSTjfm, 1_lag_2_median_cetTSjfm, 1_lag_stratZ50ndj04, 11_lag_eapPSLjfm, 18_lag_traMC, 3_lag_amo2, 11_lag_traBO, 11_lag_traFS, 11_lag_scpPSLjfm, 18_lag_traBS, 20_lag_eurPSLjfm, 1_lag_traMC, 15_lag_stratZ50ndj03, 9_lag_traWP, 9_lag_atlSICsep, 13_lag_ismPRjja, 8_lag_seurTSjfm, 1_lag_naoPSLjfm, 17_lag_naoPSLjfm, 10_lag_traWP, 1_lag_traFB, 15_lag_mhfATL30, 11_lag_amoSSTmjjaso, 4_lag_stratZ50ndj02, 16_lag_tripol3, 21_lag_traTLS, 22_lag_atlSICsep, 1_lag_neurTSjfm_2880_1"
