model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,neurTSjfm,picntrl,1066.5,2050.5,0.4,15,1,1,13.831326521861694,0.016192118044431648,1728,"['1_lag_5_median_traDS', '1_lag_gyreSSTjfm', '4_lag_ginwSSTjfm', '10_lag_wnorPRjfm', '11_lag_atlSICsep', '13_lag_mhfATL30']","[0.15472823828305102, 0.17438650898302072, 0.15206916280634133, 0.1784829473714914, 0.17257466652555492, 0.16775847603054064]","1_lag_5_median_traDS, 1_lag_gyreSSTjfm, 4_lag_ginwSSTjfm, 10_lag_wnorPRjfm, 11_lag_atlSICsep, 13_lag_mhfATL30_1728_1"
RandomForestRegressor,1,6,neurTSjfm,picntrl,1067.5,2050.5,0.4,16,1,4,13.051755833868596,0.09861736227024491,1856,"['4_lag_ginwSSTjfm', '15_lag_mhfATL30', '15_lag_stratZ50ndj01', '10_lag_wnorPRjfm', '11_lag_atlSICsep', '13_lag_mhfATL30']","[0.15795938849532992, 0.15478269300729344, 0.18374319563820057, 0.16923695465896513, 0.15275311376088094, 0.18152465443933025]","4_lag_ginwSSTjfm, 15_lag_mhfATL30, 15_lag_stratZ50ndj01, 10_lag_wnorPRjfm, 11_lag_atlSICsep, 13_lag_mhfATL30_1856_4"
RandomForestRegressor,2,6,neurTSjfm,picntrl,1068.5,2050.5,0.4,17,1,10,13.24069644305007,0.06679596878122267,1984,"['10_lag_wnorPRjfm', '15_lag_stratZ50ndj01', '16_lag_ensoSSTjfm', '11_lag_atlSICsep', '16_lag_tripol3', '13_lag_mhfATL30']","[0.15713054581517538, 0.16972116147677965, 0.15444907114593925, 0.16653372332131014, 0.18072960778988137, 0.171435890450914]","10_lag_wnorPRjfm, 15_lag_stratZ50ndj01, 16_lag_ensoSSTjfm, 11_lag_atlSICsep, 16_lag_tripol3, 13_lag_mhfATL30_1984_10"
RandomForestRegressor,3,6,neurTSjfm,picntrl,1069.5,2050.5,0.4,18,1,11,13.479086690017624,0.03568716098730303,2112,"['15_lag_stratZ50ndj01', '17_lag_shSICmar', '16_lag_ensoSSTjfm', '11_lag_atlSICsep', '16_lag_tripol3', '13_lag_mhfATL30']","[0.1781894140050865, 0.1526667529350645, 0.16391441391443978, 0.16001229864408123, 0.16957821967583825, 0.17563890082548983]","15_lag_stratZ50ndj01, 17_lag_shSICmar, 16_lag_ensoSSTjfm, 11_lag_atlSICsep, 16_lag_tripol3, 13_lag_mhfATL30_2112_11"
RandomForestRegressor,4,6,neurTSjfm,picntrl,1070.5,2050.5,0.4,19,1,11,13.13431665218848,0.10310295282904543,2240,"['15_lag_mhfATL30', '15_lag_stratZ50ndj01', '16_lag_ensoSSTjfm', '11_lag_atlSICsep', '16_lag_tripol3', '13_lag_mhfATL30']","[0.1494451316119501, 0.17350096017975694, 0.16432737411103757, 0.14994790056370938, 0.18578710038560725, 0.17699153314793875]","15_lag_mhfATL30, 15_lag_stratZ50ndj01, 16_lag_ensoSSTjfm, 11_lag_atlSICsep, 16_lag_tripol3, 13_lag_mhfATL30_2240_11"
RandomForestRegressor,5,6,neurTSjfm,picntrl,1071.5,2050.5,0.4,20,1,11,13.180607823962424,0.12076498425256778,2368,"['11_lag_atlSICsep', '15_lag_mhfATL30', '16_lag_ensoSSTjfm', '19_lag_traFSC', '16_lag_tripol3', '13_lag_mhfATL30']","[0.16568143273449787, 0.15313301845408642, 0.16154077372963052, 0.17520655076531802, 0.17704099540345458, 0.16739722891301273]","11_lag_atlSICsep, 15_lag_mhfATL30, 16_lag_ensoSSTjfm, 19_lag_traFSC, 16_lag_tripol3, 13_lag_mhfATL30_2368_11"
RandomForestRegressor,6,6,neurTSjfm,picntrl,1072.5,2050.5,0.4,21,1,4,13.262484728851183,0.11318681262226589,2496,"['4_lag_ginwSSTjfm', '11_lag_atlSICsep', '19_lag_traFSC', '16_lag_tripol3', '16_lag_ensoSSTjfm', '13_lag_mhfATL30']","[0.1543449041883097, 0.16434865915494903, 0.16594931452450862, 0.16270467507458283, 0.17417395707254493, 0.1784784899851048]","4_lag_ginwSSTjfm, 11_lag_atlSICsep, 19_lag_traFSC, 16_lag_tripol3, 16_lag_ensoSSTjfm, 13_lag_mhfATL30_2496_4"
RandomForestRegressor,7,6,neurTSjfm,picntrl,1073.5,2050.5,0.4,22,1,13,13.478121486209513,0.0683738178991536,2624,"['13_lag_traWP', '16_lag_ensoSSTjfm', '21_lag_ormenSSTjfm', '13_lag_traFB', '16_lag_tripol3', '13_lag_mhfATL30']","[0.16483891549449275, 0.15272678971226095, 0.16537667710378134, 0.17077497444613027, 0.16821769601174438, 0.17806494723159028]","13_lag_traWP, 16_lag_ensoSSTjfm, 21_lag_ormenSSTjfm, 13_lag_traFB, 16_lag_tripol3, 13_lag_mhfATL30_2624_13"
RandomForestRegressor,8,6,neurTSjfm,picntrl,1074.5,2050.5,0.4,23,1,13,13.383688956136243,0.06818381682045437,2752,"['16_lag_ensoSSTjfm', '15_lag_mhfATL30', '13_lag_traWP', '13_lag_traFB', '16_lag_tripol3', '13_lag_mhfATL30']","[0.15080346634964426, 0.16473813207282922, 0.1679214431802984, 0.16584662721602958, 0.17794229751890542, 0.17274803366229313]","16_lag_ensoSSTjfm, 15_lag_mhfATL30, 13_lag_traWP, 13_lag_traFB, 16_lag_tripol3, 13_lag_mhfATL30_2752_13"
RandomForestRegressor,9,6,neurTSjfm,picntrl,1075.5,2050.5,0.4,24,1,13,13.475566533802244,0.04156772034816079,2880,"['16_lag_ensoSSTjfm', '13_lag_traWP', '23_lag_neurTSjfm', '13_lag_traFB', '16_lag_tripol3', '13_lag_mhfATL30']","[0.16124807282439643, 0.17934096814467893, 0.1540343898001875, 0.17316347178318522, 0.1622354397054167, 0.16997765774213522]","16_lag_ensoSSTjfm, 13_lag_traWP, 23_lag_neurTSjfm, 13_lag_traFB, 16_lag_tripol3, 13_lag_mhfATL30_2880_13"
RandomForestRegressor,10,6,neurTSjfm,picntrl,1076.5,2050.5,0.4,25,1,11,13.377522650572544,0.06310088561513774,3008,"['11_lag_atlSICsep', '13_lag_traWP', '23_lag_neurTSjfm', '13_lag_traFB', '16_lag_tripol3', '13_lag_mhfATL30']","[0.1473893107298583, 0.16043651405326187, 0.1624305574565877, 0.16936466727399682, 0.19585439911799912, 0.16452455136829627]","11_lag_atlSICsep, 13_lag_traWP, 23_lag_neurTSjfm, 13_lag_traFB, 16_lag_tripol3, 13_lag_mhfATL30_3008_11"
RandomForestRegressor,11,6,neurTSjfm,picntrl,1077.5,2050.5,0.4,26,1,13,13.360573788002359,0.03912555642636155,3136,"['13_lag_traWP', '13_lag_traFB', '25_lag_tripol3', '23_lag_neurTSjfm', '16_lag_tripol3', '13_lag_mhfATL30']","[0.1660609063002001, 0.16104393348179083, 0.15215957177281234, 0.16407446970591671, 0.19197797656903642, 0.16468314217024363]","13_lag_traWP, 13_lag_traFB, 25_lag_tripol3, 23_lag_neurTSjfm, 16_lag_tripol3, 13_lag_mhfATL30_3136_13"
RandomForestRegressor,12,6,neurTSjfm,picntrl,1078.5,2050.5,0.4,27,1,13,13.334630114974889,0.017225783316711638,3264,"['13_lag_traWP', '25_lag_tripol3', '13_lag_traFB', '23_lag_neurTSjfm', '16_lag_tripol3', '13_lag_mhfATL30']","[0.15715554273967552, 0.16351362931915606, 0.1706296163797261, 0.14847769114793696, 0.19950364617401953, 0.1607198742394858]","13_lag_traWP, 25_lag_tripol3, 13_lag_traFB, 23_lag_neurTSjfm, 16_lag_tripol3, 13_lag_mhfATL30_3264_13"
RandomForestRegressor,13,6,neurTSjfm,picntrl,1079.5,2050.5,0.4,28,1,13,13.274136589064971,0.0467445131036438,3392,"['13_lag_traWP', '13_lag_traFB', '25_lag_tripol3', '23_lag_neurTSjfm', '16_lag_tripol3', '13_lag_mhfATL30']","[0.1608253044549369, 0.1558433392517263, 0.16234707651928013, 0.1572097606717782, 0.18961989896610482, 0.17415462013617372]","13_lag_traWP, 13_lag_traFB, 25_lag_tripol3, 23_lag_neurTSjfm, 16_lag_tripol3, 13_lag_mhfATL30_3392_13"
