model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,nhSICjfm,picntrl,1514.5,2050.5,0.4,15,1,1,13.893370713031334,0.16203385630038009,567,"['6_lag_atlSICsep', '1_lag_5_median_atlSICsep', '1_lag_5_median_scpPSLjfm', '6_lag_stratZ50ndj04', '5_lag_shSICsep', '1_lag_12_median_AMOCann']","[3.5800498682297928, 4.911298540149712, 1.2992211021726767, 0.687977207083506, 0.03264173471277765, 0.857611091773764]","6_lag_atlSICsep, 1_lag_5_median_atlSICsep, 1_lag_5_median_scpPSLjfm, 6_lag_stratZ50ndj04, 5_lag_shSICsep, 1_lag_12_median_AMOCann_567_1"
LRforcedPSO,1,6,nhSICjfm,picntrl,1515.5,2050.5,0.4,16,1,1,13.329397438536887,0.2133794258316626,609,"['1_lag_2_median_atlSICjfm', '1_lag_6_median_shSICsep', '1_lag_8_median_eurPSLjfm', '1_lag_5_median_nhSICjfm', '1_lag_5_median_amo3', '1_lag_14_median_atlSICsep']","[1.031006760387065, 0.6208657300390268, 2.3658175938533255, 3.1266860644623335, 2.43816856814988, 4.624614249409479]","1_lag_2_median_atlSICjfm, 1_lag_6_median_shSICsep, 1_lag_8_median_eurPSLjfm, 1_lag_5_median_nhSICjfm, 1_lag_5_median_amo3, 1_lag_14_median_atlSICsep_609_1"
LRforcedPSO,2,6,nhSICjfm,picntrl,1516.5,2050.5,0.4,17,1,1,13.16227764365664,0.22538358180116794,651,"['1_lag_12_median_scpPSLjfm', '9_lag_scpPSLjfm', '9_lag_amoSSTjfm', '6_lag_amo2', '1_lag_11_median_nhSICjfm', '15_lag_amo3']","[1.2889596807203292, 1.6999692901795196, 1.3382522342571652, 1.5812369356643883, 1.277544833220747, 1.5669369781131717]","1_lag_12_median_scpPSLjfm, 9_lag_scpPSLjfm, 9_lag_amoSSTjfm, 6_lag_amo2, 1_lag_11_median_nhSICjfm, 15_lag_amo3_651_1"
LRforcedPSO,3,6,nhSICjfm,picntrl,1517.5,2050.5,0.4,18,1,1,14.428854179211172,0.14314338558804607,693,"['7_lag_amoSSTmjjaso', '1_lag_14_median_scpPSLjfm', '1_lag_2_median_amo3', '1_lag_2_median_nppc2SSTjfm', '1_lag_3_median_amo2', '11_lag_nhSICjfm']","[1.2974695488851502, 0.8974116065247344, 3.594733955749927, 2.2169014775992792, 0.9047020793035081, 6.464026773680831]","7_lag_amoSSTmjjaso, 1_lag_14_median_scpPSLjfm, 1_lag_2_median_amo3, 1_lag_2_median_nppc2SSTjfm, 1_lag_3_median_amo2, 11_lag_nhSICjfm_693_1"
LRforcedPSO,4,6,nhSICjfm,picntrl,1518.5,2050.5,0.4,19,1,1,14.701961987420912,-0.14069977515538218,735,"['1_lag_6_median_amo1', '1_lag_11_median_nhSICsep', '1_lag_5_median_shSICmar', '1_lag_16_median_atlSICjfm', '9_lag_scpPSLjfm', '1_lag_18_median_nppc2SSTjfm']","[3.706972007344083, 0.08267021632984317, 1.6156686202359545, 0.1347708870645281, 1.6026228532859186, 3.6774312024927873]","1_lag_6_median_amo1, 1_lag_11_median_nhSICsep, 1_lag_5_median_shSICmar, 1_lag_16_median_atlSICjfm, 9_lag_scpPSLjfm, 1_lag_18_median_nppc2SSTjfm_735_1"
LRforcedPSO,5,6,nhSICjfm,picntrl,1519.5,2050.5,0.4,20,1,1,14.696564599728095,0.07200210091619053,777,"['1_lag_11_median_amo1', '18_lag_nhSICsep', '11_lag_eapPSLjfm', '10_lag_naoPSLjfm', '16_lag_amoSSTmjjaso', '1_lag_14_median_shSICsep']","[1.56406297789556, 3.224126830694214, 0.29641871694297706, 6.352129085895605, 2.1884502545222873, 1.5926887610904839]","1_lag_11_median_amo1, 18_lag_nhSICsep, 11_lag_eapPSLjfm, 10_lag_naoPSLjfm, 16_lag_amoSSTmjjaso, 1_lag_14_median_shSICsep_777_1"
LRforcedPSO,6,6,nhSICjfm,picntrl,1520.5,2050.5,0.4,21,1,1,15.06578463815813,0.012986059928561658,819,"['1_lag_8_median_stratZ50ndj02', '5_lag_nhSICsep', '1_lag_14_median_eapPSLjfm', '12_lag_stratZ50ndj02', '1_lag_3_median_eapPSLjfm', '6_lag_stratZ50ndj03']","[4.776573178844144, 2.9001379077578058, 0.3842512787478025, 4.71415080642656, 0.5703007782069331, 2.5520910506988574]","1_lag_8_median_stratZ50ndj02, 5_lag_nhSICsep, 1_lag_14_median_eapPSLjfm, 12_lag_stratZ50ndj02, 1_lag_3_median_eapPSLjfm, 6_lag_stratZ50ndj03_819_1"
LRforcedPSO,7,6,nhSICjfm,picntrl,1521.5,2050.5,0.4,22,2,2,14.405207854467053,0.05024740981195026,819,"['16_lag_AMOCann', '2_lag_21_median_amo1', '5_lag_amoSSTmjjaso', '21_lag_nppc2SSTjfm', '2_lag_8_median_nppc2SSTjfm', '11_lag_stratZ50ndj03']","[3.806760588652061, 4.539776950355632, 0.04077699987875327, 4.06004908352492, 5.180005069516751, 0.5626557122280396]","16_lag_AMOCann, 2_lag_21_median_amo1, 5_lag_amoSSTmjjaso, 21_lag_nppc2SSTjfm, 2_lag_8_median_nppc2SSTjfm, 11_lag_stratZ50ndj03_819_2"
LRforcedPSO,8,6,nhSICjfm,picntrl,1522.5,2050.5,0.4,23,3,3,14.278020076206658,0.08992903155571155,819,"['3_lag_nppc2SSTjfm', '3_lag_18_median_amo2', '22_lag_eurPSLjfm', '3_lag_7_median_amo1', '11_lag_amo3', '7_lag_stratZ50ndj01']","[0.2504431174455206, 3.20784584085001, 3.9622210433945444, 4.572007214842532, 1.1359183612996304, 0.11570951869902935]","3_lag_nppc2SSTjfm, 3_lag_18_median_amo2, 22_lag_eurPSLjfm, 3_lag_7_median_amo1, 11_lag_amo3, 7_lag_stratZ50ndj01_819_3"
LRforcedPSO,9,6,nhSICjfm,picntrl,1523.5,2050.5,0.4,24,4,4,14.637887830756075,0.0312318473837012,819,"['4_lag_nhSICjfm', '4_lag_11_median_stratZ50ndj01', '21_lag_amo3', '4_lag_8_median_stratZ50ndj03', '22_lag_amoSSTjfm', '4_lag_17_median_eapPSLjfm']","[3.474919202838349, 2.7941714643904385, 2.617757368831562, 2.63216981312063, 2.643934405635685, 2.7113086185738866]","4_lag_nhSICjfm, 4_lag_11_median_stratZ50ndj01, 21_lag_amo3, 4_lag_8_median_stratZ50ndj03, 22_lag_amoSSTjfm, 4_lag_17_median_eapPSLjfm_819_4"
LRforcedPSO,10,6,nhSICjfm,picntrl,1524.5,2050.5,0.4,25,5,5,13.831737157031881,0.0671882182029056,819,"['5_lag_6_median_amoSSTmjjaso', '23_lag_amoSSTjfm', '5_lag_15_median_amoSSTjfm', '23_lag_shSICmar', '17_lag_atlSICjfm', '5_lag_15_median_stratZ50ndj03']","[2.5709513818978476, 0.4827976933434144, 0.41029921838152283, 1.7060046098653565, 0.27655924046208646, 0.8450508279176816]","5_lag_6_median_amoSSTmjjaso, 23_lag_amoSSTjfm, 5_lag_15_median_amoSSTjfm, 23_lag_shSICmar, 17_lag_atlSICjfm, 5_lag_15_median_stratZ50ndj03_819_5"
LRforcedPSO,11,6,nhSICjfm,picntrl,1525.5,2050.5,0.4,26,6,6,15.250032617977244,-0.026139408205407583,819,"['15_lag_amo1', '6_lag_8_median_stratZ50ndj04', '6_lag_17_median_atlSICjfm', '18_lag_amoSSTmjjaso', '6_lag_11_median_stratZ50ndj03', '6_lag_17_median_stratZ50ndj04']","[2.3414683851774036, 0.8751850978920395, 3.9929395192080914, 1.6107672093111187, 0.4494287461456068, 4.371191781202384]","15_lag_amo1, 6_lag_8_median_stratZ50ndj04, 6_lag_17_median_atlSICjfm, 18_lag_amoSSTmjjaso, 6_lag_11_median_stratZ50ndj03, 6_lag_17_median_stratZ50ndj04_819_6"
LRforcedPSO,12,6,nhSICjfm,picntrl,1526.5,2050.5,0.4,27,7,7,13.669620921245752,0.0526000132790269,819,"['16_lag_shSICmar', '7_lag_13_median_naoPSLjfm', '7_lag_21_median_stratZ50ndj02', '7_lag_21_median_stratZ50ndj04', '20_lag_nppc2SSTjfm', '7_lag_10_median_amo3']","[1.4930965161441399, 1.4836061133963425, 1.9781398927394882, 1.5289163866851148, 1.483604955847675, 1.4836049260619693]","16_lag_shSICmar, 7_lag_13_median_naoPSLjfm, 7_lag_21_median_stratZ50ndj02, 7_lag_21_median_stratZ50ndj04, 20_lag_nppc2SSTjfm, 7_lag_10_median_amo3_819_7"
LRforcedPSO,13,6,nhSICjfm,picntrl,1527.5,2050.5,0.4,28,8,8,14.306141057212233,-0.0066072313635035605,819,"['25_lag_stratZ50ndj04', '18_lag_nhSICjfm', '15_lag_stratZ50ndj03', '8_lag_15_median_nhSICsep', '8_lag_12_median_stratZ50ndj02', '22_lag_nhSICsep']","[1.6549531282701881, 2.0022433361830094, 2.2066041710267807, 1.6549531289930948, 2.0093083320850136, 1.9230850740678869]","25_lag_stratZ50ndj04, 18_lag_nhSICjfm, 15_lag_stratZ50ndj03, 8_lag_15_median_nhSICsep, 8_lag_12_median_stratZ50ndj02, 22_lag_nhSICsep_819_8"
LRforcedPSO,14,6,nhSICjfm,picntrl,1528.5,2050.5,0.4,29,9,9,14.170520650709141,-0.06763969798964097,819,"['9_lag_28_median_eapPSLjfm', '28_lag_amo3', '24_lag_nhSICjfm', '22_lag_stratZ50ndj03', '9_lag_21_median_naoPSLjfm', '27_lag_AMOCann']","[1.3874335792022763, 1.7953522780605382, 1.3865863632101023, 1.514388223325164, 1.8453880534372848, 1.386765920373445]","9_lag_28_median_eapPSLjfm, 28_lag_amo3, 24_lag_nhSICjfm, 22_lag_stratZ50ndj03, 9_lag_21_median_naoPSLjfm, 27_lag_AMOCann_819_9"
LRforcedPSO,15,6,nhSICjfm,picntrl,1529.5,2050.5,0.4,30,10,10,13.658413669180318,0.10956367130781944,819,"['10_lag_25_median_amo2', '10_lag_naoPSLjfm', '10_lag_21_median_amo2', '13_lag_AMOCann', '28_lag_shSICsep', '16_lag_amo1']","[5.431275063614844, 1.483560127553929, 4.198514707557116, 0.33711250198169296, 2.819387786716767, 2.1634196664965515]","10_lag_25_median_amo2, 10_lag_naoPSLjfm, 10_lag_21_median_amo2, 13_lag_AMOCann, 28_lag_shSICsep, 16_lag_amo1_819_10"
LRforcedPSO,16,6,nhSICjfm,picntrl,1530.5,2050.5,0.4,31,11,11,14.551005194075294,-0.06764492727981164,819,"['27_lag_amoSSTjfm', '26_lag_stratZ50ndj04', '11_lag_13_median_scpPSLjfm', '22_lag_scpPSLjfm', '11_lag_29_median_atlSICjfm', '12_lag_shSICsep']","[1.491514069562836, 3.253741604973614, 1.6281173838180418, 3.1353268708575612, 0.8562768251096777, 1.9222700816969507]","27_lag_amoSSTjfm, 26_lag_stratZ50ndj04, 11_lag_13_median_scpPSLjfm, 22_lag_scpPSLjfm, 11_lag_29_median_atlSICjfm, 12_lag_shSICsep_819_11"
LRforcedPSO,17,6,nhSICjfm,picntrl,1531.5,2050.5,0.4,32,12,12,14.571799494689023,0.015709481687117516,819,"['22_lag_amo3', '12_lag_19_median_nhSICsep', '13_lag_shSICsep', '12_lag_24_median_eapPSLjfm', '12_lag_23_median_nppc2SSTjfm', '12_lag_amo3']","[1.4432374430752386, 2.249585623838102, 2.728712771025023, 1.2057731541782992, 1.4882410879988015, 6.320187264685271]","22_lag_amo3, 12_lag_19_median_nhSICsep, 13_lag_shSICsep, 12_lag_24_median_eapPSLjfm, 12_lag_23_median_nppc2SSTjfm, 12_lag_amo3_819_12"
LRforcedPSO,18,6,nhSICjfm,picntrl,1532.5,2050.5,0.4,33,13,13,13.986540037824348,-0.07689258719439783,819,"['22_lag_amoSSTmjjaso', '13_lag_17_median_shSICsep', '17_lag_stratZ50ndj01', '13_lag_20_median_scpPSLjfm', '13_lag_26_median_atlSICjfm', '16_lag_amo1']","[1.6795645739903957, 0.5977266101981691, 0.0651813087876345, 0.506635650286464, 1.3071385902349917, 1.0973780797711825]","22_lag_amoSSTmjjaso, 13_lag_17_median_shSICsep, 17_lag_stratZ50ndj01, 13_lag_20_median_scpPSLjfm, 13_lag_26_median_atlSICjfm, 16_lag_amo1_819_13"
LRforcedPSO,19,6,nhSICjfm,picntrl,1533.5,2050.5,0.4,34,14,14,14.096381818813159,-0.04455190310841774,819,"['14_lag_16_median_stratZ50ndj03', '31_lag_amo3', '32_lag_stratZ50ndj02', '14_lag_19_median_stratZ50ndj02', '14_lag_32_median_amoSSTjfm', '17_lag_atlSICsep']","[1.4245106094389648, 1.1010127351482848, 1.4054126365651325, 1.3325556629010575, 1.0684881521137586, 1.3236425468784367]","14_lag_16_median_stratZ50ndj03, 31_lag_amo3, 32_lag_stratZ50ndj02, 14_lag_19_median_stratZ50ndj02, 14_lag_32_median_amoSSTjfm, 17_lag_atlSICsep_819_14"
LRforcedPSO,20,6,nhSICjfm,picntrl,1534.5,2050.5,0.4,35,15,15,14.08320235351461,-0.008488579488341292,819,"['15_lag_amo3', '31_lag_amo3', '15_lag_nppc2SSTjfm', '21_lag_eurPSLjfm', '27_lag_eurPSLjfm', '15_lag_16_median_amoSSTjfm']","[3.0865628947754686, 0.25977426792832325, 0.66751512480492, 0.022565074285701314, 2.80033147680612, 2.9273636446586693]","15_lag_amo3, 31_lag_amo3, 15_lag_nppc2SSTjfm, 21_lag_eurPSLjfm, 27_lag_eurPSLjfm, 15_lag_16_median_amoSSTjfm_819_15"
LRforcedPSO,21,6,nhSICjfm,picntrl,1535.5,2050.5,0.4,36,16,16,14.48760678485801,-0.057212183668701004,819,"['29_lag_amo3', '16_lag_18_median_amo2', '26_lag_atlSICsep', '16_lag_22_median_stratZ50ndj03', '16_lag_27_median_shSICmar', '16_lag_20_median_shSICsep']","[1.6327281678725656, 2.1714340283110594, 1.6286313803069785, 1.6286235529857636, 2.1713616396052777, 1.6313926714071356]","29_lag_amo3, 16_lag_18_median_amo2, 26_lag_atlSICsep, 16_lag_22_median_stratZ50ndj03, 16_lag_27_median_shSICmar, 16_lag_20_median_shSICsep_819_16"
LRforcedPSO,22,6,nhSICjfm,picntrl,1536.5,2050.5,0.4,37,17,17,14.954647358811183,-0.05333663701659382,819,"['25_lag_atlSICjfm', '17_lag_amo1', '18_lag_nhSICsep', '30_lag_amoSSTjfm', '17_lag_21_median_amoSSTjfm', '17_lag_26_median_amo1']","[0.19919226368485532, 2.747569240465914, 3.1340357271804216, 2.640263769614686, 2.5204277183729644, 2.2403652022909206]","25_lag_atlSICjfm, 17_lag_amo1, 18_lag_nhSICsep, 30_lag_amoSSTjfm, 17_lag_21_median_amoSSTjfm, 17_lag_26_median_amo1_819_17"
LRforcedPSO,23,6,nhSICjfm,picntrl,1537.5,2050.5,0.4,38,18,18,14.018313125557013,0.08390788413648174,819,"['28_lag_eurPSLjfm', '27_lag_shSICsep', '30_lag_shSICmar', '36_lag_amo1', '32_lag_atlSICjfm', '18_lag_34_median_nppc2SSTjfm']","[2.6060607625029824, 3.474743866079879, 2.6060903101179904, 2.606062734266546, 2.687911323511883, 2.614937719085288]","28_lag_eurPSLjfm, 27_lag_shSICsep, 30_lag_shSICmar, 36_lag_amo1, 32_lag_atlSICjfm, 18_lag_34_median_nppc2SSTjfm_819_18"
LRforcedPSO,24,6,nhSICjfm,picntrl,1538.5,2050.5,0.4,39,19,19,14.745805509184933,0.04654625824828815,819,"['38_lag_amo2', '19_lag_27_median_scpPSLjfm', '19_lag_stratZ50ndj01', '33_lag_AMOCann', '38_lag_eurPSLjfm', '19_lag_23_median_nhSICsep']","[6.673009664014376, 0.9221677314505463, 1.5899376800994318, 1.0161491371648435, 3.867026611977547, 0.9458725006035031]","38_lag_amo2, 19_lag_27_median_scpPSLjfm, 19_lag_stratZ50ndj01, 33_lag_AMOCann, 38_lag_eurPSLjfm, 19_lag_23_median_nhSICsep_819_19"
LRforcedPSO,25,6,nhSICjfm,picntrl,1539.5,2050.5,0.4,40,20,20,14.188922219132778,-0.11513663557103045,819,"['20_lag_28_median_atlSICsep', '20_lag_25_median_shSICmar', '20_lag_35_median_eapPSLjfm', '20_lag_amo1', '20_lag_33_median_shSICmar', '20_lag_28_median_amo3']","[0.3428795196326959, 3.7983953925800744, 0.310646993106829, 1.4073178230819394, 3.3529585483639366, 2.9929114365002274]","20_lag_28_median_atlSICsep, 20_lag_25_median_shSICmar, 20_lag_35_median_eapPSLjfm, 20_lag_amo1, 20_lag_33_median_shSICmar, 20_lag_28_median_amo3_819_20"
LRforcedPSO,26,6,nhSICjfm,picntrl,1540.5,2050.5,0.4,41,21,21,16.070965250374602,-0.10726383858190744,819,"['35_lag_nhSICsep', '21_lag_36_median_nhSICsep', '21_lag_37_median_amoSSTmjjaso', '23_lag_nhSICjfm', '21_lag_38_median_eurPSLjfm', '32_lag_amo3']","[1.1899809856562609, 4.4443792007472, 1.044685718700343, 5.1568153114347695, 2.4905938040030406, 2.5013516153819104]","35_lag_nhSICsep, 21_lag_36_median_nhSICsep, 21_lag_37_median_amoSSTmjjaso, 23_lag_nhSICjfm, 21_lag_38_median_eurPSLjfm, 32_lag_amo3_819_21"
LRforcedPSO,27,6,nhSICjfm,picntrl,1541.5,2050.5,0.4,42,22,22,14.360471030346293,-0.007656176205955424,819,"['22_lag_23_median_stratZ50ndj01', '22_lag_41_median_amo1', '22_lag_29_median_naoPSLjfm', '22_lag_39_median_atlSICsep', '34_lag_amo2', '22_lag_36_median_atlSICsep']","[1.6023182084429166, 2.3825240292159062, 0.15776626874383126, 8.638358102132283, 0.772512488999137, 9.823684741847687]","22_lag_23_median_stratZ50ndj01, 22_lag_41_median_amo1, 22_lag_29_median_naoPSLjfm, 22_lag_39_median_atlSICsep, 34_lag_amo2, 22_lag_36_median_atlSICsep_819_22"
LRforcedPSO,28,6,nhSICjfm,picntrl,1542.5,2050.5,0.4,43,23,23,16.515945990051627,0.03045349159306045,819,"['33_lag_stratZ50ndj02', '35_lag_AMOCann', '42_lag_scpPSLjfm', '34_lag_stratZ50ndj04', '23_lag_38_median_naoPSLjfm', '23_lag_29_median_stratZ50ndj04']","[1.9571252611165342, 0.18898368121919873, 4.55548478170817, 2.92678501284529, 9.37992057664761, 1.5240659325711459]","33_lag_stratZ50ndj02, 35_lag_AMOCann, 42_lag_scpPSLjfm, 34_lag_stratZ50ndj04, 23_lag_38_median_naoPSLjfm, 23_lag_29_median_stratZ50ndj04_819_23"
LRforcedPSO,29,6,nhSICjfm,picntrl,1543.5,2050.5,0.4,44,24,24,13.684714323642309,0.11217992785446947,819,"['24_lag_41_median_amoSSTjfm', '24_lag_29_median_stratZ50ndj02', '24_lag_41_median_shSICsep', '24_lag_28_median_amo3', '24_lag_36_median_scpPSLjfm', '24_lag_29_median_eapPSLjfm']","[1.128120693669697, 1.1276608164089768, 1.1276663089151375, 1.5035355868176306, 1.5035475486743508, 1.1277941275294112]","24_lag_41_median_amoSSTjfm, 24_lag_29_median_stratZ50ndj02, 24_lag_41_median_shSICsep, 24_lag_28_median_amo3, 24_lag_36_median_scpPSLjfm, 24_lag_29_median_eapPSLjfm_819_24"
LRforcedPSO,30,6,nhSICjfm,picntrl,1544.5,2050.5,0.4,45,25,25,14.927978026609422,0.016540829860279407,819,"['25_lag_31_median_stratZ50ndj04', '35_lag_amoSSTmjjaso', '25_lag_32_median_eapPSLjfm', '41_lag_amoSSTjfm', '38_lag_scpPSLjfm', '25_lag_40_median_scpPSLjfm']","[4.165264187865947, 6.005705275140354, 2.352643357196298, 0.8628944752650884, 0.44286707332310726, 0.5670153447157098]","25_lag_31_median_stratZ50ndj04, 35_lag_amoSSTmjjaso, 25_lag_32_median_eapPSLjfm, 41_lag_amoSSTjfm, 38_lag_scpPSLjfm, 25_lag_40_median_scpPSLjfm_819_25"
LRforcedPSO,31,6,nhSICjfm,picntrl,1545.5,2050.5,0.4,46,26,26,14.436677685623474,-0.08009572803156306,819,"['26_lag_39_median_amo3', '34_lag_stratZ50ndj02', '26_lag_43_median_amoSSTjfm', '36_lag_nhSICsep', '45_lag_amo3', '38_lag_amo1']","[2.0872292431725383, 1.7313952228971945, 1.732426938557917, 2.3072087108390797, 1.7358152433205158, 2.3083314337658662]","26_lag_39_median_amo3, 34_lag_stratZ50ndj02, 26_lag_43_median_amoSSTjfm, 36_lag_nhSICsep, 45_lag_amo3, 38_lag_amo1_819_26"
LRforcedPSO,32,6,nhSICjfm,picntrl,1546.5,2050.5,0.4,47,27,27,13.977541954995031,-0.01269011256223054,819,"['27_lag_38_median_eapPSLjfm', '28_lag_amo1', '27_lag_41_median_stratZ50ndj02', '36_lag_eapPSLjfm', '32_lag_stratZ50ndj02', '27_lag_44_median_amo1']","[1.7506612335095932, 1.3130106449673105, 1.6593180383420842, 1.3130727370247524, 1.3130676845278553, 1.313081158191677]","27_lag_38_median_eapPSLjfm, 28_lag_amo1, 27_lag_41_median_stratZ50ndj02, 36_lag_eapPSLjfm, 32_lag_stratZ50ndj02, 27_lag_44_median_amo1_819_27"
LRforcedPSO,33,6,nhSICjfm,picntrl,1547.5,2050.5,0.4,48,28,28,14.169432822698365,0.007457550707209644,819,"['42_lag_shSICmar', '31_lag_eurPSLjfm', '33_lag_scpPSLjfm', '28_lag_32_median_amo2', '28_lag_46_median_stratZ50ndj04', '28_lag_40_median_atlSICsep']","[0.2107221161193209, 4.048741161508421, 3.4846074222222327, 1.1924303558556062, 0.49373019285193287, 1.5728013062111437]","42_lag_shSICmar, 31_lag_eurPSLjfm, 33_lag_scpPSLjfm, 28_lag_32_median_amo2, 28_lag_46_median_stratZ50ndj04, 28_lag_40_median_atlSICsep_819_28"
LRforcedPSO,34,6,nhSICjfm,picntrl,1548.5,2050.5,0.4,49,29,29,13.819949307750662,-0.06271364580316138,819,"['43_lag_nppc2SSTjfm', '29_lag_46_median_AMOCann', '29_lag_32_median_amo3', '29_lag_45_median_amoSSTmjjaso', '29_lag_35_median_amo2', '47_lag_nhSICjfm']","[1.5831512398749628, 2.095314833346374, 1.8946439073665449, 1.7263078131011869, 1.662768873233922, 2.0438778797763546]","43_lag_nppc2SSTjfm, 29_lag_46_median_AMOCann, 29_lag_32_median_amo3, 29_lag_45_median_amoSSTmjjaso, 29_lag_35_median_amo2, 47_lag_nhSICjfm_819_29"
LRforcedPSO,35,6,nhSICjfm,picntrl,1549.5,2050.5,0.4,50,30,30,15.222882224023262,-0.034816374412787496,819,"['43_lag_shSICmar', '43_lag_amo3', '30_lag_38_median_eapPSLjfm', '30_lag_46_median_shSICmar', '34_lag_nppc2SSTjfm', '30_lag_49_median_amo1']","[1.660456665947887, 3.773813633482299, 4.621684736711293, 0.1606641853327151, 0.36843937795977943, 0.07617050445880125]","43_lag_shSICmar, 43_lag_amo3, 30_lag_38_median_eapPSLjfm, 30_lag_46_median_shSICmar, 34_lag_nppc2SSTjfm, 30_lag_49_median_amo1_819_30"
LRforcedPSO,36,6,nhSICjfm,picntrl,1550.5,2050.5,0.4,51,31,31,15.285967644348585,-0.19251181534853617,819,"['31_lag_39_median_shSICsep', '31_lag_nhSICjfm', '49_lag_stratZ50ndj04', '36_lag_amoSSTmjjaso', '35_lag_eurPSLjfm', '31_lag_41_median_stratZ50ndj03']","[4.91951847611994, 3.437749016665304, 2.1403328282038414, 0.35413265055814236, 0.9865667801522378, 1.5288100212864304]","31_lag_39_median_shSICsep, 31_lag_nhSICjfm, 49_lag_stratZ50ndj04, 36_lag_amoSSTmjjaso, 35_lag_eurPSLjfm, 31_lag_41_median_stratZ50ndj03_819_31"
LRforcedPSO,37,6,nhSICjfm,picntrl,1551.5,2050.5,0.4,52,32,32,15.097756052323739,-0.032374269249121186,819,"['32_lag_33_median_atlSICjfm', '32_lag_50_median_eapPSLjfm', '45_lag_amo2', '49_lag_scpPSLjfm', '32_lag_48_median_amoSSTmjjaso', '43_lag_shSICmar']","[0.4616439545514872, 3.9612581995131695, 5.0853833351054885, 0.004013794681355876, 6.66004135242201, 0.556537014743002]","32_lag_33_median_atlSICjfm, 32_lag_50_median_eapPSLjfm, 45_lag_amo2, 49_lag_scpPSLjfm, 32_lag_48_median_amoSSTmjjaso, 43_lag_shSICmar_819_32"
LRforcedPSO,38,6,nhSICjfm,picntrl,1552.5,2050.5,0.4,53,33,33,14.19053393225965,-0.09311827552226043,819,"['34_lag_eapPSLjfm', '33_lag_35_median_scpPSLjfm', '43_lag_stratZ50ndj02', '33_lag_42_median_eapPSLjfm', '49_lag_nhSICsep', '33_lag_44_median_stratZ50ndj04']","[1.7180681974540188, 1.6518236263820991, 1.7097502058097735, 1.6516833485158287, 1.8758916620897264, 2.1064191997870356]","34_lag_eapPSLjfm, 33_lag_35_median_scpPSLjfm, 43_lag_stratZ50ndj02, 33_lag_42_median_eapPSLjfm, 49_lag_nhSICsep, 33_lag_44_median_stratZ50ndj04_819_33"
LRforcedPSO,39,6,nhSICjfm,picntrl,1553.5,2050.5,0.4,54,34,34,14.336038492519698,-0.0010198555687519007,819,"['38_lag_amo1', '34_lag_41_median_amoSSTjfm', '51_lag_amoSSTmjjaso', '48_lag_shSICsep', '49_lag_stratZ50ndj01', '34_lag_48_median_stratZ50ndj01']","[2.177865759343433, 2.161733918721779, 2.3586606243843495, 2.223800552685457, 2.1637159902533307, 2.872322591497374]","38_lag_amo1, 34_lag_41_median_amoSSTjfm, 51_lag_amoSSTmjjaso, 48_lag_shSICsep, 49_lag_stratZ50ndj01, 34_lag_48_median_stratZ50ndj01_819_34"
