model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,nhSICjfm,picntrl,1714.5,2050.5,0.6,15,1,1,11.520339021054772,0.5551997163526043,567,"['14_lag_nppc2SSTjfm', '13_lag_amoSSTmjjaso', '3_lag_atlSICsep', '1_lag_nhSICjfm', '6_lag_AMOCann', '10_lag_scpPSLjfm']","[0.13013725751831584, 0.054571441351821084, 0.12504904804383965, 0.5374813987407548, 0.04508110259156907, 0.16881728583792802]","14_lag_nppc2SSTjfm, 13_lag_amoSSTmjjaso, 3_lag_atlSICsep, 1_lag_nhSICjfm, 6_lag_AMOCann, 10_lag_scpPSLjfm_567_1"
LinearRegression,1,6,nhSICjfm,picntrl,1715.5,2050.5,0.6,16,1,1,11.44925835391431,0.5580197999065111,609,"['3_lag_atlSICsep', '6_lag_AMOCann', '9_lag_scpPSLjfm', '9_lag_stratZ50ndj04', '10_lag_scpPSLjfm', '1_lag_nhSICjfm']","[0.10371857932353958, 0.03692188882981323, 0.08066994006328063, 0.051747160739768906, 0.13912229111276592, 0.546022874483389]","3_lag_atlSICsep, 6_lag_AMOCann, 9_lag_scpPSLjfm, 9_lag_stratZ50ndj04, 10_lag_scpPSLjfm, 1_lag_nhSICjfm_609_1"
LinearRegression,2,6,nhSICjfm,picntrl,1716.5,2050.5,0.6,17,1,1,11.316079812391674,0.5905258497899506,651,"['1_lag_atlSICjfm', '15_lag_amoSSTmjjaso', '9_lag_scpPSLjfm', '10_lag_scpPSLjfm', '15_lag_eurPSLjfm', '1_lag_nhSICjfm']","[0.07243986255176105, 0.08556666890794046, 0.09257931134084005, 0.1354563645375363, 0.11342719936129124, 0.5381077643943718]","1_lag_atlSICjfm, 15_lag_amoSSTmjjaso, 9_lag_scpPSLjfm, 10_lag_scpPSLjfm, 15_lag_eurPSLjfm, 1_lag_nhSICjfm_651_1"
LinearRegression,3,6,nhSICjfm,picntrl,1717.5,2050.5,0.6,18,1,1,10.859666507928287,0.5904831807686096,693,"['9_lag_stratZ50ndj04', '12_lag_stratZ50ndj03', '17_lag_eapPSLjfm', '15_lag_eurPSLjfm', '1_lag_atlSICjfm', '1_lag_nhSICjfm']","[0.08771502693801062, 0.0011743326739424853, 0.07618431469214818, 0.10138447807671216, 0.0742767122111298, 0.5198842510863185]","9_lag_stratZ50ndj04, 12_lag_stratZ50ndj03, 17_lag_eapPSLjfm, 15_lag_eurPSLjfm, 1_lag_atlSICjfm, 1_lag_nhSICjfm_693_1"
LinearRegression,4,6,nhSICjfm,picntrl,1718.5,2050.5,0.6,19,1,1,10.704059304921802,0.605407380821939,735,"['1_lag_atlSICjfm', '1_lag_scpPSLjfm', '15_lag_eurPSLjfm', '12_lag_stratZ50ndj03', '1_lag_nhSICjfm', '18_lag_nppc2SSTjfm']","[0.07287082737036102, 0.1295544859487321, 0.09296063110602296, 0.002099307192957152, 0.5243610248425261, 0.12771911644962824]","1_lag_atlSICjfm, 1_lag_scpPSLjfm, 15_lag_eurPSLjfm, 12_lag_stratZ50ndj03, 1_lag_nhSICjfm, 18_lag_nppc2SSTjfm_735_1"
LinearRegression,5,6,nhSICjfm,picntrl,1719.5,2050.5,0.6,20,1,1,11.143668581338515,0.5891119722714688,777,"['14_lag_shSICmar', '1_lag_scpPSLjfm', '12_lag_stratZ50ndj03', '10_lag_scpPSLjfm', '18_lag_nppc2SSTjfm', '1_lag_nhSICjfm']","[0.006658951844081857, 0.1253365804214887, 0.0023516386955242385, 0.13483959649872607, 0.130701009840753, 0.5582812004417805]","14_lag_shSICmar, 1_lag_scpPSLjfm, 12_lag_stratZ50ndj03, 10_lag_scpPSLjfm, 18_lag_nppc2SSTjfm, 1_lag_nhSICjfm_777_1"
LinearRegression,6,6,nhSICjfm,picntrl,1720.5,2050.5,0.6,21,1,1,11.057901533802712,0.5770491330814432,819,"['12_lag_stratZ50ndj03', '17_lag_eapPSLjfm', '14_lag_shSICmar', '10_lag_scpPSLjfm', '12_lag_eapPSLjfm', '1_lag_nhSICjfm']","[0.0013810354405176944, 0.06834577394201141, 0.015939505837602203, 0.13062859396746013, 0.14290603098903518, 0.5583600731749959]","12_lag_stratZ50ndj03, 17_lag_eapPSLjfm, 14_lag_shSICmar, 10_lag_scpPSLjfm, 12_lag_eapPSLjfm, 1_lag_nhSICjfm_819_1"
LinearRegression,7,6,nhSICjfm,picntrl,1721.5,2050.5,0.6,22,2,2,15.011243415633862,-0.0037779765431817623,819,"['15_lag_eurPSLjfm', '9_lag_stratZ50ndj04', '2_lag_amoSSTmjjaso', '10_lag_scpPSLjfm', '12_lag_stratZ50ndj01', '17_lag_eapPSLjfm']","[0.09330581946676755, 0.15090289387197325, 0.02052290917009908, 0.04636407896988784, 0.08315216059498484, 0.12666675083416853]","15_lag_eurPSLjfm, 9_lag_stratZ50ndj04, 2_lag_amoSSTmjjaso, 10_lag_scpPSLjfm, 12_lag_stratZ50ndj01, 17_lag_eapPSLjfm_819_2"
LinearRegression,8,6,nhSICjfm,picntrl,1722.5,2050.5,0.6,23,3,9,15.077851327912548,-0.023289438312061993,819,"['10_lag_eapPSLjfm', '9_lag_stratZ50ndj04', '12_lag_stratZ50ndj01', '10_lag_scpPSLjfm', '15_lag_eurPSLjfm', '17_lag_eapPSLjfm']","[0.024807323764632294, 0.15192637438797185, 0.07797658703455426, 0.05199540645952991, 0.09531180636927715, 0.12031144498944607]","10_lag_eapPSLjfm, 9_lag_stratZ50ndj04, 12_lag_stratZ50ndj01, 10_lag_scpPSLjfm, 15_lag_eurPSLjfm, 17_lag_eapPSLjfm_819_9"
LinearRegression,9,6,nhSICjfm,picntrl,1723.5,2050.5,0.6,24,4,4,15.253018806772248,0.05588122958917451,819,"['18_lag_nhSICsep', '15_lag_eurPSLjfm', '23_lag_nppc2SSTjfm', '21_lag_amo1', '17_lag_eapPSLjfm', '4_lag_eapPSLjfm']","[0.11032140219969781, 0.10475671361882395, 0.2085706871877377, 0.05198071991689104, 0.10114262169612803, 0.05517057541280773]","18_lag_nhSICsep, 15_lag_eurPSLjfm, 23_lag_nppc2SSTjfm, 21_lag_amo1, 17_lag_eapPSLjfm, 4_lag_eapPSLjfm_819_4"
LinearRegression,10,6,nhSICjfm,picntrl,1724.5,2050.5,0.6,25,5,9,15.322916927462092,0.054859652517568094,819,"['15_lag_eurPSLjfm', '15_lag_shSICsep', '9_lag_stratZ50ndj04', '12_lag_eapPSLjfm', '23_lag_nppc2SSTjfm', '10_lag_scpPSLjfm']","[0.07020795495227009, 0.14466351763816654, 0.10944360773515974, 0.12691142298533672, 0.18943230182027218, 0.07031593126880382]","15_lag_eurPSLjfm, 15_lag_shSICsep, 9_lag_stratZ50ndj04, 12_lag_eapPSLjfm, 23_lag_nppc2SSTjfm, 10_lag_scpPSLjfm_819_9"
LinearRegression,11,6,nhSICjfm,picntrl,1725.5,2050.5,0.6,26,6,9,15.510707509607288,0.05638034182811566,819,"['11_lag_stratZ50ndj03', '15_lag_eurPSLjfm', '15_lag_shSICsep', '9_lag_stratZ50ndj04', '25_lag_stratZ50ndj04', '12_lag_eapPSLjfm']","[0.10728414996280689, 0.07699017398795481, 0.17017437379239767, 0.15875447993044145, 0.14098620244712828, 0.13625026330849066]","11_lag_stratZ50ndj03, 15_lag_eurPSLjfm, 15_lag_shSICsep, 9_lag_stratZ50ndj04, 25_lag_stratZ50ndj04, 12_lag_eapPSLjfm_819_9"
LinearRegression,12,6,nhSICjfm,picntrl,1726.5,2050.5,0.6,27,7,9,15.469319510084635,-0.018093535783308485,819,"['18_lag_amo2', '19_lag_stratZ50ndj02', '11_lag_stratZ50ndj03', '9_lag_stratZ50ndj04', '12_lag_eapPSLjfm', '25_lag_stratZ50ndj04']","[0.10061015865659349, 0.17214853339738104, 0.10976220547292864, 0.18094648895567456, 0.16740153106257585, 0.11420820320121614]","18_lag_amo2, 19_lag_stratZ50ndj02, 11_lag_stratZ50ndj03, 9_lag_stratZ50ndj04, 12_lag_eapPSLjfm, 25_lag_stratZ50ndj04_819_9"
