model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,nhSICsep,picntrl,1514.5,2050.5,0.8,15,1,1,16.39722390188429,0.15341353172641045,1728,"['1_lag_12_median_glomaSSTjfm', '1_lag_8_median_nhSICsep', '12_lag_cetTSjfm', '10_lag_stratZ50ndj01', '1_lag_3_median_traBS', '1_lag_11_median_amoSSTmjjaso', '14_lag_ormenSSTjfm', '1_lag_2_median_stratZ50ndj02', '1_lag_neurTSjfm', '1_lag_4_median_satlSSTjfm']","[1.752631955621176, 3.337220485764865, 3.6486391417082675, 5.388386254582183, 5.119582937944589, 2.828175967952058, 0.6594062856241116, 3.26237758405529, 7.719106993001381, 5.718254412893209]","1_lag_12_median_glomaSSTjfm, 1_lag_8_median_nhSICsep, 12_lag_cetTSjfm, 10_lag_stratZ50ndj01, 1_lag_3_median_traBS, 1_lag_11_median_amoSSTmjjaso, 14_lag_ormenSSTjfm, 1_lag_2_median_stratZ50ndj02, 1_lag_neurTSjfm, 1_lag_4_median_satlSSTjfm_1728_1"
LRforcedPSO,1,10,nhSICsep,picntrl,1515.5,2050.5,0.8,16,1,1,12.647678120003517,0.22948658541260547,1856,"['1_lag_8_median_pdoSSTjfm', '1_lag_13_median_traFB', '4_lag_nchinaPRjja', '3_lag_alpi', '2_lag_cetTSjfm', '13_lag_AMOCann', '9_lag_neurTSjfm', '2_lag_traDP', '4_lag_ginwSSTjfm', '5_lag_traIT']","[0.425499125011207, 3.792084131516922, 4.94465636919041, 1.098021521297314, 2.171627613940732, 2.7055493687106225, 0.8205216795553127, 7.714911356446872, 2.7517028850145273, 1.9557289077992923]","1_lag_8_median_pdoSSTjfm, 1_lag_13_median_traFB, 4_lag_nchinaPRjja, 3_lag_alpi, 2_lag_cetTSjfm, 13_lag_AMOCann, 9_lag_neurTSjfm, 2_lag_traDP, 4_lag_ginwSSTjfm, 5_lag_traIT_1856_1"
LRforcedPSO,2,10,nhSICsep,picntrl,1516.5,2050.5,0.8,17,1,1,14.141751635004495,0.19061927378246732,1984,"['1_lag_6_median_traFB', '1_lag_3_median_naoPSLjfm', '1_lag_16_median_stratZ50ndj01', '8_lag_scpPSLjfm', '6_lag_samPSLann', '1_lag_7_median_traMC', '14_lag_stratZ50ndj02', '10_lag_atlSICjfm', '1_lag_14_median_seurTSjfm', '1_lag_14_median_gyreSSTjfm']","[1.2846564580382456, 0.9589147226570418, 2.3468789794263394, 6.007163976432782, 1.5612069022190944, 2.775941716208754, 0.83888489765733, 2.892687071188318, 5.335654042875031, 2.640855006495064]","1_lag_6_median_traFB, 1_lag_3_median_naoPSLjfm, 1_lag_16_median_stratZ50ndj01, 8_lag_scpPSLjfm, 6_lag_samPSLann, 1_lag_7_median_traMC, 14_lag_stratZ50ndj02, 10_lag_atlSICjfm, 1_lag_14_median_seurTSjfm, 1_lag_14_median_gyreSSTjfm_1984_1"
LRforcedPSO,3,10,nhSICsep,picntrl,1517.5,2050.5,0.8,18,1,1,14.83532826249357,0.36744984862141217,2112,"['16_lag_nppc3SSTjfm', '1_lag_8_median_nppc2SSTjfm', '16_lag_labSSTjfm', '5_lag_traFB', '1_lag_4_median_eurPSLjfm', '2_lag_tripol2', '1_lag_15_median_eapPSLjfm', '1_lag_arcTSjfm', '1_lag_9_median_mhfATL30', '10_lag_nppc3SSTjfm']","[0.33773395667617656, 0.22845087676980746, 0.6356483551052392, 0.5547394385104365, 0.5619845438588822, 6.499148095413645, 2.231097958586295, 9.258302971090322, 6.210611572750977, 7.296041042962923]","16_lag_nppc3SSTjfm, 1_lag_8_median_nppc2SSTjfm, 16_lag_labSSTjfm, 5_lag_traFB, 1_lag_4_median_eurPSLjfm, 2_lag_tripol2, 1_lag_15_median_eapPSLjfm, 1_lag_arcTSjfm, 1_lag_9_median_mhfATL30, 10_lag_nppc3SSTjfm_2112_1"
LRforcedPSO,4,10,nhSICsep,picntrl,1518.5,2050.5,0.8,19,1,1,14.229919573475014,0.06539606314570327,2240,"['17_lag_cetTSjfm', '1_lag_5_median_cetTSjfm', '1_lag_4_median_cetTSjfm', '1_lag_10_median_traFSC', '3_lag_traDS', '17_lag_naoPSLjfm', '1_lag_8_median_AMOCann', '1_lag_3_median_nppc3SSTjfm', '1_lag_4_median_traDS', '4_lag_satlSSTjfm']","[3.103475474776687, 8.088077188666691, 3.294908000740353, 7.111402026978357, 1.4818504538222488, 0.16925185560603495, 1.9338220302578044, 3.7516981119987705, 4.159110516668644, 1.714771626939811]","17_lag_cetTSjfm, 1_lag_5_median_cetTSjfm, 1_lag_4_median_cetTSjfm, 1_lag_10_median_traFSC, 3_lag_traDS, 17_lag_naoPSLjfm, 1_lag_8_median_AMOCann, 1_lag_3_median_nppc3SSTjfm, 1_lag_4_median_traDS, 4_lag_satlSSTjfm_2240_1"
LRforcedPSO,5,10,nhSICsep,picntrl,1519.5,2050.5,0.8,20,1,1,15.628673191645548,0.1463187657003136,2368,"['18_lag_cetTSjfm', '12_lag_satlSSTjfm', '3_lag_nppc2SSTjfm', '8_lag_ensoSSTjfm', '1_lag_11_median_shSICsep', '1_lag_8_median_amoSSTmjjaso', '18_lag_tripol3', '17_lag_gyreSSTjfm', '1_lag_18_median_traDP', '1_lag_18_median_AMOCann']","[2.9519818731712704, 6.6625147517556815, 4.254348149166971, 3.449718811352618, 1.8290264386824422, 4.838183378203594, 0.39678908289028314, 0.42502744986775376, 4.725930172669235, 6.253963897207829]","18_lag_cetTSjfm, 12_lag_satlSSTjfm, 3_lag_nppc2SSTjfm, 8_lag_ensoSSTjfm, 1_lag_11_median_shSICsep, 1_lag_8_median_amoSSTmjjaso, 18_lag_tripol3, 17_lag_gyreSSTjfm, 1_lag_18_median_traDP, 1_lag_18_median_AMOCann_2368_1"
LRforcedPSO,6,10,nhSICsep,picntrl,1520.5,2050.5,0.8,21,1,1,16.91576206752942,-0.15748737287315429,2496,"['19_lag_seurTSjfm', '1_lag_gyreSSTjfm', '1_lag_4_median_glomaSSTjfm', '1_lag_3_median_gyreSSTjfm', '17_lag_amoSSTmjjaso', '14_lag_arcTSjfm', '5_lag_nppc2SSTjfm', '7_lag_traFB', '8_lag_eurPSLjfm', '15_lag_ormenSSTjfm']","[0.20385853731786874, 3.5131543771667513, 6.004753293608829, 2.109487977499585, 3.836305704729522, 3.7395901742662847, 3.9643255488885076, 1.7151262909880494, 0.2742150094725453, 2.376494123642468]","19_lag_seurTSjfm, 1_lag_gyreSSTjfm, 1_lag_4_median_glomaSSTjfm, 1_lag_3_median_gyreSSTjfm, 17_lag_amoSSTmjjaso, 14_lag_arcTSjfm, 5_lag_nppc2SSTjfm, 7_lag_traFB, 8_lag_eurPSLjfm, 15_lag_ormenSSTjfm_2496_1"
LRforcedPSO,7,10,nhSICsep,picntrl,1521.5,2050.5,0.8,22,2,2,15.79821549106667,0.05347357575888795,2496,"['2_lag_19_median_scpPSLjfm', '2_lag_7_median_satlSSTjfm', '5_lag_naoPSLjfm', '20_lag_nhTSjfm', '2_lag_9_median_eurPSLjfm', '3_lag_alpi', '2_lag_3_median_mhfATL45', '12_lag_mhfATL30', '11_lag_traIT', '8_lag_traFSC']","[1.6166852760726833, 7.844490703907496, 5.544249567884143, 3.8070036001212433, 1.925865061938815, 2.261776906881366, 2.7660657218388867, 1.361389555256217, 1.6578501548880666, 3.019398062342984]","2_lag_19_median_scpPSLjfm, 2_lag_7_median_satlSSTjfm, 5_lag_naoPSLjfm, 20_lag_nhTSjfm, 2_lag_9_median_eurPSLjfm, 3_lag_alpi, 2_lag_3_median_mhfATL45, 12_lag_mhfATL30, 11_lag_traIT, 8_lag_traFSC_2496_2"
LRforcedPSO,8,10,nhSICsep,picntrl,1522.5,2050.5,0.8,23,3,3,14.750621640273328,0.1823315794870615,2496,"['10_lag_stratZ50ndj03', '10_lag_shTSjfm', '4_lag_pdoSSTjfm', '3_lag_7_median_alpi', '18_lag_tripol3', '10_lag_scpPSLjfm', '3_lag_12_median_shSICmar', '21_lag_ginwSSTjfm', '20_lag_traEC', '9_lag_shSICsep']","[3.926492110079206, 6.8772310934539345, 8.432210724391663, 8.83389123028713, 4.770594712910494, 1.0447788368634647, 3.0167775042267877, 4.188711473110802, 5.798057775629683, 0.8245282928040449]","10_lag_stratZ50ndj03, 10_lag_shTSjfm, 4_lag_pdoSSTjfm, 3_lag_7_median_alpi, 18_lag_tripol3, 10_lag_scpPSLjfm, 3_lag_12_median_shSICmar, 21_lag_ginwSSTjfm, 20_lag_traEC, 9_lag_shSICsep_2496_3"
LRforcedPSO,9,10,nhSICsep,picntrl,1523.5,2050.5,0.8,24,4,4,14.478836928171713,-0.1575781429771819,2496,"['21_lag_amo2', '14_lag_traCA', '4_lag_21_median_nppc2SSTjfm', '4_lag_12_median_gyreSSTjfm', '23_lag_ismPRjja', '4_lag_11_median_traFS', '22_lag_traDS', '19_lag_eapPSLjfm', '8_lag_wnorPRjfm', '14_lag_wnorPRjfm']","[0.7409273026913965, 3.0472982874131915, 2.0648520688955116, 4.656042154179341, 2.0403145064056893, 1.3798539462311883, 4.932963771526605, 1.210099055549236, 2.1843786542422823, 3.2178773425857]","21_lag_amo2, 14_lag_traCA, 4_lag_21_median_nppc2SSTjfm, 4_lag_12_median_gyreSSTjfm, 23_lag_ismPRjja, 4_lag_11_median_traFS, 22_lag_traDS, 19_lag_eapPSLjfm, 8_lag_wnorPRjfm, 14_lag_wnorPRjfm_2496_4"
