model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,nhSICsep,picntrl,1066.5,2050.5,0.6,15,5,5,13.216881759164899,-0.0011740841988172879,399,"['6_lag_eurPSLjfm', '5_lag_6_median_shSICsep', '5_lag_7_median_stratZ50ndj02', '6_lag_shSICmar', '5_lag_7_median_shSICmar', '5_lag_7_median_shSICsep']","[0.04114650993853013, 0.05330823163792735, 0.092041911095016, 0.04479602490904706, 0.11693758827445347, 0.014633409999977223]","6_lag_eurPSLjfm, 5_lag_6_median_shSICsep, 5_lag_7_median_stratZ50ndj02, 6_lag_shSICmar, 5_lag_7_median_shSICmar, 5_lag_7_median_shSICsep_399_5"
LinearRegression,1,6,nhSICsep,picntrl,1067.5,2050.5,0.6,16,6,6,13.110566692186746,0.011314941485068723,399,"['6_lag_7_median_scpPSLjfm', '7_lag_amo3', '7_lag_AMOCann', '6_lag_8_median_amo3', '6_lag_8_median_AMOCann', '6_lag_8_median_nhSICjfm']","[0.04226078620061475, 0.08125473745238614, 0.09298347242717184, 0.15367466723798995, 0.24898895807924143, 0.10149292045457467]","6_lag_7_median_scpPSLjfm, 7_lag_amo3, 7_lag_AMOCann, 6_lag_8_median_amo3, 6_lag_8_median_AMOCann, 6_lag_8_median_nhSICjfm_399_6"
LinearRegression,2,6,nhSICsep,picntrl,1068.5,2050.5,0.6,17,7,7,13.102431044090721,0.04963549486948995,399,"['7_lag_8_median_shSICsep', '7_lag_9_median_eurPSLjfm', '7_lag_9_median_AMOCann', '7_lag_9_median_shSICmar', '7_lag_9_median_amo2', '7_lag_9_median_nhSICsep']","[0.060789131224158646, 0.04225603934609267, 0.21848426567788368, 0.0529881009566714, 0.0255552465892181, 0.03992570796553147]","7_lag_8_median_shSICsep, 7_lag_9_median_eurPSLjfm, 7_lag_9_median_AMOCann, 7_lag_9_median_shSICmar, 7_lag_9_median_amo2, 7_lag_9_median_nhSICsep_399_7"
LinearRegression,3,6,nhSICsep,picntrl,1069.5,2050.5,0.6,18,8,8,13.064906719250361,0.044728827542263344,399,"['8_lag_9_median_shSICsep', '8_lag_10_median_eurPSLjfm', '8_lag_10_median_AMOCann', '8_lag_10_median_shSICmar', '8_lag_10_median_amo2', '8_lag_10_median_nhSICsep']","[0.04451180307974855, 0.04054970614910914, 0.16584174381153619, 0.07072678310528596, 0.013277841898382749, 0.042786281298544365]","8_lag_9_median_shSICsep, 8_lag_10_median_eurPSLjfm, 8_lag_10_median_AMOCann, 8_lag_10_median_shSICmar, 8_lag_10_median_amo2, 8_lag_10_median_nhSICsep_399_8"
LinearRegression,4,6,nhSICsep,picntrl,1070.5,2050.5,0.6,19,9,9,13.026306276474722,-0.005940261128044048,399,"['9_lag_11_median_amo2', '9_lag_11_median_amo3', '9_lag_11_median_amoSSTjfm', '9_lag_11_median_nppc2SSTjfm', '9_lag_11_median_stratZ50ndj02', '9_lag_11_median_atlSICsep']","[0.04061612318884966, 0.10337893998480699, 0.09207544387773298, 0.04652707593011945, 0.07612156425774401, 0.13886630362538663]","9_lag_11_median_amo2, 9_lag_11_median_amo3, 9_lag_11_median_amoSSTjfm, 9_lag_11_median_nppc2SSTjfm, 9_lag_11_median_stratZ50ndj02, 9_lag_11_median_atlSICsep_399_9"
LinearRegression,5,6,nhSICsep,picntrl,1071.5,2050.5,0.6,20,10,10,13.078915868480083,0.0005287667683000449,399,"['10_lag_12_median_amo2', '10_lag_12_median_amo3', '10_lag_12_median_amoSSTjfm', '10_lag_12_median_nppc2SSTjfm', '10_lag_12_median_stratZ50ndj02', '10_lag_12_median_atlSICsep']","[0.017536215118699777, 0.05735826475688588, 0.04745192971567372, 0.03471575962054098, 0.12876554154631656, 0.004724841360123373]","10_lag_12_median_amo2, 10_lag_12_median_amo3, 10_lag_12_median_amoSSTjfm, 10_lag_12_median_nppc2SSTjfm, 10_lag_12_median_stratZ50ndj02, 10_lag_12_median_atlSICsep_399_10"
LinearRegression,6,6,nhSICsep,picntrl,1072.5,2050.5,0.6,21,11,11,13.207013190581597,-0.10133801674058375,399,"['11_lag_13_median_amoSSTjfm', '12_lag_amoSSTjfm', '11_lag_12_median_eurPSLjfm', '11_lag_13_median_amoSSTmjjaso', '11_lag_13_median_nhSICsep', '11_lag_13_median_naoPSLjfm']","[0.01726037183220715, 0.04078285824130324, 0.10177948327544885, 0.0568157052177526, 0.02325085187973816, 0.014327654195537243]","11_lag_13_median_amoSSTjfm, 12_lag_amoSSTjfm, 11_lag_12_median_eurPSLjfm, 11_lag_13_median_amoSSTmjjaso, 11_lag_13_median_nhSICsep, 11_lag_13_median_naoPSLjfm_399_11"
LinearRegression,7,6,nhSICsep,picntrl,1073.5,2050.5,0.6,22,12,12,12.939585067855797,-0.009109523189640647,399,"['14_lag_nhSICjfm', '12_lag_14_median_amoSSTjfm', '13_lag_eapPSLjfm', '13_lag_amo1', '12_lag_14_median_eurPSLjfm', '12_lag_14_median_nhSICjfm']","[0.03140234080144488, 0.03381586803699547, 0.04920484586697306, 0.008633650981264937, 0.006031923340446721, 0.08269182706336525]","14_lag_nhSICjfm, 12_lag_14_median_amoSSTjfm, 13_lag_eapPSLjfm, 13_lag_amo1, 12_lag_14_median_eurPSLjfm, 12_lag_14_median_nhSICjfm_399_12"
LinearRegression,8,6,nhSICsep,picntrl,1074.5,2050.5,0.6,23,13,13,12.953253051358173,0.008021061119007446,399,"['15_lag_nhSICjfm', '13_lag_15_median_amoSSTjfm', '14_lag_eapPSLjfm', '14_lag_amo1', '13_lag_15_median_eurPSLjfm', '13_lag_15_median_nhSICjfm']","[0.030206152467211065, 0.027335344858305105, 0.03477267185846416, 0.0019347260564817987, 0.015527762811718311, 0.023222984719732578]","15_lag_nhSICjfm, 13_lag_15_median_amoSSTjfm, 14_lag_eapPSLjfm, 14_lag_amo1, 13_lag_15_median_eurPSLjfm, 13_lag_15_median_nhSICjfm_399_13"
LinearRegression,9,6,nhSICsep,picntrl,1075.5,2050.5,0.6,24,14,14,12.812135946627341,0.0782539653587739,399,"['16_lag_nhSICsep', '15_lag_shSICsep', '14_lag_16_median_nhSICjfm', '14_lag_16_median_eapPSLjfm', '14_lag_16_median_shSICsep', '14_lag_16_median_nhSICsep']","[0.08615232076783076, 0.07605166987710499, 0.06248518165125451, 0.09786984191857954, 0.04678006340321673, 0.07064308117737156]","16_lag_nhSICsep, 15_lag_shSICsep, 14_lag_16_median_nhSICjfm, 14_lag_16_median_eapPSLjfm, 14_lag_16_median_shSICsep, 14_lag_16_median_nhSICsep_399_14"
