model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,nhTSjfm,picntrl,1066.5,2050.5,0.8,15,1,1,10.956740400815992,0.3197219089003067,1728,"['1_lag_6_median_amoSSTmjjaso', '1_lag_5_median_stratZ50ndj03', '8_lag_traWP', '1_lag_10_median_amoSSTmjjaso', '8_lag_mhfATL45', '1_lag_traIT', '1_lag_traFB', '1_lag_6_median_alpi', '1_lag_7_median_alpi', '9_lag_stratZ50ndj03', '5_lag_neurTSjfm', '1_lag_6_median_ginwSSTjfm', '1_lag_6_median_shTSjfm', '1_lag_8_median_naoPSLjfm', '5_lag_glomaSSTjfm', '1_lag_traTLS', '13_lag_AMOCann', '10_lag_mhfATL45', '7_lag_nppc2SSTjfm', '8_lag_nppc2SSTjfm', '7_lag_atlSICsep', '1_lag_pdoSSTjfm', '1_lag_8_median_traWP', '1_lag_labSSTjfm', '6_lag_naoPSLjfm', '1_lag_10_median_traMC', '1_lag_4_median_amo2', '1_lag_6_median_traDP', '4_lag_amo3', '1_lag_6_median_atlSICjfm']","[0.16874097616102818, 0.03107911498307478, 0.06426294669334662, 0.14493991391411312, 0.024368260075913036, 0.33896396276460916, 0.06622634477772843, 0.0478526982132555, 0.10368279197190917, 0.020964146421316623, 0.01826028615754659, 0.19956269297158036, 0.07346407585704137, 0.07818229693625414, 0.020893130927558682, 0.07961120144205901, 0.0788722994655985, 0.02364607377312259, 0.05510233416054673, 0.07301966045775174, 0.03220554519699565, 0.14118539847199615, 0.3090307208612408, 0.022252107682915037, 0.03827032340233232, 0.23248889051177166, 0.02034979616542241, 0.051271920822038124, 0.05024183139811838, 0.06138263566282544]","1_lag_6_median_amoSSTmjjaso, 1_lag_5_median_stratZ50ndj03, 8_lag_traWP, 1_lag_10_median_amoSSTmjjaso, 8_lag_mhfATL45, 1_lag_traIT, 1_lag_traFB, 1_lag_6_median_alpi, 1_lag_7_median_alpi, 9_lag_stratZ50ndj03, 5_lag_neurTSjfm, 1_lag_6_median_ginwSSTjfm, 1_lag_6_median_shTSjfm, 1_lag_8_median_naoPSLjfm, 5_lag_glomaSSTjfm, 1_lag_traTLS, 13_lag_AMOCann, 10_lag_mhfATL45, 7_lag_nppc2SSTjfm, 8_lag_nppc2SSTjfm, 7_lag_atlSICsep, 1_lag_pdoSSTjfm, 1_lag_8_median_traWP, 1_lag_labSSTjfm, 6_lag_naoPSLjfm, 1_lag_10_median_traMC, 1_lag_4_median_amo2, 1_lag_6_median_traDP, 4_lag_amo3, 1_lag_6_median_atlSICjfm_1728_1"
LinearRegression,1,30,nhTSjfm,picntrl,1067.5,2050.5,0.8,16,1,1,10.86200806990882,0.34164692407771396,1856,"['7_lag_nppc2SSTjfm', '12_lag_glomaSSTjfm', '13_lag_mhfIP30', '4_lag_naoPSLjfm', '1_lag_6_median_mhfATL45', '14_lag_arcTSjfm', '1_lag_8_median_traWP', '1_lag_pdoSSTjfm', '1_lag_nhTSjfm', '1_lag_8_median_naoPSLjfm', '1_lag_traFB', '10_lag_mhfATL45', '1_lag_traIT', '4_lag_amo3', '1_lag_6_median_amoSSTmjjaso', '8_lag_traWP', '9_lag_stratZ50ndj03', '1_lag_6_median_ginwSSTjfm', '10_lag_stratZ50ndj04', '10_lag_traTLS', '13_lag_AMOCann', '7_lag_atlSICsep', '1_lag_6_median_traDP', '1_lag_traTLS', '1_lag_6_median_alpi', '1_lag_labSSTjfm', '6_lag_naoPSLjfm', '1_lag_4_median_amo2', '1_lag_10_median_traMC', '1_lag_6_median_atlSICjfm']","[0.018144947797659183, 0.006143480501777668, 0.02855069630545548, 0.007978261440403256, 0.169597519998767, 0.013100534957464898, 0.24114750949675218, 0.09437233946914551, 0.07791615376409224, 0.07098580188769218, 0.07955814304734221, 0.03794669321982757, 0.3356750702164207, 0.029858793247991913, 0.13227291980780398, 0.049099105195547964, 0.020535877108626813, 0.13552343677501147, 0.0004411382085153896, 0.02968359080262368, 0.10044053736009996, 0.03376699908511494, 0.07236141116259967, 0.07583650553771137, 0.08951095784461117, 0.01693598383101393, 0.024110149778887154, 0.036714388124811835, 0.19456388607056566, 0.03499394715331597]","7_lag_nppc2SSTjfm, 12_lag_glomaSSTjfm, 13_lag_mhfIP30, 4_lag_naoPSLjfm, 1_lag_6_median_mhfATL45, 14_lag_arcTSjfm, 1_lag_8_median_traWP, 1_lag_pdoSSTjfm, 1_lag_nhTSjfm, 1_lag_8_median_naoPSLjfm, 1_lag_traFB, 10_lag_mhfATL45, 1_lag_traIT, 4_lag_amo3, 1_lag_6_median_amoSSTmjjaso, 8_lag_traWP, 9_lag_stratZ50ndj03, 1_lag_6_median_ginwSSTjfm, 10_lag_stratZ50ndj04, 10_lag_traTLS, 13_lag_AMOCann, 7_lag_atlSICsep, 1_lag_6_median_traDP, 1_lag_traTLS, 1_lag_6_median_alpi, 1_lag_labSSTjfm, 6_lag_naoPSLjfm, 1_lag_4_median_amo2, 1_lag_10_median_traMC, 1_lag_6_median_atlSICjfm_1856_1"
LinearRegression,2,30,nhTSjfm,picntrl,1068.5,2050.5,0.8,17,1,1,11.310880145571584,0.28404458372133795,1984,"['1_lag_8_median_naoPSLjfm', '16_lag_amoSSTmjjaso', '10_lag_stratZ50ndj04', '9_lag_ensoSSTjfm', '16_lag_traWP', '12_lag_mhfATL45', '6_lag_traWP', '7_lag_atlSICsep', '9_lag_stratZ50ndj03', '4_lag_amo3', '1_lag_nhTSjfm', '1_lag_6_median_alpi', '10_lag_traTLS', '8_lag_mhfATL45', '1_lag_10_median_traMC', '7_lag_traWP', '1_lag_traFB', '8_lag_seurTSjfm', '8_lag_traWP', '10_lag_nppc3SSTjfm', '1_lag_6_median_atlSICjfm', '7_lag_nppc2SSTjfm', '1_lag_traTLS', '1_lag_4_median_amo2', '1_lag_6_median_amoSSTmjjaso', '16_lag_cetTSjfm', '13_lag_AMOCann', '6_lag_naoPSLjfm', '1_lag_labSSTjfm', '1_lag_traIT']","[0.09929603262177052, 0.0384015853817942, 0.010056266113188108, 0.009453540173011359, 0.007954622670534685, 0.0432438076641477, 0.08754114399047498, 0.024143864904386785, 0.02462724650483762, 0.023549802159523466, 0.14152538128370049, 0.03470866010927423, 0.019838013478548435, 0.041034479324643325, 0.18254691231952822, 0.06708557493122785, 0.027475858684428922, 0.019552739048913886, 0.012233620867581722, 0.11656177669349456, 0.1149173931302231, 0.036018312291745395, 0.10168978790167917, 0.06380727201289474, 0.09085264034988898, 0.043779202250417315, 0.08648140992319563, 0.045697329268421585, 0.007299267779971176, 0.2941165819751212]","1_lag_8_median_naoPSLjfm, 16_lag_amoSSTmjjaso, 10_lag_stratZ50ndj04, 9_lag_ensoSSTjfm, 16_lag_traWP, 12_lag_mhfATL45, 6_lag_traWP, 7_lag_atlSICsep, 9_lag_stratZ50ndj03, 4_lag_amo3, 1_lag_nhTSjfm, 1_lag_6_median_alpi, 10_lag_traTLS, 8_lag_mhfATL45, 1_lag_10_median_traMC, 7_lag_traWP, 1_lag_traFB, 8_lag_seurTSjfm, 8_lag_traWP, 10_lag_nppc3SSTjfm, 1_lag_6_median_atlSICjfm, 7_lag_nppc2SSTjfm, 1_lag_traTLS, 1_lag_4_median_amo2, 1_lag_6_median_amoSSTmjjaso, 16_lag_cetTSjfm, 13_lag_AMOCann, 6_lag_naoPSLjfm, 1_lag_labSSTjfm, 1_lag_traIT_1984_1"
LinearRegression,3,30,nhTSjfm,picntrl,1069.5,2050.5,0.8,18,1,1,11.276091399402667,0.30972150649218305,2112,"['1_lag_10_median_traMC', '4_lag_naoPSLjfm', '16_lag_cetTSjfm', '12_lag_amo1', '17_lag_mhfATL45', '5_lag_ismPRjja', '13_lag_shSICsep', '12_lag_traWP', '16_lag_labSSTjfm', '9_lag_glomaSSTjfm', '9_lag_ensoSSTjfm', '16_lag_eurPSLjfm', '12_lag_mhfATL45', '1_lag_4_median_amo2', '5_lag_traIT', '1_lag_6_median_alpi', '4_lag_amo3', '1_lag_6_median_amoSSTmjjaso', '7_lag_nppc2SSTjfm', '16_lag_traWP', '17_lag_shSICsep', '1_lag_traFB', '1_lag_traTLS', '1_lag_labSSTjfm', '10_lag_nppc3SSTjfm', '9_lag_stratZ50ndj03', '13_lag_AMOCann', '8_lag_traWP', '6_lag_naoPSLjfm', '1_lag_traIT']","[0.16143202778537305, 0.010728839826479169, 0.07717035174491217, 0.10368816377970758, 0.07150538996157386, 0.04093755580703299, 0.03046052634471821, 0.016874304403387445, 0.02073151671207902, 0.058091644041718966, 0.03306900355104551, 0.0757048633612422, 0.06484021341279997, 0.07411396196038118, 0.050621094319538144, 0.05274137372466612, 0.07177184532824635, 0.11048353917170409, 0.05219085030721059, 0.015713778032049795, 0.08756507938596599, 0.01323235884304741, 0.09758319261944061, 0.015619057595252988, 0.14039676671772036, 0.01730224976110922, 0.11109724937041691, 0.006033501156459318, 0.0647612699074466, 0.29267991667596155]","1_lag_10_median_traMC, 4_lag_naoPSLjfm, 16_lag_cetTSjfm, 12_lag_amo1, 17_lag_mhfATL45, 5_lag_ismPRjja, 13_lag_shSICsep, 12_lag_traWP, 16_lag_labSSTjfm, 9_lag_glomaSSTjfm, 9_lag_ensoSSTjfm, 16_lag_eurPSLjfm, 12_lag_mhfATL45, 1_lag_4_median_amo2, 5_lag_traIT, 1_lag_6_median_alpi, 4_lag_amo3, 1_lag_6_median_amoSSTmjjaso, 7_lag_nppc2SSTjfm, 16_lag_traWP, 17_lag_shSICsep, 1_lag_traFB, 1_lag_traTLS, 1_lag_labSSTjfm, 10_lag_nppc3SSTjfm, 9_lag_stratZ50ndj03, 13_lag_AMOCann, 8_lag_traWP, 6_lag_naoPSLjfm, 1_lag_traIT_2112_1"
LinearRegression,4,30,nhTSjfm,picntrl,1070.5,2050.5,0.8,19,1,1,11.158956445027957,0.3158293293025929,2240,"['16_lag_traWP', '4_lag_naoPSLjfm', '7_lag_traFB', '4_lag_amo3', '1_lag_4_median_amo2', '7_lag_traWP', '16_lag_cetTSjfm', '11_lag_glomaSSTjfm', '16_lag_eurPSLjfm', '8_lag_seurTSjfm', '11_lag_atlSICjfm', '17_lag_traIT', '12_lag_amo1', '9_lag_stratZ50ndj03', '9_lag_glomaSSTjfm', '16_lag_gyreSSTjfm', '1_lag_labSSTjfm', '13_lag_AMOCann', '16_lag_labSSTjfm', '5_lag_traIT', '6_lag_shSICsep', '1_lag_traFB', '1_lag_6_median_amoSSTmjjaso', '8_lag_traWP', '17_lag_shSICsep', '6_lag_naoPSLjfm', '7_lag_nppc2SSTjfm', '10_lag_nppc3SSTjfm', '1_lag_traTLS', '1_lag_traIT']","[0.0025023784956039043, 0.023019654969135783, 0.009717798808865934, 0.049725369562832036, 0.09231265865906231, 0.07238015258779072, 0.0805025488269621, 0.023841983531768435, 0.08930197658221825, 0.0005455856630571813, 0.0753477212492219, 0.05241204433875116, 0.0942766537733671, 0.025856808290931496, 0.0006577343064076035, 0.0009764895300443358, 0.017863764893151717, 0.10241524462007223, 0.041956860131841175, 0.023348687567061654, 0.029100691425400727, 0.032737139358973405, 0.10378229198763798, 0.021886224138504162, 0.07048203088473687, 0.06572100787110939, 0.03551188689441062, 0.13090613427625525, 0.07863941541354667, 0.3263786055864686]","16_lag_traWP, 4_lag_naoPSLjfm, 7_lag_traFB, 4_lag_amo3, 1_lag_4_median_amo2, 7_lag_traWP, 16_lag_cetTSjfm, 11_lag_glomaSSTjfm, 16_lag_eurPSLjfm, 8_lag_seurTSjfm, 11_lag_atlSICjfm, 17_lag_traIT, 12_lag_amo1, 9_lag_stratZ50ndj03, 9_lag_glomaSSTjfm, 16_lag_gyreSSTjfm, 1_lag_labSSTjfm, 13_lag_AMOCann, 16_lag_labSSTjfm, 5_lag_traIT, 6_lag_shSICsep, 1_lag_traFB, 1_lag_6_median_amoSSTmjjaso, 8_lag_traWP, 17_lag_shSICsep, 6_lag_naoPSLjfm, 7_lag_nppc2SSTjfm, 10_lag_nppc3SSTjfm, 1_lag_traTLS, 1_lag_traIT_2240_1"
LinearRegression,5,30,nhTSjfm,picntrl,1071.5,2050.5,0.8,20,1,1,10.881820008280217,0.3259193856076499,2368,"['19_lag_amo2', '1_lag_scpPSLjfm', '9_lag_glomaSSTjfm', '5_lag_traEU', '5_lag_traIT', '9_lag_nhSICsep', '6_lag_traMC', '7_lag_traWP', '7_lag_nppc2SSTjfm', '16_lag_labSSTjfm', '4_lag_samPSLann', '1_lag_labSSTjfm', '4_lag_amo3', '13_lag_AMOCann', '7_lag_traFB', '1_lag_4_median_amo2', '10_lag_nppc3SSTjfm', '6_lag_shSICsep', '9_lag_stratZ50ndj03', '1_lag_6_median_amoSSTmjjaso', '7_lag_ismPRjja', '8_lag_traWP', '8_lag_seurTSjfm', '6_lag_naoPSLjfm', '16_lag_gyreSSTjfm', '5_lag_traBS', '1_lag_traFB', '1_lag_traTLS', '17_lag_shSICsep', '1_lag_traIT']","[0.04117203849260554, 0.019502004291719284, 0.003668897409947969, 0.020001958444388825, 0.02430471064128592, 0.036510712710754296, 0.05144858767490307, 0.0625923718020572, 0.0482825084200847, 0.03840251009206839, 0.00445681550755154, 0.0004978806353626072, 0.0616725080024743, 0.0968776450691621, 0.01835175082548003, 0.09695709137102133, 0.1349851766451059, 0.044643194702295864, 0.022521065631590422, 0.0920002826209495, 0.005262953751610259, 0.03152391145581673, 0.0024797626475222814, 0.06778857963068709, 0.003683935316521782, 0.05976751890508407, 0.023064389867789283, 0.08475001256389858, 0.06928246445632383, 0.3215462953770225]","19_lag_amo2, 1_lag_scpPSLjfm, 9_lag_glomaSSTjfm, 5_lag_traEU, 5_lag_traIT, 9_lag_nhSICsep, 6_lag_traMC, 7_lag_traWP, 7_lag_nppc2SSTjfm, 16_lag_labSSTjfm, 4_lag_samPSLann, 1_lag_labSSTjfm, 4_lag_amo3, 13_lag_AMOCann, 7_lag_traFB, 1_lag_4_median_amo2, 10_lag_nppc3SSTjfm, 6_lag_shSICsep, 9_lag_stratZ50ndj03, 1_lag_6_median_amoSSTmjjaso, 7_lag_ismPRjja, 8_lag_traWP, 8_lag_seurTSjfm, 6_lag_naoPSLjfm, 16_lag_gyreSSTjfm, 5_lag_traBS, 1_lag_traFB, 1_lag_traTLS, 17_lag_shSICsep, 1_lag_traIT_2368_1"
LinearRegression,6,30,nhTSjfm,picntrl,1072.5,2050.5,0.8,21,1,1,11.074660654748238,0.2809594226306678,2496,"['4_lag_amo3', '20_lag_tripol1', '7_lag_ismPRjja', '5_lag_traEU', '6_lag_shSICsep', '9_lag_glomaSSTjfm', '13_lag_AMOCann', '14_lag_scpPSLjfm', '5_lag_glomaSSTjfm', '16_lag_amoSSTmjjaso', '20_lag_shTSjfm', '1_lag_scpPSLjfm', '5_lag_traIT', '6_lag_traWP', '8_lag_seurTSjfm', '5_lag_traBS', '16_lag_gyreSSTjfm', '7_lag_traFB', '8_lag_traWP', '10_lag_samPSLann', '10_lag_nppc3SSTjfm', '1_lag_4_median_amo2', '4_lag_samPSLann', '6_lag_naoPSLjfm', '7_lag_traWP', '9_lag_stratZ50ndj03', '1_lag_traFB', '1_lag_traTLS', '17_lag_shSICsep', '1_lag_traIT']","[0.02055062257095283, 0.09480541485880656, 0.0006486282381332209, 0.030310843027906178, 0.013289801525621868, 0.02389497373188564, 0.10284229950796342, 0.06115748523398108, 0.008774781344430873, 0.020689294809362924, 0.045069628364860254, 0.020956852364314996, 0.0217032607577535, 0.09070862363392952, 0.0004539791461468377, 0.04961082787387801, 0.012518947669750721, 0.024412612640851112, 0.027792993712517033, 0.006777294103824976, 0.1253545535680542, 0.044741209254723684, 0.011170869234692984, 0.059099958995515026, 0.05328558934621462, 0.027739797791153147, 0.03929035712460309, 0.08703530512934507, 0.05657573192275579, 0.3278029276426248]","4_lag_amo3, 20_lag_tripol1, 7_lag_ismPRjja, 5_lag_traEU, 6_lag_shSICsep, 9_lag_glomaSSTjfm, 13_lag_AMOCann, 14_lag_scpPSLjfm, 5_lag_glomaSSTjfm, 16_lag_amoSSTmjjaso, 20_lag_shTSjfm, 1_lag_scpPSLjfm, 5_lag_traIT, 6_lag_traWP, 8_lag_seurTSjfm, 5_lag_traBS, 16_lag_gyreSSTjfm, 7_lag_traFB, 8_lag_traWP, 10_lag_samPSLann, 10_lag_nppc3SSTjfm, 1_lag_4_median_amo2, 4_lag_samPSLann, 6_lag_naoPSLjfm, 7_lag_traWP, 9_lag_stratZ50ndj03, 1_lag_traFB, 1_lag_traTLS, 17_lag_shSICsep, 1_lag_traIT_2496_1"
LinearRegression,7,30,nhTSjfm,picntrl,1073.5,2050.5,0.8,22,2,2,11.094832318014278,0.07652677185472785,2496,"['7_lag_traWP', '10_lag_traDS', '13_lag_amo1', '5_lag_traIFC', '12_lag_traWP', '13_lag_neurTSjfm', '19_lag_samPSLann', '10_lag_amo2', '10_lag_AMOCann', '2_lag_scpPSLjfm', '18_lag_stratZ50ndj04', '21_lag_traBS', '9_lag_traIFC', '20_lag_nchinaPRjja', '17_lag_atlSICsep', '7_lag_nppc2SSTjfm', '10_lag_traTLS', '19_lag_traWP', '8_lag_seurTSjfm', '20_lag_tripol1', '10_lag_samPSLann', '2_lag_traIT', '6_lag_tripol3', '5_lag_traEU', '5_lag_glomaSSTjfm', '8_lag_traWP', '17_lag_shSICsep', '5_lag_traIT', '2_lag_5_median_wnorPRjfm', '2_lag_shSICmar']","[0.07455606984248006, 0.12123400932987824, 0.026562126512969783, 0.14809214058636286, 0.0032957153493110686, 0.037508273927680136, 0.02517994315755609, 0.11578203211243415, 0.0435594962207461, 0.04990363916982119, 0.08303359220193912, 0.07447171128430387, 0.0031063852852371604, 0.02384137507011431, 0.05866760162287884, 0.06119715588941298, 0.03565882849095447, 0.06897115606124309, 0.012869260830919405, 0.1197272697526031, 0.03866073840541545, 0.013700233750173953, 0.06599705584236248, 0.023263955692026543, 0.002521077841318706, 0.029858029518902228, 0.04828532468299267, 0.0031104419438702027, 0.1312908870113413, 0.1229736859224487]","7_lag_traWP, 10_lag_traDS, 13_lag_amo1, 5_lag_traIFC, 12_lag_traWP, 13_lag_neurTSjfm, 19_lag_samPSLann, 10_lag_amo2, 10_lag_AMOCann, 2_lag_scpPSLjfm, 18_lag_stratZ50ndj04, 21_lag_traBS, 9_lag_traIFC, 20_lag_nchinaPRjja, 17_lag_atlSICsep, 7_lag_nppc2SSTjfm, 10_lag_traTLS, 19_lag_traWP, 8_lag_seurTSjfm, 20_lag_tripol1, 10_lag_samPSLann, 2_lag_traIT, 6_lag_tripol3, 5_lag_traEU, 5_lag_glomaSSTjfm, 8_lag_traWP, 17_lag_shSICsep, 5_lag_traIT, 2_lag_5_median_wnorPRjfm, 2_lag_shSICmar_2496_2"
LinearRegression,8,30,nhTSjfm,picntrl,1074.5,2050.5,0.8,23,3,3,11.093807364051925,0.08698336066802002,2496,"['6_lag_tripol3', '16_lag_amoSSTmjjaso', '3_lag_6_median_samPSLann', '17_lag_atlSICsep', '3_lag_6_median_amoSSTmjjaso', '17_lag_traIT', '3_lag_12_median_naoPSLjfm', '7_lag_traWP', '20_lag_shTSjfm', '9_lag_glomaSSTjfm', '17_lag_mhfATL45', '12_lag_neurTSjfm', '7_lag_atlSICjfm', '6_lag_nppc3SSTjfm', '7_lag_shTSjfm', '18_lag_traEU', '3_lag_8_median_ismPRjja', '22_lag_samPSLann', '10_lag_traEC', '20_lag_stratZ50ndj01', '16_lag_cetTSjfm', '21_lag_atlSICsep', '8_lag_traWP', '10_lag_samPSLann', '22_lag_traDP', '19_lag_samPSLann', '21_lag_traBS', '6_lag_traMC', '3_lag_shSICsep', '17_lag_shSICsep']","[0.06903928078760009, 0.000801732446497715, 0.005591023442226011, 0.046433554500847476, 0.06401524201882823, 0.026216922614512365, 0.1698987495303463, 0.07097583544505459, 0.08849280566829525, 0.04371037692336093, 0.07838576374157989, 0.12500024895506073, 0.04401062411271761, 0.028252460507811283, 0.02088178092422296, 0.08593111003580008, 0.027124898290171853, 0.018815650174977744, 0.08087359099495282, 0.04509366495199624, 0.046220813846643984, 0.0565408422388017, 0.020839957069790777, 0.027545906686627267, 0.02314054869770559, 0.020127112978137424, 0.1042290923072351, 0.049644074280391956, 0.062455375051553304, 0.05775189990415548]","6_lag_tripol3, 16_lag_amoSSTmjjaso, 3_lag_6_median_samPSLann, 17_lag_atlSICsep, 3_lag_6_median_amoSSTmjjaso, 17_lag_traIT, 3_lag_12_median_naoPSLjfm, 7_lag_traWP, 20_lag_shTSjfm, 9_lag_glomaSSTjfm, 17_lag_mhfATL45, 12_lag_neurTSjfm, 7_lag_atlSICjfm, 6_lag_nppc3SSTjfm, 7_lag_shTSjfm, 18_lag_traEU, 3_lag_8_median_ismPRjja, 22_lag_samPSLann, 10_lag_traEC, 20_lag_stratZ50ndj01, 16_lag_cetTSjfm, 21_lag_atlSICsep, 8_lag_traWP, 10_lag_samPSLann, 22_lag_traDP, 19_lag_samPSLann, 21_lag_traBS, 6_lag_traMC, 3_lag_shSICsep, 17_lag_shSICsep_2496_3"
LinearRegression,9,30,nhTSjfm,picntrl,1075.5,2050.5,0.8,24,4,4,11.214397445327837,0.05992378101970855,2496,"['6_lag_tripol3', '20_lag_mhfIP30', '15_lag_arcTSjfm', '9_lag_eapPSLjfm', '4_lag_amo1', '18_lag_atlSICsep', '4_lag_ismPRjja', '6_lag_traMC', '17_lag_traIT', '6_lag_nppc3SSTjfm', '13_lag_traBS', '17_lag_mhfATL45', '23_lag_traBS', '7_lag_shSICsep', '20_lag_stratZ50ndj01', '20_lag_nchinaPRjja', '4_lag_naoPSLjfm', '18_lag_traEU', '10_lag_samPSLann', '20_lag_alpi', '7_lag_nppc2SSTjfm', '9_lag_glomaSSTjfm', '22_lag_traDP', '19_lag_samPSLann', '4_lag_satlSSTjfm', '21_lag_atlSICsep', '21_lag_traBS', '11_lag_amo1', '22_lag_samPSLann', '10_lag_traEC']","[0.07602158014539595, 0.06397145357086756, 0.0019497471861602814, 0.017148225556839442, 0.014887795386176612, 0.041860736175941, 0.026408246032600505, 0.0633967616390424, 0.029866596018043277, 0.04315357157941715, 0.09727090650084322, 0.08674829614580722, 0.03795474363637899, 0.05355948768535753, 0.05639350477856888, 0.022285816221010574, 0.006221065684145724, 0.09832439604407417, 0.00025202334923626196, 0.006808875521742118, 0.07259887092241316, 0.03297013842812897, 0.013579875951946638, 0.018292321702575918, 0.0423426367154659, 0.059724895796728544, 0.10338749172022038, 0.05354215792556989, 0.04299662432204209, 0.08391717692494427]","6_lag_tripol3, 20_lag_mhfIP30, 15_lag_arcTSjfm, 9_lag_eapPSLjfm, 4_lag_amo1, 18_lag_atlSICsep, 4_lag_ismPRjja, 6_lag_traMC, 17_lag_traIT, 6_lag_nppc3SSTjfm, 13_lag_traBS, 17_lag_mhfATL45, 23_lag_traBS, 7_lag_shSICsep, 20_lag_stratZ50ndj01, 20_lag_nchinaPRjja, 4_lag_naoPSLjfm, 18_lag_traEU, 10_lag_samPSLann, 20_lag_alpi, 7_lag_nppc2SSTjfm, 9_lag_glomaSSTjfm, 22_lag_traDP, 19_lag_samPSLann, 4_lag_satlSSTjfm, 21_lag_atlSICsep, 21_lag_traBS, 11_lag_amo1, 22_lag_samPSLann, 10_lag_traEC_2496_4"
