model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,nppc2SSTjfm,picntrl,1066.5,2050.5,0.8,15,5,5,20.347810802131853,0.0668066264242515,399,"['6_lag_amoSSTmjjaso', '6_lag_stratZ50ndj03', '5_lag_14_median_nhSICsep', '5_lag_12_median_nhSICjfm', '5_lag_7_median_amo3', '9_lag_amoSSTmjjaso', '5_lag_9_median_nhSICjfm', '5_lag_13_median_scpPSLjfm', '5_lag_amo1', '12_lag_stratZ50ndj01', '5_lag_13_median_eapPSLjfm', '5_lag_8_median_scpPSLjfm', '6_lag_nppc2SSTjfm', '5_lag_9_median_amo1', '12_lag_atlSICsep', '12_lag_eurPSLjfm', '5_lag_9_median_AMOCann', '11_lag_shSICmar', '5_lag_7_median_amoSSTjfm', '13_lag_amo3', '5_lag_13_median_nppc2SSTjfm', '5_lag_13_median_eurPSLjfm', '6_lag_stratZ50ndj04', '6_lag_shSICsep', '13_lag_eurPSLjfm', '5_lag_7_median_amoSSTmjjaso', '13_lag_atlSICsep', '6_lag_amo3', '6_lag_scpPSLjfm', '5_lag_9_median_amoSSTmjjaso']","[5.0325220261722965, 3.6160065225989353, 1.4723733784512145, 3.4709170367664512, 7.735249611693298, 2.72355404124351, 3.846328711976785, 8.022185262204012, 4.678608387098688, 2.017153067888586, 4.83058957891085, 0.7223443964945826, 3.2595634827447064, 3.1908579434635564, 2.4962533439510572, 1.5516671538332023, 2.9275391246359295, 2.18316405723613, 4.466845696043775, 1.5957665668541736, 9.02741055824485, 1.147725922449915, 3.7882464186389715, 8.867483966622181, 8.970970687788427, 0.919619563101941, 6.8580560215884105, 5.154127257838951, 1.5517108200002756, 7.026855801306841]","6_lag_amoSSTmjjaso, 6_lag_stratZ50ndj03, 5_lag_14_median_nhSICsep, 5_lag_12_median_nhSICjfm, 5_lag_7_median_amo3, 9_lag_amoSSTmjjaso, 5_lag_9_median_nhSICjfm, 5_lag_13_median_scpPSLjfm, 5_lag_amo1, 12_lag_stratZ50ndj01, 5_lag_13_median_eapPSLjfm, 5_lag_8_median_scpPSLjfm, 6_lag_nppc2SSTjfm, 5_lag_9_median_amo1, 12_lag_atlSICsep, 12_lag_eurPSLjfm, 5_lag_9_median_AMOCann, 11_lag_shSICmar, 5_lag_7_median_amoSSTjfm, 13_lag_amo3, 5_lag_13_median_nppc2SSTjfm, 5_lag_13_median_eurPSLjfm, 6_lag_stratZ50ndj04, 6_lag_shSICsep, 13_lag_eurPSLjfm, 5_lag_7_median_amoSSTmjjaso, 13_lag_atlSICsep, 6_lag_amo3, 6_lag_scpPSLjfm, 5_lag_9_median_amoSSTmjjaso_399_5"
LRforcedPSO,1,30,nppc2SSTjfm,picntrl,1067.5,2050.5,0.8,16,6,6,21.47963496867917,0.08936056573738203,399,"['6_lag_11_median_eurPSLjfm', '6_lag_13_median_amo3', '10_lag_amo1', '6_lag_10_median_nhSICjfm', '10_lag_naoPSLjfm', '12_lag_stratZ50ndj02', '6_lag_7_median_shSICsep', '6_lag_13_median_AMOCann', '6_lag_14_median_shSICsep', '14_lag_eapPSLjfm', '6_lag_14_median_nhSICjfm', '6_lag_13_median_amo2', '6_lag_13_median_eapPSLjfm', '6_lag_12_median_shSICmar', '8_lag_amo1', '14_lag_scpPSLjfm', '14_lag_shSICmar', '6_lag_7_median_amo2', '6_lag_11_median_stratZ50ndj03', '6_lag_8_median_shSICsep', '6_lag_stratZ50ndj01', '6_lag_9_median_atlSICsep', '6_lag_13_median_amo1', '6_lag_15_median_amo3', '8_lag_amoSSTjfm', '7_lag_eurPSLjfm', '6_lag_8_median_nhSICsep', '6_lag_atlSICsep', '6_lag_15_median_nhSICjfm', '7_lag_eapPSLjfm']","[7.156553671990181, 4.657213201100976, 0.0015681164497198807, 4.169772284329849, 1.7682277340424548, 4.730830003739515, 4.5502028257999765, 5.889331937310445, 2.209009447689297, 3.1154969463770428, 5.0088338450826715, 7.851024384169548, 2.4884310404805277, 0.7920166842096599, 7.82547086941122, 4.265797342578956, 2.93455071800272, 2.7470258996505503, 9.050690769057933, 1.2653256980896739, 4.372479077495555, 0.5303790962005088, 5.313190735237687, 3.3391340092648054, 0.2620611795542409, 0.05790604199583882, 1.157134800120243, 8.737571491820885, 1.3237329262546425, 7.661304514994203]","6_lag_11_median_eurPSLjfm, 6_lag_13_median_amo3, 10_lag_amo1, 6_lag_10_median_nhSICjfm, 10_lag_naoPSLjfm, 12_lag_stratZ50ndj02, 6_lag_7_median_shSICsep, 6_lag_13_median_AMOCann, 6_lag_14_median_shSICsep, 14_lag_eapPSLjfm, 6_lag_14_median_nhSICjfm, 6_lag_13_median_amo2, 6_lag_13_median_eapPSLjfm, 6_lag_12_median_shSICmar, 8_lag_amo1, 14_lag_scpPSLjfm, 14_lag_shSICmar, 6_lag_7_median_amo2, 6_lag_11_median_stratZ50ndj03, 6_lag_8_median_shSICsep, 6_lag_stratZ50ndj01, 6_lag_9_median_atlSICsep, 6_lag_13_median_amo1, 6_lag_15_median_amo3, 8_lag_amoSSTjfm, 7_lag_eurPSLjfm, 6_lag_8_median_nhSICsep, 6_lag_atlSICsep, 6_lag_15_median_nhSICjfm, 7_lag_eapPSLjfm_399_6"
LRforcedPSO,2,30,nppc2SSTjfm,picntrl,1068.5,2050.5,0.8,17,7,7,22.022924864870053,0.002506199086668002,399,"['16_lag_shSICmar', '7_lag_13_median_AMOCann', '12_lag_naoPSLjfm', '7_lag_9_median_amo3', '7_lag_16_median_amoSSTmjjaso', '15_lag_atlSICjfm', '9_lag_stratZ50ndj02', '14_lag_AMOCann', '7_lag_14_median_scpPSLjfm', '10_lag_amo1', '9_lag_stratZ50ndj01', '8_lag_amo3', '16_lag_nhSICsep', '9_lag_amo1', '7_lag_16_median_atlSICsep', '7_lag_8_median_nppc2SSTjfm', '15_lag_amoSSTjfm', '7_lag_13_median_nhSICsep', '13_lag_amo1', '9_lag_amoSSTjfm', '11_lag_amoSSTjfm', '11_lag_eapPSLjfm', '7_lag_8_median_stratZ50ndj02', '7_lag_9_median_stratZ50ndj02', '14_lag_stratZ50ndj02', '16_lag_amo2', '16_lag_stratZ50ndj03', '7_lag_13_median_amo1', '12_lag_nhSICjfm', '14_lag_amo1']","[4.238176253994919, 3.6644069203291423, 3.2251716684461513, 5.661900765132022, 3.5393328372983586, 4.095153748177561, 3.235462558108841, 7.18484648595912, 5.259918284296628, 3.70167188302241, 0.5548514815196892, 4.779733437216914, 4.964076482079312, 1.0471415912783844, 4.84607661691844, 3.2591152728332045, 5.344918495053146, 2.4089904975391576, 7.982607431878524, 3.7379494371514514, 3.778655668529014, 5.734898829798478, 0.028565051303528932, 3.830045946199121, 9.55476210338582, 0.6124711304155657, 6.602717106520435, 7.813296344591056, 3.2114058913209362, 5.743828636141459]","16_lag_shSICmar, 7_lag_13_median_AMOCann, 12_lag_naoPSLjfm, 7_lag_9_median_amo3, 7_lag_16_median_amoSSTmjjaso, 15_lag_atlSICjfm, 9_lag_stratZ50ndj02, 14_lag_AMOCann, 7_lag_14_median_scpPSLjfm, 10_lag_amo1, 9_lag_stratZ50ndj01, 8_lag_amo3, 16_lag_nhSICsep, 9_lag_amo1, 7_lag_16_median_atlSICsep, 7_lag_8_median_nppc2SSTjfm, 15_lag_amoSSTjfm, 7_lag_13_median_nhSICsep, 13_lag_amo1, 9_lag_amoSSTjfm, 11_lag_amoSSTjfm, 11_lag_eapPSLjfm, 7_lag_8_median_stratZ50ndj02, 7_lag_9_median_stratZ50ndj02, 14_lag_stratZ50ndj02, 16_lag_amo2, 16_lag_stratZ50ndj03, 7_lag_13_median_amo1, 12_lag_nhSICjfm, 14_lag_amo1_399_7"
LRforcedPSO,3,30,nppc2SSTjfm,picntrl,1069.5,2050.5,0.8,18,8,8,22.66508327022389,0.05369321633047272,399,"['11_lag_stratZ50ndj01', '9_lag_atlSICjfm', '8_lag_13_median_stratZ50ndj02', '8_lag_15_median_stratZ50ndj04', '17_lag_amo2', '14_lag_shSICsep', '11_lag_stratZ50ndj02', '8_lag_13_median_stratZ50ndj04', '17_lag_stratZ50ndj01', '8_lag_9_median_shSICsep', '11_lag_amo1', '17_lag_naoPSLjfm', '8_lag_14_median_amo1', '8_lag_10_median_amo1', '8_lag_16_median_atlSICsep', '9_lag_shSICmar', '17_lag_scpPSLjfm', '8_lag_12_median_amoSSTjfm', '8_lag_9_median_scpPSLjfm', '8_lag_10_median_nppc2SSTjfm', '10_lag_amoSSTmjjaso', '16_lag_atlSICsep', '16_lag_eapPSLjfm', '8_lag_12_median_eapPSLjfm', '8_lag_15_median_naoPSLjfm', '8_lag_10_median_stratZ50ndj04', '8_lag_13_median_amo3', '14_lag_stratZ50ndj04', '8_lag_13_median_shSICsep', '8_lag_13_median_amo1']","[2.5374770431416387, 8.574151294603254, 7.43636173041584, 8.499021300144829, 2.129153269542993, 4.330333611172302, 1.587336586634276, 2.1251419603384925, 7.268588922956425, 9.644136269913234, 4.812269297621401, 2.6409592768953445, 2.3224337244912014, 7.241346331987131, 7.143831902630708, 8.114952022683614, 0.9000699831390264, 3.567840928365893, 5.579204156776292, 9.215757438385197, 2.6421547893823583, 2.755157419900618, 0.6793172159106966, 5.414490527813625, 2.6223197037949824, 3.048743370727969, 4.250287727828881, 4.04758525721299, 2.659407939492331, 8.680382335644323]","11_lag_stratZ50ndj01, 9_lag_atlSICjfm, 8_lag_13_median_stratZ50ndj02, 8_lag_15_median_stratZ50ndj04, 17_lag_amo2, 14_lag_shSICsep, 11_lag_stratZ50ndj02, 8_lag_13_median_stratZ50ndj04, 17_lag_stratZ50ndj01, 8_lag_9_median_shSICsep, 11_lag_amo1, 17_lag_naoPSLjfm, 8_lag_14_median_amo1, 8_lag_10_median_amo1, 8_lag_16_median_atlSICsep, 9_lag_shSICmar, 17_lag_scpPSLjfm, 8_lag_12_median_amoSSTjfm, 8_lag_9_median_scpPSLjfm, 8_lag_10_median_nppc2SSTjfm, 10_lag_amoSSTmjjaso, 16_lag_atlSICsep, 16_lag_eapPSLjfm, 8_lag_12_median_eapPSLjfm, 8_lag_15_median_naoPSLjfm, 8_lag_10_median_stratZ50ndj04, 8_lag_13_median_amo3, 14_lag_stratZ50ndj04, 8_lag_13_median_shSICsep, 8_lag_13_median_amo1_399_8"
LRforcedPSO,4,30,nppc2SSTjfm,picntrl,1070.5,2050.5,0.8,19,9,9,19.85911070989266,-0.011222700447383873,399,"['13_lag_scpPSLjfm', '11_lag_shSICsep', '11_lag_stratZ50ndj04', '9_lag_12_median_shSICmar', '9_lag_16_median_eapPSLjfm', '9_lag_12_median_amo3', '9_lag_16_median_amo2', '15_lag_amoSSTmjjaso', '9_lag_18_median_stratZ50ndj04', '12_lag_amo3', '12_lag_scpPSLjfm', '14_lag_amoSSTmjjaso', '9_lag_13_median_nhSICsep', '9_lag_13_median_scpPSLjfm', '9_lag_11_median_nppc2SSTjfm', '9_lag_18_median_amoSSTmjjaso', '18_lag_nhSICjfm', '15_lag_naoPSLjfm', '16_lag_nhSICjfm', '10_lag_amoSSTmjjaso', '9_lag_13_median_nppc2SSTjfm', '10_lag_amo3', '9_lag_12_median_nhSICjfm', '14_lag_amo2', '9_lag_16_median_amo3', '9_lag_nhSICjfm', '9_lag_18_median_stratZ50ndj01', '13_lag_amo3', '10_lag_stratZ50ndj01', '18_lag_amoSSTjfm']","[0.09191618209628061, 2.342717266032583, 3.928233467244347, 0.682962027177803, 3.0792351963509095, 1.816056537618362, 1.4015323019584756, 4.443422204459395, 8.005979885355426, 0.323531670730544, 5.40554012526282, 3.4926877717346416, 6.08249204238156, 3.068062907622453, 3.684133171279054, 4.058556051994607, 7.284919938258806, 8.243503483683233, 1.9645038446186458, 1.287987607256568, 7.995268161563342, 3.4580030676111555, 2.82092488165413, 0.03528877948143716, 4.453351885939565, 9.042621751349742, 5.546615315396273, 1.44370590638011, 4.841536820644466, 2.5610559727874227]","13_lag_scpPSLjfm, 11_lag_shSICsep, 11_lag_stratZ50ndj04, 9_lag_12_median_shSICmar, 9_lag_16_median_eapPSLjfm, 9_lag_12_median_amo3, 9_lag_16_median_amo2, 15_lag_amoSSTmjjaso, 9_lag_18_median_stratZ50ndj04, 12_lag_amo3, 12_lag_scpPSLjfm, 14_lag_amoSSTmjjaso, 9_lag_13_median_nhSICsep, 9_lag_13_median_scpPSLjfm, 9_lag_11_median_nppc2SSTjfm, 9_lag_18_median_amoSSTmjjaso, 18_lag_nhSICjfm, 15_lag_naoPSLjfm, 16_lag_nhSICjfm, 10_lag_amoSSTmjjaso, 9_lag_13_median_nppc2SSTjfm, 10_lag_amo3, 9_lag_12_median_nhSICjfm, 14_lag_amo2, 9_lag_16_median_amo3, 9_lag_nhSICjfm, 9_lag_18_median_stratZ50ndj01, 13_lag_amo3, 10_lag_stratZ50ndj01, 18_lag_amoSSTjfm_399_9"
LRforcedPSO,5,30,nppc2SSTjfm,picntrl,1071.5,2050.5,0.8,20,10,10,22.99359362491287,0.021746027991700893,399,"['16_lag_AMOCann', '15_lag_atlSICsep', '10_lag_13_median_AMOCann', '10_lag_18_median_eurPSLjfm', '10_lag_shSICsep', '10_lag_atlSICjfm', '11_lag_amoSSTjfm', '14_lag_shSICmar', '14_lag_atlSICjfm', '14_lag_atlSICsep', '10_lag_16_median_amoSSTjfm', '10_lag_18_median_atlSICsep', '10_lag_17_median_stratZ50ndj03', '10_lag_16_median_nhSICsep', '12_lag_stratZ50ndj04', '10_lag_eapPSLjfm', '10_lag_stratZ50ndj04', '14_lag_amo2', '10_lag_15_median_nhSICjfm', '10_lag_19_median_amo2', '10_lag_17_median_nhSICjfm', '10_lag_14_median_atlSICsep', '10_lag_14_median_shSICmar', '18_lag_eapPSLjfm', '10_lag_15_median_atlSICsep', '10_lag_scpPSLjfm', '10_lag_nppc2SSTjfm', '12_lag_nhSICjfm', '15_lag_amo1', '14_lag_amo1']","[3.8510734994799627, 4.6061000407247015, 4.711522296940522, 3.817226133530598, 1.1411390722022894, 4.760112344579511, 9.62146263649872, 1.7871990366426278, 4.500958979333025, 6.4362336889022265, 3.7081117552444187, 1.1078344516582295, 5.491258757356543, 7.788118065915111, 4.097510211586597, 0.8083466110105224, 2.04693291915566, 5.7269878719618745, 0.24698623374958473, 8.209829317305527, 4.748137067081899, 5.410773260028121, 2.5880985588059797, 5.243801908840492, 8.948107170687788, 5.0244012451062225, 0.37769513840149926, 1.8032069612196757, 6.8245937517013004, 9.792449661556768]","16_lag_AMOCann, 15_lag_atlSICsep, 10_lag_13_median_AMOCann, 10_lag_18_median_eurPSLjfm, 10_lag_shSICsep, 10_lag_atlSICjfm, 11_lag_amoSSTjfm, 14_lag_shSICmar, 14_lag_atlSICjfm, 14_lag_atlSICsep, 10_lag_16_median_amoSSTjfm, 10_lag_18_median_atlSICsep, 10_lag_17_median_stratZ50ndj03, 10_lag_16_median_nhSICsep, 12_lag_stratZ50ndj04, 10_lag_eapPSLjfm, 10_lag_stratZ50ndj04, 14_lag_amo2, 10_lag_15_median_nhSICjfm, 10_lag_19_median_amo2, 10_lag_17_median_nhSICjfm, 10_lag_14_median_atlSICsep, 10_lag_14_median_shSICmar, 18_lag_eapPSLjfm, 10_lag_15_median_atlSICsep, 10_lag_scpPSLjfm, 10_lag_nppc2SSTjfm, 12_lag_nhSICjfm, 15_lag_amo1, 14_lag_amo1_399_10"
LRforcedPSO,6,30,nppc2SSTjfm,picntrl,1072.5,2050.5,0.8,21,11,11,20.50197173210953,0.024396699567757966,399,"['11_lag_17_median_atlSICsep', '11_lag_20_median_scpPSLjfm', '16_lag_eapPSLjfm', '11_lag_stratZ50ndj01', '20_lag_stratZ50ndj01', '20_lag_atlSICjfm', '11_lag_17_median_shSICsep', '11_lag_13_median_stratZ50ndj04', '11_lag_12_median_amo3', '20_lag_amo3', '13_lag_stratZ50ndj02', '17_lag_nppc2SSTjfm', '11_lag_20_median_nhSICjfm', '11_lag_17_median_nhSICjfm', '11_lag_19_median_eurPSLjfm', '15_lag_nhSICjfm', '11_lag_12_median_shSICmar', '19_lag_AMOCann', '11_lag_12_median_eurPSLjfm', '11_lag_17_median_stratZ50ndj02', '11_lag_18_median_stratZ50ndj02', '11_lag_15_median_nhSICjfm', '11_lag_19_median_nhSICsep', '11_lag_16_median_naoPSLjfm', '11_lag_12_median_amoSSTmjjaso', '11_lag_amo2', '14_lag_nhSICsep', '11_lag_19_median_amo1', '11_lag_20_median_stratZ50ndj02', '11_lag_13_median_shSICsep']","[3.539273825323159, 7.476156687163847, 1.511784780147817, 7.733432713479463, 1.3458199749566564, 1.2923273304184022, 4.581735741393251, 9.623593902100476, 4.952689083903934, 3.3940071894305284, 4.3329124205238445, 3.2068189257331383, 9.920192111736558, 9.618383933534513, 4.282613060890592, 1.539583331724943, 5.877620808413631, 7.309828700808033, 1.6239350328052886, 0.9411806785930956, 8.919167554600765, 3.9154952098443836, 2.7350422176613236, 5.282100088638055, 5.257045448494817, 6.885654584460196, 6.1487501743000035, 0.6884035184469361, 0.5495688615634897, 1.4236642866725635]","11_lag_17_median_atlSICsep, 11_lag_20_median_scpPSLjfm, 16_lag_eapPSLjfm, 11_lag_stratZ50ndj01, 20_lag_stratZ50ndj01, 20_lag_atlSICjfm, 11_lag_17_median_shSICsep, 11_lag_13_median_stratZ50ndj04, 11_lag_12_median_amo3, 20_lag_amo3, 13_lag_stratZ50ndj02, 17_lag_nppc2SSTjfm, 11_lag_20_median_nhSICjfm, 11_lag_17_median_nhSICjfm, 11_lag_19_median_eurPSLjfm, 15_lag_nhSICjfm, 11_lag_12_median_shSICmar, 19_lag_AMOCann, 11_lag_12_median_eurPSLjfm, 11_lag_17_median_stratZ50ndj02, 11_lag_18_median_stratZ50ndj02, 11_lag_15_median_nhSICjfm, 11_lag_19_median_nhSICsep, 11_lag_16_median_naoPSLjfm, 11_lag_12_median_amoSSTmjjaso, 11_lag_amo2, 14_lag_nhSICsep, 11_lag_19_median_amo1, 11_lag_20_median_stratZ50ndj02, 11_lag_13_median_shSICsep_399_11"
LRforcedPSO,7,30,nppc2SSTjfm,picntrl,1073.5,2050.5,0.8,22,12,12,21.61884542573055,0.03934626287151279,399,"['14_lag_stratZ50ndj02', '12_lag_15_median_amo2', '14_lag_stratZ50ndj01', '12_lag_17_median_nhSICjfm', '14_lag_amoSSTjfm', '12_lag_18_median_eurPSLjfm', '12_lag_19_median_stratZ50ndj02', '12_lag_18_median_shSICmar', '18_lag_eurPSLjfm', '16_lag_naoPSLjfm', '14_lag_stratZ50ndj03', '21_lag_amoSSTmjjaso', '12_lag_16_median_eapPSLjfm', '19_lag_shSICmar', '13_lag_scpPSLjfm', '18_lag_nhSICjfm', '20_lag_atlSICsep', '13_lag_nppc2SSTjfm', '17_lag_amoSSTmjjaso', '21_lag_eurPSLjfm', '15_lag_stratZ50ndj03', '12_lag_17_median_stratZ50ndj02', '20_lag_stratZ50ndj02', '12_lag_16_median_stratZ50ndj03', '12_lag_18_median_stratZ50ndj02', '18_lag_scpPSLjfm', '12_lag_20_median_stratZ50ndj01', '12_lag_14_median_amo1', '12_lag_14_median_nppc2SSTjfm', '21_lag_shSICsep']","[0.9034403984755137, 0.8419420084157903, 4.9123390449618265, 3.4058404520258856, 7.864219055210622, 0.6718239091318807, 8.295493517563413, 3.2884399246203486, 7.785856469081036, 4.478591567053494, 1.3014266592421535, 4.22052491502483, 2.0033017665449577, 0.061736153614690537, 0.5676841783636615, 5.17341551967464, 6.081099380851217, 2.084971427717253, 8.118362691211079, 1.3315853473378692, 0.9726099711524956, 3.910542580200943, 7.922535573345911, 2.5847146656089315, 0.6719590001993012, 0.056008113676382365, 5.448157547370281, 3.8099796504153094, 6.935419685046198, 1.450553418741773]","14_lag_stratZ50ndj02, 12_lag_15_median_amo2, 14_lag_stratZ50ndj01, 12_lag_17_median_nhSICjfm, 14_lag_amoSSTjfm, 12_lag_18_median_eurPSLjfm, 12_lag_19_median_stratZ50ndj02, 12_lag_18_median_shSICmar, 18_lag_eurPSLjfm, 16_lag_naoPSLjfm, 14_lag_stratZ50ndj03, 21_lag_amoSSTmjjaso, 12_lag_16_median_eapPSLjfm, 19_lag_shSICmar, 13_lag_scpPSLjfm, 18_lag_nhSICjfm, 20_lag_atlSICsep, 13_lag_nppc2SSTjfm, 17_lag_amoSSTmjjaso, 21_lag_eurPSLjfm, 15_lag_stratZ50ndj03, 12_lag_17_median_stratZ50ndj02, 20_lag_stratZ50ndj02, 12_lag_16_median_stratZ50ndj03, 12_lag_18_median_stratZ50ndj02, 18_lag_scpPSLjfm, 12_lag_20_median_stratZ50ndj01, 12_lag_14_median_amo1, 12_lag_14_median_nppc2SSTjfm, 21_lag_shSICsep_399_12"
LRforcedPSO,8,30,nppc2SSTjfm,picntrl,1074.5,2050.5,0.8,23,13,13,23.84576325278262,-0.05302554222897886,399,"['19_lag_nhSICjfm', '13_lag_20_median_scpPSLjfm', '13_lag_18_median_shSICsep', '13_lag_19_median_amo3', '14_lag_shSICsep', '13_lag_16_median_naoPSLjfm', '21_lag_stratZ50ndj02', '13_lag_16_median_stratZ50ndj01', '13_lag_18_median_shSICmar', '13_lag_16_median_AMOCann', '13_lag_14_median_amo1', '13_lag_21_median_nhSICsep', '13_lag_22_median_AMOCann', '15_lag_stratZ50ndj01', '15_lag_shSICmar', '13_lag_amo1', '13_lag_14_median_stratZ50ndj04', '17_lag_amo1', '14_lag_stratZ50ndj01', '13_lag_18_median_amo3', '18_lag_amoSSTjfm', '22_lag_eapPSLjfm', '13_lag_14_median_eurPSLjfm', '20_lag_eapPSLjfm', '13_lag_18_median_atlSICsep', '13_lag_15_median_stratZ50ndj04', '13_lag_14_median_shSICsep', '13_lag_22_median_amo3', '13_lag_17_median_eurPSLjfm', '13_lag_20_median_amo3']","[5.668220583516902, 2.5309600261589837, 3.3399636717444903, 5.6198674486055396, 8.011996022817357, 1.361673473073333, 6.9403364261260725, 0.42924393166801167, 5.055126104781344, 8.62363341407271, 0.5022004995959541, 3.6127075652531815, 6.143682997854629, 5.1884244633094525, 8.906845576595334, 7.305048346935985, 7.08528498535185, 1.085506270312198, 8.144708805963415, 4.079959514611, 5.094483860342605, 4.582254947081761, 2.000775482384684, 9.938260017848151, 0.6480278664321517, 2.053599200075096, 0.686239277788502, 4.647032032233774, 0.9400860065648526, 9.958477616278177]","19_lag_nhSICjfm, 13_lag_20_median_scpPSLjfm, 13_lag_18_median_shSICsep, 13_lag_19_median_amo3, 14_lag_shSICsep, 13_lag_16_median_naoPSLjfm, 21_lag_stratZ50ndj02, 13_lag_16_median_stratZ50ndj01, 13_lag_18_median_shSICmar, 13_lag_16_median_AMOCann, 13_lag_14_median_amo1, 13_lag_21_median_nhSICsep, 13_lag_22_median_AMOCann, 15_lag_stratZ50ndj01, 15_lag_shSICmar, 13_lag_amo1, 13_lag_14_median_stratZ50ndj04, 17_lag_amo1, 14_lag_stratZ50ndj01, 13_lag_18_median_amo3, 18_lag_amoSSTjfm, 22_lag_eapPSLjfm, 13_lag_14_median_eurPSLjfm, 20_lag_eapPSLjfm, 13_lag_18_median_atlSICsep, 13_lag_15_median_stratZ50ndj04, 13_lag_14_median_shSICsep, 13_lag_22_median_amo3, 13_lag_17_median_eurPSLjfm, 13_lag_20_median_amo3_399_13"
LRforcedPSO,9,30,nppc2SSTjfm,picntrl,1075.5,2050.5,0.8,24,14,14,21.62609936506228,-0.047587587213265684,399,"['14_lag_17_median_shSICmar', '14_lag_15_median_nppc2SSTjfm', '14_lag_20_median_nhSICsep', '14_lag_15_median_stratZ50ndj04', '14_lag_amoSSTmjjaso', '14_lag_19_median_amo3', '23_lag_stratZ50ndj02', '14_lag_22_median_stratZ50ndj02', '15_lag_amo2', '19_lag_nppc2SSTjfm', '17_lag_scpPSLjfm', '22_lag_amo1', '14_lag_17_median_amo1', '14_lag_16_median_AMOCann', '18_lag_atlSICjfm', '21_lag_nhSICjfm', '14_lag_19_median_naoPSLjfm', '14_lag_15_median_nhSICjfm', '14_lag_23_median_stratZ50ndj01', '17_lag_naoPSLjfm', '14_lag_17_median_nhSICjfm', '14_lag_17_median_shSICsep', '14_lag_21_median_amo1', '14_lag_shSICmar', '19_lag_eurPSLjfm', '23_lag_eapPSLjfm', '19_lag_amo1', '23_lag_AMOCann', '18_lag_nhSICjfm', '20_lag_shSICmar']","[0.4773942963751576, 4.226646169314458, 4.018727127934678, 0.7938785477698911, 5.942093704858777, 4.149543250287685, 5.220221537401068, 3.267556649255532, 0.38299097272848037, 5.482171569699206, 6.7932012104401025, 2.233185860843636, 5.060144077397006, 1.4047541050823966, 5.0971211468061774, 8.122322713219539, 2.883785816100626, 7.954238976784186, 4.561444469545595, 7.475397842343156, 9.464115328288209, 4.618972694426784, 5.380604884150376, 5.247123573391132, 7.624199260990898, 6.63724292802002, 3.460092554577951, 4.776087337188811, 3.6959079580429215, 2.808144322639743]","14_lag_17_median_shSICmar, 14_lag_15_median_nppc2SSTjfm, 14_lag_20_median_nhSICsep, 14_lag_15_median_stratZ50ndj04, 14_lag_amoSSTmjjaso, 14_lag_19_median_amo3, 23_lag_stratZ50ndj02, 14_lag_22_median_stratZ50ndj02, 15_lag_amo2, 19_lag_nppc2SSTjfm, 17_lag_scpPSLjfm, 22_lag_amo1, 14_lag_17_median_amo1, 14_lag_16_median_AMOCann, 18_lag_atlSICjfm, 21_lag_nhSICjfm, 14_lag_19_median_naoPSLjfm, 14_lag_15_median_nhSICjfm, 14_lag_23_median_stratZ50ndj01, 17_lag_naoPSLjfm, 14_lag_17_median_nhSICjfm, 14_lag_17_median_shSICsep, 14_lag_21_median_amo1, 14_lag_shSICmar, 19_lag_eurPSLjfm, 23_lag_eapPSLjfm, 19_lag_amo1, 23_lag_AMOCann, 18_lag_nhSICjfm, 20_lag_shSICmar_399_14"
