model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,nppc2SSTjfm,picntrl,1066.5,2050.5,0.4,15,1,1,10.73313565752876,0.5793893186624092,1728,"['5_lag_stratZ50ndj02', '1_lag_stratZ50ndj01', '13_lag_atlSICsep', '9_lag_ginwSSTjfm', '10_lag_traCA', '11_lag_eurPSLjfm', '4_lag_shTSjfm', '8_lag_atlSICsep', '1_lag_alpi', '1_lag_scpPSLjfm', '1_lag_mhfATL60', '1_lag_yrvPRjja', '10_lag_tripol3', '10_lag_stratZ50ndj03', '10_lag_cetTSjfm', '7_lag_scpPSLjfm', '8_lag_stratZ50ndj03', '12_lag_traIFC', '8_lag_nppc3SSTjfm', '8_lag_tripol3', '12_lag_traFSC', '12_lag_amo1', '11_lag_nppc2SSTjfm', '1_lag_traCA', '1_lag_mhfIP30', '11_lag_traWP', '1_lag_traIT', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_samPSLann']","[0.0638760936166773, 0.05824070279415881, 0.0808075813473756, 0.04986742487092147, 0.03594011403763951, 0.016699562573674998, 0.04917751519509341, 0.03903862879457269, 0.11607646781624742, 0.03816959902556624, 0.11227004143492425, 0.07284589094677059, 0.06103970202948312, 0.06296901178735895, 0.08777239165255853, 0.09246706692613273, 0.08935823232158745, 0.01995564316553684, 0.033467046214537124, 0.10194502440788153, 0.09328764387875693, 0.06270141708220985, 0.08080738065970483, 0.21081290116877097, 0.11257952314220951, 0.08920751395067038, 0.17415600978760576, 0.12048756385771961, 0.4657662131208506, 0.23102161384216133]","5_lag_stratZ50ndj02, 1_lag_stratZ50ndj01, 13_lag_atlSICsep, 9_lag_ginwSSTjfm, 10_lag_traCA, 11_lag_eurPSLjfm, 4_lag_shTSjfm, 8_lag_atlSICsep, 1_lag_alpi, 1_lag_scpPSLjfm, 1_lag_mhfATL60, 1_lag_yrvPRjja, 10_lag_tripol3, 10_lag_stratZ50ndj03, 10_lag_cetTSjfm, 7_lag_scpPSLjfm, 8_lag_stratZ50ndj03, 12_lag_traIFC, 8_lag_nppc3SSTjfm, 8_lag_tripol3, 12_lag_traFSC, 12_lag_amo1, 11_lag_nppc2SSTjfm, 1_lag_traCA, 1_lag_mhfIP30, 11_lag_traWP, 1_lag_traIT, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_samPSLann_1728_1"
LinearRegression,1,30,nppc2SSTjfm,picntrl,1067.5,2050.5,0.4,16,1,1,10.643134776965304,0.5871542107230991,1856,"['1_lag_6_median_traEC', '1_lag_4_median_neurTSjfm', '7_lag_wnorPRjfm', '10_lag_traCA', '15_lag_scpPSLjfm', '15_lag_traIT', '9_lag_amoSSTmjjaso', '8_lag_atlSICsep', '1_lag_scpPSLjfm', '3_lag_ismPRjja', '9_lag_ginwSSTjfm', '7_lag_scpPSLjfm', '1_lag_alpi', '10_lag_cetTSjfm', '1_lag_stratZ50ndj01', '4_lag_shTSjfm', '12_lag_traFSC', '8_lag_tripol3', '1_lag_traCA', '8_lag_stratZ50ndj03', '8_lag_nppc3SSTjfm', '12_lag_amo1', '10_lag_stratZ50ndj03', '11_lag_nppc2SSTjfm', '1_lag_traIT', '11_lag_traWP', '1_lag_mhfIP30', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_samPSLann']","[0.1648992350604379, 0.058909248383960666, 0.02305742408102941, 0.040122857513145774, 0.028592906420620474, 0.06433770985457789, 0.01358520741730237, 0.042946698185170294, 0.03279668803953328, 0.038800785720466906, 0.04265189153167705, 0.09458436702040447, 0.12297077407341342, 0.07781034732667344, 0.06609752262790114, 0.030077483559208962, 0.06030443119840735, 0.11039965604287769, 0.1832582287807072, 0.08285824475643741, 0.032372556499073335, 0.06943289901783944, 0.03302474562879728, 0.06655226865113148, 0.17166138283985755, 0.09828476962718033, 0.1202039359972363, 0.10889012139828724, 0.4849613894682927, 0.21322483798495684]","1_lag_6_median_traEC, 1_lag_4_median_neurTSjfm, 7_lag_wnorPRjfm, 10_lag_traCA, 15_lag_scpPSLjfm, 15_lag_traIT, 9_lag_amoSSTmjjaso, 8_lag_atlSICsep, 1_lag_scpPSLjfm, 3_lag_ismPRjja, 9_lag_ginwSSTjfm, 7_lag_scpPSLjfm, 1_lag_alpi, 10_lag_cetTSjfm, 1_lag_stratZ50ndj01, 4_lag_shTSjfm, 12_lag_traFSC, 8_lag_tripol3, 1_lag_traCA, 8_lag_stratZ50ndj03, 8_lag_nppc3SSTjfm, 12_lag_amo1, 10_lag_stratZ50ndj03, 11_lag_nppc2SSTjfm, 1_lag_traIT, 11_lag_traWP, 1_lag_mhfIP30, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_samPSLann_1856_1"
LinearRegression,2,30,nppc2SSTjfm,picntrl,1068.5,2050.5,0.4,17,1,1,10.839240925509003,0.5800002402415443,1984,"['4_lag_mhfATL30', '10_lag_stratZ50ndj02', '15_lag_scpPSLjfm', '5_lag_traDP', '16_lag_alpi', '16_lag_traEU', '4_lag_shTSjfm', '7_lag_scpPSLjfm', '1_lag_alpi', '15_lag_ismPRjja', '10_lag_cetTSjfm', '3_lag_ismPRjja', '10_lag_traCA', '1_lag_stratZ50ndj01', '9_lag_ginwSSTjfm', '12_lag_traFSC', '8_lag_stratZ50ndj03', '1_lag_traCA', '8_lag_nppc3SSTjfm', '11_lag_nppc2SSTjfm', '7_lag_wnorPRjfm', '8_lag_tripol3', '1_lag_traIT', '10_lag_stratZ50ndj03', '12_lag_amo1', '1_lag_mhfIP30', '11_lag_traWP', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_samPSLann']","[0.040342366249274675, 0.08669804563789013, 0.0366032386029075, 0.05884409438704896, 0.029084100625092663, 0.008691633472666289, 0.05393795017524438, 0.09238659315957314, 0.1209990004509015, 0.05102822179422186, 0.10086750460127916, 0.04389576321417524, 0.03572181943675545, 0.06373295492291264, 0.06222042085062934, 0.05671928397110111, 0.08883133750431792, 0.17206672695522268, 0.04368353169850869, 0.05870257036966785, 0.009947962514903087, 0.11649864370148766, 0.13732746786762062, 0.03202330876948136, 0.05574439120925158, 0.12723729134005646, 0.07598427778042559, 0.1394725060487631, 0.5017591288266074, 0.21262559592918046]","4_lag_mhfATL30, 10_lag_stratZ50ndj02, 15_lag_scpPSLjfm, 5_lag_traDP, 16_lag_alpi, 16_lag_traEU, 4_lag_shTSjfm, 7_lag_scpPSLjfm, 1_lag_alpi, 15_lag_ismPRjja, 10_lag_cetTSjfm, 3_lag_ismPRjja, 10_lag_traCA, 1_lag_stratZ50ndj01, 9_lag_ginwSSTjfm, 12_lag_traFSC, 8_lag_stratZ50ndj03, 1_lag_traCA, 8_lag_nppc3SSTjfm, 11_lag_nppc2SSTjfm, 7_lag_wnorPRjfm, 8_lag_tripol3, 1_lag_traIT, 10_lag_stratZ50ndj03, 12_lag_amo1, 1_lag_mhfIP30, 11_lag_traWP, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_samPSLann_1984_1"
LinearRegression,3,30,nppc2SSTjfm,picntrl,1069.5,2050.5,0.4,18,1,1,10.81691689036325,0.5847780021653474,2112,"['10_lag_stratZ50ndj02', '1_lag_eurPSLjfm', '2_lag_satlSSTjfm', '1_lag_2_median_satlSSTjfm', '5_lag_traDP', '17_lag_traBS', '1_lag_alpi', '11_lag_eurPSLjfm', '10_lag_traCA', '15_lag_ismPRjja', '10_lag_cetTSjfm', '12_lag_traFSC', '9_lag_ginwSSTjfm', '16_lag_traEU', '8_lag_nppc3SSTjfm', '7_lag_scpPSLjfm', '1_lag_traCA', '10_lag_stratZ50ndj03', '7_lag_wnorPRjfm', '11_lag_nppc2SSTjfm', '17_lag_traEU', '1_lag_traIT', '12_lag_amo1', '8_lag_stratZ50ndj03', '8_lag_tripol3', '1_lag_mhfIP30', '11_lag_traWP', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_samPSLann']","[0.09119468103004456, 0.04573879944086745, 4420846001628.346, 4420846001628.325, 0.04801130387326704, 0.042337113428495846, 0.12106629308058807, 0.0023805455711396915, 0.038215820293816934, 0.04454848101586281, 0.11300284235886525, 0.06250333990376983, 0.05161211188413568, 0.007053678466468577, 0.04611687527194213, 0.10197417282576318, 0.18355338295187218, 0.030712815286371757, 0.013832993811622049, 0.06522407937618732, 0.05469196357091699, 0.12779727047195802, 0.06638296530377204, 0.09013591109806168, 0.11806681709747632, 0.13991105955342215, 0.09127993691749665, 0.14534906251524096, 0.49458445559454645, 0.18744276706023133]","10_lag_stratZ50ndj02, 1_lag_eurPSLjfm, 2_lag_satlSSTjfm, 1_lag_2_median_satlSSTjfm, 5_lag_traDP, 17_lag_traBS, 1_lag_alpi, 11_lag_eurPSLjfm, 10_lag_traCA, 15_lag_ismPRjja, 10_lag_cetTSjfm, 12_lag_traFSC, 9_lag_ginwSSTjfm, 16_lag_traEU, 8_lag_nppc3SSTjfm, 7_lag_scpPSLjfm, 1_lag_traCA, 10_lag_stratZ50ndj03, 7_lag_wnorPRjfm, 11_lag_nppc2SSTjfm, 17_lag_traEU, 1_lag_traIT, 12_lag_amo1, 8_lag_stratZ50ndj03, 8_lag_tripol3, 1_lag_mhfIP30, 11_lag_traWP, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_samPSLann_2112_1"
LinearRegression,4,30,nppc2SSTjfm,picntrl,1070.5,2050.5,0.4,19,1,1,10.716493088871264,0.5771463349174556,2240,"['4_lag_shTSjfm', '18_lag_atlSICsep', '11_lag_eurPSLjfm', '12_lag_traIFC', '11_lag_traFB', '17_lag_ginwSSTjfm', '15_lag_AMOCann', '1_lag_alpi', '16_lag_traEU', '17_lag_scpPSLjfm', '15_lag_ismPRjja', '8_lag_nppc3SSTjfm', '7_lag_scpPSLjfm', '12_lag_traFSC', '1_lag_traCA', '9_lag_ginwSSTjfm', '10_lag_stratZ50ndj02', '11_lag_nppc2SSTjfm', '7_lag_wnorPRjfm', '8_lag_stratZ50ndj03', '10_lag_stratZ50ndj03', '1_lag_traIT', '12_lag_amo1', '17_lag_traEU', '8_lag_tripol3', '11_lag_traWP', '1_lag_mhfIP30', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_samPSLann']","[0.03245347100857392, 0.005858824611856606, 0.0010794456599764106, 0.015689097819206455, 0.03187654651068484, 0.02383416469786692, 0.08421810766308759, 0.11676330934948027, 0.0009849433852878588, 0.0704438963307967, 0.061445149928316393, 0.045921439177278256, 0.10014547058809455, 0.07096983434368956, 0.18415862896323934, 0.042183576110372, 0.0701779362599767, 0.07164477385699795, 0.01694254112248479, 0.10017196656939002, 0.03898347871202719, 0.15005709984651566, 0.06713001677315357, 0.06752084403932918, 0.11490671326987457, 0.09670606764539261, 0.135776079594086, 0.13128386199619413, 0.5144422862256138, 0.18310467256451154]","4_lag_shTSjfm, 18_lag_atlSICsep, 11_lag_eurPSLjfm, 12_lag_traIFC, 11_lag_traFB, 17_lag_ginwSSTjfm, 15_lag_AMOCann, 1_lag_alpi, 16_lag_traEU, 17_lag_scpPSLjfm, 15_lag_ismPRjja, 8_lag_nppc3SSTjfm, 7_lag_scpPSLjfm, 12_lag_traFSC, 1_lag_traCA, 9_lag_ginwSSTjfm, 10_lag_stratZ50ndj02, 11_lag_nppc2SSTjfm, 7_lag_wnorPRjfm, 8_lag_stratZ50ndj03, 10_lag_stratZ50ndj03, 1_lag_traIT, 12_lag_amo1, 17_lag_traEU, 8_lag_tripol3, 11_lag_traWP, 1_lag_mhfIP30, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_samPSLann_2240_1"
LinearRegression,5,30,nppc2SSTjfm,picntrl,1071.5,2050.5,0.4,20,1,1,11.273930678264726,0.5483469548852953,2368,"['15_lag_stratZ50ndj02', '5_lag_traDP', '12_lag_traFSC', '7_lag_stratZ50ndj01', '18_lag_ismPRjja', '11_lag_traFB', '16_lag_traEU', '12_lag_yrvPRjja', '1_lag_traIT', '8_lag_nppc3SSTjfm', '17_lag_scpPSLjfm', '8_lag_stratZ50ndj03', '17_lag_traEU', '7_lag_wnorPRjfm', '1_lag_scpPSLjfm', '10_lag_stratZ50ndj02', '1_lag_traCA', '11_lag_nppc2SSTjfm', '10_lag_stratZ50ndj03', '10_lag_tripol3', '9_lag_ginwSSTjfm', '12_lag_amo1', '7_lag_scpPSLjfm', '8_lag_tripol3', '11_lag_traWP', '1_lag_mhfIP30', '19_lag_stratZ50ndj02', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_samPSLann']","[0.04529467974474154, 0.10111642192031645, 0.08383511333930743, 0.041479281543741836, 0.02994054880094202, 0.02351592498017851, 0.013170610126897093, 0.020941470267374772, 0.0796244254935471, 0.038511943758138587, 0.04674317999627271, 0.07509159003488132, 0.08178045111818005, 0.04865236720731668, 0.004451352422053847, 0.08239959685742647, 0.24396509310017694, 0.09051269147703929, 0.05664558905463108, 0.04062533983890225, 0.027750479206806303, 0.07534131798955368, 0.10120141990923193, 0.10046125523060721, 0.060018095693035116, 0.028148083901451834, 0.07996311547929133, 0.18552197475129195, 0.49611410174023973, 0.2179427760103453]","15_lag_stratZ50ndj02, 5_lag_traDP, 12_lag_traFSC, 7_lag_stratZ50ndj01, 18_lag_ismPRjja, 11_lag_traFB, 16_lag_traEU, 12_lag_yrvPRjja, 1_lag_traIT, 8_lag_nppc3SSTjfm, 17_lag_scpPSLjfm, 8_lag_stratZ50ndj03, 17_lag_traEU, 7_lag_wnorPRjfm, 1_lag_scpPSLjfm, 10_lag_stratZ50ndj02, 1_lag_traCA, 11_lag_nppc2SSTjfm, 10_lag_stratZ50ndj03, 10_lag_tripol3, 9_lag_ginwSSTjfm, 12_lag_amo1, 7_lag_scpPSLjfm, 8_lag_tripol3, 11_lag_traWP, 1_lag_mhfIP30, 19_lag_stratZ50ndj02, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_samPSLann_2368_1"
LinearRegression,6,30,nppc2SSTjfm,picntrl,1072.5,2050.5,0.4,21,1,1,11.278841778959867,0.5501342318588434,2496,"['16_lag_traEU', '7_lag_stratZ50ndj01', '9_lag_tripol3', '18_lag_ismPRjja', '17_lag_traEU', '5_lag_traDP', '17_lag_scpPSLjfm', '8_lag_tripol3', '12_lag_yrvPRjja', '9_lag_ginwSSTjfm', '1_lag_traIT', '15_lag_stratZ50ndj02', '8_lag_nppc3SSTjfm', '7_lag_wnorPRjfm', '11_lag_nppc2SSTjfm', '12_lag_traFSC', '1_lag_scpPSLjfm', '12_lag_amo1', '20_lag_stratZ50ndj03', '10_lag_tripol3', '20_lag_samPSLann', '1_lag_traCA', '10_lag_stratZ50ndj02', '7_lag_scpPSLjfm', '11_lag_traWP', '1_lag_mhfIP30', '19_lag_stratZ50ndj02', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_samPSLann']","[0.010487225920794402, 0.05020210759297869, 0.021922044768600366, 0.0373089834446794, 0.0651538738983973, 0.10987797570147313, 0.04534715984571795, 0.08457194750389688, 0.013760189704455014, 0.03507708282173596, 0.058922765000860675, 0.04269698659977466, 0.02928348595155797, 0.05828766581067275, 0.0973887137702011, 0.09094599011274741, 0.012206191609206279, 0.07005826398647513, 0.10985172318013886, 0.038768109759227246, 0.06880136030365938, 0.24976388391791082, 0.09138428984415178, 0.10381421822711406, 0.04126305237439161, 0.019763982313089113, 0.09719849851347619, 0.2075649129936814, 0.5000051825072849, 0.21925655428943308]","16_lag_traEU, 7_lag_stratZ50ndj01, 9_lag_tripol3, 18_lag_ismPRjja, 17_lag_traEU, 5_lag_traDP, 17_lag_scpPSLjfm, 8_lag_tripol3, 12_lag_yrvPRjja, 9_lag_ginwSSTjfm, 1_lag_traIT, 15_lag_stratZ50ndj02, 8_lag_nppc3SSTjfm, 7_lag_wnorPRjfm, 11_lag_nppc2SSTjfm, 12_lag_traFSC, 1_lag_scpPSLjfm, 12_lag_amo1, 20_lag_stratZ50ndj03, 10_lag_tripol3, 20_lag_samPSLann, 1_lag_traCA, 10_lag_stratZ50ndj02, 7_lag_scpPSLjfm, 11_lag_traWP, 1_lag_mhfIP30, 19_lag_stratZ50ndj02, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_samPSLann_2496_1"
LinearRegression,7,30,nppc2SSTjfm,picntrl,1073.5,2050.5,0.4,22,2,2,14.599380409675904,0.0885603840434291,2496,"['5_lag_traDP', '2_lag_alpi', '6_lag_mhfIP30', '11_lag_nppc2SSTjfm', '20_lag_nchinaPRjja', '2_lag_nhSICsep', '9_lag_nchinaPRjja', '7_lag_wnorPRjfm', '2_lag_satlSSTjfm', '5_lag_satlSSTjfm', '18_lag_glomaSSTjfm', '16_lag_stratZ50ndj03', '18_lag_tripol3', '10_lag_stratZ50ndj02', '2_lag_nchinaPRjja', '16_lag_traBS', '8_lag_tripol3', '10_lag_tripol3', '21_lag_ormenSSTjfm', '12_lag_traFSC', '17_lag_traIFC', '17_lag_scpPSLjfm', '21_lag_ismPRjja', '7_lag_scpPSLjfm', '20_lag_samPSLann', '2_lag_amoSSTmjjaso', '11_lag_traWP', '19_lag_stratZ50ndj02', '2_lag_traTLS', '2_lag_traIT']","[0.11520403015483281, 0.05568384587657618, 0.01402483072260155, 0.11748946817678896, 0.062073397229863776, 0.06357844055378063, 0.08058887734660397, 0.02583834467309695, 0.05174507330298008, 0.099330866909397, 0.18937332456855982, 0.10320898969794086, 0.11273724055269134, 0.07552470919231272, 0.08687771801022694, 0.10659944286132027, 0.05683156164915442, 0.07755152249733993, 0.01080173509816408, 0.1291196494702121, 0.20697441244403902, 0.11374781417659127, 0.13316359063381866, 0.10930943499622754, 0.08104059461067316, 0.03630961036492669, 0.03936782096483843, 0.11803947953322777, 0.1695443589366314, 0.05066268038219544]","5_lag_traDP, 2_lag_alpi, 6_lag_mhfIP30, 11_lag_nppc2SSTjfm, 20_lag_nchinaPRjja, 2_lag_nhSICsep, 9_lag_nchinaPRjja, 7_lag_wnorPRjfm, 2_lag_satlSSTjfm, 5_lag_satlSSTjfm, 18_lag_glomaSSTjfm, 16_lag_stratZ50ndj03, 18_lag_tripol3, 10_lag_stratZ50ndj02, 2_lag_nchinaPRjja, 16_lag_traBS, 8_lag_tripol3, 10_lag_tripol3, 21_lag_ormenSSTjfm, 12_lag_traFSC, 17_lag_traIFC, 17_lag_scpPSLjfm, 21_lag_ismPRjja, 7_lag_scpPSLjfm, 20_lag_samPSLann, 2_lag_amoSSTmjjaso, 11_lag_traWP, 19_lag_stratZ50ndj02, 2_lag_traTLS, 2_lag_traIT_2496_2"
LinearRegression,8,30,nppc2SSTjfm,picntrl,1074.5,2050.5,0.4,23,3,3,14.543387363071107,0.053055942472736754,2496,"['12_lag_yrvPRjja', '18_lag_glTSjfm', '21_lag_cetTSjfm', '13_lag_stratZ50ndj04', '12_lag_mhfIP30', '3_lag_nhSICsep', '19_lag_amo1', '14_lag_stratZ50ndj04', '18_lag_glomaSSTjfm', '10_lag_tripol3', '6_lag_mhfIP30', '16_lag_stratZ50ndj03', '18_lag_tripol3', '21_lag_traTLS', '13_lag_eapPSLjfm', '5_lag_traDP', '11_lag_ginwSSTjfm', '8_lag_traBS', '11_lag_traWP', '20_lag_nchinaPRjja', '17_lag_scpPSLjfm', '21_lag_ismPRjja', '12_lag_traFSC', '17_lag_traIFC', '8_lag_tripol3', '5_lag_satlSSTjfm', '19_lag_stratZ50ndj02', '7_lag_scpPSLjfm', '22_lag_traIT', '20_lag_samPSLann']","[0.06531159385243741, 0.1338470599631607, 0.13523273918678927, 0.03370483602111313, 0.03798761218483207, 0.07858388390373419, 0.09749006562416977, 0.061667077802904764, 0.12810786514051645, 0.06576782777401491, 0.044463665417321524, 0.0858652191998958, 0.11375756858512559, 0.004692330086928359, 0.04676819290518105, 0.13888879393801967, 0.05771027432901749, 0.05721168891946443, 0.004078341273270624, 0.06720832894751398, 0.08141829068579852, 0.11927176522733182, 0.17027095600943895, 0.1707649880752461, 0.11819758260970174, 0.14325112706973867, 0.14703732949011528, 0.13710700154841762, 0.09739121428770561, 0.0771254648320766]","12_lag_yrvPRjja, 18_lag_glTSjfm, 21_lag_cetTSjfm, 13_lag_stratZ50ndj04, 12_lag_mhfIP30, 3_lag_nhSICsep, 19_lag_amo1, 14_lag_stratZ50ndj04, 18_lag_glomaSSTjfm, 10_lag_tripol3, 6_lag_mhfIP30, 16_lag_stratZ50ndj03, 18_lag_tripol3, 21_lag_traTLS, 13_lag_eapPSLjfm, 5_lag_traDP, 11_lag_ginwSSTjfm, 8_lag_traBS, 11_lag_traWP, 20_lag_nchinaPRjja, 17_lag_scpPSLjfm, 21_lag_ismPRjja, 12_lag_traFSC, 17_lag_traIFC, 8_lag_tripol3, 5_lag_satlSSTjfm, 19_lag_stratZ50ndj02, 7_lag_scpPSLjfm, 22_lag_traIT, 20_lag_samPSLann_2496_3"
LinearRegression,9,30,nppc2SSTjfm,picntrl,1075.5,2050.5,0.4,24,4,4,14.541773136786064,0.05241859317749824,2496,"['13_lag_eapPSLjfm', '16_lag_traBS', '23_lag_scpPSLjfm', '17_lag_traEU', '14_lag_scpPSLjfm', '13_lag_traBS', '8_lag_traBS', '12_lag_amo1', '18_lag_nhTSjfm', '11_lag_traWP', '11_lag_nppc2SSTjfm', '8_lag_tripol3', '11_lag_ginwSSTjfm', '7_lag_wnorPRjfm', '14_lag_stratZ50ndj04', '20_lag_nchinaPRjja', '21_lag_cetTSjfm', '14_lag_shSICmar', '18_lag_glTSjfm', '16_lag_stratZ50ndj03', '4_lag_atlSICjfm', '8_lag_stratZ50ndj03', '12_lag_traFSC', '19_lag_stratZ50ndj02', '9_lag_tripol3', '18_lag_tripol3', '22_lag_traIT', '20_lag_samPSLann', '17_lag_traIFC', '7_lag_scpPSLjfm']","[0.08123526955612184, 0.10230180804570291, 0.12932115398071098, 0.028901020159470645, 0.0753626318312534, 0.03746519104898776, 0.07805799461691466, 0.11979691588900991, 0.16117774652792355, 0.03468256570362004, 0.14031694408634293, 0.09413097172070575, 0.08363878865904022, 0.057108169793893826, 0.08642598126879865, 0.028917543667185908, 0.17058359001927528, 0.012724316797282132, 0.32104290424797605, 0.13603079555465974, 0.09767517870379627, 0.1099352632318374, 0.19073591532912193, 0.1098743443974966, 0.13478881875049203, 0.13666457365984358, 0.07706432735858476, 0.09304804805299227, 0.1832635562233918, 0.11648366733892548]","13_lag_eapPSLjfm, 16_lag_traBS, 23_lag_scpPSLjfm, 17_lag_traEU, 14_lag_scpPSLjfm, 13_lag_traBS, 8_lag_traBS, 12_lag_amo1, 18_lag_nhTSjfm, 11_lag_traWP, 11_lag_nppc2SSTjfm, 8_lag_tripol3, 11_lag_ginwSSTjfm, 7_lag_wnorPRjfm, 14_lag_stratZ50ndj04, 20_lag_nchinaPRjja, 21_lag_cetTSjfm, 14_lag_shSICmar, 18_lag_glTSjfm, 16_lag_stratZ50ndj03, 4_lag_atlSICjfm, 8_lag_stratZ50ndj03, 12_lag_traFSC, 19_lag_stratZ50ndj02, 9_lag_tripol3, 18_lag_tripol3, 22_lag_traIT, 20_lag_samPSLann, 17_lag_traIFC, 7_lag_scpPSLjfm_2496_4"
