model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,nppc3SSTjfm,picntrl,1066.5,2050.5,0.6,15,1,1,21.817138586865028,0.004670130016678335,1728,"['1_lag_mhfIP30', '1_lag_2_median_mhfATL30', '14_lag_eapPSLjfm', '1_lag_4_median_shTSjfm', '11_lag_traEC', '14_lag_stratZ50ndj04', '4_lag_mhfATL30', '14_lag_traEU', '4_lag_tripol1', '1_lag_6_median_amo1', '1_lag_11_median_nhSICsep', '1_lag_12_median_amo1', '1_lag_14_median_atlSICjfm', '1_lag_11_median_traIFC', '4_lag_traBS', '1_lag_atlSICsep', '1_lag_11_median_gyreSSTjfm', '1_lag_4_median_ensoSSTjfm', '1_lag_4_median_tripol1', '11_lag_traIT', '1_lag_3_median_traFS', '9_lag_glTSjfm', '4_lag_amo2', '13_lag_ensoSSTjfm', '1_lag_8_median_tripol1', '1_lag_5_median_mhfATL30', '1_lag_9_median_traIFC', '1_lag_5_median_ormenSSTjfm', '1_lag_7_median_nhSICjfm', '1_lag_5_median_traFB']","[4.972095925237472, 1.6389631389701798, 5.638520576696897, 0.2686970889580831, 2.200584121464928, 8.753849116423362, 2.4847965317551957, 4.037268406999884, 5.132903992505556, 1.100118156244271, 9.208741007272238, 2.217095594668132, 4.927290547416728, 5.677514099599645, 1.4627709612148454, 4.837907942588311, 9.952416151476363, 5.4210532646304195, 3.533523500191178, 4.921677279203628, 6.315891144153213, 3.886654111201908, 2.7352809881929634, 4.557273871714099, 4.855962032928634, 0.4647010049702729, 8.80655350373804, 3.5994751536477168, 8.045639542842071, 1.589159603560324]","1_lag_mhfIP30, 1_lag_2_median_mhfATL30, 14_lag_eapPSLjfm, 1_lag_4_median_shTSjfm, 11_lag_traEC, 14_lag_stratZ50ndj04, 4_lag_mhfATL30, 14_lag_traEU, 4_lag_tripol1, 1_lag_6_median_amo1, 1_lag_11_median_nhSICsep, 1_lag_12_median_amo1, 1_lag_14_median_atlSICjfm, 1_lag_11_median_traIFC, 4_lag_traBS, 1_lag_atlSICsep, 1_lag_11_median_gyreSSTjfm, 1_lag_4_median_ensoSSTjfm, 1_lag_4_median_tripol1, 11_lag_traIT, 1_lag_3_median_traFS, 9_lag_glTSjfm, 4_lag_amo2, 13_lag_ensoSSTjfm, 1_lag_8_median_tripol1, 1_lag_5_median_mhfATL30, 1_lag_9_median_traIFC, 1_lag_5_median_ormenSSTjfm, 1_lag_7_median_nhSICjfm, 1_lag_5_median_traFB_1728_1"
LRforcedPSO,1,30,nppc3SSTjfm,picntrl,1067.5,2050.5,0.6,16,1,1,21.634039371389388,0.0007709712474623199,1856,"['13_lag_stratZ50ndj02', '1_lag_12_median_traTLS', '1_lag_3_median_samPSLann', '15_lag_amoSSTmjjaso', '7_lag_traCA', '1_lag_15_median_traFSC', '1_lag_3_median_atlSICjfm', '1_lag_15_median_shTSjfm', '13_lag_amoSSTmjjaso', '11_lag_stratZ50ndj03', '1_lag_13_median_traTLS', '5_lag_ensoSSTjfm', '1_lag_11_median_stratZ50ndj01', '1_lag_6_median_nppc2SSTjfm', '12_lag_traIT', '1_lag_10_median_samPSLann', '1_lag_10_median_ormenSSTjfm', '11_lag_amo2', '1_lag_3_median_traCA', '10_lag_AMOCann', '14_lag_atlSICjfm', '8_lag_ismPRjja', '4_lag_nchinaPRjja', '10_lag_mhfATL60', '7_lag_glTSjfm', '1_lag_2_median_nppc3SSTjfm', '1_lag_mhfATL60', '7_lag_traIFC', '6_lag_traEU', '1_lag_13_median_shTSjfm']","[6.12953728659253, 3.8220599442875214, 6.91894126452244, 6.3282717470807555, 4.180497939698089, 9.431854846218474, 0.54332124975328, 0.1676150331989934, 0.714059045475004, 5.425399040750346, 3.836413705451122, 0.02808423749131883, 0.2867508791427138, 1.5582173597455355, 4.032119647826471, 2.9320029548777793, 8.928137618585357, 8.7023482021091, 4.747819800455568, 5.0155074663258965, 2.7597166869885577, 2.097149055365433, 0.37212257510030966, 1.4079448640174732, 0.26924577275164907, 7.061079006713353, 1.574166126074763, 0.9142360641842089, 5.423419444565699, 0.45079980178424783]","13_lag_stratZ50ndj02, 1_lag_12_median_traTLS, 1_lag_3_median_samPSLann, 15_lag_amoSSTmjjaso, 7_lag_traCA, 1_lag_15_median_traFSC, 1_lag_3_median_atlSICjfm, 1_lag_15_median_shTSjfm, 13_lag_amoSSTmjjaso, 11_lag_stratZ50ndj03, 1_lag_13_median_traTLS, 5_lag_ensoSSTjfm, 1_lag_11_median_stratZ50ndj01, 1_lag_6_median_nppc2SSTjfm, 12_lag_traIT, 1_lag_10_median_samPSLann, 1_lag_10_median_ormenSSTjfm, 11_lag_amo2, 1_lag_3_median_traCA, 10_lag_AMOCann, 14_lag_atlSICjfm, 8_lag_ismPRjja, 4_lag_nchinaPRjja, 10_lag_mhfATL60, 7_lag_glTSjfm, 1_lag_2_median_nppc3SSTjfm, 1_lag_mhfATL60, 7_lag_traIFC, 6_lag_traEU, 1_lag_13_median_shTSjfm_1856_1"
LRforcedPSO,2,30,nppc3SSTjfm,picntrl,1068.5,2050.5,0.6,17,1,1,22.54351567414763,0.02669008542140995,1984,"['8_lag_tripol1', '1_lag_12_median_traFB', '4_lag_seurTSjfm', '7_lag_gyreSSTjfm', '1_lag_11_median_tripol1', '5_lag_traFS', '10_lag_atlSICsep', '9_lag_ensoSSTjfm', '1_lag_12_median_tripol2', '1_lag_13_median_ormenSSTjfm', '12_lag_amo1', '16_lag_gyreSSTjfm', '14_lag_neurTSjfm', '1_lag_13_median_samPSLann', '1_lag_stratZ50ndj01', '1_lag_10_median_stratZ50ndj02', '3_lag_mhfIP30', '1_lag_amo3', '1_lag_3_median_AMOCann', '1_lag_13_median_mhfATL45', '5_lag_alpi', '6_lag_tripol3', '15_lag_amo3', '9_lag_traTLS', '1_lag_6_median_arcTSjfm', '1_lag_10_median_seurTSjfm', '2_lag_tripol2', '4_lag_shTSjfm', '1_lag_7_median_mhfATL60', '1_lag_7_median_labSSTjfm']","[6.097617057014835, 9.050322746675853, 6.814145333631068, 8.068844142426709, 2.2402181152179956, 9.527561343086479, 0.7140530892010553, 7.400378093268756, 9.488668011676696, 2.7366461834102864, 6.415344102688067, 4.844567877161532, 2.089909845467904, 5.237219822356549, 4.720446511138494, 2.859269837562799, 2.3213802189047055, 1.6460877334448742, 5.312900574927677, 4.722617635352355, 1.5759356103852422, 1.6360655361904382, 1.2515444975656038, 0.6906494870931912, 1.0253724779810263, 1.4008226104560624, 2.2125917542516333, 2.82983738212568, 0.9317489192018549, 0.36552516811846303]","8_lag_tripol1, 1_lag_12_median_traFB, 4_lag_seurTSjfm, 7_lag_gyreSSTjfm, 1_lag_11_median_tripol1, 5_lag_traFS, 10_lag_atlSICsep, 9_lag_ensoSSTjfm, 1_lag_12_median_tripol2, 1_lag_13_median_ormenSSTjfm, 12_lag_amo1, 16_lag_gyreSSTjfm, 14_lag_neurTSjfm, 1_lag_13_median_samPSLann, 1_lag_stratZ50ndj01, 1_lag_10_median_stratZ50ndj02, 3_lag_mhfIP30, 1_lag_amo3, 1_lag_3_median_AMOCann, 1_lag_13_median_mhfATL45, 5_lag_alpi, 6_lag_tripol3, 15_lag_amo3, 9_lag_traTLS, 1_lag_6_median_arcTSjfm, 1_lag_10_median_seurTSjfm, 2_lag_tripol2, 4_lag_shTSjfm, 1_lag_7_median_mhfATL60, 1_lag_7_median_labSSTjfm_1984_1"
LRforcedPSO,3,30,nppc3SSTjfm,picntrl,1069.5,2050.5,0.6,18,1,1,25.55794313465041,0.1269232006232855,2112,"['1_lag_9_median_traMC', '1_lag_3_median_samPSLann', '17_lag_wnorPRjfm', '1_lag_5_median_traFS', '17_lag_stratZ50ndj02', '1_lag_4_median_cetTSjfm', '1_lag_2_median_nppc2SSTjfm', '1_lag_5_median_stratZ50ndj04', '1_lag_15_median_shSICsep', '11_lag_eurPSLjfm', '10_lag_mhfATL30', '1_lag_3_median_traEU', '2_lag_stratZ50ndj03', '9_lag_mhfATL30', '1_lag_eurPSLjfm', '12_lag_traWP', '10_lag_stratZ50ndj01', '1_lag_9_median_satlSSTjfm', '14_lag_glTSjfm', '1_lag_2_median_nhTSjfm', '1_lag_13_median_pdoSSTjfm', '6_lag_mhfATL60', '5_lag_traDS', '11_lag_traIFC', '16_lag_stratZ50ndj04', '17_lag_satlSSTjfm', '9_lag_atlSICsep', '1_lag_glomaSSTjfm', '15_lag_shTSjfm', '13_lag_stratZ50ndj01']","[4.784328194719764, 7.389031653378037, 8.72774190222181, 3.1553578017261223, 3.9215264189276606, 2.2298268838752193, 5.025168287402886, 8.15008815993885, 9.593778509526343, 8.537325172962817, 3.2602588921620406, 3.614567548798748, 9.827950353123864, 3.4875165820870286, 2.9460931453412087, 1.912586971950228, 0.6341554073341946, 3.1369484768465927, 2.798532951440789, 7.534227962591821, 1.7588835025707112, 7.480037064283116, 3.4428074046529904, 4.3419092287333445, 1.1701678521001604, 7.616369979151239, 5.599237749073418, 2.196030386577559, 1.2666769133081974, 5.2274560464176325]","1_lag_9_median_traMC, 1_lag_3_median_samPSLann, 17_lag_wnorPRjfm, 1_lag_5_median_traFS, 17_lag_stratZ50ndj02, 1_lag_4_median_cetTSjfm, 1_lag_2_median_nppc2SSTjfm, 1_lag_5_median_stratZ50ndj04, 1_lag_15_median_shSICsep, 11_lag_eurPSLjfm, 10_lag_mhfATL30, 1_lag_3_median_traEU, 2_lag_stratZ50ndj03, 9_lag_mhfATL30, 1_lag_eurPSLjfm, 12_lag_traWP, 10_lag_stratZ50ndj01, 1_lag_9_median_satlSSTjfm, 14_lag_glTSjfm, 1_lag_2_median_nhTSjfm, 1_lag_13_median_pdoSSTjfm, 6_lag_mhfATL60, 5_lag_traDS, 11_lag_traIFC, 16_lag_stratZ50ndj04, 17_lag_satlSSTjfm, 9_lag_atlSICsep, 1_lag_glomaSSTjfm, 15_lag_shTSjfm, 13_lag_stratZ50ndj01_2112_1"
LRforcedPSO,4,30,nppc3SSTjfm,picntrl,1070.5,2050.5,0.6,19,1,1,23.235731255785563,0.06053651002465116,2240,"['1_lag_12_median_traIT', '17_lag_nppc3SSTjfm', '12_lag_tripol2', '1_lag_9_median_wnorPRjfm', '2_lag_seurTSjfm', '13_lag_stratZ50ndj04', '12_lag_AMOCann', '17_lag_yrvPRjja', '1_lag_9_median_tripol2', '4_lag_glTSjfm', '13_lag_samPSLann', '1_lag_9_median_atlSICjfm', '14_lag_mhfATL60', '1_lag_6_median_mhfIP30', '2_lag_traFS', '9_lag_nppc2SSTjfm', '17_lag_eurPSLjfm', '1_lag_16_median_traEU', '2_lag_stratZ50ndj04', '1_lag_13_median_naoPSLjfm', '1_lag_6_median_traIT', '1_lag_12_median_eurPSLjfm', '1_lag_18_median_shTSjfm', '18_lag_gyreSSTjfm', '16_lag_eapPSLjfm', '1_lag_5_median_traEC', '1_lag_9_median_tripol3', '3_lag_traEU', '6_lag_traTLS', '1_lag_6_median_stratZ50ndj02']","[3.8056465348766917, 3.3579851667924956, 7.150726081023356, 4.9362204540510435, 3.945482735058704, 1.358553166279643, 1.660819005169877, 6.526417983636129, 3.3840761491469866, 4.02787336781272, 9.810636264884934, 2.9838408999913995, 2.7019318481048753, 6.574449622913939, 3.4310681603036937, 5.627981278306482, 0.19327452840176562, 5.609039902139026, 7.381432121442916, 1.1689138749180152, 1.9515223643655055, 5.632387348559709, 2.4438729431501116, 6.096237528162341, 5.271854142672073, 3.288402622782119, 2.0214033826691047, 1.3864364886861829, 7.655173208598702, 7.310638219196438]","1_lag_12_median_traIT, 17_lag_nppc3SSTjfm, 12_lag_tripol2, 1_lag_9_median_wnorPRjfm, 2_lag_seurTSjfm, 13_lag_stratZ50ndj04, 12_lag_AMOCann, 17_lag_yrvPRjja, 1_lag_9_median_tripol2, 4_lag_glTSjfm, 13_lag_samPSLann, 1_lag_9_median_atlSICjfm, 14_lag_mhfATL60, 1_lag_6_median_mhfIP30, 2_lag_traFS, 9_lag_nppc2SSTjfm, 17_lag_eurPSLjfm, 1_lag_16_median_traEU, 2_lag_stratZ50ndj04, 1_lag_13_median_naoPSLjfm, 1_lag_6_median_traIT, 1_lag_12_median_eurPSLjfm, 1_lag_18_median_shTSjfm, 18_lag_gyreSSTjfm, 16_lag_eapPSLjfm, 1_lag_5_median_traEC, 1_lag_9_median_tripol3, 3_lag_traEU, 6_lag_traTLS, 1_lag_6_median_stratZ50ndj02_2240_1"
LRforcedPSO,5,30,nppc3SSTjfm,picntrl,1071.5,2050.5,0.6,20,1,1,22.73124257072006,-0.0839062127888279,2368,"['1_lag_6_median_amo1', '1_lag_3_median_AMOCann', '1_lag_11_median_mhfATL60', '1_lag_4_median_nchinaPRjja', '10_lag_tripol2', '17_lag_traBO', '1_lag_11_median_traMC', '1_lag_3_median_scpPSLjfm', '9_lag_traFB', '18_lag_traDS', '1_lag_16_median_traEC', '10_lag_AMOCann', '1_lag_7_median_yrvPRjja', '1_lag_10_median_traDS', '6_lag_traBS', '6_lag_amo2', '15_lag_amo2', '18_lag_amo3', '13_lag_atlSICsep', '1_lag_4_median_ormenSSTjfm', '11_lag_traEC', '4_lag_traTLS', '1_lag_18_median_wnorPRjfm', '1_lag_3_median_naoPSLjfm', '15_lag_glTSjfm', '8_lag_neurTSjfm', '1_lag_15_median_ensoSSTjfm', '17_lag_samPSLann', '1_lag_9_median_tripol3', '14_lag_naoPSLjfm']","[0.7252706725979365, 0.6336013289414666, 2.3642709619817026, 2.674333866614167, 0.6647947876017941, 2.5373141343875876, 4.558730854439974, 0.9478328721576226, 0.40122822125786684, 6.480869722152036, 2.17576719694015, 0.7631353598749016, 7.551287942432103, 3.375644028879245, 0.7687900951184439, 4.933631162968016, 5.460995616216433, 1.5957849934818729, 6.769189755646924, 0.4882160732327474, 7.326921480108717, 5.976102945857512, 4.971956083154463, 5.382323588115925, 1.7687337262308152, 5.487628593706477, 9.31248962459296, 1.360251132518309, 8.743204831045645, 5.575417664188498]","1_lag_6_median_amo1, 1_lag_3_median_AMOCann, 1_lag_11_median_mhfATL60, 1_lag_4_median_nchinaPRjja, 10_lag_tripol2, 17_lag_traBO, 1_lag_11_median_traMC, 1_lag_3_median_scpPSLjfm, 9_lag_traFB, 18_lag_traDS, 1_lag_16_median_traEC, 10_lag_AMOCann, 1_lag_7_median_yrvPRjja, 1_lag_10_median_traDS, 6_lag_traBS, 6_lag_amo2, 15_lag_amo2, 18_lag_amo3, 13_lag_atlSICsep, 1_lag_4_median_ormenSSTjfm, 11_lag_traEC, 4_lag_traTLS, 1_lag_18_median_wnorPRjfm, 1_lag_3_median_naoPSLjfm, 15_lag_glTSjfm, 8_lag_neurTSjfm, 1_lag_15_median_ensoSSTjfm, 17_lag_samPSLann, 1_lag_9_median_tripol3, 14_lag_naoPSLjfm_2368_1"
LRforcedPSO,6,30,nppc3SSTjfm,picntrl,1072.5,2050.5,0.6,21,1,1,22.235117429644987,0.028626440505627886,2496,"['10_lag_alpi', '1_lag_2_median_mhfIP30', '18_lag_traCA', '6_lag_nchinaPRjja', '4_lag_scpPSLjfm', '3_lag_mhfATL30', '1_lag_2_median_AMOCann', '1_lag_20_median_atlSICjfm', '1_lag_8_median_nppc3SSTjfm', '1_lag_4_median_shSICsep', '2_lag_scpPSLjfm', '3_lag_eapPSLjfm', '13_lag_amoSSTmjjaso', '1_lag_7_median_shSICsep', '18_lag_arcTSjfm', '19_lag_yrvPRjja', '1_lag_16_median_arcTSjfm', '1_lag_19_median_labSSTjfm', '1_lag_nppc2SSTjfm', '1_lag_3_median_ismPRjja', '4_lag_tripol1', '19_lag_tripol1', '3_lag_mhfATL45', '8_lag_nhSICsep', '18_lag_traBS', '16_lag_traFS', '4_lag_ginwSSTjfm', '2_lag_shSICsep', '1_lag_13_median_shTSjfm', '7_lag_traIFC']","[2.302783314885726, 0.4613066226154299, 4.013144243887265, 4.403018165720769, 3.620668903576302, 8.146459843638315, 9.416220293567566, 6.613580089976409, 4.335677019012676, 1.2929535163434238, 0.9193043224685393, 2.1889674738413607, 5.108781447852772, 3.3144591408685065, 2.0430938883147736, 0.4993122387586091, 9.313956064346879, 3.7321021021954444, 4.192775297484575, 3.1226093727762088, 8.114911892294959, 1.1295595266014367, 2.9856494702585916, 5.461196546031724, 0.7504131252921447, 2.672538023421181, 6.336526078190236, 7.016472624044667, 3.0943462138604616, 1.7920806650169077]","10_lag_alpi, 1_lag_2_median_mhfIP30, 18_lag_traCA, 6_lag_nchinaPRjja, 4_lag_scpPSLjfm, 3_lag_mhfATL30, 1_lag_2_median_AMOCann, 1_lag_20_median_atlSICjfm, 1_lag_8_median_nppc3SSTjfm, 1_lag_4_median_shSICsep, 2_lag_scpPSLjfm, 3_lag_eapPSLjfm, 13_lag_amoSSTmjjaso, 1_lag_7_median_shSICsep, 18_lag_arcTSjfm, 19_lag_yrvPRjja, 1_lag_16_median_arcTSjfm, 1_lag_19_median_labSSTjfm, 1_lag_nppc2SSTjfm, 1_lag_3_median_ismPRjja, 4_lag_tripol1, 19_lag_tripol1, 3_lag_mhfATL45, 8_lag_nhSICsep, 18_lag_traBS, 16_lag_traFS, 4_lag_ginwSSTjfm, 2_lag_shSICsep, 1_lag_13_median_shTSjfm, 7_lag_traIFC_2496_1"
LRforcedPSO,7,30,nppc3SSTjfm,picntrl,1073.5,2050.5,0.6,22,1,1,21.41845741168889,-0.03817779974644347,2624,"['1_lag_20_median_mhfATL30', '9_lag_shSICsep', '8_lag_glTSjfm', '1_lag_13_median_labSSTjfm', '1_lag_17_median_traFS', '14_lag_cetTSjfm', '1_lag_6_median_gyreSSTjfm', '8_lag_traTLS', '4_lag_ensoSSTjfm', '1_lag_8_median_shSICmar', '1_lag_20_median_mhfATL45', '1_lag_18_median_scpPSLjfm', '14_lag_samPSLann', '6_lag_traFB', '1_lag_3_median_labSSTjfm', '13_lag_shTSjfm', '18_lag_nhTSjfm', '1_lag_2_median_eapPSLjfm', '1_lag_9_median_nchinaPRjja', '15_lag_mhfATL45', '9_lag_shTSjfm', '5_lag_amo2', '1_lag_16_median_traEU', '1_lag_17_median_glomaSSTjfm', '9_lag_neurTSjfm', '15_lag_atlSICsep', '1_lag_12_median_ormenSSTjfm', '17_lag_pdoSSTjfm', '10_lag_traWP', '15_lag_shSICsep']","[3.5965308685400554, 3.2336991171444716, 1.4468377618169885, 4.080942062860116, 7.8011571851894645, 1.7619796806368342, 5.5562127985721474, 2.3556126265720723, 9.362041660279498, 0.35979521861164976, 4.015942255556279, 2.117782631604152, 3.3431809792488014, 0.6256455754326709, 2.3778306626090266, 3.042351148958975, 0.9042616542057509, 0.3306753764073971, 4.726568925699649, 0.662076605849629, 0.9822554969294206, 2.409881553814518, 0.93526698582329, 0.9489428293352304, 3.202697314510381, 2.4094142221931687, 7.2184342721750845, 7.089253372774831, 3.6536034687723173, 9.486302689776778]","1_lag_20_median_mhfATL30, 9_lag_shSICsep, 8_lag_glTSjfm, 1_lag_13_median_labSSTjfm, 1_lag_17_median_traFS, 14_lag_cetTSjfm, 1_lag_6_median_gyreSSTjfm, 8_lag_traTLS, 4_lag_ensoSSTjfm, 1_lag_8_median_shSICmar, 1_lag_20_median_mhfATL45, 1_lag_18_median_scpPSLjfm, 14_lag_samPSLann, 6_lag_traFB, 1_lag_3_median_labSSTjfm, 13_lag_shTSjfm, 18_lag_nhTSjfm, 1_lag_2_median_eapPSLjfm, 1_lag_9_median_nchinaPRjja, 15_lag_mhfATL45, 9_lag_shTSjfm, 5_lag_amo2, 1_lag_16_median_traEU, 1_lag_17_median_glomaSSTjfm, 9_lag_neurTSjfm, 15_lag_atlSICsep, 1_lag_12_median_ormenSSTjfm, 17_lag_pdoSSTjfm, 10_lag_traWP, 15_lag_shSICsep_2624_1"
LRforcedPSO,8,30,nppc3SSTjfm,picntrl,1074.5,2050.5,0.6,23,1,1,21.2613146454726,0.08808528236291994,2752,"['1_lag_14_median_nhSICjfm', '1_lag_2_median_eapPSLjfm', '17_lag_mhfATL45', '5_lag_traEU', '20_lag_stratZ50ndj03', '1_lag_6_median_traWP', '16_lag_amo2', '15_lag_satlSSTjfm', '16_lag_pdoSSTjfm', '1_lag_22_median_scpPSLjfm', '11_lag_eapPSLjfm', '8_lag_labSSTjfm', '1_lag_wnorPRjfm', '7_lag_amo3', '11_lag_traEU', '22_lag_nppc2SSTjfm', '10_lag_alpi', '1_lag_15_median_traDS', '3_lag_traBO', '1_lag_traEU', '1_lag_13_median_shSICsep', '1_lag_5_median_shSICsep', '20_lag_satlSSTjfm', '1_lag_10_median_traFSC', '1_lag_6_median_ismPRjja', '1_lag_15_median_cetTSjfm', '15_lag_amo1', '9_lag_amoSSTmjjaso', '1_lag_14_median_glTSjfm', '1_lag_9_median_ismPRjja']","[2.255236156515476, 1.21230385398448, 0.8867846313466305, 8.080745111415906, 6.662314759750441, 0.7453422961454432, 1.0246296960986374, 0.41989511463064844, 0.21354251665573187, 3.3077147630358716, 6.039921549106371, 3.4258397079814387, 0.8639616264446381, 7.4773951059953925, 2.809103423829513, 2.12157836440769, 4.6451583739169315, 5.748728854187426, 5.9162282559077095, 0.3436041656594657, 9.997218503484241, 8.791702708363566, 4.231791801929859, 6.765558750188664, 6.22938411503889, 7.194175004686299, 0.2614429865516925, 0.8636916577526037, 7.999836192248576, 2.622689736789262]","1_lag_14_median_nhSICjfm, 1_lag_2_median_eapPSLjfm, 17_lag_mhfATL45, 5_lag_traEU, 20_lag_stratZ50ndj03, 1_lag_6_median_traWP, 16_lag_amo2, 15_lag_satlSSTjfm, 16_lag_pdoSSTjfm, 1_lag_22_median_scpPSLjfm, 11_lag_eapPSLjfm, 8_lag_labSSTjfm, 1_lag_wnorPRjfm, 7_lag_amo3, 11_lag_traEU, 22_lag_nppc2SSTjfm, 10_lag_alpi, 1_lag_15_median_traDS, 3_lag_traBO, 1_lag_traEU, 1_lag_13_median_shSICsep, 1_lag_5_median_shSICsep, 20_lag_satlSSTjfm, 1_lag_10_median_traFSC, 1_lag_6_median_ismPRjja, 1_lag_15_median_cetTSjfm, 15_lag_amo1, 9_lag_amoSSTmjjaso, 1_lag_14_median_glTSjfm, 1_lag_9_median_ismPRjja_2752_1"
LRforcedPSO,9,30,nppc3SSTjfm,picntrl,1075.5,2050.5,0.6,24,1,1,21.91159248049604,0.08498452167233299,2880,"['1_lag_21_median_glTSjfm', '1_lag_3_median_AMOCann', '1_lag_11_median_satlSSTjfm', '17_lag_amo3', '1_lag_22_median_scpPSLjfm', '1_lag_14_median_nhSICjfm', '1_lag_14_median_stratZ50ndj03', '1_lag_14_median_traDP', '1_lag_7_median_seurTSjfm', '1_lag_3_median_wnorPRjfm', '1_lag_2_median_amo1', '1_lag_16_median_arcTSjfm', '1_lag_6_median_traFB', '4_lag_mhfATL60', '1_lag_23_median_glTSjfm', '1_lag_11_median_eurPSLjfm', '1_lag_18_median_nppc2SSTjfm', '1_lag_6_median_stratZ50ndj01', '1_lag_5_median_amoSSTmjjaso', '1_lag_16_median_neurTSjfm', '1_lag_13_median_amoSSTmjjaso', '1_lag_19_median_amo3', '2_lag_shSICmar', '9_lag_traDP', '5_lag_traFS', '1_lag_19_median_traFSC', '1_lag_7_median_traBO', '18_lag_AMOCann', '1_lag_13_median_glomaSSTjfm', '10_lag_traWP']","[6.44833694655404, 6.650200408120451, 7.024525691319429, 1.6602017571710714, 4.824451975818443, 1.5839696836248702, 5.000675383072406, 3.9143263783603466, 7.170264924041958, 1.0989890411127732, 0.3312961047757561, 4.690406072063048, 5.319583708447726, 1.062538210421259, 6.853049322226492, 5.638263128169552, 8.354287244357959, 4.27955869300364, 0.8978482059628039, 3.808095256026064, 9.797580389834643, 9.521279607497553, 9.520674122299575, 7.986790286875504, 6.249391965206397, 5.141568130666663, 1.7422289951808079, 5.114144258632596, 7.764415544096948, 1.6389135271305904]","1_lag_21_median_glTSjfm, 1_lag_3_median_AMOCann, 1_lag_11_median_satlSSTjfm, 17_lag_amo3, 1_lag_22_median_scpPSLjfm, 1_lag_14_median_nhSICjfm, 1_lag_14_median_stratZ50ndj03, 1_lag_14_median_traDP, 1_lag_7_median_seurTSjfm, 1_lag_3_median_wnorPRjfm, 1_lag_2_median_amo1, 1_lag_16_median_arcTSjfm, 1_lag_6_median_traFB, 4_lag_mhfATL60, 1_lag_23_median_glTSjfm, 1_lag_11_median_eurPSLjfm, 1_lag_18_median_nppc2SSTjfm, 1_lag_6_median_stratZ50ndj01, 1_lag_5_median_amoSSTmjjaso, 1_lag_16_median_neurTSjfm, 1_lag_13_median_amoSSTmjjaso, 1_lag_19_median_amo3, 2_lag_shSICmar, 9_lag_traDP, 5_lag_traFS, 1_lag_19_median_traFSC, 1_lag_7_median_traBO, 18_lag_AMOCann, 1_lag_13_median_glomaSSTjfm, 10_lag_traWP_2880_1"
