model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,ormenSSTjfm,picntrl,1066.5,2050.5,0.6,15,5,5,21.89361296828732,-0.00016183101431613191,1216,"['7_lag_nppc3SSTjfm', '7_lag_traBO', '11_lag_traEU', '13_lag_AMOCann', '12_lag_seurTSjfm', '10_lag_traBS', '5_lag_10_median_naoPSLjfm', '7_lag_nhTSjfm', '9_lag_nppc2SSTjfm', '5_lag_11_median_stratZ50ndj04', '13_lag_mhfATL30', '5_lag_9_median_traEU', '9_lag_atlSICjfm', '8_lag_ensoSSTjfm', '7_lag_traFSC', '12_lag_nhTSjfm', '5_lag_14_median_samPSLann', '5_lag_11_median_traIFC', '11_lag_samPSLann', '5_lag_9_median_AMOCann', '12_lag_atlSICjfm', '5_lag_14_median_wnorPRjfm', '6_lag_mhfATL30', '5_lag_13_median_nchinaPRjja', '9_lag_traFS', '10_lag_shSICsep', '11_lag_satlSSTjfm', '5_lag_10_median_nhSICsep', '5_lag_12_median_yrvPRjja', '5_lag_10_median_nppc2SSTjfm']","[2.815516327806195, 1.3728970542921548, 2.2311595050037507, 3.8866325906778343, 3.971074767467, 4.429432215864342, 4.308913387500651, 0.2590072808645374, 3.9679879945034795, 1.0805853253675064, 4.334831704585175, 0.7291717910207858, 2.3322677096059286, 3.8907164632136766, 4.7860872707492454, 9.965205134208649, 0.173868643184365, 0.08421615183640263, 6.008580501300962, 5.671195053376561, 0.8873794394002488, 1.1675509335164147, 7.954816449092474, 2.040326853454455, 0.819543788791135, 7.42709078748441, 8.089771854098629, 0.8688209232623141, 5.851313576408078, 3.1465239745153024]","7_lag_nppc3SSTjfm, 7_lag_traBO, 11_lag_traEU, 13_lag_AMOCann, 12_lag_seurTSjfm, 10_lag_traBS, 5_lag_10_median_naoPSLjfm, 7_lag_nhTSjfm, 9_lag_nppc2SSTjfm, 5_lag_11_median_stratZ50ndj04, 13_lag_mhfATL30, 5_lag_9_median_traEU, 9_lag_atlSICjfm, 8_lag_ensoSSTjfm, 7_lag_traFSC, 12_lag_nhTSjfm, 5_lag_14_median_samPSLann, 5_lag_11_median_traIFC, 11_lag_samPSLann, 5_lag_9_median_AMOCann, 12_lag_atlSICjfm, 5_lag_14_median_wnorPRjfm, 6_lag_mhfATL30, 5_lag_13_median_nchinaPRjja, 9_lag_traFS, 10_lag_shSICsep, 11_lag_satlSSTjfm, 5_lag_10_median_nhSICsep, 5_lag_12_median_yrvPRjja, 5_lag_10_median_nppc2SSTjfm_1216_5"
LRforcedPSO,1,30,ormenSSTjfm,picntrl,1067.5,2050.5,0.6,16,6,6,22.51015753831054,-0.01615167986829205,1216,"['6_lag_7_median_mhfATL45', '7_lag_atlSICsep', '13_lag_stratZ50ndj04', '6_lag_15_median_nppc3SSTjfm', '9_lag_traMC', '6_lag_mhfATL60', '12_lag_glomaSSTjfm', '6_lag_11_median_yrvPRjja', '7_lag_shTSjfm', '7_lag_naoPSLjfm', '6_lag_traDP', '9_lag_mhfATL45', '6_lag_13_median_shTSjfm', '14_lag_stratZ50ndj02', '6_lag_7_median_ginwSSTjfm', '6_lag_8_median_arcTSjfm', '10_lag_yrvPRjja', '6_lag_naoPSLjfm', '15_lag_AMOCann', '8_lag_mhfATL45', '13_lag_nppc3SSTjfm', '6_lag_14_median_traDS', '6_lag_13_median_atlSICsep', '6_lag_14_median_traIFC', '6_lag_8_median_eapPSLjfm', '6_lag_shSICsep', '12_lag_scpPSLjfm', '6_lag_12_median_glomaSSTjfm', '6_lag_9_median_alpi', '6_lag_10_median_traEC']","[1.979846191625958, 5.894746099795222, 3.0024484573276844, 4.128155133916469, 5.789577177336147, 2.5568367291673866, 9.887700075353465, 6.404200563753841, 4.824419465448525, 3.9601462884826937, 0.2553530087074165, 1.2721800248455732, 3.708737789436734, 2.5894436055468244, 0.9334767650211049, 0.7011443046765553, 2.016630973789699, 3.3765128390493153, 1.3977988573593336, 3.5551329408886616, 5.079654465715089, 7.070257422100605, 7.726144567283693, 7.548153956993553, 6.549286285967277, 6.5465761791614, 1.6721315337884075, 3.489909946787093, 0.5978229808906335, 0.3554584744186009]","6_lag_7_median_mhfATL45, 7_lag_atlSICsep, 13_lag_stratZ50ndj04, 6_lag_15_median_nppc3SSTjfm, 9_lag_traMC, 6_lag_mhfATL60, 12_lag_glomaSSTjfm, 6_lag_11_median_yrvPRjja, 7_lag_shTSjfm, 7_lag_naoPSLjfm, 6_lag_traDP, 9_lag_mhfATL45, 6_lag_13_median_shTSjfm, 14_lag_stratZ50ndj02, 6_lag_7_median_ginwSSTjfm, 6_lag_8_median_arcTSjfm, 10_lag_yrvPRjja, 6_lag_naoPSLjfm, 15_lag_AMOCann, 8_lag_mhfATL45, 13_lag_nppc3SSTjfm, 6_lag_14_median_traDS, 6_lag_13_median_atlSICsep, 6_lag_14_median_traIFC, 6_lag_8_median_eapPSLjfm, 6_lag_shSICsep, 12_lag_scpPSLjfm, 6_lag_12_median_glomaSSTjfm, 6_lag_9_median_alpi, 6_lag_10_median_traEC_1216_6"
LRforcedPSO,2,30,ormenSSTjfm,picntrl,1068.5,2050.5,0.6,17,7,7,22.133629584337093,-0.08820677454782666,1216,"['12_lag_glomaSSTjfm', '7_lag_nhTSjfm', '7_lag_8_median_mhfATL45', '16_lag_shSICsep', '7_lag_11_median_ormenSSTjfm', '15_lag_traBS', '7_lag_15_median_ensoSSTjfm', '7_lag_16_median_traIFC', '9_lag_traIT', '15_lag_amo2', '12_lag_traDP', '7_lag_traCA', '14_lag_cetTSjfm', '7_lag_cetTSjfm', '7_lag_15_median_ismPRjja', '11_lag_amo2', '8_lag_stratZ50ndj02', '13_lag_shTSjfm', '7_lag_9_median_traWP', '13_lag_glTSjfm', '13_lag_AMOCann', '12_lag_amoSSTmjjaso', '7_lag_traFS', '7_lag_11_median_arcTSjfm', '7_lag_11_median_ensoSSTjfm', '7_lag_10_median_mhfATL30', '11_lag_neurTSjfm', '15_lag_alpi', '13_lag_stratZ50ndj04', '7_lag_13_median_traFS']","[3.6862385941708187, 6.036020016346402, 7.0612346189800075, 5.052213186866002, 7.03548424810688, 3.658850500434518, 4.690683842551129, 0.247103179462842, 2.2729335925870195, 0.4413448532273616, 2.1263343929351883, 2.9343796157707676, 3.8993782737441567, 7.521053882860393, 4.275381776984117, 5.142202506507605, 5.833335032762472, 5.548680333397547, 2.56126613596207, 1.5846571648277852, 0.5290478553573141, 2.2288298542540446, 3.1789940972648223, 3.1443339071167298, 1.9618058216347087, 1.9549625414693068, 7.246930883084907, 4.222296873620253, 3.9483654443785827, 3.7367875361068954]","12_lag_glomaSSTjfm, 7_lag_nhTSjfm, 7_lag_8_median_mhfATL45, 16_lag_shSICsep, 7_lag_11_median_ormenSSTjfm, 15_lag_traBS, 7_lag_15_median_ensoSSTjfm, 7_lag_16_median_traIFC, 9_lag_traIT, 15_lag_amo2, 12_lag_traDP, 7_lag_traCA, 14_lag_cetTSjfm, 7_lag_cetTSjfm, 7_lag_15_median_ismPRjja, 11_lag_amo2, 8_lag_stratZ50ndj02, 13_lag_shTSjfm, 7_lag_9_median_traWP, 13_lag_glTSjfm, 13_lag_AMOCann, 12_lag_amoSSTmjjaso, 7_lag_traFS, 7_lag_11_median_arcTSjfm, 7_lag_11_median_ensoSSTjfm, 7_lag_10_median_mhfATL30, 11_lag_neurTSjfm, 15_lag_alpi, 13_lag_stratZ50ndj04, 7_lag_13_median_traFS_1216_7"
LRforcedPSO,3,30,ormenSSTjfm,picntrl,1069.5,2050.5,0.6,18,8,8,25.08561874693439,-0.05541240307180363,1216,"['9_lag_arcTSjfm', '8_lag_17_median_eurPSLjfm', '15_lag_satlSSTjfm', '14_lag_nppc3SSTjfm', '10_lag_traBO', '8_lag_traEU', '9_lag_amo3', '8_lag_11_median_traFB', '8_lag_13_median_stratZ50ndj02', '8_lag_17_median_mhfIP30', '8_lag_14_median_traDS', '14_lag_stratZ50ndj01', '15_lag_alpi', '11_lag_traIFC', '8_lag_12_median_mhfATL30', '15_lag_tripol2', '8_lag_16_median_atlSICsep', '17_lag_scpPSLjfm', '12_lag_nchinaPRjja', '8_lag_16_median_glTSjfm', '17_lag_nchinaPRjja', '8_lag_shTSjfm', '8_lag_15_median_gyreSSTjfm', '15_lag_traIT', '8_lag_nchinaPRjja', '11_lag_naoPSLjfm', '8_lag_13_median_satlSSTjfm', '8_lag_ismPRjja', '10_lag_scpPSLjfm', '15_lag_ismPRjja']","[2.9862395723674755, 4.070616368114908, 0.513005282020714, 2.0167568683515054, 9.178248424839616, 1.7898281677063181, 6.1692720920446185, 5.96022899134374, 3.7691520674442742, 6.8828108210089685, 5.482113810685901, 0.2502855209586681, 9.306750617313579, 1.1794230773741674, 3.7247134844286522, 7.017125489943517, 6.590498005015341, 3.6679869282721853, 6.698110978566126, 0.4329783299925509, 0.4093642631570624, 0.0059349355435305284, 2.4595973177283508, 4.781147976701239, 5.592537764785918, 0.32410579902735215, 5.526757439891147, 4.807657039870086, 3.230783636900183, 2.4145561759889977]","9_lag_arcTSjfm, 8_lag_17_median_eurPSLjfm, 15_lag_satlSSTjfm, 14_lag_nppc3SSTjfm, 10_lag_traBO, 8_lag_traEU, 9_lag_amo3, 8_lag_11_median_traFB, 8_lag_13_median_stratZ50ndj02, 8_lag_17_median_mhfIP30, 8_lag_14_median_traDS, 14_lag_stratZ50ndj01, 15_lag_alpi, 11_lag_traIFC, 8_lag_12_median_mhfATL30, 15_lag_tripol2, 8_lag_16_median_atlSICsep, 17_lag_scpPSLjfm, 12_lag_nchinaPRjja, 8_lag_16_median_glTSjfm, 17_lag_nchinaPRjja, 8_lag_shTSjfm, 8_lag_15_median_gyreSSTjfm, 15_lag_traIT, 8_lag_nchinaPRjja, 11_lag_naoPSLjfm, 8_lag_13_median_satlSSTjfm, 8_lag_ismPRjja, 10_lag_scpPSLjfm, 15_lag_ismPRjja_1216_8"
LRforcedPSO,4,30,ormenSSTjfm,picntrl,1070.5,2050.5,0.6,19,9,9,21.87420368641695,0.09810755986525585,1216,"['9_lag_17_median_nhSICsep', '9_lag_13_median_naoPSLjfm', '9_lag_18_median_mhfATL30', '11_lag_satlSSTjfm', '15_lag_AMOCann', '9_lag_15_median_traFS', '11_lag_nhSICjfm', '12_lag_wnorPRjfm', '17_lag_naoPSLjfm', '9_lag_17_median_amo2', '9_lag_17_median_traCA', '9_lag_11_median_mhfIP30', '14_lag_mhfATL30', '9_lag_10_median_amo1', '17_lag_samPSLann', '9_lag_ensoSSTjfm', '15_lag_neurTSjfm', '15_lag_nppc2SSTjfm', '9_lag_14_median_traBO', '9_lag_12_median_seurTSjfm', '11_lag_ismPRjja', '9_lag_traFB', '14_lag_arcTSjfm', '9_lag_10_median_eurPSLjfm', '9_lag_10_median_traFS', '9_lag_18_median_stratZ50ndj04', '16_lag_tripol3', '9_lag_13_median_mhfATL30', '15_lag_traMC', '11_lag_traIFC']","[3.868281354146017, 4.266826850914043, 9.981148270097755, 7.665328693707323, 7.436745436423173, 1.0562791166143697, 0.1675093815414499, 1.7697331740640472, 6.454653933233994, 6.942414007470877, 0.11489036624561777, 0.12591109045902016, 7.869488634647935, 1.3269507188604095, 3.8636525392581174, 0.08080656722730062, 5.441698158709137, 4.403858561424663, 3.0887716130223613, 0.10739066021441346, 3.264702379742916, 6.133015296167564, 8.341089149488942, 1.1886149415548015, 1.7080471689142769, 6.4781989330036005, 2.1611375867822735, 6.902492659162835, 1.4008428073633503, 4.019230945364372]","9_lag_17_median_nhSICsep, 9_lag_13_median_naoPSLjfm, 9_lag_18_median_mhfATL30, 11_lag_satlSSTjfm, 15_lag_AMOCann, 9_lag_15_median_traFS, 11_lag_nhSICjfm, 12_lag_wnorPRjfm, 17_lag_naoPSLjfm, 9_lag_17_median_amo2, 9_lag_17_median_traCA, 9_lag_11_median_mhfIP30, 14_lag_mhfATL30, 9_lag_10_median_amo1, 17_lag_samPSLann, 9_lag_ensoSSTjfm, 15_lag_neurTSjfm, 15_lag_nppc2SSTjfm, 9_lag_14_median_traBO, 9_lag_12_median_seurTSjfm, 11_lag_ismPRjja, 9_lag_traFB, 14_lag_arcTSjfm, 9_lag_10_median_eurPSLjfm, 9_lag_10_median_traFS, 9_lag_18_median_stratZ50ndj04, 16_lag_tripol3, 9_lag_13_median_mhfATL30, 15_lag_traMC, 11_lag_traIFC_1216_9"
LRforcedPSO,5,30,ormenSSTjfm,picntrl,1071.5,2050.5,0.6,20,10,10,22.889316144679217,-0.0274644145825372,1216,"['11_lag_nhSICjfm', '10_lag_17_median_tripol3', '12_lag_AMOCann', '18_lag_ormenSSTjfm', '10_lag_14_median_scpPSLjfm', '10_lag_18_median_amoSSTmjjaso', '10_lag_12_median_satlSSTjfm', '10_lag_traTLS', '10_lag_19_median_tripol3', '16_lag_traIFC', '10_lag_19_median_traEU', '10_lag_15_median_naoPSLjfm', '10_lag_19_median_ensoSSTjfm', '13_lag_stratZ50ndj02', '10_lag_19_median_gyreSSTjfm', '19_lag_traIT', '10_lag_14_median_traFS', '10_lag_16_median_traDP', '10_lag_tripol3', '18_lag_eapPSLjfm', '10_lag_18_median_eapPSLjfm', '18_lag_yrvPRjja', '19_lag_eapPSLjfm', '10_lag_13_median_glomaSSTjfm', '13_lag_shSICsep', '10_lag_18_median_labSSTjfm', '19_lag_traMC', '12_lag_traDP', '10_lag_17_median_atlSICjfm', '10_lag_glomaSSTjfm']","[1.3576629271247764, 3.888077927810847, 0.8725817521788635, 0.19857970160744465, 1.4608977786701196, 2.34779583559596, 0.018260765705216286, 0.40899604084262364, 0.6270868348116831, 4.564900135123169, 7.786455038907871, 6.324925088892912, 3.295979727153558, 5.694610105676944, 8.59360891900884, 2.383825072903769, 1.746723836691002, 1.1048297453812772, 0.8448980057015909, 4.2067323913467884, 3.202382041732381, 6.696103458500815, 0.5572933062144614, 8.040663478607947, 0.012745620739213592, 5.788087147948707, 7.494438052458062, 2.880669776209799, 4.005251717507004, 7.195425301837716]","11_lag_nhSICjfm, 10_lag_17_median_tripol3, 12_lag_AMOCann, 18_lag_ormenSSTjfm, 10_lag_14_median_scpPSLjfm, 10_lag_18_median_amoSSTmjjaso, 10_lag_12_median_satlSSTjfm, 10_lag_traTLS, 10_lag_19_median_tripol3, 16_lag_traIFC, 10_lag_19_median_traEU, 10_lag_15_median_naoPSLjfm, 10_lag_19_median_ensoSSTjfm, 13_lag_stratZ50ndj02, 10_lag_19_median_gyreSSTjfm, 19_lag_traIT, 10_lag_14_median_traFS, 10_lag_16_median_traDP, 10_lag_tripol3, 18_lag_eapPSLjfm, 10_lag_18_median_eapPSLjfm, 18_lag_yrvPRjja, 19_lag_eapPSLjfm, 10_lag_13_median_glomaSSTjfm, 13_lag_shSICsep, 10_lag_18_median_labSSTjfm, 19_lag_traMC, 12_lag_traDP, 10_lag_17_median_atlSICjfm, 10_lag_glomaSSTjfm_1216_10"
LRforcedPSO,6,30,ormenSSTjfm,picntrl,1072.5,2050.5,0.6,21,11,11,23.892683104811066,-0.017637729808529595,1216,"['17_lag_naoPSLjfm', '16_lag_tripol2', '13_lag_traDP', '20_lag_shTSjfm', '13_lag_traWP', '11_lag_19_median_traBS', '13_lag_amo1', '11_lag_13_median_tripol1', '11_lag_19_median_traTLS', '15_lag_scpPSLjfm', '11_lag_14_median_ginwSSTjfm', '18_lag_traCA', '19_lag_traFSC', '17_lag_pdoSSTjfm', '11_lag_shSICsep', '18_lag_tripol3', '11_lag_20_median_nhSICjfm', '13_lag_nhSICsep', '11_lag_19_median_alpi', '16_lag_nhSICsep', '20_lag_yrvPRjja', '11_lag_20_median_mhfATL60', '11_lag_16_median_atlSICsep', '11_lag_16_median_nchinaPRjja', '11_lag_16_median_cetTSjfm', '11_lag_traEC', '11_lag_18_median_traIT', '15_lag_mhfIP30', '11_lag_20_median_AMOCann', '11_lag_17_median_naoPSLjfm']","[0.6498197110590809, 8.47022921500032, 7.420155573590819, 8.221172609050738, 7.119265283689593, 1.4425428177601685, 8.709407780460207, 1.0688343720612323, 1.7551367201770933, 2.216435785643057, 1.5234194770536256, 2.8970991437586484, 1.5863652828215464, 0.09340293307685421, 4.638096760223038, 1.8928896053888842, 6.982886018303041, 4.637554309906056, 4.6512322167882125, 4.974750213723752, 2.1828750529902763, 7.660408686740238, 2.0404356002660293, 0.6754088213465455, 8.404274157872617, 3.7574272495109984, 3.4338984745947503, 2.7936640734903495, 2.5725742922954993, 2.192702244384499]","17_lag_naoPSLjfm, 16_lag_tripol2, 13_lag_traDP, 20_lag_shTSjfm, 13_lag_traWP, 11_lag_19_median_traBS, 13_lag_amo1, 11_lag_13_median_tripol1, 11_lag_19_median_traTLS, 15_lag_scpPSLjfm, 11_lag_14_median_ginwSSTjfm, 18_lag_traCA, 19_lag_traFSC, 17_lag_pdoSSTjfm, 11_lag_shSICsep, 18_lag_tripol3, 11_lag_20_median_nhSICjfm, 13_lag_nhSICsep, 11_lag_19_median_alpi, 16_lag_nhSICsep, 20_lag_yrvPRjja, 11_lag_20_median_mhfATL60, 11_lag_16_median_atlSICsep, 11_lag_16_median_nchinaPRjja, 11_lag_16_median_cetTSjfm, 11_lag_traEC, 11_lag_18_median_traIT, 15_lag_mhfIP30, 11_lag_20_median_AMOCann, 11_lag_17_median_naoPSLjfm_1216_11"
LRforcedPSO,7,30,ormenSSTjfm,picntrl,1073.5,2050.5,0.6,22,12,12,19.964657416252265,0.004856722822722315,1216,"['12_lag_17_median_amo3', '12_lag_18_median_traMC', '16_lag_shSICmar', '12_lag_16_median_tripol1', '17_lag_mhfATL30', '12_lag_21_median_tripol2', '20_lag_shTSjfm', '16_lag_mhfATL45', '20_lag_alpi', '12_lag_20_median_amo2', '12_lag_16_median_amo2', '20_lag_wnorPRjfm', '12_lag_18_median_amo3', '12_lag_18_median_nhSICjfm', '12_lag_13_median_eapPSLjfm', '12_lag_19_median_tripol1', '14_lag_shSICmar', '18_lag_AMOCann', '12_lag_18_median_mhfATL30', '17_lag_traBS', '12_lag_traCA', '12_lag_20_median_arcTSjfm', '20_lag_stratZ50ndj03', '12_lag_20_median_stratZ50ndj04', '12_lag_14_median_traFSC', '19_lag_mhfATL45', '21_lag_glTSjfm', '16_lag_ismPRjja', '12_lag_21_median_mhfATL30', '17_lag_tripol1']","[2.8818682845491406, 6.884701437838023, 3.2933331382093733, 2.6094091350469117, 6.072838511253522, 0.040231991044750615, 3.0296815742448366, 1.0436912015582411, 5.833544885758917, 1.8345417036568072, 4.43476803694177, 5.003493718475223, 9.816598887789915, 3.3199052855080815, 4.760058823401925, 3.3725284660121897, 0.18511465249506465, 8.358751032578155, 0.07141734352760665, 2.3926745490551227, 4.0372762340849615, 4.653638519242083, 3.53501633745174, 0.43840254332845063, 2.6889503032837965, 0.5212245765119778, 1.9833489745784085, 5.211626342368323, 1.1149013217461263, 0.8645679101474251]","12_lag_17_median_amo3, 12_lag_18_median_traMC, 16_lag_shSICmar, 12_lag_16_median_tripol1, 17_lag_mhfATL30, 12_lag_21_median_tripol2, 20_lag_shTSjfm, 16_lag_mhfATL45, 20_lag_alpi, 12_lag_20_median_amo2, 12_lag_16_median_amo2, 20_lag_wnorPRjfm, 12_lag_18_median_amo3, 12_lag_18_median_nhSICjfm, 12_lag_13_median_eapPSLjfm, 12_lag_19_median_tripol1, 14_lag_shSICmar, 18_lag_AMOCann, 12_lag_18_median_mhfATL30, 17_lag_traBS, 12_lag_traCA, 12_lag_20_median_arcTSjfm, 20_lag_stratZ50ndj03, 12_lag_20_median_stratZ50ndj04, 12_lag_14_median_traFSC, 19_lag_mhfATL45, 21_lag_glTSjfm, 16_lag_ismPRjja, 12_lag_21_median_mhfATL30, 17_lag_tripol1_1216_12"
LRforcedPSO,8,30,ormenSSTjfm,picntrl,1074.5,2050.5,0.6,23,13,13,22.01608694645653,-0.027896361088351494,1216,"['13_lag_16_median_naoPSLjfm', '22_lag_traFSC', '13_lag_19_median_ginwSSTjfm', '16_lag_shSICsep', '13_lag_22_median_ginwSSTjfm', '13_lag_14_median_nchinaPRjja', '13_lag_20_median_traFSC', '13_lag_17_median_mhfATL30', '13_lag_18_median_amo1', '13_lag_20_median_traIT', '13_lag_21_median_ormenSSTjfm', '13_lag_17_median_yrvPRjja', '13_lag_14_median_nppc3SSTjfm', '20_lag_traTLS', '13_lag_17_median_traIT', '22_lag_arcTSjfm', '13_lag_14_median_labSSTjfm', '22_lag_traFB', '13_lag_18_median_ginwSSTjfm', '19_lag_pdoSSTjfm', '13_lag_19_median_glomaSSTjfm', '21_lag_nhSICsep', '13_lag_wnorPRjfm', '16_lag_satlSSTjfm', '13_lag_19_median_ismPRjja', '13_lag_15_median_traIFC', '16_lag_shTSjfm', '13_lag_17_median_ormenSSTjfm', '13_lag_22_median_traEU', '17_lag_mhfIP30']","[7.699164025780744, 5.837052082005529, 3.2152902892293618, 9.770986306826828, 5.030118701386659, 4.849265083285573, 3.7726708690068644, 0.0642243438100305, 5.072715228625091, 0.8867240025729544, 4.7440611054617765, 1.2335036567393303, 2.213191325167596, 6.133056854873907, 5.272151977331456, 3.2769494726044135, 4.2147017291936315, 1.6931542385096865, 5.644272584663101, 3.167313043846482, 7.676058094560632, 5.063182955310419, 6.76235048400612, 3.681857189551769, 4.3025719247393255, 6.931217041772104, 2.8212765324640525, 3.7603807209525826, 2.9646532055143897, 6.010851295701515]","13_lag_16_median_naoPSLjfm, 22_lag_traFSC, 13_lag_19_median_ginwSSTjfm, 16_lag_shSICsep, 13_lag_22_median_ginwSSTjfm, 13_lag_14_median_nchinaPRjja, 13_lag_20_median_traFSC, 13_lag_17_median_mhfATL30, 13_lag_18_median_amo1, 13_lag_20_median_traIT, 13_lag_21_median_ormenSSTjfm, 13_lag_17_median_yrvPRjja, 13_lag_14_median_nppc3SSTjfm, 20_lag_traTLS, 13_lag_17_median_traIT, 22_lag_arcTSjfm, 13_lag_14_median_labSSTjfm, 22_lag_traFB, 13_lag_18_median_ginwSSTjfm, 19_lag_pdoSSTjfm, 13_lag_19_median_glomaSSTjfm, 21_lag_nhSICsep, 13_lag_wnorPRjfm, 16_lag_satlSSTjfm, 13_lag_19_median_ismPRjja, 13_lag_15_median_traIFC, 16_lag_shTSjfm, 13_lag_17_median_ormenSSTjfm, 13_lag_22_median_traEU, 17_lag_mhfIP30_1216_13"
LRforcedPSO,9,30,ormenSSTjfm,picntrl,1075.5,2050.5,0.6,24,14,14,23.955451197348918,-0.05357366479802111,1216,"['23_lag_amo1', '21_lag_glTSjfm', '20_lag_nppc3SSTjfm', '14_lag_15_median_traIT', '21_lag_traEU', '14_lag_20_median_stratZ50ndj03', '23_lag_traIFC', '20_lag_pdoSSTjfm', '18_lag_amo1', '14_lag_16_median_scpPSLjfm', '14_lag_15_median_atlSICjfm', '14_lag_23_median_traEC', '14_lag_21_median_ensoSSTjfm', '18_lag_pdoSSTjfm', '14_lag_19_median_traBS', '14_lag_21_median_traFS', '16_lag_mhfATL60', '18_lag_traBS', '20_lag_traIT', '22_lag_shSICmar', '23_lag_labSSTjfm', '14_lag_wnorPRjfm', '14_lag_22_median_traBO', '19_lag_atlSICsep', '14_lag_19_median_traFS', '14_lag_23_median_atlSICjfm', '21_lag_mhfATL30', '14_lag_18_median_atlSICjfm', '18_lag_ensoSSTjfm', '14_lag_18_median_traWP']","[2.6957224239802873, 8.508294288680382, 0.04194736474858196, 4.891996770218288, 1.3768835981679004, 5.264146252140392, 3.1712233417549953, 7.81124167724875, 1.9504474234810907, 8.471194158143598, 5.162007003285055, 6.47024938100115, 8.076825099626937, 1.612974560567892, 2.1324795140427337, 1.9627722516092643, 1.5798237260061896, 3.6419647980330225, 2.1301645105300837, 7.936072796867833, 6.72786604108267, 0.23382852354361106, 3.8910100890240473, 4.023580142602697, 5.361589080240298, 2.9150219641703714, 1.3639616914335697, 8.06796999660994, 0.885654240290803, 6.9447587223020015]","23_lag_amo1, 21_lag_glTSjfm, 20_lag_nppc3SSTjfm, 14_lag_15_median_traIT, 21_lag_traEU, 14_lag_20_median_stratZ50ndj03, 23_lag_traIFC, 20_lag_pdoSSTjfm, 18_lag_amo1, 14_lag_16_median_scpPSLjfm, 14_lag_15_median_atlSICjfm, 14_lag_23_median_traEC, 14_lag_21_median_ensoSSTjfm, 18_lag_pdoSSTjfm, 14_lag_19_median_traBS, 14_lag_21_median_traFS, 16_lag_mhfATL60, 18_lag_traBS, 20_lag_traIT, 22_lag_shSICmar, 23_lag_labSSTjfm, 14_lag_wnorPRjfm, 14_lag_22_median_traBO, 19_lag_atlSICsep, 14_lag_19_median_traFS, 14_lag_23_median_atlSICjfm, 21_lag_mhfATL30, 14_lag_18_median_atlSICjfm, 18_lag_ensoSSTjfm, 14_lag_18_median_traWP_1216_14"
