model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,pdoSSTjfm,picntrl,1514.5,2050.5,0.4,15,1,1,16.633597445782886,-0.08250992606647718,1728,"['8_lag_cetTSjfm', '1_lag_5_median_traEC', '1_lag_7_median_nhSICjfm', '8_lag_shTSjfm', '1_lag_9_median_labSSTjfm', '1_lag_7_median_arcTSjfm']","[2.1901125600248417, 2.1901441737803817, 2.190101847568828, 2.1900733914832813, 2.9200978342930393, 2.198323295421998]","8_lag_cetTSjfm, 1_lag_5_median_traEC, 1_lag_7_median_nhSICjfm, 8_lag_shTSjfm, 1_lag_9_median_labSSTjfm, 1_lag_7_median_arcTSjfm_1728_1"
LRforcedPSO,1,6,pdoSSTjfm,picntrl,1515.5,2050.5,0.4,16,1,1,18.576303863597527,-0.12493624843008684,1856,"['10_lag_tripol2', '10_lag_shSICmar', '11_lag_stratZ50ndj02', '1_lag_8_median_amo3', '11_lag_nhSICsep', '12_lag_nppc2SSTjfm']","[1.6954372069944075, 4.730381953662466, 0.16210163899293661, 4.810275060242759, 0.4175604823041148, 6.089087928434608]","10_lag_tripol2, 10_lag_shSICmar, 11_lag_stratZ50ndj02, 1_lag_8_median_amo3, 11_lag_nhSICsep, 12_lag_nppc2SSTjfm_1856_1"
LRforcedPSO,2,6,pdoSSTjfm,picntrl,1516.5,2050.5,0.4,17,1,1,16.668677354504382,-0.08580325729868789,1984,"['10_lag_naoPSLjfm', '1_lag_12_median_eapPSLjfm', '1_lag_6_median_shSICmar', '9_lag_glomaSSTjfm', '1_lag_6_median_traBO', '1_lag_12_median_ginwSSTjfm']","[1.9233941934496492, 1.450503041848659, 4.6967669670079015, 1.8015804870331067, 1.5517853158344366, 0.4545315361887088]","10_lag_naoPSLjfm, 1_lag_12_median_eapPSLjfm, 1_lag_6_median_shSICmar, 9_lag_glomaSSTjfm, 1_lag_6_median_traBO, 1_lag_12_median_ginwSSTjfm_1984_1"
LRforcedPSO,3,6,pdoSSTjfm,picntrl,1517.5,2050.5,0.4,18,1,1,15.901680584540392,-0.016441453387270606,2112,"['1_lag_15_median_gyreSSTjfm', '5_lag_shSICsep', '13_lag_traDS', '14_lag_eurPSLjfm', '12_lag_glTSjfm', '13_lag_traCA']","[0.3243892127100949, 1.667548161917562, 1.1504729894276409, 1.5703557229366165, 0.7617134547514546, 0.560390058565055]","1_lag_15_median_gyreSSTjfm, 5_lag_shSICsep, 13_lag_traDS, 14_lag_eurPSLjfm, 12_lag_glTSjfm, 13_lag_traCA_2112_1"
LRforcedPSO,4,6,pdoSSTjfm,picntrl,1518.5,2050.5,0.4,19,1,1,16.37606857928757,0.026082770488090972,2240,"['17_lag_traMC', '7_lag_gyreSSTjfm', '3_lag_ismPRjja', '1_lag_3_median_cetTSjfm', '1_lag_12_median_shTSjfm', '1_lag_7_median_nppc2SSTjfm']","[1.852121538968473, 2.4672143603745904, 1.9069645371637767, 1.8766226139633986, 2.2806789669983685, 2.2932603196618477]","17_lag_traMC, 7_lag_gyreSSTjfm, 3_lag_ismPRjja, 1_lag_3_median_cetTSjfm, 1_lag_12_median_shTSjfm, 1_lag_7_median_nppc2SSTjfm_2240_1"
LRforcedPSO,5,6,pdoSSTjfm,picntrl,1519.5,2050.5,0.4,20,1,1,16.709586740797874,-0.07678874447476375,2368,"['1_lag_4_median_shSICmar', '1_lag_12_median_traCA', '12_lag_naoPSLjfm', '1_lag_13_median_scpPSLjfm', '9_lag_amoSSTmjjaso', '4_lag_wnorPRjfm']","[3.5222401819148033, 1.363136074376989, 0.3418617639851931, 0.7965515967972703, 0.10811782873515874, 2.1999164478018844]","1_lag_4_median_shSICmar, 1_lag_12_median_traCA, 12_lag_naoPSLjfm, 1_lag_13_median_scpPSLjfm, 9_lag_amoSSTmjjaso, 4_lag_wnorPRjfm_2368_1"
LRforcedPSO,6,6,pdoSSTjfm,picntrl,1520.5,2050.5,0.4,21,1,1,16.601269395203726,-0.13425140891018894,2496,"['8_lag_traMC', '1_lag_nchinaPRjja', '1_lag_7_median_traFSC', '13_lag_amo2', '1_lag_19_median_alpi', '4_lag_glTSjfm']","[1.2942539025141357, 1.2025982622697988, 0.9321538238245601, 2.2206945000298317, 2.716334056262353, 2.494011802224314]","8_lag_traMC, 1_lag_nchinaPRjja, 1_lag_7_median_traFSC, 13_lag_amo2, 1_lag_19_median_alpi, 4_lag_glTSjfm_2496_1"
LRforcedPSO,7,6,pdoSSTjfm,picntrl,1521.5,2050.5,0.4,22,2,2,17.22836145841938,0.036130277746212455,2496,"['2_lag_shSICsep', '20_lag_traCA', '2_lag_5_median_neurTSjfm', '2_lag_7_median_mhfATL30', '2_lag_14_median_traEC', '4_lag_amoSSTmjjaso']","[1.9197692283657926, 5.9202332235017, 3.1083467580025292, 1.2580334560246378, 5.171142277008634, 2.0927839811818956]","2_lag_shSICsep, 20_lag_traCA, 2_lag_5_median_neurTSjfm, 2_lag_7_median_mhfATL30, 2_lag_14_median_traEC, 4_lag_amoSSTmjjaso_2496_2"
LRforcedPSO,8,6,pdoSSTjfm,picntrl,1522.5,2050.5,0.4,23,3,3,17.515133368666884,-0.12120866548984836,2496,"['3_lag_16_median_atlSICsep', '3_lag_9_median_eapPSLjfm', '4_lag_eurPSLjfm', '4_lag_nhSICjfm', '20_lag_mhfATL60', '5_lag_traDS']","[1.1670554922426604, 4.621835220436199, 0.6242300255546755, 6.12341583884373, 0.3927250877367392, 0.3965502744178693]","3_lag_16_median_atlSICsep, 3_lag_9_median_eapPSLjfm, 4_lag_eurPSLjfm, 4_lag_nhSICjfm, 20_lag_mhfATL60, 5_lag_traDS_2496_3"
LRforcedPSO,9,6,pdoSSTjfm,picntrl,1523.5,2050.5,0.4,24,4,4,18.33433858297539,-0.13910655955871232,2496,"['20_lag_traIFC', '4_lag_23_median_shSICsep', '4_lag_10_median_glTSjfm', '15_lag_amo2', '4_lag_19_median_atlSICsep', '4_lag_19_median_satlSSTjfm']","[2.6722571659826797, 2.6733608294837277, 3.563007068099492, 2.672329076645878, 2.6723023303942117, 3.562990902282211]","20_lag_traIFC, 4_lag_23_median_shSICsep, 4_lag_10_median_glTSjfm, 15_lag_amo2, 4_lag_19_median_atlSICsep, 4_lag_19_median_satlSSTjfm_2496_4"
