model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,samPSLann,picntrl,1066.5,2050.5,0.8,15,1,1,14.69528047234802,-0.006108846935473141,1728,"['11_lag_shSICsep', '1_lag_4_median_shSICsep', '10_lag_nppc2SSTjfm', '1_lag_4_median_satlSSTjfm', '1_lag_8_median_cetTSjfm', '13_lag_gyreSSTjfm', '13_lag_amo1', '8_lag_traIT', '1_lag_6_median_eapPSLjfm', '8_lag_traTLS', '1_lag_12_median_scpPSLjfm', '1_lag_10_median_neurTSjfm', '1_lag_10_median_traMC', '1_lag_9_median_stratZ50ndj01', '11_lag_nhSICjfm', '1_lag_8_median_ginwSSTjfm', '13_lag_nhSICjfm', '1_lag_12_median_alpi', '9_lag_seurTSjfm', '11_lag_ormenSSTjfm', '1_lag_4_median_traBS', '4_lag_glomaSSTjfm', '1_lag_5_median_tripol1', '12_lag_nhSICjfm', '10_lag_shSICsep', '14_lag_traEC', '1_lag_10_median_scpPSLjfm', '1_lag_10_median_stratZ50ndj01', '11_lag_pdoSSTjfm', '6_lag_mhfATL60']","[0.04923334682248366, 0.06558794283559931, 0.009208845999565944, 0.012459591856123374, 0.06380465862376283, 0.05501070849272633, 0.038167256198974514, 0.026169241445836357, 0.051535417316457006, 0.043648489740985306, 0.07795496686329477, 0.1736368837936089, 0.07262793704004425, 0.32728909959130553, 0.019678806198312273, 0.06677715003144234, 0.06308385827564635, 0.06913333317552593, 7.959881037703843e-05, 0.016243290799105983, 0.01599799884144059, 0.00264420890398152, 0.0077132092670160884, 0.06052018632133822, 0.0035378569816312544, 0.029973815390247342, 0.28678724160499103, 0.20446638418391033, 0.1025952886575691, 0.1309300283496667]","11_lag_shSICsep, 1_lag_4_median_shSICsep, 10_lag_nppc2SSTjfm, 1_lag_4_median_satlSSTjfm, 1_lag_8_median_cetTSjfm, 13_lag_gyreSSTjfm, 13_lag_amo1, 8_lag_traIT, 1_lag_6_median_eapPSLjfm, 8_lag_traTLS, 1_lag_12_median_scpPSLjfm, 1_lag_10_median_neurTSjfm, 1_lag_10_median_traMC, 1_lag_9_median_stratZ50ndj01, 11_lag_nhSICjfm, 1_lag_8_median_ginwSSTjfm, 13_lag_nhSICjfm, 1_lag_12_median_alpi, 9_lag_seurTSjfm, 11_lag_ormenSSTjfm, 1_lag_4_median_traBS, 4_lag_glomaSSTjfm, 1_lag_5_median_tripol1, 12_lag_nhSICjfm, 10_lag_shSICsep, 14_lag_traEC, 1_lag_10_median_scpPSLjfm, 1_lag_10_median_stratZ50ndj01, 11_lag_pdoSSTjfm, 6_lag_mhfATL60_1728_1"
LinearRegression,1,30,samPSLann,picntrl,1067.5,2050.5,0.8,16,1,1,14.491589131224655,0.09931907465357238,1856,"['1_lag_4_median_amoSSTmjjaso', '7_lag_amoSSTmjjaso', '13_lag_glomaSSTjfm', '1_lag_10_median_stratZ50ndj01', '1_lag_8_median_ginwSSTjfm', '4_lag_shTSjfm', '14_lag_glomaSSTjfm', '8_lag_traIT', '13_lag_cetTSjfm', '6_lag_wnorPRjfm', '1_lag_4_median_alpi', '15_lag_traDP', '1_lag_10_median_traMC', '1_lag_10_median_amo2', '4_lag_stratZ50ndj04', '14_lag_traEC', '5_lag_pdoSSTjfm', '1_lag_10_median_neurTSjfm', '1_lag_4_median_eapPSLjfm', '7_lag_cetTSjfm', '4_lag_cetTSjfm', '13_lag_ensoSSTjfm', '1_lag_4_median_traBS', '8_lag_traTLS', '15_lag_stratZ50ndj04', '12_lag_nhSICjfm', '9_lag_seurTSjfm', '13_lag_nhSICjfm', '11_lag_pdoSSTjfm', '6_lag_mhfATL60']","[0.04477128160853282, 0.060241536021892264, 0.07017251264276739, 0.11383379695646977, 0.07090682892689383, 0.08453937664809394, 0.0006736853430890992, 0.0064179678899975645, 0.03363244754104317, 0.04220304839868219, 0.043657969626372736, 0.0931306646880833, 0.01013539474649331, 0.10800980302765083, 0.06743984803589426, 0.016438332402524902, 0.010714096788471242, 0.1955954041656932, 0.07211149284701004, 0.02773041223049865, 0.030433481851331223, 0.07583238416743741, 0.014374374253609276, 0.0393106174653874, 0.0032834216960578038, 0.05515738739853772, 0.005471639005756177, 0.06724415484538918, 0.12272941013964325, 0.11902904747677895]","1_lag_4_median_amoSSTmjjaso, 7_lag_amoSSTmjjaso, 13_lag_glomaSSTjfm, 1_lag_10_median_stratZ50ndj01, 1_lag_8_median_ginwSSTjfm, 4_lag_shTSjfm, 14_lag_glomaSSTjfm, 8_lag_traIT, 13_lag_cetTSjfm, 6_lag_wnorPRjfm, 1_lag_4_median_alpi, 15_lag_traDP, 1_lag_10_median_traMC, 1_lag_10_median_amo2, 4_lag_stratZ50ndj04, 14_lag_traEC, 5_lag_pdoSSTjfm, 1_lag_10_median_neurTSjfm, 1_lag_4_median_eapPSLjfm, 7_lag_cetTSjfm, 4_lag_cetTSjfm, 13_lag_ensoSSTjfm, 1_lag_4_median_traBS, 8_lag_traTLS, 15_lag_stratZ50ndj04, 12_lag_nhSICjfm, 9_lag_seurTSjfm, 13_lag_nhSICjfm, 11_lag_pdoSSTjfm, 6_lag_mhfATL60_1856_1"
LinearRegression,2,30,samPSLann,picntrl,1068.5,2050.5,0.8,17,1,1,14.296794765036978,0.15491737300663358,1984,"['10_lag_tripol1', '4_lag_shTSjfm', '1_lag_cetTSjfm', '7_lag_amoSSTmjjaso', '1_lag_10_median_stratZ50ndj01', '6_lag_ginwSSTjfm', '7_lag_ismPRjja', '9_lag_traFB', '1_lag_4_median_traFB', '1_lag_10_median_neurTSjfm', '10_lag_traDP', '15_lag_mhfATL30', '16_lag_ormenSSTjfm', '1_lag_6_median_amoSSTmjjaso', '15_lag_stratZ50ndj04', '6_lag_wnorPRjfm', '13_lag_shSICmar', '12_lag_nhSICjfm', '1_lag_4_median_alpi', '10_lag_nppc2SSTjfm', '1_lag_4_median_traBS', '8_lag_traIT', '13_lag_glomaSSTjfm', '15_lag_amo2', '7_lag_cetTSjfm', '6_lag_mhfATL60', '8_lag_traTLS', '13_lag_nhSICjfm', '9_lag_seurTSjfm', '11_lag_pdoSSTjfm']","[0.05102528147519092, 0.060519092984809855, 0.05600338715123504, 0.07017869623929271, 0.09136871424163992, 0.10857022386662495, 0.08281826984973845, 0.0032260589378148665, 0.006068685985694912, 0.1681929486733435, 0.010556353675145822, 0.08673494696513093, 0.015462952036145498, 0.018851994441865548, 0.005030054028735593, 0.035250170284767166, 0.07766095371222477, 0.057660593201849665, 0.04410593182640033, 0.01136871346984467, 0.013186135135778, 0.0039786659597360625, 0.02875189188548066, 0.003828187910458592, 0.03107181571022884, 0.1142651795374588, 0.02485316138166908, 0.06833235696603215, 0.0008168888061605246, 0.1400839276953291]","10_lag_tripol1, 4_lag_shTSjfm, 1_lag_cetTSjfm, 7_lag_amoSSTmjjaso, 1_lag_10_median_stratZ50ndj01, 6_lag_ginwSSTjfm, 7_lag_ismPRjja, 9_lag_traFB, 1_lag_4_median_traFB, 1_lag_10_median_neurTSjfm, 10_lag_traDP, 15_lag_mhfATL30, 16_lag_ormenSSTjfm, 1_lag_6_median_amoSSTmjjaso, 15_lag_stratZ50ndj04, 6_lag_wnorPRjfm, 13_lag_shSICmar, 12_lag_nhSICjfm, 1_lag_4_median_alpi, 10_lag_nppc2SSTjfm, 1_lag_4_median_traBS, 8_lag_traIT, 13_lag_glomaSSTjfm, 15_lag_amo2, 7_lag_cetTSjfm, 6_lag_mhfATL60, 8_lag_traTLS, 13_lag_nhSICjfm, 9_lag_seurTSjfm, 11_lag_pdoSSTjfm_1984_1"
LinearRegression,3,30,samPSLann,picntrl,1069.5,2050.5,0.8,18,1,1,14.52079183388084,0.10876922484337358,2112,"['13_lag_cetTSjfm', '1_lag_stratZ50ndj03', '14_lag_mhfIP30', '8_lag_traIT', '7_lag_nppc3SSTjfm', '10_lag_nppc2SSTjfm', '1_lag_stratZ50ndj04', '9_lag_ismPRjja', '12_lag_traTLS', '1_lag_4_median_alpi', '4_lag_labSSTjfm', '15_lag_stratZ50ndj04', '1_lag_4_median_traBS', '12_lag_scpPSLjfm', '10_lag_tripol1', '10_lag_traDP', '1_lag_4_median_eapPSLjfm', '14_lag_amo3', '10_lag_traWP', '15_lag_mhfATL30', '7_lag_cetTSjfm', '1_lag_mhfIP30', '8_lag_traTLS', '15_lag_amo2', '13_lag_nhSICjfm', '12_lag_nhSICjfm', '11_lag_pdoSSTjfm', '1_lag_cetTSjfm', '6_lag_mhfATL60', '9_lag_seurTSjfm']","[0.043665657963056013, 0.04296511740775917, 0.06408646025291416, 0.025232963315376125, 0.044164773751346545, 0.002687332151874986, 0.1079030578238692, 0.035975693325378144, 0.005340203338111735, 0.022415308085786425, 0.011055581213616782, 0.01454061935241796, 0.03071698632797731, 0.03208258756797162, 0.06705784289540755, 0.016331378675952534, 0.0894984524670116, 0.0687468519261255, 0.06019818342831311, 0.0799364391993529, 0.061783507632769935, 0.0978618385339571, 0.050794979576019965, 0.005696857957710126, 0.05099791256362915, 0.06433411900830657, 0.14761576554676498, 0.07777653827390076, 0.09659973205612118, 0.010000039794250461]","13_lag_cetTSjfm, 1_lag_stratZ50ndj03, 14_lag_mhfIP30, 8_lag_traIT, 7_lag_nppc3SSTjfm, 10_lag_nppc2SSTjfm, 1_lag_stratZ50ndj04, 9_lag_ismPRjja, 12_lag_traTLS, 1_lag_4_median_alpi, 4_lag_labSSTjfm, 15_lag_stratZ50ndj04, 1_lag_4_median_traBS, 12_lag_scpPSLjfm, 10_lag_tripol1, 10_lag_traDP, 1_lag_4_median_eapPSLjfm, 14_lag_amo3, 10_lag_traWP, 15_lag_mhfATL30, 7_lag_cetTSjfm, 1_lag_mhfIP30, 8_lag_traTLS, 15_lag_amo2, 13_lag_nhSICjfm, 12_lag_nhSICjfm, 11_lag_pdoSSTjfm, 1_lag_cetTSjfm, 6_lag_mhfATL60, 9_lag_seurTSjfm_2112_1"
LinearRegression,4,30,samPSLann,picntrl,1070.5,2050.5,0.8,19,1,1,14.495037997665921,0.15772998442205183,2240,"['10_lag_nppc2SSTjfm', '14_lag_amo3', '6_lag_stratZ50ndj04', '10_lag_traWP', '18_lag_neurTSjfm', '17_lag_atlSICjfm', '1_lag_stratZ50ndj04', '9_lag_ismPRjja', '1_lag_4_median_traBS', '12_lag_traTLS', '14_lag_mhfIP30', '1_lag_18_median_alpi', '6_lag_traTLS', '7_lag_cetTSjfm', '7_lag_nppc3SSTjfm', '12_lag_scpPSLjfm', '12_lag_stratZ50ndj01', '1_lag_cetTSjfm', '10_lag_traDP', '6_lag_mhfATL60', '1_lag_stratZ50ndj03', '13_lag_nhSICjfm', '1_lag_4_median_eapPSLjfm', '6_lag_ginwSSTjfm', '11_lag_pdoSSTjfm', '1_lag_mhfIP30', '15_lag_amo2', '12_lag_nhSICjfm', '15_lag_mhfATL30', '9_lag_seurTSjfm']","[0.013290627944178741, 0.05723106211238172, 0.057610633154543775, 0.06432967745536602, 0.018141043669520802, 0.027547607676096344, 0.1232443266215326, 0.028699831964560423, 0.02775919672674102, 0.006730853763961036, 0.06267043796490433, 0.08535333182315298, 0.02642073132632422, 0.06252555941242331, 0.05016954888827915, 0.03272357686574935, 0.07497511706521376, 0.08523402294178128, 0.017752952650029085, 0.11636889172427496, 0.0376166058199426, 0.08110250779405763, 0.07748180319229404, 0.13151870182446757, 0.09535845631194675, 0.1115648182782669, 0.003985705509193923, 0.0705340489224033, 0.09238493461486844, 0.013426154834245087]","10_lag_nppc2SSTjfm, 14_lag_amo3, 6_lag_stratZ50ndj04, 10_lag_traWP, 18_lag_neurTSjfm, 17_lag_atlSICjfm, 1_lag_stratZ50ndj04, 9_lag_ismPRjja, 1_lag_4_median_traBS, 12_lag_traTLS, 14_lag_mhfIP30, 1_lag_18_median_alpi, 6_lag_traTLS, 7_lag_cetTSjfm, 7_lag_nppc3SSTjfm, 12_lag_scpPSLjfm, 12_lag_stratZ50ndj01, 1_lag_cetTSjfm, 10_lag_traDP, 6_lag_mhfATL60, 1_lag_stratZ50ndj03, 13_lag_nhSICjfm, 1_lag_4_median_eapPSLjfm, 6_lag_ginwSSTjfm, 11_lag_pdoSSTjfm, 1_lag_mhfIP30, 15_lag_amo2, 12_lag_nhSICjfm, 15_lag_mhfATL30, 9_lag_seurTSjfm_2240_1"
LinearRegression,5,30,samPSLann,picntrl,1071.5,2050.5,0.8,20,1,1,14.516977071889078,0.2025139940267619,2368,"['1_lag_stratZ50ndj04', '6_lag_traTLS', '15_lag_stratZ50ndj04', '1_lag_stratZ50ndj03', '11_lag_mhfIP30', '10_lag_traIT', '14_lag_mhfIP30', '1_lag_4_median_traFB', '7_lag_ismPRjja', '8_lag_traIT', '10_lag_shSICsep', '7_lag_amoSSTmjjaso', '12_lag_stratZ50ndj01', '1_lag_samPSLann', '10_lag_traWP', '8_lag_traTLS', '7_lag_nppc3SSTjfm', '6_lag_ginwSSTjfm', '6_lag_stratZ50ndj04', '7_lag_cetTSjfm', '10_lag_traDP', '19_lag_satlSSTjfm', '1_lag_4_median_eapPSLjfm', '1_lag_mhfIP30', '18_lag_neurTSjfm', '19_lag_amo1', '11_lag_pdoSSTjfm', '15_lag_mhfATL30', '15_lag_amo2', '9_lag_seurTSjfm']","[0.11377307618327169, 0.016807708455166152, 0.011742711988745342, 0.027060641224854708, 0.04794367305167781, 0.04073971950520039, 0.04750381063712407, 0.005695461960851885, 0.08783720284388252, 0.04406458509663959, 0.033615946731113386, 0.08597018199484206, 0.08294527555488691, 0.06948891766099338, 0.07833034779126206, 0.08199132294071217, 0.06841702028245428, 0.11990683562730793, 0.05870017184722956, 0.03373569047175781, 0.021378436440443765, 0.07466740250465198, 0.06302136349176117, 0.13652607724700078, 0.01817586663775132, 0.10325548008447766, 0.09754106577067177, 0.05791860944254151, 0.016164333381793027, 0.0037454009252333165]","1_lag_stratZ50ndj04, 6_lag_traTLS, 15_lag_stratZ50ndj04, 1_lag_stratZ50ndj03, 11_lag_mhfIP30, 10_lag_traIT, 14_lag_mhfIP30, 1_lag_4_median_traFB, 7_lag_ismPRjja, 8_lag_traIT, 10_lag_shSICsep, 7_lag_amoSSTmjjaso, 12_lag_stratZ50ndj01, 1_lag_samPSLann, 10_lag_traWP, 8_lag_traTLS, 7_lag_nppc3SSTjfm, 6_lag_ginwSSTjfm, 6_lag_stratZ50ndj04, 7_lag_cetTSjfm, 10_lag_traDP, 19_lag_satlSSTjfm, 1_lag_4_median_eapPSLjfm, 1_lag_mhfIP30, 18_lag_neurTSjfm, 19_lag_amo1, 11_lag_pdoSSTjfm, 15_lag_mhfATL30, 15_lag_amo2, 9_lag_seurTSjfm_2368_1"
LinearRegression,6,30,samPSLann,picntrl,1072.5,2050.5,0.8,21,1,1,14.555383286320437,0.13337597580534563,2496,"['19_lag_traCA', '1_lag_cetTSjfm', '13_lag_stratZ50ndj04', '11_lag_pdoSSTjfm', '19_lag_shSICsep', '9_lag_samPSLann', '6_lag_traTLS', '7_lag_mhfATL60', '1_lag_4_median_traFB', '11_lag_mhfIP30', '10_lag_traDP', '20_lag_amo1', '14_lag_shSICmar', '20_lag_traIFC', '10_lag_shSICsep', '16_lag_shTSjfm', '1_lag_stratZ50ndj03', '15_lag_amo2', '6_lag_ginwSSTjfm', '15_lag_amo1', '7_lag_cetTSjfm', '10_lag_traIT', '1_lag_stratZ50ndj04', '1_lag_mhfIP30', '9_lag_ismPRjja', '18_lag_neurTSjfm', '9_lag_seurTSjfm', '19_lag_traEU', '15_lag_mhfATL30', '20_lag_shSICsep']","[0.06806421147992615, 0.06492770218389982, 0.014029490795204914, 0.0865197027426206, 0.06763331052236594, 0.05029556658711476, 0.014795435506793665, 0.0004819027187037509, 0.0577462963206021, 0.01265831131596611, 0.012648502605629488, 0.041481529871060414, 0.06199620860338476, 0.11027251424094264, 0.04455261185547113, 0.14039600401407695, 0.01576324244225894, 0.008794092385729604, 0.1088014195916415, 0.07469796475156316, 0.034420117798017326, 0.03920650331063455, 0.09550040796581996, 0.09693942113068917, 0.03168358865570078, 0.017509962889677738, 0.029581589108909442, 0.0775216330325055, 0.060972814466960144, 0.09876627608611797]","19_lag_traCA, 1_lag_cetTSjfm, 13_lag_stratZ50ndj04, 11_lag_pdoSSTjfm, 19_lag_shSICsep, 9_lag_samPSLann, 6_lag_traTLS, 7_lag_mhfATL60, 1_lag_4_median_traFB, 11_lag_mhfIP30, 10_lag_traDP, 20_lag_amo1, 14_lag_shSICmar, 20_lag_traIFC, 10_lag_shSICsep, 16_lag_shTSjfm, 1_lag_stratZ50ndj03, 15_lag_amo2, 6_lag_ginwSSTjfm, 15_lag_amo1, 7_lag_cetTSjfm, 10_lag_traIT, 1_lag_stratZ50ndj04, 1_lag_mhfIP30, 9_lag_ismPRjja, 18_lag_neurTSjfm, 9_lag_seurTSjfm, 19_lag_traEU, 15_lag_mhfATL30, 20_lag_shSICsep_2496_1"
LinearRegression,7,30,samPSLann,picntrl,1073.5,2050.5,0.8,22,2,2,14.731126148844169,0.03213455543250933,2496,"['18_lag_neurTSjfm', '13_lag_stratZ50ndj04', '19_lag_amo1', '20_lag_traBS', '20_lag_nppc3SSTjfm', '17_lag_atlSICsep', '19_lag_traBO', '2_lag_stratZ50ndj03', '2_lag_5_median_eapPSLjfm', '14_lag_shSICmar', '13_lag_nhSICjfm', '14_lag_traWP', '10_lag_traMC', '20_lag_amo1', '7_lag_nppc3SSTjfm', '15_lag_mhfIP30', '16_lag_shTSjfm', '20_lag_amoSSTmjjaso', '8_lag_AMOCann', '21_lag_shSICmar', '19_lag_traCA', '21_lag_traEC', '12_lag_nhSICjfm', '7_lag_mhfATL60', '6_lag_stratZ50ndj04', '10_lag_traDP', '2_lag_5_median_mhfIP30', '19_lag_traEU', '15_lag_mhfATL30', '20_lag_shSICsep']","[0.00036999007836084033, 0.002239617197652255, 0.07106886359033042, 0.09016357586405599, 0.0018146840778709525, 0.11105192182415878, 0.02321437503411854, 0.053851167648858, 0.071957955785871, 0.04753318285408854, 0.06480485281857588, 0.053994283289471666, 0.09385847666229005, 0.003130941017757006, 0.02810573121816581, 0.027877225124787453, 0.17589692233671456, 0.06317001157712454, 0.05190458315516863, 0.03956953545231391, 0.05726942327787491, 0.05636146648218566, 0.002829300160058286, 0.01140248920814093, 0.06966708821738776, 0.01980028203623991, 0.043834858961263705, 0.057139470904695386, 0.06520987215441183, 0.10090986831432575]","18_lag_neurTSjfm, 13_lag_stratZ50ndj04, 19_lag_amo1, 20_lag_traBS, 20_lag_nppc3SSTjfm, 17_lag_atlSICsep, 19_lag_traBO, 2_lag_stratZ50ndj03, 2_lag_5_median_eapPSLjfm, 14_lag_shSICmar, 13_lag_nhSICjfm, 14_lag_traWP, 10_lag_traMC, 20_lag_amo1, 7_lag_nppc3SSTjfm, 15_lag_mhfIP30, 16_lag_shTSjfm, 20_lag_amoSSTmjjaso, 8_lag_AMOCann, 21_lag_shSICmar, 19_lag_traCA, 21_lag_traEC, 12_lag_nhSICjfm, 7_lag_mhfATL60, 6_lag_stratZ50ndj04, 10_lag_traDP, 2_lag_5_median_mhfIP30, 19_lag_traEU, 15_lag_mhfATL30, 20_lag_shSICsep_2496_2"
LinearRegression,8,30,samPSLann,picntrl,1074.5,2050.5,0.8,23,3,3,14.53713428706956,0.0888202546278902,2496,"['19_lag_traCA', '13_lag_traEU', '7_lag_traIFC', '7_lag_nppc3SSTjfm', '14_lag_shSICsep', '18_lag_traMC', '19_lag_traEU', '13_lag_nhSICjfm', '15_lag_mhfIP30', '10_lag_traDP', '20_lag_amo1', '21_lag_traEC', '13_lag_stratZ50ndj04', '6_lag_traBO', '12_lag_traEU', '8_lag_eurPSLjfm', '18_lag_neurTSjfm', '3_lag_ismPRjja', '8_lag_samPSLann', '20_lag_nppc3SSTjfm', '15_lag_mhfATL30', '19_lag_amo1', '7_lag_mhfATL60', '12_lag_nhSICjfm', '6_lag_stratZ50ndj04', '19_lag_shSICsep', '16_lag_shTSjfm', '6_lag_traFS', '22_lag_stratZ50ndj04', '20_lag_shSICsep']","[0.06780843004410246, 0.010891600678958765, 0.07599467490660831, 0.020480660783024556, 0.03443167194146618, 0.03173071756669347, 0.04371749457601549, 0.05717820934100136, 0.0455683288436636, 0.008171719068402528, 0.021373517667299204, 0.04105959521867898, 0.012325727237998256, 0.08032168616051973, 0.11687552835560072, 0.01463834620956975, 0.01055497967425938, 0.07133148522994372, 0.08536686443211328, 0.0029176920608340387, 0.0544777164386966, 0.09427004302905928, 0.07597777508656006, 0.011306565739128555, 0.07102082264837249, 0.06046219059460682, 0.1760491171118974, 0.039668794556306765, 0.01669181930264837, 0.10906610755040881]","19_lag_traCA, 13_lag_traEU, 7_lag_traIFC, 7_lag_nppc3SSTjfm, 14_lag_shSICsep, 18_lag_traMC, 19_lag_traEU, 13_lag_nhSICjfm, 15_lag_mhfIP30, 10_lag_traDP, 20_lag_amo1, 21_lag_traEC, 13_lag_stratZ50ndj04, 6_lag_traBO, 12_lag_traEU, 8_lag_eurPSLjfm, 18_lag_neurTSjfm, 3_lag_ismPRjja, 8_lag_samPSLann, 20_lag_nppc3SSTjfm, 15_lag_mhfATL30, 19_lag_amo1, 7_lag_mhfATL60, 12_lag_nhSICjfm, 6_lag_stratZ50ndj04, 19_lag_shSICsep, 16_lag_shTSjfm, 6_lag_traFS, 22_lag_stratZ50ndj04, 20_lag_shSICsep_2496_3"
LinearRegression,9,30,samPSLann,picntrl,1075.5,2050.5,0.8,24,4,4,14.402715559434606,0.09736620076847098,2496,"['18_lag_traMC', '4_lag_8_median_alpi', '19_lag_shSICsep', '8_lag_glomaSSTjfm', '15_lag_shSICmar', '6_lag_stratZ50ndj04', '17_lag_mhfIP30', '10_lag_cetTSjfm', '10_lag_traMC', '15_lag_amo1', '13_lag_stratZ50ndj04', '14_lag_shSICmar', '21_lag_stratZ50ndj04', '15_lag_mhfATL30', '22_lag_stratZ50ndj04', '8_lag_eurPSLjfm', '18_lag_atlSICsep', '19_lag_traEU', '19_lag_amo1', '23_lag_mhfATL60', '4_lag_ismPRjja', '4_lag_neurTSjfm', '7_lag_traIFC', '23_lag_seurTSjfm', '19_lag_traWP', '10_lag_traEC', '7_lag_mhfATL60', '12_lag_nhSICjfm', '20_lag_shSICsep', '16_lag_shTSjfm']","[0.022170681697230882, 0.03289105896572555, 0.04279067256518523, 0.012382033919769678, 0.06825586792228339, 0.06290993131376359, 0.03675681651350274, 0.0014545820380936912, 0.0825063746232133, 0.07437177788196792, 0.019644178942695347, 0.07918187002951735, 0.07071524890647678, 0.04523499307084471, 0.014550977895020207, 0.038297560697173015, 0.014478984034502932, 0.03682174301326681, 0.08851500422283914, 0.053769327992786636, 0.04639673881420213, 0.03115294032438356, 0.04878933835617699, 0.07213043024614738, 0.035474167915086674, 0.055683496195479104, 0.06792950424159457, 0.015269880204022653, 0.1028808064792545, 0.16491977451031173]","18_lag_traMC, 4_lag_8_median_alpi, 19_lag_shSICsep, 8_lag_glomaSSTjfm, 15_lag_shSICmar, 6_lag_stratZ50ndj04, 17_lag_mhfIP30, 10_lag_cetTSjfm, 10_lag_traMC, 15_lag_amo1, 13_lag_stratZ50ndj04, 14_lag_shSICmar, 21_lag_stratZ50ndj04, 15_lag_mhfATL30, 22_lag_stratZ50ndj04, 8_lag_eurPSLjfm, 18_lag_atlSICsep, 19_lag_traEU, 19_lag_amo1, 23_lag_mhfATL60, 4_lag_ismPRjja, 4_lag_neurTSjfm, 7_lag_traIFC, 23_lag_seurTSjfm, 19_lag_traWP, 10_lag_traEC, 7_lag_mhfATL60, 12_lag_nhSICjfm, 20_lag_shSICsep, 16_lag_shTSjfm_2496_4"
