model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,scpPSLjfm,picntrl,1714.5,2050.5,0.8,15,5,5,11.144982308673534,0.14860798038438133,399,"['5_lag_nhSICjfm', '5_lag_8_median_stratZ50ndj01', '14_lag_stratZ50ndj02', '5_lag_10_median_eurPSLjfm', '14_lag_atlSICjfm', '6_lag_eurPSLjfm', '5_lag_11_median_stratZ50ndj02', '5_lag_14_median_amoSSTmjjaso', '13_lag_shSICmar', '12_lag_stratZ50ndj04']","[0.6560696527512473, 0.5788494311940795, 3.741070929625984, 2.134852637848031, 1.066010926532801, 3.779859689835332, 4.115355707909265, 3.699699778218748, 4.7433072510719825, 0.842990510269086]","5_lag_nhSICjfm, 5_lag_8_median_stratZ50ndj01, 14_lag_stratZ50ndj02, 5_lag_10_median_eurPSLjfm, 14_lag_atlSICjfm, 6_lag_eurPSLjfm, 5_lag_11_median_stratZ50ndj02, 5_lag_14_median_amoSSTmjjaso, 13_lag_shSICmar, 12_lag_stratZ50ndj04_399_5"
LRforcedPSO,1,10,scpPSLjfm,picntrl,1715.5,2050.5,0.8,16,6,6,13.323812448878757,-0.053083510770148404,399,"['15_lag_amoSSTjfm', '6_lag_11_median_scpPSLjfm', '6_lag_stratZ50ndj03', '6_lag_12_median_nppc2SSTjfm', '6_lag_atlSICjfm', '6_lag_11_median_amo2', '6_lag_13_median_naoPSLjfm', '11_lag_scpPSLjfm', '6_lag_eapPSLjfm', '8_lag_amo2']","[0.3572262736488323, 3.610567265817867, 4.96123647176926, 1.3782727228493368, 5.030146772927379, 9.241817472933295, 6.666183509601428, 0.30812020019208397, 1.454305083734992, 2.403695093230665]","15_lag_amoSSTjfm, 6_lag_11_median_scpPSLjfm, 6_lag_stratZ50ndj03, 6_lag_12_median_nppc2SSTjfm, 6_lag_atlSICjfm, 6_lag_11_median_amo2, 6_lag_13_median_naoPSLjfm, 11_lag_scpPSLjfm, 6_lag_eapPSLjfm, 8_lag_amo2_399_6"
LRforcedPSO,2,10,scpPSLjfm,picntrl,1716.5,2050.5,0.8,17,7,7,14.876815347137072,-0.10006352527170205,399,"['7_lag_9_median_nppc2SSTjfm', '7_lag_13_median_eurPSLjfm', '9_lag_atlSICjfm', '7_lag_10_median_amo3', '8_lag_stratZ50ndj01', '7_lag_10_median_scpPSLjfm', '7_lag_8_median_nhSICjfm', '7_lag_14_median_atlSICjfm', '10_lag_AMOCann', '7_lag_11_median_atlSICsep']","[2.32852684921734, 6.650942618441974, 6.206854244062818, 0.5134862579456083, 5.983239775750791, 7.567969600038613, 4.984719663003765, 3.3674952995560368, 3.6213311539131743, 1.200596721989303]","7_lag_9_median_nppc2SSTjfm, 7_lag_13_median_eurPSLjfm, 9_lag_atlSICjfm, 7_lag_10_median_amo3, 8_lag_stratZ50ndj01, 7_lag_10_median_scpPSLjfm, 7_lag_8_median_nhSICjfm, 7_lag_14_median_atlSICjfm, 10_lag_AMOCann, 7_lag_11_median_atlSICsep_399_7"
LRforcedPSO,3,10,scpPSLjfm,picntrl,1717.5,2050.5,0.8,18,8,8,12.288571011552989,-0.07782698405451768,399,"['14_lag_eapPSLjfm', '8_lag_9_median_amo3', '9_lag_atlSICjfm', '16_lag_amoSSTmjjaso', '8_lag_9_median_atlSICjfm', '11_lag_amo3', '8_lag_12_median_eapPSLjfm', '13_lag_shSICmar', '8_lag_12_median_amo1', '8_lag_16_median_nhSICsep']","[3.7526570909983192, 3.1449262332929724, 1.3351266875323038, 2.6555635614814435, 4.3280109320929006, 2.707543052162986, 3.615721818904664, 3.007739207957208, 0.4340047475592179, 1.0849090457026733]","14_lag_eapPSLjfm, 8_lag_9_median_amo3, 9_lag_atlSICjfm, 16_lag_amoSSTmjjaso, 8_lag_9_median_atlSICjfm, 11_lag_amo3, 8_lag_12_median_eapPSLjfm, 13_lag_shSICmar, 8_lag_12_median_amo1, 8_lag_16_median_nhSICsep_399_8"
LRforcedPSO,4,10,scpPSLjfm,picntrl,1718.5,2050.5,0.8,19,9,9,10.917986784679467,-0.057909530950404554,399,"['9_lag_10_median_shSICmar', '9_lag_18_median_nhSICsep', '12_lag_nhSICsep', '9_lag_18_median_atlSICsep', '9_lag_16_median_naoPSLjfm', '10_lag_nhSICjfm', '9_lag_17_median_amoSSTjfm', '13_lag_shSICmar', '9_lag_12_median_naoPSLjfm', '9_lag_17_median_atlSICjfm']","[0.9202331519095743, 0.4202308436733979, 2.4568674903886656, 1.0844489167145603, 2.59878163903039, 0.9620500080872052, 6.722061922722755, 2.807157279726125, 0.5423600547924963, 2.9300038425888335]","9_lag_10_median_shSICmar, 9_lag_18_median_nhSICsep, 12_lag_nhSICsep, 9_lag_18_median_atlSICsep, 9_lag_16_median_naoPSLjfm, 10_lag_nhSICjfm, 9_lag_17_median_amoSSTjfm, 13_lag_shSICmar, 9_lag_12_median_naoPSLjfm, 9_lag_17_median_atlSICjfm_399_9"
LRforcedPSO,5,10,scpPSLjfm,picntrl,1719.5,2050.5,0.8,20,10,10,13.833263745314838,0.11096141276459388,399,"['10_lag_15_median_stratZ50ndj02', '16_lag_shSICsep', '18_lag_stratZ50ndj04', '10_lag_16_median_eurPSLjfm', '15_lag_amoSSTmjjaso', '15_lag_amo3', '10_lag_18_median_eapPSLjfm', '16_lag_stratZ50ndj01', '17_lag_stratZ50ndj02', '10_lag_15_median_stratZ50ndj04']","[3.4446941225667427, 0.08757735995498805, 6.440460569674182, 2.414848829608866, 3.4413636177590394, 2.5715327628986984, 0.5118179040596971, 2.9243856126209433, 0.7829410335564368, 9.879186190323622]","10_lag_15_median_stratZ50ndj02, 16_lag_shSICsep, 18_lag_stratZ50ndj04, 10_lag_16_median_eurPSLjfm, 15_lag_amoSSTmjjaso, 15_lag_amo3, 10_lag_18_median_eapPSLjfm, 16_lag_stratZ50ndj01, 17_lag_stratZ50ndj02, 10_lag_15_median_stratZ50ndj04_399_10"
LRforcedPSO,6,10,scpPSLjfm,picntrl,1720.5,2050.5,0.8,21,11,11,14.458470820611911,-0.12714016318136376,399,"['20_lag_shSICsep', '13_lag_stratZ50ndj02', '11_lag_18_median_nhSICjfm', '14_lag_stratZ50ndj04', '18_lag_nppc2SSTjfm', '11_lag_15_median_stratZ50ndj03', '20_lag_amoSSTmjjaso', '20_lag_stratZ50ndj01', '12_lag_nhSICjfm', '11_lag_16_median_AMOCann']","[4.273881023532047, 3.1365246236979294, 5.688614210327183, 4.559268388995502, 2.2217914083923995, 0.3527816796615131, 3.370694594164096, 6.151700401826886, 1.5559666735336553, 2.8007339971892193]","20_lag_shSICsep, 13_lag_stratZ50ndj02, 11_lag_18_median_nhSICjfm, 14_lag_stratZ50ndj04, 18_lag_nppc2SSTjfm, 11_lag_15_median_stratZ50ndj03, 20_lag_amoSSTmjjaso, 20_lag_stratZ50ndj01, 12_lag_nhSICjfm, 11_lag_16_median_AMOCann_399_11"
LRforcedPSO,7,10,scpPSLjfm,picntrl,1721.5,2050.5,0.8,22,12,12,12.623038975457927,0.08145045019165431,399,"['12_lag_13_median_amo1', '21_lag_atlSICjfm', '12_lag_18_median_amo1', '21_lag_shSICmar', '12_lag_18_median_amoSSTjfm', '12_lag_stratZ50ndj02', '12_lag_15_median_nppc2SSTjfm', '16_lag_naoPSLjfm', '12_lag_19_median_stratZ50ndj03', '20_lag_atlSICsep']","[0.6759369930645125, 1.0412511349337699, 2.9645751771411213, 6.939060184811996, 4.1874610144631275, 0.393520852237085, 2.4813828148136485, 1.3370106813263565, 1.3230714473173766, 3.924908752636296]","12_lag_13_median_amo1, 21_lag_atlSICjfm, 12_lag_18_median_amo1, 21_lag_shSICmar, 12_lag_18_median_amoSSTjfm, 12_lag_stratZ50ndj02, 12_lag_15_median_nppc2SSTjfm, 16_lag_naoPSLjfm, 12_lag_19_median_stratZ50ndj03, 20_lag_atlSICsep_399_12"
LRforcedPSO,8,10,scpPSLjfm,picntrl,1722.5,2050.5,0.8,23,13,13,13.864811611669571,-0.02321746668279993,399,"['13_lag_17_median_naoPSLjfm', '21_lag_nhSICsep', '22_lag_stratZ50ndj04', '13_lag_18_median_shSICsep', '13_lag_21_median_nhSICsep', '13_lag_19_median_amo3', '13_lag_atlSICsep', '22_lag_AMOCann', '15_lag_nppc2SSTjfm', '13_lag_17_median_atlSICsep']","[5.248234397259742, 1.430931721298185, 1.0629718409866094, 2.8795767137314794, 0.17916251690249396, 6.887775315977063, 4.700243053275013, 4.628740082647626, 1.9076061476503732, 1.706269064940658]","13_lag_17_median_naoPSLjfm, 21_lag_nhSICsep, 22_lag_stratZ50ndj04, 13_lag_18_median_shSICsep, 13_lag_21_median_nhSICsep, 13_lag_19_median_amo3, 13_lag_atlSICsep, 22_lag_AMOCann, 15_lag_nppc2SSTjfm, 13_lag_17_median_atlSICsep_399_13"
LRforcedPSO,9,10,scpPSLjfm,picntrl,1723.5,2050.5,0.8,24,14,14,13.225979357714579,0.048874078898235446,399,"['14_lag_23_median_AMOCann', '14_lag_22_median_eapPSLjfm', '14_lag_16_median_stratZ50ndj02', '16_lag_atlSICsep', '23_lag_nhSICsep', '19_lag_eurPSLjfm', '14_lag_19_median_shSICmar', '14_lag_21_median_eurPSLjfm', '18_lag_amo2', '20_lag_amo3']","[3.066744776741327, 5.775080119123464, 4.78896748152094, 4.863219096131049, 1.6574534786317727, 7.02390041951605, 1.7447345614076308, 2.689826049865447, 2.0790284085152377, 2.5390637343766587]","14_lag_23_median_AMOCann, 14_lag_22_median_eapPSLjfm, 14_lag_16_median_stratZ50ndj02, 16_lag_atlSICsep, 23_lag_nhSICsep, 19_lag_eurPSLjfm, 14_lag_19_median_shSICmar, 14_lag_21_median_eurPSLjfm, 18_lag_amo2, 20_lag_amo3_399_14"
