model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,scpPSLjfm,picntrl,1514.5,2050.5,0.4,15,5,5,12.04687793239008,0.03314870073661146,399,"['5_lag_10_median_scpPSLjfm', '11_lag_shSICsep', '5_lag_14_median_shSICsep', '9_lag_stratZ50ndj03', '5_lag_11_median_stratZ50ndj03', '14_lag_amoSSTjfm', '9_lag_stratZ50ndj01', '13_lag_atlSICsep', '13_lag_nhSICjfm', '5_lag_8_median_eapPSLjfm', '5_lag_8_median_stratZ50ndj03', '5_lag_12_median_nhSICjfm', '5_lag_12_median_stratZ50ndj02', '5_lag_13_median_shSICsep', '5_lag_14_median_eapPSLjfm', '5_lag_8_median_amoSSTmjjaso', '5_lag_eapPSLjfm', '14_lag_amo2', '10_lag_stratZ50ndj04', '5_lag_14_median_AMOCann', '5_lag_11_median_amoSSTmjjaso', '5_lag_8_median_stratZ50ndj01', '11_lag_nhSICsep', '5_lag_AMOCann', '5_lag_8_median_AMOCann', '5_lag_12_median_amo2', '11_lag_AMOCann', '5_lag_9_median_stratZ50ndj01', '5_lag_8_median_shSICsep', '5_lag_10_median_atlSICjfm']","[0.0015953877552399665, 0.08367274017633479, 0.268768527377087, 0.12352906506625565, 0.21694797194884446, 0.22265536205462785, 0.23424454726269703, 0.12550120415072172, 0.009984773796630136, 0.09127400267200997, 0.09671858259812416, 0.018085902447761766, 0.1313278694088718, 0.13175713325788946, 0.034678070637324566, 0.10724960926444436, 0.05420926557413347, 0.13906464727249473, 0.015432989463262034, 0.2364309574265811, 0.20170302327979872, 0.45212083799144276, 0.1009446896560717, 0.15659308005727263, 0.24281434103463637, 0.21531789391401718, 0.13653170972783285, 0.5598317754020344, 0.0010102878085098514, 0.34525040883237235]","5_lag_10_median_scpPSLjfm, 11_lag_shSICsep, 5_lag_14_median_shSICsep, 9_lag_stratZ50ndj03, 5_lag_11_median_stratZ50ndj03, 14_lag_amoSSTjfm, 9_lag_stratZ50ndj01, 13_lag_atlSICsep, 13_lag_nhSICjfm, 5_lag_8_median_eapPSLjfm, 5_lag_8_median_stratZ50ndj03, 5_lag_12_median_nhSICjfm, 5_lag_12_median_stratZ50ndj02, 5_lag_13_median_shSICsep, 5_lag_14_median_eapPSLjfm, 5_lag_8_median_amoSSTmjjaso, 5_lag_eapPSLjfm, 14_lag_amo2, 10_lag_stratZ50ndj04, 5_lag_14_median_AMOCann, 5_lag_11_median_amoSSTmjjaso, 5_lag_8_median_stratZ50ndj01, 11_lag_nhSICsep, 5_lag_AMOCann, 5_lag_8_median_AMOCann, 5_lag_12_median_amo2, 11_lag_AMOCann, 5_lag_9_median_stratZ50ndj01, 5_lag_8_median_shSICsep, 5_lag_10_median_atlSICjfm_399_5"
LinearRegression,1,30,scpPSLjfm,picntrl,1515.5,2050.5,0.4,16,6,6,11.546292518486565,0.024704768343005445,399,"['11_lag_AMOCann', '10_lag_scpPSLjfm', '6_lag_14_median_amo2', '9_lag_atlSICjfm', '6_lag_15_median_eapPSLjfm', '6_lag_15_median_atlSICjfm', '12_lag_nhSICsep', '6_lag_eapPSLjfm', '6_lag_atlSICsep', '6_lag_13_median_stratZ50ndj03', '12_lag_eapPSLjfm', '9_lag_stratZ50ndj02', '12_lag_nhSICjfm', '10_lag_nhSICjfm', '9_lag_eurPSLjfm', '6_lag_15_median_amo2', '6_lag_15_median_naoPSLjfm', '13_lag_stratZ50ndj02', '6_lag_15_median_stratZ50ndj01', '9_lag_nhSICjfm', '6_lag_AMOCann', '6_lag_13_median_nhSICjfm', '6_lag_13_median_nppc2SSTjfm', '6_lag_11_median_stratZ50ndj01', '6_lag_11_median_shSICmar', '6_lag_9_median_shSICmar', '6_lag_12_median_stratZ50ndj02', '6_lag_11_median_amo1', '6_lag_9_median_stratZ50ndj01', '6_lag_15_median_amo1']","[0.07994994272949188, 0.0634978882861661, 0.13297952789601017, 0.12058411365270037, 0.03843888813788635, 0.15898980700846563, 0.10243042618871326, 0.015778292175384838, 0.11397040871804157, 0.13908414837983837, 0.027383024166121848, 0.0637189858262555, 0.08832424202474014, 0.025064356305366103, 0.07415673141919626, 0.14990971139677187, 0.14162829374582983, 0.06962797420237318, 0.09604507752553725, 0.024444842868114654, 0.12976114651483991, 0.12588652025273403, 0.10660340138497088, 0.15023193110971791, 0.20368705485996672, 0.1251529035594328, 0.06467924832517553, 0.039785432341802075, 0.14269319618262868, 0.05715914365431646]","11_lag_AMOCann, 10_lag_scpPSLjfm, 6_lag_14_median_amo2, 9_lag_atlSICjfm, 6_lag_15_median_eapPSLjfm, 6_lag_15_median_atlSICjfm, 12_lag_nhSICsep, 6_lag_eapPSLjfm, 6_lag_atlSICsep, 6_lag_13_median_stratZ50ndj03, 12_lag_eapPSLjfm, 9_lag_stratZ50ndj02, 12_lag_nhSICjfm, 10_lag_nhSICjfm, 9_lag_eurPSLjfm, 6_lag_15_median_amo2, 6_lag_15_median_naoPSLjfm, 13_lag_stratZ50ndj02, 6_lag_15_median_stratZ50ndj01, 9_lag_nhSICjfm, 6_lag_AMOCann, 6_lag_13_median_nhSICjfm, 6_lag_13_median_nppc2SSTjfm, 6_lag_11_median_stratZ50ndj01, 6_lag_11_median_shSICmar, 6_lag_9_median_shSICmar, 6_lag_12_median_stratZ50ndj02, 6_lag_11_median_amo1, 6_lag_9_median_stratZ50ndj01, 6_lag_15_median_amo1_399_6"
LinearRegression,2,30,scpPSLjfm,picntrl,1516.5,2050.5,0.4,17,7,7,12.141524948502425,-0.03255612579296145,399,"['7_lag_10_median_eurPSLjfm', '7_lag_10_median_shSICmar', '12_lag_amo3', '7_lag_15_median_amo1', '7_lag_10_median_atlSICsep', '12_lag_AMOCann', '13_lag_amo3', '7_lag_16_median_eapPSLjfm', '16_lag_stratZ50ndj02', '7_lag_14_median_amoSSTmjjaso', '13_lag_nhSICsep', '12_lag_atlSICsep', '7_lag_12_median_nhSICjfm', '11_lag_nhSICsep', '7_lag_13_median_atlSICsep', '7_lag_15_median_amo2', '12_lag_amo1', '14_lag_atlSICjfm', '9_lag_nhSICjfm', '7_lag_14_median_nppc2SSTjfm', '7_lag_12_median_stratZ50ndj03', '7_lag_12_median_amoSSTjfm', '14_lag_amo1', '7_lag_16_median_amo1', '9_lag_nhSICsep', '10_lag_eapPSLjfm', '7_lag_14_median_amo2', '7_lag_15_median_amoSSTjfm', '7_lag_eurPSLjfm', '13_lag_atlSICjfm']","[0.14135008899263302, 0.02372997281106032, 0.06953237849863639, 0.12832950374742874, 0.003774615268675647, 0.03266394659903348, 0.17334841488590444, 0.015382163381561105, 0.09519383443960595, 0.14490746989436123, 0.006183134341283362, 0.10326720106599234, 0.31288265164418955, 0.1838812154480594, 0.24605373185817164, 0.4913926075012264, 0.041092516873345045, 0.0840180503366871, 0.014013037478135707, 0.06848126248771023, 0.02459795953888004, 0.36566636788699786, 0.22452876836728544, 0.11359789371937253, 0.117468410229095, 0.009490496157842879, 0.23987110009733686, 0.49760383350696263, 0.08696484383159388, 0.1344686891761431]","7_lag_10_median_eurPSLjfm, 7_lag_10_median_shSICmar, 12_lag_amo3, 7_lag_15_median_amo1, 7_lag_10_median_atlSICsep, 12_lag_AMOCann, 13_lag_amo3, 7_lag_16_median_eapPSLjfm, 16_lag_stratZ50ndj02, 7_lag_14_median_amoSSTmjjaso, 13_lag_nhSICsep, 12_lag_atlSICsep, 7_lag_12_median_nhSICjfm, 11_lag_nhSICsep, 7_lag_13_median_atlSICsep, 7_lag_15_median_amo2, 12_lag_amo1, 14_lag_atlSICjfm, 9_lag_nhSICjfm, 7_lag_14_median_nppc2SSTjfm, 7_lag_12_median_stratZ50ndj03, 7_lag_12_median_amoSSTjfm, 14_lag_amo1, 7_lag_16_median_amo1, 9_lag_nhSICsep, 10_lag_eapPSLjfm, 7_lag_14_median_amo2, 7_lag_15_median_amoSSTjfm, 7_lag_eurPSLjfm, 13_lag_atlSICjfm_399_7"
LinearRegression,3,30,scpPSLjfm,picntrl,1517.5,2050.5,0.4,18,8,8,11.994586871701339,-0.04321108973525744,399,"['8_lag_12_median_stratZ50ndj04', '17_lag_stratZ50ndj02', '17_lag_atlSICjfm', '15_lag_atlSICjfm', '12_lag_eapPSLjfm', '8_lag_17_median_atlSICjfm', '12_lag_stratZ50ndj01', '11_lag_stratZ50ndj02', '13_lag_shSICmar', '13_lag_AMOCann', '8_lag_17_median_stratZ50ndj02', '8_lag_nhSICsep', '8_lag_11_median_amoSSTmjjaso', '12_lag_AMOCann', '8_lag_13_median_amo3', '8_lag_13_median_shSICmar', '12_lag_amo3', '13_lag_amo1', '13_lag_atlSICjfm', '11_lag_eapPSLjfm', '8_lag_14_median_stratZ50ndj02', '8_lag_15_median_amoSSTjfm', '13_lag_amo3', '8_lag_13_median_naoPSLjfm', '11_lag_nhSICsep', '8_lag_15_median_amo2', '8_lag_atlSICsep', '8_lag_eurPSLjfm', '12_lag_amo1', '8_lag_13_median_stratZ50ndj03']","[0.08486072604624183, 0.03764431367821443, 0.006736386368705804, 0.055557046359687445, 0.03782773216261189, 0.28960938349755894, 0.0962878438977052, 0.025503311980621068, 0.008598136762449006, 0.049819045339402616, 0.023835654856540992, 0.05200418204178048, 0.14599733382412286, 0.0887568754285489, 0.08839060958267114, 0.014295746041183827, 0.13646530255930225, 0.13314383764816884, 0.13878332546082775, 0.010744787542051382, 0.1476557050724441, 0.11491384304287293, 0.15419933261646773, 0.049417241550661586, 0.04945764468022302, 0.22778187691426605, 0.1106372946836878, 0.15237568320125358, 0.04534306581817661, 0.23701510174646614]","8_lag_12_median_stratZ50ndj04, 17_lag_stratZ50ndj02, 17_lag_atlSICjfm, 15_lag_atlSICjfm, 12_lag_eapPSLjfm, 8_lag_17_median_atlSICjfm, 12_lag_stratZ50ndj01, 11_lag_stratZ50ndj02, 13_lag_shSICmar, 13_lag_AMOCann, 8_lag_17_median_stratZ50ndj02, 8_lag_nhSICsep, 8_lag_11_median_amoSSTmjjaso, 12_lag_AMOCann, 8_lag_13_median_amo3, 8_lag_13_median_shSICmar, 12_lag_amo3, 13_lag_amo1, 13_lag_atlSICjfm, 11_lag_eapPSLjfm, 8_lag_14_median_stratZ50ndj02, 8_lag_15_median_amoSSTjfm, 13_lag_amo3, 8_lag_13_median_naoPSLjfm, 11_lag_nhSICsep, 8_lag_15_median_amo2, 8_lag_atlSICsep, 8_lag_eurPSLjfm, 12_lag_amo1, 8_lag_13_median_stratZ50ndj03_399_8"
LinearRegression,4,30,scpPSLjfm,picntrl,1518.5,2050.5,0.4,19,9,9,14.080448743111873,-0.07735670112990602,399,"['9_lag_16_median_stratZ50ndj04', '9_lag_14_median_stratZ50ndj03', '12_lag_amo1', '9_lag_16_median_nhSICjfm', '15_lag_stratZ50ndj04', '9_lag_18_median_amo3', '9_lag_12_median_stratZ50ndj04', '13_lag_eapPSLjfm', '14_lag_amo3', '9_lag_14_median_naoPSLjfm', '9_lag_shSICmar', '14_lag_amo1', '13_lag_AMOCann', '18_lag_stratZ50ndj02', '12_lag_AMOCann', '12_lag_amo3', '9_lag_18_median_shSICsep', '9_lag_18_median_stratZ50ndj01', '9_lag_16_median_stratZ50ndj02', '13_lag_amo3', '9_lag_17_median_atlSICjfm', '9_lag_nhSICsep', '9_lag_18_median_atlSICsep', '15_lag_amo3', '18_lag_shSICsep', '9_lag_18_median_naoPSLjfm', '9_lag_15_median_stratZ50ndj02', '9_lag_13_median_stratZ50ndj03', '9_lag_12_median_amo3', '13_lag_amo1']","[0.1468008279415087, 0.13069865069040454, 0.08971102342671343, 0.04086665944006194, 0.08209312111016041, 0.09539664694113029, 0.0613596862327719, 0.20800018129397546, 0.023580218713732552, 0.02668357125624851, 0.13976509445239396, 0.11571945615956399, 0.14151049736051477, 0.1070377936306519, 0.1903411714527186, 0.08587113837437647, 0.26449770609175416, 0.40616170083162345, 0.2687504038161046, 0.334816304728029, 0.011864162792311783, 0.1265326166941922, 0.5826726130743461, 0.15399860930647036, 0.18414170432876, 0.3170142818804913, 0.552557902242753, 0.051161862254737206, 0.08643850194617306, 0.16497777670118588]","9_lag_16_median_stratZ50ndj04, 9_lag_14_median_stratZ50ndj03, 12_lag_amo1, 9_lag_16_median_nhSICjfm, 15_lag_stratZ50ndj04, 9_lag_18_median_amo3, 9_lag_12_median_stratZ50ndj04, 13_lag_eapPSLjfm, 14_lag_amo3, 9_lag_14_median_naoPSLjfm, 9_lag_shSICmar, 14_lag_amo1, 13_lag_AMOCann, 18_lag_stratZ50ndj02, 12_lag_AMOCann, 12_lag_amo3, 9_lag_18_median_shSICsep, 9_lag_18_median_stratZ50ndj01, 9_lag_16_median_stratZ50ndj02, 13_lag_amo3, 9_lag_17_median_atlSICjfm, 9_lag_nhSICsep, 9_lag_18_median_atlSICsep, 15_lag_amo3, 18_lag_shSICsep, 9_lag_18_median_naoPSLjfm, 9_lag_15_median_stratZ50ndj02, 9_lag_13_median_stratZ50ndj03, 9_lag_12_median_amo3, 13_lag_amo1_399_9"
LinearRegression,5,30,scpPSLjfm,picntrl,1519.5,2050.5,0.4,20,10,10,12.204055741549661,0.017934433229366126,399,"['10_lag_17_median_shSICsep', '18_lag_atlSICsep', '12_lag_nhSICsep', '10_lag_18_median_amo1', '10_lag_13_median_amo1', '10_lag_13_median_atlSICsep', '10_lag_17_median_amo2', '10_lag_13_median_eurPSLjfm', '10_lag_14_median_stratZ50ndj04', '19_lag_eurPSLjfm', '10_lag_19_median_amo3', '16_lag_nhSICjfm', '10_lag_17_median_stratZ50ndj02', '16_lag_eurPSLjfm', '14_lag_amo1', '10_lag_16_median_stratZ50ndj02', '10_lag_19_median_eapPSLjfm', '10_lag_16_median_amo1', '19_lag_AMOCann', '19_lag_amoSSTmjjaso', '10_lag_17_median_nhSICjfm', '18_lag_nhSICjfm', '13_lag_AMOCann', '17_lag_amo2', '13_lag_amo1', '10_lag_19_median_shSICmar', '18_lag_shSICsep', '10_lag_17_median_nhSICsep', '10_lag_17_median_amo3', '13_lag_amo3']","[0.10567645792469772, 0.10980204161552688, 0.1197840199934091, 0.107671190532896, 0.2881341251416867, 0.19302631397346842, 0.1505309479380637, 0.13410805261085906, 0.19859994255566776, 0.06927280954237136, 0.40815913343224375, 0.01334291469137105, 0.22585678787452657, 0.08348300730870131, 0.20968859069171286, 0.38033818821144844, 0.08796014884864989, 0.32057344467226967, 0.11374367226098185, 0.20842881981457947, 0.05881648885410795, 0.04602711513607872, 0.06945426601497927, 0.05781090693210615, 0.1951606677977774, 0.20385616178657645, 0.17721871888889884, 0.09154583854622322, 0.5715246890238627, 0.28146610771060576]","10_lag_17_median_shSICsep, 18_lag_atlSICsep, 12_lag_nhSICsep, 10_lag_18_median_amo1, 10_lag_13_median_amo1, 10_lag_13_median_atlSICsep, 10_lag_17_median_amo2, 10_lag_13_median_eurPSLjfm, 10_lag_14_median_stratZ50ndj04, 19_lag_eurPSLjfm, 10_lag_19_median_amo3, 16_lag_nhSICjfm, 10_lag_17_median_stratZ50ndj02, 16_lag_eurPSLjfm, 14_lag_amo1, 10_lag_16_median_stratZ50ndj02, 10_lag_19_median_eapPSLjfm, 10_lag_16_median_amo1, 19_lag_AMOCann, 19_lag_amoSSTmjjaso, 10_lag_17_median_nhSICjfm, 18_lag_nhSICjfm, 13_lag_AMOCann, 17_lag_amo2, 13_lag_amo1, 10_lag_19_median_shSICmar, 18_lag_shSICsep, 10_lag_17_median_nhSICsep, 10_lag_17_median_amo3, 13_lag_amo3_399_10"
LinearRegression,6,30,scpPSLjfm,picntrl,1520.5,2050.5,0.4,21,11,11,12.52214513692272,0.015377713619210814,399,"['11_lag_15_median_shSICsep', '11_lag_14_median_stratZ50ndj02', '19_lag_amoSSTmjjaso', '11_lag_20_median_amo3', '11_lag_16_median_nhSICsep', '20_lag_scpPSLjfm', '17_lag_shSICsep', '16_lag_eurPSLjfm', '14_lag_amo1', '17_lag_amo2', '19_lag_amo2', '19_lag_amo1', '11_lag_17_median_nhSICjfm', '18_lag_shSICsep', '11_lag_19_median_scpPSLjfm', '11_lag_18_median_amo2', '16_lag_stratZ50ndj04', '19_lag_naoPSLjfm', '19_lag_AMOCann', '11_lag_15_median_stratZ50ndj03', '11_lag_stratZ50ndj04', '11_lag_18_median_shSICsep', '11_lag_16_median_shSICsep', '11_lag_20_median_amo2', '11_lag_18_median_nhSICsep', '11_lag_17_median_stratZ50ndj02', '11_lag_14_median_eapPSLjfm', '11_lag_14_median_nppc2SSTjfm', '13_lag_amo3', '11_lag_20_median_amo1']","[0.2704013544347136, 0.15127323621435035, 0.0941337711152181, 0.20015136470913905, 0.06375371516553921, 0.07256211319934373, 0.20662268135663964, 0.15648201561822223, 0.1676972401107938, 0.030779648974498523, 0.0414105547455489, 0.00889695467401642, 0.026310124794436857, 0.18942876245216314, 0.17615700661837358, 0.13944674891929004, 0.12130008013076936, 0.11469815068278315, 0.09289209154364782, 0.11844922468765622, 0.14106292757289707, 0.23684431742971812, 0.49675810749087457, 0.16318460487958614, 0.19738367905537693, 0.3421072637728973, 0.1854970569767276, 0.10926288104629937, 0.13123710893098908, 0.3068695226225485]","11_lag_15_median_shSICsep, 11_lag_14_median_stratZ50ndj02, 19_lag_amoSSTmjjaso, 11_lag_20_median_amo3, 11_lag_16_median_nhSICsep, 20_lag_scpPSLjfm, 17_lag_shSICsep, 16_lag_eurPSLjfm, 14_lag_amo1, 17_lag_amo2, 19_lag_amo2, 19_lag_amo1, 11_lag_17_median_nhSICjfm, 18_lag_shSICsep, 11_lag_19_median_scpPSLjfm, 11_lag_18_median_amo2, 16_lag_stratZ50ndj04, 19_lag_naoPSLjfm, 19_lag_AMOCann, 11_lag_15_median_stratZ50ndj03, 11_lag_stratZ50ndj04, 11_lag_18_median_shSICsep, 11_lag_16_median_shSICsep, 11_lag_20_median_amo2, 11_lag_18_median_nhSICsep, 11_lag_17_median_stratZ50ndj02, 11_lag_14_median_eapPSLjfm, 11_lag_14_median_nppc2SSTjfm, 13_lag_amo3, 11_lag_20_median_amo1_399_11"
LinearRegression,7,30,scpPSLjfm,picntrl,1521.5,2050.5,0.4,22,12,12,11.833727085379241,-0.00799971028482294,399,"['12_lag_17_median_nppc2SSTjfm', '12_lag_20_median_stratZ50ndj03', '12_lag_19_median_atlSICsep', '17_lag_atlSICjfm', '12_lag_nppc2SSTjfm', '14_lag_shSICsep', '12_lag_16_median_stratZ50ndj01', '12_lag_19_median_amo2', '19_lag_amoSSTmjjaso', '12_lag_19_median_nhSICjfm', '18_lag_atlSICsep', '18_lag_stratZ50ndj02', '12_lag_stratZ50ndj02', '16_lag_stratZ50ndj04', '17_lag_stratZ50ndj03', '12_lag_15_median_stratZ50ndj03', '12_lag_15_median_naoPSLjfm', '12_lag_19_median_eapPSLjfm', '12_lag_16_median_stratZ50ndj02', '12_lag_17_median_stratZ50ndj03', '18_lag_shSICsep', '16_lag_amo1', '12_lag_21_median_eapPSLjfm', '12_lag_15_median_nhSICsep', '12_lag_21_median_amoSSTjfm', '16_lag_amoSSTmjjaso', '21_lag_eurPSLjfm', '12_lag_17_median_stratZ50ndj02', '12_lag_16_median_stratZ50ndj04', '16_lag_amo2']","[0.04186794198044566, 0.39898745738418634, 0.004957581309015838, 0.024645341109915002, 0.1716442051151942, 0.03076955695077305, 0.14246000487334146, 0.13007531020341512, 0.06507280682474555, 0.08135767217089314, 0.017983712924820983, 0.08968107633253175, 0.10449893770683336, 0.03931446396919943, 0.010360932528642388, 0.012849581001040668, 0.0634468355947857, 0.19419075210510722, 0.014111744778092072, 0.3327281496278376, 0.08624314392451307, 0.15241208334962777, 0.1038877883689655, 0.044426321597856776, 0.07717383599832414, 0.09524365568740302, 0.057515421236121515, 0.2548043522755736, 0.15855007878136337, 0.01947314833450818]","12_lag_17_median_nppc2SSTjfm, 12_lag_20_median_stratZ50ndj03, 12_lag_19_median_atlSICsep, 17_lag_atlSICjfm, 12_lag_nppc2SSTjfm, 14_lag_shSICsep, 12_lag_16_median_stratZ50ndj01, 12_lag_19_median_amo2, 19_lag_amoSSTmjjaso, 12_lag_19_median_nhSICjfm, 18_lag_atlSICsep, 18_lag_stratZ50ndj02, 12_lag_stratZ50ndj02, 16_lag_stratZ50ndj04, 17_lag_stratZ50ndj03, 12_lag_15_median_stratZ50ndj03, 12_lag_15_median_naoPSLjfm, 12_lag_19_median_eapPSLjfm, 12_lag_16_median_stratZ50ndj02, 12_lag_17_median_stratZ50ndj03, 18_lag_shSICsep, 16_lag_amo1, 12_lag_21_median_eapPSLjfm, 12_lag_15_median_nhSICsep, 12_lag_21_median_amoSSTjfm, 16_lag_amoSSTmjjaso, 21_lag_eurPSLjfm, 12_lag_17_median_stratZ50ndj02, 12_lag_16_median_stratZ50ndj04, 16_lag_amo2_399_12"
LinearRegression,8,30,scpPSLjfm,picntrl,1522.5,2050.5,0.4,23,13,13,11.983241341035972,0.06819401522687833,399,"['13_lag_16_median_amo2', '22_lag_naoPSLjfm', '15_lag_eapPSLjfm', '18_lag_atlSICjfm', '17_lag_atlSICsep', '13_lag_16_median_stratZ50ndj04', '16_lag_stratZ50ndj04', '18_lag_stratZ50ndj02', '13_lag_21_median_amoSSTjfm', '15_lag_nhSICsep', '13_lag_22_median_atlSICjfm', '13_lag_stratZ50ndj03', '18_lag_nhSICsep', '21_lag_eurPSLjfm', '13_lag_17_median_eurPSLjfm', '13_lag_17_median_amo1', '13_lag_16_median_atlSICsep', '13_lag_22_median_eapPSLjfm', '13_lag_AMOCann', '17_lag_AMOCann', '13_lag_20_median_amoSSTjfm', '16_lag_eurPSLjfm', '19_lag_nhSICjfm', '13_lag_18_median_eapPSLjfm', '13_lag_18_median_nppc2SSTjfm', '13_lag_18_median_stratZ50ndj01', '13_lag_16_median_stratZ50ndj02', '17_lag_amo2', '18_lag_AMOCann', '16_lag_nhSICsep']","[0.18044270661051023, 0.015477168866466981, 0.0199359651796034, 0.18658900392293, 0.15264318974446262, 0.10139457018540228, 0.07417991918262828, 0.11198248416595798, 0.37816791512501263, 0.08617392541182295, 0.30466058447780625, 0.048795109658269054, 0.10144852512135194, 0.042953221375701685, 0.1850263157986102, 0.02464488844107636, 0.10678963781371799, 0.05946671314267085, 0.004781488692755378, 0.057794579319977904, 0.7419434021438328, 0.16281723852563088, 0.1261371340043916, 0.016842114187764233, 0.025784882451106262, 0.08038823078894329, 0.03647331144571803, 0.11636070000073466, 0.0055784760121424855, 0.15913385559923235]","13_lag_16_median_amo2, 22_lag_naoPSLjfm, 15_lag_eapPSLjfm, 18_lag_atlSICjfm, 17_lag_atlSICsep, 13_lag_16_median_stratZ50ndj04, 16_lag_stratZ50ndj04, 18_lag_stratZ50ndj02, 13_lag_21_median_amoSSTjfm, 15_lag_nhSICsep, 13_lag_22_median_atlSICjfm, 13_lag_stratZ50ndj03, 18_lag_nhSICsep, 21_lag_eurPSLjfm, 13_lag_17_median_eurPSLjfm, 13_lag_17_median_amo1, 13_lag_16_median_atlSICsep, 13_lag_22_median_eapPSLjfm, 13_lag_AMOCann, 17_lag_AMOCann, 13_lag_20_median_amoSSTjfm, 16_lag_eurPSLjfm, 19_lag_nhSICjfm, 13_lag_18_median_eapPSLjfm, 13_lag_18_median_nppc2SSTjfm, 13_lag_18_median_stratZ50ndj01, 13_lag_16_median_stratZ50ndj02, 17_lag_amo2, 18_lag_AMOCann, 16_lag_nhSICsep_399_13"
LinearRegression,9,30,scpPSLjfm,picntrl,1523.5,2050.5,0.4,24,14,14,12.015885001692313,-0.0044058454506153135,399,"['19_lag_stratZ50ndj04', '14_lag_18_median_naoPSLjfm', '14_lag_17_median_stratZ50ndj03', '14_lag_21_median_eapPSLjfm', '22_lag_stratZ50ndj03', '14_lag_20_median_stratZ50ndj01', '14_lag_17_median_AMOCann', '17_lag_shSICsep', '14_lag_17_median_eurPSLjfm', '14_lag_amo1', '14_lag_20_median_amoSSTmjjaso', '14_lag_17_median_stratZ50ndj01', '14_lag_21_median_nhSICsep', '14_lag_22_median_atlSICjfm', '14_lag_scpPSLjfm', '17_lag_atlSICsep', '14_lag_19_median_shSICsep', '14_lag_17_median_scpPSLjfm', '14_lag_17_median_nhSICsep', '14_lag_21_median_amo3', '14_lag_naoPSLjfm', '17_lag_amoSSTmjjaso', '14_lag_atlSICjfm', '16_lag_nhSICsep', '14_lag_20_median_scpPSLjfm', '14_lag_18_median_eapPSLjfm', '17_lag_amo2', '14_lag_19_median_amo1', '14_lag_23_median_stratZ50ndj02', '14_lag_23_median_scpPSLjfm']","[0.006573244833851661, 0.0012938260260918627, 0.08436382699506113, 0.3803283452868062, 0.05332607605312368, 0.13946029888282074, 0.06856117073808189, 0.1619176726378579, 0.27247027437344973, 0.14934904751676598, 0.05605233142586136, 0.15747196664174284, 0.02001486085211372, 0.0348106016375249, 0.012978821380036644, 0.05206636451869272, 0.14082422024868294, 0.0580012879753185, 0.24798908541381012, 0.03433274801734556, 0.12998895507031819, 0.09013073472176697, 0.12127293115813, 0.22820334843436046, 0.09330825221536984, 0.10126831640607321, 0.06302137205759745, 0.030943540462763583, 0.01903096863857832, 0.3400307162056205]","19_lag_stratZ50ndj04, 14_lag_18_median_naoPSLjfm, 14_lag_17_median_stratZ50ndj03, 14_lag_21_median_eapPSLjfm, 22_lag_stratZ50ndj03, 14_lag_20_median_stratZ50ndj01, 14_lag_17_median_AMOCann, 17_lag_shSICsep, 14_lag_17_median_eurPSLjfm, 14_lag_amo1, 14_lag_20_median_amoSSTmjjaso, 14_lag_17_median_stratZ50ndj01, 14_lag_21_median_nhSICsep, 14_lag_22_median_atlSICjfm, 14_lag_scpPSLjfm, 17_lag_atlSICsep, 14_lag_19_median_shSICsep, 14_lag_17_median_scpPSLjfm, 14_lag_17_median_nhSICsep, 14_lag_21_median_amo3, 14_lag_naoPSLjfm, 17_lag_amoSSTmjjaso, 14_lag_atlSICjfm, 16_lag_nhSICsep, 14_lag_20_median_scpPSLjfm, 14_lag_18_median_eapPSLjfm, 17_lag_amo2, 14_lag_19_median_amo1, 14_lag_23_median_stratZ50ndj02, 14_lag_23_median_scpPSLjfm_399_14"
