model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,scpPSLjfm,picntrl,1714.5,2050.5,0.4,15,5,8,12.49933679710104,0.08334305359948407,1216,"['13_lag_atlSICsep', '12_lag_atlSICsep', '12_lag_stratZ50ndj01', '10_lag_nppc3SSTjfm', '8_lag_stratZ50ndj01', '13_lag_traWP']","[0.19209069275329968, 0.23574818946056111, 0.15703016582316742, 0.13180647785793298, 0.2862406266531171, 0.08347017559663417]","13_lag_atlSICsep, 12_lag_atlSICsep, 12_lag_stratZ50ndj01, 10_lag_nppc3SSTjfm, 8_lag_stratZ50ndj01, 13_lag_traWP_1216_8"
LinearRegression,1,6,scpPSLjfm,picntrl,1715.5,2050.5,0.4,16,6,8,12.159179436476933,0.11885789874258113,1216,"['13_lag_atlSICsep', '12_lag_atlSICsep', '8_lag_stratZ50ndj01', '12_lag_stratZ50ndj01', '13_lag_traFB', '13_lag_traWP']","[0.18940412090306774, 0.2583548668301982, 0.2848389390172288, 0.14472945775247986, 0.028125250553024186, 0.05314955032489169]","13_lag_atlSICsep, 12_lag_atlSICsep, 8_lag_stratZ50ndj01, 12_lag_stratZ50ndj01, 13_lag_traFB, 13_lag_traWP_1216_8"
LinearRegression,2,6,scpPSLjfm,picntrl,1716.5,2050.5,0.4,17,7,12,11.387885982277945,0.10816782244724063,1216,"['13_lag_atlSICsep', '16_lag_stratZ50ndj01', '16_lag_traFB', '12_lag_stratZ50ndj01', '16_lag_traMC', '13_lag_traWP']","[0.1710824964801489, 0.15422546679338806, 0.1902849671568589, 0.122662554404598, 0.046901572388172066, 0.07384843196651245]","13_lag_atlSICsep, 16_lag_stratZ50ndj01, 16_lag_traFB, 12_lag_stratZ50ndj01, 16_lag_traMC, 13_lag_traWP_1216_12"
LinearRegression,3,6,scpPSLjfm,picntrl,1717.5,2050.5,0.4,18,8,8,11.844078758747143,0.14167558128940597,1216,"['10_lag_nppc3SSTjfm', '13_lag_atlSICsep', '13_lag_traWP', '12_lag_atlSICsep', '16_lag_stratZ50ndj01', '8_lag_stratZ50ndj01']","[0.10519062390715439, 0.18668897851476918, 0.06696987710904262, 0.24030694210510053, 0.11764580454575352, 0.2643739270040334]","10_lag_nppc3SSTjfm, 13_lag_atlSICsep, 13_lag_traWP, 12_lag_atlSICsep, 16_lag_stratZ50ndj01, 8_lag_stratZ50ndj01_1216_8"
LinearRegression,4,6,scpPSLjfm,picntrl,1718.5,2050.5,0.4,19,9,12,11.460309548723696,0.17070463686395157,1216,"['13_lag_traWP', '13_lag_stratZ50ndj01', '13_lag_traBS', '18_lag_stratZ50ndj04', '12_lag_atlSICsep', '16_lag_stratZ50ndj01']","[0.02840944017950827, 0.026495228686141514, 0.1236273871664247, 0.12907641745035314, 0.24220499171945847, 0.10378097249723031]","13_lag_traWP, 13_lag_stratZ50ndj01, 13_lag_traBS, 18_lag_stratZ50ndj04, 12_lag_atlSICsep, 16_lag_stratZ50ndj01_1216_12"
LinearRegression,5,6,scpPSLjfm,picntrl,1719.5,2050.5,0.4,20,10,10,11.236434792888458,0.10525019957501888,1216,"['16_lag_stratZ50ndj01', '13_lag_atlSICsep', '10_lag_alpi', '10_lag_nppc3SSTjfm', '18_lag_stratZ50ndj04', '12_lag_atlSICsep']","[0.11919602547963334, 0.14331771335842372, 0.07501646017147795, 0.13312152599632449, 0.0824896663031822, 0.2336837473568045]","16_lag_stratZ50ndj01, 13_lag_atlSICsep, 10_lag_alpi, 10_lag_nppc3SSTjfm, 18_lag_stratZ50ndj04, 12_lag_atlSICsep_1216_10"
LinearRegression,6,6,scpPSLjfm,picntrl,1720.5,2050.5,0.4,21,11,12,12.180049040095902,0.03727135908677143,1216,"['12_lag_atlSICsep', '19_lag_ginwSSTjfm', '14_lag_eurPSLjfm', '14_lag_tripol3', '13_lag_atlSICsep', '20_lag_stratZ50ndj01']","[0.24446185352506564, 0.07207051274046729, 0.14265717351868504, 0.1489947211103991, 0.1630152922633154, 0.09677608713684399]","12_lag_atlSICsep, 19_lag_ginwSSTjfm, 14_lag_eurPSLjfm, 14_lag_tripol3, 13_lag_atlSICsep, 20_lag_stratZ50ndj01_1216_12"
LinearRegression,7,6,scpPSLjfm,picntrl,1721.5,2050.5,0.4,22,12,12,11.730262382517678,0.08736852339319598,1216,"['12_lag_traIFC', '19_lag_ginwSSTjfm', '13_lag_atlSICsep', '12_lag_13_median_atlSICsep', '14_lag_tripol3', '21_lag_stratZ50ndj01']","[0.08958598491417723, 0.1251217612304212, 0.07498346633815642, 0.07498346633815645, 0.09113871995856423, 0.23706815959245575]","12_lag_traIFC, 19_lag_ginwSSTjfm, 13_lag_atlSICsep, 12_lag_13_median_atlSICsep, 14_lag_tripol3, 21_lag_stratZ50ndj01_1216_12"
LinearRegression,8,6,scpPSLjfm,picntrl,1722.5,2050.5,0.4,23,13,13,11.99496130810201,0.03909185755896752,1216,"['22_lag_traWP', '17_lag_nchinaPRjja', '19_lag_stratZ50ndj04', '20_lag_atlSICsep', '13_lag_atlSICsep', '21_lag_stratZ50ndj01']","[0.012202979663406917, 0.10389707632701695, 0.22611473446551988, 0.14983166948453222, 0.13597468569051882, 0.2421893918824751]","22_lag_traWP, 17_lag_nchinaPRjja, 19_lag_stratZ50ndj04, 20_lag_atlSICsep, 13_lag_atlSICsep, 21_lag_stratZ50ndj01_1216_13"
LinearRegression,9,6,scpPSLjfm,picntrl,1723.5,2050.5,0.4,24,14,17,13.113926932203361,-0.010035971699126064,1216,"['23_lag_stratZ50ndj02', '23_lag_stratZ50ndj01', '17_lag_nchinaPRjja', '20_lag_atlSICsep', '19_lag_stratZ50ndj04', '21_lag_stratZ50ndj01']","[0.21295922223151037, 0.13531448031787763, 0.12507755360857628, 0.14515677005141908, 0.2116075323058479, 0.2566839930071155]","23_lag_stratZ50ndj02, 23_lag_stratZ50ndj01, 17_lag_nchinaPRjja, 20_lag_atlSICsep, 19_lag_stratZ50ndj04, 21_lag_stratZ50ndj01_1216_17"
