model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,seurTSjfm,picntrl,1714.5,2050.5,0.4,15,1,1,13.00514684668414,0.07561916509204297,1728,"['12_lag_stratZ50ndj03', '13_lag_amo2', '13_lag_amoSSTmjjaso', '13_lag_stratZ50ndj01', '11_lag_samPSLann', '8_lag_ormenSSTjfm', '1_lag_traTLS', '1_lag_eapPSLjfm', '1_lag_seurTSjfm', '14_lag_amoSSTmjjaso']","[0.08821372536337245, 0.07338600127265846, 0.15723136916096786, 0.060865399905491675, 0.051318498290005794, 0.14580181581593027, 0.11261329543553825, 0.05086879177816167, 0.00911924548935241, 0.16881610516175422]","12_lag_stratZ50ndj03, 13_lag_amo2, 13_lag_amoSSTmjjaso, 13_lag_stratZ50ndj01, 11_lag_samPSLann, 8_lag_ormenSSTjfm, 1_lag_traTLS, 1_lag_eapPSLjfm, 1_lag_seurTSjfm, 14_lag_amoSSTmjjaso_1728_1"
LinearRegression,1,10,seurTSjfm,picntrl,1715.5,2050.5,0.4,16,1,1,13.387004478053926,0.14296769695780615,1856,"['5_lag_nchinaPRjja', '10_lag_arcTSjfm', '11_lag_samPSLann', '10_lag_nppc2SSTjfm', '10_lag_nchinaPRjja', '5_lag_neurTSjfm', '1_lag_traTLS', '1_lag_seurTSjfm', '13_lag_amoSSTmjjaso', '14_lag_amoSSTmjjaso']","[0.1363544490174038, 0.027000064285229414, 0.014520843368903143, 0.10497249602495401, 0.14054232180770632, 0.169175805950983, 0.1089660460451623, 0.010473644755772286, 0.18425577912775523, 0.17298965347352419]","5_lag_nchinaPRjja, 10_lag_arcTSjfm, 11_lag_samPSLann, 10_lag_nppc2SSTjfm, 10_lag_nchinaPRjja, 5_lag_neurTSjfm, 1_lag_traTLS, 1_lag_seurTSjfm, 13_lag_amoSSTmjjaso, 14_lag_amoSSTmjjaso_1856_1"
LinearRegression,2,10,seurTSjfm,picntrl,1716.5,2050.5,0.4,17,1,1,13.286326711917889,0.10979045436005419,1984,"['1_lag_traIT', '9_lag_neurTSjfm', '10_lag_nchinaPRjja', '6_lag_stratZ50ndj03', '5_lag_nchinaPRjja', '16_lag_traBS', '1_lag_traTLS', '13_lag_amoSSTmjjaso', '1_lag_seurTSjfm', '14_lag_amoSSTmjjaso']","[0.03447315574431819, 0.21014303758242703, 0.1585726878036492, 0.06704139857956772, 0.11900240224038316, 0.08639184026137402, 0.15593335379922804, 0.17909488463877973, 0.015937483893365065, 0.19282300127960236]","1_lag_traIT, 9_lag_neurTSjfm, 10_lag_nchinaPRjja, 6_lag_stratZ50ndj03, 5_lag_nchinaPRjja, 16_lag_traBS, 1_lag_traTLS, 13_lag_amoSSTmjjaso, 1_lag_seurTSjfm, 14_lag_amoSSTmjjaso_1984_1"
LinearRegression,3,10,seurTSjfm,picntrl,1717.5,2050.5,0.4,18,1,1,13.134296144438824,0.12814489057362916,2112,"['11_lag_yrvPRjja', '10_lag_yrvPRjja', '6_lag_stratZ50ndj03', '5_lag_nchinaPRjja', '16_lag_traBS', '10_lag_nchinaPRjja', '1_lag_traTLS', '1_lag_seurTSjfm', '13_lag_amoSSTmjjaso', '14_lag_amoSSTmjjaso']","[0.07874659714191762, 0.03642613150752512, 0.06647845860840196, 0.13787070297511617, 0.0985519755827183, 0.11414483410774304, 0.1524950118334075, 0.008711813582860179, 0.1581437509806742, 0.17951611943275336]","11_lag_yrvPRjja, 10_lag_yrvPRjja, 6_lag_stratZ50ndj03, 5_lag_nchinaPRjja, 16_lag_traBS, 10_lag_nchinaPRjja, 1_lag_traTLS, 1_lag_seurTSjfm, 13_lag_amoSSTmjjaso, 14_lag_amoSSTmjjaso_2112_1"
LinearRegression,4,10,seurTSjfm,picntrl,1718.5,2050.5,0.4,19,1,1,13.228616230847102,0.13217180377736037,2240,"['11_lag_yrvPRjja', '5_lag_neurTSjfm', '6_lag_stratZ50ndj03', '18_lag_traEU', '16_lag_traBS', '13_lag_amoSSTmjjaso', '1_lag_traTLS', '10_lag_nchinaPRjja', '1_lag_seurTSjfm', '14_lag_amoSSTmjjaso']","[0.0731780881328541, 0.14623744840501818, 0.0871356500901371, 0.08736885018405981, 0.07833124551776666, 0.14232250080217682, 0.1503497172734517, 0.1422170308725797, 0.031083877855457465, 0.18765585673819268]","11_lag_yrvPRjja, 5_lag_neurTSjfm, 6_lag_stratZ50ndj03, 18_lag_traEU, 16_lag_traBS, 13_lag_amoSSTmjjaso, 1_lag_traTLS, 10_lag_nchinaPRjja, 1_lag_seurTSjfm, 14_lag_amoSSTmjjaso_2240_1"
LinearRegression,5,10,seurTSjfm,picntrl,1719.5,2050.5,0.4,20,1,1,13.103164359534713,0.0979783145832558,2368,"['19_lag_stratZ50ndj04', '16_lag_scpPSLjfm', '6_lag_stratZ50ndj03', '1_lag_seurTSjfm', '19_lag_traEU', '10_lag_nchinaPRjja', '1_lag_traTLS', '19_lag_seurTSjfm', '14_lag_amoSSTmjjaso', '19_lag_eapPSLjfm']","[0.2607249149623727, 0.06598989498258914, 0.06638782500056487, 0.006681657656978073, 0.13086627655465322, 0.07778373280573252, 0.14712563475636292, 0.021808373813022055, 0.14121662208227742, 0.15593935159094263]","19_lag_stratZ50ndj04, 16_lag_scpPSLjfm, 6_lag_stratZ50ndj03, 1_lag_seurTSjfm, 19_lag_traEU, 10_lag_nchinaPRjja, 1_lag_traTLS, 19_lag_seurTSjfm, 14_lag_amoSSTmjjaso, 19_lag_eapPSLjfm_2368_1"
LinearRegression,6,10,seurTSjfm,picntrl,1720.5,2050.5,0.4,21,1,1,12.516222387478482,0.14391712911731683,2496,"['16_lag_scpPSLjfm', '6_lag_stratZ50ndj03', '10_lag_nchinaPRjja', '16_lag_traBS', '19_lag_traEU', '1_lag_seurTSjfm', '19_lag_seurTSjfm', '1_lag_traTLS', '14_lag_amoSSTmjjaso', '19_lag_eapPSLjfm']","[0.019617889360657677, 0.08155393687586186, 0.06272390981080395, 0.07843594350981856, 0.07561030731298292, 0.030234611866472895, 0.008808804012009577, 0.1548672014355975, 0.1382191989836545, 0.1504768693466486]","16_lag_scpPSLjfm, 6_lag_stratZ50ndj03, 10_lag_nchinaPRjja, 16_lag_traBS, 19_lag_traEU, 1_lag_seurTSjfm, 19_lag_seurTSjfm, 1_lag_traTLS, 14_lag_amoSSTmjjaso, 19_lag_eapPSLjfm_2496_1"
LinearRegression,7,10,seurTSjfm,picntrl,1721.5,2050.5,0.4,22,2,5,13.299565597001235,0.04756687981921326,2496,"['11_lag_yrvPRjja', '19_lag_traEU', '7_lag_stratZ50ndj03', '16_lag_traBS', '5_lag_neurTSjfm', '10_lag_nchinaPRjja', '21_lag_stratZ50ndj03', '19_lag_seurTSjfm', '14_lag_amoSSTmjjaso', '19_lag_eapPSLjfm']","[0.002473501698736656, 0.04412853931641298, 0.06486360914620526, 0.13909060791270927, 0.15658528642425917, 0.1006013820126754, 0.18817489938980328, 0.008258193191490074, 0.14409624250346767, 0.17128194141673356]","11_lag_yrvPRjja, 19_lag_traEU, 7_lag_stratZ50ndj03, 16_lag_traBS, 5_lag_neurTSjfm, 10_lag_nchinaPRjja, 21_lag_stratZ50ndj03, 19_lag_seurTSjfm, 14_lag_amoSSTmjjaso, 19_lag_eapPSLjfm_2496_5"
LinearRegression,8,10,seurTSjfm,picntrl,1722.5,2050.5,0.4,23,3,5,12.845469242016401,0.051018271585210065,2496,"['13_lag_amoSSTmjjaso', '10_lag_yrvPRjja', '16_lag_traBS', '11_lag_yrvPRjja', '7_lag_stratZ50ndj03', '19_lag_seurTSjfm', '10_lag_nchinaPRjja', '5_lag_neurTSjfm', '14_lag_amoSSTmjjaso', '19_lag_eapPSLjfm']","[0.10909623722720926, 0.061927522552485084, 0.10693261537004531, 0.0024733233122677806, 0.021627491435831647, 0.0631472492078364, 0.13063264314584147, 0.16121645898693915, 0.15624426493188437, 0.12589534170636457]","13_lag_amoSSTmjjaso, 10_lag_yrvPRjja, 16_lag_traBS, 11_lag_yrvPRjja, 7_lag_stratZ50ndj03, 19_lag_seurTSjfm, 10_lag_nchinaPRjja, 5_lag_neurTSjfm, 14_lag_amoSSTmjjaso, 19_lag_eapPSLjfm_2496_5"
LinearRegression,9,10,seurTSjfm,picntrl,1723.5,2050.5,0.4,24,4,4,12.629374410545552,0.06349314271361191,2496,"['10_lag_traBS', '13_lag_amoSSTmjjaso', '7_lag_stratZ50ndj03', '4_lag_eapPSLjfm', '10_lag_nchinaPRjja', '5_lag_neurTSjfm', '4_lag_5_median_neurTSjfm', '10_lag_yrvPRjja', '19_lag_seurTSjfm', '19_lag_eapPSLjfm']","[0.06542319606154857, 0.09890567262365496, 0.037441269404134156, 0.16580155628134471, 0.1420708026885776, 0.07365335219986115, 0.07365335219986117, 0.09009208839749908, 0.07518685416188464, 0.13718921306676385]","10_lag_traBS, 13_lag_amoSSTmjjaso, 7_lag_stratZ50ndj03, 4_lag_eapPSLjfm, 10_lag_nchinaPRjja, 5_lag_neurTSjfm, 4_lag_5_median_neurTSjfm, 10_lag_yrvPRjja, 19_lag_seurTSjfm, 19_lag_eapPSLjfm_2496_4"
