model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,shSICmar,picntrl,1514.5,2050.5,0.6,15,5,5,18.9754715372045,-0.10223385614448509,1216,"['5_lag_9_median_satlSSTjfm', '5_lag_10_median_stratZ50ndj01', '7_lag_nppc2SSTjfm', '5_lag_eurPSLjfm', '12_lag_naoPSLjfm', '9_lag_amo3', '9_lag_traDP', '5_lag_13_median_mhfATL60', '5_lag_12_median_glomaSSTjfm', '13_lag_shSICsep']","[6.184989931851987, 5.502725045256158, 0.19309150759038118, 8.571913718047274, 0.33080592096688477, 4.191968428691318, 6.637334040639907, 3.2843758482385477, 0.6553530181045133, 3.1449273230195622]","5_lag_9_median_satlSSTjfm, 5_lag_10_median_stratZ50ndj01, 7_lag_nppc2SSTjfm, 5_lag_eurPSLjfm, 12_lag_naoPSLjfm, 9_lag_amo3, 9_lag_traDP, 5_lag_13_median_mhfATL60, 5_lag_12_median_glomaSSTjfm, 13_lag_shSICsep_1216_5"
LRforcedPSO,1,10,shSICmar,picntrl,1515.5,2050.5,0.6,16,6,6,17.478757478923004,-0.07715831276454255,1216,"['6_lag_14_median_gyreSSTjfm', '6_lag_12_median_tripol3', '13_lag_cetTSjfm', '9_lag_ensoSSTjfm', '6_lag_11_median_AMOCann', '6_lag_13_median_stratZ50ndj01', '6_lag_7_median_ginwSSTjfm', '6_lag_11_median_amoSSTmjjaso', '6_lag_12_median_neurTSjfm', '6_lag_8_median_mhfATL60']","[2.995835908119573, 1.8708564758171953, 0.28525165960528653, 2.8821066752123947, 3.261931643026905, 8.786213112917657, 2.364099159389572, 0.021575336672528422, 2.587132610064728, 1.9248867063066477]","6_lag_14_median_gyreSSTjfm, 6_lag_12_median_tripol3, 13_lag_cetTSjfm, 9_lag_ensoSSTjfm, 6_lag_11_median_AMOCann, 6_lag_13_median_stratZ50ndj01, 6_lag_7_median_ginwSSTjfm, 6_lag_11_median_amoSSTmjjaso, 6_lag_12_median_neurTSjfm, 6_lag_8_median_mhfATL60_1216_6"
LRforcedPSO,2,10,shSICmar,picntrl,1516.5,2050.5,0.6,17,7,7,18.14149998839436,-0.041569756950497735,1216,"['7_lag_15_median_atlSICjfm', '7_lag_11_median_ormenSSTjfm', '8_lag_AMOCann', '12_lag_ensoSSTjfm', '7_lag_15_median_alpi', '7_lag_11_median_traCA', '7_lag_16_median_nchinaPRjja', '7_lag_10_median_arcTSjfm', '7_lag_9_median_neurTSjfm', '16_lag_traMC']","[2.666556809982527, 4.413410167619801, 6.288227581602161, 5.194883514890565, 0.9115016961508431, 9.059017168117066, 1.1114708799172206, 4.756581529985338, 3.9904093993925933, 0.7074311738065262]","7_lag_15_median_atlSICjfm, 7_lag_11_median_ormenSSTjfm, 8_lag_AMOCann, 12_lag_ensoSSTjfm, 7_lag_15_median_alpi, 7_lag_11_median_traCA, 7_lag_16_median_nchinaPRjja, 7_lag_10_median_arcTSjfm, 7_lag_9_median_neurTSjfm, 16_lag_traMC_1216_7"
LRforcedPSO,3,10,shSICmar,picntrl,1517.5,2050.5,0.6,18,8,8,17.91566649212697,-0.1811537399442564,1216,"['8_lag_16_median_nhSICsep', '11_lag_naoPSLjfm', '8_lag_11_median_shTSjfm', '16_lag_atlSICjfm', '13_lag_amo1', '8_lag_15_median_traIT', '12_lag_nhSICjfm', '9_lag_shSICmar', '14_lag_ismPRjja', '8_lag_15_median_eurPSLjfm']","[3.078738279333326, 8.029277226703416, 0.2997397604136882, 0.746227375289017, 0.6136922770235387, 0.15160767736158576, 1.559184008863614, 4.740866986923205, 6.193377813591926, 4.48268543848666]","8_lag_16_median_nhSICsep, 11_lag_naoPSLjfm, 8_lag_11_median_shTSjfm, 16_lag_atlSICjfm, 13_lag_amo1, 8_lag_15_median_traIT, 12_lag_nhSICjfm, 9_lag_shSICmar, 14_lag_ismPRjja, 8_lag_15_median_eurPSLjfm_1216_8"
LRforcedPSO,4,10,shSICmar,picntrl,1518.5,2050.5,0.6,19,9,9,14.963188275266624,0.011924794114000513,1216,"['9_lag_samPSLann', '9_lag_16_median_shSICmar', '9_lag_13_median_seurTSjfm', '9_lag_12_median_cetTSjfm', '9_lag_14_median_traFSC', '9_lag_14_median_gyreSSTjfm', '9_lag_18_median_shSICmar', '9_lag_11_median_neurTSjfm', '14_lag_eapPSLjfm', '12_lag_tripol1']","[1.197041957600689, 7.185857322573639, 4.768079055244019, 0.5839059712197532, 7.881119058989622, 7.8601868922068405, 7.46923822070352, 1.1355334084695023, 4.168261834291158, 0.3073697812885321]","9_lag_samPSLann, 9_lag_16_median_shSICmar, 9_lag_13_median_seurTSjfm, 9_lag_12_median_cetTSjfm, 9_lag_14_median_traFSC, 9_lag_14_median_gyreSSTjfm, 9_lag_18_median_shSICmar, 9_lag_11_median_neurTSjfm, 14_lag_eapPSLjfm, 12_lag_tripol1_1216_9"
LRforcedPSO,5,10,shSICmar,picntrl,1519.5,2050.5,0.6,20,10,10,19.407638982188153,-0.016806754010308237,1216,"['12_lag_arcTSjfm', '18_lag_traTLS', '16_lag_stratZ50ndj03', '10_lag_19_median_gyreSSTjfm', '10_lag_13_median_traCA', '19_lag_neurTSjfm', '10_lag_18_median_traDP', '10_lag_15_median_stratZ50ndj03', '16_lag_tripol1', '10_lag_traBO']","[5.795229909596829, 0.9179548717492896, 5.055923875564384, 4.987671766089976, 5.044196782658861, 2.286028050206877, 5.539460988200338, 4.983373501115285, 5.0702063167776945, 5.162400515938561]","12_lag_arcTSjfm, 18_lag_traTLS, 16_lag_stratZ50ndj03, 10_lag_19_median_gyreSSTjfm, 10_lag_13_median_traCA, 19_lag_neurTSjfm, 10_lag_18_median_traDP, 10_lag_15_median_stratZ50ndj03, 16_lag_tripol1, 10_lag_traBO_1216_10"
LRforcedPSO,6,10,shSICmar,picntrl,1520.5,2050.5,0.6,21,11,11,16.230045662025912,0.00048645023452159597,1216,"['16_lag_tripol2', '11_lag_13_median_stratZ50ndj03', '11_lag_16_median_cetTSjfm', '15_lag_satlSSTjfm', '14_lag_scpPSLjfm', '13_lag_samPSLann', '20_lag_atlSICsep', '11_lag_20_median_traFS', '19_lag_mhfATL60', '11_lag_17_median_tripol1']","[1.2941876708283662, 3.4937439533564074, 1.7837577350575131, 0.24462259030732625, 0.21076142912050955, 5.398409168066054, 2.723993350347625, 8.79257400922548, 0.6224914508766428, 4.594432881648888]","16_lag_tripol2, 11_lag_13_median_stratZ50ndj03, 11_lag_16_median_cetTSjfm, 15_lag_satlSSTjfm, 14_lag_scpPSLjfm, 13_lag_samPSLann, 20_lag_atlSICsep, 11_lag_20_median_traFS, 19_lag_mhfATL60, 11_lag_17_median_tripol1_1216_11"
LRforcedPSO,7,10,shSICmar,picntrl,1521.5,2050.5,0.6,22,12,12,15.40932125861004,0.06792225020555356,1216,"['16_lag_traBO', '20_lag_amo2', '12_lag_17_median_traFB', '18_lag_pdoSSTjfm', '12_lag_16_median_mhfIP30', '15_lag_mhfIP30', '15_lag_traFS', '19_lag_naoPSLjfm', '13_lag_naoPSLjfm', '14_lag_scpPSLjfm']","[4.548937112851775, 6.725638873078601, 0.318213124442126, 1.0305574021683483, 0.43187492938679917, 2.219136301731986, 4.438275762004675, 5.159373219781557, 5.838995489867463, 1.5603465396056553]","16_lag_traBO, 20_lag_amo2, 12_lag_17_median_traFB, 18_lag_pdoSSTjfm, 12_lag_16_median_mhfIP30, 15_lag_mhfIP30, 15_lag_traFS, 19_lag_naoPSLjfm, 13_lag_naoPSLjfm, 14_lag_scpPSLjfm_1216_12"
LRforcedPSO,8,10,shSICmar,picntrl,1522.5,2050.5,0.6,23,13,13,18.970744147732272,-0.03467914426540407,1216,"['19_lag_nhSICjfm', '13_lag_16_median_traFS', '15_lag_stratZ50ndj01', '13_lag_20_median_traBS', '18_lag_mhfATL60', '13_lag_stratZ50ndj03', '13_lag_15_median_glomaSSTjfm', '13_lag_21_median_traFSC', '13_lag_14_median_traDS', '13_lag_22_median_eapPSLjfm']","[1.9747983644098603, 2.9137724663262254, 6.6351057657254096, 5.358332773078843, 0.3872986306747208, 4.614376696603248, 6.32567369317265, 4.719829604872562, 9.074617664013061, 2.0077664935682726]","19_lag_nhSICjfm, 13_lag_16_median_traFS, 15_lag_stratZ50ndj01, 13_lag_20_median_traBS, 18_lag_mhfATL60, 13_lag_stratZ50ndj03, 13_lag_15_median_glomaSSTjfm, 13_lag_21_median_traFSC, 13_lag_14_median_traDS, 13_lag_22_median_eapPSLjfm_1216_13"
LRforcedPSO,9,10,shSICmar,picntrl,1523.5,2050.5,0.6,24,14,14,17.23779251610039,-0.006963986150314075,1216,"['14_lag_17_median_ormenSSTjfm', '23_lag_shSICmar', '14_lag_22_median_traIT', '15_lag_samPSLann', '17_lag_atlSICjfm', '14_lag_16_median_shSICmar', '22_lag_eurPSLjfm', '18_lag_traFS', '14_lag_20_median_yrvPRjja', '14_lag_traTLS']","[6.640122651148175, 4.183268837605507, 8.195613081692844, 3.471770373255943, 4.626533979553782, 5.727651773482021, 1.228602308631693, 1.3024765116011991, 1.476711990278618, 3.5511594445825683]","14_lag_17_median_ormenSSTjfm, 23_lag_shSICmar, 14_lag_22_median_traIT, 15_lag_samPSLann, 17_lag_atlSICjfm, 14_lag_16_median_shSICmar, 22_lag_eurPSLjfm, 18_lag_traFS, 14_lag_20_median_yrvPRjja, 14_lag_traTLS_1216_14"
