model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,shSICsep,picntrl,1514.5,2050.5,0.4,15,1,1,10.547562368719174,0.6529036959900858,1728,"['14_lag_nchinaPRjja', '8_lag_ismPRjja', '14_lag_ismPRjja', '5_lag_shSICsep', '8_lag_nchinaPRjja', '1_lag_shSICsep']","[0.05215816188280802, 0.08568808807707778, 0.19437813181538513, 0.15611974980843457, 0.07512192842507603, 0.60432284703263]","14_lag_nchinaPRjja, 8_lag_ismPRjja, 14_lag_ismPRjja, 5_lag_shSICsep, 8_lag_nchinaPRjja, 1_lag_shSICsep_1728_1"
LinearRegression,1,6,shSICsep,picntrl,1515.5,2050.5,0.4,16,1,1,10.67008860561103,0.6517634555523515,1856,"['8_lag_ismPRjja', '15_lag_traDP', '5_lag_shSICsep', '8_lag_nchinaPRjja', '5_lag_stratZ50ndj03', '1_lag_shSICsep']","[0.11802048035609378, 0.16604536659062025, 0.14047190908523374, 0.06210190475633251, 0.060927463278957886, 0.5822662873382242]","8_lag_ismPRjja, 15_lag_traDP, 5_lag_shSICsep, 8_lag_nchinaPRjja, 5_lag_stratZ50ndj03, 1_lag_shSICsep_1856_1"
LinearRegression,2,6,shSICsep,picntrl,1516.5,2050.5,0.4,17,1,1,10.544116071033663,0.643148762636658,1984,"['13_lag_eurPSLjfm', '16_lag_amo2', '8_lag_nchinaPRjja', '5_lag_stratZ50ndj03', '8_lag_ismPRjja', '1_lag_shSICsep']","[0.10494343537083686, 0.13532804535983306, 0.08957063793805033, 0.09069834167345459, 0.0941320536071818, 0.6477734385658641]","13_lag_eurPSLjfm, 16_lag_amo2, 8_lag_nchinaPRjja, 5_lag_stratZ50ndj03, 8_lag_ismPRjja, 1_lag_shSICsep_1984_1"
LinearRegression,3,6,shSICsep,picntrl,1517.5,2050.5,0.4,18,1,1,10.394247224427723,0.6553936627486998,2112,"['17_lag_tripol3', '16_lag_amo2', '5_lag_shSICsep', '8_lag_nchinaPRjja', '8_lag_ismPRjja', '1_lag_shSICsep']","[0.09496385648626941, 0.1334015529088812, 0.14594004437395913, 0.09030432154821233, 0.10960735272911212, 0.5928003876008299]","17_lag_tripol3, 16_lag_amo2, 5_lag_shSICsep, 8_lag_nchinaPRjja, 8_lag_ismPRjja, 1_lag_shSICsep_2112_1"
LinearRegression,4,6,shSICsep,picntrl,1518.5,2050.5,0.4,19,1,1,10.42468237412738,0.6740274905991395,2240,"['9_lag_traWP', '9_lag_eapPSLjfm', '13_lag_eurPSLjfm', '8_lag_ismPRjja', '5_lag_shSICsep', '1_lag_shSICsep']","[0.03479153198095401, 0.08642670459893664, 0.08845790143487381, 0.12261522440763846, 0.14447385832290693, 0.5948712915439672]","9_lag_traWP, 9_lag_eapPSLjfm, 13_lag_eurPSLjfm, 8_lag_ismPRjja, 5_lag_shSICsep, 1_lag_shSICsep_2240_1"
LinearRegression,5,6,shSICsep,picntrl,1519.5,2050.5,0.4,20,1,1,10.478396067594014,0.6655671664210545,2368,"['10_lag_stratZ50ndj04', '8_lag_ismPRjja', '9_lag_eapPSLjfm', '5_lag_shSICsep', '13_lag_eurPSLjfm', '1_lag_shSICsep']","[0.06951053125545338, 0.11463493248450934, 0.08795984125243131, 0.14783839299077733, 0.09026592998812277, 0.5987313789705119]","10_lag_stratZ50ndj04, 8_lag_ismPRjja, 9_lag_eapPSLjfm, 5_lag_shSICsep, 13_lag_eurPSLjfm, 1_lag_shSICsep_2368_1"
LinearRegression,6,6,shSICsep,picntrl,1520.5,2050.5,0.4,21,1,1,10.297682905394831,0.6762858575940137,2496,"['8_lag_ismPRjja', '8_lag_nchinaPRjja', '13_lag_eurPSLjfm', '5_lag_stratZ50ndj03', '5_lag_shSICsep', '1_lag_shSICsep']","[0.12387708123834061, 0.08725218503421561, 0.11223195897843335, 0.07075384384203075, 0.14838030216132347, 0.5903400335688752]","8_lag_ismPRjja, 8_lag_nchinaPRjja, 13_lag_eurPSLjfm, 5_lag_stratZ50ndj03, 5_lag_shSICsep, 1_lag_shSICsep_2496_1"
LinearRegression,7,6,shSICsep,picntrl,1521.5,2050.5,0.4,22,2,2,12.532541743616207,0.48646808783880724,2496,"['5_lag_stratZ50ndj03', '13_lag_eurPSLjfm', '8_lag_ismPRjja', '5_lag_shSICsep', '16_lag_amo2', '2_lag_shSICmar']","[0.09800249423478553, 0.09087429689069185, 0.16571220032122833, 0.2906021296332831, 0.22291829187137369, 0.3232166367722666]","5_lag_stratZ50ndj03, 13_lag_eurPSLjfm, 8_lag_ismPRjja, 5_lag_shSICsep, 16_lag_amo2, 2_lag_shSICmar_2496_2"
LinearRegression,8,6,shSICsep,picntrl,1522.5,2050.5,0.4,23,3,3,15.853286277030707,0.07685276054200343,2496,"['3_lag_shSICmar', '13_lag_stratZ50ndj02', '22_lag_alpi', '14_lag_stratZ50ndj01', '10_lag_stratZ50ndj04', '16_lag_amo2']","[0.29427816588973993, 0.22994123010396317, 0.1003075612514, 0.18789294479450375, 0.1363544697661392, 0.31691334876457794]","3_lag_shSICmar, 13_lag_stratZ50ndj02, 22_lag_alpi, 14_lag_stratZ50ndj01, 10_lag_stratZ50ndj04, 16_lag_amo2_2496_3"
LinearRegression,9,6,shSICsep,picntrl,1523.5,2050.5,0.4,24,4,4,17.014235663424866,-0.1610029292351529,2496,"['10_lag_stratZ50ndj04', '14_lag_stratZ50ndj01', '13_lag_stratZ50ndj02', '4_lag_traTLS', '22_lag_alpi', '16_lag_amo2']","[0.13679719765717518, 0.2166441100592619, 0.24340212662453142, 0.09829242997370055, 0.11490532449936874, 0.33628878817439745]","10_lag_stratZ50ndj04, 14_lag_stratZ50ndj01, 13_lag_stratZ50ndj02, 4_lag_traTLS, 22_lag_alpi, 16_lag_amo2_2496_4"
