model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,shTSjfm,picntrl,1066.5,2050.5,0.6,15,1,1,16.90115398829927,0.06265540610020738,1728,"['1_lag_2_median_mhfATL30', '13_lag_nppc3SSTjfm', '1_lag_4_median_traDS', '1_lag_6_median_mhfATL45', '1_lag_3_median_shTSjfm', '1_lag_12_median_tripol3', '11_lag_glTSjfm', '1_lag_3_median_eurPSLjfm', '12_lag_traBO', '1_lag_7_median_glTSjfm']","[9.432910026730672, 3.4951751624565155, 3.632265514774506, 6.079624080942736, 9.656469677398903, 0.6349254444476706, 3.3200831405516613, 4.7735137409313495, 6.732611256492092, 7.935166449004825]","1_lag_2_median_mhfATL30, 13_lag_nppc3SSTjfm, 1_lag_4_median_traDS, 1_lag_6_median_mhfATL45, 1_lag_3_median_shTSjfm, 1_lag_12_median_tripol3, 11_lag_glTSjfm, 1_lag_3_median_eurPSLjfm, 12_lag_traBO, 1_lag_7_median_glTSjfm_1728_1"
LRforcedPSO,1,10,shTSjfm,picntrl,1067.5,2050.5,0.6,16,1,1,15.036545110990327,0.029711103525793946,1856,"['1_lag_12_median_stratZ50ndj02', '1_lag_arcTSjfm', '1_lag_3_median_traBS', '12_lag_traMC', '1_lag_7_median_nhSICjfm', '3_lag_tripol1', '1_lag_6_median_mhfATL60', '1_lag_11_median_mhfATL45', '1_lag_11_median_AMOCann', '12_lag_stratZ50ndj03']","[3.113453657041976, 0.5155187669506773, 4.949968578695671, 3.008281781041365, 4.2081951612609085, 1.421036926744284, 4.000899866035268, 6.480747242254592, 4.722065179102827, 1.372726634356372]","1_lag_12_median_stratZ50ndj02, 1_lag_arcTSjfm, 1_lag_3_median_traBS, 12_lag_traMC, 1_lag_7_median_nhSICjfm, 3_lag_tripol1, 1_lag_6_median_mhfATL60, 1_lag_11_median_mhfATL45, 1_lag_11_median_AMOCann, 12_lag_stratZ50ndj03_1856_1"
LRforcedPSO,2,10,shTSjfm,picntrl,1068.5,2050.5,0.6,17,1,1,13.703321367585007,0.2282914394250234,1984,"['1_lag_naoPSLjfm', '1_lag_8_median_tripol3', '1_lag_9_median_cetTSjfm', '1_lag_4_median_traCA', '1_lag_9_median_neurTSjfm', '1_lag_16_median_labSSTjfm', '5_lag_nppc3SSTjfm', '1_lag_15_median_satlSSTjfm', '1_lag_12_median_traIT', '15_lag_alpi']","[3.580761225738282, 2.4342852922274876, 0.09063606987455053, 0.0849945507578802, 0.6436826143111425, 3.356778684797181, 2.5330046919596523, 4.891900243667926, 7.623793485370999, 1.5375191723799801]","1_lag_naoPSLjfm, 1_lag_8_median_tripol3, 1_lag_9_median_cetTSjfm, 1_lag_4_median_traCA, 1_lag_9_median_neurTSjfm, 1_lag_16_median_labSSTjfm, 5_lag_nppc3SSTjfm, 1_lag_15_median_satlSSTjfm, 1_lag_12_median_traIT, 15_lag_alpi_1984_1"
LRforcedPSO,3,10,shTSjfm,picntrl,1069.5,2050.5,0.6,18,1,1,14.451632685189056,0.19133887971651206,2112,"['1_lag_3_median_glTSjfm', '11_lag_traBO', '13_lag_seurTSjfm', '3_lag_ormenSSTjfm', '1_lag_7_median_shSICsep', '16_lag_stratZ50ndj04', '1_lag_14_median_traBS', '15_lag_traCA', '1_lag_17_median_pdoSSTjfm', '3_lag_ismPRjja']","[3.734211115174575, 5.297782081099047, 2.186504205631743, 3.623231001366813, 9.338006808204584, 7.039781280858087, 0.3028090118508473, 1.415422935342825, 0.44130375423456414, 1.9390839361436019]","1_lag_3_median_glTSjfm, 11_lag_traBO, 13_lag_seurTSjfm, 3_lag_ormenSSTjfm, 1_lag_7_median_shSICsep, 16_lag_stratZ50ndj04, 1_lag_14_median_traBS, 15_lag_traCA, 1_lag_17_median_pdoSSTjfm, 3_lag_ismPRjja_2112_1"
LRforcedPSO,4,10,shTSjfm,picntrl,1070.5,2050.5,0.6,19,1,1,16.41406699313067,-0.06842702954328667,2240,"['1_lag_10_median_glomaSSTjfm', '15_lag_traFSC', '6_lag_atlSICjfm', '2_lag_nhSICsep', '6_lag_shTSjfm', '16_lag_satlSSTjfm', '7_lag_glomaSSTjfm', '18_lag_eurPSLjfm', '1_lag_8_median_glomaSSTjfm', '4_lag_tripol3']","[6.8938438127952715, 0.3547948729770063, 3.6023641566850735, 2.635564653213965, 2.2500630436122577, 3.415679056562917, 4.413087481604636, 5.986977876144186, 3.69876739231056, 0.4621993191786107]","1_lag_10_median_glomaSSTjfm, 15_lag_traFSC, 6_lag_atlSICjfm, 2_lag_nhSICsep, 6_lag_shTSjfm, 16_lag_satlSSTjfm, 7_lag_glomaSSTjfm, 18_lag_eurPSLjfm, 1_lag_8_median_glomaSSTjfm, 4_lag_tripol3_2240_1"
LRforcedPSO,5,10,shTSjfm,picntrl,1071.5,2050.5,0.6,20,1,1,17.382346353652387,0.01089037282055053,2368,"['1_lag_11_median_amo2', '15_lag_mhfATL60', '1_lag_5_median_traFSC', '7_lag_traIT', '19_lag_tripol2', '1_lag_6_median_amo2', '1_lag_18_median_yrvPRjja', '19_lag_mhfATL30', '1_lag_9_median_nhTSjfm', '9_lag_wnorPRjfm']","[2.6434389791675024, 2.621347664535161, 5.774217673404236, 3.867156045388116, 1.1968449060961905, 2.9768269439593764, 1.0919262138615657, 4.992924083489214, 8.170613471063724, 4.077680889183654]","1_lag_11_median_amo2, 15_lag_mhfATL60, 1_lag_5_median_traFSC, 7_lag_traIT, 19_lag_tripol2, 1_lag_6_median_amo2, 1_lag_18_median_yrvPRjja, 19_lag_mhfATL30, 1_lag_9_median_nhTSjfm, 9_lag_wnorPRjfm_2368_1"
LRforcedPSO,6,10,shTSjfm,picntrl,1072.5,2050.5,0.6,21,1,1,19.074697572790434,-0.1142437984883984,2496,"['11_lag_tripol3', '18_lag_shSICmar', '7_lag_seurTSjfm', '6_lag_ormenSSTjfm', '2_lag_tripol2', '7_lag_mhfATL60', '8_lag_nhSICjfm', '1_lag_3_median_traFS', '1_lag_14_median_nppc2SSTjfm', '1_lag_7_median_traFSC']","[1.6625183056518633, 8.842882762399132, 4.259346139746675, 2.0538250698214373, 3.2705292220625815, 1.892009051244095, 4.5943048992239035, 1.0572642307862061, 0.6096694368333981, 2.494176608008164]","11_lag_tripol3, 18_lag_shSICmar, 7_lag_seurTSjfm, 6_lag_ormenSSTjfm, 2_lag_tripol2, 7_lag_mhfATL60, 8_lag_nhSICjfm, 1_lag_3_median_traFS, 1_lag_14_median_nppc2SSTjfm, 1_lag_7_median_traFSC_2496_1"
LRforcedPSO,7,10,shTSjfm,picntrl,1073.5,2050.5,0.6,22,1,1,14.870810819306016,0.058676840536215094,2624,"['1_lag_9_median_stratZ50ndj04', '1_lag_3_median_stratZ50ndj04', '1_lag_5_median_traBS', '1_lag_6_median_mhfATL30', '6_lag_traBO', '15_lag_traEU', '1_lag_12_median_traDP', '1_lag_13_median_yrvPRjja', '1_lag_10_median_seurTSjfm', '1_lag_6_median_ormenSSTjfm']","[1.806829031867359, 4.009723349140312, 1.062755250955508, 1.7221404300336989, 2.763529700726874, 2.2950047183713966, 3.6119172966008595, 7.808914872403774, 0.6436609778598434, 1.3246777207923994]","1_lag_9_median_stratZ50ndj04, 1_lag_3_median_stratZ50ndj04, 1_lag_5_median_traBS, 1_lag_6_median_mhfATL30, 6_lag_traBO, 15_lag_traEU, 1_lag_12_median_traDP, 1_lag_13_median_yrvPRjja, 1_lag_10_median_seurTSjfm, 1_lag_6_median_ormenSSTjfm_2624_1"
LRforcedPSO,8,10,shTSjfm,picntrl,1074.5,2050.5,0.6,23,1,1,13.61005070049013,0.23038546612300215,2752,"['14_lag_ormenSSTjfm', '1_lag_3_median_pdoSSTjfm', '2_lag_stratZ50ndj03', '17_lag_traEC', '5_lag_neurTSjfm', '5_lag_traDP', '21_lag_mhfIP30', '1_lag_17_median_traDP', '1_lag_arcTSjfm', '18_lag_eurPSLjfm']","[5.018261769433927, 2.0226405620615395, 1.4342463787289699, 5.1469836387776935, 2.478093958208323, 4.454746227848885, 7.0923493706209655, 1.6711482745600836, 3.748233096669157, 1.3933590967518956]","14_lag_ormenSSTjfm, 1_lag_3_median_pdoSSTjfm, 2_lag_stratZ50ndj03, 17_lag_traEC, 5_lag_neurTSjfm, 5_lag_traDP, 21_lag_mhfIP30, 1_lag_17_median_traDP, 1_lag_arcTSjfm, 18_lag_eurPSLjfm_2752_1"
LRforcedPSO,9,10,shTSjfm,picntrl,1075.5,2050.5,0.6,24,1,1,14.80251604390247,0.21036715551528862,2880,"['3_lag_atlSICjfm', '11_lag_stratZ50ndj01', '11_lag_alpi', '5_lag_traDP', '1_lag_17_median_glTSjfm', '1_lag_10_median_mhfATL60', '16_lag_cetTSjfm', '2_lag_atlSICsep', '1_lag_18_median_satlSSTjfm', '1_lag_4_median_shSICmar']","[5.01236140939424, 2.384461492269791, 0.8447041169559846, 2.398916353953531, 2.802199622127861, 2.539507212104395, 6.031338184165063, 1.5135321119363372, 0.32616548297579584, 3.9175951292279247]","3_lag_atlSICjfm, 11_lag_stratZ50ndj01, 11_lag_alpi, 5_lag_traDP, 1_lag_17_median_glTSjfm, 1_lag_10_median_mhfATL60, 16_lag_cetTSjfm, 2_lag_atlSICsep, 1_lag_18_median_satlSSTjfm, 1_lag_4_median_shSICmar_2880_1"
