model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,stratZ50ndj02,picntrl,1066.5,2050.5,0.6,15,1,1,13.558257934177274,0.009142149385255226,1728,"['12_lag_traEC', '12_lag_atlSICsep', '12_lag_shSICsep', '11_lag_satlSSTjfm', '6_lag_mhfATL45', '3_lag_amo2', '1_lag_traCA', '12_lag_nhTSjfm', '13_lag_glomaSSTjfm', '3_lag_amoSSTmjjaso', '1_lag_mhfATL30', '13_lag_tripol2', '11_lag_AMOCann', '13_lag_atlSICsep', '1_lag_6_median_atlSICjfm', '6_lag_atlSICsep', '6_lag_arcTSjfm', '7_lag_mhfATL60', '7_lag_tripol1', '4_lag_neurTSjfm', '5_lag_traIFC', '7_lag_cetTSjfm', '8_lag_satlSSTjfm', '1_lag_8_median_alpi', '5_lag_shSICsep', '12_lag_amo1', '12_lag_amo3', '1_lag_samPSLann', '1_lag_shTSjfm', '1_lag_stratZ50ndj02']","[0.08599182052862538, 0.12130494549533517, 0.02895439212196686, 0.03652081603295657, 0.0047976800545801385, 0.005850826070161872, 0.08523250528470809, 0.0699260558678193, 0.1173562716417132, 0.05678182621637392, 0.06224682403748482, 0.014905123191571263, 0.019921460389337634, 0.035787035071334544, 0.015449506433864557, 0.06908065612968466, 0.015452908694844072, 0.08684212217317686, 0.018172778296631265, 0.0685797829719708, 0.05444827220125077, 0.08011702387292093, 0.051564509508784655, 0.02605542207626301, 0.07381973510650575, 0.09324295782989, 0.050695585849304135, 0.07166448452360642, 0.09825750492106103, 0.04785939483977149]","12_lag_traEC, 12_lag_atlSICsep, 12_lag_shSICsep, 11_lag_satlSSTjfm, 6_lag_mhfATL45, 3_lag_amo2, 1_lag_traCA, 12_lag_nhTSjfm, 13_lag_glomaSSTjfm, 3_lag_amoSSTmjjaso, 1_lag_mhfATL30, 13_lag_tripol2, 11_lag_AMOCann, 13_lag_atlSICsep, 1_lag_6_median_atlSICjfm, 6_lag_atlSICsep, 6_lag_arcTSjfm, 7_lag_mhfATL60, 7_lag_tripol1, 4_lag_neurTSjfm, 5_lag_traIFC, 7_lag_cetTSjfm, 8_lag_satlSSTjfm, 1_lag_8_median_alpi, 5_lag_shSICsep, 12_lag_amo1, 12_lag_amo3, 1_lag_samPSLann, 1_lag_shTSjfm, 1_lag_stratZ50ndj02_1728_1"
LinearRegression,1,30,stratZ50ndj02,picntrl,1067.5,2050.5,0.6,16,1,1,13.68520225207502,0.011252718933735407,1856,"['7_lag_mhfATL60', '7_lag_tripol1', '6_lag_naoPSLjfm', '1_lag_ensoSSTjfm', '12_lag_atlSICsep', '3_lag_amo2', '7_lag_glomaSSTjfm', '1_lag_6_median_atlSICjfm', '4_lag_nppc2SSTjfm', '6_lag_traDS', '6_lag_arcTSjfm', '5_lag_ismPRjja', '4_lag_neurTSjfm', '6_lag_atlSICsep', '5_lag_traEU', '10_lag_stratZ50ndj02', '1_lag_8_median_alpi', '4_lag_traWP', '8_lag_satlSSTjfm', '11_lag_satlSSTjfm', '14_lag_tripol3', '12_lag_amo3', '5_lag_traIFC', '4_lag_eurPSLjfm', '12_lag_amo1', '7_lag_cetTSjfm', '1_lag_samPSLann', '1_lag_shTSjfm', '5_lag_shSICsep', '1_lag_stratZ50ndj02']","[0.037254763628305, 0.05636705830878393, 0.011257005114194423, 0.17176546255503033, 0.08161106111117716, 0.037660039466198746, 0.126555196825302, 0.08133392575279831, 0.10039651892870854, 0.045472885764240585, 0.06533475634680459, 0.0705761043424638, 0.04683314704416769, 0.05028945724924318, 0.002658159433325926, 0.04761072800524138, 0.046227406534039145, 0.060935110911019594, 0.06815474415869782, 0.04904092439958396, 0.03454099949033382, 0.02769015324061786, 0.08435237210734457, 0.01902711267272614, 0.07868956671340029, 0.0614545087805595, 0.03535495059834231, 0.200420252866028, 0.11972455801921093, 0.06386807500724732]","7_lag_mhfATL60, 7_lag_tripol1, 6_lag_naoPSLjfm, 1_lag_ensoSSTjfm, 12_lag_atlSICsep, 3_lag_amo2, 7_lag_glomaSSTjfm, 1_lag_6_median_atlSICjfm, 4_lag_nppc2SSTjfm, 6_lag_traDS, 6_lag_arcTSjfm, 5_lag_ismPRjja, 4_lag_neurTSjfm, 6_lag_atlSICsep, 5_lag_traEU, 10_lag_stratZ50ndj02, 1_lag_8_median_alpi, 4_lag_traWP, 8_lag_satlSSTjfm, 11_lag_satlSSTjfm, 14_lag_tripol3, 12_lag_amo3, 5_lag_traIFC, 4_lag_eurPSLjfm, 12_lag_amo1, 7_lag_cetTSjfm, 1_lag_samPSLann, 1_lag_shTSjfm, 5_lag_shSICsep, 1_lag_stratZ50ndj02_1856_1"
LinearRegression,2,30,stratZ50ndj02,picntrl,1068.5,2050.5,0.6,17,1,1,13.997824338807732,-0.018412933685952322,1984,"['14_lag_tripol3', '9_lag_shSICmar', '4_lag_neurTSjfm', '7_lag_glomaSSTjfm', '1_lag_4_median_eapPSLjfm', '3_lag_amoSSTmjjaso', '1_lag_4_median_nppc3SSTjfm', '14_lag_traEU', '7_lag_yrvPRjja', '5_lag_traCA', '7_lag_cetTSjfm', '5_lag_gyreSSTjfm', '14_lag_atlSICsep', '6_lag_traWP', '10_lag_stratZ50ndj02', '12_lag_traFS', '5_lag_traIFC', '6_lag_stratZ50ndj04', '6_lag_atlSICsep', '5_lag_shSICsep', '8_lag_satlSSTjfm', '4_lag_eurPSLjfm', '6_lag_naoPSLjfm', '1_lag_shTSjfm', '12_lag_atlSICsep', '16_lag_nhSICsep', '12_lag_amo1', '16_lag_traTLS', '1_lag_samPSLann', '1_lag_stratZ50ndj02']","[0.03945750188652045, 0.10508036165060654, 0.07203284447699448, 0.038457413345086316, 0.20188247010328453, 0.02024890432945674, 0.057413310164956176, 0.017418174926321382, 0.10316887887187424, 0.014788032305834234, 0.05644139298624962, 0.03422286733815466, 0.08162467658807462, 0.07462821399014186, 0.038019206328480874, 0.07145214116025926, 0.06553660959467468, 0.09493328641772625, 0.09860512221204942, 0.1009867463263274, 0.058673339904520866, 0.04369915792897626, 0.0015755946032475245, 0.06689884773754992, 0.10747761816733781, 0.0792386795494581, 0.07236983456501617, 0.01683798599890364, 0.03788660891322351, 0.06394552326597139]","14_lag_tripol3, 9_lag_shSICmar, 4_lag_neurTSjfm, 7_lag_glomaSSTjfm, 1_lag_4_median_eapPSLjfm, 3_lag_amoSSTmjjaso, 1_lag_4_median_nppc3SSTjfm, 14_lag_traEU, 7_lag_yrvPRjja, 5_lag_traCA, 7_lag_cetTSjfm, 5_lag_gyreSSTjfm, 14_lag_atlSICsep, 6_lag_traWP, 10_lag_stratZ50ndj02, 12_lag_traFS, 5_lag_traIFC, 6_lag_stratZ50ndj04, 6_lag_atlSICsep, 5_lag_shSICsep, 8_lag_satlSSTjfm, 4_lag_eurPSLjfm, 6_lag_naoPSLjfm, 1_lag_shTSjfm, 12_lag_atlSICsep, 16_lag_nhSICsep, 12_lag_amo1, 16_lag_traTLS, 1_lag_samPSLann, 1_lag_stratZ50ndj02_1984_1"
LinearRegression,3,30,stratZ50ndj02,picntrl,1069.5,2050.5,0.6,18,1,1,14.041773989967101,-0.012099812643261584,2112,"['15_lag_arcTSjfm', '6_lag_traWP', '1_lag_mhfATL30', '14_lag_tripol3', '10_lag_stratZ50ndj02', '7_lag_yrvPRjja', '5_lag_ismPRjja', '12_lag_traFS', '17_lag_mhfIP30', '17_lag_shSICmar', '1_lag_4_median_eapPSLjfm', '14_lag_traEU', '7_lag_traIFC', '12_lag_amo3', '6_lag_stratZ50ndj04', '5_lag_traIFC', '14_lag_atlSICsep', '8_lag_satlSSTjfm', '4_lag_eurPSLjfm', '7_lag_cetTSjfm', '12_lag_yrvPRjja', '1_lag_shTSjfm', '6_lag_atlSICsep', '5_lag_shSICsep', '12_lag_atlSICsep', '16_lag_traTLS', '16_lag_nhSICsep', '1_lag_samPSLann', '12_lag_amo1', '1_lag_stratZ50ndj02']","[0.10390106723790271, 0.07010288753005424, 0.09170463247316557, 0.050638249904827896, 0.034135259702030636, 0.09394719560752622, 0.034390495551781856, 0.08202995500829746, 0.017116173928897572, 0.0653245616090582, 0.17233607867634376, 0.02749843402027555, 0.08128814541105438, 0.014790317550581402, 0.08689412273064308, 0.05995263844548184, 0.11237137888532675, 0.04381871437598098, 0.02429195140680953, 0.08834305370907958, 0.09846624645072735, 0.09015987768548629, 0.08477660399103294, 0.0635047102355041, 0.10324426900223593, 0.03941431774577164, 0.10894611125301977, 0.04358038623704536, 0.08100109519393013, 0.048625234527126304]","15_lag_arcTSjfm, 6_lag_traWP, 1_lag_mhfATL30, 14_lag_tripol3, 10_lag_stratZ50ndj02, 7_lag_yrvPRjja, 5_lag_ismPRjja, 12_lag_traFS, 17_lag_mhfIP30, 17_lag_shSICmar, 1_lag_4_median_eapPSLjfm, 14_lag_traEU, 7_lag_traIFC, 12_lag_amo3, 6_lag_stratZ50ndj04, 5_lag_traIFC, 14_lag_atlSICsep, 8_lag_satlSSTjfm, 4_lag_eurPSLjfm, 7_lag_cetTSjfm, 12_lag_yrvPRjja, 1_lag_shTSjfm, 6_lag_atlSICsep, 5_lag_shSICsep, 12_lag_atlSICsep, 16_lag_traTLS, 16_lag_nhSICsep, 1_lag_samPSLann, 12_lag_amo1, 1_lag_stratZ50ndj02_2112_1"
LinearRegression,4,30,stratZ50ndj02,picntrl,1070.5,2050.5,0.6,19,1,1,14.035266388703652,-0.029711967593210473,2240,"['14_lag_tripol3', '1_lag_nppc2SSTjfm', '1_lag_mhfATL30', '7_lag_yrvPRjja', '1_lag_shTSjfm', '5_lag_traIFC', '5_lag_traTLS', '15_lag_eapPSLjfm', '5_lag_shSICsep', '14_lag_atlSICsep', '4_lag_traWP', '8_lag_satlSSTjfm', '6_lag_traWP', '16_lag_scpPSLjfm', '6_lag_stratZ50ndj04', '17_lag_shSICmar', '6_lag_atlSICsep', '7_lag_eapPSLjfm', '12_lag_yrvPRjja', '1_lag_4_median_eapPSLjfm', '1_lag_samPSLann', '16_lag_traTLS', '18_lag_stratZ50ndj02', '12_lag_amo3', '12_lag_atlSICsep', '10_lag_stratZ50ndj02', '16_lag_nhSICsep', '17_lag_mhfIP30', '12_lag_amo1', '1_lag_stratZ50ndj02']","[0.06032852586934523, 0.08178697111566419, 0.08972152464758834, 0.0925773358892182, 0.09424596631482894, 0.07057660710557613, 0.08731531284435079, 0.04911218278779926, 0.06983976496324339, 0.09617162187290962, 0.05981599693445588, 0.04891174255737385, 0.08050210613730277, 0.05875482136217946, 0.0812541366330586, 0.0603895640058822, 0.09970782499382722, 0.05239063806093537, 0.08952378496318542, 0.17941779455488935, 0.0603375654244909, 0.026842082224150646, 0.04997557020857486, 0.03969022513983434, 0.11779066593229545, 0.044507493944157234, 0.08898070343112116, 0.019103575048251914, 0.08088941552373939, 0.015447642852422876]","14_lag_tripol3, 1_lag_nppc2SSTjfm, 1_lag_mhfATL30, 7_lag_yrvPRjja, 1_lag_shTSjfm, 5_lag_traIFC, 5_lag_traTLS, 15_lag_eapPSLjfm, 5_lag_shSICsep, 14_lag_atlSICsep, 4_lag_traWP, 8_lag_satlSSTjfm, 6_lag_traWP, 16_lag_scpPSLjfm, 6_lag_stratZ50ndj04, 17_lag_shSICmar, 6_lag_atlSICsep, 7_lag_eapPSLjfm, 12_lag_yrvPRjja, 1_lag_4_median_eapPSLjfm, 1_lag_samPSLann, 16_lag_traTLS, 18_lag_stratZ50ndj02, 12_lag_amo3, 12_lag_atlSICsep, 10_lag_stratZ50ndj02, 16_lag_nhSICsep, 17_lag_mhfIP30, 12_lag_amo1, 1_lag_stratZ50ndj02_2240_1"
LinearRegression,5,30,stratZ50ndj02,picntrl,1071.5,2050.5,0.6,20,1,1,14.04986043314266,-0.024551894587120777,2368,"['5_lag_ismPRjja', '19_lag_eapPSLjfm', '7_lag_yrvPRjja', '6_lag_atlSICsep', '14_lag_tripol3', '1_lag_shTSjfm', '6_lag_traEC', '12_lag_yrvPRjja', '7_lag_eapPSLjfm', '19_lag_labSSTjfm', '12_lag_traFS', '5_lag_shSICsep', '1_lag_samPSLann', '6_lag_stratZ50ndj04', '16_lag_yrvPRjja', '15_lag_eapPSLjfm', '19_lag_atlSICjfm', '19_lag_traMC', '12_lag_amo3', '17_lag_shSICmar', '12_lag_atlSICsep', '16_lag_traTLS', '16_lag_nhSICsep', '19_lag_stratZ50ndj02', '6_lag_traWP', '10_lag_stratZ50ndj02', '16_lag_scpPSLjfm', '17_lag_mhfIP30', '12_lag_amo1', '1_lag_stratZ50ndj02']","[0.043399118632096355, 0.0019455543246656715, 0.09338827020518047, 0.07104972608019622, 0.04908991845142104, 0.09226710728582573, 0.052736648048123336, 0.07557487604464751, 0.06703732184850171, 0.08812965106845481, 0.0630491018844491, 0.06684974054489341, 0.033102689309437515, 0.0753773344753089, 0.11702382446734094, 0.059808599662793616, 0.07442199402811386, 0.057715771807588176, 0.019758209146143256, 0.09746297197845204, 0.14220967474443058, 0.021949016755694405, 0.10592554886383668, 0.07521667209552294, 0.08623435119895867, 0.052075042093057876, 0.03566888106738311, 0.030799371776978453, 0.06171336033676576, 0.040633626441975185]","5_lag_ismPRjja, 19_lag_eapPSLjfm, 7_lag_yrvPRjja, 6_lag_atlSICsep, 14_lag_tripol3, 1_lag_shTSjfm, 6_lag_traEC, 12_lag_yrvPRjja, 7_lag_eapPSLjfm, 19_lag_labSSTjfm, 12_lag_traFS, 5_lag_shSICsep, 1_lag_samPSLann, 6_lag_stratZ50ndj04, 16_lag_yrvPRjja, 15_lag_eapPSLjfm, 19_lag_atlSICjfm, 19_lag_traMC, 12_lag_amo3, 17_lag_shSICmar, 12_lag_atlSICsep, 16_lag_traTLS, 16_lag_nhSICsep, 19_lag_stratZ50ndj02, 6_lag_traWP, 10_lag_stratZ50ndj02, 16_lag_scpPSLjfm, 17_lag_mhfIP30, 12_lag_amo1, 1_lag_stratZ50ndj02_2368_1"
LinearRegression,6,30,stratZ50ndj02,picntrl,1072.5,2050.5,0.6,21,1,1,13.96264019555702,-0.030670677297373636,2496,"['6_lag_atlSICsep', '5_lag_traIFC', '14_lag_tripol3', '12_lag_yrvPRjja', '13_lag_glomaSSTjfm', '5_lag_traTLS', '12_lag_traFB', '6_lag_traEC', '4_lag_mhfATL30', '1_lag_samPSLann', '15_lag_eapPSLjfm', '7_lag_yrvPRjja', '1_lag_shTSjfm', '16_lag_yrvPRjja', '6_lag_stratZ50ndj04', '16_lag_nhSICsep', '17_lag_shSICmar', '12_lag_amo3', '19_lag_atlSICjfm', '12_lag_atlSICsep', '19_lag_traMC', '16_lag_traTLS', '19_lag_stratZ50ndj02', '6_lag_traWP', '16_lag_scpPSLjfm', '17_lag_mhfIP30', '20_lag_stratZ50ndj03', '10_lag_stratZ50ndj02', '12_lag_amo1', '1_lag_stratZ50ndj02']","[0.07451342025239026, 0.06214731366808352, 0.05405439092338784, 0.07802793136507419, 0.03785908943801671, 0.06426724092719342, 0.053277657722112085, 0.04365674239900466, 0.05394214098450418, 0.03534668787290312, 0.05437822530818203, 0.08764126419162356, 0.07065654558716414, 0.10716787011269877, 0.08213912866974715, 0.09249492456470598, 0.08897121654320239, 0.03789072752033666, 0.03882698509747358, 0.1511490561204783, 0.046171701751836935, 0.022982288569171807, 0.0692130360609212, 0.07405819350323711, 0.03800952303655679, 0.04186882463316771, 0.10228354311009966, 0.04552476694338445, 0.052399664611744445, 0.04110696882167767]","6_lag_atlSICsep, 5_lag_traIFC, 14_lag_tripol3, 12_lag_yrvPRjja, 13_lag_glomaSSTjfm, 5_lag_traTLS, 12_lag_traFB, 6_lag_traEC, 4_lag_mhfATL30, 1_lag_samPSLann, 15_lag_eapPSLjfm, 7_lag_yrvPRjja, 1_lag_shTSjfm, 16_lag_yrvPRjja, 6_lag_stratZ50ndj04, 16_lag_nhSICsep, 17_lag_shSICmar, 12_lag_amo3, 19_lag_atlSICjfm, 12_lag_atlSICsep, 19_lag_traMC, 16_lag_traTLS, 19_lag_stratZ50ndj02, 6_lag_traWP, 16_lag_scpPSLjfm, 17_lag_mhfIP30, 20_lag_stratZ50ndj03, 10_lag_stratZ50ndj02, 12_lag_amo1, 1_lag_stratZ50ndj02_2496_1"
LinearRegression,7,30,stratZ50ndj02,picntrl,1073.5,2050.5,0.6,22,1,1,13.389364775914364,0.1082963315176683,2624,"['7_lag_yrvPRjja', '5_lag_shSICsep', '4_lag_traWP', '20_lag_wnorPRjfm', '1_lag_samPSLann', '6_lag_atlSICsep', '1_lag_traTLS', '12_lag_traFB', '5_lag_ismPRjja', '12_lag_yrvPRjja', '13_lag_stratZ50ndj04', '19_lag_traMC', '16_lag_nhSICsep', '5_lag_traTLS', '15_lag_eapPSLjfm', '17_lag_shSICmar', '12_lag_amo3', '16_lag_traTLS', '14_lag_tripol3', '17_lag_mhfIP30', '21_lag_yrvPRjja', '6_lag_traWP', '16_lag_yrvPRjja', '12_lag_atlSICsep', '16_lag_scpPSLjfm', '19_lag_stratZ50ndj02', '20_lag_stratZ50ndj03', '12_lag_amo1', '10_lag_stratZ50ndj02', '1_lag_stratZ50ndj02']","[0.0835604474738376, 0.0564376010343874, 0.040186104215782614, 0.04110216287362964, 0.03977535374145899, 0.08335905582624478, 0.20220524216168545, 0.06646829794871775, 0.05860962751301654, 0.06704146612370127, 0.08662643911292328, 0.03965548380900509, 0.07778241364556436, 0.08771281398735695, 0.04749928078797319, 0.0886961666644681, 0.037899066992568585, 0.04217110811358979, 0.06829495004964405, 0.06377171503887673, 0.09227577007081568, 0.08532330432901492, 0.11427704609500695, 0.12788250830723225, 0.026334045064487187, 0.06504067413166699, 0.08576294262393085, 0.029816226385056772, 0.03760219697321792, 0.04652668122910827]","7_lag_yrvPRjja, 5_lag_shSICsep, 4_lag_traWP, 20_lag_wnorPRjfm, 1_lag_samPSLann, 6_lag_atlSICsep, 1_lag_traTLS, 12_lag_traFB, 5_lag_ismPRjja, 12_lag_yrvPRjja, 13_lag_stratZ50ndj04, 19_lag_traMC, 16_lag_nhSICsep, 5_lag_traTLS, 15_lag_eapPSLjfm, 17_lag_shSICmar, 12_lag_amo3, 16_lag_traTLS, 14_lag_tripol3, 17_lag_mhfIP30, 21_lag_yrvPRjja, 6_lag_traWP, 16_lag_yrvPRjja, 12_lag_atlSICsep, 16_lag_scpPSLjfm, 19_lag_stratZ50ndj02, 20_lag_stratZ50ndj03, 12_lag_amo1, 10_lag_stratZ50ndj02, 1_lag_stratZ50ndj02_2624_1"
LinearRegression,8,30,stratZ50ndj02,picntrl,1074.5,2050.5,0.6,23,1,1,13.420740114730782,0.05015866014042203,2752,"['13_lag_stratZ50ndj04', '6_lag_atlSICsep', '5_lag_shSICsep', '4_lag_traWP', '12_lag_traFB', '1_lag_samPSLann', '14_lag_mhfATL60', '21_lag_mhfATL60', '16_lag_nhSICsep', '12_lag_yrvPRjja', '17_lag_yrvPRjja', '5_lag_ismPRjja', '6_lag_traWP', '21_lag_yrvPRjja', '17_lag_shSICmar', '22_lag_traEU', '14_lag_tripol3', '17_lag_mhfIP30', '5_lag_traTLS', '16_lag_yrvPRjja', '19_lag_traMC', '16_lag_traTLS', '20_lag_stratZ50ndj03', '12_lag_amo1', '12_lag_amo3', '16_lag_scpPSLjfm', '10_lag_stratZ50ndj02', '12_lag_atlSICsep', '19_lag_stratZ50ndj02', '1_lag_stratZ50ndj02']","[0.07898443854837427, 0.05758555091557573, 0.038570606966329087, 0.0622832380142447, 0.06719572554305779, 0.03632088742461223, 0.007330217204616702, 0.06337095515998697, 0.09599415884480363, 0.0757413909718116, 0.055550504876386714, 0.0654815267047485, 0.09523930477479625, 0.11618730454842549, 0.10107361864052108, 0.022370177467810812, 0.07952802204849223, 0.04629740219721176, 0.08674140774097265, 0.10041437099945894, 0.0477612048066193, 0.022582990886041446, 0.08519179501302872, 0.04560506317629795, 0.0395198774669254, 0.025093521941731454, 0.058583198265605534, 0.14286101690860073, 0.06768986040819883, 0.0478057492275139]","13_lag_stratZ50ndj04, 6_lag_atlSICsep, 5_lag_shSICsep, 4_lag_traWP, 12_lag_traFB, 1_lag_samPSLann, 14_lag_mhfATL60, 21_lag_mhfATL60, 16_lag_nhSICsep, 12_lag_yrvPRjja, 17_lag_yrvPRjja, 5_lag_ismPRjja, 6_lag_traWP, 21_lag_yrvPRjja, 17_lag_shSICmar, 22_lag_traEU, 14_lag_tripol3, 17_lag_mhfIP30, 5_lag_traTLS, 16_lag_yrvPRjja, 19_lag_traMC, 16_lag_traTLS, 20_lag_stratZ50ndj03, 12_lag_amo1, 12_lag_amo3, 16_lag_scpPSLjfm, 10_lag_stratZ50ndj02, 12_lag_atlSICsep, 19_lag_stratZ50ndj02, 1_lag_stratZ50ndj02_2752_1"
LinearRegression,9,30,stratZ50ndj02,picntrl,1075.5,2050.5,0.6,24,1,1,13.229647657016201,0.13454182871912057,2880,"['5_lag_shSICsep', '11_lag_atlSICsep', '6_lag_atlSICsep', '7_lag_yrvPRjja', '12_lag_traFB', '1_lag_traTLS', '17_lag_mhfIP30', '12_lag_yrvPRjja', '5_lag_ismPRjja', '1_lag_samPSLann', '5_lag_traTLS', '16_lag_nhSICsep', '22_lag_traEU', '16_lag_yrvPRjja', '6_lag_traWP', '4_lag_traWP', '19_lag_traMC', '17_lag_shSICmar', '17_lag_yrvPRjja', '16_lag_traTLS', '12_lag_amo1', '21_lag_yrvPRjja', '20_lag_stratZ50ndj03', '12_lag_amo3', '14_lag_tripol3', '12_lag_atlSICsep', '16_lag_scpPSLjfm', '10_lag_stratZ50ndj02', '19_lag_stratZ50ndj02', '1_lag_stratZ50ndj02']","[0.05869499868319548, 0.059723118116160226, 0.0773830317337883, 0.08437498132758163, 0.05715159193239316, 0.20973468560909736, 0.062301007078572355, 0.07473951242569545, 0.053405976480249716, 0.04939417392967309, 0.09037184619579851, 0.07412702391258173, 0.011016583300174299, 0.10377990395028835, 0.08978381721094635, 0.04996013678055488, 0.035708781346681186, 0.08668826578810154, 0.03904094282489019, 0.03377666738343998, 0.03736263792579157, 0.0979497116237213, 0.09497975746702603, 0.039947543733201515, 0.07589365726000716, 0.14313576762642533, 0.029076736113341523, 0.04484902158907602, 0.06655836157627969, 0.05975884331443435]","5_lag_shSICsep, 11_lag_atlSICsep, 6_lag_atlSICsep, 7_lag_yrvPRjja, 12_lag_traFB, 1_lag_traTLS, 17_lag_mhfIP30, 12_lag_yrvPRjja, 5_lag_ismPRjja, 1_lag_samPSLann, 5_lag_traTLS, 16_lag_nhSICsep, 22_lag_traEU, 16_lag_yrvPRjja, 6_lag_traWP, 4_lag_traWP, 19_lag_traMC, 17_lag_shSICmar, 17_lag_yrvPRjja, 16_lag_traTLS, 12_lag_amo1, 21_lag_yrvPRjja, 20_lag_stratZ50ndj03, 12_lag_amo3, 14_lag_tripol3, 12_lag_atlSICsep, 16_lag_scpPSLjfm, 10_lag_stratZ50ndj02, 19_lag_stratZ50ndj02, 1_lag_stratZ50ndj02_2880_1"
