model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,stratZ50ndj03,picntrl,1066.5,2050.5,0.4,15,1,1,11.619576057873063,0.014715629328269348,567,"['7_lag_amoSSTjfm', '1_lag_10_median_eurPSLjfm', '1_lag_6_median_eurPSLjfm', '1_lag_14_median_stratZ50ndj03', '1_lag_8_median_eapPSLjfm', '1_lag_13_median_eapPSLjfm', '1_lag_14_median_nppc2SSTjfm', '1_lag_9_median_eurPSLjfm', '1_lag_6_median_shSICmar', '1_lag_8_median_eurPSLjfm']","[0.041894493980040914, 0.12020541578037477, 0.008866823309388129, 0.2799129196385048, 0.0014693782212562637, 0.0020089250928994958, 0.0671834616187097, 0.3238311578152123, 0.13267846262778732, 0.2027106410870676]","7_lag_amoSSTjfm, 1_lag_10_median_eurPSLjfm, 1_lag_6_median_eurPSLjfm, 1_lag_14_median_stratZ50ndj03, 1_lag_8_median_eapPSLjfm, 1_lag_13_median_eapPSLjfm, 1_lag_14_median_nppc2SSTjfm, 1_lag_9_median_eurPSLjfm, 1_lag_6_median_shSICmar, 1_lag_8_median_eurPSLjfm_567_1"
LinearRegression,1,10,stratZ50ndj03,picntrl,1067.5,2050.5,0.4,16,1,1,11.809810835743408,0.03627991986169657,609,"['1_lag_4_median_shSICsep', '1_lag_8_median_eurPSLjfm', '1_lag_8_median_stratZ50ndj04', '1_lag_14_median_stratZ50ndj03', '1_lag_10_median_atlSICsep', '1_lag_7_median_nppc2SSTjfm', '1_lag_9_median_eurPSLjfm', '1_lag_6_median_eurPSLjfm', '1_lag_6_median_eapPSLjfm', '1_lag_6_median_shSICmar']","[0.08628784362613343, 0.24904752067623237, 0.12784863908638067, 0.38337890950448494, 0.23881466955429176, 0.15684294225657036, 0.20329927122484673, 0.03227160582234699, 0.048259986518267656, 0.12515737686285552]","1_lag_4_median_shSICsep, 1_lag_8_median_eurPSLjfm, 1_lag_8_median_stratZ50ndj04, 1_lag_14_median_stratZ50ndj03, 1_lag_10_median_atlSICsep, 1_lag_7_median_nppc2SSTjfm, 1_lag_9_median_eurPSLjfm, 1_lag_6_median_eurPSLjfm, 1_lag_6_median_eapPSLjfm, 1_lag_6_median_shSICmar_609_1"
LinearRegression,2,10,stratZ50ndj03,picntrl,1068.5,2050.5,0.4,17,1,1,11.670345085017484,0.019155554959426873,651,"['1_lag_6_median_amoSSTmjjaso', '1_lag_14_median_stratZ50ndj01', '1_lag_6_median_AMOCann', '1_lag_8_median_eurPSLjfm', '1_lag_6_median_eapPSLjfm', '1_lag_6_median_eurPSLjfm', '1_lag_6_median_stratZ50ndj04', '1_lag_7_median_nppc2SSTjfm', '1_lag_14_median_stratZ50ndj03', '1_lag_10_median_atlSICsep']","[0.009238337078850455, 0.1785563252196841, 0.08745389986558523, 0.05781961865540324, 0.09394185332556869, 0.05304233724313906, 0.009088457331617844, 0.14372123226812167, 0.3173851511027774, 0.18516673198079017]","1_lag_6_median_amoSSTmjjaso, 1_lag_14_median_stratZ50ndj01, 1_lag_6_median_AMOCann, 1_lag_8_median_eurPSLjfm, 1_lag_6_median_eapPSLjfm, 1_lag_6_median_eurPSLjfm, 1_lag_6_median_stratZ50ndj04, 1_lag_7_median_nppc2SSTjfm, 1_lag_14_median_stratZ50ndj03, 1_lag_10_median_atlSICsep_651_1"
LinearRegression,3,10,stratZ50ndj03,picntrl,1069.5,2050.5,0.4,18,1,1,11.643549129660848,0.04811542960790868,693,"['17_lag_amo3', '1_lag_11_median_stratZ50ndj03', '1_lag_12_median_shSICmar', '13_lag_nhSICsep', '1_lag_6_median_eurPSLjfm', '1_lag_6_median_AMOCann', '1_lag_6_median_amoSSTmjjaso', '1_lag_7_median_AMOCann', '1_lag_stratZ50ndj03', '1_lag_8_median_eurPSLjfm']","[0.029977177483453188, 0.19665667706652987, 0.16114914848654596, 0.05319361274462586, 0.032910814135217056, 0.002247480307446842, 0.0056023719561622, 0.11353216998469476, 0.022505959419404264, 0.08713845332845731]","17_lag_amo3, 1_lag_11_median_stratZ50ndj03, 1_lag_12_median_shSICmar, 13_lag_nhSICsep, 1_lag_6_median_eurPSLjfm, 1_lag_6_median_AMOCann, 1_lag_6_median_amoSSTmjjaso, 1_lag_7_median_AMOCann, 1_lag_stratZ50ndj03, 1_lag_8_median_eurPSLjfm_693_1"
LinearRegression,4,10,stratZ50ndj03,picntrl,1070.5,2050.5,0.4,19,1,1,11.808101328726956,0.002276077407768291,735,"['14_lag_scpPSLjfm', '6_lag_nhSICjfm', '4_lag_eurPSLjfm', '17_lag_nppc2SSTjfm', '1_lag_6_median_AMOCann', '1_lag_10_median_amoSSTmjjaso', '1_lag_7_median_AMOCann', '1_lag_stratZ50ndj03', '1_lag_6_median_amoSSTmjjaso', '1_lag_8_median_eurPSLjfm']","[0.1156859695698091, 0.018709174864532593, 0.013597425524369931, 0.02773838682995786, 0.017856332791269282, 0.08136892706568921, 0.1117293614647723, 0.004269892344356424, 0.022963307680829284, 0.029635552583707446]","14_lag_scpPSLjfm, 6_lag_nhSICjfm, 4_lag_eurPSLjfm, 17_lag_nppc2SSTjfm, 1_lag_6_median_AMOCann, 1_lag_10_median_amoSSTmjjaso, 1_lag_7_median_AMOCann, 1_lag_stratZ50ndj03, 1_lag_6_median_amoSSTmjjaso, 1_lag_8_median_eurPSLjfm_735_1"
LinearRegression,5,10,stratZ50ndj03,picntrl,1071.5,2050.5,0.4,20,1,1,11.919821018851499,0.0020448000165272954,777,"['1_lag_amo2', '1_lag_6_median_shSICmar', '17_lag_nppc2SSTjfm', '1_lag_6_median_AMOCann', '1_lag_7_median_AMOCann', '14_lag_scpPSLjfm', '1_lag_6_median_amoSSTmjjaso', '4_lag_eurPSLjfm', '1_lag_8_median_eurPSLjfm', '1_lag_stratZ50ndj03']","[0.04816671400608728, 0.13707400910990328, 0.027630087168526187, 0.027913185270706336, 0.13464177903473332, 0.11251020179920194, 0.018758458230635003, 0.00886579621448418, 0.05465868839368996, 0.019668991539681054]","1_lag_amo2, 1_lag_6_median_shSICmar, 17_lag_nppc2SSTjfm, 1_lag_6_median_AMOCann, 1_lag_7_median_AMOCann, 14_lag_scpPSLjfm, 1_lag_6_median_amoSSTmjjaso, 4_lag_eurPSLjfm, 1_lag_8_median_eurPSLjfm, 1_lag_stratZ50ndj03_777_1"
LinearRegression,6,10,stratZ50ndj03,picntrl,1072.5,2050.5,0.4,21,1,1,11.695646477815922,0.03828076871523088,819,"['14_lag_nppc2SSTjfm', '5_lag_atlSICsep', '15_lag_nppc2SSTjfm', '1_lag_6_median_amoSSTmjjaso', '20_lag_nhSICjfm', '1_lag_AMOCann', '8_lag_atlSICjfm', '17_lag_nppc2SSTjfm', '1_lag_8_median_eurPSLjfm', '1_lag_stratZ50ndj03']","[0.04724860160865009, 0.04143167093650754, 0.01684907031533947, 0.029439193324689437, 0.04840889505513955, 0.09446768778693203, 0.07447763831686001, 0.015145997603873076, 0.0223822928191987, 0.007146826184668521]","14_lag_nppc2SSTjfm, 5_lag_atlSICsep, 15_lag_nppc2SSTjfm, 1_lag_6_median_amoSSTmjjaso, 20_lag_nhSICjfm, 1_lag_AMOCann, 8_lag_atlSICjfm, 17_lag_nppc2SSTjfm, 1_lag_8_median_eurPSLjfm, 1_lag_stratZ50ndj03_819_1"
LinearRegression,7,10,stratZ50ndj03,picntrl,1073.5,2050.5,0.4,22,1,1,11.810195790911092,-0.04119467387477766,861,"['12_lag_AMOCann', '16_lag_stratZ50ndj01', '1_lag_8_median_eurPSLjfm', '15_lag_nppc2SSTjfm', '8_lag_amo2', '21_lag_nhSICjfm', '17_lag_amo3', '20_lag_nhSICjfm', '1_lag_stratZ50ndj03', '17_lag_nppc2SSTjfm']","[0.032652815068750125, 0.03505030921184765, 0.022376733199499434, 0.013205723874247479, 0.1208744593128458, 0.002457663483844185, 0.04408990748059865, 0.06111867129251915, 0.004243523815567446, 0.018223356574503344]","12_lag_AMOCann, 16_lag_stratZ50ndj01, 1_lag_8_median_eurPSLjfm, 15_lag_nppc2SSTjfm, 8_lag_amo2, 21_lag_nhSICjfm, 17_lag_amo3, 20_lag_nhSICjfm, 1_lag_stratZ50ndj03, 17_lag_nppc2SSTjfm_861_1"
LinearRegression,8,10,stratZ50ndj03,picntrl,1074.5,2050.5,0.4,23,1,1,11.989334992260003,-0.04121735317115465,903,"['10_lag_nppc2SSTjfm', '8_lag_amo2', '20_lag_nhSICjfm', '1_lag_8_median_eurPSLjfm', '16_lag_naoPSLjfm', '8_lag_atlSICjfm', '17_lag_nppc2SSTjfm', '1_lag_amo2', '1_lag_stratZ50ndj03', '17_lag_amo3']","[0.012471774125353795, 0.10461181390302546, 0.06750744732461542, 0.010480550016259478, 0.04011377752570687, 0.06688662762061857, 0.013073639192103515, 0.06272081304124275, 0.007555866300230196, 0.05188339993285176]","10_lag_nppc2SSTjfm, 8_lag_amo2, 20_lag_nhSICjfm, 1_lag_8_median_eurPSLjfm, 16_lag_naoPSLjfm, 8_lag_atlSICjfm, 17_lag_nppc2SSTjfm, 1_lag_amo2, 1_lag_stratZ50ndj03, 17_lag_amo3_903_1"
LinearRegression,9,10,stratZ50ndj03,picntrl,1075.5,2050.5,0.4,24,1,1,11.789207341115203,0.03779028131536648,945,"['7_lag_nppc2SSTjfm', '8_lag_atlSICjfm', '4_lag_shSICsep', '1_lag_8_median_eurPSLjfm', '20_lag_nhSICjfm', '1_lag_amo2', '21_lag_nhSICjfm', '17_lag_amo3', '1_lag_stratZ50ndj03', '17_lag_nppc2SSTjfm']","[0.030760206261631336, 0.08714782712316956, 0.08530673309430524, 0.021993807158996063, 0.0735910235707206, 0.0799265584640544, 0.011689101424872034, 0.046833125454063665, 0.014302095292834337, 0.012714272524386783]","7_lag_nppc2SSTjfm, 8_lag_atlSICjfm, 4_lag_shSICsep, 1_lag_8_median_eurPSLjfm, 20_lag_nhSICjfm, 1_lag_amo2, 21_lag_nhSICjfm, 17_lag_amo3, 1_lag_stratZ50ndj03, 17_lag_nppc2SSTjfm_945_1"
