model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,stratZ50ndj04,picntrl,1066.5,2050.5,0.6,15,5,5,20.468108599835766,0.0391891990552627,399,"['10_lag_scpPSLjfm', '12_lag_atlSICjfm', '5_lag_13_median_naoPSLjfm', '5_lag_6_median_scpPSLjfm', '5_lag_8_median_shSICsep', '14_lag_atlSICsep', '5_lag_11_median_AMOCann', '7_lag_shSICsep', '10_lag_amo1', '12_lag_stratZ50ndj02', '5_lag_11_median_eapPSLjfm', '9_lag_nhSICsep', '5_lag_12_median_stratZ50ndj03', '5_lag_6_median_AMOCann', '9_lag_amoSSTjfm', '14_lag_nppc2SSTjfm', '9_lag_stratZ50ndj02', '7_lag_stratZ50ndj04', '11_lag_amo3', '5_lag_6_median_amoSSTjfm', '6_lag_eurPSLjfm', '5_lag_10_median_shSICmar', '6_lag_AMOCann', '5_lag_12_median_scpPSLjfm', '14_lag_stratZ50ndj01', '5_lag_9_median_atlSICsep', '10_lag_nppc2SSTjfm', '7_lag_naoPSLjfm', '5_lag_12_median_stratZ50ndj01', '9_lag_nhSICjfm']","[9.149106276621826, 3.1119941612021123, 7.876351521690388, 0.8040729110630824, 9.427010269688068, 1.430120170119233, 6.544633812495995, 8.940656348112032, 5.62797098760361, 7.759973447901518, 3.123139195597389, 3.0236558847356303, 0.04058631903240695, 0.5433829400595531, 4.098921930168677, 4.2796333611313475, 6.113028074078123, 0.2927033611889982, 0.04665865701376326, 0.35119432941682227, 4.818933469122499, 4.109568381356112, 0.23060687403417113, 7.7233387763998085, 2.8773118587769435, 1.366305799076299, 3.5360674869567994, 0.1568099502883218, 0.4701976804998331, 1.1867360891373924]","10_lag_scpPSLjfm, 12_lag_atlSICjfm, 5_lag_13_median_naoPSLjfm, 5_lag_6_median_scpPSLjfm, 5_lag_8_median_shSICsep, 14_lag_atlSICsep, 5_lag_11_median_AMOCann, 7_lag_shSICsep, 10_lag_amo1, 12_lag_stratZ50ndj02, 5_lag_11_median_eapPSLjfm, 9_lag_nhSICsep, 5_lag_12_median_stratZ50ndj03, 5_lag_6_median_AMOCann, 9_lag_amoSSTjfm, 14_lag_nppc2SSTjfm, 9_lag_stratZ50ndj02, 7_lag_stratZ50ndj04, 11_lag_amo3, 5_lag_6_median_amoSSTjfm, 6_lag_eurPSLjfm, 5_lag_10_median_shSICmar, 6_lag_AMOCann, 5_lag_12_median_scpPSLjfm, 14_lag_stratZ50ndj01, 5_lag_9_median_atlSICsep, 10_lag_nppc2SSTjfm, 7_lag_naoPSLjfm, 5_lag_12_median_stratZ50ndj01, 9_lag_nhSICjfm_399_5"
LRforcedPSO,1,30,stratZ50ndj04,picntrl,1067.5,2050.5,0.6,16,6,6,21.65945601919319,-0.033832404612593604,399,"['10_lag_naoPSLjfm', '7_lag_naoPSLjfm', '6_lag_nhSICjfm', '13_lag_stratZ50ndj03', '6_lag_10_median_scpPSLjfm', '6_lag_7_median_nppc2SSTjfm', '6_lag_14_median_nppc2SSTjfm', '8_lag_atlSICsep', '6_lag_12_median_amoSSTmjjaso', '9_lag_amoSSTmjjaso', '11_lag_atlSICsep', '12_lag_atlSICsep', '6_lag_15_median_amo1', '6_lag_11_median_naoPSLjfm', '14_lag_naoPSLjfm', '6_lag_14_median_atlSICjfm', '12_lag_amoSSTmjjaso', '6_lag_7_median_AMOCann', '6_lag_12_median_amoSSTjfm', '11_lag_AMOCann', '12_lag_stratZ50ndj04', '6_lag_10_median_nppc2SSTjfm', '11_lag_amo1', '14_lag_amoSSTmjjaso', '7_lag_eurPSLjfm', '8_lag_nhSICjfm', '6_lag_7_median_stratZ50ndj01', '6_lag_15_median_stratZ50ndj01', '6_lag_15_median_amoSSTmjjaso', '8_lag_stratZ50ndj02']","[4.566412156392934, 5.39205914720541, 2.222438214857867, 3.116279036585876, 1.468914632365422, 6.19327957087766, 6.721947196484548, 4.070236693216078, 1.1407731655309128, 0.4251272401615065, 5.816672435441661, 1.4457735420358127, 3.3891805260672374, 7.3765511626755575, 3.8879692306620477, 6.9776851601287575, 1.5831024349836564, 0.6785368645630285, 7.3993253632737, 2.53230046425442, 0.5696792906140864, 6.784905264817308, 8.973773573200752, 7.6633082434599835, 2.105827730016829, 0.8679534211285045, 0.619435121885461, 1.3943073861444475, 2.090163170421061, 3.0380706039828276]","10_lag_naoPSLjfm, 7_lag_naoPSLjfm, 6_lag_nhSICjfm, 13_lag_stratZ50ndj03, 6_lag_10_median_scpPSLjfm, 6_lag_7_median_nppc2SSTjfm, 6_lag_14_median_nppc2SSTjfm, 8_lag_atlSICsep, 6_lag_12_median_amoSSTmjjaso, 9_lag_amoSSTmjjaso, 11_lag_atlSICsep, 12_lag_atlSICsep, 6_lag_15_median_amo1, 6_lag_11_median_naoPSLjfm, 14_lag_naoPSLjfm, 6_lag_14_median_atlSICjfm, 12_lag_amoSSTmjjaso, 6_lag_7_median_AMOCann, 6_lag_12_median_amoSSTjfm, 11_lag_AMOCann, 12_lag_stratZ50ndj04, 6_lag_10_median_nppc2SSTjfm, 11_lag_amo1, 14_lag_amoSSTmjjaso, 7_lag_eurPSLjfm, 8_lag_nhSICjfm, 6_lag_7_median_stratZ50ndj01, 6_lag_15_median_stratZ50ndj01, 6_lag_15_median_amoSSTmjjaso, 8_lag_stratZ50ndj02_399_6"
LRforcedPSO,2,30,stratZ50ndj04,picntrl,1068.5,2050.5,0.6,17,7,7,21.58206612334702,-0.08085467268995068,399,"['10_lag_amo2', '7_lag_16_median_AMOCann', '7_lag_11_median_atlSICjfm', '12_lag_stratZ50ndj01', '12_lag_shSICsep', '7_lag_atlSICsep', '10_lag_nppc2SSTjfm', '8_lag_amo2', '7_lag_8_median_naoPSLjfm', '15_lag_shSICmar', '7_lag_10_median_amo3', '14_lag_amo1', '7_lag_eurPSLjfm', '7_lag_10_median_nppc2SSTjfm', '15_lag_eapPSLjfm', '9_lag_amoSSTjfm', '7_lag_13_median_AMOCann', '7_lag_shSICsep', '7_lag_8_median_amoSSTjfm', '13_lag_shSICsep', '9_lag_naoPSLjfm', '9_lag_amo1', '7_lag_8_median_shSICmar', '7_lag_15_median_scpPSLjfm', '15_lag_nhSICjfm', '7_lag_stratZ50ndj01', '7_lag_9_median_shSICmar', '16_lag_amoSSTjfm', '7_lag_16_median_naoPSLjfm', '7_lag_12_median_atlSICsep']","[7.609178012521419, 4.817901316926992, 6.738286671015379, 1.6838279999753158, 7.845524912906928, 4.952576427145132, 9.948647852035064, 0.11720405275617729, 1.3330368686035712, 0.7169377849830312, 3.5461404497186937, 0.71180620707276, 3.492256823968285, 5.251893404311694, 4.070910679520454, 8.699642799991082, 7.131416196093674, 3.030616241987236, 2.8595733330578437, 1.3674375323571368, 1.5871655007902952, 1.9362030602287952, 5.105391766337593, 5.465797650702264, 3.4604000400118373, 2.3872108346528993, 7.28135510978179, 7.611433894758051, 0.04676299015707386, 0.8498974016790601]","10_lag_amo2, 7_lag_16_median_AMOCann, 7_lag_11_median_atlSICjfm, 12_lag_stratZ50ndj01, 12_lag_shSICsep, 7_lag_atlSICsep, 10_lag_nppc2SSTjfm, 8_lag_amo2, 7_lag_8_median_naoPSLjfm, 15_lag_shSICmar, 7_lag_10_median_amo3, 14_lag_amo1, 7_lag_eurPSLjfm, 7_lag_10_median_nppc2SSTjfm, 15_lag_eapPSLjfm, 9_lag_amoSSTjfm, 7_lag_13_median_AMOCann, 7_lag_shSICsep, 7_lag_8_median_amoSSTjfm, 13_lag_shSICsep, 9_lag_naoPSLjfm, 9_lag_amo1, 7_lag_8_median_shSICmar, 7_lag_15_median_scpPSLjfm, 15_lag_nhSICjfm, 7_lag_stratZ50ndj01, 7_lag_9_median_shSICmar, 16_lag_amoSSTjfm, 7_lag_16_median_naoPSLjfm, 7_lag_12_median_atlSICsep_399_7"
LRforcedPSO,3,30,stratZ50ndj04,picntrl,1069.5,2050.5,0.6,18,8,8,21.21188006650473,0.014728373025944616,399,"['15_lag_stratZ50ndj03', '17_lag_AMOCann', '8_lag_13_median_scpPSLjfm', '9_lag_nhSICsep', '8_lag_15_median_amoSSTmjjaso', '11_lag_stratZ50ndj02', '16_lag_nhSICjfm', '10_lag_nhSICsep', '9_lag_nppc2SSTjfm', '8_lag_16_median_amo1', '8_lag_9_median_nppc2SSTjfm', '8_lag_9_median_amo1', '13_lag_amoSSTjfm', '8_lag_13_median_stratZ50ndj02', '8_lag_14_median_nhSICjfm', '8_lag_15_median_amo3', '8_lag_15_median_naoPSLjfm', '11_lag_amo2', '8_lag_10_median_atlSICsep', '8_lag_13_median_amo2', '8_lag_16_median_naoPSLjfm', '9_lag_eurPSLjfm', '15_lag_eapPSLjfm', '12_lag_eapPSLjfm', '8_lag_16_median_nppc2SSTjfm', '8_lag_11_median_scpPSLjfm', '8_lag_15_median_shSICmar', '15_lag_shSICsep', '8_lag_14_median_stratZ50ndj03', '8_lag_scpPSLjfm']","[6.279713045086279, 0.8495591249358618, 5.604859184356998, 7.441488838723586, 0.4145772567086716, 3.3529341304979283, 6.058897261532056, 0.20707813827796429, 5.519712251383336, 2.1964964166781424, 6.265065375119483, 7.2158521540911345, 1.7086690389017427, 4.248155767930083, 9.830203302166812, 1.988544597465907, 4.319129548749112, 6.732417623871797, 1.4110617348473298, 1.3383971239598953, 7.4740533103275, 1.2728318936914018, 1.1304168194485769, 3.355330376134244, 3.426007873918855, 2.9750769741823895, 3.3863603651135454, 2.0032965164021928, 1.2056007546073957, 8.472586232398154]","15_lag_stratZ50ndj03, 17_lag_AMOCann, 8_lag_13_median_scpPSLjfm, 9_lag_nhSICsep, 8_lag_15_median_amoSSTmjjaso, 11_lag_stratZ50ndj02, 16_lag_nhSICjfm, 10_lag_nhSICsep, 9_lag_nppc2SSTjfm, 8_lag_16_median_amo1, 8_lag_9_median_nppc2SSTjfm, 8_lag_9_median_amo1, 13_lag_amoSSTjfm, 8_lag_13_median_stratZ50ndj02, 8_lag_14_median_nhSICjfm, 8_lag_15_median_amo3, 8_lag_15_median_naoPSLjfm, 11_lag_amo2, 8_lag_10_median_atlSICsep, 8_lag_13_median_amo2, 8_lag_16_median_naoPSLjfm, 9_lag_eurPSLjfm, 15_lag_eapPSLjfm, 12_lag_eapPSLjfm, 8_lag_16_median_nppc2SSTjfm, 8_lag_11_median_scpPSLjfm, 8_lag_15_median_shSICmar, 15_lag_shSICsep, 8_lag_14_median_stratZ50ndj03, 8_lag_scpPSLjfm_399_8"
LRforcedPSO,4,30,stratZ50ndj04,picntrl,1070.5,2050.5,0.6,19,9,9,23.020282909698242,-0.0028003141403305305,399,"['16_lag_nhSICjfm', '9_lag_11_median_amoSSTmjjaso', '9_lag_14_median_shSICsep', '9_lag_16_median_stratZ50ndj03', '10_lag_amo1', '9_lag_17_median_amo2', '15_lag_amo3', '9_lag_15_median_amoSSTjfm', '14_lag_stratZ50ndj01', '9_lag_13_median_amoSSTmjjaso', '9_lag_18_median_naoPSLjfm', '9_lag_16_median_atlSICjfm', '18_lag_amo1', '11_lag_naoPSLjfm', '16_lag_atlSICsep', '9_lag_16_median_stratZ50ndj01', '9_lag_12_median_atlSICsep', '10_lag_amoSSTjfm', '14_lag_nhSICjfm', '9_lag_AMOCann', '12_lag_amo1', '9_lag_16_median_stratZ50ndj04', '18_lag_nhSICsep', '9_lag_15_median_amo2', '9_lag_13_median_amo3', '9_lag_17_median_nhSICsep', '9_lag_13_median_nhSICjfm', '9_lag_15_median_nppc2SSTjfm', '9_lag_17_median_amoSSTmjjaso', '9_lag_14_median_shSICmar']","[4.616955500139854, 5.806237634851154, 7.934470751871153, 2.2108045986212943, 3.2651604709439397, 0.6625192336750167, 5.465484492407013, 0.9632250426305955, 8.020494765694956, 0.6354797434158037, 9.183123909420743, 1.017612017656397, 2.3841786122167825, 0.7185048958944478, 3.4448105594150524, 8.325904914153426, 0.5980520623465182, 0.3947644890643005, 6.2940185891638905, 1.2522997530146345, 3.6929889044952517, 1.578803276850076, 4.021324449947321, 7.281867659532367, 8.404902091820325, 9.583011172784076, 2.3634972701883257, 9.100578662107537, 4.002785895826504, 2.553066832689465]","16_lag_nhSICjfm, 9_lag_11_median_amoSSTmjjaso, 9_lag_14_median_shSICsep, 9_lag_16_median_stratZ50ndj03, 10_lag_amo1, 9_lag_17_median_amo2, 15_lag_amo3, 9_lag_15_median_amoSSTjfm, 14_lag_stratZ50ndj01, 9_lag_13_median_amoSSTmjjaso, 9_lag_18_median_naoPSLjfm, 9_lag_16_median_atlSICjfm, 18_lag_amo1, 11_lag_naoPSLjfm, 16_lag_atlSICsep, 9_lag_16_median_stratZ50ndj01, 9_lag_12_median_atlSICsep, 10_lag_amoSSTjfm, 14_lag_nhSICjfm, 9_lag_AMOCann, 12_lag_amo1, 9_lag_16_median_stratZ50ndj04, 18_lag_nhSICsep, 9_lag_15_median_amo2, 9_lag_13_median_amo3, 9_lag_17_median_nhSICsep, 9_lag_13_median_nhSICjfm, 9_lag_15_median_nppc2SSTjfm, 9_lag_17_median_amoSSTmjjaso, 9_lag_14_median_shSICmar_399_9"
LRforcedPSO,5,30,stratZ50ndj04,picntrl,1071.5,2050.5,0.6,20,10,10,21.929118778652292,-0.0220703237495372,399,"['10_lag_12_median_nppc2SSTjfm', '10_lag_19_median_stratZ50ndj04', '10_lag_18_median_nhSICjfm', '10_lag_amo3', '10_lag_11_median_amo1', '18_lag_AMOCann', '10_lag_11_median_atlSICsep', '10_lag_15_median_amoSSTmjjaso', '11_lag_shSICmar', '10_lag_14_median_shSICsep', '10_lag_nhSICjfm', '10_lag_14_median_nhSICjfm', '18_lag_nppc2SSTjfm', '13_lag_naoPSLjfm', '18_lag_amo1', '11_lag_scpPSLjfm', '10_lag_14_median_amo2', '15_lag_amo2', '10_lag_11_median_naoPSLjfm', '10_lag_11_median_nhSICsep', '14_lag_AMOCann', '16_lag_atlSICjfm', '13_lag_amo1', '10_lag_19_median_AMOCann', '17_lag_nhSICsep', '10_lag_13_median_stratZ50ndj02', '10_lag_13_median_stratZ50ndj01', '16_lag_amo3', '15_lag_amo1', '10_lag_16_median_amo2']","[0.9850520490293828, 0.0949915992835102, 7.345933594694703, 4.759963502692422, 1.6224850142181886, 6.340856838917993, 7.758240866167004, 1.6733973024680804, 2.365468210390034, 8.203489591299656, 0.05292920808953383, 6.046824463643974, 3.8297262920117543, 4.112554890285429, 6.209561331615328, 0.44846201323527346, 7.498167336285658, 6.711832554878889, 0.6858381692533477, 4.886816146108933, 4.980580984015559, 6.317916721681877, 1.98568258435213, 3.2006014789484833, 2.671720896599277, 3.6315472729653067, 5.388744532368399, 4.187232689566606, 4.958627419808693, 2.7546730503788464]","10_lag_12_median_nppc2SSTjfm, 10_lag_19_median_stratZ50ndj04, 10_lag_18_median_nhSICjfm, 10_lag_amo3, 10_lag_11_median_amo1, 18_lag_AMOCann, 10_lag_11_median_atlSICsep, 10_lag_15_median_amoSSTmjjaso, 11_lag_shSICmar, 10_lag_14_median_shSICsep, 10_lag_nhSICjfm, 10_lag_14_median_nhSICjfm, 18_lag_nppc2SSTjfm, 13_lag_naoPSLjfm, 18_lag_amo1, 11_lag_scpPSLjfm, 10_lag_14_median_amo2, 15_lag_amo2, 10_lag_11_median_naoPSLjfm, 10_lag_11_median_nhSICsep, 14_lag_AMOCann, 16_lag_atlSICjfm, 13_lag_amo1, 10_lag_19_median_AMOCann, 17_lag_nhSICsep, 10_lag_13_median_stratZ50ndj02, 10_lag_13_median_stratZ50ndj01, 16_lag_amo3, 15_lag_amo1, 10_lag_16_median_amo2_399_10"
LRforcedPSO,6,30,stratZ50ndj04,picntrl,1072.5,2050.5,0.6,21,11,11,20.632075513894197,0.01657070939160803,399,"['11_lag_15_median_AMOCann', '11_lag_14_median_stratZ50ndj03', '20_lag_shSICsep', '20_lag_amoSSTmjjaso', '13_lag_nppc2SSTjfm', '11_lag_13_median_amo2', '11_lag_14_median_nhSICsep', '16_lag_atlSICsep', '11_lag_14_median_naoPSLjfm', '14_lag_stratZ50ndj01', '11_lag_20_median_nhSICsep', '11_lag_17_median_nhSICsep', '11_lag_20_median_shSICsep', '14_lag_shSICmar', '17_lag_stratZ50ndj02', '20_lag_AMOCann', '12_lag_nhSICsep', '11_lag_15_median_nhSICsep', '14_lag_amo2', '11_lag_13_median_eurPSLjfm', '17_lag_nhSICsep', '11_lag_20_median_amo1', '17_lag_atlSICsep', '11_lag_18_median_stratZ50ndj03', '16_lag_nppc2SSTjfm', '11_lag_17_median_scpPSLjfm', '11_lag_14_median_amoSSTmjjaso', '11_lag_19_median_eapPSLjfm', '11_lag_19_median_amoSSTmjjaso', '11_lag_16_median_amoSSTmjjaso']","[3.285542683419031, 4.6270722272760505, 5.127630225811295, 5.20855381477034, 0.37953316161369344, 0.6950013692288177, 7.772096359520133, 0.8846330936273024, 1.8808103551335194, 1.0872145430272013, 4.81056419438652, 0.4278243481004118, 6.498996774323011, 1.925703951302033, 0.535476783418174, 6.337398179846581, 6.620688096257226, 7.61653010054458, 8.13383953133734, 3.428182895614407, 9.18606880315916, 3.853632003247, 4.395724837519943, 4.067738343081362, 5.695255017236969, 0.009249238357124767, 5.063289732389599, 7.437105280465516, 0.9235239270956175, 9.086406961277692]","11_lag_15_median_AMOCann, 11_lag_14_median_stratZ50ndj03, 20_lag_shSICsep, 20_lag_amoSSTmjjaso, 13_lag_nppc2SSTjfm, 11_lag_13_median_amo2, 11_lag_14_median_nhSICsep, 16_lag_atlSICsep, 11_lag_14_median_naoPSLjfm, 14_lag_stratZ50ndj01, 11_lag_20_median_nhSICsep, 11_lag_17_median_nhSICsep, 11_lag_20_median_shSICsep, 14_lag_shSICmar, 17_lag_stratZ50ndj02, 20_lag_AMOCann, 12_lag_nhSICsep, 11_lag_15_median_nhSICsep, 14_lag_amo2, 11_lag_13_median_eurPSLjfm, 17_lag_nhSICsep, 11_lag_20_median_amo1, 17_lag_atlSICsep, 11_lag_18_median_stratZ50ndj03, 16_lag_nppc2SSTjfm, 11_lag_17_median_scpPSLjfm, 11_lag_14_median_amoSSTmjjaso, 11_lag_19_median_eapPSLjfm, 11_lag_19_median_amoSSTmjjaso, 11_lag_16_median_amoSSTmjjaso_399_11"
LRforcedPSO,7,30,stratZ50ndj04,picntrl,1073.5,2050.5,0.6,22,12,12,22.336860735647512,-0.008990044760523855,399,"['12_lag_14_median_stratZ50ndj02', '19_lag_nppc2SSTjfm', '12_lag_13_median_eurPSLjfm', '15_lag_amo3', '17_lag_shSICmar', '12_lag_18_median_amoSSTjfm', '12_lag_21_median_amoSSTmjjaso', '13_lag_nppc2SSTjfm', '12_lag_20_median_eapPSLjfm', '12_lag_17_median_scpPSLjfm', '13_lag_amoSSTmjjaso', '12_lag_14_median_nhSICjfm', '12_lag_17_median_eapPSLjfm', '14_lag_AMOCann', '21_lag_stratZ50ndj02', '12_lag_14_median_naoPSLjfm', '19_lag_stratZ50ndj04', '19_lag_amo1', '15_lag_atlSICjfm', '12_lag_15_median_shSICsep', '12_lag_14_median_atlSICsep', '19_lag_atlSICsep', '12_lag_16_median_stratZ50ndj03', '21_lag_stratZ50ndj04', '17_lag_atlSICsep', '12_lag_18_median_atlSICjfm', '12_lag_14_median_eapPSLjfm', '13_lag_amoSSTjfm', '12_lag_21_median_stratZ50ndj02', '12_lag_amo3']","[3.615922660621731, 0.26841503995928484, 3.5888814095688826, 2.5536599370637614, 4.546499344820052, 0.2940272974025362, 5.508948664265851, 7.900600597945651, 3.36860421685786, 1.7728234170913755, 2.8971363615731915, 4.002378894185519, 1.123463594309623, 1.0708593273932898, 3.818021783282923, 9.459974159009576, 3.2200437762420115, 2.1136452640280616, 0.918110020465658, 0.8576772190188375, 5.169717182598861, 5.700726315305122, 1.3169482869459088, 2.0987323683733177, 4.509359468730663, 8.27200978286931, 0.21366624890378105, 4.050503776422914, 7.109926938163781, 4.8645972509923485]","12_lag_14_median_stratZ50ndj02, 19_lag_nppc2SSTjfm, 12_lag_13_median_eurPSLjfm, 15_lag_amo3, 17_lag_shSICmar, 12_lag_18_median_amoSSTjfm, 12_lag_21_median_amoSSTmjjaso, 13_lag_nppc2SSTjfm, 12_lag_20_median_eapPSLjfm, 12_lag_17_median_scpPSLjfm, 13_lag_amoSSTmjjaso, 12_lag_14_median_nhSICjfm, 12_lag_17_median_eapPSLjfm, 14_lag_AMOCann, 21_lag_stratZ50ndj02, 12_lag_14_median_naoPSLjfm, 19_lag_stratZ50ndj04, 19_lag_amo1, 15_lag_atlSICjfm, 12_lag_15_median_shSICsep, 12_lag_14_median_atlSICsep, 19_lag_atlSICsep, 12_lag_16_median_stratZ50ndj03, 21_lag_stratZ50ndj04, 17_lag_atlSICsep, 12_lag_18_median_atlSICjfm, 12_lag_14_median_eapPSLjfm, 13_lag_amoSSTjfm, 12_lag_21_median_stratZ50ndj02, 12_lag_amo3_399_12"
LRforcedPSO,8,30,stratZ50ndj04,picntrl,1074.5,2050.5,0.6,23,13,13,19.025368540838453,-0.031487500486412835,399,"['13_lag_22_median_amo2', '13_lag_19_median_eurPSLjfm', '13_lag_15_median_scpPSLjfm', '18_lag_eurPSLjfm', '14_lag_amo2', '13_lag_17_median_stratZ50ndj04', '13_lag_15_median_nhSICsep', '22_lag_nppc2SSTjfm', '13_lag_18_median_shSICsep', '13_lag_amo1', '22_lag_stratZ50ndj01', '18_lag_shSICmar', '22_lag_amo1', '13_lag_16_median_stratZ50ndj01', '13_lag_14_median_amo3', '13_lag_18_median_atlSICjfm', '20_lag_amoSSTjfm', '16_lag_nppc2SSTjfm', '20_lag_atlSICsep', '13_lag_20_median_shSICsep', '13_lag_22_median_atlSICsep', '15_lag_amo2', '13_lag_18_median_naoPSLjfm', '20_lag_eapPSLjfm', '15_lag_AMOCann', '13_lag_amoSSTjfm', '16_lag_naoPSLjfm', '21_lag_amoSSTmjjaso', '20_lag_stratZ50ndj04', '21_lag_nppc2SSTjfm']","[6.559253603667166, 1.3396520278164186, 5.743276683237772, 1.752121603576029, 0.8325707287084292, 0.5119507432397974, 4.614832945781078, 6.732358151723105, 4.563005519279631, 9.613149093782718, 4.65907699356827, 1.4258277259128516, 3.3428245001345314, 4.233184560912385, 7.915526603770353, 0.922820718024024, 6.013998071559527, 0.6395496087041046, 2.0244478319887733, 6.867553327123545, 0.13794789696577148, 3.6945900139193526, 1.147336512402477, 0.9365348565811757, 4.7926442452808455, 4.413207134960569, 0.15622432776815032, 0.6545721680952497, 1.3509830347184, 1.2403460462713323]","13_lag_22_median_amo2, 13_lag_19_median_eurPSLjfm, 13_lag_15_median_scpPSLjfm, 18_lag_eurPSLjfm, 14_lag_amo2, 13_lag_17_median_stratZ50ndj04, 13_lag_15_median_nhSICsep, 22_lag_nppc2SSTjfm, 13_lag_18_median_shSICsep, 13_lag_amo1, 22_lag_stratZ50ndj01, 18_lag_shSICmar, 22_lag_amo1, 13_lag_16_median_stratZ50ndj01, 13_lag_14_median_amo3, 13_lag_18_median_atlSICjfm, 20_lag_amoSSTjfm, 16_lag_nppc2SSTjfm, 20_lag_atlSICsep, 13_lag_20_median_shSICsep, 13_lag_22_median_atlSICsep, 15_lag_amo2, 13_lag_18_median_naoPSLjfm, 20_lag_eapPSLjfm, 15_lag_AMOCann, 13_lag_amoSSTjfm, 16_lag_naoPSLjfm, 21_lag_amoSSTmjjaso, 20_lag_stratZ50ndj04, 21_lag_nppc2SSTjfm_399_13"
LRforcedPSO,9,30,stratZ50ndj04,picntrl,1075.5,2050.5,0.6,24,14,14,21.964186473300796,0.007937638234851621,399,"['20_lag_eapPSLjfm', '14_lag_17_median_nppc2SSTjfm', '14_lag_19_median_stratZ50ndj04', '18_lag_amoSSTmjjaso', '14_lag_21_median_amo2', '19_lag_atlSICsep', '14_lag_22_median_eurPSLjfm', '22_lag_amo1', '15_lag_AMOCann', '14_lag_16_median_nhSICsep', '14_lag_17_median_amo3', '14_lag_nhSICsep', '18_lag_atlSICsep', '23_lag_shSICmar', '22_lag_amoSSTjfm', '18_lag_shSICsep', '14_lag_18_median_stratZ50ndj01', '21_lag_nhSICjfm', '21_lag_amoSSTmjjaso', '14_lag_21_median_stratZ50ndj04', '14_lag_amo1', '20_lag_stratZ50ndj01', '21_lag_naoPSLjfm', '14_lag_amoSSTjfm', '14_lag_18_median_nhSICsep', '14_lag_18_median_stratZ50ndj02', '14_lag_eurPSLjfm', '14_lag_17_median_shSICmar', '14_lag_23_median_naoPSLjfm', '14_lag_21_median_shSICmar']","[6.264886991010226, 1.7722048582319125, 3.045085126776339, 0.41940437656946017, 2.0140634921294964, 4.363214620925955, 2.8526868449951763, 3.4530464355965744, 1.0070751730592171, 1.5544207522345914, 4.06528452382134, 6.975220716228378, 8.880054808002768, 9.332977657222578, 2.0505842387226885, 2.22372332453332, 0.8458206399843586, 6.339119959870738, 9.32032055111539, 8.913826379541888, 5.83504450691062, 0.6315105102827765, 6.084857619749117, 1.707368790167056, 0.5965264275452178, 4.040074439308555, 5.444310616758601, 3.42330544029808, 0.8913464102061415, 0.3349959784882337]","20_lag_eapPSLjfm, 14_lag_17_median_nppc2SSTjfm, 14_lag_19_median_stratZ50ndj04, 18_lag_amoSSTmjjaso, 14_lag_21_median_amo2, 19_lag_atlSICsep, 14_lag_22_median_eurPSLjfm, 22_lag_amo1, 15_lag_AMOCann, 14_lag_16_median_nhSICsep, 14_lag_17_median_amo3, 14_lag_nhSICsep, 18_lag_atlSICsep, 23_lag_shSICmar, 22_lag_amoSSTjfm, 18_lag_shSICsep, 14_lag_18_median_stratZ50ndj01, 21_lag_nhSICjfm, 21_lag_amoSSTmjjaso, 14_lag_21_median_stratZ50ndj04, 14_lag_amo1, 20_lag_stratZ50ndj01, 21_lag_naoPSLjfm, 14_lag_amoSSTjfm, 14_lag_18_median_nhSICsep, 14_lag_18_median_stratZ50ndj02, 14_lag_eurPSLjfm, 14_lag_17_median_shSICmar, 14_lag_23_median_naoPSLjfm, 14_lag_21_median_shSICmar_399_14"
