model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,stratZ50ndj04,picntrl,1714.5,2050.5,0.8,15,1,1,23.637582730962315,-0.06929709270270046,1728,"['1_lag_10_median_nppc3SSTjfm', '1_lag_3_median_nppc3SSTjfm', '1_lag_12_median_scpPSLjfm', '13_lag_nchinaPRjja', '2_lag_samPSLann', '1_lag_5_median_traEC', '4_lag_traIT', '1_lag_10_median_ormenSSTjfm', '1_lag_9_median_scpPSLjfm', '1_lag_10_median_tripol1', '14_lag_traEC', '1_lag_7_median_atlSICjfm', '1_lag_4_median_traBO', '1_lag_12_median_ensoSSTjfm', '1_lag_12_median_traCA', '1_lag_3_median_labSSTjfm', '1_lag_8_median_ormenSSTjfm', '1_lag_11_median_mhfATL45', '1_lag_14_median_traDS', '7_lag_gyreSSTjfm', '1_lag_4_median_traEU', '8_lag_nhSICjfm', '1_lag_5_median_nhSICsep', '1_lag_mhfIP30', '1_lag_13_median_arcTSjfm', '1_lag_3_median_alpi', '1_lag_13_median_alpi', '2_lag_eurPSLjfm', '1_lag_11_median_mhfIP30', '1_lag_2_median_atlSICjfm']","[3.5047047712013875, 3.1315621426226787, 1.4387200747630224, 1.0573619945304973, 8.736337045538892, 4.074335174073598, 2.832803433591419, 5.167739773391009, 6.384348392186576, 1.6066773637148692, 2.287431531563568, 6.763064429475216, 0.6942809233037046, 2.113912224561057, 4.899418831914097, 5.246974158949573, 2.3381803195203847, 9.688305352099109, 9.506429041561507, 5.3802491435892, 5.264047980523337, 2.2131355995817827, 3.142910722592184, 2.9525452138512307, 3.0609622211769576, 4.092726809970657, 2.55872560751418, 1.0142387839667855, 1.1188758858400938, 3.7554608175177844]","1_lag_10_median_nppc3SSTjfm, 1_lag_3_median_nppc3SSTjfm, 1_lag_12_median_scpPSLjfm, 13_lag_nchinaPRjja, 2_lag_samPSLann, 1_lag_5_median_traEC, 4_lag_traIT, 1_lag_10_median_ormenSSTjfm, 1_lag_9_median_scpPSLjfm, 1_lag_10_median_tripol1, 14_lag_traEC, 1_lag_7_median_atlSICjfm, 1_lag_4_median_traBO, 1_lag_12_median_ensoSSTjfm, 1_lag_12_median_traCA, 1_lag_3_median_labSSTjfm, 1_lag_8_median_ormenSSTjfm, 1_lag_11_median_mhfATL45, 1_lag_14_median_traDS, 7_lag_gyreSSTjfm, 1_lag_4_median_traEU, 8_lag_nhSICjfm, 1_lag_5_median_nhSICsep, 1_lag_mhfIP30, 1_lag_13_median_arcTSjfm, 1_lag_3_median_alpi, 1_lag_13_median_alpi, 2_lag_eurPSLjfm, 1_lag_11_median_mhfIP30, 1_lag_2_median_atlSICjfm_1728_1"
LRforcedPSO,1,30,stratZ50ndj04,picntrl,1715.5,2050.5,0.8,16,1,1,20.534501489261803,0.16618227006529457,1856,"['4_lag_traCA', '7_lag_mhfIP30', '1_lag_10_median_atlSICjfm', '1_lag_14_median_neurTSjfm', '1_lag_3_median_atlSICjfm', '1_lag_6_median_stratZ50ndj01', '1_lag_13_median_traEU', '12_lag_mhfIP30', '1_lag_15_median_ginwSSTjfm', '1_lag_12_median_yrvPRjja', '1_lag_5_median_traIT', '9_lag_traDP', '10_lag_stratZ50ndj04', '6_lag_glTSjfm', '1_lag_9_median_traFB', '11_lag_mhfATL30', '1_lag_5_median_gyreSSTjfm', '1_lag_12_median_gyreSSTjfm', '1_lag_traFS', '1_lag_3_median_tripol1', '14_lag_atlSICjfm', '9_lag_nhTSjfm', '1_lag_12_median_shSICmar', '13_lag_scpPSLjfm', '8_lag_amo1', '10_lag_nhSICsep', '1_lag_12_median_pdoSSTjfm', '1_lag_7_median_shSICsep', '1_lag_7_median_mhfATL60', '1_lag_9_median_traCA']","[4.954141040899703, 1.068806548439433, 4.201050621590041, 3.496961575967161, 7.722893305941659, 0.7651806594814499, 2.5143767758175173, 2.2504170812399025, 5.259669355551628, 1.4908589767263773, 0.22841948134030332, 3.085356748800601, 3.6434946389400746, 6.028487412853652, 5.702480372747392, 4.719066900837861, 4.272119751680748, 8.791300645499067, 7.56743841792818, 7.046649846572142, 3.7318200040341836, 2.4127629587740635, 5.501529600889059, 3.8217354196446696, 7.977359157200454, 3.349834719881204, 4.728306292657496, 6.52994617966955, 0.2574896613243265, 8.459004383928427]","4_lag_traCA, 7_lag_mhfIP30, 1_lag_10_median_atlSICjfm, 1_lag_14_median_neurTSjfm, 1_lag_3_median_atlSICjfm, 1_lag_6_median_stratZ50ndj01, 1_lag_13_median_traEU, 12_lag_mhfIP30, 1_lag_15_median_ginwSSTjfm, 1_lag_12_median_yrvPRjja, 1_lag_5_median_traIT, 9_lag_traDP, 10_lag_stratZ50ndj04, 6_lag_glTSjfm, 1_lag_9_median_traFB, 11_lag_mhfATL30, 1_lag_5_median_gyreSSTjfm, 1_lag_12_median_gyreSSTjfm, 1_lag_traFS, 1_lag_3_median_tripol1, 14_lag_atlSICjfm, 9_lag_nhTSjfm, 1_lag_12_median_shSICmar, 13_lag_scpPSLjfm, 8_lag_amo1, 10_lag_nhSICsep, 1_lag_12_median_pdoSSTjfm, 1_lag_7_median_shSICsep, 1_lag_7_median_mhfATL60, 1_lag_9_median_traCA_1856_1"
LRforcedPSO,2,30,stratZ50ndj04,picntrl,1716.5,2050.5,0.8,17,1,1,20.997654712995566,0.07873407953266774,1984,"['1_lag_7_median_alpi', '6_lag_neurTSjfm', '7_lag_stratZ50ndj03', '1_lag_nppc3SSTjfm', '1_lag_2_median_atlSICjfm', '1_lag_6_median_glomaSSTjfm', '1_lag_6_median_traIT', '9_lag_traDS', '1_lag_6_median_stratZ50ndj02', '12_lag_traTLS', '2_lag_mhfIP30', '1_lag_pdoSSTjfm', '8_lag_pdoSSTjfm', '1_lag_6_median_stratZ50ndj01', '2_lag_pdoSSTjfm', '1_lag_7_median_amo3', '4_lag_glomaSSTjfm', '11_lag_mhfATL45', '4_lag_atlSICjfm', '6_lag_seurTSjfm', '15_lag_stratZ50ndj03', '10_lag_ensoSSTjfm', '9_lag_yrvPRjja', '1_lag_10_median_scpPSLjfm', '1_lag_9_median_shTSjfm', '1_lag_16_median_glTSjfm', '1_lag_12_median_mhfIP30', '15_lag_glomaSSTjfm', '16_lag_alpi', '16_lag_traWP']","[5.861705977250644, 7.983970478970882, 7.7937928067445625, 1.0355450345735768, 2.225938661360944, 0.9611349870458135, 1.0435232424268115, 7.570599795543762, 5.991749762045777, 7.370879005488369, 3.9484005089207326, 0.3443499624637525, 1.6100594531558077, 3.999599926428985, 7.853313798503297, 1.992355152019151, 1.492887925635337, 6.974244154754707, 5.604440649238784, 3.098076512050806, 3.52704192372443, 3.396388158115208, 1.7889011946267281, 6.743883026055904, 8.234361806327996, 6.131575134665251, 2.346012898887057, 1.6946003645408716, 1.088090344843046, 0.6723911711415713]","1_lag_7_median_alpi, 6_lag_neurTSjfm, 7_lag_stratZ50ndj03, 1_lag_nppc3SSTjfm, 1_lag_2_median_atlSICjfm, 1_lag_6_median_glomaSSTjfm, 1_lag_6_median_traIT, 9_lag_traDS, 1_lag_6_median_stratZ50ndj02, 12_lag_traTLS, 2_lag_mhfIP30, 1_lag_pdoSSTjfm, 8_lag_pdoSSTjfm, 1_lag_6_median_stratZ50ndj01, 2_lag_pdoSSTjfm, 1_lag_7_median_amo3, 4_lag_glomaSSTjfm, 11_lag_mhfATL45, 4_lag_atlSICjfm, 6_lag_seurTSjfm, 15_lag_stratZ50ndj03, 10_lag_ensoSSTjfm, 9_lag_yrvPRjja, 1_lag_10_median_scpPSLjfm, 1_lag_9_median_shTSjfm, 1_lag_16_median_glTSjfm, 1_lag_12_median_mhfIP30, 15_lag_glomaSSTjfm, 16_lag_alpi, 16_lag_traWP_1984_1"
LRforcedPSO,3,30,stratZ50ndj04,picntrl,1717.5,2050.5,0.8,18,1,1,19.70279606621882,-0.0877687724329654,2112,"['1_lag_5_median_cetTSjfm', '13_lag_traFB', '4_lag_traEU', '9_lag_samPSLann', '1_lag_15_median_satlSSTjfm', '1_lag_9_median_shTSjfm', '1_lag_2_median_labSSTjfm', '1_lag_6_median_mhfATL60', '6_lag_eurPSLjfm', '1_lag_17_median_wnorPRjfm', '1_lag_7_median_atlSICsep', '1_lag_7_median_seurTSjfm', '11_lag_wnorPRjfm', '1_lag_10_median_amo1', '3_lag_eurPSLjfm', '17_lag_nppc3SSTjfm', '17_lag_glTSjfm', '1_lag_7_median_alpi', '17_lag_stratZ50ndj04', '1_lag_9_median_seurTSjfm', '12_lag_eapPSLjfm', '1_lag_8_median_mhfATL45', '1_lag_3_median_samPSLann', '1_lag_seurTSjfm', '1_lag_9_median_amo2', '12_lag_atlSICjfm', '1_lag_15_median_atlSICjfm', '1_lag_9_median_naoPSLjfm', '4_lag_pdoSSTjfm', '1_lag_13_median_glomaSSTjfm']","[4.347287860952928, 9.063502877092803, 1.8666618951221299, 2.1600374679167356, 5.35099429041253, 3.3484349722749958, 8.220013520600848, 5.140945329916242, 2.620326545239431, 1.3671979071146652, 4.361231304699087, 5.511541998760514, 7.625808546942771, 7.342409742497857, 1.9566938000125695, 8.028772473953914, 1.0400984030578542, 3.2698788484786174, 3.088159243083921, 4.177384883033561, 8.129774876058471, 1.7857332448185286, 1.92062160693572, 5.451436404663436, 5.169808001820768, 2.342258772738834, 0.8303576636589032, 2.3228870043987886, 1.2711155235728615, 3.386106883225515]","1_lag_5_median_cetTSjfm, 13_lag_traFB, 4_lag_traEU, 9_lag_samPSLann, 1_lag_15_median_satlSSTjfm, 1_lag_9_median_shTSjfm, 1_lag_2_median_labSSTjfm, 1_lag_6_median_mhfATL60, 6_lag_eurPSLjfm, 1_lag_17_median_wnorPRjfm, 1_lag_7_median_atlSICsep, 1_lag_7_median_seurTSjfm, 11_lag_wnorPRjfm, 1_lag_10_median_amo1, 3_lag_eurPSLjfm, 17_lag_nppc3SSTjfm, 17_lag_glTSjfm, 1_lag_7_median_alpi, 17_lag_stratZ50ndj04, 1_lag_9_median_seurTSjfm, 12_lag_eapPSLjfm, 1_lag_8_median_mhfATL45, 1_lag_3_median_samPSLann, 1_lag_seurTSjfm, 1_lag_9_median_amo2, 12_lag_atlSICjfm, 1_lag_15_median_atlSICjfm, 1_lag_9_median_naoPSLjfm, 4_lag_pdoSSTjfm, 1_lag_13_median_glomaSSTjfm_2112_1"
LRforcedPSO,4,30,stratZ50ndj04,picntrl,1718.5,2050.5,0.8,19,1,1,23.33384865487933,-0.005018372615383953,2240,"['1_lag_16_median_nppc3SSTjfm', '1_lag_10_median_amo1', '12_lag_mhfATL30', '1_lag_9_median_traDS', '1_lag_12_median_yrvPRjja', '1_lag_6_median_arcTSjfm', '1_lag_traBO', '1_lag_14_median_nppc2SSTjfm', '2_lag_traBS', '1_lag_6_median_tripol3', '1_lag_15_median_stratZ50ndj03', '17_lag_neurTSjfm', '1_lag_17_median_tripol3', '13_lag_wnorPRjfm', '7_lag_tripol1', '7_lag_eapPSLjfm', '1_lag_11_median_eapPSLjfm', '1_lag_14_median_stratZ50ndj02', '1_lag_10_median_nhSICjfm', '10_lag_nppc3SSTjfm', '1_lag_3_median_traFSC', '2_lag_eapPSLjfm', '7_lag_nhSICsep', '1_lag_8_median_ginwSSTjfm', '1_lag_2_median_samPSLann', '1_lag_14_median_stratZ50ndj04', '12_lag_nppc3SSTjfm', '6_lag_traTLS', '1_lag_9_median_neurTSjfm', '9_lag_traFS']","[1.4602158333960844, 0.5646432057472488, 7.130689009436178, 4.455061806493761, 3.8725771278463057, 5.818465252221805, 4.464085053414173, 1.6317559104414396, 0.5717349063296151, 2.8181669936671447, 7.049567089930275, 9.933706682319215, 3.513242534333818, 8.022480136521246, 3.222021965936195, 4.481390531573524, 3.525695083007559, 6.239572491612048, 0.7865166690753789, 2.2772394910296807, 2.040790983413265, 0.4203097990714255, 2.664400742191358, 7.643083077529383, 8.54233361986612, 2.923519406512778, 2.4756656238888075, 1.592817275185272, 8.273126861944029, 4.386544728387648]","1_lag_16_median_nppc3SSTjfm, 1_lag_10_median_amo1, 12_lag_mhfATL30, 1_lag_9_median_traDS, 1_lag_12_median_yrvPRjja, 1_lag_6_median_arcTSjfm, 1_lag_traBO, 1_lag_14_median_nppc2SSTjfm, 2_lag_traBS, 1_lag_6_median_tripol3, 1_lag_15_median_stratZ50ndj03, 17_lag_neurTSjfm, 1_lag_17_median_tripol3, 13_lag_wnorPRjfm, 7_lag_tripol1, 7_lag_eapPSLjfm, 1_lag_11_median_eapPSLjfm, 1_lag_14_median_stratZ50ndj02, 1_lag_10_median_nhSICjfm, 10_lag_nppc3SSTjfm, 1_lag_3_median_traFSC, 2_lag_eapPSLjfm, 7_lag_nhSICsep, 1_lag_8_median_ginwSSTjfm, 1_lag_2_median_samPSLann, 1_lag_14_median_stratZ50ndj04, 12_lag_nppc3SSTjfm, 6_lag_traTLS, 1_lag_9_median_neurTSjfm, 9_lag_traFS_2240_1"
LRforcedPSO,5,30,stratZ50ndj04,picntrl,1719.5,2050.5,0.8,20,1,1,20.66858638192438,0.025408437605858335,2368,"['19_lag_stratZ50ndj01', '1_lag_16_median_amo3', '12_lag_traDS', '1_lag_3_median_glTSjfm', '1_lag_15_median_ormenSSTjfm', '10_lag_traTLS', '1_lag_10_median_shTSjfm', '19_lag_glTSjfm', '1_lag_17_median_glTSjfm', '2_lag_stratZ50ndj02', '6_lag_tripol2', '1_lag_11_median_tripol2', '1_lag_15_median_scpPSLjfm', '1_lag_4_median_alpi', '7_lag_cetTSjfm', '3_lag_shTSjfm', '1_lag_17_median_samPSLann', '2_lag_nppc3SSTjfm', '1_lag_9_median_traDS', '1_lag_9_median_traEU', '1_lag_11_median_mhfATL30', '13_lag_traMC', '1_lag_2_median_ensoSSTjfm', '13_lag_traTLS', '14_lag_ensoSSTjfm', '1_lag_16_median_nhSICjfm', '1_lag_3_median_traFS', '13_lag_eurPSLjfm', '4_lag_traMC', '1_lag_7_median_ensoSSTjfm']","[4.603504307913672, 3.8274919475141678, 9.685711515468867, 7.374463255187333, 1.5800729863324285, 4.989747520996772, 8.024508800650402, 1.6074021605144768, 2.9401527403248906, 2.072592017236503, 4.616752896589899, 3.9194730478459716, 1.3317223981089867, 0.9830118970661861, 4.965671559401885, 1.0635679841042567, 7.6344320308996, 1.7282735951811024, 8.709953209224928, 1.6086920647482277, 0.4284166328425414, 5.455314581040678, 4.661358474490086, 5.8213029379708425, 4.14512362487314, 1.0498035216621986, 3.7529093848857116, 5.159477602131279, 1.127465980443505, 0.9527395679388118]","19_lag_stratZ50ndj01, 1_lag_16_median_amo3, 12_lag_traDS, 1_lag_3_median_glTSjfm, 1_lag_15_median_ormenSSTjfm, 10_lag_traTLS, 1_lag_10_median_shTSjfm, 19_lag_glTSjfm, 1_lag_17_median_glTSjfm, 2_lag_stratZ50ndj02, 6_lag_tripol2, 1_lag_11_median_tripol2, 1_lag_15_median_scpPSLjfm, 1_lag_4_median_alpi, 7_lag_cetTSjfm, 3_lag_shTSjfm, 1_lag_17_median_samPSLann, 2_lag_nppc3SSTjfm, 1_lag_9_median_traDS, 1_lag_9_median_traEU, 1_lag_11_median_mhfATL30, 13_lag_traMC, 1_lag_2_median_ensoSSTjfm, 13_lag_traTLS, 14_lag_ensoSSTjfm, 1_lag_16_median_nhSICjfm, 1_lag_3_median_traFS, 13_lag_eurPSLjfm, 4_lag_traMC, 1_lag_7_median_ensoSSTjfm_2368_1"
LRforcedPSO,6,30,stratZ50ndj04,picntrl,1720.5,2050.5,0.8,21,1,1,21.44918447347515,0.13867855493871775,2496,"['1_lag_6_median_wnorPRjfm', '12_lag_alpi', '11_lag_atlSICjfm', '12_lag_shSICsep', '10_lag_ismPRjja', '9_lag_mhfATL60', '1_lag_10_median_ismPRjja', '2_lag_traDP', '4_lag_labSSTjfm', '6_lag_traFSC', '18_lag_eapPSLjfm', '3_lag_nhSICjfm', '1_lag_20_median_gyreSSTjfm', '1_lag_13_median_atlSICjfm', '1_lag_18_median_stratZ50ndj03', '1_lag_16_median_shTSjfm', '1_lag_13_median_tripol2', '15_lag_traCA', '12_lag_satlSSTjfm', '1_lag_13_median_shTSjfm', '13_lag_satlSSTjfm', '1_lag_19_median_atlSICjfm', '1_lag_5_median_nhSICjfm', '3_lag_traEU', '19_lag_tripol3', '1_lag_9_median_scpPSLjfm', '2_lag_eurPSLjfm', '3_lag_traIFC', '1_lag_17_median_shSICsep', '1_lag_18_median_amo3']","[5.859688525607327, 6.306564584776233, 8.503260627899845, 5.326208868823315, 3.846615388864083, 0.10618259629374016, 0.312574418147495, 5.194447982263366, 4.982324637032498, 7.086988653777016, 1.011241440209492, 4.729778327817771, 3.3666940738917166, 4.762157188391041, 7.263146360621238, 9.559404283268446, 0.9145458112685958, 0.8187900333907887, 5.007481746081234, 3.19613974499644, 8.05260995546303, 9.880114837278029, 3.8980001077704873, 1.288818803493168, 0.18453672796790244, 7.704071970066792, 3.2048373573709004, 5.136799166643988, 5.2899698384365195, 0.6394141951397252]","1_lag_6_median_wnorPRjfm, 12_lag_alpi, 11_lag_atlSICjfm, 12_lag_shSICsep, 10_lag_ismPRjja, 9_lag_mhfATL60, 1_lag_10_median_ismPRjja, 2_lag_traDP, 4_lag_labSSTjfm, 6_lag_traFSC, 18_lag_eapPSLjfm, 3_lag_nhSICjfm, 1_lag_20_median_gyreSSTjfm, 1_lag_13_median_atlSICjfm, 1_lag_18_median_stratZ50ndj03, 1_lag_16_median_shTSjfm, 1_lag_13_median_tripol2, 15_lag_traCA, 12_lag_satlSSTjfm, 1_lag_13_median_shTSjfm, 13_lag_satlSSTjfm, 1_lag_19_median_atlSICjfm, 1_lag_5_median_nhSICjfm, 3_lag_traEU, 19_lag_tripol3, 1_lag_9_median_scpPSLjfm, 2_lag_eurPSLjfm, 3_lag_traIFC, 1_lag_17_median_shSICsep, 1_lag_18_median_amo3_2496_1"
LRforcedPSO,7,30,stratZ50ndj04,picntrl,1721.5,2050.5,0.8,22,2,2,26.694018289353938,-0.2721176211914371,2496,"['2_lag_13_median_wnorPRjfm', '19_lag_stratZ50ndj03', '2_lag_5_median_pdoSSTjfm', '3_lag_nhTSjfm', '2_lag_nhTSjfm', '17_lag_seurTSjfm', '18_lag_seurTSjfm', '2_lag_21_median_seurTSjfm', '2_lag_13_median_shTSjfm', '2_lag_11_median_eapPSLjfm', '2_lag_17_median_atlSICsep', '19_lag_nchinaPRjja', '17_lag_eurPSLjfm', '2_lag_13_median_samPSLann', '11_lag_samPSLann', '2_lag_7_median_traMC', '2_lag_18_median_traIT', '17_lag_labSSTjfm', '12_lag_traBO', '2_lag_7_median_neurTSjfm', '14_lag_ormenSSTjfm', '14_lag_yrvPRjja', '10_lag_tripol1', '11_lag_traIT', '2_lag_6_median_stratZ50ndj02', '2_lag_6_median_mhfATL45', '2_lag_4_median_traWP', '11_lag_nhTSjfm', '18_lag_nhSICsep', '19_lag_gyreSSTjfm']","[7.567108355076986, 5.273013505737696, 1.1447058440472766, 5.70624762732967, 7.902063060980254, 1.7118340159249819, 4.6806926949096805, 6.539007007816815, 0.8828246604502752, 2.2116423988422724, 2.2152326008456775, 7.496618197366372, 8.262202881248387, 0.05218474843100651, 4.751658665666508, 3.1698065182201525, 3.4634096083859305, 2.7648629652880263, 6.3491451410427775, 0.7623044315367, 6.92820054027187, 2.997214843411511, 3.2250968171891152, 4.002262012511444, 0.18980994143057472, 4.184895369280881, 8.554287804851672, 4.887597134525652, 8.361760588988492, 4.668387288005511]","2_lag_13_median_wnorPRjfm, 19_lag_stratZ50ndj03, 2_lag_5_median_pdoSSTjfm, 3_lag_nhTSjfm, 2_lag_nhTSjfm, 17_lag_seurTSjfm, 18_lag_seurTSjfm, 2_lag_21_median_seurTSjfm, 2_lag_13_median_shTSjfm, 2_lag_11_median_eapPSLjfm, 2_lag_17_median_atlSICsep, 19_lag_nchinaPRjja, 17_lag_eurPSLjfm, 2_lag_13_median_samPSLann, 11_lag_samPSLann, 2_lag_7_median_traMC, 2_lag_18_median_traIT, 17_lag_labSSTjfm, 12_lag_traBO, 2_lag_7_median_neurTSjfm, 14_lag_ormenSSTjfm, 14_lag_yrvPRjja, 10_lag_tripol1, 11_lag_traIT, 2_lag_6_median_stratZ50ndj02, 2_lag_6_median_mhfATL45, 2_lag_4_median_traWP, 11_lag_nhTSjfm, 18_lag_nhSICsep, 19_lag_gyreSSTjfm_2496_2"
LRforcedPSO,8,30,stratZ50ndj04,picntrl,1722.5,2050.5,0.8,23,3,3,20.520881574788415,0.018372911434238633,2496,"['7_lag_traFSC', '19_lag_tripol3', '4_lag_stratZ50ndj04', '3_lag_12_median_eurPSLjfm', '18_lag_mhfIP30', '6_lag_traIT', '3_lag_22_median_traEC', '3_lag_17_median_glTSjfm', '7_lag_shSICsep', '4_lag_eapPSLjfm', '3_lag_22_median_neurTSjfm', '20_lag_stratZ50ndj01', '22_lag_nhTSjfm', '14_lag_tripol2', '22_lag_traWP', '11_lag_traMC', '21_lag_ensoSSTjfm', '3_lag_12_median_nppc3SSTjfm', '7_lag_AMOCann', '10_lag_ginwSSTjfm', '14_lag_traEC', '16_lag_mhfATL30', '3_lag_8_median_nchinaPRjja', '3_lag_6_median_ormenSSTjfm', '3_lag_22_median_stratZ50ndj01', '3_lag_15_median_tripol1', '19_lag_alpi', '16_lag_traFSC', '3_lag_21_median_stratZ50ndj01', '12_lag_AMOCann']","[6.846703110072681, 2.7060453925430235, 4.695050887195, 0.18294304253663185, 5.368041080758776, 2.362729219180597, 1.6787926144104688, 2.4098298691916202, 4.726645452629651, 2.0099625499917746, 0.8219130985681549, 8.992622793814967, 4.079101323320893, 8.783164996850768, 1.5544979262998293, 0.6359880917786072, 2.242861257288369, 1.469545457017528, 2.8167770866966, 3.316906588871788, 0.18331278186074584, 7.472306297128302, 2.989754616979649, 4.434810872907244, 1.8506496062280675, 9.905590416046067, 2.1494243551818037, 1.420832219820248, 6.438510326302776, 7.226714518591606]","7_lag_traFSC, 19_lag_tripol3, 4_lag_stratZ50ndj04, 3_lag_12_median_eurPSLjfm, 18_lag_mhfIP30, 6_lag_traIT, 3_lag_22_median_traEC, 3_lag_17_median_glTSjfm, 7_lag_shSICsep, 4_lag_eapPSLjfm, 3_lag_22_median_neurTSjfm, 20_lag_stratZ50ndj01, 22_lag_nhTSjfm, 14_lag_tripol2, 22_lag_traWP, 11_lag_traMC, 21_lag_ensoSSTjfm, 3_lag_12_median_nppc3SSTjfm, 7_lag_AMOCann, 10_lag_ginwSSTjfm, 14_lag_traEC, 16_lag_mhfATL30, 3_lag_8_median_nchinaPRjja, 3_lag_6_median_ormenSSTjfm, 3_lag_22_median_stratZ50ndj01, 3_lag_15_median_tripol1, 19_lag_alpi, 16_lag_traFSC, 3_lag_21_median_stratZ50ndj01, 12_lag_AMOCann_2496_3"
LRforcedPSO,9,30,stratZ50ndj04,picntrl,1723.5,2050.5,0.8,24,4,4,22.199951572503256,-0.14876456136218377,2496,"['8_lag_traFSC', '16_lag_traTLS', '22_lag_traIFC', '7_lag_eapPSLjfm', '4_lag_11_median_traFS', '4_lag_17_median_wnorPRjfm', '12_lag_gyreSSTjfm', '4_lag_9_median_amo3', '4_lag_19_median_nchinaPRjja', '12_lag_samPSLann', '4_lag_13_median_arcTSjfm', '21_lag_pdoSSTjfm', '4_lag_17_median_nhTSjfm', '9_lag_amo1', '4_lag_18_median_shSICsep', '4_lag_15_median_tripol1', '18_lag_tripol1', '4_lag_22_median_mhfATL30', '4_lag_21_median_seurTSjfm', '4_lag_9_median_traDP', '4_lag_traDS', '20_lag_cetTSjfm', '4_lag_18_median_ginwSSTjfm', '12_lag_shTSjfm', '13_lag_eurPSLjfm', '4_lag_21_median_traTLS', '4_lag_23_median_ensoSSTjfm', '9_lag_traFSC', '4_lag_traCA', '4_lag_18_median_labSSTjfm']","[6.272116782976635, 4.903176460457431, 5.853655117312185, 4.820877335825222, 1.1400501238822542, 9.354946622113829, 0.43261177166368014, 4.383628186700106, 1.808321616254796, 5.629839685563812, 1.36902488589792, 3.814591973954742, 4.364054691449564, 0.8397375533586775, 1.5688272810036246, 8.431214831490323, 8.038281275307924, 0.0017940182100044666, 4.129355103609154, 0.6773801631464664, 2.532996863980575, 2.621431005253811, 3.0525943725775058, 5.272910007300041, 0.0048137245307486864, 2.151872827066178, 0.8846055807118347, 0.6982705692152535, 7.243759620350336, 2.1213964071011375]","8_lag_traFSC, 16_lag_traTLS, 22_lag_traIFC, 7_lag_eapPSLjfm, 4_lag_11_median_traFS, 4_lag_17_median_wnorPRjfm, 12_lag_gyreSSTjfm, 4_lag_9_median_amo3, 4_lag_19_median_nchinaPRjja, 12_lag_samPSLann, 4_lag_13_median_arcTSjfm, 21_lag_pdoSSTjfm, 4_lag_17_median_nhTSjfm, 9_lag_amo1, 4_lag_18_median_shSICsep, 4_lag_15_median_tripol1, 18_lag_tripol1, 4_lag_22_median_mhfATL30, 4_lag_21_median_seurTSjfm, 4_lag_9_median_traDP, 4_lag_traDS, 20_lag_cetTSjfm, 4_lag_18_median_ginwSSTjfm, 12_lag_shTSjfm, 13_lag_eurPSLjfm, 4_lag_21_median_traTLS, 4_lag_23_median_ensoSSTjfm, 9_lag_traFSC, 4_lag_traCA, 4_lag_18_median_labSSTjfm_2496_4"
