model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traBO,picntrl,1066.5,2050.5,0.4,15,1,1,16.47530325487331,0.05400590419164309,1728,"['3_lag_AMOCann', '1_lag_shSICmar', '10_lag_stratZ50ndj04', '1_lag_3_median_nhSICsep', '8_lag_traEU', '1_lag_12_median_samPSLann', '1_lag_12_median_naoPSLjfm', '9_lag_stratZ50ndj04', '13_lag_naoPSLjfm', '1_lag_5_median_seurTSjfm']","[0.7432046074721139, 0.8634981136301985, 5.654266920089196, 9.138485069754738, 0.19876424459426723, 5.408903476235203, 2.4768272479617597, 2.099401471075579, 4.381389194216279, 3.5619169593682507]","3_lag_AMOCann, 1_lag_shSICmar, 10_lag_stratZ50ndj04, 1_lag_3_median_nhSICsep, 8_lag_traEU, 1_lag_12_median_samPSLann, 1_lag_12_median_naoPSLjfm, 9_lag_stratZ50ndj04, 13_lag_naoPSLjfm, 1_lag_5_median_seurTSjfm_1728_1"
LRforcedPSO,1,10,traBO,picntrl,1067.5,2050.5,0.4,16,1,1,15.799285136281608,-0.030503525247763105,1856,"['1_lag_14_median_stratZ50ndj04', '6_lag_neurTSjfm', '6_lag_traBO', '1_lag_8_median_cetTSjfm', '2_lag_seurTSjfm', '13_lag_atlSICsep', '1_lag_14_median_nppc3SSTjfm', '15_lag_yrvPRjja', '10_lag_mhfATL60', '1_lag_8_median_atlSICsep']","[4.369388230513064, 7.113559674368175, 2.0829654433580345, 1.2916330056078102, 2.923738250496166, 3.021644998731908, 1.639791287925652, 0.5892744692640441, 3.501639340166065, 4.464707538589319]","1_lag_14_median_stratZ50ndj04, 6_lag_neurTSjfm, 6_lag_traBO, 1_lag_8_median_cetTSjfm, 2_lag_seurTSjfm, 13_lag_atlSICsep, 1_lag_14_median_nppc3SSTjfm, 15_lag_yrvPRjja, 10_lag_mhfATL60, 1_lag_8_median_atlSICsep_1856_1"
LRforcedPSO,2,10,traBO,picntrl,1068.5,2050.5,0.4,17,1,1,17.557470716258987,-0.1765477784083952,1984,"['1_lag_2_median_neurTSjfm', '1_lag_8_median_labSSTjfm', '1_lag_15_median_mhfATL30', '1_lag_7_median_traBO', '3_lag_atlSICjfm', '1_lag_8_median_glTSjfm', '1_lag_stratZ50ndj04', '12_lag_gyreSSTjfm', '4_lag_alpi', '1_lag_3_median_glomaSSTjfm']","[0.10953129764145153, 0.3471756433920099, 4.116363801286362, 1.5650908231229081, 1.0018860112065227, 1.8926221848302642, 0.3929870631883432, 6.478336479785951, 1.599156978056559, 4.108753046784264]","1_lag_2_median_neurTSjfm, 1_lag_8_median_labSSTjfm, 1_lag_15_median_mhfATL30, 1_lag_7_median_traBO, 3_lag_atlSICjfm, 1_lag_8_median_glTSjfm, 1_lag_stratZ50ndj04, 12_lag_gyreSSTjfm, 4_lag_alpi, 1_lag_3_median_glomaSSTjfm_1984_1"
LRforcedPSO,3,10,traBO,picntrl,1069.5,2050.5,0.4,18,1,1,16.59848930899442,-0.016584504951957124,2112,"['17_lag_AMOCann', '1_lag_11_median_amoSSTmjjaso', '7_lag_traEU', '9_lag_stratZ50ndj01', '11_lag_shTSjfm', '11_lag_nhSICjfm', '1_lag_6_median_tripol1', '1_lag_17_median_ginwSSTjfm', '1_lag_9_median_traDS', '1_lag_11_median_atlSICsep']","[2.9551013510826145, 5.974381905975527, 4.299042570327465, 1.0338393966473696, 4.87381619733738, 0.33215892982661366, 3.137887288098277, 0.8970249819438525, 4.394790152702196, 1.496297563732636]","17_lag_AMOCann, 1_lag_11_median_amoSSTmjjaso, 7_lag_traEU, 9_lag_stratZ50ndj01, 11_lag_shTSjfm, 11_lag_nhSICjfm, 1_lag_6_median_tripol1, 1_lag_17_median_ginwSSTjfm, 1_lag_9_median_traDS, 1_lag_11_median_atlSICsep_2112_1"
LRforcedPSO,4,10,traBO,picntrl,1070.5,2050.5,0.4,19,1,1,18.15033326147123,-0.05303145203559983,2240,"['11_lag_shTSjfm', '1_lag_2_median_atlSICsep', '9_lag_wnorPRjfm', '1_lag_3_median_glTSjfm', '1_lag_atlSICjfm', '1_lag_ensoSSTjfm', '3_lag_traIFC', '1_lag_10_median_shSICmar', '2_lag_gyreSSTjfm', '1_lag_13_median_glomaSSTjfm']","[1.1812611791307681, 0.7357812930720602, 5.319433143290933, 0.44755643678614376, 2.448061469933446, 2.1572385015695765, 0.8559752013988344, 6.4650353185922, 3.390174224414098, 2.21409760013249]","11_lag_shTSjfm, 1_lag_2_median_atlSICsep, 9_lag_wnorPRjfm, 1_lag_3_median_glTSjfm, 1_lag_atlSICjfm, 1_lag_ensoSSTjfm, 3_lag_traIFC, 1_lag_10_median_shSICmar, 2_lag_gyreSSTjfm, 1_lag_13_median_glomaSSTjfm_2240_1"
LRforcedPSO,5,10,traBO,picntrl,1071.5,2050.5,0.4,20,1,1,15.966158316025723,-0.04507615327359168,2368,"['1_lag_15_median_ensoSSTjfm', '1_lag_19_median_traBS', '17_lag_nppc2SSTjfm', '19_lag_mhfATL30', '1_lag_2_median_labSSTjfm', '7_lag_eurPSLjfm', '1_lag_13_median_yrvPRjja', '1_lag_7_median_mhfATL30', '1_lag_12_median_traFB', '1_lag_6_median_tripol2']","[3.994933986991896, 2.3562937219624285, 1.4700724429815732, 5.426078441403243, 3.714387930971764, 4.1775374777987615, 0.9619848116485876, 2.376225870777824, 0.3062685746660616, 3.132984654428215]","1_lag_15_median_ensoSSTjfm, 1_lag_19_median_traBS, 17_lag_nppc2SSTjfm, 19_lag_mhfATL30, 1_lag_2_median_labSSTjfm, 7_lag_eurPSLjfm, 1_lag_13_median_yrvPRjja, 1_lag_7_median_mhfATL30, 1_lag_12_median_traFB, 1_lag_6_median_tripol2_2368_1"
LRforcedPSO,6,10,traBO,picntrl,1072.5,2050.5,0.4,21,1,1,16.05534254059781,0.016138079036323392,2496,"['16_lag_mhfATL45', '1_lag_15_median_traIT', '1_lag_17_median_AMOCann', '2_lag_mhfATL60', '1_lag_12_median_arcTSjfm', '17_lag_mhfATL30', '1_lag_10_median_alpi', '1_lag_11_median_stratZ50ndj01', '2_lag_ensoSSTjfm', '1_lag_3_median_stratZ50ndj04']","[1.327322487230651, 1.8056120629815418, 0.19002105910823985, 3.4432836292914466, 1.6339617850483616, 2.0077107178815012, 8.030075727022377, 1.027507317576493, 1.0267287147014983, 5.210624590633303]","16_lag_mhfATL45, 1_lag_15_median_traIT, 1_lag_17_median_AMOCann, 2_lag_mhfATL60, 1_lag_12_median_arcTSjfm, 17_lag_mhfATL30, 1_lag_10_median_alpi, 1_lag_11_median_stratZ50ndj01, 2_lag_ensoSSTjfm, 1_lag_3_median_stratZ50ndj04_2496_1"
LRforcedPSO,7,10,traBO,picntrl,1073.5,2050.5,0.4,22,2,2,17.05269575900164,0.032458359354103405,2496,"['2_lag_20_median_eurPSLjfm', '2_lag_20_median_nhSICjfm', '15_lag_traFB', '2_lag_5_median_nppc3SSTjfm', '15_lag_stratZ50ndj04', '12_lag_labSSTjfm', '2_lag_14_median_traMC', '2_lag_21_median_nhSICjfm', '12_lag_traIT', '15_lag_traDS']","[2.385383408691318, 6.535462488649766, 1.916206707360729, 3.3765876310643463, 1.9143482569260577, 4.982838163600023, 8.911146888768439, 0.12575502561984564, 3.709294735498448, 2.5615590699955204]","2_lag_20_median_eurPSLjfm, 2_lag_20_median_nhSICjfm, 15_lag_traFB, 2_lag_5_median_nppc3SSTjfm, 15_lag_stratZ50ndj04, 12_lag_labSSTjfm, 2_lag_14_median_traMC, 2_lag_21_median_nhSICjfm, 12_lag_traIT, 15_lag_traDS_2496_2"
LRforcedPSO,8,10,traBO,picntrl,1074.5,2050.5,0.4,23,3,3,17.630992765366216,-0.03401762172996299,2496,"['11_lag_shSICsep', '19_lag_satlSSTjfm', '3_lag_18_median_traEC', '3_lag_11_median_mhfATL30', '3_lag_6_median_arcTSjfm', '12_lag_nhSICsep', '3_lag_19_median_nhSICsep', '3_lag_9_median_pdoSSTjfm', '21_lag_shSICmar', '3_lag_16_median_tripol2']","[4.59926720242008, 0.3950707535560838, 1.258386814568313, 4.887688287045446, 2.7175269196412017, 3.928400245352548, 3.259029093924866, 4.4890152852302485, 7.236018392082688, 5.653872364748871]","11_lag_shSICsep, 19_lag_satlSSTjfm, 3_lag_18_median_traEC, 3_lag_11_median_mhfATL30, 3_lag_6_median_arcTSjfm, 12_lag_nhSICsep, 3_lag_19_median_nhSICsep, 3_lag_9_median_pdoSSTjfm, 21_lag_shSICmar, 3_lag_16_median_tripol2_2496_3"
LRforcedPSO,9,10,traBO,picntrl,1075.5,2050.5,0.4,24,4,4,15.09116026330598,0.04668741440142,2496,"['13_lag_eurPSLjfm', '4_lag_mhfATL30', '4_lag_16_median_pdoSSTjfm', '4_lag_21_median_alpi', '4_lag_11_median_labSSTjfm', '4_lag_7_median_shTSjfm', '4_lag_18_median_samPSLann', '10_lag_glomaSSTjfm', '4_lag_8_median_cetTSjfm', '9_lag_shTSjfm']","[0.7354427232625316, 5.510619515557986, 3.4718879520123185, 0.9654858435174809, 0.6754385867563446, 5.263285523446024, 1.0846488603105886, 1.2217780140430357, 1.7886894311145838, 3.2063118468546197]","13_lag_eurPSLjfm, 4_lag_mhfATL30, 4_lag_16_median_pdoSSTjfm, 4_lag_21_median_alpi, 4_lag_11_median_labSSTjfm, 4_lag_7_median_shTSjfm, 4_lag_18_median_samPSLann, 10_lag_glomaSSTjfm, 4_lag_8_median_cetTSjfm, 9_lag_shTSjfm_2496_4"
