model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traBS,picntrl,1714.5,2050.5,0.4,15,1,1,17.28221786379716,-0.04397038945068025,1728,"['7_lag_alpi', '8_lag_traEU', '1_lag_mhfIP30', '8_lag_traBS', '9_lag_ginwSSTjfm', '14_lag_nchinaPRjja', '13_lag_atlSICjfm', '1_lag_yrvPRjja', '3_lag_nchinaPRjja', '7_lag_amo1', '6_lag_alpi', '13_lag_amo2', '6_lag_traDP', '5_lag_ensoSSTjfm', '12_lag_scpPSLjfm', '5_lag_tripol2', '7_lag_nhSICsep', '13_lag_shSICsep', '7_lag_glomaSSTjfm', '10_lag_glTSjfm', '5_lag_nchinaPRjja', '7_lag_atlSICsep', '3_lag_stratZ50ndj01', '6_lag_amoSSTmjjaso', '6_lag_traWP', '5_lag_traWP', '11_lag_amo3', '7_lag_amoSSTmjjaso', '8_lag_traWP', '6_lag_ismPRjja']","[0.028405161043922742, 0.19198750404351128, 0.012301308834818836, 0.05070883228145017, 0.13350986740376633, 0.021281759458887137, 0.21735055057153402, 0.10749383792987019, 0.15344880077080242, 0.18239931422080827, 0.09948369541351815, 0.20159624537702214, 0.23654696245401116, 0.3180310740630611, 0.17230145789134976, 0.4886282531291738, 0.116873915515556, 0.2439872537918424, 0.17080305160341763, 0.1878616697950782, 0.1498786771969661, 0.06598965158710321, 0.06610792604788185, 0.10668736511717783, 0.0780677044244929, 0.12420893239522304, 0.20739104898490773, 0.0005955245618656443, 0.07406880885264558, 0.2174566069504297]","7_lag_alpi, 8_lag_traEU, 1_lag_mhfIP30, 8_lag_traBS, 9_lag_ginwSSTjfm, 14_lag_nchinaPRjja, 13_lag_atlSICjfm, 1_lag_yrvPRjja, 3_lag_nchinaPRjja, 7_lag_amo1, 6_lag_alpi, 13_lag_amo2, 6_lag_traDP, 5_lag_ensoSSTjfm, 12_lag_scpPSLjfm, 5_lag_tripol2, 7_lag_nhSICsep, 13_lag_shSICsep, 7_lag_glomaSSTjfm, 10_lag_glTSjfm, 5_lag_nchinaPRjja, 7_lag_atlSICsep, 3_lag_stratZ50ndj01, 6_lag_amoSSTmjjaso, 6_lag_traWP, 5_lag_traWP, 11_lag_amo3, 7_lag_amoSSTmjjaso, 8_lag_traWP, 6_lag_ismPRjja_1728_1"
LinearRegression,1,30,traBS,picntrl,1715.5,2050.5,0.4,16,1,1,17.609257911873392,-0.09136590332127026,1856,"['7_lag_nhTSjfm', '15_lag_samPSLann', '6_lag_traDP', '8_lag_traBS', '7_lag_naoPSLjfm', '13_lag_eapPSLjfm', '5_lag_tripol2', '3_lag_nchinaPRjja', '12_lag_nchinaPRjja', '10_lag_shTSjfm', '7_lag_glTSjfm', '13_lag_traWP', '8_lag_stratZ50ndj03', '10_lag_amo1', '15_lag_nppc3SSTjfm', '9_lag_nhSICsep', '1_lag_traBS', '6_lag_traWP', '7_lag_amoSSTmjjaso', '11_lag_amo3', '7_lag_glomaSSTjfm', '7_lag_atlSICsep', '5_lag_nchinaPRjja', '5_lag_traWP', '6_lag_amoSSTmjjaso', '10_lag_glTSjfm', '3_lag_stratZ50ndj01', '8_lag_traWP', '15_lag_traEU', '6_lag_ismPRjja']","[0.3316248778032082, 0.07563696820117943, 0.11872909135219485, 0.12644981455111334, 0.1662118684811407, 0.13461890053580003, 0.12861505014687888, 0.09946195654525125, 0.13577197081661468, 0.010027769284994126, 0.35001656409469634, 0.10539748400261012, 0.023827761166193284, 0.13458335892080306, 0.14284752934857792, 0.24323265745439618, 0.16211989954112763, 0.07508828568852208, 0.007942511474421557, 0.13551937193332625, 0.0905555403512513, 0.1306691201798004, 0.11879206465506066, 0.2064191203850386, 0.09617836915138758, 0.10002885472886527, 0.09562969373615977, 0.08791839842563809, 0.1839199179139599, 0.19238520154806316]","7_lag_nhTSjfm, 15_lag_samPSLann, 6_lag_traDP, 8_lag_traBS, 7_lag_naoPSLjfm, 13_lag_eapPSLjfm, 5_lag_tripol2, 3_lag_nchinaPRjja, 12_lag_nchinaPRjja, 10_lag_shTSjfm, 7_lag_glTSjfm, 13_lag_traWP, 8_lag_stratZ50ndj03, 10_lag_amo1, 15_lag_nppc3SSTjfm, 9_lag_nhSICsep, 1_lag_traBS, 6_lag_traWP, 7_lag_amoSSTmjjaso, 11_lag_amo3, 7_lag_glomaSSTjfm, 7_lag_atlSICsep, 5_lag_nchinaPRjja, 5_lag_traWP, 6_lag_amoSSTmjjaso, 10_lag_glTSjfm, 3_lag_stratZ50ndj01, 8_lag_traWP, 15_lag_traEU, 6_lag_ismPRjja_1856_1"
LinearRegression,2,30,traBS,picntrl,1716.5,2050.5,0.4,17,1,1,17.579903231602472,-0.10079110708596589,1984,"['7_lag_nhTSjfm', '13_lag_wnorPRjfm', '7_lag_amoSSTmjjaso', '11_lag_wnorPRjfm', '16_lag_traEU', '8_lag_traBS', '8_lag_stratZ50ndj03', '16_lag_stratZ50ndj02', '1_lag_2_median_tripol3', '2_lag_tripol3', '3_lag_nchinaPRjja', '13_lag_traWP', '14_lag_nppc3SSTjfm', '5_lag_ensoSSTjfm', '7_lag_glTSjfm', '5_lag_nchinaPRjja', '9_lag_nhSICsep', '11_lag_amo3', '5_lag_tripol2', '7_lag_atlSICsep', '1_lag_traBS', '6_lag_traWP', '7_lag_glomaSSTjfm', '5_lag_traWP', '10_lag_glTSjfm', '8_lag_traWP', '6_lag_amoSSTmjjaso', '15_lag_traEU', '3_lag_stratZ50ndj01', '6_lag_ismPRjja']","[0.14887726219070468, 0.09994365268656472, 0.01003928502184531, 0.1609909120790868, 0.06777771654545219, 0.0882632957436583, 0.005875719895400834, 0.06860840299842015, 0.01409417662355053, 0.014094176623549445, 0.14454329696626061, 0.1273862419906303, 0.04945253635831572, 0.015618751348101756, 0.23125178847048342, 0.1148382161736167, 0.202528968757917, 0.17090899950696756, 0.08464240041173156, 0.13367410568198426, 0.16813967530343374, 0.05032358437774963, 0.06772077295242479, 0.2007332476014999, 0.1443569399293124, 0.09676577602091879, 0.12799886147014844, 0.1504712511289476, 0.09122874872110684, 0.22877484880953558]","7_lag_nhTSjfm, 13_lag_wnorPRjfm, 7_lag_amoSSTmjjaso, 11_lag_wnorPRjfm, 16_lag_traEU, 8_lag_traBS, 8_lag_stratZ50ndj03, 16_lag_stratZ50ndj02, 1_lag_2_median_tripol3, 2_lag_tripol3, 3_lag_nchinaPRjja, 13_lag_traWP, 14_lag_nppc3SSTjfm, 5_lag_ensoSSTjfm, 7_lag_glTSjfm, 5_lag_nchinaPRjja, 9_lag_nhSICsep, 11_lag_amo3, 5_lag_tripol2, 7_lag_atlSICsep, 1_lag_traBS, 6_lag_traWP, 7_lag_glomaSSTjfm, 5_lag_traWP, 10_lag_glTSjfm, 8_lag_traWP, 6_lag_amoSSTmjjaso, 15_lag_traEU, 3_lag_stratZ50ndj01, 6_lag_ismPRjja_1984_1"
LinearRegression,3,30,traBS,picntrl,1717.5,2050.5,0.4,18,1,1,17.25437860293893,-0.07567401217538942,2112,"['10_lag_shTSjfm', '7_lag_amoSSTmjjaso', '8_lag_stratZ50ndj03', '16_lag_stratZ50ndj02', '16_lag_traEU', '17_lag_naoPSLjfm', '13_lag_traWP', '1_lag_2_median_tripol3', '2_lag_tripol3', '13_lag_eapPSLjfm', '1_lag_traBS', '11_lag_wnorPRjfm', '5_lag_ensoSSTjfm', '5_lag_tripol2', '5_lag_nchinaPRjja', '7_lag_glTSjfm', '8_lag_traBS', '14_lag_nppc3SSTjfm', '7_lag_atlSICsep', '6_lag_traWP', '9_lag_nhSICsep', '11_lag_amo3', '5_lag_traWP', '7_lag_glomaSSTjfm', '8_lag_traWP', '10_lag_glTSjfm', '6_lag_amoSSTmjjaso', '3_lag_stratZ50ndj01', '15_lag_traEU', '6_lag_ismPRjja']","[0.04715137335003807, 0.0009207023007007237, 0.033971999776922036, 0.0556777822186913, 0.08167820324302585, 0.06465297517155026, 0.09584185081766211, 15052378197281.377, 15052378197281.418, 0.13984121570379238, 0.17886452148832296, 0.16027745134880977, 0.0970665728896856, 0.04432363270833926, 0.12229919967386674, 0.09419659225824698, 0.08433449821342526, 0.047296823372553434, 0.12699854860787885, 0.07035153780188784, 0.1855466770147457, 0.11188057173267463, 0.18728994047497388, 0.11670484702386169, 0.08300927269242778, 0.13265706753559536, 0.14716657683019632, 0.09143948258001273, 0.11545017648263167, 0.21247793564054152]","10_lag_shTSjfm, 7_lag_amoSSTmjjaso, 8_lag_stratZ50ndj03, 16_lag_stratZ50ndj02, 16_lag_traEU, 17_lag_naoPSLjfm, 13_lag_traWP, 1_lag_2_median_tripol3, 2_lag_tripol3, 13_lag_eapPSLjfm, 1_lag_traBS, 11_lag_wnorPRjfm, 5_lag_ensoSSTjfm, 5_lag_tripol2, 5_lag_nchinaPRjja, 7_lag_glTSjfm, 8_lag_traBS, 14_lag_nppc3SSTjfm, 7_lag_atlSICsep, 6_lag_traWP, 9_lag_nhSICsep, 11_lag_amo3, 5_lag_traWP, 7_lag_glomaSSTjfm, 8_lag_traWP, 10_lag_glTSjfm, 6_lag_amoSSTmjjaso, 3_lag_stratZ50ndj01, 15_lag_traEU, 6_lag_ismPRjja_2112_1"
LinearRegression,4,30,traBS,picntrl,1718.5,2050.5,0.4,19,1,1,18.385243911240018,-0.06377032060924062,2240,"['8_lag_stratZ50ndj03', '10_lag_amo1', '16_lag_stratZ50ndj02', '10_lag_shTSjfm', '8_lag_traBS', '13_lag_yrvPRjja', '7_lag_glTSjfm', '13_lag_eapPSLjfm', '5_lag_ensoSSTjfm', '11_lag_neurTSjfm', '5_lag_tripol2', '1_lag_traBS', '11_lag_naoPSLjfm', '16_lag_traEU', '11_lag_wnorPRjfm', '6_lag_traWP', '13_lag_traWP', '5_lag_nchinaPRjja', '14_lag_nppc3SSTjfm', '7_lag_atlSICsep', '7_lag_glomaSSTjfm', '9_lag_nhSICsep', '11_lag_amo3', '5_lag_traWP', '6_lag_amoSSTmjjaso', '10_lag_glTSjfm', '8_lag_traWP', '3_lag_stratZ50ndj01', '15_lag_traEU', '6_lag_ismPRjja']","[0.0010411251649461144, 0.10471191018961423, 0.07982672754076442, 0.027786284666189303, 0.08845384667000755, 0.15580928092852864, 0.12826811267883884, 0.12312643010040901, 0.009991563648175593, 0.2849002450881293, 0.16608483982188169, 0.17008971262554803, 0.06243993975890044, 0.11382348690725541, 0.0022869881569966134, 0.07444567256416577, 0.07878000703543485, 0.13744688489621373, 0.018349077854231677, 0.13807471221941803, 0.024774593804100888, 0.20560791053726968, 0.1111039253498397, 0.18696564986124037, 0.1382984027479669, 0.1436672617281578, 0.08154429724678597, 0.1548027575015008, 0.1494054140531265, 0.16895929057967443]","8_lag_stratZ50ndj03, 10_lag_amo1, 16_lag_stratZ50ndj02, 10_lag_shTSjfm, 8_lag_traBS, 13_lag_yrvPRjja, 7_lag_glTSjfm, 13_lag_eapPSLjfm, 5_lag_ensoSSTjfm, 11_lag_neurTSjfm, 5_lag_tripol2, 1_lag_traBS, 11_lag_naoPSLjfm, 16_lag_traEU, 11_lag_wnorPRjfm, 6_lag_traWP, 13_lag_traWP, 5_lag_nchinaPRjja, 14_lag_nppc3SSTjfm, 7_lag_atlSICsep, 7_lag_glomaSSTjfm, 9_lag_nhSICsep, 11_lag_amo3, 5_lag_traWP, 6_lag_amoSSTmjjaso, 10_lag_glTSjfm, 8_lag_traWP, 3_lag_stratZ50ndj01, 15_lag_traEU, 6_lag_ismPRjja_2240_1"
LinearRegression,5,30,traBS,picntrl,1719.5,2050.5,0.4,20,1,3,17.886192974512056,-0.07426790317971765,2368,"['19_lag_alpi', '12_lag_scpPSLjfm', '7_lag_glTSjfm', '8_lag_stratZ50ndj03', '16_lag_traEU', '10_lag_shTSjfm', '9_lag_nhSICsep', '10_lag_nhTSjfm', '13_lag_traWP', '5_lag_nchinaPRjja', '5_lag_ensoSSTjfm', '7_lag_glomaSSTjfm', '11_lag_naoPSLjfm', '7_lag_atlSICsep', '13_lag_eapPSLjfm', '11_lag_neurTSjfm', '8_lag_traBS', '14_lag_nppc3SSTjfm', '6_lag_traWP', '19_lag_ormenSSTjfm', '11_lag_amo3', '5_lag_traWP', '6_lag_amoSSTmjjaso', '11_lag_wnorPRjfm', '8_lag_traWP', '19_lag_scpPSLjfm', '6_lag_ismPRjja', '10_lag_glTSjfm', '15_lag_traEU', '3_lag_stratZ50ndj01']","[0.09913377620246015, 0.06536991620649393, 0.12338386260031686, 0.04406386905437272, 0.03748343287471582, 140.40254863944213, 0.16722452982713862, 267.9431899245177, 0.07883889623036157, 0.16008881625513804, 0.1458116657217595, 0.04300118621110791, 0.12948904442730252, 0.10625982244588535, 0.12372346568535256, 0.23308314077642575, 0.1712689776756863, 0.03232184452253651, 0.14521022402368242, 0.0865585605125564, 0.15215045537557403, 0.14705879855586548, 0.16513714355866074, 0.11298896781154198, 0.029338704588939498, 0.24156763079233848, 0.1313598230138536, 307.98534585177475, 0.12463725952022929, 0.06526738240543366]","19_lag_alpi, 12_lag_scpPSLjfm, 7_lag_glTSjfm, 8_lag_stratZ50ndj03, 16_lag_traEU, 10_lag_shTSjfm, 9_lag_nhSICsep, 10_lag_nhTSjfm, 13_lag_traWP, 5_lag_nchinaPRjja, 5_lag_ensoSSTjfm, 7_lag_glomaSSTjfm, 11_lag_naoPSLjfm, 7_lag_atlSICsep, 13_lag_eapPSLjfm, 11_lag_neurTSjfm, 8_lag_traBS, 14_lag_nppc3SSTjfm, 6_lag_traWP, 19_lag_ormenSSTjfm, 11_lag_amo3, 5_lag_traWP, 6_lag_amoSSTmjjaso, 11_lag_wnorPRjfm, 8_lag_traWP, 19_lag_scpPSLjfm, 6_lag_ismPRjja, 10_lag_glTSjfm, 15_lag_traEU, 3_lag_stratZ50ndj01_2368_3"
LinearRegression,6,30,traBS,picntrl,1720.5,2050.5,0.4,21,1,1,18.074916267985593,-0.04684245112324957,2496,"['1_lag_traBS', '20_lag_traBS', '5_lag_traWP', '5_lag_tripol2', '13_lag_eapPSLjfm', '12_lag_scpPSLjfm', '10_lag_amo1', '19_lag_ormenSSTjfm', '7_lag_glomaSSTjfm', '16_lag_stratZ50ndj02', '5_lag_ensoSSTjfm', '11_lag_neurTSjfm', '6_lag_traWP', '8_lag_traBS', '6_lag_amoSSTmjjaso', '11_lag_naoPSLjfm', '11_lag_scpPSLjfm', '10_lag_nhTSjfm', '10_lag_shTSjfm', '9_lag_nhSICsep', '7_lag_atlSICsep', '14_lag_nppc3SSTjfm', '11_lag_amo3', '11_lag_wnorPRjfm', '8_lag_traWP', '19_lag_scpPSLjfm', '6_lag_ismPRjja', '3_lag_stratZ50ndj01', '10_lag_glTSjfm', '15_lag_traEU']","[0.16642770176522542, 0.06673391732757693, 0.1905670188023874, 0.18609105203814882, 0.0981889170593586, 0.11111884628076833, 0.10469842847971826, 0.0799681141316787, 0.073555761803354, 0.019878676275419473, 0.023114491733037784, 0.2920367661564125, 0.08041828015805684, 0.18653207646876746, 0.15205172704825373, 0.1757295443684706, 0.08400467041120395, 117.27003244816574, 61.42385313986408, 0.17799022758418426, 0.12884764690507977, 0.01919444190241957, 0.11016178186045103, 0.07807718800177628, 0.04969017237035245, 0.2158743079119139, 0.1364567593214558, 0.08970088285367284, 134.8590206387787, 0.18842320380990835]","1_lag_traBS, 20_lag_traBS, 5_lag_traWP, 5_lag_tripol2, 13_lag_eapPSLjfm, 12_lag_scpPSLjfm, 10_lag_amo1, 19_lag_ormenSSTjfm, 7_lag_glomaSSTjfm, 16_lag_stratZ50ndj02, 5_lag_ensoSSTjfm, 11_lag_neurTSjfm, 6_lag_traWP, 8_lag_traBS, 6_lag_amoSSTmjjaso, 11_lag_naoPSLjfm, 11_lag_scpPSLjfm, 10_lag_nhTSjfm, 10_lag_shTSjfm, 9_lag_nhSICsep, 7_lag_atlSICsep, 14_lag_nppc3SSTjfm, 11_lag_amo3, 11_lag_wnorPRjfm, 8_lag_traWP, 19_lag_scpPSLjfm, 6_lag_ismPRjja, 3_lag_stratZ50ndj01, 10_lag_glTSjfm, 15_lag_traEU_2496_1"
LinearRegression,7,30,traBS,picntrl,1721.5,2050.5,0.4,22,2,2,18.403264039602067,-0.0409743645151945,2496,"['7_lag_glTSjfm', '4_lag_stratZ50ndj04', '5_lag_tripol2', '8_lag_scpPSLjfm', '6_lag_traWP', '7_lag_glomaSSTjfm', '9_lag_nhSICjfm', '12_lag_alpi', '5_lag_ensoSSTjfm', '11_lag_naoPSLjfm', '9_lag_ormenSSTjfm', '10_lag_shTSjfm', '8_lag_traBS', '10_lag_amo1', '11_lag_neurTSjfm', '12_lag_scpPSLjfm', '11_lag_amo3', '7_lag_atlSICsep', '6_lag_amoSSTmjjaso', '9_lag_nhSICsep', '10_lag_nhTSjfm', '14_lag_nppc3SSTjfm', '11_lag_wnorPRjfm', '3_lag_stratZ50ndj01', '8_lag_traWP', '2_lag_3_median_stratZ50ndj01', '19_lag_scpPSLjfm', '6_lag_ismPRjja', '15_lag_traEU', '10_lag_glTSjfm']","[0.1721937568124944, 0.0027542259636075344, 0.10366169205101833, 0.1577781921191177, 0.2115483239726941, 0.014958321194048448, 0.036589523603127505, 0.11307130674090095, 0.11235166753491273, 0.06056447371789801, 0.0036892736413125533, 280.55580838643294, 0.21710702722618874, 0.1013085851035277, 0.23031942674572828, 0.11149257813544364, 0.14367104698392938, 0.17080005573340992, 0.16865670702677935, 0.2098598189437137, 535.4270448257288, 0.002381248180693577, 0.021282010246086076, 0.04039710901859743, 0.022126976713745476, 0.040397110940437575, 0.17302423481381246, 0.16958166538346667, 0.1782088778018946, 615.2505351286713]","7_lag_glTSjfm, 4_lag_stratZ50ndj04, 5_lag_tripol2, 8_lag_scpPSLjfm, 6_lag_traWP, 7_lag_glomaSSTjfm, 9_lag_nhSICjfm, 12_lag_alpi, 5_lag_ensoSSTjfm, 11_lag_naoPSLjfm, 9_lag_ormenSSTjfm, 10_lag_shTSjfm, 8_lag_traBS, 10_lag_amo1, 11_lag_neurTSjfm, 12_lag_scpPSLjfm, 11_lag_amo3, 7_lag_atlSICsep, 6_lag_amoSSTmjjaso, 9_lag_nhSICsep, 10_lag_nhTSjfm, 14_lag_nppc3SSTjfm, 11_lag_wnorPRjfm, 3_lag_stratZ50ndj01, 8_lag_traWP, 2_lag_3_median_stratZ50ndj01, 19_lag_scpPSLjfm, 6_lag_ismPRjja, 15_lag_traEU, 10_lag_glTSjfm_2496_2"
LinearRegression,8,30,traBS,picntrl,1722.5,2050.5,0.4,23,3,3,17.211250993746713,-0.036263759293746825,2496,"['10_lag_stratZ50ndj03', '8_lag_scpPSLjfm', '15_lag_glomaSSTjfm', '12_lag_scpPSLjfm', '14_lag_atlSICsep', '7_lag_atlSICsep', '10_lag_amo1', '19_lag_traTLS', '16_lag_stratZ50ndj03', '7_lag_glomaSSTjfm', '9_lag_nhSICjfm', '16_lag_traEU', '11_lag_neurTSjfm', '7_lag_glTSjfm', '9_lag_ormenSSTjfm', '13_lag_eapPSLjfm', '11_lag_amo3', '22_lag_mhfATL60', '8_lag_traBS', '6_lag_amoSSTmjjaso', '14_lag_nppc3SSTjfm', '8_lag_traWP', '10_lag_nhTSjfm', '9_lag_nhSICsep', '11_lag_wnorPRjfm', '19_lag_scpPSLjfm', '6_lag_ismPRjja', '3_lag_stratZ50ndj01', '15_lag_traEU', '10_lag_glTSjfm']","[0.12470723344012412, 0.18972241930573938, 0.07916745225822697, 0.10571600192729236, 0.010144099743256122, 0.1418327989901535, 0.0131245366244049, 0.16491637083126567, 0.02325345805098851, 0.09028954010138636, 0.025440727418897694, 0.05842949770522883, 0.1784100342119497, 0.09965330751932054, 0.012339694683586375, 0.05464633166414752, 0.09608527760008945, 0.056994268847861476, 0.17213524443704176, 0.16496241636666453, 0.003877092117634942, 0.03966113170003602, 0.04673978654615433, 0.06291037514271598, 0.053046388092388014, 0.19500287934957605, 0.11329919065513858, 0.0803003583649366, 0.0939273806643295, 0.2609384043664915]","10_lag_stratZ50ndj03, 8_lag_scpPSLjfm, 15_lag_glomaSSTjfm, 12_lag_scpPSLjfm, 14_lag_atlSICsep, 7_lag_atlSICsep, 10_lag_amo1, 19_lag_traTLS, 16_lag_stratZ50ndj03, 7_lag_glomaSSTjfm, 9_lag_nhSICjfm, 16_lag_traEU, 11_lag_neurTSjfm, 7_lag_glTSjfm, 9_lag_ormenSSTjfm, 13_lag_eapPSLjfm, 11_lag_amo3, 22_lag_mhfATL60, 8_lag_traBS, 6_lag_amoSSTmjjaso, 14_lag_nppc3SSTjfm, 8_lag_traWP, 10_lag_nhTSjfm, 9_lag_nhSICsep, 11_lag_wnorPRjfm, 19_lag_scpPSLjfm, 6_lag_ismPRjja, 3_lag_stratZ50ndj01, 15_lag_traEU, 10_lag_glTSjfm_2496_3"
LinearRegression,9,30,traBS,picntrl,1723.5,2050.5,0.4,24,4,6,16.396344031005423,-0.004735961060818573,2496,"['15_lag_glomaSSTjfm', '7_lag_nhTSjfm', '11_lag_wnorPRjfm', '10_lag_amo1', '16_lag_traEU', '11_lag_neurTSjfm', '8_lag_amoSSTmjjaso', '14_lag_nppc3SSTjfm', '11_lag_ginwSSTjfm', '7_lag_glTSjfm', '22_lag_nchinaPRjja', '8_lag_scpPSLjfm', '13_lag_tripol3', '6_lag_amoSSTmjjaso', '19_lag_scpPSLjfm', '22_lag_mhfATL60', '8_lag_traBS', '10_lag_nhTSjfm', '16_lag_stratZ50ndj03', '11_lag_stratZ50ndj03', '9_lag_amoSSTmjjaso', '8_lag_traWP', '10_lag_stratZ50ndj03', '9_lag_ormenSSTjfm', '9_lag_nhSICsep', '11_lag_amo3', '6_lag_ismPRjja', '13_lag_eapPSLjfm', '10_lag_glTSjfm', '15_lag_traEU']","[0.1247286940833227, 0.07516565040760664, 0.005529795613199658, 0.042694399253855486, 0.044846511399032146, 0.20245858003253872, 0.07068556144784283, 0.02399925896987795, 0.1727901204338429, 0.23012877050210043, 0.12007587958381992, 0.13948724261642262, 0.04914548650534991, 0.14133789312950226, 0.16774827578467294, 0.028314785515482173, 0.10033078264314282, 0.00877678915178158, 0.04596003066721527, 0.09369402618063223, 0.050525507953697056, 0.0747137732055351, 0.16549666100903576, 0.03938427951722899, 0.039389276581457036, 0.09528133414589977, 0.07913228038946757, 0.06731062428377393, 0.16868311207042294, 0.15688319551007232]","15_lag_glomaSSTjfm, 7_lag_nhTSjfm, 11_lag_wnorPRjfm, 10_lag_amo1, 16_lag_traEU, 11_lag_neurTSjfm, 8_lag_amoSSTmjjaso, 14_lag_nppc3SSTjfm, 11_lag_ginwSSTjfm, 7_lag_glTSjfm, 22_lag_nchinaPRjja, 8_lag_scpPSLjfm, 13_lag_tripol3, 6_lag_amoSSTmjjaso, 19_lag_scpPSLjfm, 22_lag_mhfATL60, 8_lag_traBS, 10_lag_nhTSjfm, 16_lag_stratZ50ndj03, 11_lag_stratZ50ndj03, 9_lag_amoSSTmjjaso, 8_lag_traWP, 10_lag_stratZ50ndj03, 9_lag_ormenSSTjfm, 9_lag_nhSICsep, 11_lag_amo3, 6_lag_ismPRjja, 13_lag_eapPSLjfm, 10_lag_glTSjfm, 15_lag_traEU_2496_6"
