model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traCA,picntrl,1066.5,2050.5,0.4,15,1,1,11.296460162532139,0.5110619470723102,1728,"['7_lag_nppc3SSTjfm', '10_lag_traEU', '1_lag_traCA', '8_lag_stratZ50ndj04', '14_lag_scpPSLjfm', '6_lag_stratZ50ndj03', '11_lag_traMC', '1_lag_nppc2SSTjfm', '1_lag_samPSLann', '13_lag_stratZ50ndj03']","[0.03781485788412382, 0.05943725912249996, 0.461445034394624, 0.0381471109638713, 0.05990152301959831, 0.05906009031433924, 0.06638935836583765, 0.15311868995625252, 0.12062390801014321, 0.08329610760952927]","7_lag_nppc3SSTjfm, 10_lag_traEU, 1_lag_traCA, 8_lag_stratZ50ndj04, 14_lag_scpPSLjfm, 6_lag_stratZ50ndj03, 11_lag_traMC, 1_lag_nppc2SSTjfm, 1_lag_samPSLann, 13_lag_stratZ50ndj03_1728_1"
LinearRegression,1,10,traCA,picntrl,1067.5,2050.5,0.4,16,1,1,11.421739933043195,0.5021454317685068,1856,"['15_lag_alpi', '1_lag_nppc2SSTjfm', '8_lag_stratZ50ndj04', '1_lag_traCA', '14_lag_yrvPRjja', '11_lag_traMC', '10_lag_traEU', '15_lag_yrvPRjja', '1_lag_samPSLann', '13_lag_stratZ50ndj03']","[0.03103140563102556, 0.14937522945948167, 0.042107089997284144, 0.4648521526638646, 0.09052517532082022, 0.06995346159512189, 0.060025289027707436, 0.09803405627319182, 0.12463903638102393, 0.07616349884588207]","15_lag_alpi, 1_lag_nppc2SSTjfm, 8_lag_stratZ50ndj04, 1_lag_traCA, 14_lag_yrvPRjja, 11_lag_traMC, 10_lag_traEU, 15_lag_yrvPRjja, 1_lag_samPSLann, 13_lag_stratZ50ndj03_1856_1"
LinearRegression,2,10,traCA,picntrl,1068.5,2050.5,0.4,17,1,1,11.32742123107591,0.5032866546382013,1984,"['6_lag_stratZ50ndj03', '1_lag_nppc2SSTjfm', '11_lag_traMC', '10_lag_traEU', '15_lag_alpi', '8_lag_stratZ50ndj04', '1_lag_traCA', '13_lag_stratZ50ndj03', '1_lag_samPSLann', '15_lag_yrvPRjja']","[0.06141547404328683, 0.14804467570147417, 0.07459739436461929, 0.06131765039737247, 0.03196845686992876, 0.04767109591850449, 0.4572439924815733, 0.08053591055277019, 0.12174314147220831, 0.10283318314215387]","6_lag_stratZ50ndj03, 1_lag_nppc2SSTjfm, 11_lag_traMC, 10_lag_traEU, 15_lag_alpi, 8_lag_stratZ50ndj04, 1_lag_traCA, 13_lag_stratZ50ndj03, 1_lag_samPSLann, 15_lag_yrvPRjja_1984_1"
LinearRegression,3,10,traCA,picntrl,1069.5,2050.5,0.4,18,1,1,11.456194848628602,0.49910882529435835,2112,"['17_lag_shSICmar', '15_lag_alpi', '11_lag_traMC', '8_lag_stratZ50ndj04', '1_lag_traCA', '7_lag_nppc3SSTjfm', '17_lag_stratZ50ndj02', '13_lag_stratZ50ndj03', '1_lag_samPSLann', '15_lag_yrvPRjja']","[0.09160882588952421, 0.03067127648302166, 0.06662927337358149, 0.05383089970484148, 0.46108656922793717, 0.030734922729962925, 0.004452085073917929, 0.08114836335634418, 0.15852201519738635, 0.11331079996921861]","17_lag_shSICmar, 15_lag_alpi, 11_lag_traMC, 8_lag_stratZ50ndj04, 1_lag_traCA, 7_lag_nppc3SSTjfm, 17_lag_stratZ50ndj02, 13_lag_stratZ50ndj03, 1_lag_samPSLann, 15_lag_yrvPRjja_2112_1"
LinearRegression,4,10,traCA,picntrl,1070.5,2050.5,0.4,19,1,1,11.20517856725679,0.5192180915169313,2240,"['1_lag_nppc2SSTjfm', '15_lag_alpi', '1_lag_traTLS', '7_lag_nppc3SSTjfm', '6_lag_mhfATL30', '1_lag_traCA', '13_lag_stratZ50ndj03', '17_lag_stratZ50ndj02', '1_lag_samPSLann', '15_lag_yrvPRjja']","[0.14018267712600288, 0.02651731238477112, 0.1064800365371224, 0.019152748441249298, 0.117174925528575, 0.45286797210979374, 0.08888861447175843, 0.021322453712011392, 0.13810653418400395, 0.10485093415014131]","1_lag_nppc2SSTjfm, 15_lag_alpi, 1_lag_traTLS, 7_lag_nppc3SSTjfm, 6_lag_mhfATL30, 1_lag_traCA, 13_lag_stratZ50ndj03, 17_lag_stratZ50ndj02, 1_lag_samPSLann, 15_lag_yrvPRjja_2240_1"
LinearRegression,5,10,traCA,picntrl,1071.5,2050.5,0.4,20,1,1,11.106319769785525,0.526841233455464,2368,"['1_lag_nppc2SSTjfm', '4_lag_amo1', '6_lag_mhfATL30', '19_lag_nppc3SSTjfm', '1_lag_traCA', '1_lag_traTLS', '13_lag_stratZ50ndj03', '17_lag_stratZ50ndj02', '15_lag_yrvPRjja', '1_lag_samPSLann']","[0.14253446718074048, 0.04084797626294223, 0.11400208787926105, 0.05056481039145801, 0.45214113575441667, 0.10767990193823195, 0.08231163875638393, 0.011630356268451603, 0.10734227603159069, 0.1403837688142118]","1_lag_nppc2SSTjfm, 4_lag_amo1, 6_lag_mhfATL30, 19_lag_nppc3SSTjfm, 1_lag_traCA, 1_lag_traTLS, 13_lag_stratZ50ndj03, 17_lag_stratZ50ndj02, 15_lag_yrvPRjja, 1_lag_samPSLann_2368_1"
LinearRegression,6,10,traCA,picntrl,1072.5,2050.5,0.4,21,1,1,11.314169402585794,0.5095382228333866,2496,"['6_lag_stratZ50ndj03', '15_lag_alpi', '17_lag_shSICmar', '13_lag_stratZ50ndj03', '1_lag_nppc2SSTjfm', '1_lag_traCA', '1_lag_traTLS', '17_lag_stratZ50ndj02', '15_lag_yrvPRjja', '1_lag_samPSLann']","[0.044960045959915665, 0.028930093836970427, 0.10446416096059478, 0.08743543907922735, 0.1401850308415147, 0.45954103553612496, 0.10664782626507896, 0.005447214885022123, 0.1129732708098032, 0.139940073627083]","6_lag_stratZ50ndj03, 15_lag_alpi, 17_lag_shSICmar, 13_lag_stratZ50ndj03, 1_lag_nppc2SSTjfm, 1_lag_traCA, 1_lag_traTLS, 17_lag_stratZ50ndj02, 15_lag_yrvPRjja, 1_lag_samPSLann_2496_1"
LinearRegression,7,10,traCA,picntrl,1073.5,2050.5,0.4,22,2,6,13.577329068881788,0.07784980491572899,2496,"['6_lag_mhfATL30', '13_lag_scpPSLjfm', '10_lag_traEU', '21_lag_mhfATL60', '15_lag_yrvPRjja', '15_lag_alpi', '21_lag_scpPSLjfm', '15_lag_ismPRjja', '21_lag_ormenSSTjfm', '17_lag_stratZ50ndj02']","[0.17690901621610902, 0.08541964048239814, 0.11293173230907158, 0.09684992277063843, 0.10187187942309654, 0.07389844949582117, 0.1716069497275031, 0.11757024525100063, 0.0553769556324038, 0.053968025683435575]","6_lag_mhfATL30, 13_lag_scpPSLjfm, 10_lag_traEU, 21_lag_mhfATL60, 15_lag_yrvPRjja, 15_lag_alpi, 21_lag_scpPSLjfm, 15_lag_ismPRjja, 21_lag_ormenSSTjfm, 17_lag_stratZ50ndj02_2496_6"
LinearRegression,8,10,traCA,picntrl,1074.5,2050.5,0.4,23,3,3,13.795569873410075,-0.017121750013565702,2496,"['3_lag_traIT', '12_lag_traBS', '11_lag_traMC', '13_lag_scpPSLjfm', '15_lag_alpi', '13_lag_stratZ50ndj03', '17_lag_stratZ50ndj02', '15_lag_ismPRjja', '3_lag_alpi', '22_lag_stratZ50ndj04']","[0.11433114688310755, 0.07455761158022706, 0.0542791958059374, 0.0870078447415902, 0.06257499008030508, 0.07809785961543508, 0.06191649654937127, 0.1397300271699992, 0.050651469490061246, 0.057449174028271065]","3_lag_traIT, 12_lag_traBS, 11_lag_traMC, 13_lag_scpPSLjfm, 15_lag_alpi, 13_lag_stratZ50ndj03, 17_lag_stratZ50ndj02, 15_lag_ismPRjja, 3_lag_alpi, 22_lag_stratZ50ndj04_2496_3"
LinearRegression,9,10,traCA,picntrl,1075.5,2050.5,0.4,24,4,4,13.501950816364106,0.06912532999214556,2496,"['14_lag_eapPSLjfm', '7_lag_tripol3', '13_lag_stratZ50ndj03', '15_lag_yrvPRjja', '11_lag_traMC', '13_lag_scpPSLjfm', '15_lag_alpi', '4_lag_traBO', '15_lag_ismPRjja', '22_lag_stratZ50ndj04']","[0.03636596731543794, 0.017380348014445934, 0.09576679029603188, 0.09938369333449988, 0.08917542898216517, 0.06488113838676213, 0.05496113495487087, 0.15920344961507288, 0.0967978314600822, 0.05366777917931888]","14_lag_eapPSLjfm, 7_lag_tripol3, 13_lag_stratZ50ndj03, 15_lag_yrvPRjja, 11_lag_traMC, 13_lag_scpPSLjfm, 15_lag_alpi, 4_lag_traBO, 15_lag_ismPRjja, 22_lag_stratZ50ndj04_2496_4"
